ID;EnergyCommodities;Sectors;Periods;TotalPrimaryEnergySupply_1;IndigenousProduction_2;ReceiptsOfEnergy_3;DeliveriesOfEnergy_4;StockChange_5;StatisticalDifferences_6;TotalEnergyConsumption_7;TotalNetEnergyTransformation_8;NetElectricityCHPTransformation_9;NetOtherTransformation_10;EnergyTransformationInput_11;ElectricityAndCHPTransformationInput_12;OtherTransformationInput_13;EnergyTransformationOutput_14;ElectricityCHPTransformationOutput_15;OtherTransformationOutput_16;OwnUse_17;DistributionLosses_18;FinalEnergyConsumption_19;NonEnergyUse_20
29;Total energy commodities;Total energy sector and final users;2019;3043.0;1409.2;19988.1;18273.5;-85.0;4.2;3038.9;470.3;355.3;115.1;5444.8;967.2;4477.6;4974.5;611.9;4362.6;215.4;26.6;1829.7;496.9
30;Total energy commodities;Total energy sector and final users;2020 ;2947.7;1173.1;18473.0;16666.5;-52.0;20.0;2927.7;437.5;331.5;106.0;4749.4;946.8;3802.5;4311.9;615.4;3696.5;193.4;25.6;1734.1;537.1
31;Total energy commodities;Total energy sector and final users;2021;3032.3;1128.6;18946.5;17517.8;464.7;10.2;3022.1;459.9;330.6;129.3;5064.4;943.9;4120.5;4604.5;613.3;3991.2;208.0;25.9;1792.6;535.6
32;Total energy commodities;Total energy sector and final users;2022;2703.1;1035.4;19052.4;17005.9;-362.2;-16.7;2719.8;440.0;310.2;129.9;5079.1;902.8;4176.3;4639.1;592.6;4046.4;191.0;25.5;1632.2;431.1
33;Total energy commodities;Total energy sector and final users;2023;2612.4;883.1;18661.4;16989.3;60.3;-3.1;2615.5;375.2;264.5;110.7;4922.7;845.3;4077.5;4547.5;580.8;3966.7;182.4;25.8;1584.0;448.2
34;Total energy commodities;Total energy sector;1990;592.0;2492.3;6650.7;8549.1;-1.9;;592.0;379.9;300.9;79.0;2862.8;563.4;2299.4;2482.9;262.5;2220.4;197.4;14.8;;
35;Total energy commodities;Total energy sector;1991;610.1;2777.6;5976.1;8160.4;16.7;;610.1;384.0;309.0;75.0;3054.2;588.1;2466.1;2670.3;279.1;2391.2;209.4;16.7;;
36;Total energy commodities;Total energy sector;1992;621.6;2779.5;5943.5;8063.5;-37.8;;621.6;402.1;321.5;80.7;3151.5;604.9;2546.6;2749.4;283.4;2466.0;202.4;17.1;;
37;Total energy commodities;Total energy sector;1993;643.0;2827.7;6813.2;8999.3;1.3;;643.0;415.5;322.9;92.6;3210.3;624.4;2585.9;2794.8;301.5;2493.4;209.4;18.1;;
38;Total energy commodities;Total energy sector;1994;653.4;2737.0;6023.4;8107.2;0.3;;653.4;424.8;325.1;99.7;3234.6;652.3;2582.3;2809.7;327.1;2482.6;209.6;19.0;;
39;Total energy commodities;Total energy sector;1995;645.4;2746.1;6355.6;8471.3;15.0;;645.4;417.7;323.8;93.9;3463.4;679.6;2783.8;3045.7;355.8;2689.9;208.1;19.6;;
40;Total energy commodities;Total energy sector;1996;653.7;3070.1;6864.6;9286.4;5.4;;653.7;421.3;319.9;101.4;3557.0;703.6;2853.4;3135.7;383.7;2752.0;211.4;21.0;;
41;Total energy commodities;Total energy sector;1997;642.0;2713.7;6980.0;9041.0;-10.7;;642.0;420.0;308.4;111.6;3528.0;693.1;2834.9;3108.0;384.7;2723.3;201.7;20.3;;
42;Total energy commodities;Total energy sector;1998;661.2;2599.3;7095.9;9066.6;32.6;;661.2;437.5;316.6;120.9;3637.2;731.8;2905.4;3199.7;415.2;2784.6;202.1;21.6;;
43;Total energy commodities;Total energy sector;1999;615.5;2422.8;6938.1;8765.0;19.6;;615.5;407.1;292.8;114.2;3431.2;694.1;2737.1;3024.1;401.2;2622.9;186.9;21.5;;
44;Total energy commodities;Total energy sector;2000;630.3;2362.1;7586.1;9247.5;-70.4;;630.3;423.3;302.3;121.0;3471.2;710.4;2760.8;3047.9;408.1;2639.8;184.8;22.2;;
45;Total energy commodities;Total energy sector;2001;675.5;2480.0;7737.6;9553.7;11.6;;675.5;466.1;335.1;131.0;3511.2;759.1;2752.2;3045.1;423.9;2621.2;186.5;22.9;;
46;Total energy commodities;Total energy sector;2002;668.3;2473.5;7655.2;9469.3;9.0;;668.3;462.5;343.6;118.9;3322.3;775.8;2546.5;2859.8;432.1;2427.7;182.5;23.3;;
47;Total energy commodities;Total energy sector;2003;686.9;2371.1;7855.7;9566.9;27.1;;686.9;478.5;346.5;132.0;3456.3;780.3;2676.0;2977.8;433.8;2544.0;184.7;23.7;;
48;Total energy commodities;Total energy sector;2004;701.8;2753.6;7982.1;10026.8;-7.1;;701.8;484.8;355.0;129.8;3577.3;813.4;2763.9;3092.6;458.4;2634.1;192.5;24.6;;
49;Total energy commodities;Total energy sector;2005;688.5;2506.6;8166.6;9949.8;-35.0;;688.5;465.8;342.2;123.6;3568.2;784.1;2784.1;3102.4;441.9;2660.5;198.1;24.5;;
50;Total energy commodities;Total energy sector;2006;651.6;2464.2;8071.7;9880.0;-4.3;;651.6;439.4;322.9;116.5;3440.1;751.6;2688.5;3000.6;428.6;2572.0;187.4;24.7;;
51;Total energy commodities;Total energy sector;2007;684.5;2400.1;7940.7;9700.5;44.2;;684.5;459.4;331.7;127.8;3435.6;777.5;2658.1;2976.2;445.8;2530.4;201.5;23.6;;
52;Total energy commodities;Total energy sector;2008;652.5;2705.4;7935.4;9953.5;-34.8;;652.5;436.3;332.9;103.4;3427.2;772.8;2654.4;2990.9;439.9;2551.0;192.8;23.4;;
53;Total energy commodities;Total energy sector;2009;660.1;2496.1;7737.8;9565.3;-8.6;;660.1;449.9;344.5;105.4;3381.0;797.4;2583.6;2931.1;452.9;2478.2;187.4;22.8;;
54;Total energy commodities;Total energy sector;2010;673.6;2832.8;7977.5;10119.4;-17.4;;673.6;455.7;348.3;107.5;3531.5;819.3;2712.2;3075.8;471.1;2604.8;193.4;24.4;;
55;Total energy commodities;Total energy sector;2011;650.7;2630.8;7683.5;9701.8;38.2;;650.7;422.6;310.4;112.1;3425.3;752.0;2673.2;3002.7;441.6;2561.1;205.6;22.6;;
56;Total energy commodities;Total energy sector;2012;634.4;2592.2;7671.4;9596.2;-33.0;;634.4;416.0;296.7;119.4;3352.4;688.0;2664.3;2936.3;391.4;2545.0;196.7;21.7;;
57;Total energy commodities;Total energy sector;2013;609.5;2726.8;7448.6;9581.7;15.8;;609.5;389.6;282.3;107.3;3265.5;666.8;2598.7;2875.9;384.5;2491.4;197.3;22.6;;
58;Total energy commodities;Total energy sector;2014;647.8;2325.0;7609.4;9231.8;-54.8;;647.8;432.1;309.1;123.1;3372.7;704.3;2668.4;2940.6;395.3;2545.3;193.9;21.8;;
59;Total energy commodities;Total energy sector;2015;680.4;1815.0;9516.7;10625.6;-25.7;;680.4;446.8;338.0;108.8;3513.0;744.8;2768.2;3066.1;406.8;2659.4;206.4;27.2;;
60;Total energy commodities;Total energy sector;2016;664.2;1742.5;9425.6;10611.4;107.4;;664.2;434.6;333.6;100.9;3541.9;751.0;2790.8;3107.3;417.4;2689.9;201.3;28.3;;
61;Total energy commodities;Total energy sector;2017;637.9;1514.5;9453.7;10338.0;7.8;;637.9;416.1;314.9;101.2;3499.4;723.9;2775.4;3083.2;409.0;2674.2;193.8;28.0;;
62;Total energy commodities;Total energy sector;2018;596.4;1310.4;9155.8;9804.0;-65.8;;596.4;370.0;283.6;86.3;3490.0;673.0;2817.0;3120.0;389.4;2730.7;199.0;27.4;;
63;Total energy commodities;Total energy sector;2019;608.6;1142.3;8838.2;9353.5;-18.4;;608.6;371.3;282.4;88.9;3549.1;686.0;2863.1;3177.7;403.6;2774.2;210.7;26.6;;
64;Total energy commodities;Total energy sector;2020 ;549.1;881.4;8149.3;8500.2;18.6;;549.1;334.9;249.4;85.5;3199.4;627.3;2572.1;2864.5;377.9;2486.6;188.6;25.6;;
65;Total energy commodities;Total energy sector;2021;575.2;823.9;8238.1;8761.9;275.1;;575.2;346.4;244.4;102.0;3356.5;606.8;2749.7;3010.2;362.5;2647.7;202.9;25.9;;
66;Total energy commodities;Total energy sector;2022;538.4;703.7;8287.8;8185.9;-267.3;;538.4;327.1;229.1;98.0;3304.4;586.5;2717.9;2977.4;357.4;2619.9;185.9;25.5;;
67;Total energy commodities;Total energy sector;2023;481.4;562.9;7748.0;7850.3;20.9;;481.4;277.9;187.8;90.1;3343.5;528.0;2815.5;3065.6;340.2;2725.4;177.8;25.8;;
68;Total energy commodities;Extraction of crude petroleum and gas;1990;24.5;2453.3;2.8;2431.7;0.1;;24.5;0.1;0.1;;1.0;1.0;;0.9;0.9;;24.4;;;
69;Total energy commodities;Extraction of crude petroleum and gas;1991;27.6;2740.6;3.4;2716.9;0.6;;27.6;0.1;0.1;;1.0;1.0;;0.9;0.9;;27.5;;;
70;Total energy commodities;Extraction of crude petroleum and gas;1992;30.7;2734.7;3.6;2710.6;3.0;;30.7;0.3;0.2;0.1;4.5;1.2;3.4;4.2;1.0;3.3;30.4;;;
71;Total energy commodities;Extraction of crude petroleum and gas;1993;28.0;2783.4;8.5;2763.1;-0.8;;28.0;0.2;0.2;0.0;1.3;1.2;0.1;1.1;1.1;0.1;27.8;;;
72;Total energy commodities;Extraction of crude petroleum and gas;1994;25.2;2692.3;9.4;2672.0;-4.6;;25.2;0.2;0.2;0.0;2.7;1.4;1.3;2.6;1.2;1.4;25.0;;;
73;Total energy commodities;Extraction of crude petroleum and gas;1995;24.4;2699.7;5.0;2685.0;4.7;;24.4;-0.3;0.2;-0.5;17.4;1.3;16.1;17.6;1.0;16.6;24.7;;;
74;Total energy commodities;Extraction of crude petroleum and gas;1996;29.7;3021.3;6.0;2999.9;2.2;;29.7;-0.3;0.2;-0.5;16.8;1.2;15.6;17.1;1.0;16.1;29.9;;;
75;Total energy commodities;Extraction of crude petroleum and gas;1997;31.3;2684.3;5.7;2655.0;-3.7;;31.3;0.1;0.1;-0.1;3.6;0.9;2.7;3.5;0.7;2.8;31.2;;;
76;Total energy commodities;Extraction of crude petroleum and gas;1998;37.5;2554.7;6.7;2525.3;1.4;;37.5;0.5;0.3;0.2;7.1;1.4;5.7;6.6;1.1;5.5;37.0;;;
77;Total energy commodities;Extraction of crude petroleum and gas;1999;33.2;2377.0;3.6;2347.2;-0.1;;33.2;0.3;0.2;0.1;4.3;1.0;3.2;4.0;0.8;3.1;32.9;;;
78;Total energy commodities;Extraction of crude petroleum and gas;2000;33.3;2312.8;4.0;2278.1;-5.4;;33.3;0.4;0.2;0.2;8.6;1.0;7.6;8.2;0.8;7.4;32.9;;;
79;Total energy commodities;Extraction of crude petroleum and gas;2001;32.8;2427.2;5.6;2404.2;4.2;;32.8;0.3;0.2;0.1;5.4;1.0;4.4;5.1;0.8;4.3;32.5;;;
80;Total energy commodities;Extraction of crude petroleum and gas;2002;35.1;2421.2;6.0;2390.7;-1.4;;35.1;0.4;0.2;0.2;8.0;1.0;7.0;7.6;0.8;6.8;34.8;;;
81;Total energy commodities;Extraction of crude petroleum and gas;2003;32.7;2318.2;5.3;2290.7;-0.1;;32.7;0.2;0.0;0.2;5.3;0.1;5.2;5.1;0.1;5.0;32.5;;;
82;Total energy commodities;Extraction of crude petroleum and gas;2004;33.7;2702.6;5.5;2674.1;-0.4;;33.7;0.2;0.0;0.2;5.5;0.3;5.2;5.3;0.3;5.0;33.5;;;
83;Total energy commodities;Extraction of crude petroleum and gas;2005;33.4;2450.1;5.8;2425.7;3.2;;33.4;0.2;0.1;0.1;5.5;0.8;4.8;5.3;0.7;4.6;33.1;;;
84;Total energy commodities;Extraction of crude petroleum and gas;2006;29.3;2409.3;4.5;2382.1;-2.3;;29.3;0.1;0.0;0.1;4.3;0.1;4.2;4.1;0.1;4.0;29.2;;;
85;Total energy commodities;Extraction of crude petroleum and gas;2007;25.3;2342.8;4.5;2325.6;3.6;;25.3;0.1;0.1;0.0;0.9;0.6;0.3;0.8;0.5;0.4;25.2;;;
86;Total energy commodities;Extraction of crude petroleum and gas;2008;27.3;2645.4;14.7;2630.9;-2.0;;27.3;0.0;0.1;-0.1;4.4;0.4;4.0;4.4;0.3;4.1;27.3;;;
87;Total energy commodities;Extraction of crude petroleum and gas;2009;30.0;2431.2;9.8;2410.6;-0.5;;30.0;0.0;0.1;-0.1;3.1;0.4;2.7;3.1;0.3;2.8;30.0;;;
88;Total energy commodities;Extraction of crude petroleum and gas;2010;33.1;2770.4;9.8;2750.4;3.2;;33.1;0.0;0.1;0.0;1.8;0.4;1.5;1.8;0.3;1.5;33.0;;;
89;Total energy commodities;Extraction of crude petroleum and gas;2011;32.2;2564.9;6.3;2536.8;-2.2;;32.2;0.1;0.1;0.0;1.0;0.4;0.6;0.9;0.3;0.6;32.1;;;
90;Total energy commodities;Extraction of crude petroleum and gas;2012;34.2;2525.6;7.7;2498.4;-0.7;;34.2;0.0;;0.0;1.1;;1.1;1.1;;1.1;34.2;;;
91;Total energy commodities;Extraction of crude petroleum and gas;2013;40.2;2672.0;11.5;2638.5;-4.8;;40.2;0.2;;0.2;7.4;;7.4;7.1;;7.1;40.0;;;
92;Total energy commodities;Extraction of crude petroleum and gas;2014;36.3;2255.5;9.8;2229.9;0.9;;36.3;0.2;;0.2;7.0;;7.0;6.8;;6.8;36.1;;;
93;Total energy commodities;Extraction of crude petroleum and gas;2015;34.8;1728.7;12.2;1712.2;6.0;;34.8;-0.1;;-0.1;-0.1;;-0.1;;;;34.8;;;
94;Total energy commodities;Extraction of crude petroleum and gas;2016;34.1;1648.0;10.2;1622.3;-1.8;;34.1;0.0;;0.0;0.0;;0.0;;;;34.1;;;
95;Total energy commodities;Extraction of crude petroleum and gas;2017;35.5;1416.4;199.4;1585.5;5.3;;35.5;0.0;;0.0;0.0;;0.0;;;;35.5;;;
96;Total energy commodities;Extraction of crude petroleum and gas;2018;34.4;1210.1;159.1;1333.5;-1.4;;34.4;0.0;;0.0;0.0;;0.0;;;;34.3;;;
97;Total energy commodities;Extraction of crude petroleum and gas;2019;29.7;1034.2;173.5;1174.6;-3.5;;29.7;0.1;;0.1;0.1;;0.1;;;;29.6;;;
98;Total energy commodities;Extraction of crude petroleum and gas;2020 ;29.0;755.9;177.3;906.4;2.2;;29.0;-0.1;;-0.1;-0.1;;-0.1;;;;29.1;;;
99;Total energy commodities;Extraction of crude petroleum and gas;2021;28.4;684.4;186.5;841.1;-1.3;;28.4;0.0;;0.0;0.0;;0.0;;;;28.5;;;
100;Total energy commodities;Extraction of crude petroleum and gas;2022;24.3;543.7;85.3;604.9;0.2;;24.3;0.0;;0.0;0.0;;0.0;;;;24.3;;;
101;Total energy commodities;Extraction of crude petroleum and gas;2023;19.4;371.4;70.6;425.5;3.0;;19.4;-0.1;;-0.1;-0.1;;-0.1;;;;19.5;;;
102;Total energy commodities;Coke-oven plants;1990;13.3;;112.0;98.5;-0.2;;13.3;3.3;0.1;3.3;111.0;0.3;110.7;107.7;0.2;107.5;10.0;;;
103;Total energy commodities;Coke-oven plants;1991;14.9;;120.4;105.4;-0.1;;14.9;4.0;0.0;4.0;118.7;0.3;118.5;114.7;0.2;114.5;10.9;;;
104;Total energy commodities;Coke-oven plants;1992;14.9;;119.7;104.6;-0.2;;14.9;4.0;0.0;4.0;118.4;0.3;118.1;114.3;0.2;114.1;10.9;;;
105;Total energy commodities;Coke-oven plants;1993;15.3;;119.1;104.7;0.9;;15.3;4.5;0.0;4.5;117.3;0.3;117.1;112.8;0.2;112.6;10.8;;;
106;Total energy commodities;Coke-oven plants;1994;19.6;;129.1;108.9;-0.6;;19.6;8.7;0.0;8.7;121.3;0.3;121.0;112.6;0.3;112.3;10.8;;;
107;Total energy commodities;Coke-oven plants;1995;16.0;;128.2;108.7;-3.6;;16.0;5.2;0.0;5.1;117.6;0.3;117.3;112.4;0.3;112.2;10.8;;;
108;Total energy commodities;Coke-oven plants;1996;16.8;;116.1;104.2;4.8;;16.8;6.2;0.0;6.2;119.6;0.3;119.3;113.4;0.3;113.1;10.5;;;
109;Total energy commodities;Coke-oven plants;1997;15.4;;124.7;99.4;-10.0;;15.4;4.9;0.0;4.9;116.9;0.2;116.6;111.9;0.2;111.7;10.4;;;
110;Total energy commodities;Coke-oven plants;1998;16.0;;117.4;99.2;-2.2;;16.0;5.6;0.0;5.5;113.3;0.2;113.2;107.8;0.1;107.6;10.4;;;
111;Total energy commodities;Coke-oven plants;1999;13.8;;91.3;84.3;6.7;;13.8;5.2;0.0;5.2;93.7;0.1;93.6;88.5;0.1;88.4;8.6;;;
112;Total energy commodities;Coke-oven plants;2000;12.5;;81.2;74.1;5.4;;12.5;4.7;;4.7;86.1;;86.1;81.4;;81.4;7.8;;;
113;Total energy commodities;Coke-oven plants;2001;13.2;;96.3;75.9;-7.3;;13.2;4.9;;4.9;88.8;;88.8;83.9;;83.9;8.4;;;
114;Total energy commodities;Coke-oven plants;2002;13.1;;83.6;72.6;2.1;;13.1;5.3;;5.3;85.4;;85.4;80.1;;80.1;7.8;;;
115;Total energy commodities;Coke-oven plants;2003;13.2;;86.1;74.7;1.9;;13.2;5.2;;5.2;87.4;;87.4;82.2;;82.2;8.0;;;
116;Total energy commodities;Coke-oven plants;2004;14.0;;88.7;77.5;2.8;;14.0;5.8;;5.8;90.2;;90.2;84.4;;84.4;8.2;;;
117;Total energy commodities;Coke-oven plants;2005;13.6;;93.4;77.4;-2.3;;13.6;5.5;;5.5;90.4;;90.4;84.9;;84.9;8.1;;;
118;Total energy commodities;Coke-oven plants;2006;13.0;;87.3;75.4;1.1;;13.0;5.2;;5.2;87.3;;87.3;82.1;;82.1;7.8;;;
119;Total energy commodities;Coke-oven plants;2007;13.7;;94.4;77.1;-3.6;;13.7;5.5;;5.5;89.0;;89.0;83.5;;83.5;8.2;;;
120;Total energy commodities;Coke-oven plants;2008;14.6;;85.1;74.7;4.1;;14.6;6.3;;6.3;87.7;;87.7;81.4;;81.4;8.3;;;
121;Total energy commodities;Coke-oven plants;2009;12.1;;68.4;60.2;3.8;;12.1;5.7;;5.7;71.1;;71.1;65.5;;65.5;6.4;;;
122;Total energy commodities;Coke-oven plants;2010;13.5;;92.1;71.8;-6.8;;13.5;5.7;;5.7;84.0;;84.0;78.3;;78.3;7.8;;;
123;Total energy commodities;Coke-oven plants;2011;14.9;;87.6;70.9;-1.8;;14.9;7.2;;7.2;84.7;;84.7;77.6;;77.6;7.7;;;
124;Total energy commodities;Coke-oven plants;2012;12.7;;77.3;67.1;2.5;;12.7;5.3;;5.3;78.5;;78.5;73.3;;73.3;7.5;;;
125;Total energy commodities;Coke-oven plants;2013;12.3;;82.1;69.8;-0.1;;12.3;4.6;;4.6;80.3;;80.3;75.8;;75.8;7.7;;;
126;Total energy commodities;Coke-oven plants;2014;14.0;;83.6;71.0;1.4;;14.0;6.0;;6.0;83.2;;83.2;77.2;;77.2;8.0;;;
127;Total energy commodities;Coke-oven plants;2015;16.6;;85.4;71.8;3.0;;16.6;7.3;;7.3;85.0;;85.0;77.7;;77.7;9.3;;;
128;Total energy commodities;Coke-oven plants;2016;15.5;;84.9;70.5;1.2;;15.5;6.3;;6.3;82.9;;82.9;76.6;;76.6;9.2;;;
129;Total energy commodities;Coke-oven plants;2017;13.0;;86.8;69.0;-4.8;;13.0;3.9;;3.9;78.8;;78.8;74.9;;74.9;9.1;;;
130;Total energy commodities;Coke-oven plants;2018;11.5;;78.4;70.2;3.3;;11.5;2.2;;2.2;78.0;;78.0;75.8;;75.8;9.3;;;
131;Total energy commodities;Coke-oven plants;2019;13.0;;85.2;69.4;-2.8;;13.0;4.0;;4.0;79.1;;79.1;75.1;;75.1;9.0;;;
132;Total energy commodities;Coke-oven plants;2020 ;12.1;;70.5;66.1;7.7;;12.1;3.6;;3.6;75.2;;75.2;71.6;;71.6;8.6;;;
133;Total energy commodities;Coke-oven plants;2021;12.9;;81.0;66.2;-1.9;;12.9;4.3;;4.3;76.2;;76.2;71.9;;71.9;8.6;;;
134;Total energy commodities;Coke-oven plants;2022;14.5;;77.7;64.5;1.4;;14.5;6.1;;6.1;76.4;;76.4;70.4;;70.4;8.5;;;
135;Total energy commodities;Coke-oven plants;2023;10.8;;74.6;61.8;-2.1;;10.8;2.6;;2.6;70.9;;70.9;68.2;;68.2;8.1;;;
136;Total energy commodities;Blast furnaces;1990;56.3;0.4;76.0;20.1;;;56.3;43.8;;43.8;69.9;0.4;69.4;26.1;0.4;25.6;12.5;;;
137;Total energy commodities;Blast furnaces;1991;53.5;0.2;73.8;20.6;;;53.5;39.5;;39.5;66.0;0.2;65.7;26.5;0.2;26.2;14.0;;;
