ID;Geslacht;Leeftijd;WoonregioS;WerkregioS;Perioden;TotaalHoofdbanenVanWerknemers_1;HoofdbaanBinnenWoongemeente_2;HoofdbaanBuitenWoongemeente_3;HoofdbaanBinnenWoonCOROP_4;HoofdbaanBuitenWoonCOROP_5;HoofdbaanBinnenWoonprovincie_6;HoofdbaanBuitenWoonprovincie_7;GemiddeldeWoonwerkafstand_8
20;Geslacht totaal;0;Nederland inclusief buitenland;Overijssel (PV);31 december 1998;413.4;206.9;206.5;331.6;81.8;353.7;59.7;
21;Geslacht totaal;0;Nederland inclusief buitenland;Overijssel (PV);31 december 2000;426.9;211.7;215.2;338.3;88.6;362.1;64.8;
22;Geslacht totaal;0;Nederland inclusief buitenland;Overijssel (PV);30 september 2004;466.8;238.3;228.5;358.8;108.0;386.0;80.8;
23;Geslacht totaal;0;Nederland inclusief buitenland;Overijssel (PV);30 september 2005;469.3;238.9;230.4;358.6;110.7;386.3;83.0;
24;Geslacht totaal;0;Nederland inclusief buitenland;Flevoland (PV);31 december 1998;91.0;55.3;35.7;65.5;25.5;65.5;25.5;
25;Geslacht totaal;0;Nederland inclusief buitenland;Flevoland (PV);31 december 2000;101.3;59.1;42.2;70.7;30.7;70.7;30.7;
26;Geslacht totaal;0;Nederland inclusief buitenland;Flevoland (PV);30 september 2004;119.0;70.0;49.0;83.8;35.2;83.8;35.2;
27;Geslacht totaal;0;Nederland inclusief buitenland;Flevoland (PV);30 september 2005;123.6;70.6;53.0;84.7;38.9;84.7;38.9;
28;Geslacht totaal;0;Nederland inclusief buitenland;Gelderland (PV);31 december 1998;745.5;338.0;407.4;559.5;186.0;625.3;120.2;
29;Geslacht totaal;0;Nederland inclusief buitenland;Gelderland (PV);31 december 2000;758.9;340.1;418.8;565.5;193.3;632.2;126.7;
30;Geslacht totaal;0;Nederland inclusief buitenland;Gelderland (PV);30 september 2004;806.5;365.7;440.8;594.2;212.3;663.5;143.0;
31;Geslacht totaal;0;Nederland inclusief buitenland;Gelderland (PV);30 september 2005;807.6;375.5;432.1;591.1;216.5;662.3;145.3;
32;Geslacht totaal;0;Nederland inclusief buitenland;Utrecht (PV);31 december 1998;556.5;194.1;362.4;371.1;185.4;371.1;185.4;
33;Geslacht totaal;0;Nederland inclusief buitenland;Utrecht (PV);31 december 2000;563.2;189.7;373.5;367.1;196.1;367.1;196.1;
34;Geslacht totaal;0;Nederland inclusief buitenland;Utrecht (PV);30 september 2004;594.7;216.1;378.6;394.2;200.5;394.2;200.5;
35;Geslacht totaal;0;Nederland inclusief buitenland;Utrecht (PV);30 september 2005;601.7;218.3;383.4;396.3;205.4;396.3;205.4;
36;Geslacht totaal;0;Nederland inclusief buitenland;Noord-Holland (PV);31 december 1998;1171.1;493.3;677.9;637.5;533.6;946.4;224.7;
37;Geslacht totaal;0;Nederland inclusief buitenland;Noord-Holland (PV);31 december 2000;1209.4;484.9;724.5;725.8;483.6;948.0;261.4;
38;Geslacht totaal;0;Nederland inclusief buitenland;Noord-Holland (PV);30 september 2004;1255.7;521.5;734.2;762.1;493.5;991.6;264.0;
39;Geslacht totaal;0;Nederland inclusief buitenland;Noord-Holland (PV);30 september 2005;1252.6;516.9;735.7;759.3;493.2;989.6;263.0;
40;Geslacht totaal;0;Nederland inclusief buitenland;Zuid-Holland (PV);31 december 1998;1420.9;602.4;818.5;968.2;452.7;1248.3;172.6;
41;Geslacht totaal;0;Nederland inclusief buitenland;Zuid-Holland (PV);31 december 2000;1445.1;595.7;849.3;1002.7;442.4;1253.5;191.6;
42;Geslacht totaal;0;Nederland inclusief buitenland;Zuid-Holland (PV);30 september 2004;1513.2;649.2;864.0;1051.7;461.5;1314.5;198.6;
43;Geslacht totaal;0;Nederland inclusief buitenland;Zuid-Holland (PV);30 september 2005;1523.3;650.7;872.6;1052.4;470.9;1316.3;207.0;
44;Geslacht totaal;0;Nederland inclusief buitenland;Zeeland (PV);31 december 1998;125.8;65.6;60.2;113.4;12.3;116.0;9.7;
45;Geslacht totaal;0;Nederland inclusief buitenland;Zeeland (PV);31 december 2000;126.5;65.2;61.3;113.4;13.1;116.2;10.2;
46;Geslacht totaal;0;Nederland inclusief buitenland;Zeeland (PV);30 september 2004;143.9;80.0;63.9;124.9;19.1;128.2;15.8;
47;Geslacht totaal;0;Nederland inclusief buitenland;Zeeland (PV);30 september 2005;142.5;79.2;63.3;124.5;18.0;127.9;14.6;
48;Geslacht totaal;0;Nederland inclusief buitenland;Noord-Brabant (PV);31 december 1998;979.8;451.8;528.0;738.4;241.3;864.1;115.6;
49;Geslacht totaal;0;Nederland inclusief buitenland;Noord-Brabant (PV);31 december 2000;1003.8;452.6;551.2;764.8;239.0;873.9;129.9;
50;Geslacht totaal;0;Nederland inclusief buitenland;Noord-Brabant (PV);30 september 2004;1073.0;486.4;586.6;802.1;270.9;919.1;153.9;
51;Geslacht totaal;0;Nederland inclusief buitenland;Noord-Brabant (PV);30 september 2005;1079.3;484.2;595.1;799.5;279.7;918.4;160.8;
52;Geslacht totaal;0;Nederland inclusief buitenland;Limburg (PV);31 december 1998;431.3;181.2;250.0;365.2;66.1;392.9;38.3;
53;Geslacht totaal;0;Nederland inclusief buitenland;Limburg (PV);31 december 2000;443.2;180.5;262.7;367.6;75.6;396.6;46.6;
54;Geslacht totaal;0;Nederland inclusief buitenland;Limburg (PV);30 september 2004;467.8;205.0;262.8;375.4;92.4;407.6;60.2;
55;Geslacht totaal;0;Nederland inclusief buitenland;Limburg (PV);30 september 2005;462.4;202.3;260.1;371.1;91.3;403.0;59.4;
56;Geslacht totaal;0;Nederland inclusief buitenland;Corop onbekend;31 december 1998;0.0;;;;;;;0.0
57;Geslacht totaal;0;Nederland inclusief buitenland;Corop onbekend;31 december 2000;0.0;;;;;;;0.0
58;Geslacht totaal;0;Nederland inclusief buitenland;Corop onbekend;30 september 2004;51.3;;51.3;;51.3;;51.3;
59;Geslacht totaal;0;Nederland inclusief buitenland;Corop onbekend;30 september 2005;52.7;;52.7;;52.7;;52.7;
60;Geslacht totaal;0;Nederland inclusief buitenland;Oost-Groningen (CR);31 december 1998;44.0;21.1;22.9;34.7;9.3;38.1;5.8;
61;Geslacht totaal;0;Nederland inclusief buitenland;Oost-Groningen (CR);31 december 2000;44.9;21.0;23.9;35.1;9.8;38.7;6.3;
62;Geslacht totaal;0;Nederland inclusief buitenland;Oost-Groningen (CR);30 september 2004;46.1;23.1;23.0;36.4;9.8;39.9;6.2;
63;Geslacht totaal;0;Nederland inclusief buitenland;Oost-Groningen (CR);30 september 2005;46.6;23.3;23.2;36.1;10.5;39.9;6.6;
64;Geslacht totaal;0;Nederland inclusief buitenland;Delfzijl en omgeving (CR);31 december 1998;15.9;8.1;7.8;11.2;4.7;14.8;1.2;
65;Geslacht totaal;0;Nederland inclusief buitenland;Delfzijl en omgeving (CR);31 december 2000;16.5;8.0;8.5;11.4;5.1;15.1;1.3;
66;Geslacht totaal;0;Nederland inclusief buitenland;Delfzijl en omgeving (CR);30 september 2004;16.4;7.9;8.5;11.0;5.4;14.8;1.5;
67;Geslacht totaal;0;Nederland inclusief buitenland;Delfzijl en omgeving (CR);30 september 2005;16.6;7.8;8.8;10.9;5.6;15.0;1.6;
68;Geslacht totaal;0;Nederland inclusief buitenland;Overig Groningen (CR);31 december 1998;151.0;70.7;80.3;107.6;43.4;121.2;29.8;
69;Geslacht totaal;0;Nederland inclusief buitenland;Overig Groningen (CR);31 december 2000;156.3;73.2;83.1;111.2;45.2;125.3;31.0;
70;Geslacht totaal;0;Nederland inclusief buitenland;Overig Groningen (CR);30 september 2004;166.1;78.2;87.9;116.5;49.6;131.9;34.2;
71;Geslacht totaal;0;Nederland inclusief buitenland;Overig Groningen (CR);30 september 2005;167.5;78.4;89.0;116.8;50.7;131.8;35.7;
72;Geslacht totaal;0;Nederland inclusief buitenland;Noord-Friesland (CR);31 december 1998;114.1;55.0;59.1;91.5;22.7;104.0;10.1;
73;Geslacht totaal;0;Nederland inclusief buitenland;Noord-Friesland (CR);31 december 2000;118.1;56.4;61.6;94.5;23.5;107.0;11.1;
74;Geslacht totaal;0;Nederland inclusief buitenland;Noord-Friesland (CR);30 september 2004;124.7;60.7;64.0;99.7;25.0;113.3;11.4;
75;Geslacht totaal;0;Nederland inclusief buitenland;Noord-Friesland (CR);30 september 2005;126.5;60.9;65.6;100.2;26.4;113.8;12.7;
76;Geslacht totaal;0;Nederland inclusief buitenland;Zuidwest-Friesland (CR);31 december 1998;29.4;15.1;14.3;22.3;7.1;27.6;1.8;
77;Geslacht totaal;0;Nederland inclusief buitenland;Zuidwest-Friesland (CR);31 december 2000;31.8;15.6;16.2;23.5;8.3;29.4;2.3;
78;Geslacht totaal;0;Nederland inclusief buitenland;Zuidwest-Friesland (CR);30 september 2004;35.2;17.4;17.8;25.8;9.4;32.8;2.4;
79;Geslacht totaal;0;Nederland inclusief buitenland;Zuidwest-Friesland (CR);30 september 2005;36.2;17.6;18.6;25.9;10.2;33.6;2.5;
80;Geslacht totaal;0;Nederland inclusief buitenland;Zuidoost-Friesland (CR);31 december 1998;64.0;35.6;28.4;47.7;16.3;56.8;7.3;
81;Geslacht totaal;0;Nederland inclusief buitenland;Zuidoost-Friesland (CR);31 december 2000;69.6;36.7;32.9;50.4;19.2;61.1;8.5;
82;Geslacht totaal;0;Nederland inclusief buitenland;Zuidoost-Friesland (CR);30 september 2004;74.6;38.9;35.7;53.2;21.4;65.4;9.3;
83;Geslacht totaal;0;Nederland inclusief buitenland;Zuidoost-Friesland (CR);30 september 2005;75.1;38.9;36.2;53.4;21.7;65.9;9.2;
84;Geslacht totaal;0;Nederland inclusief buitenland;Noord-Drenthe (CR);31 december 1998;63.8;27.6;36.3;39.7;24.2;47.5;16.4;
85;Geslacht totaal;0;Nederland inclusief buitenland;Noord-Drenthe (CR);31 december 2000;63.3;28.1;35.1;40.1;23.2;47.4;15.9;
86;Geslacht totaal;0;Nederland inclusief buitenland;Noord-Drenthe (CR);30 september 2004;69.0;31.0;38.0;43.2;25.8;51.4;17.6;
87;Geslacht totaal;0;Nederland inclusief buitenland;Noord-Drenthe (CR);30 september 2005;66.8;30.9;35.8;43.1;23.6;48.7;18.1;
88;Geslacht totaal;0;Nederland inclusief buitenland;Zuidoost-Drenthe (CR);31 december 1998;54.3;37.0;17.3;44.4;9.9;46.9;7.3;
89;Geslacht totaal;0;Nederland inclusief buitenland;Zuidoost-Drenthe (CR);31 december 2000;56.8;37.9;18.9;45.7;11.1;48.4;8.4;
90;Geslacht totaal;0;Nederland inclusief buitenland;Zuidoost-Drenthe (CR);30 september 2004;56.7;36.6;20.1;44.3;12.3;47.4;9.2;
91;Geslacht totaal;0;Nederland inclusief buitenland;Zuidoost-Drenthe (CR);30 september 2005;59.6;37.9;21.7;46.0;13.5;49.1;10.5;
92;Geslacht totaal;0;Nederland inclusief buitenland;Zuidwest-Drenthe (CR);31 december 1998;42.4;22.5;19.9;28.9;13.5;32.7;9.7;
93;Geslacht totaal;0;Nederland inclusief buitenland;Zuidwest-Drenthe (CR);31 december 2000;45.4;22.9;22.5;30.0;15.4;34.2;11.2;
94;Geslacht totaal;0;Nederland inclusief buitenland;Zuidwest-Drenthe (CR);30 september 2004;48.7;24.3;24.4;31.5;17.2;36.4;12.3;
95;Geslacht totaal;0;Nederland inclusief buitenland;Zuidwest-Drenthe (CR);30 september 2005;49.8;24.9;24.9;32.7;17.1;37.9;11.9;
96;Geslacht totaal;0;Nederland inclusief buitenland;Noord-Overijssel (CR);31 december 1998;136.0;67.4;68.6;98.1;37.9;106.0;30.0;
97;Geslacht totaal;0;Nederland inclusief buitenland;Noord-Overijssel (CR);31 december 2000;141.4;68.0;73.4;101.0;40.4;109.7;31.7;
98;Geslacht totaal;0;Nederland inclusief buitenland;Noord-Overijssel (CR);30 september 2004;155.5;78.8;76.7;103.9;51.6;116.0;39.5;
99;Geslacht totaal;0;Nederland inclusief buitenland;Noord-Overijssel (CR);30 september 2005;156.9;78.7;78.2;104.1;52.8;116.4;40.4;
100;Geslacht totaal;0;Nederland inclusief buitenland;Zuidwest-Overijssel (CR);31 december 1998;54.5;26.4;28.2;34.7;19.9;42.1;12.4;
101;Geslacht totaal;0;Nederland inclusief buitenland;Zuidwest-Overijssel (CR);31 december 2000;56.5;28.5;28.0;34.7;21.8;43.1;13.4;
102;Geslacht totaal;0;Nederland inclusief buitenland;Zuidwest-Overijssel (CR);30 september 2004;59.6;31.5;28.0;38.4;21.2;45.9;13.7;
103;Geslacht totaal;0;Nederland inclusief buitenland;Zuidwest-Overijssel (CR);30 september 2005;59.9;32.0;27.9;38.3;21.6;46.3;13.6;
104;Geslacht totaal;0;Nederland inclusief buitenland;Twente (CR);31 december 1998;222.9;113.1;109.7;198.9;24.0;205.6;17.3;
105;Geslacht totaal;0;Nederland inclusief buitenland;Twente (CR);31 december 2000;229.0;115.2;113.8;202.6;26.4;209.3;19.7;
106;Geslacht totaal;0;Nederland inclusief buitenland;Twente (CR);30 september 2004;251.7;127.9;123.8;216.5;35.2;224.1;27.6;
107;Geslacht totaal;0;Nederland inclusief buitenland;Twente (CR);30 september 2005;252.5;128.1;124.4;216.1;36.4;223.6;28.9;
108;Geslacht totaal;0;Nederland inclusief buitenland;Veluwe (CR);31 december 1998;257.0;131.5;125.4;179.3;77.6;201.6;55.3;
109;Geslacht totaal;0;Nederland inclusief buitenland;Veluwe (CR);31 december 2000;257.2;130.6;126.6;179.2;78.1;201.4;55.8;
110;Geslacht totaal;0;Nederland inclusief buitenland;Veluwe (CR);30 september 2004;270.6;137.5;133.1;188.2;82.4;210.8;59.9;
111;Geslacht totaal;0;Nederland inclusief buitenland;Veluwe (CR);30 september 2005;270.7;137.9;132.9;188.6;82.1;211.5;59.2;
112;Geslacht totaal;0;Nederland inclusief buitenland;Achterhoek (CR);31 december 1998;137.8;61.6;76.2;111.0;26.8;123.5;14.4;
113;Geslacht totaal;0;Nederland inclusief buitenland;Achterhoek (CR);31 december 2000;139.9;61.1;78.9;112.1;27.8;124.6;15.4;
114;Geslacht totaal;0;Nederland inclusief buitenland;Achterhoek (CR);30 september 2004;148.2;65.5;82.7;117.2;31.0;130.2;18.0;
115;Geslacht totaal;0;Nederland inclusief buitenland;Achterhoek (CR);30 september 2005;152.5;76.5;76.0;120.4;32.1;133.3;19.2;
116;Geslacht totaal;0;Nederland inclusief buitenland;Arnhem/Nijmegen (CR);31 december 1998;276.5;115.1;161.3;219.1;57.3;244.4;32.1;
117;Geslacht totaal;0;Nederland inclusief buitenland;Arnhem/Nijmegen (CR);31 december 2000;285.2;116.0;169.2;223.1;62.1;249.3;35.9;
118;Geslacht totaal;0;Nederland inclusief buitenland;Arnhem/Nijmegen (CR);30 september 2004;302.5;125.7;176.8;232.3;70.2;259.5;43.0;
119;Geslacht totaal;0;Nederland inclusief buitenland;Arnhem/Nijmegen (CR);30 september 2005;298.7;124.1;174.6;225.6;73.1;254.6;44.2;
120;Geslacht totaal;0;Nederland inclusief buitenland;Zuidwest-Gelderland (CR);31 december 1998;74.2;29.8;44.4;50.0;24.2;55.8;18.5;
121;Geslacht totaal;0;Nederland inclusief buitenland;Zuidwest-Gelderland (CR);31 december 2000;76.5;32.4;44.1;51.1;25.4;56.9;19.6;
122;Geslacht totaal;0;Nederland inclusief buitenland;Zuidwest-Gelderland (CR);30 september 2004;85.2;37.0;48.2;56.5;28.7;63.0;22.2;
123;Geslacht totaal;0;Nederland inclusief buitenland;Zuidwest-Gelderland (CR);30 september 2005;85.7;37.1;48.6;56.5;29.2;62.9;22.7;
124;Geslacht totaal;0;Nederland inclusief buitenland;Utrecht (CR);31 december 1998;556.5;194.1;362.4;371.1;185.4;371.1;185.4;
125;Geslacht totaal;0;Nederland inclusief buitenland;Utrecht (CR);31 december 2000;563.2;189.7;373.5;367.1;196.1;367.1;196.1;
126;Geslacht totaal;0;Nederland inclusief buitenland;Utrecht (CR);30 september 2004;594.7;216.1;378.6;394.2;200.5;394.2;200.5;
127;Geslacht totaal;0;Nederland inclusief buitenland;Utrecht (CR);30 september 2005;601.7;218.3;383.4;396.3;205.4;396.3;205.4;
128;Geslacht totaal;0;Nederland inclusief buitenland;Kop van Noord-Holland (CR);31 december 1998;113.3;57.9;55.4;94.6;18.7;104.7;8.6;
129;Geslacht totaal;0;Nederland inclusief buitenland;Kop van Noord-Holland (CR);31 december 2000;114.9;57.3;57.6;95.4;19.5;106.3;8.7;
130;Geslacht totaal;0;Nederland inclusief buitenland;Kop van Noord-Holland (CR);30 september 2004;122.4;63.8;58.6;102.2;20.2;113.2;9.2;
131;Geslacht totaal;0;Nederland inclusief buitenland;Kop van Noord-Holland (CR);30 september 2005;121.9;61.7;60.1;101.0;20.8;112.4;9.5;
132;Geslacht totaal;0;Nederland inclusief buitenland;Alkmaar en omgeving (CR);31 december 1998;81.7;34.4;47.4;57.7;24.0;78.9;2.8;
133;Geslacht totaal;0;Nederland inclusief buitenland;Alkmaar en omgeving (CR);31 december 2000;84.5;34.3;50.2;57.9;26.6;80.0;4.4;
134;Geslacht totaal;0;Nederland inclusief buitenland;Alkmaar en omgeving (CR);30 september 2004;92.0;39.1;52.9;61.5;30.5;87.1;4.9;
135;Geslacht totaal;0;Nederland inclusief buitenland;Alkmaar en omgeving (CR);30 september 2005;91.1;38.5;52.6;61.0;30.0;86.5;4.5;
136;Geslacht totaal;0;Nederland inclusief buitenland;IJmond (CR);31 december 1998;62.0;22.2;39.7;37.8;24.1;58.5;3.5;
137;Geslacht totaal;0;Nederland inclusief buitenland;IJmond (CR);31 december 2000;62.1;22.2;40.0;38.0;24.1;57.7;4.5;
138;Geslacht totaal;0;Nederland inclusief buitenland;IJmond (CR);30 september 2004;66.4;26.1;40.3;43.4;23.0;62.7;3.7;
139;Geslacht totaal;0;Nederland inclusief buitenland;IJmond (CR);30 september 2005;65.7;25.3;40.4;42.7;23.0;61.7;3.9;
140;Geslacht totaal;0;Nederland inclusief buitenland;Agglomeratie Haarlem (CR);31 december 1998;84.0;36.4;47.6;48.7;35.4;74.3;9.7;
141;Geslacht totaal;0;Nederland inclusief buitenland;Agglomeratie Haarlem (CR);31 december 2000;82.0;34.5;47.4;46.5;35.5;71.9;10.1;
142;Geslacht totaal;0;Nederland inclusief buitenland;Agglomeratie Haarlem (CR);30 september 2004;82.6;34.9;47.7;45.8;36.8;71.2;11.4;
143;Geslacht totaal;0;Nederland inclusief buitenland;Agglomeratie Haarlem (CR);30 september 2005;82.0;35.2;46.8;45.4;36.6;71.1;10.9;
144;Geslacht totaal;0;Nederland inclusief buitenland;Zaanstreek (CR);31 december 1998;57.2;31.7;25.4;35.0;22.2;53.0;4.1;
145;Geslacht totaal;0;Nederland inclusief buitenland;Zaanstreek (CR);31 december 2000;57.0;30.1;26.8;33.3;23.7;51.0;6.0;
146;Geslacht totaal;0;Nederland inclusief buitenland;Zaanstreek (CR);30 september 2004;58.1;31.3;26.8;34.6;23.5;52.7;5.4;
147;Geslacht totaal;0;Nederland inclusief buitenland;Zaanstreek (CR);30 september 2005;56.2;30.6;25.6;33.8;22.4;51.4;4.8;
148;Geslacht totaal;0;Nederland inclusief buitenland;Groot-Amsterdam (CR);31 december 1998;673.3;279.8;393.5;309.5;363.8;512.2;161.1;
149;Geslacht totaal;0;Nederland inclusief buitenland;Groot-Amsterdam (CR);31 december 2000;707.6;275.8;431.7;400.8;306.8;516.4;191.1;
150;Geslacht totaal;0;Nederland inclusief buitenland;Groot-Amsterdam (CR);30 september 2004;729.1;291.8;437.2;417.2;311.9;535.8;193.2;
151;Geslacht totaal;0;Nederland inclusief buitenland;Groot-Amsterdam (CR);30 september 2005;732.3;292.1;440.1;419.2;313.1;538.9;193.4;
152;Geslacht totaal;0;Nederland inclusief buitenland;Het Gooi en Vechtstreek (CR);31 december 1998;99.7;30.8;68.9;54.1;45.6;64.7;34.9;
153;Geslacht totaal;0;Nederland inclusief buitenland;Het Gooi en Vechtstreek (CR);31 december 2000;101.4;30.6;70.8;54.0;47.4;64.8;36.6;
154;Geslacht totaal;0;Nederland inclusief buitenland;Het Gooi en Vechtstreek (CR);30 september 2004;105.1;34.4;70.7;57.4;47.7;68.8;36.3;
155;Geslacht totaal;0;Nederland inclusief buitenland;Het Gooi en Vechtstreek (CR);30 september 2005;103.5;33.4;70.1;56.1;47.4;67.6;35.9;
156;Geslacht totaal;0;Nederland inclusief buitenland;Aggl. Leiden en Bollenstreek (CR);31 december 1998;145.8;58.7;87.1;108.9;36.9;129.8;15.9;
157;Geslacht totaal;0;Nederland inclusief buitenland;Aggl. Leiden en Bollenstreek (CR);31 december 2000;149.6;57.5;92.1;108.2;41.4;130.4;19.2;
158;Geslacht totaal;0;Nederland inclusief buitenland;Aggl. Leiden en Bollenstreek (CR);30 september 2004;160.0;63.0;97.0;115.0;45.0;139.2;20.7;
159;Geslacht totaal;0;Nederland inclusief buitenland;Aggl. Leiden en Bollenstreek (CR);30 september 2005;159.2;62.3;96.9;114.6;44.6;138.8;20.4;
160;Geslacht totaal;0;Nederland inclusief buitenland;Agglomeratie 's-Gravenhage (CR);31 december 1998;350.1;153.3;196.8;224.9;125.2;305.8;44.3;
161;Geslacht totaal;0;Nederland inclusief buitenland;Agglomeratie 's-Gravenhage (CR);31 december 2000;360.4;150.3;210.1;223.1;137.3;305.1;55.2;
162;Geslacht totaal;0;Nederland inclusief buitenland;Agglomeratie 's-Gravenhage (CR);30 september 2004;365.0;165.0;200.0;235.3;129.7;312.9;52.0;
163;Geslacht totaal;0;Nederland inclusief buitenland;Agglomeratie 's-Gravenhage (CR);30 september 2005;371.7;168.6;203.2;237.7;134.0;316.6;55.1;
164;Geslacht totaal;0;Nederland inclusief buitenland;Delft en Westland (CR);31 december 1998;101.4;40.4;61.0;59.8;41.7;95.2;6.2;
165;Geslacht totaal;0;Nederland inclusief buitenland;Delft en Westland (CR);31 december 2000;103.4;40.4;63.0;60.6;42.8;96.2;7.2;
166;Geslacht totaal;0;Nederland inclusief buitenland;Delft en Westland (CR);30 september 2004;106.7;51.5;55.2;58.6;48.1;97.8;8.9;
167;Geslacht totaal;0;Nederland inclusief buitenland;Delft en Westland (CR);30 september 2005;108.6;51.6;57.1;58.5;50.1;97.5;11.1;
168;Geslacht totaal;0;Nederland inclusief buitenland;Oost-Zuid-Holland (CR);31 december 1998;116.5;50.0;66.5;79.3;37.2;99.5;17.0;
169;Geslacht totaal;0;Nederland inclusief buitenland;Oost-Zuid-Holland (CR);31 december 2000;118.7;49.7;69.0;79.4;39.3;101.0;17.7;
170;Geslacht totaal;0;Nederland inclusief buitenland;Oost-Zuid-Holland (CR);30 september 2004;126.8;54.1;72.7;84.9;41.9;108.0;18.8;
171;Geslacht totaal;0;Nederland inclusief buitenland;Oost-Zuid-Holland (CR);30 september 2005;126.2;53.7;72.5;83.4;42.8;106.3;19.8;
172;Geslacht totaal;0;Nederland inclusief buitenland;Groot-Rijnmond (CR);31 december 1998;546.9;233.5;313.5;388.7;158.3;491.3;55.7;
173;Geslacht totaal;0;Nederland inclusief buitenland;Groot-Rijnmond (CR);31 december 2000;550.1;231.2;318.9;423.3;126.7;491.6;58.5;
174;Geslacht totaal;0;Nederland inclusief buitenland;Groot-Rijnmond (CR);30 september 2004;589.3;247.6;341.7;447.8;141.5;523.6;65.7;
175;Geslacht totaal;0;Nederland inclusief buitenland;Groot-Rijnmond (CR);30 september 2005;594.2;246.7;347.5;448.6;145.6;525.3;68.9;
176;Geslacht totaal;0;Nederland inclusief buitenland;Zuidoost-Zuid-Holland (CR);31 december 1998;160.1;66.5;93.6;106.7;53.4;126.6;33.5;
177;Geslacht totaal;0;Nederland inclusief buitenland;Zuidoost-Zuid-Holland (CR);31 december 2000;162.9;66.7;96.2;108.0;54.9;129.2;33.8;
178;Geslacht totaal;0;Nederland inclusief buitenland;Zuidoost-Zuid-Holland (CR);30 september 2004;165.5;68.0;97.5;110.1;55.4;133.0;32.5;
179;Geslacht totaal;0;Nederland inclusief buitenland;Zuidoost-Zuid-Holland (CR);30 september 2005;163.4;68.0;95.4;109.6;53.8;131.8;31.6;
180;Geslacht totaal;0;Nederland inclusief buitenland;Zeeuwsch-Vlaanderen (CR);31 december 1998;38.0;20.7;17.3;34.1;4.0;35.0;3.1;
181;Geslacht totaal;0;Nederland inclusief buitenland;Zeeuwsch-Vlaanderen (CR);31 december 2000;38.1;20.2;17.9;33.7;4.4;34.7;3.4;
182;Geslacht totaal;0;Nederland inclusief buitenland;Zeeuwsch-Vlaanderen (CR);30 september 2004;41.7;28.5;13.2;35.5;6.1;36.8;4.8;
