ID;Geslacht;Leeftijd;Perioden;TotaalZelfdoding_1;Ongehuwd_2;Gehuwd_3;Verweduwd_4;Gescheiden_5;OphangenVerwurgen_6;MedicijnenEnOfAlcohol_7;VoorTreinOfMetro_8;Verdrinken_9;SpringenVanHoogte_10;OverigeWijzeVanZelfdoding_11;OnbekendeWijzeVanZelfdoding_12;PsychischeStoornissen_13;FysiekeStoornissen_14;HuiselijkeOmstandigheden_15;OverigMotiefVanZelfdoding_16;OnbekendMotiefVanZelfdoding_17;TotaalZelfdoding_18;Ongehuwd_19;Gehuwd_20;Verweduwd_21;Gescheiden_22
37;Totaal mannen en vrouwen;Totaal alle leeftijden;1987;1616;558;627;205;226;655;230;189.0;166;136;238;2;535;73;123;93;792;11.0;8.7;9.1;24.6;40.1
38;Totaal mannen en vrouwen;Totaal alle leeftijden;1988;1523;499;600;225;199;567;190;184.0;201;175;203;3;554;68;156;66;679;10.3;7.8;8.7;26.8;34.0
39;Totaal mannen en vrouwen;Totaal alle leeftijden;1989;1520;572;544;184;220;573;197;222.0;167;170;191;0;696;74;191;127;432;10.2;8.9;7.8;21.7;36.2
40;Totaal mannen en vrouwen;Totaal alle leeftijden;1990;1450;521;512;208;209;597;150;173.0;180;162;188;0;647;110;181;138;374;9.7;8.0;7.3;24.3;33.4
41;Totaal mannen en vrouwen;Totaal alle leeftijden;1991;1611;591;568;215;237;587;187;181.0;167;167;320;2;758;118;188;124;423;10.7;9.0;8.1;24.9;36.8
42;Totaal mannen en vrouwen;Totaal alle leeftijden;1992;1587;584;579;197;227;586;216;227.0;180;162;216;0;810;72;139;124;442;10.5;8.8;8.2;22.7;34.1
43;Totaal mannen en vrouwen;Totaal alle leeftijden;1993;1555;585;540;176;254;612;229;200.0;139;154;220;1;815;55;173;134;378;10.2;8.8;7.6;20.1;36.9
44;Totaal mannen en vrouwen;Totaal alle leeftijden;1994;1584;605;593;156;230;650;249;212.0;149;106;215;3;748;90;194;122;430;10.3;9.0;8.4;17.8;32.1
45;Totaal mannen en vrouwen;Totaal alle leeftijden;1995;1511;599;524;139;249;628;241;186.0;126;131;198;1;580;148;179;191;413;9.8;8.9;7.4;15.9;33.4
46;Totaal mannen en vrouwen;Totaal alle leeftijden;1996;1577;598;539;168;272;681;252;160.0;131;154;179;20;638;145;147;203;444;10.2;8.8;7.6;19.1;35.0
47;Totaal mannen en vrouwen;Totaal alle leeftijden;1997;1570;614;512;167;277;680;253;167.0;132;131;195;12;679;118;157;162;454;10.1;8.9;7.3;18.9;34.5
48;Totaal mannen en vrouwen;Totaal alle leeftijden;1998;1519;589;465;174;291;669;241;176.0;133;106;181;13;659;120;173;178;389;9.7;8.5;6.6;19.9;34.7
49;Totaal mannen en vrouwen;Totaal alle leeftijden;1999;1517;607;487;151;272;648;260;164.0;121;134;185;5;721;92;154;155;395;9.6;8.7;6.9;17.3;31.6
50;Totaal mannen en vrouwen;Totaal alle leeftijden;2000;1500;582;512;147;259;647;229;178.0;146;131;157;12;647;105;136;151;461;9.4;8.2;7.2;16.7;29.6
51;Totaal mannen en vrouwen;Totaal alle leeftijden;2001;1473;569;496;135;273;608;236;189.0;117;137;179;7;651;111;134;143;434;9.2;7.9;7.0;15.3;30.3
52;Totaal mannen en vrouwen;Totaal alle leeftijden;2002;1567;629;530;141;267;698;246;168.0;116;154;177;8;722;112;170;178;385;9.7;8.6;7.5;16.0;28.8
53;Totaal mannen en vrouwen;Totaal alle leeftijden;2003;1500;563;491;146;300;686;228;163.0;97;155;161;10;699;105;137;133;426;9.2;7.7;7.0;16.6;31.7
54;Totaal mannen en vrouwen;Totaal alle leeftijden;2004;1514;595;483;131;305;683;256;163.0;118;133;152;9;704;131;173;182;324;9.3;8.0;6.9;14.9;31.6
55;Totaal mannen en vrouwen;Totaal alle leeftijden;2005;1572;641;499;128;304;713;260;177.0;118;126;174;4;668;132;184;179;409;9.6;8.6;7.1;14.6;30.8
56;Totaal mannen en vrouwen;Totaal alle leeftijden;2006;1524;624;480;138;282;693;236;178.0;107;161;139;10;736;136;202;162;288;9.3;8.3;6.9;15.8;28.0
57;Totaal mannen en vrouwen;Totaal alle leeftijden;2007;1353;547;428;117;261;577;243;188.0;86;114;134;11;636;95;177;172;273;8.3;7.2;6.2;13.4;25.4
58;Totaal mannen en vrouwen;Totaal alle leeftijden;2008;1435;600;458;112;265;648;279;156.0;99;110;136;7;713;111;189;183;239;8.7;7.9;6.6;12.9;25.3
59;Totaal mannen en vrouwen;Totaal alle leeftijden;2009;1525;613;488;122;302;677;259;187.0;104;123;169;6;750;109;172;152;342;9.2;8.0;7.1;14.1;27.6
60;Totaal mannen en vrouwen;Totaal alle leeftijden;2010;1600;638;540;136;286;744;258;182.0;103;139;168;6;719;83;138;119;541;9.6;8.2;7.9;15.7;25.1
61;Totaal mannen en vrouwen;Totaal alle leeftijden;2011;1647;690;524;129;304;741;303;205.0;106;133;159;0;797;95;151;160;444;9.9;8.8;7.6;14.9;26.2
62;Totaal mannen en vrouwen;Totaal alle leeftijden;2012;1753;764;554;137;298;807;319;188.0;125;135;173;6;872;91;137;149;504;10.5;9.7;8.1;15.8;25.2
63;Totaal mannen en vrouwen;Totaal alle leeftijden;2013;1857;737;627;149;344;926;305;187.0;105;136;189;9;890;108;140;135;584;11.1;9.3;9.2;17.3;28.5
64;Totaal mannen en vrouwen;Totaal alle leeftijden;2014;1839;768;598;148;325;877;354;181.0;111;138;174;4;838;133;155;185;528;10.9;9.6;8.8;17.1;26.3
65;Totaal mannen en vrouwen;Totaal alle leeftijden;2015;1871;770;553;161;387;859;378;207.0;112;123;187;5;941;126;149;159;496;11.0;9.5;8.2;18.7;30.6
66;Totaal mannen en vrouwen;Totaal alle leeftijden;2016;1893;774;569;164;386;864;386;209.0;111;147;174;2;1043;169;136;141;404;11.1;9.5;8.5;19.1;29.9
67;Totaal mannen en vrouwen;Totaal alle leeftijden;2017;1917;866;524;162;365;909;342;213.0;118;136;193;6;1089;171;178;151;328;11.2;10.5;7.8;18.9;27.8
68;Totaal mannen en vrouwen;Totaal alle leeftijden;2018;1829;798;544;140;347;833;350;186.0;97;163;191;9;1107;153;150;120;299;10.6;9.6;8.1;16.3;26.0
69;Totaal mannen en vrouwen;Totaal alle leeftijden;2019;1811;820;526;161;304;856;315;188.0;90;139;215;8;970;157;179;194;311;10.4;9.7;7.8;18.7;22.5
70;Totaal mannen en vrouwen;Totaal alle leeftijden;2020;1823;834;514;153;322;831;337;180.0;90;126;255;4;1035;110;116;147;415;10.5;9.8;7.7;17.8;23.5
71;Totaal mannen en vrouwen;Totaal alle leeftijden;2021;1862;887;496;148;331;862;292;175.0;89;146;289;9;1039;128;115;179;401;10.6;10.3;7.4;17.2;24.0
72;Totaal mannen en vrouwen;Totaal alle leeftijden;2022;1916;941;505;156;314;888;304;208.0;100;160;244;12;1124;126;111;150;405;10.8;10.7;7.6;18.1;22.6
73;Totaal mannen en vrouwen;Totaal alle leeftijden;2023;1863;890;519;138;316;860;321;181.0;106;155;230;10;1110;142;122;169;320;10.4;10.0;7.7;16.0;22.8
74;Totaal mannen en vrouwen;Jonger dan 20  jaar;1950;20;20;0;0;0;10;1;;2;0;5;2;4;0;0;0;16;0.5;0.5;0.0;0.0;0.0
75;Totaal mannen en vrouwen;Jonger dan 20  jaar;1951;13;13;0;0;0;8;0;;3;1;1;0;0;0;0;0;13;0.3;0.3;0.0;0.0;0.0
76;Totaal mannen en vrouwen;Jonger dan 20  jaar;1952;11;11;0;0;0;5;0;;0;0;5;1;0;0;0;0;11;0.3;0.3;0.0;0.0;0.0
77;Totaal mannen en vrouwen;Jonger dan 20  jaar;1953;17;16;1;0;0;9;0;;1;1;4;2;0;0;0;0;17;0.4;0.4;10.4;0.0;0.0
78;Totaal mannen en vrouwen;Jonger dan 20  jaar;1954;16;15;1;0;0;9;0;;1;0;3;3;0;0;0;0;16;0.4;0.4;10.3;0.0;0.0
79;Totaal mannen en vrouwen;Jonger dan 20  jaar;1955;10;10;0;0;0;4;0;;2;0;4;0;3;2;0;0;5;0.2;0.2;0.0;0.0;0.0
80;Totaal mannen en vrouwen;Jonger dan 20  jaar;1956;14;14;0;0;0;5;1;;1;0;6;1;0;0;0;0;14;0.3;0.3;0.0;0.0;0.0
81;Totaal mannen en vrouwen;Jonger dan 20  jaar;1957;11;11;0;0;0;9;0;;0;0;2;0;4;0;0;0;7;0.3;0.3;0.0;0.0;0.0
82;Totaal mannen en vrouwen;Jonger dan 20  jaar;1958;15;15;0;0;0;5;0;;2;0;6;2;0;0;0;0;15;0.4;0.4;0.0;0.0;0.0
83;Totaal mannen en vrouwen;Jonger dan 20  jaar;1959;21;21;0;0;0;8;1;;2;0;9;1;0;0;0;0;21;0.5;0.5;0.0;0.0;0.0
84;Totaal mannen en vrouwen;Jonger dan 20  jaar;1960;17;16;1;0;0;6;1;;3;0;6;1;0;0;0;0;17;0.4;0.4;7.1;0.0;0.0
85;Totaal mannen en vrouwen;Jonger dan 20  jaar;1961;13;13;0;0;0;6;2;;0;2;2;1;0;0;0;0;13;0.3;0.3;0.0;0.0;0.0
86;Totaal mannen en vrouwen;Jonger dan 20  jaar;1962;25;25;0;0;0;12;5;;2;0;5;1;4;0;3;1;17;0.6;0.6;0.0;0.0;0.0
87;Totaal mannen en vrouwen;Jonger dan 20  jaar;1963;28;27;1;0;0;10;4;;3;0;8;3;0;0;0;0;28;0.6;0.6;5.2;0.0;0.0
88;Totaal mannen en vrouwen;Jonger dan 20  jaar;1964;31;30;1;0;0;8;4;;2;1;12;4;0;0;0;0;31;0.7;0.7;4.7;0.0;0.0
89;Totaal mannen en vrouwen;Jonger dan 20  jaar;1965;19;19;0;0;0;4;3;;5;0;6;1;5;0;2;0;12;0.4;0.4;0.0;0.0;0.0
90;Totaal mannen en vrouwen;Jonger dan 20  jaar;1966;32;32;0;0;0;15;1;;3;2;6;5;0;0;0;0;32;0.7;0.7;0.0;0.0;0.0
91;Totaal mannen en vrouwen;Jonger dan 20  jaar;1967;30;30;0;0;0;18;1;;3;2;4;2;10;1;2;0;17;0.6;0.6;0.0;0.0;0.0
92;Totaal mannen en vrouwen;Jonger dan 20  jaar;1968;24;24;0;0;0;8;5;;1;1;8;1;0;0;0;0;24;0.5;0.5;0.0;0.0;0.0
93;Totaal mannen en vrouwen;Jonger dan 20  jaar;1969;32;31;1;0;0;13;10;;1;2;6;0;9;3;4;0;16;0.7;0.7;3.6;0.0;0.0
94;Totaal mannen en vrouwen;Jonger dan 20  jaar;1970;36;36;0;0;0;18;9;;3;1;5;0;15;0;2;1;18;0.8;0.8;0.0;0.0;0.0
95;Totaal mannen en vrouwen;Jonger dan 20  jaar;1971;38;37;0;0;1;13;10;;4;2;9;0;14;0;2;3;19;0.8;0.8;0.0;0.0;729.9
96;Totaal mannen en vrouwen;Jonger dan 20  jaar;1972;31;31;0;0;0;12;6;;0;7;6;0;17;0;0;1;13;0.7;0.7;0.0;0.0;0.0
97;Totaal mannen en vrouwen;Jonger dan 20  jaar;1973;43;43;0;0;0;20;9;;2;4;8;0;16;1;0;2;24;0.9;0.9;0.0;0.0;0.0
98;Totaal mannen en vrouwen;Jonger dan 20  jaar;1974;55;55;0;0;0;28;10;;1;8;8;0;20;0;3;4;28;1.2;1.2;0.0;0.0;0.0
99;Totaal mannen en vrouwen;Jonger dan 20  jaar;1975;45;45;0;0;0;20;7;;1;6;11;0;21;0;1;2;21;1.0;1.0;0.0;0.0;0.0
100;Totaal mannen en vrouwen;Jonger dan 20  jaar;1976;32;32;0;0;0;14;9;;0;4;5;0;9;0;0;0;23;0.7;0.7;0.0;0.0;0.0
101;Totaal mannen en vrouwen;Jonger dan 20  jaar;1977;39;39;0;0;0;23;1;;2;4;9;0;15;0;1;0;23;0.9;0.9;0.0;0.0;0.0
102;Totaal mannen en vrouwen;Jonger dan 20  jaar;1978;41;40;1;0;0;20;7;;0;1;13;0;14;1;4;0;22;0.9;0.9;4.6;0.0;0.0
103;Totaal mannen en vrouwen;Jonger dan 20  jaar;1979;35;34;1;0;0;15;10;3.0;0;5;2;0;8;1;3;1;22;0.8;0.8;5.2;0.0;0.0
104;Totaal mannen en vrouwen;Jonger dan 20  jaar;1980;31;31;0;0;0;17;5;2.0;1;5;1;0;14;0;0;1;16;0.7;0.7;0.0;0.0;0.0
105;Totaal mannen en vrouwen;Jonger dan 20  jaar;1981;37;37;0;0;0;19;3;7.0;3;2;3;0;5;1;3;2;26;0.8;0.9;0.0;0.0;0.0
106;Totaal mannen en vrouwen;Jonger dan 20  jaar;1982;58;58;0;0;0;27;6;4.0;1;9;11;0;21;0;3;3;31;1.4;1.4;0.0;0.0;0.0
107;Totaal mannen en vrouwen;Jonger dan 20  jaar;1983;38;38;0;0;0;22;5;6.0;1;3;1;0;10;1;6;1;20;0.9;0.9;0.0;0.0;0.0
108;Totaal mannen en vrouwen;Jonger dan 20  jaar;1984;42;42;0;0;0;21;2;8.0;0;7;4;0;14;0;9;0;19;1.0;1.0;0.0;0.0;0.0
109;Totaal mannen en vrouwen;Jonger dan 20  jaar;1985;51;51;0;0;0;24;8;12.0;1;4;2;0;11;1;4;1;34;1.3;1.3;0.0;0.0;0.0
110;Totaal mannen en vrouwen;Jonger dan 20  jaar;1986;37;37;0;0;0;16;0;11.0;0;7;3;0;12;0;5;0;20;0.9;0.9;0.0;0.0;0.0
111;Totaal mannen en vrouwen;Jonger dan 20  jaar;1987;45;45;0;0;0;17;3;11.0;0;10;4;0;10;1;6;3;25;1.1;1.1;0.0;0.0;0.0
112;Totaal mannen en vrouwen;Jonger dan 20  jaar;1988;35;35;0;0;0;22;1;4.0;1;4;3;0;12;0;5;2;16;0.9;0.9;0.0;0.0;0.0
113;Totaal mannen en vrouwen;Jonger dan 20  jaar;1989;47;47;0;0;0;20;2;9.0;0;8;8;0;11;0;11;3;22;1.2;1.2;0.0;0.0;0.0
114;Totaal mannen en vrouwen;Jonger dan 20  jaar;1990;54;53;1;0;0;24;2;13.0;0;10;5;0;20;2;11;3;18;1.4;1.4;10.4;0.0;0.0
115;Totaal mannen en vrouwen;Jonger dan 20  jaar;1991;35;33;2;0;0;17;0;9.0;1;5;3;0;6;0;8;1;20;0.9;0.9;21.4;0.0;0.0
116;Totaal mannen en vrouwen;Jonger dan 20  jaar;1992;38;38;0;0;0;14;1;13.0;0;4;6;0;15;0;6;2;15;1.0;1.0;0.0;0.0;0.0
117;Totaal mannen en vrouwen;Jonger dan 20  jaar;1993;48;48;0;0;0;15;6;16.0;0;7;4;0;13;1;7;5;22;1.3;1.3;0.0;0.0;0.0
118;Totaal mannen en vrouwen;Jonger dan 20  jaar;1994;37;37;0;0;0;20;3;10.0;2;1;1;0;15;0;6;3;13;1.0;1.0;0.0;0.0;0.0
119;Totaal mannen en vrouwen;Jonger dan 20  jaar;1995;38;38;0;0;0;14;6;9.0;0;6;3;0;8;1;9;6;14;1.0;1.0;0.0;0.0;0.0
120;Totaal mannen en vrouwen;Jonger dan 20  jaar;1996;42;42;0;0;0;18;3;10.0;1;8;2;0;11;1;8;5;17;1.1;1.1;0.0;0.0;0.0
121;Totaal mannen en vrouwen;Jonger dan 20  jaar;1997;56;56;0;0;0;22;1;17.0;2;7;6;1;19;2;10;3;22;1.5;1.5;0.0;0.0;0.0
122;Totaal mannen en vrouwen;Jonger dan 20  jaar;1998;49;48;1;0;0;26;1;10.0;2;5;5;0;15;1;10;11;12;1.3;1.3;26.7;0.0;0.0
123;Totaal mannen en vrouwen;Jonger dan 20  jaar;1999;54;52;2;0;0;28;2;12.0;3;8;1;0;19;0;9;7;19;1.4;1.3;53.5;0.0;0.0
124;Totaal mannen en vrouwen;Jonger dan 20  jaar;2000;48;48;0;0;0;31;0;10.0;3;2;2;0;10;1;12;3;22;1.2;1.2;0.0;0.0;0.0
125;Totaal mannen en vrouwen;Jonger dan 20  jaar;2001;36;36;0;0;0;14;2;11.0;2;4;3;0;12;0;6;4;14;0.9;0.9;0.0;0.0;0.0
126;Totaal mannen en vrouwen;Jonger dan 20  jaar;2002;45;45;0;0;0;25;3;11.0;0;4;2;0;18;0;10;7;10;1.1;1.1;0.0;0.0;0.0
127;Totaal mannen en vrouwen;Jonger dan 20  jaar;2003;34;34;0;0;0;15;1;11.0;1;3;3;0;10;0;4;3;17;0.9;0.9;0.0;0.0;0.0
128;Totaal mannen en vrouwen;Jonger dan 20  jaar;2004;41;41;0;0;0;24;1;7.0;0;6;3;0;15;1;6;4;15;1.0;1.0;0.0;0.0;0.0
129;Totaal mannen en vrouwen;Jonger dan 20  jaar;2005;51;51;0;0;0;26;2;18.0;0;5;0;0;15;0;7;6;23;1.3;1.3;0.0;0.0;0.0
130;Totaal mannen en vrouwen;Jonger dan 20  jaar;2006;48;48;0;0;0;21;2;14.0;1;7;3;0;24;1;11;3;9;1.2;1.2;0.0;0.0;0.0
131;Totaal mannen en vrouwen;Jonger dan 20  jaar;2007;42;42;0;0;0;20;0;14.0;1;6;1;0;11;0;9;5;17;1.1;1.1;0.0;0.0;0.0
132;Totaal mannen en vrouwen;Jonger dan 20  jaar;2008;34;34;0;0;0;16;0;11.0;1;4;2;0;17;0;6;2;9;0.9;0.9;0.0;0.0;0.0
133;Totaal mannen en vrouwen;Jonger dan 20  jaar;2009;52;52;0;0;0;22;2;20.0;1;4;3;0;19;1;11;1;20;1.3;1.3;0.0;0.0;0.0
134;Totaal mannen en vrouwen;Jonger dan 20  jaar;2010;55;55;0;0;0;26;0;19.0;1;6;3;0;17;0;10;1;27;1.4;1.4;0.0;0.0;0.0
135;Totaal mannen en vrouwen;Jonger dan 20  jaar;2011;44;44;0;0;0;15;0;20.0;0;6;3;0;16;0;7;2;19;1.1;1.1;0.0;0.0;0.0
136;Totaal mannen en vrouwen;Jonger dan 20  jaar;2012;51;51;0;0;0;22;2;22.0;1;0;4;0;22;1;5;5;18;1.3;1.3;0.0;0.0;0.0
137;Totaal mannen en vrouwen;Jonger dan 20  jaar;2013;58;58;0;0;0;32;1;20.0;1;1;3;0;37;0;4;2;15;1.5;1.5;0.0;0.0;0.0
138;Totaal mannen en vrouwen;Jonger dan 20  jaar;2014;55;54;1;0;0;26;4;18.0;0;4;3;0;23;1;4;3;24;1.4;1.4;145.0;0.0;0.0
139;Totaal mannen en vrouwen;Jonger dan 20  jaar;2015;48;48;0;0;0;17;1;23.0;2;3;2;0;23;1;5;0;19;1.3;1.3;0.0;0.0;0.0
140;Totaal mannen en vrouwen;Jonger dan 20  jaar;2016;48;48;0;0;0;23;2;19.0;2;1;1;0;32;2;2;1;11;1.3;1.3;0.0;0.0;0.0
141;Totaal mannen en vrouwen;Jonger dan 20  jaar;2017;81;81;0;0;0;48;3;23.0;0;3;4;0;42;1;6;6;26;2.1;2.1;0.0;0.0;0.0
142;Totaal mannen en vrouwen;Jonger dan 20  jaar;2018;51;51;0;0;0;30;3;11.0;2;3;2;0;33;0;3;1;14;1.3;1.3;0.0;0.0;0.0
143;Totaal mannen en vrouwen;Jonger dan 20  jaar;2019;67;67;0;0;0;32;2;20.0;0;8;5;0;39;1;9;3;15;1.8;1.8;0.0;0.0;0.0
144;Totaal mannen en vrouwen;Jonger dan 20  jaar;2020;62;62;0;0;0;35;3;15.0;2;7;0;0;34;0;5;4;19;1.6;1.6;0.0;0.0;0.0
145;Totaal mannen en vrouwen;Jonger dan 20  jaar;2021;56;56;0;0;0;26;2;13.0;0;8;7;0;37;1;2;3;13;1.5;1.5;0.0;0.0;0.0
146;Totaal mannen en vrouwen;Jonger dan 20  jaar;2022;67;67;0;0;0;38;5;17.0;0;4;3;0;44;0;2;4;17;1.8;1.8;0.0;0.0;0.0
147;Totaal mannen en vrouwen;Jonger dan 20  jaar;2023;54;54;0;0;0;31;3;10.0;0;5;5;0;32;1;5;6;10;1.4;1.4;0.0;0.0;0.0
148;Totaal mannen en vrouwen;20 tot 30 jaar;1950;51;38;13;0;0;20;4;;3;3;17;4;24;2;1;3;21;3.2;3.9;2.1;0.0;0.0
149;Totaal mannen en vrouwen;20 tot 30 jaar;1951;49;37;12;0;0;15;4;;7;1;18;4;0;0;0;0;49;3.1;3.9;1.9;0.0;0.0
150;Totaal mannen en vrouwen;20 tot 30 jaar;1952;55;42;13;0;0;17;3;;9;0;23;3;0;0;0;0;55;3.5;4.5;2.1;0.0;0.0
151;Totaal mannen en vrouwen;20 tot 30 jaar;1953;44;38;6;0;0;11;3;;6;1;19;4;0;0;0;0;44;2.8;4.1;0.9;0.0;0.0
152;Totaal mannen en vrouwen;20 tot 30 jaar;1954;52;47;5;0;0;16;5;;5;0;23;3;0;0;0;0;52;3.3;5.2;0.8;0.0;0.0
153;Totaal mannen en vrouwen;20 tot 30 jaar;1955;53;41;10;0;2;21;3;;4;1;18;6;25;1;4;0;23;3.4;4.6;1.5;0.0;36.1
