ID;Perioden;TotaalPersonen_1;AlleenstaandePersonen_2;SamenwonendePersonen_3;ThuiswonendeKinderen_4;Eenouders_5;OverigePersonen_6;InInstitutieWonendePersonen_7;TotaalHuishoudens_8;Eenpersoonshuishouden_9;Paren_10;Eenouders_11;OverigeHuishoudens_12;GemiddeldeHuishoudensgrootte_13;TotaalAantalHuishoudens_14;Eenpersoonshuishouden_15;TotaalMeerpersoonshuishoudens_16;k_2Personen_17;k_3Personen_18;k_4Personen_19;k_5OfMeerPersonen_20;TotaalParen_21;GeenKinderen_22;k_1Kind_23;k_2Kinderen_24;k_3OfMeerKinderen_25;TotaalEenouderhuishoudens_26;k_1Kind_27;k_2Kinderen_28;k_3OfMeerKinderen_29;ReferentiepersonenMetKinderen_30;JongsteKind02Jaar_31;JongsteKind35Jaar_32;JongsteKind611Jaar_33;JongsteKind1217Jaar_34;JongsteKind18JaarEnOuder_35
33;2033;17993622;3403841;8928312;4751962;414519;296908;198086;8333841;3403838;4464157;414520;51326;2.14;8333842;3403838;4930004;2550993;887181;1083732;408098;4464150;2283018;763521;1055182;362429;414517;262978;112749;38790;2595656;538356;334713;564979;520308;637302
34;2034;18012142;3412754;8923096;4762743;415145;297006;201401;8340720;3412759;4461551;415140;51270;2.14;8340716;3412759;4927957;2545378;884928;1088231;409420;4461543;2277204;761041;1059611;363687;415141;263258;112989;38894;2599479;538182;335374;567847;523330;634746
35;2035;18027428;3420036;8916663;4773457;415711;297055;204506;8345314;3420029;4458336;415722;51227;2.14;8345308;3420029;4925279;2538751;883232;1092654;410642;4458331;2270393;759110;1063971;364857;415724;263503;113232;38989;2603659;537544;335947;570314;526747;633108
36;2036;18039370;3425705;8909264;4783710;416223;297058;207411;8347740;3425703;4454633;416233;51171;2.14;8347736;3425703;4922033;2531370;882053;1096867;411743;4454629;2262836;757751;1068134;365908;416232;263740;113422;39070;2608028;536452;336424;572390;530342;632424
37;2037;18048129;3429792;8901402;4793142;416640;297034;210123;8348282;3429800;4450705;416643;51134;2.14;8348277;3429800;4918477;2523578;881541;1100671;412687;4450692;2254907;757072;1071897;366816;416641;263911;113594;39136;2612430;534963;336750;574118;533907;632689
38;2038;18054073;3432457;8893572;4801485;416941;296972;212647;8347264;3432457;4446784;416929;51094;2.14;8347261;3432457;4914804;2515718;881667;1103958;413461;4446780;2246985;757077;1075165;367553;416930;264006;113732;39192;2616726;533195;336840;575589;537314;633786
39;2039;18057192;3433819;8885893;4808578;417117;296856;214932;8344937;3433819;4442945;417120;51053;2.14;8344933;3433819;4911114;2508062;882345;1106658;414049;4442942;2239280;757676;1077875;368111;417122;264075;113821;39226;2620782;531245;336642;576886;540429;635580
40;2040;18058048;3434165;8878755;4814310;417169;296650;217001;8341737;3434164;4439381;417164;51028;2.14;8341738;3434164;4907574;2500833;883554;1108778;414409;4439379;2232043;758854;1080010;368472;417163;264069;113860;39234;2624501;529257;336137;578008;543198;637903
41;2041;18056969;3433490;8872312;4818651;417105;296525;218884;8337731;3433492;4436147;417107;50985;2.14;8337752;3433492;4904260;2494178;885183;1110321;414578;4436166;2225468;760493;1081579;368626;417110;264010;113864;39236;2627804;527321;335361;578913;545564;640644
42;2042;18054115;3431872;8866693;4821656;416929;296385;220583;8333103;3431873;4433340;416936;50954;2.14;8333104;3431873;4901231;2488196;887179;1111317;414539;4433342;2219620;762523;1082614;368585;416937;263881;113840;39216;2630659;525571;334355;579531;547540;643660
43;2043;18049876;3429442;8862020;4823406;416653;296217;222141;8328018;3429443;4431009;416658;50908;2.14;8328026;3429443;4898583;2483041;889369;1111856;414317;4431014;2214642;764801;1083201;368370;416660;263722;113767;39171;2633033;524068;333204;579765;549188;646808
44;2044;18044363;3426136;8858288;4824074;416279;296039;223554;8322427;3426134;4429136;416284;50873;2.14;8322432;3426134;4896298;2478663;891730;1111994;413911;4429145;2210492;767266;1083397;367990;416282;263492;113675;39115;2634934;522902;331959;579536;550595;649939
45;2045;18038166;3422306;8855664;4823834;415821;295661;224896;8316822;3422315;4427825;415822;50860;2.14;8316819;3422315;4894504;2475204;894167;1111806;413327;4427824;2207259;769823;1083262;367480;415820;263209;113565;39046;2636388;522096;330717;578790;551857;652926
46;2046;18031549;3417606;8854218;4822861;415284;295400;226185;8310819;3417609;4427103;415287;50820;2.14;8310829;3417609;4893220;2472576;896599;1111371;412674;4427112;2204939;772406;1082897;366870;415288;262890;113426;38972;2637460;521683;329524;577565;552975;655712
47;2047;18024559;3411912;8853954;4821373;414682;295281;227360;8304348;3411911;4426965;414679;50793;2.14;8304358;3411911;4892447;2470701;899018;1110768;411960;4426971;2203440;774986;1082365;366180;414678;262518;113272;38888;2638211;521646;328476;575915;553912;658264
48;2048;18017680;3405556;8854988;4819555;414021;295110;228449;8297841;3405562;4427500;414015;50764;2.14;8297835;3405562;4892273;2469674;901365;1110045;411189;4427492;2202820;777511;1081714;365447;414017;262110;113105;38802;2638688;521922;327617;573965;554593;660590
49;2049;18011059;3398564;8857240;4817556;413326;294958;229418;8291243;3398557;4428617;413324;50745;2.14;8291247;3398557;4892690;2469454;903600;1109248;410388;4428619;2203018;779930;1080983;364688;413326;261685;112928;38713;2638924;522429;327010;571834;554920;662730
50;2050;18004927;3391016;8860744;4815563;412603;294782;230222;8284704;3391010;4430375;412606;50713;2.15;8284696;3391010;4893686;2469954;905743;1108407;409582;4430372;2203982;782264;1080195;363931;412605;261226;112745;38634;2638992;523125;326678;569665;554805;664721
