ID;InstitutionalSectors;NotConsolidatedConsolidated;Periods;Total_1;Total_2;ImportsOfGoods_3;Total_4;ImportsOfServicesExcludingFISIM_5;ImportsOfFISIM_6;Total_7;Total_8;FinancialIntermediationServiceFISIM_9;OtherMarketOutput_10;Total_11;OwnAccountCapitalFormation_12;ProductsRetainedForOwnConsumption_13;Total_14;PaymentsForNonMarketOutput_15;OtherNonMarketOutput_16;Total_17;WagesAndSalaries_18;EmployersSocialContributions_19;Total_20;Total_21;ValueAddedTaxVAT_22;TaxesDutiesOnImportsExcludingVAT_23;OtherTaxesOnProducts_24;OtherTaxesOnProduction_25;Total_26;SubsidiesOnProducts_27;OtherSubsidiesOnProduction_28;Total_29;InterestDefinitionNationalAccounts_30;CorrectionFISIM_31;InterestBeforeCorrectionForFISIM_32;Total_33;Dividends_34;WithdrawalsFromIncomeOfQuasiCorp_35;ReinvestedEarningsOnForeignInvestm_36;Total_37;InvestmIncomeAttribToPolicyHolder_38;IncomePayableOnPensionEntitlements_39;InvIncomeAttributableToShareholders_40;Rent_41;Total_42;CurrentTaxesOnIncome_43;OtherCurrentTaxes_44;Total_45;Total_46;EmployersActualSocialContributions_47;EmployersImputedSocialContributions_48;HouseholdsActualSocialContributions_49;HouseholdsSocialContribSupplements_50;TheSocialInsurSchemeServiceCharges_51;Total_52;SocialSecurityBenefitsInCash_53;OtherSocialInsuranceBenefits_54;SocialAssistanceBenefitsInCash_55;Total_56;NetNonLifeInsurancePremiums_57;NonLifeInsuranceClaims_58;CurrentTransfersWithinGenGovernment_59;CurrentInternationalCoOperation_60;MiscellaneousCurrentTransfers_61;TheVATAndGNIBasedEUOwnResource_62;AdjustmChangeInPensionEntitlements_63;Total_64;CapitalTaxes_65;InvestmentGrants_66;OtherCapitalTransfers_67;Total_68;Total_69;ExportsOfGoods_70;Total_71;ExportsOfServicesExcludingFISIM_72;ExportsOfFISIM_73;IntermediateConsumption_74;Total_75;WagesAndSalaries_76;EmployersSocialContributions_77;Total_78;TaxesOnProducts_79;OtherTaxesOnProduction_80;Total_81;SubsidiesOnProducts_82;OtherSubsidiesOnProduction_83;Total_84;InterestDefinitionNationalAccounts_85;CorrectionFISIM_86;InterestBeforeCorrectionForFISIM_87;Total_88;Dividends_89;WithdrawalsFromIncomeOfQuasiCorps_90;ReinvestedEarningsOnForeignInvestm_91;Total_92;InvestmIncomeAttribToPolicyHolder_93;IncomePayableOnPensionEntitlements_94;InvIncomeAttributableToShareholders_95;Rent_96;Total_97;CurrentTaxesOnIncome_98;OtherCurrentTaxes_99;Total_100;Total_101;EmployersActualSocialContributions_102;EmployersImputedSocialContributions_103;HouseholdsActualSocialContributions_104;HouseholdsSocialContribSupplements_105;TheSocialInsurSchemeServiceCharges_106;Total_107;SocialSecurityBenefitsInCash_108;OtherSocialInsuranceBenefits_109;SocialAssistanceBenefitsInCash_110;Total_111;NetNonLifeInsurancePremiums_112;NonLifeInsuranceClaims_113;CurrentTransfersWithinGenGovernment_114;CurrentInternationalCoOperation_115;MiscellaneousCurrentTransfers_116;TheVATAndGNIBasedEUOwnResource_117;AdjustmChangeInPensionEntitlements_118;Total_119;Total_120;Total_121;TransfersInKindNonMarketProduction_122;TransfersInKindMarketProduction_123;OtherIndividualFinalConsumption_124;ActualCollectiveFinalConsumption_125;Total_126;CapitalTaxes_127;InvestmentGrants_128;OtherCapitalTransfers_129;Total_130;Total_131;ConsumptionOfFixedCapital_132;NetFixedCapitalFormation_133;Total_134;ChangesInInventories_135;AcquisitionsLessDisposalsOfValuables_136;AcqLessDisposalsOfNonProdAssets_137;GrossDomesticProduct_138;GrossValueAdded_139;NetDomesticProduct_140;NetValueAdded_141;GrossOperatingSurplus_142;NetOperatingSurplus_143;GrossNationalIncome_144;NetNationalIncome_145;GrossDisposableIncome_146;NetDisposableIncome_147;GrossSaving_148;NetSaving_149;NetTransactionsOfGoodAndServices_150;SurplusNationOnCurrentTransactions_151;NetSavingAndCapitalTransfers_152;NetLendingOrNetBorrowing_153;TotalFinancialTransactionsInAssets_154;TotalFinancialTransactionsLiabilities_155;NetFinancialTransactions_156;StatisticalDiscrepancy_157
680;Financial corporations;Consolidated;2005 2nd quarter;64226.0;;;;;;16296.0;16173.0;5367.0;10806.0;123.0;123.0;;;;;;;;;;;;;;12.0;;12.0;31651.0;19535.0;-4465.0;24000.0;14257.0;14250.0;7.0;-2452.0;311.0;19.0;;292.0;0.0;;;;11873.0;11873.0;6333.0;-266.0;3121.0;4357.0;-1672.0;;;;;4376.0;4263.0;111.0;;;2.0;;;18.0;;0.0;18.0;64849.0;;;;;;7598.0;4408.0;3729.0;679.0;58.0;;58.0;;;;34432.0;15517.0;451.0;15066.0;18267.0;18267.0;0.0;-5682.0;6330.0;1657.0;4333.0;340.0;;1079.0;1079.0;;7761.0;;;;;;;7761.0;;7761.0;;4865.0;124.0;4741.0;;;0.0;;3744.0;;;;;;;;16.0;;;16.0;973.0;972.0;927.0;45.0;1.0;0.0;1.0;-85.0;;8698.0;;7771.0;4244.0;3317.0;1463.0;536.0;4007.0;3080.0;263.0;-664.0;;;-662.0;-623.0;82438.0;83061.0;-623.0;0.0
681;Financial corporations;Consolidated;2005 3rd quarter;65601.0;;;;;;16467.0;16358.0;5252.0;11106.0;109.0;109.0;;;;;;;;;;;;;;12.0;;12.0;32315.0;19990.0;-4382.0;24372.0;14393.0;14387.0;6.0;-2308.0;240.0;17.0;;223.0;0.0;;;;12062.0;12062.0;6350.0;-220.0;3141.0;4451.0;-1660.0;;;;;4730.0;4616.0;112.0;;;2.0;;;15.0;;0.0;15.0;62681.0;;;;;;7806.0;3743.0;2955.0;788.0;48.0;;48.0;;;;33568.0;15853.0;439.0;15414.0;19886.0;19886.0;0.0;-8481.0;6310.0;1609.0;4427.0;274.0;;1153.0;1153.0;;6991.0;;;;;;;6991.0;;6991.0;;5152.0;123.0;5029.0;;;0.0;;4703.0;;;;;;;;14.0;;;14.0;-174.0;-180.0;956.0;-1136.0;6.0;0.0;6.0;-323.0;;8661.0;;7705.0;4882.0;3926.0;3629.0;2673.0;7125.0;6169.0;2422.0;1466.0;;;1467.0;2920.0;109737.0;106817.0;2920.0;0.0
682;Financial corporations;Consolidated;2005 4th quarter;77783.0;;;;;;16789.0;16530.0;4904.0;11626.0;259.0;259.0;;;;;;;;;;;;;;14.0;;14.0;43791.0;19987.0;-3943.0;23930.0;19287.0;19283.0;4.0;4252.0;265.0;13.0;;252.0;0.0;;;;12000.0;12000.0;6345.0;-237.0;3138.0;4576.0;-1822.0;;;;;5176.0;5058.0;116.0;;;2.0;;;13.0;;0.0;13.0;72340.0;;;;;;7926.0;4045.0;3271.0;774.0;33.0;;33.0;;;;41826.0;15294.0;561.0;14733.0;21010.0;21010.0;0.0;-733.0;6255.0;1479.0;4554.0;222.0;;986.0;986.0;;7136.0;;;;;;;7136.0;;7136.0;;5537.0;123.0;5414.0;;;0.0;;4497.0;;;;;;;;15.0;;;15.0;755.0;751.0;1003.0;-252.0;4.0;0.0;4.0;-416.0;;8863.0;;7860.0;4799.0;3796.0;6764.0;5761.0;10281.0;9278.0;5784.0;4781.0;;;4779.0;5443.0;107901.0;102458.0;5443.0;0.0
683;Financial corporations;Consolidated;2005;269096.0;;;;;;65894.0;65283.0;20851.0;44432.0;611.0;611.0;;;;;;;;;;;;;;54.0;;54.0;136677.0;78253.0;-17146.0;95399.0;55365.0;55342.0;23.0;1984.0;1075.0;62.0;;1013.0;0.0;;;;47410.0;47410.0;25358.0;-933.0;12531.0;17278.0;-6824.0;;;;;19004.0;18548.0;448.0;;;8.0;;;57.0;;0.0;57.0;259063.0;;;;;;30518.0;16362.0;13306.0;3056.0;202.0;;202.0;;;;139943.0;62579.0;1966.0;60613.0;62031.0;62031.0;0.0;-9327.0;24660.0;6346.0;17184.0;1130.0;;4210.0;4210.0;;28712.0;;;;;;;28712.0;;28712.0;;20769.0;480.0;20289.0;;;0.0;;17227.0;;;;;;;;59.0;;;59.0;1960.0;1954.0;3770.0;-1816.0;6.0;0.0;6.0;-899.0;;35376.0;;31606.0;18866.0;15096.0;15600.0;11830.0;28323.0;24553.0;11096.0;7326.0;;;7324.0;10033.0;444072.0;434039.0;10033.0;0.0
684;Financial corporations;Consolidated;2006 1st quarter;67848.0;;;;;;17068.0;16936.0;5028.0;11908.0;132.0;132.0;;;;;;;;;;;;;;15.0;;15.0;37701.0;21487.0;-3529.0;25016.0;15865.0;15863.0;2.0;-52.0;401.0;9.0;;392.0;0.0;;;;10253.0;10253.0;5607.0;-385.0;2933.0;3779.0;-1681.0;;;;;2780.0;2678.0;102.0;;;0.0;;;31.0;;0.0;31.0;61536.0;;;;;;8011.0;4253.0;3529.0;724.0;49.0;;49.0;;;;34558.0;18019.0;1084.0;16935.0;2602.0;2602.0;0.0;8490.0;5447.0;1448.0;3779.0;220.0;;853.0;853.0;;7019.0;;;;;;;7019.0;;7019.0;;2866.0;130.0;2736.0;;;0.0;;3224.0;;;;;;;;15.0;;;15.0;573.0;575.0;965.0;-390.0;-2.0;0.0;-2.0;115.0;;9057.0;;8092.0;4770.0;3805.0;7913.0;6948.0;10208.0;9243.0;6984.0;6019.0;;;6035.0;6312.0;198964.0;192652.0;6312.0;0.0
685;Financial corporations;Consolidated;2006 2nd quarter;72337.0;;;;;;16420.0;16258.0;4741.0;11517.0;162.0;162.0;;;;;;;;;;;;;;13.0;;13.0;41877.0;23706.0;-2892.0;26598.0;24051.0;24046.0;5.0;-6424.0;544.0;13.0;;531.0;0.0;;;;11176.0;11176.0;5617.0;-408.0;2928.0;4767.0;-1728.0;;;;;2844.0;2743.0;101.0;;;0.0;;;7.0;;0.0;7.0;71938.0;;;;;;7698.0;4983.0;4298.0;685.0;50.0;;50.0;;;;43571.0;20627.0;1379.0;19248.0;13527.0;13527.0;0.0;2732.0;6685.0;1483.0;4767.0;435.0;;1029.0;1029.0;;7261.0;;;;;;;7261.0;;7261.0;;2895.0;134.0;2761.0;;;0.0;;3905.0;;;;;;;;15.0;;;15.0;545.0;549.0;948.0;-399.0;-4.0;0.0;-4.0;-14.0;;8722.0;;7774.0;3702.0;2754.0;2008.0;1060.0;4843.0;3895.0;938.0;-10.0;;;-18.0;399.0;165976.0;165577.0;399.0;0.0
686;Financial corporations;Consolidated;2006 3rd quarter;70454.0;;;;;;16420.0;16276.0;4470.0;11806.0;144.0;144.0;;;;;;;;;;;;;;9.0;;9.0;40697.0;25100.0;-2682.0;27782.0;10017.0;10015.0;2.0;5084.0;496.0;11.0;;485.0;0.0;;;;10434.0;10434.0;5637.0;-419.0;2947.0;3960.0;-1691.0;;;;;2887.0;2789.0;98.0;;;0.0;;;7.0;;0.0;7.0;67503.0;;;;;;8075.0;3649.0;2974.0;675.0;56.0;;56.0;;;;40439.0;21228.0;1379.0;19849.0;7444.0;7444.0;0.0;6119.0;5648.0;1430.0;3960.0;258.0;;930.0;930.0;;7461.0;;;;;;;7461.0;;7461.0;;2922.0;128.0;2794.0;;;0.0;;2963.0;;;;;;;;16.0;;;16.0;981.0;979.0;956.0;23.0;2.0;0.0;2.0;11.0;;8345.0;;7389.0;4649.0;3693.0;4907.0;3951.0;6915.0;5959.0;3952.0;2996.0;;;2987.0;2951.0;163580.0;160629.0;2951.0;0.0
687;Financial corporations;Consolidated;2006 4th quarter;78242.0;;;;;;17144.0;17016.0;4334.0;12682.0;128.0;128.0;;;;;;;;;;;;;;13.0;;13.0;48457.0;26086.0;-2710.0;28796.0;22721.0;22719.0;2.0;-914.0;564.0;7.0;;557.0;0.0;;;;9723.0;9723.0;5627.0;-413.0;2942.0;3791.0;-2224.0;;;;;2897.0;2808.0;89.0;;;0.0;;;8.0;;0.0;8.0;72274.0;;;;;;8847.0;4173.0;3470.0;703.0;51.0;;51.0;;;;44140.0;22257.0;1300.0;20957.0;9830.0;9830.0;0.0;6724.0;5329.0;1350.0;3790.0;189.0;;984.0;984.0;;8593.0;;;;;;;8593.0;;8593.0;;2932.0;117.0;2815.0;;;0.0;;1118.0;;;;;;;;16.0;;;16.0;651.0;643.0;1020.0;-377.0;8.0;0.0;8.0;769.0;;8297.0;;7277.0;4086.0;3066.0;8403.0;7383.0;8514.0;7494.0;7396.0;6376.0;;;6368.0;5968.0;163317.0;157349.0;5968.0;0.0
688;Financial corporations;Consolidated;2006;288881.0;;;;;;67052.0;66486.0;18573.0;47913.0;566.0;566.0;;;;;;;;;;;;;;50.0;;50.0;168732.0;96379.0;-11813.0;108192.0;72654.0;72643.0;11.0;-2306.0;2005.0;40.0;;1965.0;0.0;;;;41586.0;41586.0;22488.0;-1625.0;11750.0;16297.0;-7324.0;;;;;11408.0;11018.0;390.0;;;0.0;;;53.0;;0.0;53.0;273251.0;;;;;;32631.0;17058.0;14271.0;2787.0;206.0;;206.0;;;;162708.0;82131.0;5142.0;76989.0;33403.0;33403.0;0.0;24065.0;23109.0;5711.0;16296.0;1102.0;;3796.0;3796.0;;30334.0;;;;;;;30334.0;;30334.0;;11615.0;509.0;11106.0;;;0.0;;11210.0;;;;;;;;62.0;;;62.0;2750.0;2746.0;3889.0;-1143.0;4.0;0.0;4.0;881.0;;34421.0;;30532.0;17207.0;13318.0;23231.0;19342.0;30480.0;26591.0;19270.0;15381.0;;;15372.0;15630.0;691837.0;676207.0;15630.0;0.0
689;Financial corporations;Consolidated;2007 1st quarter;77585.0;;;;;;16986.0;16815.0;4352.0;12463.0;171.0;171.0;;;;;;;;;;;;;;17.0;;17.0;47285.0;28567.0;-2253.0;30820.0;10529.0;10523.0;6.0;7642.0;547.0;8.0;;539.0;0.0;;;;10227.0;10227.0;5390.0;112.0;3079.0;3534.0;-1888.0;;;;;3040.0;2937.0;103.0;;;0.0;;;30.0;;0.0;30.0;71773.0;;;;;;8469.0;4581.0;3751.0;830.0;39.0;;39.0;;;;44042.0;24194.0;1752.0;22442.0;7089.0;7089.0;0.0;8027.0;4732.0;1025.0;3534.0;173.0;;912.0;912.0;;7492.0;;;;;;;7492.0;;7492.0;;2753.0;109.0;2644.0;;;0.0;;2730.0;;;;;;;;21.0;;;21.0;858.0;857.0;988.0;-131.0;1.0;0.0;1.0;-124.0;;8517.0;;7529.0;3914.0;2926.0;7157.0;6169.0;9267.0;8279.0;6537.0;5549.0;;;5558.0;5812.0;262989.0;257177.0;5812.0;0.0
690;Financial corporations;Consolidated;2007 2nd quarter;82993.0;;;;;;16790.0;16497.0;4157.0;12340.0;293.0;293.0;;;;;;;;;;;;;;11.0;;11.0;51977.0;29908.0;-1782.0;31690.0;23329.0;23319.0;10.0;-1942.0;682.0;16.0;;666.0;0.0;;;;11556.0;11556.0;5390.0;71.0;3070.0;5031.0;-2006.0;;;;;2648.0;2564.0;84.0;;;0.0;;;11.0;;0.0;11.0;86020.0;;;;;;8563.0;5187.0;4440.0;747.0;53.0;;53.0;;;;56519.0;25590.0;1969.0;23621.0;20467.0;20467.0;0.0;3552.0;6910.0;1410.0;5031.0;469.0;;1173.0;1173.0;;7950.0;;;;;;;7950.0;;7950.0;;2826.0;101.0;2725.0;;;0.0;;3601.0;;;;;;;;21.0;;;21.0;397.0;396.0;999.0;-603.0;1.0;0.0;1.0;-270.0;;8227.0;;7228.0;2998.0;1999.0;-1544.0;-2543.0;711.0;-288.0;-2890.0;-3889.0;;;-3899.0;-3027.0;200310.0;203337.0;-3027.0;0.0
691;Financial corporations;Consolidated;2007 3rd quarter;83742.0;;;;;;16718.0;16473.0;3854.0;12619.0;245.0;245.0;;;;;;;;;;;;;;13.0;;13.0;53617.0;32831.0;-1446.0;34277.0;18339.0;18320.0;19.0;1797.0;650.0;13.0;;637.0;0.0;;;;10591.0;10591.0;5408.0;76.0;3090.0;4028.0;-2011.0;;;;;2792.0;2681.0;111.0;;;0.0;;;11.0;;0.0;11.0;77405.0;;;;;;8184.0;3867.0;3108.0;759.0;61.0;;61.0;;;;49613.0;27208.0;2024.0;25184.0;7391.0;7391.0;0.0;9620.0;5394.0;1132.0;4028.0;234.0;;913.0;913.0;;7655.0;;;;;;;7655.0;;7655.0;;2983.0;101.0;2882.0;;;0.0;;2931.0;;;;;;;;22.0;;;22.0;1281.0;1280.0;1026.0;254.0;1.0;0.0;1.0;-105.0;;8534.0;;7508.0;4619.0;3593.0;8623.0;7597.0;10455.0;9429.0;7524.0;6498.0;;;6487.0;6337.0;140049.0;133712.0;6337.0;0.0
692;Financial corporations;Consolidated;2007 4th quarter;89773.0;;;;;;17603.0;17382.0;3933.0;13449.0;221.0;221.0;;;;;;;;;;;;;;10.0;;10.0;58210.0;34078.0;-1664.0;35742.0;26374.0;26354.0;20.0;-2839.0;597.0;13.0;;584.0;0.0;;;;10879.0;10879.0;5408.0;108.0;3089.0;4425.0;-2151.0;;;;;3060.0;2944.0;116.0;;;0.0;;;11.0;;0.0;11.0;76757.0;;;;;;9132.0;4790.0;3931.0;859.0;63.0;;63.0;;;;52642.0;27922.0;1948.0;25974.0;20946.0;20946.0;0.0;-2164.0;5938.0;1278.0;4425.0;235.0;;844.0;844.0;;8881.0;;;;;;;8881.0;;8881.0;;3352.0;154.0;2999.0;;;199.0;;1993.0;;;;;;;;23.0;;;23.0;-429.0;-430.0;989.0;-1419.0;1.0;0.0;1.0;-4534.0;;8471.0;;7482.0;3628.0;2639.0;9196.0;8207.0;10058.0;9069.0;8065.0;7076.0;;;7064.0;13016.0;326637.0;313621.0;13016.0;0.0
693;Financial corporations;Consolidated;2007;334093.0;;;;;;68097.0;67167.0;16296.0;50871.0;930.0;930.0;;;;;;;;;;;;;;51.0;;51.0;211089.0;125384.0;-7145.0;132529.0;78571.0;78516.0;55.0;4658.0;2476.0;50.0;;2426.0;0.0;;;;43253.0;43253.0;21596.0;367.0;12328.0;17018.0;-8056.0;;;;;11540.0;11126.0;414.0;;;0.0;;;63.0;;0.0;63.0;311955.0;;;;;;34348.0;18425.0;15230.0;3195.0;216.0;;216.0;;;;202816.0;104914.0;7693.0;97221.0;55893.0;55893.0;0.0;19035.0;22974.0;4845.0;17018.0;1111.0;;3842.0;3842.0;;31978.0;;;;;;;31978.0;;31978.0;;11914.0;465.0;11250.0;;;199.0;;11255.0;;;;;;;;87.0;;;87.0;2107.0;2103.0;4002.0;-1899.0;4.0;0.0;4.0;-5033.0;;33749.0;;29747.0;15159.0;11157.0;23432.0;19430.0;30491.0;26489.0;19236.0;15234.0;;;15210.0;22138.0;929985.0;907847.0;22138.0;0.0
694;Financial corporations;Consolidated;2008 1st quarter;77373.0;;;;;;16935.0;16672.0;4413.0;12259.0;263.0;263.0;;;;;;;;;;;;;;14.0;;14.0;45891.0;33676.0;-2646.0;36322.0;8248.0;8226.0;22.0;3378.0;589.0;5.0;;584.0;0.0;;;;11429.0;11429.0;6212.0;177.0;3255.0;3811.0;-2026.0;;;;;3099.0;3034.0;65.0;;;0.0;;;5.0;;0.0;5.0;76146.0;;;;;;8181.0;4757.0;3781.0;976.0;57.0;;57.0;;;;46855.0;28158.0;1227.0;26931.0;5198.0;5198.0;0.0;8346.0;5153.0;1142.0;3811.0;200.0;;986.0;986.0;;8031.0;;;;;;;8031.0;;8031.0;;2762.0;117.0;2645.0;;;0.0;;3398.0;;;;;;;;19.0;;;19.0;899.0;899.0;972.0;-73.0;0.0;0.0;0.0;201.0;;8754.0;;7782.0;3954.0;2982.0;2990.0;2018.0;5739.0;4767.0;2341.0;1369.0;;;1355.0;1227.0;135253.0;134026.0;1227.0;0.0
695;Financial corporations;Consolidated;2008 2nd quarter;82427.0;;;;;;16665.0;16316.0;4145.0;12171.0;349.0;349.0;;;;;;;;;;;;;;12.0;;12.0;49231.0;33364.0;-2023.0;35387.0;21098.0;21065.0;33.0;-5961.0;730.0;8.0;;722.0;0.0;;;;13728.0;13728.0;6208.0;137.0;3242.0;6189.0;-2048.0;;;;;2787.0;2594.0;193.0;;;0.0;;;4.0;;0.0;4.0;85963.0;;;;;;8241.0;5391.0;4498.0;893.0;47.0;;47.0;;;;53065.0;27439.0;1586.0;25853.0;19822.0;19822.0;0.0;-2156.0;7960.0;1480.0;6189.0;291.0;;904.0;904.0;;8383.0;;;;;;;8383.0;;8383.0;;2988.0;131.0;2857.0;;;0.0;;5345.0;;;;;;;;17.0;;;17.0;1207.0;1206.0;1060.0;146.0;1.0;0.0;1.0;375.0;;8424.0;;7364.0;2998.0;1938.0;-836.0;-1896.0;3404.0;2344.0;-1941.0;-3001.0;;;-3014.0;-3536.0;163124.0;166660.0;-3536.0;0.0
696;Financial corporations;Consolidated;2008 3rd quarter;81895.0;;;;;;16668.0;16330.0;4295.0;12035.0;338.0;338.0;;;;;;;;;;;;;;12.0;;12.0;50037.0;32958.0;-2252.0;35210.0;22059.0;22051.0;8.0;-5562.0;582.0;7.0;;575.0;0.0;;;;12143.0;12143.0;6231.0;132.0;3262.0;4517.0;-1999.0;;;;;3029.0;2903.0;126.0;;;0.0;;;6.0;;0.0;6.0;78268.0;;;;;;8152.0;3985.0;3098.0;887.0;52.0;;52.0;;;;49068.0;27183.0;1555.0;25628.0;8443.0;8443.0;0.0;7604.0;5838.0;1133.0;4517.0;188.0;;940.0;940.0;;8168.0;;;;;;;8168.0;;8168.0;;2939.0;84.0;2855.0;;;0.0;;3975.0;;;;;;;;17.0;;;17.0;744.0;743.0;1095.0;-352.0;1.0;0.0;1.0;228.0;;8516.0;;7421.0;4491.0;3396.0;5460.0;4365.0;8585.0;7490.0;4610.0;3515.0;;;3504.0;3627.0;112827.0;109200.0;3627.0;0.0
697;Financial corporations;Consolidated;2008 4th quarter;78801.0;;;;;;16983.0;16726.0;4900.0;11826.0;257.0;257.0;;;;;;;;;;;;;;15.0;;15.0;45670.0;33084.0;-2936.0;36020.0;21011.0;20993.0;18.0;-8887.0;462.0;21.0;;441.0;0.0;;;;13135.0;13135.0;6231.0;138.0;3260.0;5844.0;-2338.0;;;;;2990.0;2872.0;118.0;;;0.0;;;8.0;;0.0;8.0;82433.0;;;;;;9056.0;4531.0;3619.0;912.0;50.0;;50.0;;;;50099.0;26546.0;1335.0;25211.0;20906.0;20906.0;0.0;-4955.0;7602.0;1416.0;5844.0;342.0;;762.0;762.0;;8761.0;;;;;;;8761.0;;8761.0;;3378.0;125.0;3253.0;;;0.0;;4374.0;;;;;;;;181.0;;;181.0;1006.0;1005.0;1047.0;-42.0;1.0;0.0;1.0;235.0;;7927.0;;6880.0;3361.0;2314.0;-1068.0;-2115.0;2156.0;1109.0;-2218.0;-3265.0;;;-3438.0;-3632.0;-170712.0;-167080.0;-3632.0;0.0
698;Financial corporations;Consolidated;2008;320496.0;;;;;;67251.0;66044.0;17753.0;48291.0;1207.0;1207.0;;;;;;;;;;;;;;53.0;;53.0;190829.0;133082.0;-9857.0;142939.0;72416.0;72335.0;81.0;-17032.0;2363.0;41.0;;2322.0;0.0;;;;50435.0;50435.0;24882.0;584.0;13019.0;20361.0;-8411.0;;;;;11905.0;11403.0;502.0;;;0.0;;;23.0;;0.0;23.0;322810.0;;;;;;33630.0;18664.0;14996.0;3668.0;206.0;;206.0;;;;199087.0;109326.0;5703.0;103623.0;54369.0;54369.0;0.0;8839.0;26553.0;5171.0;20361.0;1021.0;;3592.0;3592.0;;33343.0;;;;;;;33343.0;;33343.0;;12067.0;457.0;11610.0;;;0.0;;17092.0;;;;;;;;234.0;;;234.0;3856.0;3853.0;4174.0;-321.0;3.0;0.0;3.0;1039.0;;33621.0;;29447.0;14804.0;10630.0;6546.0;2372.0;19884.0;15710.0;2792.0;-1382.0;;;-1593.0;-2314.0;240492.0;242806.0;-2314.0;0.0
699;Financial corporations;Consolidated;2009 1st quarter;74021.0;;;;;;18682.0;18521.0;6390.0;12131.0;161.0;161.0;;;;;;;;;;;;;;16.0;;16.0;38668.0;25909.0;-6344.0;32253.0;12971.0;12948.0;23.0;-694.0;482.0;6.0;;476.0;0.0;;;;13415.0;13415.0;6450.0;117.0;3446.0;5652.0;-2250.0;;;;;3237.0;3128.0;109.0;;;0.0;;;3.0;;0.0;3.0;77872.0;;;;;;8677.0;4384.0;3584.0;800.0;53.0;;53.0;;;;45878.0;21776.0;-960.0;22736.0;6445.0;6445.0;0.0;10566.0;7091.0;1234.0;5652.0;205.0;;786.0;786.0;;8424.0;;;;;;;8424.0;;8424.0;;3184.0;109.0;3039.0;;;36.0;;4991.0;;;;;;;;16.0;;;16.0;1220.0;1220.0;1132.0;88.0;0.0;0.0;0.0;259.0;;10005.0;;8873.0;5584.0;4452.0;-1626.0;-2758.0;2632.0;1500.0;-2359.0;-3491.0;;;-3504.0;-3851.0;43319.0;47170.0;-3851.0;0.0
700;Financial corporations;Consolidated;2009 2nd quarter;79259.0;;;;;;18587.0;18298.0;6805.0;11493.0;289.0;289.0;;;;;;;;;;;;;;13.0;;13.0;42415.0;23642.0;-6834.0;30476.0;23181.0;23146.0;35.0;-4886.0;478.0;10.0;;468.0;0.0;;;;15273.0;15273.0;6480.0;103.0;3451.0;7369.0;-2130.0;;;;;2968.0;2898.0;70.0;;;0.0;;;3.0;;0.0;3.0;78728.0;;;;;;8284.0;5299.0;4513.0;786.0;46.0;;46.0;;;;44907.0;19618.0;-1013.0;20631.0;12902.0;12902.0;0.0;2964.0;9423.0;1724.0;7369.0;330.0;;710.0;710.0;;8443.0;;;;;;;8443.0;;8443.0;;3293.0;95.0;3162.0;;;36.0;;6830.0;;;;;;;;16.0;;;16.0;948.0;947.0;1095.0;-148.0;1.0;0.0;1.0;-48.0;;10303.0;;9208.0;4971.0;3876.0;2479.0;1384.0;8274.0;7179.0;1444.0;349.0;;;336.0;531.0;60490.0;59959.0;531.0;0.0
701;Financial corporations;Consolidated;2009 3rd quarter;72931.0;;;;;;19313.0;19131.0;7340.0;11791.0;182.0;182.0;;;;;;;;;;;;;;17.0;;17.0;36453.0;21745.0;-7446.0;29191.0;16761.0;16726.0;35.0;-2565.0;512.0;9.0;;503.0;0.0;;;;13488.0;13488.0;6494.0;104.0;3469.0;5428.0;-2007.0;;;;;2845.0;2731.0;114.0;;;0.0;;;815.0;;0.0;815.0;70257.0;;;;;;8250.0;3888.0;3100.0;788.0;49.0;;49.0;;;;39707.0;17358.0;-1062.0;18420.0;12252.0;12252.0;0.0;2774.0;7323.0;1561.0;5428.0;334.0;;745.0;745.0;;8310.0;;;;;;;8310.0;;8310.0;;3004.0;127.0;2841.0;;;36.0;;5178.0;;;;;;;;16.0;;;16.0;991.0;990.0;1082.0;-92.0;1.0;0.0;1.0;119.0;;11063.0;;9981.0;7143.0;6061.0;3889.0;2807.0;8163.0;7081.0;2985.0;1903.0;;;2702.0;2674.0;92443.0;89769.0;2674.0;0.0
702;Financial corporations;Consolidated;2009 4th quarter;77896.0;;;;;;20157.0;19987.0;7571.0;12416.0;170.0;170.0;;;;;;;;;;;;;;16.0;;16.0;40340.0;20411.0;-7553.0;27964.0;21894.0;21869.0;25.0;-2501.0;536.0;14.0;;522.0;0.0;;;;12682.0;12682.0;6486.0;112.0;3460.0;4913.0;-2289.0;;;;;3330.0;3032.0;298.0;;;0.0;;;1371.0;;0.0;1371.0;71345.0;;;;;;8672.0;4448.0;3629.0;819.0;52.0;;52.0;;;;40113.0;16854.0;-919.0;17773.0;20564.0;20564.0;0.0;-4248.0;6943.0;1717.0;4913.0;313.0;;781.0;781.0;;8985.0;;;;;;;8985.0;;8985.0;;3641.0;236.0;3369.0;;;36.0;;3697.0;;;;;;;;17.0;;;17.0;692.0;691.0;1098.0;-407.0;1.0;0.0;1.0;247.0;;11485.0;;10387.0;7001.0;5903.0;7228.0;6130.0;9833.0;8735.0;6136.0;5038.0;;;6392.0;6551.0;66245.0;59694.0;6551.0;0.0
