ID;BedrijfstakkenBranchesSBI2008;Perioden;TotaalOprichtingenVanBedrijven_1;k_1WerkzamePersoonOfMinder_2;k_2Tot10WerkzamePersonen_3;k_10Tot50WerkzamePersonen_4;k_50Tot250WerkzamePersonen_5;k_250WerkzamePersonenOfMeer_6;k_0Tot50WerkzamePersonen_7;k_0Tot250WerkzamePersonen_8;NatuurlijkePersonen_9;Rechtspersonen_10
102;Totaal (ex. financieel of nutsbedrijven);2009 3e kwartaal;45395;40190;4955;215;40;0;45360;45395;40380;5015
103;Totaal (ex. financieel of nutsbedrijven);2009 4e kwartaal;52485;43260;8830;360;40;0;52445;52485;45340;7145
104;Totaal (ex. financieel of nutsbedrijven);2009;179625;159405;19330;790;105;0;179520;179625;159740;19890
105;Totaal (ex. financieel of nutsbedrijven);2010 1e kwartaal;23445;21995;1410;35;5;0;23435;23440;21000;2445
106;Totaal (ex. financieel of nutsbedrijven);2010 2e kwartaal;55525;50340;4950;205;30;0;55495;55525;51005;4520
107;Totaal (ex. financieel of nutsbedrijven);2010 3e kwartaal;40380;33970;6180;205;30;0;40350;40380;35610;4770
108;Totaal (ex. financieel of nutsbedrijven);2010 4e kwartaal;35070;29730;5085;230;20;0;35045;35070;30830;4240
109;Totaal (ex. financieel of nutsbedrijven);2010;154420;136035;17620;675;85;0;154330;154415;138445;15975
110;Totaal (ex. financieel of nutsbedrijven);2011 1e kwartaal;34510;29665;4615;200;25;0;34485;34510;30290;4220
111;Totaal (ex. financieel of nutsbedrijven);2011 2e kwartaal;46150;42015;3985;135;15;0;46135;46150;41775;4370
112;Totaal (ex. financieel of nutsbedrijven);2011 3e kwartaal;35510;30520;4755;200;35;0;35475;35510;30525;4990
113;Totaal (ex. financieel of nutsbedrijven);2011 4e kwartaal;42605;34925;7375;275;25;0;42580;42605;36175;6430
114;Totaal (ex. financieel of nutsbedrijven);2011;158775;137125;20735;815;100;0;158675;158775;138765;20010
115;Totaal (ex. financieel of nutsbedrijven);2012 1e kwartaal;34330;31000;3230;85;10;0;34315;34330;30300;4030
116;Totaal (ex. financieel of nutsbedrijven);2012 2e kwartaal;49060;41880;6900;260;20;0;49040;49060;42820;6240
117;Totaal (ex. financieel of nutsbedrijven);2012 3e kwartaal;35710;31455;4120;125;5;0;35705;35710;31570;4140
118;Totaal (ex. financieel of nutsbedrijven);2012 4e kwartaal;29415;23215;6060;120;20;0;29395;29415;25295;4120
119;Totaal (ex. financieel of nutsbedrijven);2012;148515;127550;20315;590;55;5;148455;148510;129990;18525
120;Totaal (ex. financieel of nutsbedrijven);2013 1e kwartaal;34245;30120;4005;100;20;0;34225;34245;29215;5030
121;Totaal (ex. financieel of nutsbedrijven);2013 2e kwartaal;41765;36145;5425;170;30;0;41735;41765;35000;6765
122;Totaal (ex. financieel of nutsbedrijven);2013 3e kwartaal;39300;34610;4540;145;10;0;39295;39300;34080;5220
123;Totaal (ex. financieel of nutsbedrijven);2013 4e kwartaal;33500;29425;3920;140;15;0;33480;33495;28560;4940
124;Totaal (ex. financieel of nutsbedrijven);2013;148810;130295;17885;555;70;0;148735;148810;126855;21955
125;Totaal (ex. financieel of nutsbedrijven);2014 1e kwartaal;36825;32690;4045;75;20;0;36810;36825;31240;5585
126;Totaal (ex. financieel of nutsbedrijven);2014 2e kwartaal;43700;38270;5265;150;15;0;43685;43700;37105;6595
127;Totaal (ex. financieel of nutsbedrijven);2014 3e kwartaal;38990;34255;4615;100;15;0;38975;38990;33470;5515
128;Totaal (ex. financieel of nutsbedrijven);2014 4e kwartaal;31815;28090;3620;95;10;0;31805;31815;26850;4965
129;Totaal (ex. financieel of nutsbedrijven);2014;151330;133305;17545;420;55;0;151275;151330;128670;22660
130;Totaal (ex. financieel of nutsbedrijven);2015 1e kwartaal;36555;32245;4205;95;5;0;36550;36555;30745;5805
131;Totaal (ex. financieel of nutsbedrijven);2015 2e kwartaal;44210;39020;5020;160;15;0;44195;44210;35005;9210
132;Totaal (ex. financieel of nutsbedrijven);2015 3e kwartaal;39900;35260;4500;115;25;0;39875;39900;34410;5490
133;Totaal (ex. financieel of nutsbedrijven);2015 4e kwartaal;34000;30245;3645;105;5;0;33995;34000;29100;4905
134;Totaal (ex. financieel of nutsbedrijven);2015;154670;136770;17370;475;55;0;154615;154670;129260;25410
135;Totaal (ex. financieel of nutsbedrijven);2016 1e kwartaal;37640;33675;3850;100;10;0;37625;37640;31880;5755
136;Totaal (ex. financieel of nutsbedrijven);2016 2e kwartaal;44855;39325;5345;175;10;0;44840;44855;37690;7165
137;Totaal (ex. financieel of nutsbedrijven);2016 3e kwartaal;40885;36060;4710;100;15;0;40870;40885;35510;5375
138;Totaal (ex. financieel of nutsbedrijven);2016 4e kwartaal;34130;30460;3575;90;5;0;34125;34130;28965;5165
139;Totaal (ex. financieel of nutsbedrijven);2016;157510;139520;17480;465;45;0;157465;157510;134050;23460
140;Totaal (ex. financieel of nutsbedrijven);2017 1e kwartaal;38100;34065;3935;90;10;0;38090;38100;31855;6245
141;Totaal (ex. financieel of nutsbedrijven);2017 2e kwartaal;41805;36615;5040;140;10;0;41795;41805;35045;6760
142;Totaal (ex. financieel of nutsbedrijven);2017 3e kwartaal;40915;36675;4155;75;10;0;40905;40915;35180;5735
143;Totaal (ex. financieel of nutsbedrijven);2017 4e kwartaal;38215;34540;3595;80;5;0;38210;38215;32770;5450
144;Totaal (ex. financieel of nutsbedrijven);2017;159040;141895;16720;390;35;0;159005;159040;134850;24190
145;Totaal (ex. financieel of nutsbedrijven);2018 1e kwartaal;40595;36920;3595;70;10;0;40585;40595;34630;5965
146;Totaal (ex. financieel of nutsbedrijven);2018 2e kwartaal;46410;41500;4770;135;10;0;46405;46410;39580;6830
147;Totaal (ex. financieel of nutsbedrijven);2018 3e kwartaal;46865;42580;4175;100;5;0;46860;46865;40775;6095
148;Totaal (ex. financieel of nutsbedrijven);2018 4e kwartaal;41115;37485;3545;80;5;0;41110;41115;35705;5405
149;Totaal (ex. financieel of nutsbedrijven);2018;174985;158490;16085;385;25;0;174960;174985;150690;24295
150;Totaal (ex. financieel of nutsbedrijven);2019 1e kwartaal;47720;43695;3955;65;5;0;47715;47720;41600;6120
151;Totaal (ex. financieel of nutsbedrijven);2019 2e kwartaal;52545;47495;4905;140;5;0;52535;52540;45300;7245
152;Totaal (ex. financieel of nutsbedrijven);2019 3e kwartaal;52715;48105;4515;85;5;0;52705;52715;47020;5695
153;Totaal (ex. financieel of nutsbedrijven);2019 4e kwartaal;45045;41380;3565;95;0;0;45045;45045;39535;5510
154;Totaal (ex. financieel of nutsbedrijven);2019;198020;180670;16940;385;20;0;198000;198020;173455;24570
155;Totaal (ex. financieel of nutsbedrijven);2020 1e kwartaal;54280;50010;4205;60;5;0;54275;54280;48280;6000
156;Totaal (ex. financieel of nutsbedrijven);2020 2e kwartaal;50615;46560;3945;110;5;0;50610;50615;43265;7350
157;Totaal (ex. financieel of nutsbedrijven);2020 3e kwartaal;44285;40510;3700;70;5;0;44280;44285;38910;5375
158;Totaal (ex. financieel of nutsbedrijven);2020 4e kwartaal;50520;46200;4255;55;10;0;50510;50520;43990;6530
159;Totaal (ex. financieel of nutsbedrijven);2020;199700;183285;16105;290;25;0;199680;199700;174445;25260
160;Totaal (ex. financieel of nutsbedrijven);2021 1e kwartaal;54690;49455;5175;55;5;0;54685;54690;47845;6845
161;Totaal (ex. financieel of nutsbedrijven);2021 2e kwartaal;58150;52035;6010;100;10;0;58140;58150;49970;8180
162;Totaal (ex. financieel of nutsbedrijven);2021 3e kwartaal;56920;51140;5680;95;5;0;56915;56920;50130;6795
163;Totaal (ex. financieel of nutsbedrijven);2021 4e kwartaal;52850;48355;4385;105;10;0;52840;52850;46275;6575
164;Totaal (ex. financieel of nutsbedrijven);2021;222610;200980;21255;350;25;0;222585;222610;194215;28395
165;Totaal (ex. financieel of nutsbedrijven);2022 1e kwartaal;56030;51900;4045;80;5;0;56025;56030;47620;8410
166;Totaal (ex. financieel of nutsbedrijven);2022 2e kwartaal;57265;52345;4800;115;5;0;57255;57265;48405;8860
167;Totaal (ex. financieel of nutsbedrijven);2022 3e kwartaal;59315;54950;4275;85;5;0;59310;59315;52670;6645
168;Totaal (ex. financieel of nutsbedrijven);2022 4e kwartaal;58450;54710;3675;65;5;0;58450;58450;52220;6230
169;Totaal (ex. financieel of nutsbedrijven);2022;231060;213900;16790;345;25;0;231035;231060;200915;30145
170;Totaal (ex. financieel of nutsbedrijven);2023 1e kwartaal;60240;56420;3765;45;5;0;60235;60240;53900;6340
171;Totaal (ex. financieel of nutsbedrijven);2023 2e kwartaal;64805;59785;4880;130;10;0;64795;64805;55360;9445
172;Totaal (ex. financieel of nutsbedrijven);2023 3e kwartaal;62825;57965;4775;80;5;0;62815;62825;56200;6625
173;Totaal (ex. financieel of nutsbedrijven);2023 4e kwartaal;59980;55530;4385;65;0;0;59980;59980;52870;7110
174;Totaal (ex. financieel of nutsbedrijven);2023;247845;229700;17805;320;20;0;247825;247845;218325;29520
175;Totaal (ex. financieel of nutsbedrijven);2024 1e kwartaal;55675;51475;4135;60;5;0;55670;55675;48665;7010
176;Totaal (ex. financieel of nutsbedrijven);2024 2e kwartaal;57630;52610;4905;105;5;0;57625;57630;49395;8235
177;Totaal (ex. financieel of nutsbedrijven);2024 3e kwartaal;58000;53420;4500;75;10;0;57990;58000;50780;7220
178;Totaal (ex. financieel of nutsbedrijven);2024 4e kwartaal;49520;45750;3720;50;5;0;49515;49520;42925;6595
179;Totaal (ex. financieel of nutsbedrijven);2024;220820;203255;17260;285;20;0;220800;220820;191765;29060
180;Business Economy, B-N, excl. K, incl. 95;2007 1e kwartaal;35430;28800;6145;450;40;0;35395;35430;30175;5255
181;Business Economy, B-N, excl. K, incl. 95;2007 2e kwartaal;36165;31090;4710;340;25;0;36140;36165;32170;3990
182;Business Economy, B-N, excl. K, incl. 95;2007 3e kwartaal;31595;24135;6965;465;30;0;31565;31595;26480;5115
183;Business Economy, B-N, excl. K, incl. 95;2007 4e kwartaal;26290;21775;4190;295;25;0;26260;26290;22650;3640
184;Business Economy, B-N, excl. K, incl. 95;2007;129475;105800;22010;1555;115;0;129360;129475;111470;18005
185;Business Economy, B-N, excl. K, incl. 95;2008 1e kwartaal;24270;19800;4180;275;20;0;24255;24270;20060;4210
186;Business Economy, B-N, excl. K, incl. 95;2008 2e kwartaal;33590;29650;3670;250;15;0;33570;33590;29930;3655
187;Business Economy, B-N, excl. K, incl. 95;2008 3e kwartaal;29340;23865;5090;360;25;0;29315;29340;25370;3970
188;Business Economy, B-N, excl. K, incl. 95;2008 4e kwartaal;30005;21500;8205;280;20;0;29985;30005;23090;6920
189;Business Economy, B-N, excl. K, incl. 95;2008;117205;94815;21145;1165;80;0;117125;117205;98455;18750
190;Business Economy, B-N, excl. K, incl. 95;2009 1e kwartaal;19785;19310;445;25;5;0;19775;19785;17970;1815
191;Business Economy, B-N, excl. K, incl. 95;2009 2e kwartaal;35670;31760;3755;145;10;0;35660;35670;31590;4080
192;Business Economy, B-N, excl. K, incl. 95;2009 3e kwartaal;25670;21960;3545;145;15;0;25650;25670;21670;4000
193;Business Economy, B-N, excl. K, incl. 95;2009 4e kwartaal;31680;24990;6390;275;25;0;31655;31680;26110;5565
194;Business Economy, B-N, excl. K, incl. 95;2009;112800;98015;14135;590;60;0;112740;112800;97345;15455
195;Business Economy, B-N, excl. K, incl. 95;2010 1e kwartaal;14895;13725;1135;30;5;0;14890;14895;12960;1935
196;Business Economy, B-N, excl. K, incl. 95;2010 2e kwartaal;32775;29355;3260;140;20;0;32755;32775;29330;3445
197;Business Economy, B-N, excl. K, incl. 95;2010 3e kwartaal;27660;23230;4285;135;10;0;27650;27660;23895;3765
198;Business Economy, B-N, excl. K, incl. 95;2010 4e kwartaal;24070;20245;3630;185;15;0;24055;24070;20650;3425
199;Business Economy, B-N, excl. K, incl. 95;2010;99405;86560;12305;490;50;0;99355;99405;86835;12570
200;Business Economy, B-N, excl. K, incl. 95;2011 1e kwartaal;23795;20345;3305;135;15;0;23780;23795;20555;3240
201;Business Economy, B-N, excl. K, incl. 95;2011 2e kwartaal;31860;28650;3095;110;10;0;31855;31860;28525;3340
202;Business Economy, B-N, excl. K, incl. 95;2011 3e kwartaal;25360;21485;3715;140;20;0;25340;25360;21485;3880
203;Business Economy, B-N, excl. K, incl. 95;2011 4e kwartaal;30245;24305;5700;225;20;0;30225;30245;25110;5135
204;Business Economy, B-N, excl. K, incl. 95;2011;111265;94785;15815;605;60;0;111205;111265;95670;15590
205;Business Economy, B-N, excl. K, incl. 95;2012 1e kwartaal;24530;21720;2725;75;10;0;24520;24530;21215;3310
206;Business Economy, B-N, excl. K, incl. 95;2012 2e kwartaal;34315;28885;5245;185;5;0;34310;34315;29475;4840
207;Business Economy, B-N, excl. K, incl. 95;2012 3e kwartaal;25620;22290;3225;100;5;0;25615;25620;22350;3270
208;Business Economy, B-N, excl. K, incl. 95;2012 4e kwartaal;20930;16165;4660;90;10;0;20920;20930;17705;3225
209;Business Economy, B-N, excl. K, incl. 95;2012;105395;89060;15855;450;30;0;105365;105395;90745;14650
210;Business Economy, B-N, excl. K, incl. 95;2013 1e kwartaal;23940;20715;3135;80;10;0;23930;23940;19880;4060
211;Business Economy, B-N, excl. K, incl. 95;2013 2e kwartaal;29185;24880;4155;140;15;0;29170;29185;23740;5450
212;Business Economy, B-N, excl. K, incl. 95;2013 3e kwartaal;27710;23920;3670;115;5;0;27705;27710;23395;4315
213;Business Economy, B-N, excl. K, incl. 95;2013 4e kwartaal;23825;20560;3140;115;10;0;23815;23825;19825;4000
214;Business Economy, B-N, excl. K, incl. 95;2013;104660;90070;14100;445;40;0;104620;104660;86840;17820
215;Business Economy, B-N, excl. K, incl. 95;2014 1e kwartaal;25985;22645;3255;70;15;0;25970;25985;21455;4530
216;Business Economy, B-N, excl. K, incl. 95;2014 2e kwartaal;31165;26815;4225;115;10;0;31155;31165;25785;5380
217;Business Economy, B-N, excl. K, incl. 95;2014 3e kwartaal;27720;23985;3640;85;5;0;27715;27720;23220;4500
218;Business Economy, B-N, excl. K, incl. 95;2014 4e kwartaal;22645;19725;2840;70;5;0;22635;22645;18635;4010
219;Business Economy, B-N, excl. K, incl. 95;2014;107515;93175;13965;340;40;0;107475;107515;89095;18420
220;Business Economy, B-N, excl. K, incl. 95;2015 1e kwartaal;26095;22605;3405;80;5;0;26095;26095;21415;4680
221;Business Economy, B-N, excl. K, incl. 95;2015 2e kwartaal;29235;25170;3940;120;5;0;29225;29235;24065;5170
222;Business Economy, B-N, excl. K, incl. 95;2015 3e kwartaal;27595;23990;3515;80;10;0;27585;27595;23350;4245
223;Business Economy, B-N, excl. K, incl. 95;2015 4e kwartaal;23970;20995;2890;85;5;0;23965;23970;20140;3830
224;Business Economy, B-N, excl. K, incl. 95;2015;106895;92760;13750;365;25;0;106870;106895;88975;17925
225;Business Economy, B-N, excl. K, incl. 95;2016 1e kwartaal;26365;23205;3070;80;5;0;26360;26365;21695;4665
226;Business Economy, B-N, excl. K, incl. 95;2016 2e kwartaal;31565;27285;4155;115;5;0;31555;31565;25985;5575
227;Business Economy, B-N, excl. K, incl. 95;2016 3e kwartaal;28365;24585;3680;90;10;0;28355;28365;24025;4340
228;Business Economy, B-N, excl. K, incl. 95;2016 4e kwartaal;23240;20370;2795;70;5;0;23235;23240;19260;3980
229;Business Economy, B-N, excl. K, incl. 95;2016;109530;95440;13705;360;30;0;109505;109530;90965;18565
230;Business Economy, B-N, excl. K, incl. 95;2017 1e kwartaal;26400;23180;3135;80;10;0;26390;26400;21280;5120
231;Business Economy, B-N, excl. K, incl. 95;2017 2e kwartaal;28945;24885;3945;110;5;0;28940;28945;23445;5500
232;Business Economy, B-N, excl. K, incl. 95;2017 3e kwartaal;28320;25010;3250;60;5;0;28315;28320;23720;4600
233;Business Economy, B-N, excl. K, incl. 95;2017 4e kwartaal;26630;23700;2870;55;0;0;26630;26630;22245;4390
234;Business Economy, B-N, excl. K, incl. 95;2017;110300;96775;13200;300;20;0;110275;110300;90690;19610
235;Business Economy, B-N, excl. K, incl. 95;2018 1e kwartaal;28200;25325;2815;55;5;0;28195;28200;23355;4850
236;Business Economy, B-N, excl. K, incl. 95;2018 2e kwartaal;32375;28550;3725;100;5;0;32370;32375;26905;5470
237;Business Economy, B-N, excl. K, incl. 95;2018 3e kwartaal;32585;29215;3270;90;5;0;32580;32585;27725;4855
238;Business Economy, B-N, excl. K, incl. 95;2018 4e kwartaal;28865;25990;2805;65;5;0;28860;28865;24500;4365
