ID;RegioS;Perioden;TotaalIncidenten_1;TotaalBrandincidenten_2;TotaalAutomatischGemeld_3;AfgehandeldDoorDeMeldkamer_4;AlarmeringenVanDeBrandweer_5;TotaalTelefonischGemeld_6;AfgehandeldDoorDeMeldkamer_7;AlarmeringenVanDeBrandweer_8;TotaalHulpverleningsincidenten_9;AfgehandeldDoorDeMeldkamer_10;AlarmeringenVanDeBrandweer_11
133;West-Nederland (LD);2018 4e kwartaal;30160;15640;8860;4160;4700;6780;1080;5700;14520;4500;10020
134;West-Nederland (LD);2018;128380;60200;34660;16080;18580;25540;3580;21960;68200;21920;46280
135;West-Nederland (LD);2019 1e kwartaal;30860;14800;8200;4040;4160;6600;1400;5200;16040;5260;10780
136;West-Nederland (LD);2019 2e kwartaal;31500;14240;8380;4060;4320;5860;800;5080;17260;5540;11720
137;West-Nederland (LD);2019 3e kwartaal;30620;13920;8480;4060;4440;5440;760;4680;16700;5140;11560
138;West-Nederland (LD);2019 4e kwartaal;31240;17120;8880;4520;4360;8240;1500;6740;14120;4000;10120
139;West-Nederland (LD);2019;124220;60080;33940;16680;17280;26140;4460;21700;64140;19940;44180
140;Zuid-Nederland (LD);2013 1e kwartaal;10920;6220;4140;1520;2620;2080;160;1920;4700;2880;1820
141;Zuid-Nederland (LD);2013 2e kwartaal;11800;6680;4280;1520;2760;2400;180;2200;5140;3080;2060
142;Zuid-Nederland (LD);2013 3e kwartaal;12720;6480;4220;1700;2520;2260;280;1980;6240;4080;2160
143;Zuid-Nederland (LD);2013 4e kwartaal;13220;6580;4320;1520;2780;2260;160;2100;6640;3560;3080
144;Zuid-Nederland (LD);2013;48660;25940;16960;6260;10700;8980;800;8180;22720;13600;9120
145;Zuid-Nederland (LD);2014 1e kwartaal;10600;5840;3560;1240;2340;2260;220;2060;4760;2760;2000
146;Zuid-Nederland (LD);2014 2e kwartaal;11680;5980;3720;1280;2440;2260;180;2080;5680;3300;2380
147;Zuid-Nederland (LD);2014 3e kwartaal;13300;6240;4300;1460;2840;1940;180;1780;7040;4260;2780
148;Zuid-Nederland (LD);2014 4e kwartaal;11980;6100;4120;1480;2640;1980;160;1820;5880;3360;2520
149;Zuid-Nederland (LD);2014;47540;24160;15720;5460;10260;8460;720;7720;23380;13680;9700
150;Zuid-Nederland (LD);2015 1e kwartaal;10460;5760;3760;1560;2200;2000;140;1860;4700;2000;2700
151;Zuid-Nederland (LD);2015 2e kwartaal;9540;5900;3640;1580;2060;2260;220;2040;3660;1180;2480
152;Zuid-Nederland (LD);2015 3e kwartaal;10980;6300;4100;1800;2300;2200;200;2000;4680;1780;2900
153;Zuid-Nederland (LD);2015 4e kwartaal;9840;6380;4260;1900;2360;2140;220;1920;3440;1140;2320
154;Zuid-Nederland (LD);2015;40820;24340;15760;6820;8920;8580;780;7800;16480;6100;10380
155;Zuid-Nederland (LD);2016 1e kwartaal;8840;5620;3600;1860;1740;2020;220;1800;3220;1080;2140
156;Zuid-Nederland (LD);2016 2e kwartaal;11620;5820;3820;1800;2020;2000;220;1760;5820;2860;2940
157;Zuid-Nederland (LD);2016 3e kwartaal;10400;6220;3880;1800;2100;2340;260;2080;4180;1780;2420
158;Zuid-Nederland (LD);2016 4e kwartaal;10460;6120;3940;1980;1980;2160;260;1900;4340;1980;2380
159;Zuid-Nederland (LD);2016;41340;23780;15260;7440;7840;8520;960;7560;17560;7680;9880
160;Zuid-Nederland (LD);2017 1e kwartaal;10140;5540;3500;1780;1720;2040;220;1820;4600;2000;2620
161;Zuid-Nederland (LD);2017 2e kwartaal;10080;6020;3320;1680;1640;2700;340;2380;4060;1720;2340
162;Zuid-Nederland (LD);2017 3e kwartaal;9640;5620;3600;1900;1700;2020;280;1740;4020;1580;2440
163;Zuid-Nederland (LD);2017 4e kwartaal;9400;5620;3600;1940;1680;2000;280;1720;3780;1520;2240
164;Zuid-Nederland (LD);2017;39260;22780;14000;7280;6720;8780;1100;7680;16460;6820;9660
165;Zuid-Nederland (LD);2018 1e kwartaal;12220;5380;3320;1700;1620;2060;280;1780;6840;3800;3040
166;Zuid-Nederland (LD);2018 2e kwartaal;10460;5840;3440;2020;1400;2400;440;1960;4640;2200;2440
167;Zuid-Nederland (LD);2018 3e kwartaal;11980;7260;3300;1920;1380;3940;740;3220;4720;2180;2540
168;Zuid-Nederland (LD);2018 4e kwartaal;10320;5940;3460;2100;1360;2480;440;2040;4380;2060;2340
169;Zuid-Nederland (LD);2018;45000;24420;13520;7740;5780;10880;1880;9000;20580;10240;10360
170;Zuid-Nederland (LD);2019 1e kwartaal;11740;5180;3120;1900;1220;2060;360;1700;6560;3780;2780
171;Zuid-Nederland (LD);2019 2e kwartaal;11860;5760;3100;1860;1240;2660;440;2220;6100;2980;3120
172;Zuid-Nederland (LD);2019 3e kwartaal;11620;6380;3580;2000;1560;2800;500;2300;5260;2360;2880
173;Zuid-Nederland (LD);2019 4e kwartaal;10700;5780;3480;2000;1460;2300;380;1940;4900;2280;2620
174;Zuid-Nederland (LD);2019;45900;23100;13280;7780;5500;9820;1680;8140;22800;11400;11420
175;Groningen (PV);2013 1e kwartaal;1980;1220;780;560;200;440;120;320;760;440;320
176;Groningen (PV);2013 2e kwartaal;2160;1160;740;500;240;420;60;380;1000;640;360
177;Groningen (PV);2013 3e kwartaal;2240;1220;860;580;280;340;60;280;1020;660;380
178;Groningen (PV);2013 4e kwartaal;2900;1380;820;540;280;560;200;360;1520;1140;380
179;Groningen (PV);2013;9280;4980;3200;2180;1000;1780;420;1360;4300;2880;1420
180;Groningen (PV);2014 1e kwartaal;1840;1100;640;440;200;460;120;340;760;480;280
181;Groningen (PV);2014 2e kwartaal;2000;1060;740;540;220;320;40;260;940;600;340
182;Groningen (PV);2014 3e kwartaal;2140;1200;860;580;260;360;60;300;920;600;340
183;Groningen (PV);2014 4e kwartaal;2160;1280;780;540;260;480;140;360;880;600;300
184;Groningen (PV);2014;8140;4640;3020;2080;940;1620;360;1260;3500;2260;1240
185;Groningen (PV);2015 1e kwartaal;2060;1080;700;520;180;380;80;300;980;640;340
186;Groningen (PV);2015 2e kwartaal;1980;1040;700;460;240;340;60;280;940;640;300
187;Groningen (PV);2015 3e kwartaal;2260;1140;820;520;300;320;60;260;1140;720;420
188;Groningen (PV);2015 4e kwartaal;2220;1240;760;520;260;460;140;320;1000;680;320
189;Groningen (PV);2015;8520;4500;2980;2000;980;1500;320;1180;4040;2680;1360
190;Groningen (PV);2016 1e kwartaal;1940;1080;680;460;200;400;100;300;860;600;260
191;Groningen (PV);2016 2e kwartaal;1920;980;700;440;240;300;40;260;940;600;340
192;Groningen (PV);2016 3e kwartaal;2040;1100;740;480;240;360;60;300;940;600;340
193;Groningen (PV);2016 4e kwartaal;2040;1160;720;480;240;440;80;340;880;580;300
194;Groningen (PV);2016;7920;4300;2820;1880;940;1480;280;1200;3620;2380;1240
195;Groningen (PV);2017 1e kwartaal;1720;980;600;400;200;400;80;320;720;460;260
196;Groningen (PV);2017 2e kwartaal;1900;980;580;380;200;420;60;360;900;560;340
197;Groningen (PV);2017 3e kwartaal;1900;940;600;420;180;340;80;280;940;620;340
198;Groningen (PV);2017 4e kwartaal;2080;980;620;440;180;380;80;300;1100;760;340
199;Groningen (PV);2017;7580;3900;2380;1640;740;1520;300;1220;3680;2400;1280
200;Groningen (PV);2018 1e kwartaal;1960;1080;620;400;200;480;120;360;880;520;340
201;Groningen (PV);2018 2e kwartaal;2200;1040;600;420;180;420;80;340;1160;760;400
202;Groningen (PV);2018 3e kwartaal;2240;1220;620;420;200;620;100;500;1020;640;360
203;Groningen (PV);2018 4e kwartaal;2040;1160;620;400;220;540;140;400;880;540;340
204;Groningen (PV);2018;8420;4500;2440;1660;800;2060;460;1600;3920;2480;1440
205;Groningen (PV);2019 1e kwartaal;1840;980;580;400;180;400;100;300;860;520;340
206;Groningen (PV);2019 2e kwartaal;2240;1040;600;400;200;440;100;360;1180;780;400
207;Groningen (PV);2019 3e kwartaal;2300;1200;700;460;240;500;100;400;1100;720;360
208;Groningen (PV);2019 4e kwartaal;2220;1220;680;460;240;520;160;380;1000;660;360
209;Groningen (PV);2019;8580;4440;2560;1720;860;1880;460;1420;4140;2680;1460
210;Friesland (PV);2013 1e kwartaal;1780;1120;700;240;480;420;60;360;660;420;240
211;Friesland (PV);2013 2e kwartaal;2100;1140;780;300;480;360;60;320;960;680;280
212;Friesland (PV);2013 3e kwartaal;1980;1120;760;220;540;360;60;300;880;540;340
213;Friesland (PV);2013 4e kwartaal;2860;1140;740;240;500;400;80;320;1720;1260;480
214;Friesland (PV);2013;8740;4500;2980;980;1980;1540;240;1280;4220;2880;1340
215;Friesland (PV);2014 1e kwartaal;1720;980;600;180;420;400;60;320;720;480;260
216;Friesland (PV);2014 2e kwartaal;1900;960;680;220;460;280;40;240;940;600;360
217;Friesland (PV);2014 3e kwartaal;1980;1100;780;240;520;320;60;260;880;500;360
218;Friesland (PV);2014 4e kwartaal;1800;1020;660;260;400;360;60;300;760;480;280
219;Friesland (PV);2014;7380;4060;2720;900;1800;1360;220;1140;3320;2060;1260
220;Friesland (PV);2015 1e kwartaal;1760;920;580;220;360;340;60;280;840;540;300
221;Friesland (PV);2015 2e kwartaal;1880;920;620;220;400;300;60;260;980;620;340
222;Friesland (PV);2015 3e kwartaal;2340;1040;700;240;460;340;40;300;1280;820;480
223;Friesland (PV);2015 4e kwartaal;1860;1040;700;400;300;340;60;280;840;520;320
224;Friesland (PV);2015;7840;3920;2580;1080;1500;1320;220;1100;3940;2480;1440
225;Friesland (PV);2016 1e kwartaal;1720;1020;640;460;180;380;80;300;680;420;280
226;Friesland (PV);2016 2e kwartaal;1820;920;620;440;180;300;40;260;900;540;360
227;Friesland (PV);2016 3e kwartaal;1940;1020;720;520;200;300;60;260;920;520;400
228;Friesland (PV);2016 4e kwartaal;1900;1000;620;480;140;380;40;320;900;500;380
229;Friesland (PV);2016;7380;3980;2600;1900;700;1380;240;1140;3400;1980;1420
230;Friesland (PV);2017 1e kwartaal;1520;880;540;420;120;340;40;300;660;360;300
231;Friesland (PV);2017 2e kwartaal;1920;960;600;440;160;360;80;280;960;580;380
232;Friesland (PV);2017 3e kwartaal;2080;960;660;500;160;300;60;240;1120;700;420
233;Friesland (PV);2017 4e kwartaal;1880;960;620;460;180;340;60;280;920;520;400
234;Friesland (PV);2017;7420;3760;2420;1820;600;1320;240;1080;3660;2160;1500
235;Friesland (PV);2018 1e kwartaal;1800;940;540;400;140;400;80;340;860;480;380
236;Friesland (PV);2018 2e kwartaal;2040;980;600;420;160;380;80;300;1080;660;400
237;Friesland (PV);2018 3e kwartaal;2300;1220;680;500;180;540;100;440;1080;660;420
238;Friesland (PV);2018 4e kwartaal;1880;1040;620;460;160;420;80;360;840;500;340
239;Friesland (PV);2018;8000;4160;2420;1780;640;1740;300;1440;3840;2320;1520
240;Friesland (PV);2019 1e kwartaal;1720;900;540;400;140;360;60;300;820;500;320
241;Friesland (PV);2019 2e kwartaal;2100;1040;620;460;160;420;100;340;1060;720;360
242;Friesland (PV);2019 3e kwartaal;2300;1100;700;500;200;420;100;320;1180;800;380
243;Friesland (PV);2019 4e kwartaal;1920;1040;660;480;180;380;80;300;880;560;320
244;Friesland (PV);2019;8040;4080;2500;1840;660;1560;340;1240;3960;2580;1380
245;Drenthe (PV);2013 1e kwartaal;1640;1080;660;200;460;420;60;360;560;320;240
246;Drenthe (PV);2013 2e kwartaal;2000;1160;760;280;480;400;40;360;840;540;300
247;Drenthe (PV);2013 3e kwartaal;1900;1140;820;280;520;320;40;280;760;500;260
248;Drenthe (PV);2013 4e kwartaal;2420;1180;740;240;500;440;100;340;1240;840;400
249;Drenthe (PV);2013;7940;4540;2960;1000;1940;1580;240;1340;3420;2220;1200
250;Drenthe (PV);2014 1e kwartaal;1680;1060;680;220;460;380;60;320;620;420;220
251;Drenthe (PV);2014 2e kwartaal;1840;1100;800;220;560;300;40;260;740;460;280
252;Drenthe (PV);2014 3e kwartaal;1780;1080;760;220;540;320;60;240;720;460;240
253;Drenthe (PV);2014 4e kwartaal;1760;1000;700;220;480;300;40;260;760;460;300
254;Drenthe (PV);2014;7060;4240;2940;900;2040;1300;220;1080;2840;1800;1020
255;Drenthe (PV);2015 1e kwartaal;1660;880;560;160;380;320;60;260;780;500;280
256;Drenthe (PV);2015 2e kwartaal;1760;1000;680;340;340;320;60;260;760;480;280
257;Drenthe (PV);2015 3e kwartaal;1860;980;700;340;360;300;60;240;880;580;300
258;Drenthe (PV);2015 4e kwartaal;1920;1120;760;400;360;360;100;260;800;540;260
259;Drenthe (PV);2015;7200;3980;2680;1240;1460;1300;260;1020;3220;2080;1120
260;Drenthe (PV);2016 1e kwartaal;1600;980;640;340;300;340;100;240;620;400;220
261;Drenthe (PV);2016 2e kwartaal;1720;920;660;340;300;260;40;220;800;480;340
262;Drenthe (PV);2016 3e kwartaal;1660;960;680;340;340;280;40;240;700;400;280
263;Drenthe (PV);2016 4e kwartaal;1600;980;620;380;240;360;60;320;620;400;220
264;Drenthe (PV);2016;6580;3820;2600;1420;1180;1240;240;1000;2740;1680;1080
265;Drenthe (PV);2017 1e kwartaal;1340;760;480;280;200;300;60;240;560;360;220
266;Drenthe (PV);2017 2e kwartaal;1580;840;500;280;220;340;60;280;740;440;280
