ID;Bestedingscategorieen;Marges;Perioden;GemiddeldBesteedBedrag_1;Bestedingsaandeel_2
135;011330 Verse schaal- en schelpdieren;Ondergrens 95%-interval;2020;17.0;
136;011330 Verse schaal- en schelpdieren;Bovengrens 95%-interval;2015;17.0;
137;011330 Verse schaal- en schelpdieren;Bovengrens 95%-interval;2020;21.0;
138;011350 Gerookte, gedr. of gez. vis.;Waarde;2015;;
139;011350 Gerookte, gedr. of gez. vis.;Waarde;2020;1.0;0.0
140;011350 Gerookte, gedr. of gez. vis.;Ondergrens 95%-interval;2015;;
141;011350 Gerookte, gedr. of gez. vis.;Ondergrens 95%-interval;2020;1.0;
142;011350 Gerookte, gedr. of gez. vis.;Bovengrens 95%-interval;2015;;
143;011350 Gerookte, gedr. of gez. vis.;Bovengrens 95%-interval;2020;1.0;
144;011360 Bereidingen en conserven van vis.;Waarde;2015;33.0;0.1
145;011360 Bereidingen en conserven van vis.;Waarde;2020;61.0;0.2
146;011360 Bereidingen en conserven van vis.;Ondergrens 95%-interval;2015;31.0;
147;011360 Bereidingen en conserven van vis.;Ondergrens 95%-interval;2020;57.0;
148;011360 Bereidingen en conserven van vis.;Bovengrens 95%-interval;2015;35.0;
149;011360 Bereidingen en conserven van vis.;Bovengrens 95%-interval;2020;65.0;
150;011400 Melk, kaas en eieren;Waarde;2015;507.0;1.5
151;011400 Melk, kaas en eieren;Waarde;2020;651.0;1.8
152;011400 Melk, kaas en eieren;Ondergrens 95%-interval;2015;499.0;
153;011400 Melk, kaas en eieren;Ondergrens 95%-interval;2020;640.0;
154;011400 Melk, kaas en eieren;Bovengrens 95%-interval;2015;514.0;
155;011400 Melk, kaas en eieren;Bovengrens 95%-interval;2020;662.0;
156;011410 Verse volle melk;Waarde;2015;2.0;0.0
157;011410 Verse volle melk;Waarde;2020;1.0;0.0
158;011410 Verse volle melk;Ondergrens 95%-interval;2015;1.0;
159;011410 Verse volle melk;Ondergrens 95%-interval;2020;1.0;
160;011410 Verse volle melk;Bovengrens 95%-interval;2015;3.0;
161;011410 Verse volle melk;Bovengrens 95%-interval;2020;1.0;
162;011420 Verse halfvolle en magere melk;Waarde;2015;65.0;0.2
163;011420 Verse halfvolle en magere melk;Waarde;2020;84.0;0.2
164;011420 Verse halfvolle en magere melk;Ondergrens 95%-interval;2015;63.0;
165;011420 Verse halfvolle en magere melk;Ondergrens 95%-interval;2020;81.0;
166;011420 Verse halfvolle en magere melk;Bovengrens 95%-interval;2015;67.0;
167;011420 Verse halfvolle en magere melk;Bovengrens 95%-interval;2020;87.0;
168;011440 Yoghurt;Waarde;2015;64.0;0.2
169;011440 Yoghurt;Waarde;2020;84.0;0.2
170;011440 Yoghurt;Ondergrens 95%-interval;2015;62.0;
171;011440 Yoghurt;Ondergrens 95%-interval;2020;81.0;
172;011440 Yoghurt;Bovengrens 95%-interval;2015;65.0;
173;011440 Yoghurt;Bovengrens 95%-interval;2020;87.0;
174;011450 Kaas en kwark;Waarde;2015;231.0;0.7
175;011450 Kaas en kwark;Waarde;2020;285.0;0.8
176;011450 Kaas en kwark;Ondergrens 95%-interval;2015;226.0;
177;011450 Kaas en kwark;Ondergrens 95%-interval;2020;278.0;
178;011450 Kaas en kwark;Bovengrens 95%-interval;2015;236.0;
179;011450 Kaas en kwark;Bovengrens 95%-interval;2020;292.0;
180;011460 Overige zuivelproducten;Waarde;2015;108.0;0.3
181;011460 Overige zuivelproducten;Waarde;2020;137.0;0.4
182;011460 Overige zuivelproducten;Ondergrens 95%-interval;2015;105.0;
183;011460 Overige zuivelproducten;Ondergrens 95%-interval;2020;133.0;
184;011460 Overige zuivelproducten;Bovengrens 95%-interval;2015;110.0;
185;011460 Overige zuivelproducten;Bovengrens 95%-interval;2020;141.0;
186;011470 Eieren;Waarde;2015;37.0;0.1
187;011470 Eieren;Waarde;2020;60.0;0.2
188;011470 Eieren;Ondergrens 95%-interval;2015;36.0;
189;011470 Eieren;Ondergrens 95%-interval;2020;58.0;
190;011470 Eieren;Bovengrens 95%-interval;2015;39.0;
191;011470 Eieren;Bovengrens 95%-interval;2020;62.0;
192;011500 Oliën en vetten;Waarde;2015;72.0;0.2
193;011500 Oliën en vetten;Waarde;2020;93.0;0.3
194;011500 Oliën en vetten;Ondergrens 95%-interval;2015;70.0;
195;011500 Oliën en vetten;Ondergrens 95%-interval;2020;89.0;
196;011500 Oliën en vetten;Bovengrens 95%-interval;2015;74.0;
197;011500 Oliën en vetten;Bovengrens 95%-interval;2020;97.0;
198;011510 Boter;Waarde;2015;19.0;0.1
199;011510 Boter;Waarde;2020;31.0;0.1
200;011510 Boter;Ondergrens 95%-interval;2015;18.0;
201;011510 Boter;Ondergrens 95%-interval;2020;29.0;
202;011510 Boter;Bovengrens 95%-interval;2015;20.0;
203;011510 Boter;Bovengrens 95%-interval;2020;33.0;
204;011520 Margarine en plantaardige vetten;Waarde;2015;29.0;0.1
205;011520 Margarine en plantaardige vetten;Waarde;2020;33.0;0.1
206;011520 Margarine en plantaardige vetten;Ondergrens 95%-interval;2015;28.0;
207;011520 Margarine en plantaardige vetten;Ondergrens 95%-interval;2020;31.0;
208;011520 Margarine en plantaardige vetten;Bovengrens 95%-interval;2015;30.0;
209;011520 Margarine en plantaardige vetten;Bovengrens 95%-interval;2020;35.0;
210;011530 Olijfolie;Waarde;2015;;
211;011530 Olijfolie;Waarde;2020;5.0;0.0
212;011530 Olijfolie;Ondergrens 95%-interval;2015;;
213;011530 Olijfolie;Ondergrens 95%-interval;2020;4.0;
214;011530 Olijfolie;Bovengrens 95%-interval;2015;;
215;011530 Olijfolie;Bovengrens 95%-interval;2020;6.0;
216;011540 Overige eetbare olie;Waarde;2015;24.0;0.1
217;011540 Overige eetbare olie;Waarde;2020;26.0;0.1
218;011540 Overige eetbare olie;Ondergrens 95%-interval;2015;23.0;
219;011540 Overige eetbare olie;Ondergrens 95%-interval;2020;23.0;
220;011540 Overige eetbare olie;Bovengrens 95%-interval;2015;26.0;
221;011540 Overige eetbare olie;Bovengrens 95%-interval;2020;29.0;
222;011600 Fruit;Waarde;2015;350.0;1.0
223;011600 Fruit;Waarde;2020;445.0;1.3
224;011600 Fruit;Ondergrens 95%-interval;2015;343.0;
225;011600 Fruit;Ondergrens 95%-interval;2020;435.0;
226;011600 Fruit;Bovengrens 95%-interval;2015;357.0;
227;011600 Fruit;Bovengrens 95%-interval;2020;455.0;
228;011610 Vers of gekoeld fruit;Waarde;2015;261.0;0.8
229;011610 Vers of gekoeld fruit;Waarde;2020;343.0;1.0
230;011610 Vers of gekoeld fruit;Ondergrens 95%-interval;2015;255.0;
231;011610 Vers of gekoeld fruit;Ondergrens 95%-interval;2020;335.0;
232;011610 Vers of gekoeld fruit;Bovengrens 95%-interval;2015;266.0;
233;011610 Vers of gekoeld fruit;Bovengrens 95%-interval;2020;351.0;
234;011620 Diepvries fruit;Waarde;2015;;
235;011620 Diepvries fruit;Waarde;2020;3.0;0.0
236;011620 Diepvries fruit;Ondergrens 95%-interval;2015;;
237;011620 Diepvries fruit;Ondergrens 95%-interval;2020;2.0;
238;011620 Diepvries fruit;Bovengrens 95%-interval;2015;;
239;011620 Diepvries fruit;Bovengrens 95%-interval;2020;4.0;
240;011630 Gedroogd fruit en noten;Waarde;2015;76.0;0.2
241;011630 Gedroogd fruit en noten;Waarde;2020;95.0;0.3
242;011630 Gedroogd fruit en noten;Ondergrens 95%-interval;2015;73.0;
243;011630 Gedroogd fruit en noten;Ondergrens 95%-interval;2020;91.0;
244;011630 Gedroogd fruit en noten;Bovengrens 95%-interval;2015;80.0;
245;011630 Gedroogd fruit en noten;Bovengrens 95%-interval;2020;99.0;
246;011640 Conserven van fruit.;Waarde;2015;12.0;0.0
247;011640 Conserven van fruit.;Waarde;2020;5.0;0.0
248;011640 Conserven van fruit.;Ondergrens 95%-interval;2015;12.0;
249;011640 Conserven van fruit.;Ondergrens 95%-interval;2020;4.0;
250;011640 Conserven van fruit.;Bovengrens 95%-interval;2015;13.0;
251;011640 Conserven van fruit.;Bovengrens 95%-interval;2020;6.0;
252;011700 Groenten;Waarde;2015;472.0;1.4
253;011700 Groenten;Waarde;2020;643.0;1.8
254;011700 Groenten;Ondergrens 95%-interval;2015;465.0;
255;011700 Groenten;Ondergrens 95%-interval;2020;632.0;
256;011700 Groenten;Bovengrens 95%-interval;2015;480.0;
257;011700 Groenten;Bovengrens 95%-interval;2020;654.0;
258;011710 Verse of gekoelde groenten.;Waarde;2015;277.0;0.8
259;011710 Verse of gekoelde groenten.;Waarde;2020;355.0;1.0
260;011710 Verse of gekoelde groenten.;Ondergrens 95%-interval;2015;272.0;
261;011710 Verse of gekoelde groenten.;Ondergrens 95%-interval;2020;348.0;
262;011710 Verse of gekoelde groenten.;Bovengrens 95%-interval;2015;282.0;
263;011710 Verse of gekoelde groenten.;Bovengrens 95%-interval;2020;362.0;
264;011720 Diepvries groenten.;Waarde;2015;10.0;0.0
265;011720 Diepvries groenten.;Waarde;2020;12.0;0.0
266;011720 Diepvries groenten.;Ondergrens 95%-interval;2015;9.0;
267;011720 Diepvries groenten.;Ondergrens 95%-interval;2020;11.0;
268;011720 Diepvries groenten.;Bovengrens 95%-interval;2015;10.0;
269;011720 Diepvries groenten.;Bovengrens 95%-interval;2020;13.0;
270;011730 Gedroogde groenten.;Waarde;2015;45.0;0.1
271;011730 Gedroogde groenten.;Waarde;2020;98.0;0.3
272;011730 Gedroogde groenten.;Ondergrens 95%-interval;2015;43.0;
273;011730 Gedroogde groenten.;Ondergrens 95%-interval;2020;94.0;
274;011730 Gedroogde groenten.;Bovengrens 95%-interval;2015;47.0;
275;011730 Gedroogde groenten.;Bovengrens 95%-interval;2020;102.0;
276;011740 Aardappelen;Waarde;2015;74.0;0.2
277;011740 Aardappelen;Waarde;2020;83.0;0.2
278;011740 Aardappelen;Ondergrens 95%-interval;2015;72.0;
279;011740 Aardappelen;Ondergrens 95%-interval;2020;80.0;
280;011740 Aardappelen;Bovengrens 95%-interval;2015;76.0;
281;011740 Aardappelen;Bovengrens 95%-interval;2020;86.0;
282;011750 Chips;Waarde;2015;67.0;0.2
283;011750 Chips;Waarde;2020;88.0;0.3
284;011750 Chips;Ondergrens 95%-interval;2015;65.0;
285;011750 Chips;Ondergrens 95%-interval;2020;85.0;
286;011750 Chips;Bovengrens 95%-interval;2015;69.0;
287;011750 Chips;Bovengrens 95%-interval;2020;91.0;
288;011760 Overige knolgewassen.;Waarde;2015;;
289;011760 Overige knolgewassen.;Waarde;2020;7.0;0.0
290;011760 Overige knolgewassen.;Ondergrens 95%-interval;2015;;
291;011760 Overige knolgewassen.;Ondergrens 95%-interval;2020;6.0;
292;011760 Overige knolgewassen.;Bovengrens 95%-interval;2015;;
293;011760 Overige knolgewassen.;Bovengrens 95%-interval;2020;8.0;
294;011800 Suiker, zoetwaren en ijs;Waarde;2015;200.0;0.6
295;011800 Suiker, zoetwaren en ijs;Waarde;2020;272.0;0.8
296;011800 Suiker, zoetwaren en ijs;Ondergrens 95%-interval;2015;195.0;
297;011800 Suiker, zoetwaren en ijs;Ondergrens 95%-interval;2020;265.0;
298;011800 Suiker, zoetwaren en ijs;Bovengrens 95%-interval;2015;205.0;
299;011800 Suiker, zoetwaren en ijs;Bovengrens 95%-interval;2020;279.0;
300;011810 Suiker;Waarde;2015;6.0;0.0
301;011810 Suiker;Waarde;2020;6.0;0.0
302;011810 Suiker;Ondergrens 95%-interval;2015;6.0;
303;011810 Suiker;Ondergrens 95%-interval;2020;5.0;
304;011810 Suiker;Bovengrens 95%-interval;2015;6.0;
305;011810 Suiker;Bovengrens 95%-interval;2020;7.0;
306;011820 Jam, marmelade en honing;Waarde;2015;20.0;0.1
307;011820 Jam, marmelade en honing;Waarde;2020;22.0;0.1
308;011820 Jam, marmelade en honing;Ondergrens 95%-interval;2015;19.0;
309;011820 Jam, marmelade en honing;Ondergrens 95%-interval;2020;20.0;
310;011820 Jam, marmelade en honing;Bovengrens 95%-interval;2015;21.0;
311;011820 Jam, marmelade en honing;Bovengrens 95%-interval;2020;24.0;
312;011830 Chocolade;Waarde;2015;82.0;0.2
313;011830 Chocolade;Waarde;2020;106.0;0.3
314;011830 Chocolade;Ondergrens 95%-interval;2015;79.0;
315;011830 Chocolade;Ondergrens 95%-interval;2020;102.0;
316;011830 Chocolade;Bovengrens 95%-interval;2015;85.0;
317;011830 Chocolade;Bovengrens 95%-interval;2020;110.0;
318;011840 Snoepgoed;Waarde;2015;59.0;0.2
319;011840 Snoepgoed;Waarde;2020;89.0;0.3
320;011840 Snoepgoed;Ondergrens 95%-interval;2015;56.0;
321;011840 Snoepgoed;Ondergrens 95%-interval;2020;86.0;
322;011840 Snoepgoed;Bovengrens 95%-interval;2015;61.0;
323;011840 Snoepgoed;Bovengrens 95%-interval;2020;92.0;
324;011850 Consumptie-ijs en roomijs;Waarde;2015;30.0;0.1
325;011850 Consumptie-ijs en roomijs;Waarde;2020;44.0;0.1
326;011850 Consumptie-ijs en roomijs;Ondergrens 95%-interval;2015;29.0;
327;011850 Consumptie-ijs en roomijs;Ondergrens 95%-interval;2020;41.0;
328;011850 Consumptie-ijs en roomijs;Bovengrens 95%-interval;2015;32.0;
329;011850 Consumptie-ijs en roomijs;Bovengrens 95%-interval;2020;47.0;
330;011860 Kunstmatige zoetstoffen;Waarde;2015;4.0;0.0
331;011860 Kunstmatige zoetstoffen;Waarde;2020;6.0;0.0
332;011860 Kunstmatige zoetstoffen;Ondergrens 95%-interval;2015;3.0;
333;011860 Kunstmatige zoetstoffen;Ondergrens 95%-interval;2020;5.0;
334;011860 Kunstmatige zoetstoffen;Bovengrens 95%-interval;2015;5.0;
335;011860 Kunstmatige zoetstoffen;Bovengrens 95%-interval;2020;7.0;
336;011900 Voedingsmiddelen n.e.g.;Waarde;2015;339.0;1.0
337;011900 Voedingsmiddelen n.e.g.;Waarde;2020;340.0;1.0
338;011900 Voedingsmiddelen n.e.g.;Ondergrens 95%-interval;2015;331.0;
339;011900 Voedingsmiddelen n.e.g.;Ondergrens 95%-interval;2020;331.0;
340;011900 Voedingsmiddelen n.e.g.;Bovengrens 95%-interval;2015;346.0;
341;011900 Voedingsmiddelen n.e.g.;Bovengrens 95%-interval;2020;349.0;
342;011910 Sauzen en dressings;Waarde;2015;29.0;0.1
343;011910 Sauzen en dressings;Waarde;2020;46.0;0.1
344;011910 Sauzen en dressings;Ondergrens 95%-interval;2015;28.0;
345;011910 Sauzen en dressings;Ondergrens 95%-interval;2020;44.0;
346;011910 Sauzen en dressings;Bovengrens 95%-interval;2015;30.0;
347;011910 Sauzen en dressings;Bovengrens 95%-interval;2020;48.0;
348;011920 Zout, specerijen en keukenkruiden;Waarde;2015;39.0;0.1
349;011920 Zout, specerijen en keukenkruiden;Waarde;2020;55.0;0.2
350;011920 Zout, specerijen en keukenkruiden;Ondergrens 95%-interval;2015;37.0;
351;011920 Zout, specerijen en keukenkruiden;Ondergrens 95%-interval;2020;52.0;
352;011920 Zout, specerijen en keukenkruiden;Bovengrens 95%-interval;2015;41.0;
353;011920 Zout, specerijen en keukenkruiden;Bovengrens 95%-interval;2020;58.0;
354;011930 Babyvoeding;Waarde;2015;14.0;0.0
355;011930 Babyvoeding;Waarde;2020;12.0;0.0
356;011930 Babyvoeding;Ondergrens 95%-interval;2015;12.0;
357;011930 Babyvoeding;Ondergrens 95%-interval;2020;10.0;
358;011930 Babyvoeding;Bovengrens 95%-interval;2015;16.0;
359;011930 Babyvoeding;Bovengrens 95%-interval;2020;14.0;
360;011940 Kant-en klaarmaaltijden;Waarde;2015;151.0;0.4
361;011940 Kant-en klaarmaaltijden;Waarde;2020;150.0;0.4
362;011940 Kant-en klaarmaaltijden;Ondergrens 95%-interval;2015;146.0;
363;011940 Kant-en klaarmaaltijden;Ondergrens 95%-interval;2020;144.0;
364;011940 Kant-en klaarmaaltijden;Bovengrens 95%-interval;2015;156.0;
365;011940 Kant-en klaarmaaltijden;Bovengrens 95%-interval;2020;156.0;
366;011990 Overige voedingsmiddelen n.e.g.;Waarde;2015;105.0;0.3
367;011990 Overige voedingsmiddelen n.e.g.;Waarde;2020;77.0;0.2
368;011990 Overige voedingsmiddelen n.e.g.;Ondergrens 95%-interval;2015;102.0;
369;011990 Overige voedingsmiddelen n.e.g.;Ondergrens 95%-interval;2020;73.0;
370;011990 Overige voedingsmiddelen n.e.g.;Bovengrens 95%-interval;2015;109.0;
371;011990 Overige voedingsmiddelen n.e.g.;Bovengrens 95%-interval;2020;81.0;
372;012000 Alcoholvrije dranken;Waarde;2015;393.0;1.2
373;012000 Alcoholvrije dranken;Waarde;2020;420.0;1.2
374;012000 Alcoholvrije dranken;Ondergrens 95%-interval;2015;384.0;
375;012000 Alcoholvrije dranken;Ondergrens 95%-interval;2020;410.0;
376;012000 Alcoholvrije dranken;Bovengrens 95%-interval;2015;402.0;
377;012000 Alcoholvrije dranken;Bovengrens 95%-interval;2020;430.0;
378;012100 Koffie, thee en cacao;Waarde;2015;138.0;0.4
379;012100 Koffie, thee en cacao;Waarde;2020;164.0;0.5
380;012100 Koffie, thee en cacao;Ondergrens 95%-interval;2015;133.0;
381;012100 Koffie, thee en cacao;Ondergrens 95%-interval;2020;157.0;
382;012100 Koffie, thee en cacao;Bovengrens 95%-interval;2015;144.0;
383;012100 Koffie, thee en cacao;Bovengrens 95%-interval;2020;171.0;
384;012110 Koffie;Waarde;2015;113.0;0.3
385;012110 Koffie;Waarde;2020;134.0;0.4
386;012110 Koffie;Ondergrens 95%-interval;2015;109.0;
387;012110 Koffie;Ondergrens 95%-interval;2020;128.0;
388;012110 Koffie;Bovengrens 95%-interval;2015;117.0;
389;012110 Koffie;Bovengrens 95%-interval;2020;140.0;
390;012120 Thee;Waarde;2015;25.0;0.1
391;012120 Thee;Waarde;2020;29.0;0.1
392;012120 Thee;Ondergrens 95%-interval;2015;23.0;
393;012120 Thee;Ondergrens 95%-interval;2020;27.0;
394;012120 Thee;Bovengrens 95%-interval;2015;26.0;
395;012120 Thee;Bovengrens 95%-interval;2020;31.0;
396;012130 Cacao en chocolade in poedervorm;Waarde;2015;1.0;0.0
397;012130 Cacao en chocolade in poedervorm;Waarde;2020;1.0;0.0
398;012130 Cacao en chocolade in poedervorm;Ondergrens 95%-interval;2015;1.0;
