ID;SectorBranchesSIC93;Periods;JobsPersonsEmployed_1;LabourVolumePersonsEmployed_2;EmployeesOnTheCompanyPayroll_3;LabourVolumeEmployeesOnThePayroll_4;TotalBusinessReturns_5;BusinessTurnoverNet_6;OtherBusinessReturns_7;TotalBusinessCosts_8;TotalPurchaseValueOfTurnover_9;CostsOfRawAndAuxiliaryMaterials_10;CostsOfCommodities_11;TotalOtherPurchaseValue_12;PaymentsToSubcontractors_13;PurchaseValueNotElsewhereClassified_14;TotalPersonnelCosts_15;GrossWagesAndSalaries_16;EmployerPaidSocialInsurancePremiums_17;PensionAndEarlyRetirementPremiums_18;OtherSocialInsuranceCosts_19;OtherPersonnelCosts_20;TotalOtherBusinessCosts_21;EnergyCosts_22;HousingCosts_23;EquipmentAndInventoryCosts_24;TransportCosts_25;SalesCosts_26;CommunicationCosts_27;ServicesProvidedByThirdParties_28;BusinessCostsNotElsewhereClassified_29;DepreciationFixedAssets_30;ProfitLoss_31;NetFinancialIncome_32;NetProvisions_33;NetExtraordinaryIncome_34;ProfitLossBeforeTax_35
11;4521 General building of complete con..;2008;153.4;143.4;132.7;125.4;42031;41676;355;40009;29155;13081;18;16056;15977;79;7793;5246;846;531;246;924;2674;60;368;273;477;152;79;295;969;387;2022;-17;-69;32;1969
12;45211 General construction of buildings;2006;128.4;119.9;112.2;105.9;31547;31179;368;30029;21698;9641;48;12009;11891;118;6122;4182;714;396;243;587;1878;47;294;175;338;139;65;216;604;331;1517;13;75;55;1597
13;45211 General construction of buildings;2007;132.0;122.4;116.8;109.8;35026;34237;789;33174;24693;11016;64;13613;13411;202;6279;4338;708;431;222;581;1912;48;291;156;342;133;68;238;635;290;1853;21;-70;70;1875
14;45211 General construction of buildings;2008;130.4;121.5;113.3;106.9;37505;37252;253;35666;26565;12018;18;14529;14470;60;6626;4491;738;465;223;709;2142;51;326;164;377;138;69;250;768;333;1839;12;-67;26;1810
15;4521c Engineering works, cables/pipes;2006;21.6;20.0;18.3;17.4;3753;3563;190;3583;2018;836;4;1177;1172;5;1041;685;98;64;24;170;476;7;35;107;96;12;12;40;167;48;170;4;-17;8;165
16;4521c Engineering works, cables/pipes;2007;21.5;20.0;18.3;17.5;3909;3712;197;3710;2076;869;11;1196;1195;2;1094;694;100;63;21;216;492;7;36;74;103;21;12;38;200;48;199;-8;2;5;198
17;4521c Engineering works, cables/pipes;2008;23.0;21.9;19.4;18.6;4526;4424;102;4343;2590;1063;0;1527;1507;20;1167;755;108;66;23;216;532;9;43;109;100;14;11;45;202;54;183;-29;-1;6;159
18;4522 Erection of roof covering and ..;2006;12.0;10.6;9.0;8.1;1222;1198;24;1104;579;425;2;152;150;2;360;252;45;20;9;33;143;3;19;6;37;13;6;14;46;22;118;-1;1;1;118
19;4522 Erection of roof covering and ..;2007;11.6;10.6;7.5;7.1;1308;1300;7;1145;617;467;6;144;140;5;355;226;38;18;6;68;149;3;14;13;35;12;6;15;52;25;162;3;-1;4;168
20;4522 Erection of roof covering and ..;2008;11.9;10.8;7.8;7.2;1404;1393;11;1237;693;508;1;184;182;1;372;240;39;19;6;68;153;2;18;11;41;13;7;15;46;19;167;-2;-3;7;169
21;4523 Construction of highways;2006;43.8;40.1;36.4;34.0;8454;8192;262;8036;5152;2446;52;2653;2625;29;1912;1335;211;106;52;208;811;30;76;181;188;30;20;64;221;161;419;7;-37;13;402
22;4523 Construction of highways;2007;41.4;38.0;34.1;32.5;8668;8373;295;8168;5210;2759;44;2407;2376;31;1836;1285;206;112;37;196;967;26;69;211;195;28;24;69;345;154;500;-4;-17;6;485
23;4523 Construction of highways;2008;41.5;38.3;33.6;31.7;9096;8865;231;8625;5552;2876;58;2618;2582;36;1849;1284;198;122;43;202;1035;28;75;171;198;31;22;69;441;187;472;-7;-6;-2;458
24;4524 Construction of water projects;2006;6.8;6.5;5.9;5.7;1225;782;443;1053;345;154;5;185;163;22;400;296;35;33;9;28;155;38;12;46;14;5;3;19;18;154;171;75;-15;5;236
25;4524 Construction of water projects;2007;6.8;6.5;5.9;5.7;1296;719;577;1122;360;186;1;172;164;8;432;328;36;27;5;37;176;37;15;50;18;5;3;20;27;154;174;142;22;7;345
26;4524 Construction of water projects;2008;6.9;6.6;6.1;5.9;1469;899;570;1317;469;277;0;191;180;12;488;362;44;23;6;52;183;40;11;62;15;6;4;25;21;178;152;157;0;147;456
27;4525 Other construction work, building..;2006;33.2;29.8;23.9;22.4;3905;3811;95;3444;1677;898;12;767;757;10;1195;796;142;70;37;150;461;12;54;61;117;26;18;36;139;110;462;-13;0;1;449
28;4525 Other construction work, building..;2007;32.5;29.6;22.3;21.1;4375;4339;37;3770;1986;1048;12;926;898;28;1183;785;137;68;33;161;500;11;55;76;112;25;18;40;163;101;605;-13;-9;-2;581
29;4525 Other construction work, building..;2008;33.9;31.4;22.5;21.2;4863;4776;87;4184;2222;1165;6;1051;1047;4;1305;812;137;78;35;242;535;12;60;81;132;26;19;43;162;122;680;-24;3;0;659
30;453 Building installation;2006;136.6;125.4;114.1;107.1;16199;15643;556;15236;8211;5877;315;2019;1999;20;5138;3527;519;253;65;775;1619;46;227;72;397;142;88;156;491;269;962;-4;-4;0;956
31;453 Building installation;2007;147.6;133.4;121.1;112.8;18504;18257;248;17156;9478;6844;257;2377;2348;29;5635;3800;545;279;97;915;1772;45;263;80;432;149;96;190;516;270;1348;-22;-7;16;1335
32;453 Building installation;2008;152.5;138.1;124.2;114.2;20337;20042;296;18955;10542;7344;375;2823;2782;41;6174;4126;602;287;109;1051;1953;52;284;88;508;164;96;204;558;285;1383;-30;-15;14;1352
33;4531 Installation of electrical wiring;2006;55.7;51.9;47.8;45.2;6016;5820;196;5703;2821;2149;47;625;609;16;2173;1452;217;100;20;384;615;17;95;25;155;42;32;55;195;93;313;-4;3;-2;312
34;4531 Installation of electrical wiring;2007;62.2;57.1;52.9;49.7;7255;7068;187;6799;3421;2646;25;751;727;24;2550;1667;238;124;42;477;728;20;114;26;177;51;39;74;228;100;455;-15;-1;1;440
35;4531 Installation of electrical wiring;2008;62.1;57.8;52.7;49.3;7977;7853;123;7472;3818;2928;44;846;832;14;2745;1795;266;124;39;521;792;22;125;31;196;56;38;76;249;117;504;-16;-7;2;483
36;4532 Insulation work activities;2006;5.3;4.7;3.9;3.7;547;527;21;494;238;122;14;101;101;0;184;119;19;10;2;35;58;2;10;2;16;6;3;7;12;14;54;-2;-1;-2;49
37;4532 Insulation work activities;2007;5.2;4.4;3.6;3.4;574;567;6;480;243;136;9;98;98;0;161;118;17;8;2;16;65;1;10;6;14;5;2;6;20;10;94;-2;1;1;92
38;4532 Insulation work activities;2008;5.3;4.7;3.8;3.3;535;514;20;481;210;147;2;61;61;0;198;118;18;8;2;52;63;2;10;3;16;4;2;8;17;10;54;-3;-1;0;50
39;4533 Plumbing and fitting;2006;64.0;57.8;52.8;49.0;7169;7123;47;6710;3636;2633;34;969;967;3;2181;1548;231;115;38;250;760;24;99;31;191;59;41;70;244;132;459;-20;-6;0;433
40;4533 Plumbing and fitting;2007;67.1;60.7;54.5;50.4;8014;7978;36;7383;4187;3043;22;1122;1116;5;2298;1597;235;122;48;297;770;20;114;34;199;60;43;79;223;127;631;-22;-7;11;613
41;4533 Plumbing and fitting;2008;72.9;64.2;57.6;51.9;8863;8857;6;8207;4573;3287;34;1252;1226;26;2594;1784;262;126;59;363;907;24;124;39;257;72;45;96;251;133;656;-19;-9;9;637
42;4534 Other building installation;2006;11.6;10.9;9.6;9.2;2466;2173;293;2330;1516;973;219;323;322;1;599;408;53;28;4;106;185;3;23;13;36;34;12;24;40;30;136;22;0;4;162
43;4534 Other building installation;2007;13.1;11.2;10.1;9.5;2662;2644;18;2494;1627;1020;201;407;407;0;626;418;54;25;5;124;208;4;25;14;42;34;12;31;46;33;168;17;0;4;190
44;4534 Other building installation;2008;12.2;11.4;10.1;9.6;2963;2817;146;2794;1942;982;296;663;663;0;637;429;55;29;9;116;190;4;25;14;39;32;10;24;42;25;169;9;1;3;182
45;454 Building completion;2006;67.9;60.4;51.4;47.0;8042;7942;100;7051;3412;2096;43;1273;1246;27;2559;1722;331;142;102;261;896;28;144;55;196;77;37;78;281;184;991;-34;-4;8;959
46;454 Building completion;2007;69.5;61.4;51.5;46.9;8959;8854;105;7690;3995;2444;41;1510;1476;34;2603;1740;321;147;102;293;931;26;158;60;208;83;38;83;275;161;1269;-23;59;-55;1250
47;454 Building completion;2008;70.7;62.7;50.6;45.8;9448;9352;96;8135;4217;2705;41;1472;1432;39;2762;1808;327;156;108;363;981;29;168;59;223;90;42;87;283;174;1314;-28;-4;15;1296
48;4541 Plastering;2006;11.1;10.1;7.1;6.5;833;829;4;660;284;146;2;137;136;0;259;180;34;19;12;15;95;2;7;6;29;6;6;10;28;22;174;-1;0;3;176
49;4541 Plastering;2007;11.0;10.0;6.5;5.9;968;963;6;766;385;149;1;235;233;2;249;176;30;19;9;15;114;2;10;6;33;9;6;12;35;17;203;0;-3;0;199
50;4541 Plastering;2008;12.6;10.9;6.9;6.0;1038;1034;4;825;406;197;1;208;208;0;276;191;30;25;9;22;123;2;12;5;38;10;7;12;38;20;212;-5;-1;14;220
51;4542 Joinery installation;2006;11.7;10.6;8.7;7.8;2330;2291;38;1998;1201;701;1;499;475;24;525;355;69;25;22;55;214;9;41;13;47;15;9;20;61;58;331;-12;2;0;316
52;4542 Joinery installation;2007;12.9;11.3;9.6;8.4;2691;2662;29;2278;1461;871;4;585;557;29;542;367;69;27;22;58;227;9;49;15;49;16;9;23;58;49;414;-15;4;0;403
53;4542 Joinery installation;2008;12.8;11.3;9.1;8.1;2838;2820;18;2401;1532;929;3;600;568;32;579;382;70;28;23;74;238;10;53;16;51;17;9;22;59;52;437;-11;-3;-1;422
54;4543 Floor and wall covering;2006;9.4;8.4;7.5;6.8;1368;1362;6;1209;711;501;15;195;195;0;335;230;45;17;11;32;136;4;26;10;30;16;6;10;33;27;159;-15;0;0;143
55;4543 Floor and wall covering;2007;9.7;8.6;7.7;7.1;1492;1477;15;1309;782;575;9;197;197;0;352;241;47;19;11;35;148;4;31;10;30;17;7;11;39;27;184;-1;0;0;183
56;4543 Floor and wall covering;2008;10.7;9.1;8.2;7.3;1643;1622;20;1454;873;683;5;184;182;3;393;254;49;21;13;55;159;4;33;8;34;18;7;12;41;29;189;0;1;2;192
57;4544 Painting and glazing;2006;33.3;29.3;26.2;24.2;3202;3153;49;2908;1053;634;25;394;391;3;1365;907;173;78;55;152;420;12;64;25;83;37;15;35;150;70;294;-1;-6;5;295
58;4544 Painting and glazing;2007;33.1;29.4;25.8;23.9;3436;3385;50;3022;1186;720;27;440;436;3;1369;902;164;78;56;169;404;10;60;27;88;37;15;36;131;62;414;-8;58;-54;410
59;4544 Painting and glazing;2008;32.2;29.3;24.6;22.8;3524;3473;51;3095;1176;723;31;422;418;4;1428;923;166;78;59;201;426;12;61;28;90;40;16;38;140;66;428;-11;-2;0;415
60;4545 Other building completion;2006;2.3;2.0;1.8;1.6;309;306;3;276;163;114;0;49;49;0;74;49;10;4;4;7;32;1;6;2;7;4;1;2;8;7;33;-4;0;0;29
61;4545 Other building completion;2007;2.7;2.1;1.8;1.6;371;367;4;317;181;128;0;53;53;0;90;55;11;4;3;17;39;1;8;3;8;4;2;2;11;6;55;0;-1;0;54
62;4545 Other building completion;2008;2.5;2.1;1.8;1.6;407;403;3;359;231;173;1;57;57;0;85;57;11;4;3;11;36;1;8;2;9;5;2;3;6;7;48;-1;0;0;47
63;455 Renting, construction eq. with ..;2006;8.5;7.7;6.8;6.4;1236;1211;25;1098;376;85;13;277;261;16;323;227;35;20;9;32;295;21;23;77;99;8;5;18;44;105;138;-15;-1;13;135
64;455 Renting, construction eq. with ..;2007;9.2;8.5;7.5;7.1;1390;1312;79;1233;407;128;5;274;270;3;367;254;38;24;6;45;347;24;26;146;79;9;6;26;30;112;158;-15;-1;9;151
65;455 Renting, construction eq. with ..;2008;8.3;7.6;6.7;6.2;1253;1183;70;1109;377;116;9;253;251;1;315;221;33;23;6;33;294;18;26;105;83;8;5;18;32;123;145;-17;0;15;142
66;4511a Construction of buildings, ..;2006;158.7;147.0;133.1;125.2;34446;34022;424;32563;22882;10209;56;12616;12491;126;7038;4802;826;448;263;699;2242;57;330;215;429;163;80;251;718;401;1883;9;75;58;1961
67;4511a Construction of buildings, ..;2007;161.1;148.9;135.3;127.2;38170;37338;832;35841;26022;11711;72;14238;14021;217;7142;4902;802;478;238;723;2314;58;322;216;432;162;83;278;763;363;2329;22;-72;75;2354
68;4511a Construction of buildings, ..;2008;161.5;150.0;131.9;124.2;40903;40594;309;38595;28001;12801;21;15179;15107;72;7611;5097;836;519;244;913;2575;61;364;227;487;164;85;291;896;409;2308;-11;-68;48;2277
69;4511b Civil engineering;2006;83.5;76.4;69.0;64.8;14777;13858;919;13867;8055;3646;68;4340;4268;72;3667;2539;383;220;91;433;1702;92;142;402;366;54;41;140;466;443;911;75;-70;28;943
70;4511b Civil engineering;2007;81.4;74.8;66.8;63.8;15352;14256;1096;14310;8249;4037;62;4150;4100;50;3704;2554;383;223;69;475;1919;88;141;409;384;60;47;142;647;438;1042;119;7;22;1190
71;4511b Civil engineering;2008;85.5;79.5;69.2;65.6;17089;16148;941;16100;9496;4602;65;4828;4753;75;3938;2704;398;241;82;512;2151;108;156;463;424;61;44;167;727;515;989;109;-7;159;1250
72;4525a Construction, no general ..;2006;233.2;211.5;188.0;175.2;28408;27638;770;26037;13353;8883;381;4089;4017;72;8856;6021;981;461;205;1187;3180;105;442;255;781;247;144;280;926;649;2371;-65;-7;21;2318
73;4525a Construction, no general ..;2007;247.3;222.5;195.9;181.6;32248;31784;464;29085;15523;10350;315;4858;4766;92;9479;6368;1005;498;231;1378;3455;106;496;356;803;260;153;329;953;627;3163;-74;43;-30;3102
74;4525a Construction, no general ..;2008;252.1;227.3;197.4;181.1;34812;34277;535;31523;16999;11224;432;5342;5258;84;10172;6743;1062;520;247;1600;3664;109;531;324;920;283;156;341;1001;688;3289;-88;-15;33;3218
