ID;OutputAndImportPrices;ProductsAccordingToPRODCOMList;Periods;ProducerPriceIndexPPI_1;YearOnYearChangePPI_2;MonthOnMonthChangePPI_3
127;Total output prices;B Mining and quarrying;2014 November;114.4;-11.6;1.5
128;Total output prices;B Mining and quarrying;2014 December;115.0;-11.8;0.5
129;Total output prices;B Mining and quarrying;2014;112.8;-12.7;
130;Total output prices;B Mining and quarrying;2015 January;107.5;-17.4;-6.5
131;Total output prices;B Mining and quarrying;2015 February;104.0;-17.3;-3.3
132;Total output prices;B Mining and quarrying;2015 March;109.0;-9.6;4.8
133;Total output prices;B Mining and quarrying;2015 April;106.2;-6.2;-2.6
134;Total output prices;B Mining and quarrying;2015 May;103.0;-4.4;-3.0
135;Total output prices;B Mining and quarrying;2015 June;101.2;-4.4;-1.7
136;Total output prices;B Mining and quarrying;2015 July;101.0;0.0;-0.2
137;Total output prices;B Mining and quarrying;2015 August;100.4;-0.9;-0.6
138;Total output prices;B Mining and quarrying;2015 September;101.3;-4.1;0.9
139;Total output prices;B Mining and quarrying;2015 October;94.3;-16.3;-6.9
140;Total output prices;B Mining and quarrying;2015 November;90.5;-20.9;-4.0
141;Total output prices;B Mining and quarrying;2015 December;87.9;-23.5;-2.8
142;Total output prices;B Mining and quarrying;2015;100.5;-10.9;
143;Total output prices;B Mining and quarrying;2016 January;82.4;-23.4;-6.3
144;Total output prices;B Mining and quarrying;2016 February;76.7;-26.3;-6.9
145;Total output prices;B Mining and quarrying;2016 March;74.2;-31.9;-3.2
146;Total output prices;B Mining and quarrying;2016 April;64.8;-38.9;-12.6
147;Total output prices;B Mining and quarrying;2016 May;69.1;-32.8;6.6
148;Total output prices;B Mining and quarrying;2016 June;75.2;-25.7;8.8
149;Total output prices;B Mining and quarrying;2016 July;78.2;-22.6;4.0
150;Total output prices;B Mining and quarrying;2016 August;76.9;-23.4;-1.7
151;Total output prices;B Mining and quarrying;2016 September;71.0;-29.9;-7.7
152;Total output prices;B Mining and quarrying;2016 October;70.2;-25.5;-1.0
153;Total output prices;B Mining and quarrying;2016 November;79.8;-11.8;13.6
154;Total output prices;B Mining and quarrying;2016 December;84.6;-3.8;6.1
155;Total output prices;B Mining and quarrying;2016;75.3;-25.1;
156;Total output prices;B Mining and quarrying;2017 January;82.8;0.5;-2.2
157;Total output prices;B Mining and quarrying;2017 February;88.6;15.6;7.1
158;Total output prices;B Mining and quarrying;2017 March;93.8;26.4;5.9
159;Total output prices;B Mining and quarrying;2017 April;79.2;22.1;-15.6
160;Total output prices;B Mining and quarrying;2017 May;79.4;14.8;0.3
161;Total output prices;B Mining and quarrying;2017 June;81.3;8.1;2.4
162;Total output prices;B Mining and quarrying;2017 July;78.8;0.7;-3.2
163;Total output prices;B Mining and quarrying;2017 August;75.3;-2.2;-4.5
164;Total output prices;B Mining and quarrying;2017 September;78.6;10.8;4.5
165;Total output prices;B Mining and quarrying;2017 October;83.3;18.6;6.0
166;Total output prices;B Mining and quarrying;2017 November;85.2;6.8;2.2
167;Total output prices;B Mining and quarrying;2017 December;89.2;5.4;4.7
168;Total output prices;B Mining and quarrying;2017;83.0;10.2;
169;Total output prices;05 Coal and lignite;2005 January;;;
170;Total output prices;05 Coal and lignite;2005 February;;;
171;Total output prices;05 Coal and lignite;2005 March;;;
172;Total output prices;05 Coal and lignite;2005 April;;;
173;Total output prices;05 Coal and lignite;2005 May;;;
174;Total output prices;05 Coal and lignite;2005 June;;;
175;Total output prices;05 Coal and lignite;2005 July;;;
176;Total output prices;05 Coal and lignite;2005 August;;;
177;Total output prices;05 Coal and lignite;2005 September;;;
178;Total output prices;05 Coal and lignite;2005 October;;;
179;Total output prices;05 Coal and lignite;2005 November;;;
180;Total output prices;05 Coal and lignite;2005 December;;;
181;Total output prices;05 Coal and lignite;2005;;;
182;Total output prices;05 Coal and lignite;2006 January;;;
183;Total output prices;05 Coal and lignite;2006 February;;;
184;Total output prices;05 Coal and lignite;2006 March;;;
185;Total output prices;05 Coal and lignite;2006 April;;;
186;Total output prices;05 Coal and lignite;2006 May;;;
187;Total output prices;05 Coal and lignite;2006 June;;;
188;Total output prices;05 Coal and lignite;2006 July;;;
189;Total output prices;05 Coal and lignite;2006 August;;;
190;Total output prices;05 Coal and lignite;2006 September;;;
191;Total output prices;05 Coal and lignite;2006 October;;;
192;Total output prices;05 Coal and lignite;2006 November;;;
193;Total output prices;05 Coal and lignite;2006 December;;;
194;Total output prices;05 Coal and lignite;2006;;;
195;Total output prices;05 Coal and lignite;2007 January;;;
196;Total output prices;05 Coal and lignite;2007 February;;;
197;Total output prices;05 Coal and lignite;2007 March;;;
198;Total output prices;05 Coal and lignite;2007 April;;;
199;Total output prices;05 Coal and lignite;2007 May;;;
200;Total output prices;05 Coal and lignite;2007 June;;;
201;Total output prices;05 Coal and lignite;2007 July;;;
202;Total output prices;05 Coal and lignite;2007 August;;;
203;Total output prices;05 Coal and lignite;2007 September;;;
204;Total output prices;05 Coal and lignite;2007 October;;;
205;Total output prices;05 Coal and lignite;2007 November;;;
206;Total output prices;05 Coal and lignite;2007 December;;;
207;Total output prices;05 Coal and lignite;2007;;;
208;Total output prices;05 Coal and lignite;2008 January;;;
209;Total output prices;05 Coal and lignite;2008 February;;;
210;Total output prices;05 Coal and lignite;2008 March;;;
211;Total output prices;05 Coal and lignite;2008 April;;;
212;Total output prices;05 Coal and lignite;2008 May;;;
213;Total output prices;05 Coal and lignite;2008 June;;;
214;Total output prices;05 Coal and lignite;2008 July;;;
215;Total output prices;05 Coal and lignite;2008 August;;;
216;Total output prices;05 Coal and lignite;2008 September;;;
217;Total output prices;05 Coal and lignite;2008 October;;;
218;Total output prices;05 Coal and lignite;2008 November;;;
219;Total output prices;05 Coal and lignite;2008 December;;;
220;Total output prices;05 Coal and lignite;2008;;;
221;Total output prices;05 Coal and lignite;2009 January;;;
222;Total output prices;05 Coal and lignite;2009 February;;;
223;Total output prices;05 Coal and lignite;2009 March;;;
224;Total output prices;05 Coal and lignite;2009 April;;;
225;Total output prices;05 Coal and lignite;2009 May;;;
226;Total output prices;05 Coal and lignite;2009 June;;;
227;Total output prices;05 Coal and lignite;2009 July;;;
228;Total output prices;05 Coal and lignite;2009 August;;;
229;Total output prices;05 Coal and lignite;2009 September;;;
230;Total output prices;05 Coal and lignite;2009 October;;;
231;Total output prices;05 Coal and lignite;2009 November;;;
232;Total output prices;05 Coal and lignite;2009 December;;;
233;Total output prices;05 Coal and lignite;2009;;;
234;Total output prices;05 Coal and lignite;2010 January;;;
235;Total output prices;05 Coal and lignite;2010 February;;;
236;Total output prices;05 Coal and lignite;2010 March;;;
237;Total output prices;05 Coal and lignite;2010 April;;;
238;Total output prices;05 Coal and lignite;2010 May;;;
239;Total output prices;05 Coal and lignite;2010 June;;;
240;Total output prices;05 Coal and lignite;2010 July;;;
241;Total output prices;05 Coal and lignite;2010 August;;;
242;Total output prices;05 Coal and lignite;2010 September;;;
243;Total output prices;05 Coal and lignite;2010 October;;;
244;Total output prices;05 Coal and lignite;2010 November;;;
245;Total output prices;05 Coal and lignite;2010 December;;;
246;Total output prices;05 Coal and lignite;2010;;;
247;Total output prices;05 Coal and lignite;2011 January;;;
248;Total output prices;05 Coal and lignite;2011 February;;;
249;Total output prices;05 Coal and lignite;2011 March;;;
250;Total output prices;05 Coal and lignite;2011 April;;;
251;Total output prices;05 Coal and lignite;2011 May;;;
252;Total output prices;05 Coal and lignite;2011 June;;;
253;Total output prices;05 Coal and lignite;2011 July;;;
254;Total output prices;05 Coal and lignite;2011 August;;;
255;Total output prices;05 Coal and lignite;2011 September;;;
256;Total output prices;05 Coal and lignite;2011 October;;;
257;Total output prices;05 Coal and lignite;2011 November;;;
258;Total output prices;05 Coal and lignite;2011 December;;;
259;Total output prices;05 Coal and lignite;2011;;;
260;Total output prices;05 Coal and lignite;2012 January;;;
261;Total output prices;05 Coal and lignite;2012 February;;;
262;Total output prices;05 Coal and lignite;2012 March;;;
263;Total output prices;05 Coal and lignite;2012 April;;;
264;Total output prices;05 Coal and lignite;2012 May;;;
265;Total output prices;05 Coal and lignite;2012 June;;;
266;Total output prices;05 Coal and lignite;2012 July;;;
267;Total output prices;05 Coal and lignite;2012 August;;;
268;Total output prices;05 Coal and lignite;2012 September;;;
269;Total output prices;05 Coal and lignite;2012 October;;;
270;Total output prices;05 Coal and lignite;2012 November;;;
271;Total output prices;05 Coal and lignite;2012 December;;;
272;Total output prices;05 Coal and lignite;2012;;;
273;Total output prices;05 Coal and lignite;2013 January;;;
274;Total output prices;05 Coal and lignite;2013 February;;;
275;Total output prices;05 Coal and lignite;2013 March;;;
276;Total output prices;05 Coal and lignite;2013 April;;;
277;Total output prices;05 Coal and lignite;2013 May;;;
278;Total output prices;05 Coal and lignite;2013 June;;;
279;Total output prices;05 Coal and lignite;2013 July;;;
280;Total output prices;05 Coal and lignite;2013 August;;;
281;Total output prices;05 Coal and lignite;2013 September;;;
282;Total output prices;05 Coal and lignite;2013 October;;;
283;Total output prices;05 Coal and lignite;2013 November;;;
284;Total output prices;05 Coal and lignite;2013 December;;;
285;Total output prices;05 Coal and lignite;2013;;;
286;Total output prices;05 Coal and lignite;2014 January;;;
287;Total output prices;05 Coal and lignite;2014 February;;;
288;Total output prices;05 Coal and lignite;2014 March;;;
289;Total output prices;05 Coal and lignite;2014 April;;;
290;Total output prices;05 Coal and lignite;2014 May;;;
291;Total output prices;05 Coal and lignite;2014 June;;;
292;Total output prices;05 Coal and lignite;2014 July;;;
293;Total output prices;05 Coal and lignite;2014 August;;;
294;Total output prices;05 Coal and lignite;2014 September;;;
295;Total output prices;05 Coal and lignite;2014 October;;;
296;Total output prices;05 Coal and lignite;2014 November;;;
297;Total output prices;05 Coal and lignite;2014 December;;;
298;Total output prices;05 Coal and lignite;2014;;;
299;Total output prices;05 Coal and lignite;2015 January;;;
300;Total output prices;05 Coal and lignite;2015 February;;;
301;Total output prices;05 Coal and lignite;2015 March;;;
302;Total output prices;05 Coal and lignite;2015 April;;;
303;Total output prices;05 Coal and lignite;2015 May;;;
304;Total output prices;05 Coal and lignite;2015 June;;;
305;Total output prices;05 Coal and lignite;2015 July;;;
306;Total output prices;05 Coal and lignite;2015 August;;;
307;Total output prices;05 Coal and lignite;2015 September;;;
308;Total output prices;05 Coal and lignite;2015 October;;;
309;Total output prices;05 Coal and lignite;2015 November;;;
310;Total output prices;05 Coal and lignite;2015 December;;;
311;Total output prices;05 Coal and lignite;2015;;;
312;Total output prices;05 Coal and lignite;2016 January;;;
313;Total output prices;05 Coal and lignite;2016 February;;;
314;Total output prices;05 Coal and lignite;2016 March;;;
315;Total output prices;05 Coal and lignite;2016 April;;;
316;Total output prices;05 Coal and lignite;2016 May;;;
317;Total output prices;05 Coal and lignite;2016 June;;;
318;Total output prices;05 Coal and lignite;2016 July;;;
319;Total output prices;05 Coal and lignite;2016 August;;;
320;Total output prices;05 Coal and lignite;2016 September;;;
321;Total output prices;05 Coal and lignite;2016 October;;;
322;Total output prices;05 Coal and lignite;2016 November;;;
323;Total output prices;05 Coal and lignite;2016 December;;;
324;Total output prices;05 Coal and lignite;2016;;;
325;Total output prices;05 Coal and lignite;2017 January;;;
326;Total output prices;05 Coal and lignite;2017 February;;;
327;Total output prices;05 Coal and lignite;2017 March;;;
328;Total output prices;05 Coal and lignite;2017 April;;;
329;Total output prices;05 Coal and lignite;2017 May;;;
330;Total output prices;05 Coal and lignite;2017 June;;;
331;Total output prices;05 Coal and lignite;2017 July;;;
332;Total output prices;05 Coal and lignite;2017 August;;;
333;Total output prices;05 Coal and lignite;2017 September;;;
334;Total output prices;05 Coal and lignite;2017 October;;;
335;Total output prices;05 Coal and lignite;2017 November;;;
336;Total output prices;05 Coal and lignite;2017 December;;;
337;Total output prices;05 Coal and lignite;2017;;;
338;Total output prices;051 Hard coal;2005 January;;;
339;Total output prices;051 Hard coal;2005 February;;;
340;Total output prices;051 Hard coal;2005 March;;;
341;Total output prices;051 Hard coal;2005 April;;;
342;Total output prices;051 Hard coal;2005 May;;;
343;Total output prices;051 Hard coal;2005 June;;;
344;Total output prices;051 Hard coal;2005 July;;;
345;Total output prices;051 Hard coal;2005 August;;;
346;Total output prices;051 Hard coal;2005 September;;;
347;Total output prices;051 Hard coal;2005 October;;;
348;Total output prices;051 Hard coal;2005 November;;;
349;Total output prices;051 Hard coal;2005 December;;;
350;Total output prices;051 Hard coal;2005;;;
351;Total output prices;051 Hard coal;2006 January;;;
352;Total output prices;051 Hard coal;2006 February;;;
353;Total output prices;051 Hard coal;2006 March;;;
354;Total output prices;051 Hard coal;2006 April;;;
355;Total output prices;051 Hard coal;2006 May;;;
356;Total output prices;051 Hard coal;2006 June;;;
357;Total output prices;051 Hard coal;2006 July;;;
358;Total output prices;051 Hard coal;2006 August;;;
359;Total output prices;051 Hard coal;2006 September;;;
360;Total output prices;051 Hard coal;2006 October;;;
361;Total output prices;051 Hard coal;2006 November;;;
362;Total output prices;051 Hard coal;2006 December;;;
363;Total output prices;051 Hard coal;2006;;;
364;Total output prices;051 Hard coal;2007 January;;;
365;Total output prices;051 Hard coal;2007 February;;;
366;Total output prices;051 Hard coal;2007 March;;;
367;Total output prices;051 Hard coal;2007 April;;;
368;Total output prices;051 Hard coal;2007 May;;;
369;Total output prices;051 Hard coal;2007 June;;;
370;Total output prices;051 Hard coal;2007 July;;;
371;Total output prices;051 Hard coal;2007 August;;;
372;Total output prices;051 Hard coal;2007 September;;;
373;Total output prices;051 Hard coal;2007 October;;;
374;Total output prices;051 Hard coal;2007 November;;;
375;Total output prices;051 Hard coal;2007 December;;;
376;Total output prices;051 Hard coal;2007;;;
377;Total output prices;051 Hard coal;2008 January;;;
378;Total output prices;051 Hard coal;2008 February;;;
379;Total output prices;051 Hard coal;2008 March;;;
380;Total output prices;051 Hard coal;2008 April;;;
381;Total output prices;051 Hard coal;2008 May;;;
382;Total output prices;051 Hard coal;2008 June;;;
383;Total output prices;051 Hard coal;2008 July;;;
384;Total output prices;051 Hard coal;2008 August;;;
385;Total output prices;051 Hard coal;2008 September;;;
386;Total output prices;051 Hard coal;2008 October;;;
387;Total output prices;051 Hard coal;2008 November;;;
388;Total output prices;051 Hard coal;2008 December;;;
389;Total output prices;051 Hard coal;2008;;;
390;Total output prices;051 Hard coal;2009 January;;;
391;Total output prices;051 Hard coal;2009 February;;;
392;Total output prices;051 Hard coal;2009 March;;;
393;Total output prices;051 Hard coal;2009 April;;;
394;Total output prices;051 Hard coal;2009 May;;;
395;Total output prices;051 Hard coal;2009 June;;;
396;Total output prices;051 Hard coal;2009 July;;;
397;Total output prices;051 Hard coal;2009 August;;;
398;Total output prices;051 Hard coal;2009 September;;;
399;Total output prices;051 Hard coal;2009 October;;;
400;Total output prices;051 Hard coal;2009 November;;;
401;Total output prices;051 Hard coal;2009 December;;;
402;Total output prices;051 Hard coal;2009;;;
403;Total output prices;051 Hard coal;2010 January;;;
404;Total output prices;051 Hard coal;2010 February;;;
405;Total output prices;051 Hard coal;2010 March;;;
406;Total output prices;051 Hard coal;2010 April;;;
407;Total output prices;051 Hard coal;2010 May;;;
408;Total output prices;051 Hard coal;2010 June;;;
409;Total output prices;051 Hard coal;2010 July;;;
410;Total output prices;051 Hard coal;2010 August;;;
411;Total output prices;051 Hard coal;2010 September;;;
412;Total output prices;051 Hard coal;2010 October;;;
413;Total output prices;051 Hard coal;2010 November;;;
414;Total output prices;051 Hard coal;2010 December;;;
415;Total output prices;051 Hard coal;2010;;;
416;Total output prices;051 Hard coal;2011 January;;;
417;Total output prices;051 Hard coal;2011 February;;;
418;Total output prices;051 Hard coal;2011 March;;;
419;Total output prices;051 Hard coal;2011 April;;;
420;Total output prices;051 Hard coal;2011 May;;;
421;Total output prices;051 Hard coal;2011 June;;;
422;Total output prices;051 Hard coal;2011 July;;;
423;Total output prices;051 Hard coal;2011 August;;;
424;Total output prices;051 Hard coal;2011 September;;;
425;Total output prices;051 Hard coal;2011 October;;;
426;Total output prices;051 Hard coal;2011 November;;;
427;Total output prices;051 Hard coal;2011 December;;;
428;Total output prices;051 Hard coal;2011;;;
429;Total output prices;051 Hard coal;2012 January;;;
430;Total output prices;051 Hard coal;2012 February;;;
431;Total output prices;051 Hard coal;2012 March;;;
432;Total output prices;051 Hard coal;2012 April;;;
433;Total output prices;051 Hard coal;2012 May;;;
434;Total output prices;051 Hard coal;2012 June;;;
435;Total output prices;051 Hard coal;2012 July;;;
436;Total output prices;051 Hard coal;2012 August;;;
437;Total output prices;051 Hard coal;2012 September;;;
438;Total output prices;051 Hard coal;2012 October;;;
439;Total output prices;051 Hard coal;2012 November;;;
440;Total output prices;051 Hard coal;2012 December;;;
441;Total output prices;051 Hard coal;2012;;;
442;Total output prices;051 Hard coal;2013 January;;;
443;Total output prices;051 Hard coal;2013 February;;;
444;Total output prices;051 Hard coal;2013 March;;;
445;Total output prices;051 Hard coal;2013 April;;;
446;Total output prices;051 Hard coal;2013 May;;;
447;Total output prices;051 Hard coal;2013 June;;;
448;Total output prices;051 Hard coal;2013 July;;;
449;Total output prices;051 Hard coal;2013 August;;;
450;Total output prices;051 Hard coal;2013 September;;;
451;Total output prices;051 Hard coal;2013 October;;;
452;Total output prices;051 Hard coal;2013 November;;;
453;Total output prices;051 Hard coal;2013 December;;;
454;Total output prices;051 Hard coal;2013;;;
455;Total output prices;051 Hard coal;2014 January;;;
456;Total output prices;051 Hard coal;2014 February;;;
457;Total output prices;051 Hard coal;2014 March;;;
458;Total output prices;051 Hard coal;2014 April;;;
459;Total output prices;051 Hard coal;2014 May;;;
460;Total output prices;051 Hard coal;2014 June;;;
461;Total output prices;051 Hard coal;2014 July;;;
462;Total output prices;051 Hard coal;2014 August;;;
463;Total output prices;051 Hard coal;2014 September;;;
464;Total output prices;051 Hard coal;2014 October;;;
465;Total output prices;051 Hard coal;2014 November;;;
466;Total output prices;051 Hard coal;2014 December;;;
467;Total output prices;051 Hard coal;2014;;;
468;Total output prices;051 Hard coal;2015 January;;;
469;Total output prices;051 Hard coal;2015 February;;;
470;Total output prices;051 Hard coal;2015 March;;;
471;Total output prices;051 Hard coal;2015 April;;;
472;Total output prices;051 Hard coal;2015 May;;;
473;Total output prices;051 Hard coal;2015 June;;;
474;Total output prices;051 Hard coal;2015 July;;;
475;Total output prices;051 Hard coal;2015 August;;;
476;Total output prices;051 Hard coal;2015 September;;;
477;Total output prices;051 Hard coal;2015 October;;;
478;Total output prices;051 Hard coal;2015 November;;;
479;Total output prices;051 Hard coal;2015 December;;;
480;Total output prices;051 Hard coal;2015;;;
481;Total output prices;051 Hard coal;2016 January;;;
482;Total output prices;051 Hard coal;2016 February;;;
