ID;Perioden;ArbeidsongeschiktheidTotaalUitgekeerd_1;WAOUitgekeerdeBedragen_2;WAZUitgekeerdeBedragen_3;WajongUitgekeerdeBedragen_4;IVAUitgekeerdeBedragen_5;WGAUitgekeerdeBedragen_6
43;2001 mei;1505.3;1255.1;65.8;184.5;;
44;2001 juni;827.8;695.1;36.5;96.1;;
45;2001 juli;849.6;714.4;36.8;98.4;;
46;2001 augustus;849.3;713.0;37.3;99.0;;
47;2001 september;833.6;698.8;36.4;98.4;;
48;2001 oktober;849.3;713.2;37.2;98.9;;
49;2001 november;847.0;711.1;37.1;98.7;;
50;2001 december;851.3;713.8;36.8;100.7;;
51;2001;10742.3;9014.9;470.4;1257.1;;
52;2002 januari;869.4;731.6;38.5;99.3;;
53;2002 februari;876.5;733.9;40.0;102.5;;
54;2002 maart;883.7;740.3;39.8;103.5;;
55;2002 april;889.6;744.9;40.0;104.7;;
56;2002 mei;1660.1;1393.9;70.0;196.2;;
57;2002 juni;872.2;730.1;39.0;103.1;;
58;2002 juli;905.4;758.2;40.6;106.6;;
59;2002 augustus;897.5;751.7;40.5;105.3;;
60;2002 september;890.4;745.0;40.1;105.4;;
61;2002 oktober;906.5;757.0;41.3;108.2;;
62;2002 november;897.9;750.6;40.8;106.5;;
63;2002 december;904.6;755.7;40.3;108.6;;
64;2002;11453.7;9593.0;510.9;1349.9;;
65;2003 januari;891.3;746.7;39.0;105.6;;
66;2003 februari;897.1;747.1;40.0;110.1;;
67;2003 maart;897.6;748.1;39.9;109.6;;
68;2003 april;902.3;752.7;38.5;111.1;;
69;2003 mei;1603.0;1326.3;68.8;207.8;;
70;2003 juni;887.6;737.7;39.4;110.5;;
71;2003 juli;905.4;752.1;40.9;112.4;;
72;2003 augustus;891.2;738.8;40.7;111.7;;
73;2003 september;894.0;740.7;40.9;112.3;;
74;2003 oktober;896.8;742.9;40.7;113.3;;
75;2003 november;890.5;734.3;40.3;115.9;;
76;2003 december;902.0;744.9;39.7;117.4;;
77;2003;11458.8;9512.3;508.8;1437.7;;
78;2004 januari;885.7;735.6;39.6;110.5;;
79;2004 februari;891.2;736.6;40.3;114.3;;
80;2004 maart;905.7;748.9;40.9;115.9;;
81;2004 april;898.1;742.0;41.4;114.6;;
82;2004 mei;1690.8;1399.8;72.1;218.8;;
83;2004 juni;891.3;735.2;40.9;115.3;;
84;2004 juli;886.2;729.3;41.0;115.9;;
85;2004 augustus;883.4;727.1;40.0;116.2;;
86;2004 september;884.8;727.5;40.9;116.4;;
87;2004 oktober;869.6;713.2;39.9;116.6;;
88;2004 november;875.3;717.2;40.9;117.2;;
89;2004 december;892.3;732.6;41.2;118.4;;
90;2004;11454.3;9445.2;519.0;1490.1;;
91;2005 januari;853.0;699.0;39.8;114.2;;
92;2005 februari;863.3;703.2;40.7;119.4;;
93;2005 maart;869.1;710.6;40.2;118.3;;
94;2005 april;858.9;700.4;39.7;118.8;;
95;2005 mei;1631.7;1334.2;69.8;227.7;;
96;2005 juni;848.4;688.7;39.5;120.1;;
97;2005 juli;837.6;679.2;38.3;120.1;;
98;2005 augustus;841.3;681.1;39.0;121.2;;
99;2005 september;829.1;670.5;37.7;120.9;;
100;2005 oktober;822.2;662.5;37.4;122.2;;
101;2005 november;823.3;661.7;38.0;123.7;;
102;2005 december;821.8;659.3;37.7;124.7;;
103;2005;10899.8;8850.6;497.8;1551.4;;
104;2006 januari;815.3;654.1;37.7;122.9;0.1;0.4
105;2006 februari;803.0;641.1;36.1;123.6;0.5;1.9
106;2006 maart;809.4;643.8;35.9;125.0;0.9;3.8
107;2006 april;796.3;630.1;35.3;124.8;1.2;4.9
108;2006 mei;1528.9;1216.3;64.8;238.6;1.8;7.5
109;2006 juni;797.5;626.4;34.6;126.1;1.9;8.4
110;2006 juli;775.1;601.1;34.2;127.7;2.4;9.8
111;2006 augustus;817.9;641.3;34.5;128.5;2.8;10.9
112;2006 september;790.9;614.5;32.3;128.2;3.3;12.5
113;2006 oktober;789.0;608.4;32.5;129.9;3.8;14.4
114;2006 november;798.3;613.4;33.0;132.2;4.3;15.5
115;2006 december;788.5;605.7;32.3;130.6;4.5;15.4
116;2006;10310.2;8096.2;443.2;1637.9;27.5;105.3
117;2007 januari;810.3;618.6;32.8;134.4;6.4;18.1
118;2007 februari;800.1;608.5;32.7;133.5;6.4;18.9
119;2007 maart;806.3;611.0;32.3;135.5;7.0;20.5
120;2007 april;797.3;601.3;31.5;135.7;7.1;21.6
121;2007 mei;1510.1;1148.0;58.0;256.9;11.8;35.5
122;2007 juni;797.2;594.4;32.3;138.3;8.4;23.7
123;2007 juli;841.4;630.4;33.2;143.4;9.0;25.5
124;2007 augustus;844.7;630.8;33.3;144.8;9.3;26.6
125;2007 september;834.9;619.8;32.7;144.9;9.9;27.5
126;2007 oktober;843.9;624.5;32.3;147.0;10.6;29.5
127;2007 november;841.0;620.1;32.3;146.3;11.3;30.9
128;2007 december;834.0;615.3;32.1;143.8;11.5;31.2
129;2007;10561.0;7922.7;415.5;1804.4;108.9;309.5
130;2008 januari;858.7;630.3;32.9;149.0;12.5;33.9
131;2008 februari;848.1;619.1;32.2;148.5;13.4;35.1
132;2008 maart;845.9;615.9;31.6;148.4;13.7;36.3
133;2008 april;852.0;618.7;31.5;149.7;14.4;37.7
134;2008 mei;1579.4;1150.4;56.4;282.0;25.1;65.5
135;2008 juni;845.4;608.5;30.5;151.6;15.6;39.1
136;2008 juli;860.0;616.3;31.0;155.1;16.6;41.0
137;2008 augustus;853.0;610.0;30.6;154.0;16.8;41.5
138;2008 september;857.8;611.7;30.2;155.3;17.5;43.3
139;2008 oktober;862.2;610.9;30.3;157.6;18.3;45.1
140;2008 november;855.5;602.6;30.3;157.7;20.0;45.9
141;2008 december;839.4;588.2;30.1;154.8;19.4;46.9
142;2008;10957.5;7882.7;397.5;1963.6;203.3;511.4
143;2009 januari;872.5;610.1;30.0;162.2;21.0;49.1
144;2009 februari;868.0;604.5;29.8;161.8;21.6;50.4
145;2009 maart;868.6;601.7;29.5;162.9;22.3;52.2
146;2009 april;868.2;598.7;29.3;163.9;23.1;53.2
147;2009 mei;1622.8;1125.1;52.8;307.2;41.1;96.7
148;2009 juni;856.2;584.2;28.3;165.0;24.0;54.7
149;2009 juli;868.5;591.9;28.6;169.6;25.5;52.9
150;2009 augustus;860.1;584.4;28.0;168.8;25.6;53.3
151;2009 september;862.0;581.8;28.0;169.9;26.7;55.6
152;2009 oktober;861.1;580.8;27.8;171.9;27.6;53.0
153;2009 november;860.9;576.0;27.7;169.8;28.9;58.5
154;2009 december;863.7;570.7;27.2;173.2;29.9;62.5
155;2009;11132.7;7609.9;367.0;2146.1;317.4;692.2
156;2010 januari;877.6;576.8;25.3;178.2;31.0;66.3
157;2010 februari;871.7;570.7;24.8;177.7;31.8;66.7
158;2010 maart;875.6;569.9;24.6;179.4;33.2;68.4
159;2010 april;872.6;566.8;24.6;177.6;33.8;69.8
160;2010 mei;1648.6;1074.7;46.5;335.4;61.1;131.0
161;2010 juni;864.5;556.4;24.2;177.9;35.5;70.6
162;2010 juli;868.0;555.6;23.8;178.3;36.6;73.7
163;2010 augustus;865.3;550.9;23.9;178.1;37.8;74.6
164;2010 september;866.4;550.3;23.4;179.5;38.3;74.9
165;2010 oktober;866.9;547.4;23.3;179.6;39.3;77.3
166;2010 november;870.4;546.7;23.2;180.4;40.9;79.1
167;2010 december;867.4;542.8;23.1;181.1;41.6;78.8
168;2010;11215.1;7209.0;310.6;2303.0;461.0;931.4
169;2011 januari;872.8;542.7;22.7;183.6;43.1;80.8
170;2011 februari;875.5;541.6;22.5;183.1;44.7;83.7
171;2011 maart;874.8;536.9;22.1;184.5;45.5;85.8
172;2011 april;865.2;532.5;22.0;177.3;46.2;87.2
173;2011 mei;1659.9;1009.3;41.9;354.0;85.4;169.4
174;2011 juni;859.0;517.7;21.0;184.8;48.4;87.2
175;2011 juli;864.2;517.2;21.0;187.2;49.5;89.3
176;2011 augustus;864.4;513.1;20.9;188.0;50.4;92.1
177;2011 september;862.1;508.6;20.4;188.8;51.1;93.2
178;2011 oktober;860.4;505.9;20.4;189.4;52.0;92.8
179;2011 november;859.9;502.2;19.7;190.1;53.0;94.9
180;2011 december;860.3;497.6;19.7;190.2;53.8;98.9
181;2011;11178.7;6725.4;274.1;2401.0;623.0;1155.2
182;2012 januari;836.3;490.4;19.7;169.1;56.4;100.9
183;2012 februari;838.6;487.5;19.6;170.1;57.0;104.4
184;2012 maart;831.7;479.4;18.9;170.9;57.9;104.7
185;2012 april;833.9;481.2;18.6;171.7;58.9;103.4
186;2012 mei;1600.1;918.3;35.9;329.3;109.0;207.7
187;2012 juni;828.2;469.4;18.1;173.1;60.6;107.0
188;2012 juli;831.5;468.6;18.2;175.1;61.4;108.1
189;2012 augustus;829.8;464.4;17.7;176.6;62.0;109.1
190;2012 september;828.9;460.3;17.5;176.9;63.2;111.1
191;2012 oktober;831.1;457.5;17.8;177.6;64.6;113.6
192;2012 november;831.4;455.2;17.3;178.6;65.8;114.5
193;2012 december;858.1;456.7;17.7;202.3;65.7;115.7
194;2012;10779.7;6088.9;237.0;2271.1;782.6;1400.1
195;2013 januari;838.3;451.5;17.0;182.4;68.4;119.0
196;2013 februari;798.1;451.0;16.9;183.3;66.4;80.4
197;2013 maart;831.5;449.2;16.9;184.4;70.0;110.9
198;2013 april;835.9;445.6;17.0;184.9;71.1;117.3
199;2013 mei;1620.5;852.8;31.7;354.3;133.3;248.5
200;2013 juni;834.5;434.5;16.0;186.4;73.6;123.9
201;2013 juli;840.6;433.5;16.0;188.4;75.2;127.6
202;2013 augustus;839.0;430.2;15.6;189.4;75.9;127.9
203;2013 september;838.8;427.4;15.6;190.3;76.8;128.7
204;2013 oktober;839.1;423.5;15.5;191.3;78.4;130.4
205;2013 november;840.8;421.3;15.7;192.5;80.3;131.0
206;2013 december;840.2;418.3;15.3;192.6;80.4;133.6
207;2013;10797.2;5638.7;209.3;2420.1;949.8;1579.4
208;2014 januari;823.3;419.3;15.3;196.4;84.7;107.6
209;2014 februari;825.3;418.2;15.2;196.0;85.2;110.7
210;2014 maart;825.7;414.8;14.8;197.1;86.7;112.2
211;2014 april;826.4;411.8;14.4;198.3;88.0;113.8
212;2014 mei;1639.5;791.6;27.9;380.5;164.2;275.2
213;2014 juni;844.7;402.2;14.0;199.6;89.5;139.4
214;2014 juli;854.8;402.8;14.2;201.8;92.0;144.0
215;2014 augustus;852.4;399.2;14.0;202.5;93.1;143.6
216;2014 september;849.4;395.5;13.7;203.1;93.9;143.2
217;2014 oktober;852.8;393.4;13.7;204.2;95.5;146.0
218;2014 november;853.4;390.4;13.7;205.4;97.4;146.5
219;2014 december;853.8;387.7;13.4;205.8;97.3;149.5
220;2014;10901.5;5227.0;184.3;2590.8;1167.5;1731.8
221;2015 januari;866.5;387.6;13.8;209.8;102.5;152.9
222;2015 februari;866.3;386.7;13.5;209.5;103.3;153.4
223;2015 maart;867.7;384.5;13.3;210.4;105.9;153.6
224;2015 april;866.2;381.8;13.0;210.2;105.7;155.5
225;2015 mei;1674.3;733.7;24.8;402.8;198.1;314.9
226;2015 juni;861.2;373.3;12.5;210.1;108.8;156.5
227;2015 juli;863.2;371.8;12.8;211.1;111.0;156.5
228;2015 augustus;857.3;368.3;12.5;210.6;111.6;154.3
229;2015 september;854.6;366.0;12.4;211.3;112.3;152.6
230;2015 oktober;859.2;363.7;12.2;212.0;114.1;157.1
231;2015 november;861.0;360.8;12.2;212.3;116.0;159.6
232;2015 december;856.6;357.5;11.8;211.4;114.9;160.9
233;2015;11154.2;4835.7;164.9;2721.5;1404.3;2027.8
