ID;Pensioenfondsen;BronOpbrengsten;Perioden;GemiddeldBelegdBedrag_1;TotaleNettoOpbrengsten_2;DirecteNettoOpbrengsten_3;TotaalRendement_4;DirectRendement_5
28;Totaal pensioenfondsen;Hypothecaire leningen;2005;13102;625;663;4.8;5.1
29;Totaal pensioenfondsen;Hypothecaire leningen;2006*;11875;-100;474;-0.8;4.0
30;Totaal pensioenfondsen;Aandelen;1997;108416;31461;2056;29.0;1.9
31;Totaal pensioenfondsen;Aandelen;1998;136890;29788;2739;21.8;2.0
32;Totaal pensioenfondsen;Aandelen;1999;169717;56681;5452;33.4;3.2
33;Totaal pensioenfondsen;Aandelen;2000;232581;-3455;6956;-1.5;3.0
34;Totaal pensioenfondsen;Aandelen;2001;223310;-28225;2593;-12.6;1.2
35;Totaal pensioenfondsen;Aandelen;2002;183635;-58143;3550;-31.7;1.9
36;Totaal pensioenfondsen;Aandelen;2003;168439;27664;4183;16.4;2.5
37;Totaal pensioenfondsen;Aandelen;2004;227688;22632;2557;9.9;1.1
38;Totaal pensioenfondsen;Aandelen;2005;257648;58958;7564;22.9;2.9
39;Totaal pensioenfondsen;Aandelen;2006*;248206;38740;4577;15.6;1.8
40;Totaal pensioenfondsen;Obligaties;1997;98545;7016;5925;7.1;6.0
41;Totaal pensioenfondsen;Obligaties;1998;124448;12806;6851;10.3;5.5
42;Totaal pensioenfondsen;Obligaties;1999;136447;-2341;6302;-1.7;4.6
43;Totaal pensioenfondsen;Obligaties;2000;134120;8291;6633;6.2;4.9
44;Totaal pensioenfondsen;Obligaties;2001;170785;11448;6652;6.7;3.9
45;Totaal pensioenfondsen;Obligaties;2002;170090;11752;7730;6.9;4.5
46;Totaal pensioenfondsen;Obligaties;2003;182221;7776;6553;4.3;3.6
47;Totaal pensioenfondsen;Obligaties;2004;213609;14570;6981;6.8;3.3
48;Totaal pensioenfondsen;Obligaties;2005;228015;14745;7654;6.5;3.4
49;Totaal pensioenfondsen;Obligaties;2006*;216853;-3150;9221;-1.5;4.3
50;Totaal pensioenfondsen;Leningen op schuldbekentenis;1997;73150;6079;5758;8.3;7.9
51;Totaal pensioenfondsen;Leningen op schuldbekentenis;1998;60908;5718;4771;9.4;7.8
52;Totaal pensioenfondsen;Leningen op schuldbekentenis;1999;51686;2221;3933;4.3;7.6
53;Totaal pensioenfondsen;Leningen op schuldbekentenis;2000;37598;1632;1726;4.3;4.6
54;Totaal pensioenfondsen;Leningen op schuldbekentenis;2001;30386;1844;1621;6.1;5.3
55;Totaal pensioenfondsen;Leningen op schuldbekentenis;2002;19670;1949;880;9.9;4.5
56;Totaal pensioenfondsen;Leningen op schuldbekentenis;2003;14072;452;534;3.2;3.8
57;Totaal pensioenfondsen;Leningen op schuldbekentenis;2004;10244;673;-16;6.6;-0.2
58;Totaal pensioenfondsen;Leningen op schuldbekentenis;2005;8560;366;420;4.3;4.9
59;Totaal pensioenfondsen;Leningen op schuldbekentenis;2006*;6821;-26;312;-0.4;4.6
60;Totaal pensioenfondsen;Niet-geconsolideerde deelnemingen;1997;8105;1112;684;13.7;8.4
61;Totaal pensioenfondsen;Niet-geconsolideerde deelnemingen;1998;9368;647;649;6.9;6.9
62;Totaal pensioenfondsen;Niet-geconsolideerde deelnemingen;1999;12773;1124;717;8.8;5.6
63;Totaal pensioenfondsen;Niet-geconsolideerde deelnemingen;2000;17312;1303;507;7.5;2.9
64;Totaal pensioenfondsen;Niet-geconsolideerde deelnemingen;2001;10817;-1059;299;-9.8;2.8
65;Totaal pensioenfondsen;Niet-geconsolideerde deelnemingen;2002;45289;6115;2093;13.5;4.6
66;Totaal pensioenfondsen;Niet-geconsolideerde deelnemingen;2003;47591;6936;2909;14.6;6.1
67;Totaal pensioenfondsen;Niet-geconsolideerde deelnemingen;2004;26125;3749;2353;14.4;9.0
68;Totaal pensioenfondsen;Niet-geconsolideerde deelnemingen;2005;34169;2286;855;6.7;2.5
69;Totaal pensioenfondsen;Niet-geconsolideerde deelnemingen;2006*;29239;6477;-42;22.2;-0.1
70;Bedrijfstakpensioenfondsen;Alle beleggingen;1997;213077;31993;11672;15.0;5.5
71;Bedrijfstakpensioenfondsen;Alle beleggingen;1998;238903;38459;12094;16.1;5.1
72;Bedrijfstakpensioenfondsen;Alle beleggingen;1999;266121;41429;13056;15.6;4.9
73;Bedrijfstakpensioenfondsen;Alle beleggingen;2000;318301;8030;12379;2.5;3.9
74;Bedrijfstakpensioenfondsen;Alle beleggingen;2001;310658;-6864;8731;-2.2;2.8
75;Bedrijfstakpensioenfondsen;Alle beleggingen;2002;306093;-21555;11390;-7.0;3.7
76;Bedrijfstakpensioenfondsen;Alle beleggingen;2003;305320;32375;11139;10.6;3.6
77;Bedrijfstakpensioenfondsen;Alle beleggingen;2004;334828;32994;10592;9.9;3.2
78;Bedrijfstakpensioenfondsen;Alle beleggingen;2005;381673;52427;12515;13.7;3.3
79;Bedrijfstakpensioenfondsen;Alle beleggingen;2006*;414908;31240;11281;7.5;2.7
80;Bedrijfstakpensioenfondsen;Onroerende zaken;1997;11836;1319;785;11.1;6.6
81;Bedrijfstakpensioenfondsen;Onroerende zaken;1998;13800;1292;908;9.4;6.6
82;Bedrijfstakpensioenfondsen;Onroerende zaken;1999;15416;3060;983;19.9;6.4
83;Bedrijfstakpensioenfondsen;Onroerende zaken;2000;16568;1805;1028;10.9;6.2
84;Bedrijfstakpensioenfondsen;Onroerende zaken;2001;17022;1612;770;9.5;4.5
85;Bedrijfstakpensioenfondsen;Onroerende zaken;2002;17435;1317;735;7.6;4.2
86;Bedrijfstakpensioenfondsen;Onroerende zaken;2003;17450;1888;624;10.8;3.6
87;Bedrijfstakpensioenfondsen;Onroerende zaken;2004;17839;4829;778;27.1;4.4
88;Bedrijfstakpensioenfondsen;Onroerende zaken;2005;16793;867;983;5.2;5.9
89;Bedrijfstakpensioenfondsen;Onroerende zaken;2006*;15387;846;918;5.5;6.0
90;Bedrijfstakpensioenfondsen;Hypothecaire leningen;1997;11127;810;801;7.3;7.2
91;Bedrijfstakpensioenfondsen;Hypothecaire leningen;1998;11776;898;824;7.6;7.0
92;Bedrijfstakpensioenfondsen;Hypothecaire leningen;1999;12130;962;811;7.9;6.7
93;Bedrijfstakpensioenfondsen;Hypothecaire leningen;2000;13793;422;913;3.1;6.6
94;Bedrijfstakpensioenfondsen;Hypothecaire leningen;2001;12432;676;850;5.4;6.8
95;Bedrijfstakpensioenfondsen;Hypothecaire leningen;2002;13725;1272;662;9.3;4.8
96;Bedrijfstakpensioenfondsen;Hypothecaire leningen;2003;13795;749;468;5.4;3.4
97;Bedrijfstakpensioenfondsen;Hypothecaire leningen;2004;13161;851;434;6.5;3.3
98;Bedrijfstakpensioenfondsen;Hypothecaire leningen;2005;12125;549;607;4.5;5.0
99;Bedrijfstakpensioenfondsen;Hypothecaire leningen;2006*;11040;-113;404;-1.0;3.7
100;Bedrijfstakpensioenfondsen;Aandelen;1997;67730;20056;1264;29.6;1.9
101;Bedrijfstakpensioenfondsen;Aandelen;1998;88086;23043;1728;26.2;2.0
102;Bedrijfstakpensioenfondsen;Aandelen;1999;110590;36486;3965;33.0;3.6
103;Bedrijfstakpensioenfondsen;Aandelen;2000;166341;-513;5523;-0.3;3.3
104;Bedrijfstakpensioenfondsen;Aandelen;2001;141509;-16371;2726;-11.6;1.9
105;Bedrijfstakpensioenfondsen;Aandelen;2002;119409;-37933;2489;-31.8;2.1
106;Bedrijfstakpensioenfondsen;Aandelen;2003;113981;19778;3335;17.4;2.9
107;Bedrijfstakpensioenfondsen;Aandelen;2004;156379;15677;4361;10.0;2.8
108;Bedrijfstakpensioenfondsen;Aandelen;2005;182489;41107;5593;22.5;3.1
109;Bedrijfstakpensioenfondsen;Aandelen;2006*;202428;29449;4898;14.5;2.4
110;Bedrijfstakpensioenfondsen;Obligaties;1997;55358;3850;3331;7.0;6.0
111;Bedrijfstakpensioenfondsen;Obligaties;1998;70143;8185;4145;11.7;5.9
112;Bedrijfstakpensioenfondsen;Obligaties;1999;78463;-1943;3524;-2.5;4.5
113;Bedrijfstakpensioenfondsen;Obligaties;2000;78171;4152;3410;5.3;4.4
114;Bedrijfstakpensioenfondsen;Obligaties;2001;106768;7258;3154;6.8;3.0
115;Bedrijfstakpensioenfondsen;Obligaties;2002;106211;6617;5124;6.2;4.8
116;Bedrijfstakpensioenfondsen;Obligaties;2003;114209;4028;4381;3.5;3.8
117;Bedrijfstakpensioenfondsen;Obligaties;2004;122324;8131;4185;6.6;3.4
118;Bedrijfstakpensioenfondsen;Obligaties;2005;140760;8393;4679;6.0;3.3
119;Bedrijfstakpensioenfondsen;Obligaties;2006*;158729;-3088;5907;-1.9;3.7
120;Bedrijfstakpensioenfondsen;Leningen op schuldbekentenis;1997;60658;5231;4993;8.6;8.2
121;Bedrijfstakpensioenfondsen;Leningen op schuldbekentenis;1998;49124;4640;3977;9.4;8.1
122;Bedrijfstakpensioenfondsen;Leningen op schuldbekentenis;1999;40828;2018;3308;4.9;8.1
123;Bedrijfstakpensioenfondsen;Leningen op schuldbekentenis;2000;29967;1150;1208;3.8;4.0
124;Bedrijfstakpensioenfondsen;Leningen op schuldbekentenis;2001;23186;1316;1119;5.7;4.8
125;Bedrijfstakpensioenfondsen;Leningen op schuldbekentenis;2002;15074;1644;727;10.9;4.8
126;Bedrijfstakpensioenfondsen;Leningen op schuldbekentenis;2003;10542;276;355;2.6;3.4
127;Bedrijfstakpensioenfondsen;Leningen op schuldbekentenis;2004;7632;505;248;6.6;3.3
128;Bedrijfstakpensioenfondsen;Leningen op schuldbekentenis;2005;6828;302;329;4.4;4.8
129;Bedrijfstakpensioenfondsen;Leningen op schuldbekentenis;2006*;5799;-49;230;-0.9;4.0
130;Bedrijfstakpensioenfondsen;Niet-geconsolideerde deelnemingen;1997;6368;727;498;11.4;7.8
131;Bedrijfstakpensioenfondsen;Niet-geconsolideerde deelnemingen;1998;5974;400;512;6.7;8.6
132;Bedrijfstakpensioenfondsen;Niet-geconsolideerde deelnemingen;1999;8694;847;466;9.7;5.4
133;Bedrijfstakpensioenfondsen;Niet-geconsolideerde deelnemingen;2000;13459;1014;298;7.5;2.2
134;Bedrijfstakpensioenfondsen;Niet-geconsolideerde deelnemingen;2001;9742;-1355;112;-13.9;1.2
135;Bedrijfstakpensioenfondsen;Niet-geconsolideerde deelnemingen;2002;34239;5528;1652;16.1;4.8
136;Bedrijfstakpensioenfondsen;Niet-geconsolideerde deelnemingen;2003;35343;5658;1977;16.0;5.6
137;Bedrijfstakpensioenfondsen;Niet-geconsolideerde deelnemingen;2004;17493;3001;586;17.2;3.4
138;Bedrijfstakpensioenfondsen;Niet-geconsolideerde deelnemingen;2005;22678;1209;324;5.3;1.4
139;Bedrijfstakpensioenfondsen;Niet-geconsolideerde deelnemingen;2006*;21525;4195;-1076;19.5;-5.0
140;Ondernemingspensioenfondsen;Alle beleggingen;1997;94237;14879;4339;15.8;4.6
141;Ondernemingspensioenfondsen;Alle beleggingen;1998;112794;11473;4656;10.2;4.1
142;Ondernemingspensioenfondsen;Alle beleggingen;1999;121978;18977;4859;15.6;4.0
143;Ondernemingspensioenfondsen;Alle beleggingen;2000;126481;2794;5332;2.2;4.2
