ID;BedrijfstakkenBranches;Perioden;Waarde_1;Prijs_2;Volume_3;Waarde_4;Prijs_5;Volume_6;Waarde_7;Volume_8;Waarde_9;Volume_10
75;96021 Kappers;2007 1e kwartaal;91.3;94.0;97.2;6.7;3.3;3.3;96.9;103.9;1.5;0.7
76;96021 Kappers;2007 2e kwartaal;99.9;94.5;105.7;4.9;3.4;1.4;97.7;103.5;0.8;-0.4
77;96021 Kappers;2007 3e kwartaal;98.6;95.1;103.8;4.7;4.0;0.7;98.7;103.6;1.0;0.1
78;96021 Kappers;2007 4e kwartaal;103.2;95.4;108.3;4.5;3.8;0.6;99.7;104.0;1.0;0.4
79;96021 Kappers;2007;98.3;94.7;103.7;5.1;3.6;1.5;98.3;103.8;5.1;1.5
80;96021 Kappers;2008 1e kwartaal;94.0;97.3;96.6;2.9;3.6;-0.6;99.6;103.1;-0.1;-0.9
81;96021 Kappers;2008 2e kwartaal;102.3;96.8;105.7;2.5;2.4;0.0;100.2;103.6;0.6;0.5
82;96021 Kappers;2008 3e kwartaal;101.2;96.9;104.5;2.6;1.9;0.6;101.2;104.2;1.0;0.6
83;96021 Kappers;2008 4e kwartaal;104.1;96.9;107.5;0.9;1.6;-0.7;100.6;103.4;-0.6;-0.8
84;96021 Kappers;2008;100.4;97.0;103.6;2.2;2.4;-0.2;100.4;103.6;2.2;-0.2
85;96021 Kappers;2009 1e kwartaal;94.9;98.2;96.6;1.0;0.9;0.1;100.4;102.7;-0.2;-0.7
86;96021 Kappers;2009 2e kwartaal;101.7;98.1;103.7;-0.6;1.4;-2.0;99.7;101.6;-0.7;-1.1
87;96021 Kappers;2009 3e kwartaal;98.6;98.8;99.8;-2.5;2.0;-4.5;98.7;99.7;-1.0;-1.9
88;96021 Kappers;2009 4e kwartaal;102.0;99.4;102.7;-2.0;2.5;-4.4;98.5;98.8;-0.2;-0.9
89;96021 Kappers;2009;99.3;98.6;100.7;-1.1;1.7;-2.8;99.3;100.7;-1.1;-2.8
90;96021 Kappers;2010 1e kwartaal;93.8;100.4;93.4;-1.2;2.2;-3.3;99.0;99.1;0.5;0.3
91;96021 Kappers;2010 2e kwartaal;101.7;100.0;101.7;0.0;1.9;-1.9;99.8;99.9;0.8;0.8
92;96021 Kappers;2010 3e kwartaal;100.6;100.0;100.7;2.0;1.2;0.9;101.0;100.8;1.2;0.9
93;96021 Kappers;2010 4e kwartaal;103.9;99.7;104.2;1.8;0.3;1.5;100.2;100.1;-0.8;-0.7
94;96021 Kappers;2010;100.0;100.0;100.0;0.7;1.4;-0.7;100.0;100.0;0.7;-0.7
95;96021 Kappers;2011 1e kwartaal;94.7;101.1;93.7;1.0;0.8;0.3;99.9;99.1;-0.3;-1.0
96;96021 Kappers;2011 2e kwartaal;101.2;101.9;99.3;-0.4;2.0;-2.4;99.4;97.7;-0.5;-1.4
97;96021 Kappers;2011 3e kwartaal;98.7;102.1;96.7;-1.9;2.1;-3.9;99.4;97.2;0.0;-0.5
98;96021 Kappers;2011 4e kwartaal;102.7;102.2;100.4;-1.2;2.6;-3.7;98.6;96.1;-0.8;-1.1
99;96021 Kappers;2011;99.3;101.9;97.5;-0.7;1.9;-2.5;99.3;97.5;-0.7;-2.5
100;96021 Kappers;2012 1e kwartaal;93.4;103.4;90.3;-1.4;2.3;-3.6;98.5;95.5;-0.1;-0.6
101;96021 Kappers;2012 2e kwartaal;99.9;103.7;96.3;-1.3;1.7;-3.0;98.2;95.0;-0.3;-0.5
102;96021 Kappers;2012 3e kwartaal;96.9;103.9;93.3;-1.9;1.7;-3.5;97.9;94.1;-0.3;-0.9
103;96021 Kappers;2012 4e kwartaal;103.0;103.6;99.4;0.3;1.4;-1.1;98.5;94.7;0.6;0.6
104;96021 Kappers;2012;98.3;103.7;94.8;-1.1;1.8;-2.8;98.3;94.8;-1.1;-2.8
105;96021 Kappers;2013 1e kwartaal;92.6;104.5;88.6;-0.9;1.1;-1.9;97.6;93.5;-0.9;-1.3
106;96021 Kappers;2013 2e kwartaal;98.6;105.2;93.7;-1.3;1.5;-2.7;97.1;92.6;-0.5;-1.0
107;96021 Kappers;2013 3e kwartaal;95.8;105.1;91.2;-1.1;1.2;-2.3;96.9;92.1;-0.2;-0.5
108;96021 Kappers;2013 4e kwartaal;102.5;105.3;97.4;-0.4;1.6;-2.0;98.0;92.6;1.1;0.5
109;96021 Kappers;2013;97.4;105.0;92.7;-0.9;1.3;-2.2;97.4;92.7;-0.9;-2.2
110;96021 Kappers;2014 1e kwartaal;93.1;106.4;87.5;0.5;1.8;-1.2;97.8;92.1;-0.2;-0.5
111;96021 Kappers;2014 2e kwartaal;98.8;107.2;92.2;0.2;1.9;-1.7;97.5;91.4;-0.3;-0.8
112;96021 Kappers;2014 3e kwartaal;97.6;107.6;90.8;1.9;2.3;-0.4;98.7;91.6;1.2;0.2
113;96021 Kappers;2014 4e kwartaal;103.3;108.5;95.2;0.7;3.0;-2.3;98.7;90.7;0.0;-1.0
114;96021 Kappers;2014;98.2;107.4;91.4;0.8;2.3;-1.4;98.2;91.5;0.8;-1.3
115;96021 Kappers;2015 1e kwartaal;94.2;109.5;86.1;1.2;2.9;-1.7;99.3;91.0;0.6;0.3
116;96021 Kappers;2015 2e kwartaal;102.0;109.3;93.3;3.2;2.0;1.2;100.7;92.2;1.4;1.3
117;96021 Kappers;2015 3e kwartaal;100.2;109.7;91.4;2.7;2.0;0.7;101.5;92.3;0.8;0.1
118;96021 Kappers;2015 4e kwartaal;108.2;110.2;98.1;4.8;1.6;3.1;103.1;93.4;1.5;1.2
119;96021 Kappers;2015;101.2;109.7;92.2;3.0;2.1;0.9;101.1;92.2;3.0;0.8
120;96021 Kappers;2016 1e kwartaal;97.8;111.4;87.8;3.8;1.7;2.0;103.3;93.1;0.2;-0.3
121;96021 Kappers;2016 2e kwartaal;106.5;111.9;95.1;4.4;2.4;2.0;104.8;93.8;1.4;0.8
122;96021 Kappers;2016 3e kwartaal;104.7;111.9;93.5;4.5;2.0;2.4;105.9;94.6;1.0;0.9
123;96021 Kappers;2016 4e kwartaal;112.4;111.8;100.5;3.9;1.4;2.4;107.0;95.4;1.1;0.8
124;96021 Kappers;2016;105.3;111.8;94.2;4.1;1.9;2.2;105.3;94.2;4.1;2.2
125;96021 Kappers;2017 1e kwartaal;102.2;112.5;90.8;4.5;1.0;3.4;107.9;96.1;0.8;0.8
126;96021 Kappers;2017 2e kwartaal;110.0;112.6;97.8;3.4;0.6;2.8;108.8;96.6;0.9;0.5
127;96021 Kappers;2017 3e kwartaal;109.8;114.2;96.2;4.9;2.0;2.9;110.2;97.0;1.3;0.5
128;96021 Kappers;2017 4e kwartaal;115.1;114.0;100.9;2.4;2.0;0.4;109.9;95.9;-0.2;-1.1
129;96021 Kappers;2017;109.3;113.3;96.4;3.7;1.4;2.3;109.2;96.4;3.7;2.3
