ID;Oppervlakte;Regio;Oppervlakte_1
80;Totale oppervlakte;Baflo;3298
81;Totale oppervlakte;Bakel en Milheeze;7599
82;Totale oppervlakte;Barendrecht;2174
83;Totale oppervlakte;Barneveld;17594
84;Totale oppervlakte;Barradeel;6112
85;Totale oppervlakte;Barsingerhorn;2066
86;Totale oppervlakte;Barwoutswaarder;383
87;Totale oppervlakte;Batenburg;740
88;Totale oppervlakte;Bathmen;2770
89;Totale oppervlakte;Bedum;5036
90;Totale oppervlakte;Beegden;927
91;Totale oppervlakte;Beek (L.);1871
92;Totale oppervlakte;Beek en Donk;1676
93;Totale oppervlakte;Beemster;7189
94;Totale oppervlakte;Beers;1158
95;Totale oppervlakte;Beerta;8198
96;Totale oppervlakte;Beesd;3468
97;Totale oppervlakte;Beesel;2914
98;Totale oppervlakte;Beets;573
99;Totale oppervlakte;Beijerland (Nieuw-);1364
100;Totale oppervlakte;Beijerland (Oud-);1785
101;Totale oppervlakte;Beijerland (Zuid-);4349
102;Totale oppervlakte;Beilen;16656
103;Totale oppervlakte;Belfeld;1376
104;Totale oppervlakte;Bellingwolde;7880
105;Totale oppervlakte;Bemelen;356
106;Totale oppervlakte;Bemmel;4213
107;Totale oppervlakte;Bennebroek;175
108;Totale oppervlakte;Benschop;2281
109;Totale oppervlakte;Benthuizen;1226
110;Totale oppervlakte;Berg en Terblijt;793
111;Totale oppervlakte;Bergambacht;2879
112;Totale oppervlakte;Bergeijk;5230
113;Totale oppervlakte;Bergen (L.);12438
114;Totale oppervlakte;Bergen (NH.);3685
115;Totale oppervlakte;Bergen op Zoom;4168
116;Totale oppervlakte;Bergh;7579
117;Totale oppervlakte;Bergharen;2107
118;Totale oppervlakte;Berghem;1375
119;Totale oppervlakte;Bergschenhoek;1534
120;Totale oppervlakte;Berkel en Rodenrijs;1966
121;Totale oppervlakte;Berkel-Enschot;2082
122;Totale oppervlakte;Berkenwoude;1132
123;Totale oppervlakte;Berkhout;2573
124;Totale oppervlakte;Berlicum;2480
125;Totale oppervlakte;Best;3612
126;Totale oppervlakte;Beugen en Rijkevoort;2755
127;Totale oppervlakte;Beuningen;2069
128;Totale oppervlakte;Beusichem;1587
129;Totale oppervlakte;Beverwijk;499
130;Totale oppervlakte;Bierum;4730
131;Totale oppervlakte;Biervliet;4325
132;Totale oppervlakte;Biggekerke;1005
133;Totale oppervlakte;Bildt ('t);7804
134;Totale oppervlakte;Bilt (de);3005
135;Totale oppervlakte;Bingelrade;356
136;Totale oppervlakte;Bladel en Netersel;3317
137;Totale oppervlakte;Blankenham;1737
138;Totale oppervlakte;Blaricum;1008
139;Totale oppervlakte;Bleiswijk;2166
140;Totale oppervlakte;Bleskensgraaf en Hofwege;1250
141;Totale oppervlakte;Bloemendaal;3846
142;Totale oppervlakte;Blokker;1382
143;Totale oppervlakte;Blokzijl;233
144;Totale oppervlakte;Bocholtz;852
145;Totale oppervlakte;Bodegraven;2559
146;Totale oppervlakte;Boekel;3433
147;Totale oppervlakte;Bolsward;918
148;Totale oppervlakte;Bommel (den);2134
149;Totale oppervlakte;Borculo;5408
150;Totale oppervlakte;Borger;13055
151;Totale oppervlakte;Borgharen;324
152;Totale oppervlakte;Borkel en Schaft;2471
153;Totale oppervlakte;Born;1544
154;Totale oppervlakte;Borne;4042
155;Totale oppervlakte;Borsselen;1798
156;Totale oppervlakte;Boschkapelle;1209
157;Totale oppervlakte;Boskoop;826
158;Totale oppervlakte;Bovenkarspel;859
159;Totale oppervlakte;Boxmeer;1174
160;Totale oppervlakte;Boxtel;5141
161;Totale oppervlakte;Brakel;1266
162;Totale oppervlakte;Brandwijk;1112
163;Totale oppervlakte;Breda;1195
164;Totale oppervlakte;Breskens;1236
165;Totale oppervlakte;Breukelen-Nijenrode;1115
166;Totale oppervlakte;Breukelen-Sint Pieters;1275
167;Totale oppervlakte;Brielle;232
168;Totale oppervlakte;Broek in Waterland;2331
169;Totale oppervlakte;Broek op Langedijk;461
170;Totale oppervlakte;Broekhuizen;1157
171;Totale oppervlakte;Broeksittard;210
172;Totale oppervlakte;Brouwershaven;839
173;Totale oppervlakte;Bruinisse;1385
174;Totale oppervlakte;Brummen;8477
175;Totale oppervlakte;Brunssum;1245
176;Totale oppervlakte;Budel;4017
177;Totale oppervlakte;Buggenum;546
178;Totale oppervlakte;Bunde;528
179;Totale oppervlakte;Bunnik;1453
180;Totale oppervlakte;Bunschoten;2219
181;Totale oppervlakte;Buren;1988
182;Totale oppervlakte;Burgh;709
183;Totale oppervlakte;Bussum;813
184;Totale oppervlakte;Buurmalsen;2117
185;Totale oppervlakte;Cadier en Keer;786
186;Totale oppervlakte;Cadzand;1709
187;Totale oppervlakte;Callantsoog;2860
188;Totale oppervlakte;Capelle aan den IJssel;1550
189;Totale oppervlakte;Castricum;3163
190;Totale oppervlakte;Chaam;2987
191;Totale oppervlakte;Clinge;6819
192;Totale oppervlakte;Coevorden;4031
193;Totale oppervlakte;Colijnsplaat;1967
194;Totale oppervlakte;Cothen;1213
195;Totale oppervlakte;Cromvoirt;1421
196;Totale oppervlakte;Cuijk en Sint Agatha;1804
197;Totale oppervlakte;Culemborg;2861
198;Totale oppervlakte;Dalen;6776
199;Totale oppervlakte;Dalfsen;13128
200;Totale oppervlakte;Dantumadeel;9929
201;Totale oppervlakte;Deil;2987
202;Totale oppervlakte;Delden (Ambt-);8772
203;Totale oppervlakte;Delden (Stad-);257
204;Totale oppervlakte;Delft;1720
205;Totale oppervlakte;Delfzijl;4665
206;Totale oppervlakte;Denekamp;8821
207;Totale oppervlakte;Deurne;12236
208;Totale oppervlakte;Deventer;1487
209;Totale oppervlakte;Didam;3511
210;Totale oppervlakte;Diemen;1186
211;Totale oppervlakte;Diepenheim;2675
212;Totale oppervlakte;Diepenveen;8920
213;Totale oppervlakte;Diessen;2940
214;Totale oppervlakte;Diever;7458
215;Totale oppervlakte;Dinteloord en Prinsenland;5841
216;Totale oppervlakte;Dinther;1863
217;Totale oppervlakte;Dinxperlo;1357
218;Totale oppervlakte;Dirksland;1447
219;Totale oppervlakte;Dodewaard;1863
220;Totale oppervlakte;Doesburg;375
221;Totale oppervlakte;Doetinchem;5018
222;Totale oppervlakte;Dokkum;210
223;Totale oppervlakte;Domburg;705
224;Totale oppervlakte;Dommelen;759
225;Totale oppervlakte;Dongen;2450
226;Totale oppervlakte;Doniawerstal;12570
227;Totale oppervlakte;Doorn;2221
228;Totale oppervlakte;Doornspijk;7939
229;Totale oppervlakte;Dordrecht;1763
230;Totale oppervlakte;Dreischor;2311
231;Totale oppervlakte;Dreumel;1955
232;Totale oppervlakte;Driebergen;2421
233;Totale oppervlakte;Driel;2736
234;Totale oppervlakte;Driewegen;657
235;Totale oppervlakte;Drunen;2851
236;Totale oppervlakte;Druten;2992
237;Totale oppervlakte;Dubbeldam;5422
238;Totale oppervlakte;Duiven;3506
239;Totale oppervlakte;Duivendijke;1928
240;Totale oppervlakte;Dungen (den);1034
241;Totale oppervlakte;Dussen;4018
242;Totale oppervlakte;Dwingeloo;6824
243;Totale oppervlakte;Echt;7142
244;Totale oppervlakte;Echteld;3468
245;Totale oppervlakte;Edam;2282
246;Totale oppervlakte;Ede;32928
247;Totale oppervlakte;Eede;1345
248;Totale oppervlakte;Eelde;2551
249;Totale oppervlakte;Eemnes;3075
250;Totale oppervlakte;Eenrum;3097
251;Totale oppervlakte;Eersel;3595
252;Totale oppervlakte;Eethen;3700
253;Totale oppervlakte;Egmond aan Zee;180
254;Totale oppervlakte;Egmond-Binnen;2887
255;Totale oppervlakte;Eibergen;11716
256;Totale oppervlakte;Eijgelshoven;314
257;Totale oppervlakte;Eijsden;1578
258;Totale oppervlakte;Eindhoven;6446
259;Totale oppervlakte;Elburg;959
260;Totale oppervlakte;Elkerzee;684
261;Totale oppervlakte;Ellemeet;890
262;Totale oppervlakte;Ellewoutsdijk;3414
263;Totale oppervlakte;Elsloo;814
264;Totale oppervlakte;Elst;5601
265;Totale oppervlakte;Emmen;29098
266;Totale oppervlakte;Empel en Meerwijk;1459
267;Totale oppervlakte;Engelen;1053
268;Totale oppervlakte;Enkhuizen;1209
269;Totale oppervlakte;Enschede;681
270;Totale oppervlakte;Epe;15655
271;Totale oppervlakte;Ermelo;20923
272;Totale oppervlakte;Erp;3562
273;Totale oppervlakte;Esch;444
274;Totale oppervlakte;Escharen;2015
275;Totale oppervlakte;Est en Opijnen;718
276;Totale oppervlakte;Etten en Leur;6023
277;Totale oppervlakte;Everdingen;1094
278;Totale oppervlakte;Ewijk;2599
279;Totale oppervlakte;Ezinge;2301
280;Totale oppervlakte;Ferwerderadeel;8472
281;Totale oppervlakte;Fijnaart en Heijningen;4521
282;Totale oppervlakte;Finsterwolde;4618
283;Totale oppervlakte;Franeker;1724
284;Totale oppervlakte;Franekeradeel;5915
285;Totale oppervlakte;Gaasterland;8842
286;Totale oppervlakte;Gameren;1211
287;Totale oppervlakte;Gassel;1057
288;Totale oppervlakte;Gasselte;4025
289;Totale oppervlakte;Geertruid (St.);915
290;Totale oppervlakte;Geertruidenberg;531
291;Totale oppervlakte;Geervliet;2478
292;Totale oppervlakte;Geffen;1406
293;Totale oppervlakte;Geldermalsen;1861
294;Totale oppervlakte;Geldrop;2382
295;Totale oppervlakte;Geleen;1232
296;Totale oppervlakte;Gemert;5663
297;Totale oppervlakte;Gendringen;6507
298;Totale oppervlakte;Genemuiden;2472
299;Totale oppervlakte;Gennep;713
300;Totale oppervlakte;Gent;1552
301;Totale oppervlakte;Geulle;685
302;Totale oppervlakte;Giessen;574
303;Totale oppervlakte;Giessendam;1878
304;Totale oppervlakte;Giessen-Nieuwkerk;789
305;Totale oppervlakte;Gieten;4170
306;Totale oppervlakte;Giethoorn;3911
307;Totale oppervlakte;Gilze en Rijen;7147
308;Totale oppervlakte;Ginneken en Bavel;5726
309;Totale oppervlakte;Goedereede;991
310;Totale oppervlakte;Goes;747
311;Totale oppervlakte;Goirle;2545
312;Totale oppervlakte;Goor;332
313;Totale oppervlakte;Gorinchem;1275
314;Totale oppervlakte;Gorssel;9085
315;Totale oppervlakte;Gouda;898
316;Totale oppervlakte;Gouderak;1085
317;Totale oppervlakte;Goudriaan;792
318;Totale oppervlakte;Goudswaard;3453
319;Totale oppervlakte;Graauw en Langendam;3583
320;Totale oppervlakte;Grafhorst;226
321;Totale oppervlakte;Graft;1143
322;Totale oppervlakte;Gramsbergen;5866
323;Totale oppervlakte;Grathem;2104
324;Totale oppervlakte;Grave;404
325;Totale oppervlakte;'s-Graveland;484
326;Totale oppervlakte;'s-Gravendeel;2136
327;Totale oppervlakte;'s-Gravenhage;6618
328;Totale oppervlakte;'s-Gravenpolder;711
329;Totale oppervlakte;'s-Gravenzande;1782
330;Totale oppervlakte;Grevenbicht;358
331;Totale oppervlakte;Grijpskerk;3200
332;Totale oppervlakte;Grijpskerke;1306
333;Totale oppervlakte;Groede;3023
334;Totale oppervlakte;Groenlo;934
335;Totale oppervlakte;Groesbeek;4385
336;Totale oppervlakte;Groningen;2786
337;Totale oppervlakte;Gronsveld;1328
338;Totale oppervlakte;Groot-Ammers;1539
339;Totale oppervlakte;Grootebroek;1237
340;Totale oppervlakte;Grootegast;6681
341;Totale oppervlakte;Grubbenvorst;4436
342;Totale oppervlakte;Gulpen;2118
343;Totale oppervlakte;Haaften;2117
344;Totale oppervlakte;Haaksbergen;10558
345;Totale oppervlakte;Haamstede;4335
346;Totale oppervlakte;Haaren;2399
347;Totale oppervlakte;Haarlem;2568
348;Totale oppervlakte;Haarlemmerliede en Spaarnwoude;3472
349;Totale oppervlakte;Haarlemmermeer;18520
350;Totale oppervlakte;Haarzuilens;699
351;Totale oppervlakte;Haastrecht;1706
352;Totale oppervlakte;Haelen;1113
353;Totale oppervlakte;Hagestein;1073
354;Totale oppervlakte;Halsteren;3360
355;Totale oppervlakte;Ham (den);4378
356;Totale oppervlakte;Haps;1520
357;Totale oppervlakte;Hardenberg (Ambt-);16646
358;Totale oppervlakte;Hardenberg (Stad-);1695
359;Totale oppervlakte;Harderwijk;3349
360;Totale oppervlakte;Hardinxveld;1165
361;Totale oppervlakte;Haren;5402
362;Totale oppervlakte;Harenkarspel;2402
363;Totale oppervlakte;Harlingen;130
364;Totale oppervlakte;Harmelen;1913
365;Totale oppervlakte;Haskerland;5911
366;Totale oppervlakte;Hasselt;125
367;Totale oppervlakte;Hattem;1306
368;Totale oppervlakte;Havelte;7679
369;Totale oppervlakte;Hazerswoude;3474
370;Totale oppervlakte;Hedel;1171
371;Totale oppervlakte;Hedikhuizen;897
372;Totale oppervlakte;Heel en Panheel;1068
373;Totale oppervlakte;Heemskerk;2737
374;Totale oppervlakte;Heemstede;956
375;Totale oppervlakte;Heenvliet;1279
376;Totale oppervlakte;Heer;510
377;Totale oppervlakte;'s-Heer-Abtskerke;1566
378;Totale oppervlakte;'s-Heer-Arendskerke;5848
379;Totale oppervlakte;Heerde;8031
380;Totale oppervlakte;'s-Heerenhoek;668
381;Totale oppervlakte;Heerewaarden;834
382;Totale oppervlakte;Heerhugowaard;3783
383;Totale oppervlakte;Heerjansdam;637
384;Totale oppervlakte;Heerlen;3356
385;Totale oppervlakte;Heesch;2635
386;Totale oppervlakte;Heeswijk;1530
387;Totale oppervlakte;Heeze;3884
388;Totale oppervlakte;Hei- en Boeicop;932
389;Totale oppervlakte;Heijthuizen;2932
390;Totale oppervlakte;Heilo;2270
391;Totale oppervlakte;Heinenoord;1867
392;Totale oppervlakte;Heinkenszand;1242
393;Totale oppervlakte;Heino;3124
394;Totale oppervlakte;Hekelingen;981
395;Totale oppervlakte;Hekendorp;847
396;Totale oppervlakte;Helden;7048
397;Totale oppervlakte;Helder (Den);4463
398;Totale oppervlakte;Hellendoorn;13307
399;Totale oppervlakte;Hellevoetsluis;296
400;Totale oppervlakte;Helmond;1460
401;Totale oppervlakte;Helvoet (Nieuw-);1184
402;Totale oppervlakte;Helvoirt;2654
403;Totale oppervlakte;Hemelumer Oldephaerd en Noordwolde;8375
404;Totale oppervlakte;Hemmen;263
405;Totale oppervlakte;Hendrik-Ido-Ambacht;1203
406;Totale oppervlakte;Hengelo (Gld.);4952
407;Totale oppervlakte;Hengelo (O.);4423
408;Totale oppervlakte;Hengstdijk;881
409;Totale oppervlakte;Hennaarderadeel;5874
410;Totale oppervlakte;Hensbroek;1024
411;Totale oppervlakte;Herkingen;2018
412;Totale oppervlakte;Herpen;1769
413;Totale oppervlakte;Herpt;996
414;Totale oppervlakte;Herten;686
415;Totale oppervlakte;'s-Hertogenbosch;1761
416;Totale oppervlakte;Herwen en Aerdt;3357
417;Totale oppervlakte;Herwijnen;2392
418;Totale oppervlakte;Heteren;3391
419;Totale oppervlakte;Heukelum;561
420;Totale oppervlakte;Heumen;2138
421;Totale oppervlakte;Heusden;110
422;Totale oppervlakte;Hillegersberg;1646
423;Totale oppervlakte;Hillegom;1339
424;Totale oppervlakte;Hilvarenbeek;6817
425;Totale oppervlakte;Hilversum;4679
426;Totale oppervlakte;Hindeloopen;503
427;Totale oppervlakte;Hoedekenskerke;3061
428;Totale oppervlakte;Hoek;3866
429;Totale oppervlakte;Hoenkoop;756
430;Totale oppervlakte;Hoensbroek;890
431;Totale oppervlakte;Hoevelaken;726
432;Totale oppervlakte;Hoeven;3117
433;Totale oppervlakte;Holten;6575
434;Totale oppervlakte;Hontenisse;6121
435;Totale oppervlakte;Hoofdplaat;4086
436;Totale oppervlakte;Hoogblokland;774
437;Totale oppervlakte;Hooge en Lage Mierde;4738
438;Totale oppervlakte;Hooge en Lage Zwaluwe;4902
439;Totale oppervlakte;Hoogeloon, Hapert en Casteren;4017
440;Totale oppervlakte;Hoogeveen;6231
441;Totale oppervlakte;Hoogezand;5793
442;Totale oppervlakte;Hoogkarspel;1349
443;Totale oppervlakte;Hoogkerk;1909
444;Totale oppervlakte;Hoogland;4130
445;Totale oppervlakte;Hoogvliet;765
446;Totale oppervlakte;Hoogwoud;2344
447;Totale oppervlakte;Hoorn;678
448;Totale oppervlakte;Hoornaar;545
449;Totale oppervlakte;Horn;1150
450;Totale oppervlakte;Horssen;1190
451;Totale oppervlakte;Horst;8000
452;Totale oppervlakte;Houten;3440
453;Totale oppervlakte;Houthem;888
454;Totale oppervlakte;Huijbergen;1060
455;Totale oppervlakte;Huissen;2090
456;Totale oppervlakte;Huizen;1538
457;Totale oppervlakte;Hulsberg;999
458;Totale oppervlakte;Hulst;189
459;Totale oppervlakte;Hummelo en Keppel;4818
460;Totale oppervlakte;Hunsel;2426
461;Totale oppervlakte;Hurwenen;642
462;Totale oppervlakte;Idaarderadeel;6850
463;Totale oppervlakte;Ilpendam;2915
464;Totale oppervlakte;Itteren;444
465;Totale oppervlakte;Ittervoort;420
466;Totale oppervlakte;Jaarsveld;1307
467;Totale oppervlakte;Jabeek;396
468;Totale oppervlakte;Janssteen (St.);2813
469;Totale oppervlakte;Jisp;1014
470;Totale oppervlakte;Jutphaas;2576
471;Totale oppervlakte;Kamerik;2947
472;Totale oppervlakte;Kampen;7710
473;Totale oppervlakte;Kamperveen;2250
474;Totale oppervlakte;Kantens;3292
475;Totale oppervlakte;Kapelle;1898
476;Totale oppervlakte;Kats;3366
477;Totale oppervlakte;Kattendijke;2400
478;Totale oppervlakte;Katwijk;1185
479;Totale oppervlakte;Katwoude;696
480;Totale oppervlakte;Kedichem;999
481;Totale oppervlakte;Kerkrade;1840
482;Totale oppervlakte;Kerkwerve;2031
483;Totale oppervlakte;Kerkwijk;1346
484;Totale oppervlakte;Kessel;2222
485;Totale oppervlakte;Kesteren;1705
486;Totale oppervlakte;Kethel en Spaland;1216
487;Totale oppervlakte;Klaaswaal;1454
488;Totale oppervlakte;Klimmen;789
489;Totale oppervlakte;Kloetinge;1599
490;Totale oppervlakte;Kloosterburen;2823
491;Totale oppervlakte;Klundert;4634
492;Totale oppervlakte;Kockengen;701
493;Totale oppervlakte;Koedijk;1024
494;Totale oppervlakte;Koewacht;2064
495;Totale oppervlakte;Kollumerland en Nieuwkruisland;8715
496;Totale oppervlakte;Koog aan de Zaan;321
497;Totale oppervlakte;Kortenhoef;1487
498;Totale oppervlakte;Kortgene;1645
499;Totale oppervlakte;Koudekerk;1017
500;Totale oppervlakte;Koudekerke;1952
501;Totale oppervlakte;Krabbendijke;3333
502;Totale oppervlakte;Krimpen aan de Lek;792
503;Totale oppervlakte;Krimpen aan den IJssel;827
504;Totale oppervlakte;Krommenie;413
505;Totale oppervlakte;Kruiningen;4421
506;Totale oppervlakte;Kruis (St.);2136
507;Totale oppervlakte;Kuinre;810
508;Totale oppervlakte;Kwadijk;655
509;Totale oppervlakte;Laag-Nieuwkoop;678
510;Totale oppervlakte;Landsmeer;1823
511;Totale oppervlakte;Langbroek;1791
512;Totale oppervlakte;Lange Ruige Weide;1040
513;Totale oppervlakte;Langerak;1148
514;Totale oppervlakte;Laren (Gld.);10766
515;Totale oppervlakte;Laren (NH.);1246
516;Totale oppervlakte;Laurens (St.);1029
517;Totale oppervlakte;Leek;6686
518;Totale oppervlakte;Leende;4145
519;Totale oppervlakte;Leens;3699
520;Totale oppervlakte;Leerbroek;1137
521;Totale oppervlakte;Leerdam;1767
522;Totale oppervlakte;Leersum;3009
523;Totale oppervlakte;Leeuwarden;1667
524;Totale oppervlakte;Leeuwarderadeel;8930
525;Totale oppervlakte;Leiden;1252
526;Totale oppervlakte;Leiderdorp;1180
527;Totale oppervlakte;Leimuiden;1451
528;Totale oppervlakte;Lekkerkerk;2383
529;Totale oppervlakte;Lekkerland (Nieuw-);1260
530;Totale oppervlakte;Lemsterland;7953
531;Totale oppervlakte;Leusden;4697
532;Totale oppervlakte;Lexmond;2258
533;Totale oppervlakte;Lichtenvoorde;7345
534;Totale oppervlakte;Liempde;1918
535;Totale oppervlakte;Lienden;3957
536;Totale oppervlakte;Lier (de);910
537;Totale oppervlakte;Lierop;2308
538;Totale oppervlakte;Lieshout;2531
539;Totale oppervlakte;Limbricht;913
540;Totale oppervlakte;Limmen;1251
541;Totale oppervlakte;Linden;1025
542;Totale oppervlakte;Linne;1510
543;Totale oppervlakte;Linschoten;2728
544;Totale oppervlakte;Lisse;1596
545;Totale oppervlakte;Lith;1081
546;Totale oppervlakte;Lithoijen;1058
547;Totale oppervlakte;Lochem;2133
548;Totale oppervlakte;Loenen;1004
549;Totale oppervlakte;Loenersloot;628
550;Totale oppervlakte;Lonneker;14226
551;Totale oppervlakte;Loon op Zand;5214
552;Totale oppervlakte;Loosdrecht;3134
553;Totale oppervlakte;Lopik;2030
554;Totale oppervlakte;Loppersum;2734
555;Totale oppervlakte;Losser;11211
556;Totale oppervlakte;Luijksgestel;2244
557;Totale oppervlakte;Maarheeze;5487
558;Totale oppervlakte;Maarn;2520
559;Totale oppervlakte;Maarssen;844
560;Totale oppervlakte;Maarsseveen;960
561;Totale oppervlakte;Maarten (St.);1419
562;Totale oppervlakte;Maartensdijk (St.);3254
563;Totale oppervlakte;Maartensdijk;3145
564;Totale oppervlakte;Maasbracht;1624
565;Totale oppervlakte;Maasbree;6983
566;Totale oppervlakte;Maasdam;798
567;Totale oppervlakte;Maashees en Overloon;3069
568;Totale oppervlakte;Maasland;4330
569;Totale oppervlakte;Maasniel;1537
570;Totale oppervlakte;Maassluis;225
571;Totale oppervlakte;Maastricht;3302
572;Totale oppervlakte;Made en Drimmelen;6849
573;Totale oppervlakte;Margraten;982
574;Totale oppervlakte;Markelo;9676
575;Totale oppervlakte;Marken;263
576;Totale oppervlakte;Marum;6228
577;Totale oppervlakte;Maurik;3954
578;Totale oppervlakte;Medemblik;886
579;Totale oppervlakte;Meeden;1690
580;Totale oppervlakte;Meerkerk;1530
581;Totale oppervlakte;Meerlo;2718
582;Totale oppervlakte;Meerssen;1158
583;Totale oppervlakte;Megen, Haren en Macharen;1606
584;Totale oppervlakte;Meijel;1882
585;Totale oppervlakte;Melick en Herkenbosch;3487
586;Totale oppervlakte;Meliskerke;700
587;Totale oppervlakte;Melissant;3321
588;Totale oppervlakte;Menaldumadeel;7784
589;Totale oppervlakte;Meppel;1068
590;Totale oppervlakte;Merkelbeek;456
591;Totale oppervlakte;Mesch;265
592;Totale oppervlakte;Mheer;894
593;Totale oppervlakte;Michielsgestel (St.);2226
594;Totale oppervlakte;Middelburg;1372
595;Totale oppervlakte;Middelharnis;2055
596;Totale oppervlakte;Middelie;825
597;Totale oppervlakte;Middelstum;2514
598;Totale oppervlakte;Midwolda;4097
599;Totale oppervlakte;Midwoud;1204
600;Totale oppervlakte;Mierlo;3461
601;Totale oppervlakte;Mijdrecht;3023
602;Totale oppervlakte;Mijnsheerenland;1763
603;Totale oppervlakte;Mill en Sint Hubert;4026
604;Totale oppervlakte;Millingen;1061
605;Totale oppervlakte;Moercapelle;724
606;Totale oppervlakte;Moergestel;2798
607;Totale oppervlakte;Molenaarsgraaf;748
608;Totale oppervlakte;Monnikendam;1279
609;Totale oppervlakte;Monster;1526
610;Totale oppervlakte;Montfoort;140
611;Totale oppervlakte;Montfort;989
612;Totale oppervlakte;Mook en Middelaar;1877
613;Totale oppervlakte;Moordrecht;1477
614;Totale oppervlakte;Muiden;3036
615;Totale oppervlakte;Munstergeleen;444
616;Totale oppervlakte;Muntendam;2106
617;Totale oppervlakte;Naaldwijk;2591
618;Totale oppervlakte;Naarden;2117
619;Totale oppervlakte;Nederhemert;777
620;Totale oppervlakte;Nederhorst den Berg;1458
621;Totale oppervlakte;Nederweert;9444
622;Totale oppervlakte;Neede;4593
623;Totale oppervlakte;Neer;2192
624;Totale oppervlakte;Neeritter;425
625;Totale oppervlakte;Neuzen;6543
626;Totale oppervlakte;Nibbixwoud;1035
627;Totale oppervlakte;Nieuw- en Sint Joosland;1706
628;Totale oppervlakte;Nieuwe Pekela;3107
629;Totale oppervlakte;Nieuwenhagen;709
630;Totale oppervlakte;Nieuwenhoorn;1877
631;Totale oppervlakte;Nieuwe-Niedorp;1615
632;Totale oppervlakte;Nieuwer-Amstel;4380
