ID;Periods;VolumeIndexFiguresConstruction_1;VolumeYearOnYearChangeConstruction_2
90;2010 May;104.6;-12.5
91;2010 June;116.8;-6.0
92;2010 2nd quarter;113.0;-10.2
93;2010 July;93.5;-10.8
94;2010 August;60.8;-2.7
95;2010 September;117.1;-10.3
96;2010 3rd quarter;90.5;-8.9
97;2010 October;112.1;-9.3
98;2010 November;109.6;-1.5
99;2010 December;67.7;-10.2
100;2010 4th quarter;96.5;-6.7
101;2010;100.7;-10.8
102;2011 January;102.9;9.0
103;2011 February;111.5;14.8
104;2011 March;119.3;2.2
105;2011 1st quarter;111.3;8.3
106;2011 April;114.4;-2.6
107;2011 May;117.5;12.3
108;2011 June;105.3;-9.8
109;2011 2nd quarter;112.4;-0.5
110;2011 July;88.0;-5.9
111;2011 August;60.4;-0.6
112;2011 September;118.3;1.0
113;2011 3rd quarter;88.9;-1.7
114;2011 October;105.2;-6.1
115;2011 November;105.5;-3.7
116;2011 December;70.5;4.1
117;2011 4th quarter;93.7;-2.8
118;2011;101.6;0.9
119;2012 January;95.0;-7.7
120;2012 February;96.1;-13.8
121;2012 March;107.0;-10.3
122;2012 1st quarter;99.4;-10.7
123;2012 April;105.5;-7.8
124;2012 May;103.6;-11.8
125;2012 June;104.8;-0.5
126;2012 2nd quarter;104.6;-6.9
127;2012 July;82.0;-6.8
128;2012 August;59.7;-1.1
129;2012 September;106.7;-9.8
130;2012 3rd quarter;82.8;-6.8
131;2012 October;101.0;-4.1
132;2012 November;98.1;-7.0
133;2012 December;60.3;-14.6
134;2012 4th quarter;86.5;-7.8
135;2012;93.3;-8.1
136;2013 January;87.4;-8.0
137;2013 February;86.8;-9.7
138;2013 March;95.3;-11.0
139;2013 1st quarter;89.8;-9.6
140;2013 April;98.3;-6.8
141;2013 May;98.1;-5.3
142;2013 June;96.9;-7.5
143;2013 2nd quarter;97.8;-6.5
144;2013 July;79.0;-3.7
145;2013 August;56.5;-5.3
146;2013 September;100.7;-5.6
147;2013 October;103.5;2.5
148;2013 3rd quarter;78.8;-4.9
149;2013 November;95.7;-2.5
150;2013 December;63.3;5.0
151;2013 4th quarter;87.5;1.2
152;2013;88.5;-5.2
153;2014 January;95.8;9.7
154;2014 February;96.7;11.4
155;2014 March;95.0;-0.4
156;2014 1st quarter;95.8;6.7
157;2014 April;104.5;6.2
158;2014 May;97.9;-0.2
159;2014 June;95.3;-1.7
160;2014 2nd quarter;99.2;1.5
161;2014 July;82.8;4.8
162;2014 August;51.3;-9.3
163;2014 September;101.8;1.1
164;2014 3rd quarter;78.6;-0.2
165;2014 October;114.3;10.4
166;2014 November;102.7;7.3
167;2014 December;70.1;10.8
168;2014 4th quarter;95.7;9.4
169;2014;92.3;4.4
170;2015 January;101.1;5.5
171;2015 February;101.1;4.5
172;2015 March;111.2;17.1
173;2015 1st quarter;104.4;9.0
174;2015 April;109.7;5.1
175;2015 May;104.3;6.5
176;2015 June;120.7;26.7
177;2015 2nd quarter;111.6;12.4
178;2015 July;89.5;8.1
179;2015 August;57.2;11.5
180;2015 September;111.3;9.3
181;2015 3rd quarter;86.0;9.4
182;2015 October;113.5;-0.7
183;2015 November;108.3;5.5
184;2015 December;72.2;3.0
185;2015 4th quarter;98.0;2.4
186;2015;100.0;8.3
187;2016 January;107.8;6.7
188;2016 February;113.1;11.9
189;2016 March;116.3;4.6
190;2016 1st quarter;112.4;7.6
191;2016 April;118.8;8.3
192;2016 May;111.7;7.2
193;2016 June;120.7;0.0
194;2016 2nd quarter;117.1;4.9
195;2016 July;101.4;13.3
196;2016 August;62.4;9.2
197;2016 September;120.3;8.1
198;2016 3rd quarter;94.7;10.1
199;2016 October;120.6;6.2
200;2016 November;119.2;10.0
201;2016 December;79.8;10.5
202;2016 4th quarter;106.5;8.7
203;2016;107.7;7.7
204;2017 January;108.7;0.8
205;2017 February;116.8;3.3
206;2017 March;131.0;12.7
207;2017 1st quarter;118.8;5.7
208;2017 April;119.5;0.5
209;2017 May;126.8;13.5
210;2017 June;126.8;5.1
211;2017 2nd quarter ;124.3;6.2
212;2017 July;105.2;3.8
213;2017 August;66.6;6.7
214;2017 September;123.4;2.6
215;2017 3rd quarter ;98.4;3.9
216;2017 October;128.3;6.4
217;2017 November ;128.5;7.8
218;2017 December;82.5;3.3
219;2017 4th quarter;113.1;6.2
220;2017 ;113.7;5.6
221;2018 January;120.6;10.9
222;2018 February;125.7;7.6
223;2018 March;132.1;0.8
224;2018 1st quarter ;126.1;6.1
225;2018 April ;135.0;13.0
