ID;Geslacht;Leeftijd;Nationaliteit;Perioden;TotaalAsielverzoeken_1;EersteAsielverzoeken_2
24;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2008 2e kwartaal;3555;3110
25;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2008 juli;1445;1270
26;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2008 augustus;1445;1290
27;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2008 september;1615;1445
28;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2008 3e kwartaal;4505;4005
29;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2008 oktober;1650;1440
30;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2008 november;1255;1110
31;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2008 december;1175;1080
32;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2008 4e kwartaal;4080;3630
33;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2008;15275;13400
34;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2009 januari;1300;1170
35;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2009 februari;1280;1145
36;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2009 maart;1390;1305
37;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2009 1e kwartaal;3970;3625
38;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2009 april;1340;1235
39;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2009 mei;1110;1020
40;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2009 juni;1325;1215
41;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2009 2e kwartaal;3775;3470
42;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2009 juli;1265;1170
43;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2009 augustus;1150;1035
44;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2009 september;1430;1325
45;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2009 3e kwartaal;3845;3530
46;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2009 oktober;1655;1575
47;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2009 november;1570;1470
48;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2009 december;1345;1240
49;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2009 4e kwartaal;4570;4280
50;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2009;16160;14905
51;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2010 januari;1430;1300
52;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2010 februari;1260;1155
53;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2010 maart;1495;1345
54;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2010 1e kwartaal;4190;3805
55;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2010 april;1125;950
56;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2010 mei;895;755
57;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2010 juni;1085;895
58;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2010 2e kwartaal;3105;2600
59;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2010 juli;870;830
60;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2010 augustus;1185;1060
61;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2010 september;1455;1245
62;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2010 3e kwartaal;3510;3135
63;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2010 oktober;1540;1315
64;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2010 november;1615;1435
65;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2010 december;1200;1050
66;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2010 4e kwartaal;4350;3800
67;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2010;15155;13335
68;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2011 januari;1260;1050
69;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2011 februari;1095;920
70;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2011 maart;1160;895
71;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2011 1e kwartaal;3510;2860
72;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2011 april;1095;820
73;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2011 mei;1300;1050
74;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2011 juni;1215;980
75;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2011 2e kwartaal;3610;2845
76;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2011 juli;1245;1015
77;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2011 augustus;1350;1055
78;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2011 september;1300;1015
79;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2011 3e kwartaal;3895;3085
80;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2011 oktober;1280;1050
81;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2011 november;1270;955
82;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2011 december;1065;790
83;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2011 4e kwartaal;3615;2795
84;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2011;14630;11590
85;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2012 januari;1340;935
86;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2012 februari;1265;900
87;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2012 maart;1155;835
88;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2012 1e kwartaal;3760;2675
89;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2012 april;930;670
90;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2012 mei;880;615
91;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2012 juni;925;650
92;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2012 2e kwartaal;2735;1930
93;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2012 juli;980;720
94;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2012 augustus;1015;790
95;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2012 september;1040;720
96;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2012 3e kwartaal;3030;2230
97;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2012 oktober;1365;1040
98;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2012 november;1160;905
99;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2012 december;1115;940
100;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2012 4e kwartaal;3640;2880
101;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2012;13170;9715
102;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2013 januari;1060;735
103;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2013 februari;945;675
104;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2013 maart;985;695
105;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2013 1e kwartaal;2990;2105
106;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2013 april;940;690
107;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2013 mei;885;615
108;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2013 juni;990;705
109;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2013 2e kwartaal ;2815;2005
110;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2013 juli;1065;765
111;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2013 augustus;1010;740
112;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2013 september;1235;1025
113;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2013 3e kwartaal;3310;2530
114;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2013 oktober;1510;1185
115;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2013 november;1290;1055
116;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2013 december;1180;960
117;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2013 4e kwartaal;3985;3200
118;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2013;13095;9840
119;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2014 januari;1490;1380
120;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2014 februari;1110;910
121;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2014 maart;1160;960
122;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2014 1e kwartaal;3760;3255
123;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2014 april;2430;2225
124;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2014 mei;3445;3260
125;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2014 juni;1940;1700
126;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2014 2e kwartaal;7815;7185
127;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2014 juli;2260;2000
128;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2014 augustus;2410;2125
129;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2014 september;3120;2865
130;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2014 3e kwartaal;7795;6985
131;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2014 oktober;2250;1905
132;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2014 november;1455;1255
133;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2014 december;1460;1230
134;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2014 4e kwartaal;5165;4385
135;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2014;24535;21810
136;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2015 januari;1060;895
137;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2015 februari;960;735
138;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2015 maart;990;805
139;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2015 1e kwartaal;3010;2435
140;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2015 april;1320;1140
141;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2015 mei;2375;2250
142;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2015 juni;3060;2925
143;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2015 2e kwartaal;6735;6275
144;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2015 juli;3145;2980
145;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2015 augustus;5470;5330
146;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2015 september;6625;6435
147;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2015 3e kwartaal;15240;14745
148;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2015 oktober;10135;9980
149;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2015 november;6375;6240
150;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2015 december;3520;3380
151;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2015 4e kwartaal;20030;19600
152;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2015;45035;43095
153;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2016 januari;2670;2550
154;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2007 januari;60;35
155;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2007 februari;45;15
156;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2007 maart;40;10
157;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2007 1e kwartaal;140;60
158;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2007 april;45;15
159;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2007 mei;50;10
160;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2007 juni;65;25
161;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2007 2e kwartaal;160;50
162;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2007 juli;45;5
163;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2007 augustus;40;20
164;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2007 september;45;20
165;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2007 3e kwartaal;130;45
166;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2007 oktober;40;10
167;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2007 november;35;10
168;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2007 december;15;10
169;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2007 4e kwartaal;85;30
170;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2007;520;190
171;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2008 januari;55;15
172;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2008 februari;55;30
173;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2008 maart;30;10
174;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2008 1e kwartaal;140;55
175;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2008 april;45;15
176;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2008 mei;35;20
177;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2008 juni;55;30
178;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2008 2e kwartaal;135;60
179;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2008 juli;60;20
180;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2008 augustus;65;35
181;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2008 september;50;35
182;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2008 3e kwartaal;175;90
183;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2008 oktober;100;60
184;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2008 november;70;50
185;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2008 december;85;80
186;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2008 4e kwartaal;255;190
187;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2008;705;395
188;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2009 januari;110;95
189;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2009 februari;140;130
190;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2009 maart;145;135
191;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2009 1e kwartaal;395;360
192;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2009 april;135;125
193;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2009 mei;90;85
194;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2009 juni;95;80
195;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2009 2e kwartaal;320;285
196;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2009 juli;70;65
197;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2009 augustus;95;80
198;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2009 september;90;80
199;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2009 3e kwartaal;255;225
200;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2009 oktober;125;120
201;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2009 november;140;140
202;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2009 december;165;150
203;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2009 4e kwartaal;430;410
204;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2009;1400;1280
205;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2010 januari;215;200
206;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2010 februari;130;125
207;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2010 maart;135;125
208;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2010 1e kwartaal;485;455
209;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2010 april;90;65
210;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2010 mei;80;60
211;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2010 juni;110;95
212;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2010 2e kwartaal;280;220
213;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2010 juli;70;70
214;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2010 augustus;95;85
215;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2010 september;170;145
216;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2010 3e kwartaal;340;300
217;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2010 oktober;145;110
218;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2010 november;195;160
219;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2010 december;145;125
220;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2010 4e kwartaal;485;395
221;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2010;1585;1365
222;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2011 januari;115;95
223;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2011 februari;135;120
224;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2011 maart;190;155
225;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2011 1e kwartaal;440;365
226;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2011 april;165;145
227;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2011 mei;190;150
228;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2011 juni;240;195
229;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2011 2e kwartaal;595;490
230;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2011 juli;250;210
231;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2011 augustus;265;200
232;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2011 september;220;170
233;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2011 3e kwartaal;740;575
234;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2011 oktober;245;195
235;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2011 november;225;160
236;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2011 december;145;95
237;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2011 4e kwartaal;620;450
238;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2011;2395;1885
239;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2012 januari;190;120
240;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2012 februari;150;105
241;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2012 maart;185;135
242;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2012 1e kwartaal;525;355
243;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2012 april;160;100
244;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2012 mei;130;75
245;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2012 juni;125;80
246;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2012 2e kwartaal;420;250
247;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2012 juli;135;75
248;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2012 augustus;110;65
249;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2012 september;90;55
250;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2012 3e kwartaal;340;195
251;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2012 oktober;145;90
252;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2012 november;105;65
253;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2012 december;90;65
254;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2012 4e kwartaal;340;220
255;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2012;1620;1025
256;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2013 januari;120;50
257;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2013 februari;105;40
258;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2013 maart;130;40
259;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2013 1e kwartaal;355;135
260;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2013 april;130;55
261;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2013 mei;130;30
262;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2013 juni;120;25
263;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2013 2e kwartaal ;380;110
264;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2013 juli;140;50
265;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2013 augustus;90;25
266;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;300;2013 september;105;30
