ID;CompanySize;SectorBranchesSIC2008;Periods;EmployedPersons_1;YearsOfWork_2;ExpenditureRDOnInHouseActivities_3;EnterprisesWithInHouseRDActivities_4
69;Total;10 Manufacture of food products;2022;3934.0;3130.0;361.0;
70;Total;11 Manufacture of beverages;2013;;;;10.0
71;Total;11 Manufacture of beverages;2014;;;;10.0
72;Total;11 Manufacture of beverages;2015;;;;15.0
73;Total;11 Manufacture of beverages;2016;133.0;84.0;10.0;15.0
74;Total;11 Manufacture of beverages;2017;130.0;84.0;13.0;15.0
75;Total;11 Manufacture of beverages;2018;119.0;88.0;10.0;10.0
76;Total;11 Manufacture of beverages;2019;106.0;86.0;10.0;10.0
77;Total;11 Manufacture of beverages;2020;105.0;84.0;10.0;15.0
78;Total;11 Manufacture of beverages;2021;115.0;88.0;9.0;20.0
79;Total;11 Manufacture of beverages;2022;;;;
80;Total;12 Manufacture of tobacco products;2013;38.0;22.0;3.0;5.0
81;Total;12 Manufacture of tobacco products;2014;37.0;20.0;3.0;5.0
82;Total;12 Manufacture of tobacco products;2015;43.0;21.0;2.0;5.0
83;Total;12 Manufacture of tobacco products;2016;51.0;22.0;2.0;5.0
84;Total;12 Manufacture of tobacco products;2017;47.0;21.0;2.0;5.0
85;Total;12 Manufacture of tobacco products;2018;41.0;22.0;2.0;5.0
86;Total;12 Manufacture of tobacco products;2019;37.0;21.0;2.0;5.0
87;Total;12 Manufacture of tobacco products;2020;19.0;10.0;1.0;5.0
88;Total;12 Manufacture of tobacco products;2021;17.0;9.0;1.0;5.0
89;Total;12 Manufacture of tobacco products;2022;;;;
90;Total;13-15 Man. of textile-, leatherproducts;2013;514.0;291.0;25.0;120.0
91;Total;13-15 Man. of textile-, leatherproducts;2014;461.0;280.0;25.0;125.0
92;Total;13-15 Man. of textile-, leatherproducts;2015;446.0;232.0;20.0;100.0
93;Total;13-15 Man. of textile-, leatherproducts;2016;450.0;248.0;22.0;100.0
94;Total;13-15 Man. of textile-, leatherproducts;2017;481.0;297.0;30.0;90.0
95;Total;13-15 Man. of textile-, leatherproducts;2018;527.0;342.0;26.0;110.0
96;Total;13-15 Man. of textile-, leatherproducts;2019;510.0;330.0;32.0;105.0
97;Total;13-15 Man. of textile-, leatherproducts;2020;559.0;337.0;34.0;100.0
98;Total;13-15 Man. of textile-, leatherproducts;2021;527.0;353.0;35.0;110.0
99;Total;13-15 Man. of textile-, leatherproducts;2022;511.0;339.0;37.0;
100;Total;13 Manufacture of textiles;2013;376.0;206.0;16.0;95.0
101;Total;13 Manufacture of textiles;2014;311.0;176.0;14.0;95.0
102;Total;13 Manufacture of textiles;2015;328.0;153.0;12.0;70.0
103;Total;13 Manufacture of textiles;2016;325.0;170.0;14.0;75.0
104;Total;13 Manufacture of textiles;2017;375.0;220.0;22.0;70.0
105;Total;13 Manufacture of textiles;2018;392.0;250.0;19.0;85.0
106;Total;13 Manufacture of textiles;2019;359.0;230.0;21.0;75.0
107;Total;13 Manufacture of textiles;2020;427.0;243.0;23.0;75.0
108;Total;13 Manufacture of textiles;2021;372.0;249.0;24.0;80.0
109;Total;13 Manufacture of textiles;2022;349.0;223.0;26.0;
110;Total;14 Manufacture of wearing apparel;2013;32.0;16.0;1.0;10.0
111;Total;14 Manufacture of wearing apparel;2014;23.0;13.0;1.0;10.0
112;Total;14 Manufacture of wearing apparel;2015;23.0;9.0;0.0;5.0
113;Total;14 Manufacture of wearing apparel;2016;17.0;8.0;0.0;5.0
114;Total;14 Manufacture of wearing apparel;2017;;;;
115;Total;14 Manufacture of wearing apparel;2018;18.0;6.0;0.0;10.0
116;Total;14 Manufacture of wearing apparel;2019;28.0;9.0;1.0;10.0
117;Total;14 Manufacture of wearing apparel;2020;21.0;8.0;1.0;10.0
118;Total;14 Manufacture of wearing apparel;2021;19.0;6.0;0.0;10.0
119;Total;14 Manufacture of wearing apparel;2022;30.0;11.0;1.0;
120;Total;15 Manufacture of leather and footwear;2013;106.0;69.0;8.0;15.0
121;Total;15 Manufacture of leather and footwear;2014;127.0;91.0;11.0;20.0
122;Total;15 Manufacture of leather and footwear;2015;95.0;69.0;7.0;25.0
123;Total;15 Manufacture of leather and footwear;2016;108.0;70.0;7.0;20.0
124;Total;15 Manufacture of leather and footwear;2017;;;;15.0
125;Total;15 Manufacture of leather and footwear;2018;118.0;87.0;7.0;20.0
126;Total;15 Manufacture of leather and footwear;2019;123.0;91.0;11.0;20.0
127;Total;15 Manufacture of leather and footwear;2020;112.0;86.0;10.0;15.0
128;Total;15 Manufacture of leather and footwear;2021;136.0;98.0;11.0;20.0
129;Total;15 Manufacture of leather and footwear;2022;132.0;105.0;10.0;
130;Total;16+23 Man of wooden and buildingmaterial;2013;1036.0;333.0;21.0;240.0
131;Total;16+23 Man of wooden and buildingmaterial;2014;840.0;301.0;19.0;245.0
132;Total;16+23 Man of wooden and buildingmaterial;2015;927.0;357.0;23.0;215.0
133;Total;16+23 Man of wooden and buildingmaterial;2016;944.0;353.0;24.0;205.0
134;Total;16+23 Man of wooden and buildingmaterial;2017;772.0;315.0;21.0;155.0
135;Total;16+23 Man of wooden and buildingmaterial;2018;760.0;341.0;25.0;180.0
136;Total;16+23 Man of wooden and buildingmaterial;2019;712.0;303.0;26.0;165.0
137;Total;16+23 Man of wooden and buildingmaterial;2020;801.0;381.0;29.0;160.0
138;Total;16+23 Man of wooden and buildingmaterial;2021;842.0;352.0;29.0;185.0
139;Total;16+23 Man of wooden and buildingmaterial;2022;1071.0;500.0;39.0;
140;Total;16 Manufacture of wood products;2013;232.0;85.0;4.0;85.0
141;Total;16 Manufacture of wood products;2014;210.0;73.0;3.0;85.0
142;Total;16 Manufacture of wood products;2015;311.0;89.0;5.0;90.0
143;Total;16 Manufacture of wood products;2016;415.0;117.0;7.0;105.0
144;Total;16 Manufacture of wood products;2017;339.0;90.0;4.0;65.0
145;Total;16 Manufacture of wood products;2018;304.0;97.0;5.0;80.0
146;Total;16 Manufacture of wood products;2019;308.0;88.0;6.0;80.0
147;Total;16 Manufacture of wood products;2020;243.0;111.0;6.0;70.0
148;Total;16 Manufacture of wood products;2021;222.0;81.0;5.0;65.0
149;Total;16 Manufacture of wood products;2022;377.0;131.0;8.0;
150;Total;17-18 Manufacture of paper and printing;2013;775.0;418.0;27.0;150.0
151;Total;17-18 Manufacture of paper and printing;2014;699.0;401.0;29.0;135.0
152;Total;17-18 Manufacture of paper and printing;2015;893.0;492.0;31.0;170.0
153;Total;17-18 Manufacture of paper and printing;2016;903.0;510.0;45.0;155.0
154;Total;17-18 Manufacture of paper and printing;2017;939.0;524.0;33.0;155.0
155;Total;17-18 Manufacture of paper and printing;2018;1012.0;583.0;37.0;180.0
156;Total;17-18 Manufacture of paper and printing;2019;849.0;440.0;45.0;150.0
157;Total;17-18 Manufacture of paper and printing;2020;836.0;443.0;46.0;125.0
158;Total;17-18 Manufacture of paper and printing;2021;865.0;470.0;37.0;140.0
159;Total;17-18 Manufacture of paper and printing;2022;646.0;426.0;34.0;
160;Total;17 Manufacture of paper;2013;558.0;317.0;22.0;95.0
161;Total;17 Manufacture of paper;2014;504.0;311.0;23.0;95.0
162;Total;17 Manufacture of paper;2015;541.0;314.0;20.0;90.0
163;Total;17 Manufacture of paper;2016;634.0;354.0;36.0;80.0
164;Total;17 Manufacture of paper;2017;591.0;365.0;25.0;70.0
165;Total;17 Manufacture of paper;2018;609.0;387.0;28.0;80.0
166;Total;17 Manufacture of paper;2019;609.0;326.0;37.0;85.0
167;Total;17 Manufacture of paper;2020;648.0;338.0;39.0;70.0
168;Total;17 Manufacture of paper;2021;659.0;370.0;29.0;70.0
169;Total;17 Manufacture of paper;2022;488.0;315.0;26.0;
170;Total;18 Printing and reproduction;2013;217.0;102.0;5.0;55.0
171;Total;18 Printing and reproduction;2014;195.0;90.0;6.0;40.0
172;Total;18 Printing and reproduction;2015;352.0;179.0;11.0;80.0
173;Total;18 Printing and reproduction;2016;270.0;156.0;9.0;75.0
174;Total;18 Printing and reproduction;2017;348.0;158.0;8.0;90.0
175;Total;18 Printing and reproduction;2018;402.0;196.0;9.0;100.0
176;Total;18 Printing and reproduction;2019;239.0;114.0;8.0;65.0
177;Total;18 Printing and reproduction;2020;188.0;105.0;7.0;55.0
178;Total;18 Printing and reproduction;2021;207.0;100.0;7.0;70.0
179;Total;18 Printing and reproduction;2022;158.0;110.0;7.0;
180;Total;19-22 Refineries and chemistry;2013;9760.0;7802.0;1164.0;720.0
181;Total;19-22 Refineries and chemistry;2014;9551.0;7469.0;1147.0;660.0
182;Total;19-22 Refineries and chemistry;2015;9471.0;7555.0;1127.0;680.0
183;Total;19-22 Refineries and chemistry;2016;9607.0;7768.0;1108.0;610.0
184;Total;19-22 Refineries and chemistry;2017;9823.0;8009.0;1152.0;640.0
185;Total;19-22 Refineries and chemistry;2018;9876.0;8099.0;1143.0;620.0
186;Total;19-22 Refineries and chemistry;2019;9746.0;8012.0;1138.0;625.0
187;Total;19-22 Refineries and chemistry;2020;9133.0;7586.0;1207.0;575.0
188;Total;19-22 Refineries and chemistry;2021;8825.0;7528.0;1186.0;540.0
189;Total;19-22 Refineries and chemistry;2022;9922.0;8287.0;1306.0;
190;Total;19 Manufacture of coke and petroleum;2013;;;;10.0
191;Total;19 Manufacture of coke and petroleum;2014;;;;
192;Total;19 Manufacture of coke and petroleum;2015;;;;10.0
193;Total;19 Manufacture of coke and petroleum;2016;;;;
194;Total;19 Manufacture of coke and petroleum;2017;;;;
195;Total;19 Manufacture of coke and petroleum;2018;;;;
196;Total;19 Manufacture of coke and petroleum;2019;;;;
197;Total;19 Manufacture of coke and petroleum;2020;;;;
198;Total;19 Manufacture of coke and petroleum;2021;;;;
199;Total;19 Manufacture of coke and petroleum;2022;;;;
200;Total;20-21 Chemistry and pharmaceuticals;2013;7415.0;6158.0;807.0;345.0
201;Total;20-21 Chemistry and pharmaceuticals;2014;7264.0;5929.0;791.0;300.0
202;Total;20-21 Chemistry and pharmaceuticals;2015;7309.0;6072.0;795.0;325.0
203;Total;20-21 Chemistry and pharmaceuticals;2016;7535.0;6277.0;807.0;295.0
204;Total;20-21 Chemistry and pharmaceuticals;2017;7657.0;6454.0;830.0;325.0
205;Total;20-21 Chemistry and pharmaceuticals;2018;7762.0;6685.0;844.0;325.0
206;Total;20-21 Chemistry and pharmaceuticals;2019;7542.0;6512.0;829.0;325.0
207;Total;20-21 Chemistry and pharmaceuticals;2020;6920.0;5999.0;907.0;295.0
208;Total;20-21 Chemistry and pharmaceuticals;2021;6801.0;5967.0;888.0;280.0
209;Total;20-21 Chemistry and pharmaceuticals;2022;7364.0;6308.0;932.0;
210;Total;20 Manufacture of chemicals;2013;5354.0;4449.0;519.0;280.0
211;Total;20 Manufacture of chemicals;2014;5212.0;4216.0;526.0;240.0
212;Total;20 Manufacture of chemicals;2015;5271.0;4305.0;526.0;260.0
213;Total;20 Manufacture of chemicals;2016;5446.0;4514.0;555.0;230.0
214;Total;20 Manufacture of chemicals;2017;5415.0;4511.0;545.0;260.0
215;Total;20 Manufacture of chemicals;2018;5414.0;4638.0;588.0;270.0
216;Total;20 Manufacture of chemicals;2019;5318.0;4515.0;565.0;270.0
217;Total;20 Manufacture of chemicals;2020;4728.0;4032.0;594.0;230.0
218;Total;20 Manufacture of chemicals;2021;4373.0;3818.0;565.0;215.0
219;Total;20 Manufacture of chemicals;2022;4689.0;3901.0;597.0;
220;Total;21 Manufacture of pharmaceuticals;2013;2061.0;1710.0;288.0;70.0
221;Total;21 Manufacture of pharmaceuticals;2014;2053.0;1714.0;265.0;60.0
222;Total;21 Manufacture of pharmaceuticals;2015;2038.0;1767.0;269.0;60.0
223;Total;21 Manufacture of pharmaceuticals;2016;2089.0;1763.0;253.0;65.0
224;Total;21 Manufacture of pharmaceuticals;2017;2242.0;1942.0;284.0;65.0
225;Total;21 Manufacture of pharmaceuticals;2018;2348.0;2047.0;256.0;55.0
226;Total;21 Manufacture of pharmaceuticals;2019;2224.0;1997.0;264.0;55.0
227;Total;21 Manufacture of pharmaceuticals;2020;2192.0;1967.0;313.0;60.0
228;Total;21 Manufacture of pharmaceuticals;2021;2427.0;2148.0;323.0;60.0
229;Total;21 Manufacture of pharmaceuticals;2022;2675.0;2407.0;334.0;
230;Total;22 Manufacture rubber, plastic products;2013;;;;360.0
231;Total;22 Manufacture rubber, plastic products;2014;;;;350.0
232;Total;22 Manufacture rubber, plastic products;2015;;;;345.0
233;Total;22 Manufacture rubber, plastic products;2016;;;;310.0
234;Total;22 Manufacture rubber, plastic products;2017;;;;310.0
235;Total;22 Manufacture rubber, plastic products;2018;;;;290.0
236;Total;22 Manufacture rubber, plastic products;2019;;;;295.0
237;Total;22 Manufacture rubber, plastic products;2020;;;;275.0
238;Total;22 Manufacture rubber, plastic products;2021;;;;255.0
239;Total;22 Manufacture rubber, plastic products;2022;;;;
240;Total;23 Manufacture of building materials;2013;804.0;248.0;17.0;160.0
241;Total;23 Manufacture of building materials;2014;630.0;227.0;16.0;155.0
242;Total;23 Manufacture of building materials;2015;616.0;268.0;18.0;125.0
243;Total;23 Manufacture of building materials;2016;528.0;237.0;17.0;95.0
244;Total;23 Manufacture of building materials;2017;433.0;225.0;17.0;90.0
245;Total;23 Manufacture of building materials;2018;455.0;244.0;20.0;105.0
246;Total;23 Manufacture of building materials;2019;404.0;215.0;20.0;85.0
247;Total;23 Manufacture of building materials;2020;558.0;270.0;23.0;90.0
248;Total;23 Manufacture of building materials;2021;620.0;271.0;24.0;120.0
249;Total;23 Manufacture of building materials;2022;694.0;370.0;31.0;
250;Total;24-30, 33 Metalectro;2013;37649.0;26755.0;3028.0;2700.0
251;Total;24-30, 33 Metalectro;2014;38056.0;26731.0;3125.0;2675.0
252;Total;24-30, 33 Metalectro;2015;39511.0;27588.0;3146.0;2550.0
253;Total;24-30, 33 Metalectro;2016;41686.0;29423.0;3380.0;2640.0
254;Total;24-30, 33 Metalectro;2017;40708.0;31462.0;3706.0;2610.0
255;Total;24-30, 33 Metalectro;2018;43191.0;33878.0;3908.0;2495.0
256;Total;24-30, 33 Metalectro;2019;43901.0;33884.0;4187.0;2605.0
257;Total;24-30, 33 Metalectro;2020;43955.0;34263.0;4454.0;2660.0
258;Total;24-30, 33 Metalectro;2021;45519.0;36107.0;4773.0;2570.0
259;Total;24-30, 33 Metalectro;2022;47848.0;38128.0;5609.0;
260;Total;24-25 Man. of basic metals and -products;2013;5181.0;2129.0;163.0;875.0
261;Total;24-25 Man. of basic metals and -products;2014;5181.0;2083.0;173.0;825.0
262;Total;24-25 Man. of basic metals and -products;2015;5861.0;2271.0;204.0;845.0
263;Total;24-25 Man. of basic metals and -products;2016;6776.0;2825.0;237.0;895.0
264;Total;24-25 Man. of basic metals and -products;2017;5747.0;2864.0;253.0;930.0
265;Total;24-25 Man. of basic metals and -products;2018;5692.0;3052.0;264.0;855.0
266;Total;24-25 Man. of basic metals and -products;2019;5536.0;2843.0;275.0;895.0
267;Total;24-25 Man. of basic metals and -products;2020;5572.0;2877.0;277.0;860.0
268;Total;24-25 Man. of basic metals and -products;2021;4911.0;2928.0;266.0;755.0
269;Total;24-25 Man. of basic metals and -products;2022;5447.0;2762.0;272.0;
270;Total;24 Manufacture of basic metals;2013;944.0;605.0;72.0;85.0
271;Total;24 Manufacture of basic metals;2014;931.0;582.0;76.0;80.0
272;Total;24 Manufacture of basic metals;2015;1057.0;601.0;82.0;70.0
273;Total;24 Manufacture of basic metals;2016;1061.0;706.0;86.0;65.0
274;Total;24 Manufacture of basic metals;2017;1145.0;742.0;95.0;75.0
275;Total;24 Manufacture of basic metals;2018;1144.0;745.0;102.0;75.0
276;Total;24 Manufacture of basic metals;2019;1029.0;659.0;86.0;65.0
277;Total;24 Manufacture of basic metals;2020;974.0;643.0;83.0;70.0
278;Total;24 Manufacture of basic metals;2021;976.0;692.0;84.0;60.0
279;Total;24 Manufacture of basic metals;2022;987.0;705.0;97.0;
280;Total;25 Manufacture of metal products;2013;4237.0;1524.0;91.0;795.0
281;Total;25 Manufacture of metal products;2014;4250.0;1500.0;97.0;745.0
282;Total;25 Manufacture of metal products;2015;4804.0;1671.0;122.0;775.0
283;Total;25 Manufacture of metal products;2016;5716.0;2118.0;152.0;835.0
284;Total;25 Manufacture of metal products;2017;4602.0;2122.0;158.0;855.0
285;Total;25 Manufacture of metal products;2018;4549.0;2307.0;162.0;780.0
286;Total;25 Manufacture of metal products;2019;4507.0;2184.0;189.0;830.0
287;Total;25 Manufacture of metal products;2020;4598.0;2234.0;194.0;790.0
288;Total;25 Manufacture of metal products;2021;3935.0;2236.0;182.0;695.0
289;Total;25 Manufacture of metal products;2022;4460.0;2057.0;175.0;
290;Total;26-28 Manufact of electronics, machinery;2013;27177.0;21067.0;2566.0;1305.0
291;Total;26-28 Manufact of electronics, machinery;2014;27435.0;21000.0;2656.0;1305.0
292;Total;26-28 Manufact of electronics, machinery;2015;28483.0;21842.0;2634.0;1220.0
293;Total;26-28 Manufact of electronics, machinery;2016;29449.0;23019.0;2830.0;1265.0
294;Total;26-28 Manufact of electronics, machinery;2017;29300.0;24842.0;3110.0;1250.0
295;Total;26-28 Manufact of electronics, machinery;2018;31857.0;27182.0;3307.0;1235.0
296;Total;26-28 Manufact of electronics, machinery;2019;32822.0;27521.0;3582.0;1285.0
297;Total;26-28 Manufact of electronics, machinery;2020;33139.0;27842.0;3871.0;1345.0
298;Total;26-28 Manufact of electronics, machinery;2021;34926.0;29311.0;4169.0;1370.0
299;Total;26-28 Manufact of electronics, machinery;2022;37308.0;31769.0;5013.0;
300;Total;26-27 Elektrical and electron. Industry;2013;11827.0;10011.0;1222.0;450.0
301;Total;26-27 Elektrical and electron. Industry;2014;11760.0;9924.0;1201.0;435.0
302;Total;26-27 Elektrical and electron. Industry;2015;12505.0;10693.0;1186.0;460.0
303;Total;26-27 Elektrical and electron. Industry;2016;12672.0;11014.0;1235.0;455.0
304;Total;26-27 Elektrical and electron. Industry;2017;13387.0;11663.0;1377.0;445.0
305;Total;26-27 Elektrical and electron. Industry;2018;13523.0;11845.0;1369.0;445.0
306;Total;26-27 Elektrical and electron. Industry;2019;13244.0;11588.0;1395.0;495.0
307;Total;26-27 Elektrical and electron. Industry;2020;13409.0;11867.0;1506.0;455.0
308;Total;26-27 Elektrical and electron. Industry;2021;13511.0;11761.0;1505.0;425.0
309;Total;26-27 Elektrical and electron. Industry;2022;13658.0;11778.0;1621.0;
310;Total;26 Manufacture of electronic products;2013;6078.0;5131.0;633.0;295.0
311;Total;26 Manufacture of electronic products;2014;6049.0;5090.0;662.0;275.0
312;Total;26 Manufacture of electronic products;2015;6437.0;5536.0;663.0;305.0
313;Total;26 Manufacture of electronic products;2016;6817.0;5923.0;713.0;305.0
314;Total;26 Manufacture of electronic products;2017;7323.0;6363.0;776.0;300.0
315;Total;26 Manufacture of electronic products;2018;7601.0;6603.0;805.0;300.0
316;Total;26 Manufacture of electronic products;2019;8175.0;7142.0;867.0;315.0
317;Total;26 Manufacture of electronic products;2020;7793.0;6870.0;871.0;320.0
318;Total;26 Manufacture of electronic products;2021;8539.0;7478.0;949.0;310.0
319;Total;26 Manufacture of electronic products;2022;9295.0;8227.0;1207.0;
320;Total;27 Manufacture of electric equipment;2013;5749.0;4880.0;589.0;155.0
321;Total;27 Manufacture of electric equipment;2014;5712.0;4835.0;538.0;160.0
322;Total;27 Manufacture of electric equipment;2015;6068.0;5156.0;522.0;155.0
323;Total;27 Manufacture of electric equipment;2016;5855.0;5092.0;522.0;150.0
324;Total;27 Manufacture of electric equipment;2017;6064.0;5300.0;600.0;145.0
325;Total;27 Manufacture of electric equipment;2018;5922.0;5242.0;564.0;145.0
326;Total;27 Manufacture of electric equipment;2019;5069.0;4446.0;528.0;180.0
327;Total;27 Manufacture of electric equipment;2020;5616.0;4997.0;635.0;135.0
328;Total;27 Manufacture of electric equipment;2021;4972.0;4283.0;556.0;115.0
329;Total;27 Manufacture of electric equipment;2022;4363.0;3551.0;414.0;
330;Total;28 Manufacture of machinery n.e.c.;2013;15350.0;11056.0;1344.0;850.0
331;Total;28 Manufacture of machinery n.e.c.;2014;15674.0;11075.0;1455.0;870.0
332;Total;28 Manufacture of machinery n.e.c.;2015;15978.0;11149.0;1449.0;760.0
333;Total;28 Manufacture of machinery n.e.c.;2016;16777.0;12005.0;1595.0;810.0
334;Total;28 Manufacture of machinery n.e.c.;2017;15913.0;13179.0;1734.0;805.0
335;Total;28 Manufacture of machinery n.e.c.;2018;18334.0;15337.0;1938.0;785.0
336;Total;28 Manufacture of machinery n.e.c.;2019;19578.0;15932.0;2186.0;790.0
337;Total;28 Manufacture of machinery n.e.c.;2020;19729.0;15975.0;2365.0;890.0
338;Total;28 Manufacture of machinery n.e.c.;2021;21415.0;17550.0;2664.0;940.0
339;Total;28 Manufacture of machinery n.e.c.;2022;23650.0;19992.0;3392.0;
340;Total;29-30 Transport equipment;2013;4358.0;3006.0;264.0;285.0
341;Total;29-30 Transport equipment;2014;4105.0;2948.0;255.0;305.0
342;Total;29-30 Transport equipment;2015;3990.0;2899.0;268.0;235.0
343;Total;29-30 Transport equipment;2016;3972.0;2961.0;273.0;220.0
344;Total;29-30 Transport equipment;2017;4297.0;3128.0;295.0;205.0
345;Total;29-30 Transport equipment;2018;4247.0;3129.0;300.0;210.0
346;Total;29-30 Transport equipment;2019;4197.0;3063.0;291.0;230.0
347;Total;29-30 Transport equipment;2020;3866.0;2834.0;254.0;230.0
348;Total;29-30 Transport equipment;2021;4571.0;3275.0;289.0;240.0
349;Total;29-30 Transport equipment;2022;3739.0;2837.0;256.0;
350;Total;29 Manufacture of cars and trailers;2013;2297.0;1713.0;158.0;150.0
351;Total;29 Manufacture of cars and trailers;2014;2199.0;1707.0;150.0;145.0
352;Total;29 Manufacture of cars and trailers;2015;2312.0;1870.0;177.0;120.0
353;Total;29 Manufacture of cars and trailers;2016;2464.0;2008.0;181.0;110.0
354;Total;29 Manufacture of cars and trailers;2017;2689.0;2113.0;201.0;95.0
355;Total;29 Manufacture of cars and trailers;2018;2523.0;2104.0;208.0;100.0
356;Total;29 Manufacture of cars and trailers;2019;2458.0;2051.0;209.0;110.0
357;Total;29 Manufacture of cars and trailers;2020;2086.0;1767.0;175.0;100.0
358;Total;29 Manufacture of cars and trailers;2021;2882.0;2278.0;215.0;105.0
359;Total;29 Manufacture of cars and trailers;2022;1983.0;1704.0;161.0;
