ID;AantalVoertuigenInHuishouden;Huishoudkenmerken;Perioden;HuishoudensInBezitVanAuto_1;HuishoudensInBezitVanAuto_2;HuishoudensInBezitVanMotor_3;HuishoudensInBezitVanMotor_4
54;Minimaal één voertuig;Huishoudensgrootte: 2 personen;2010;2002000;84.0;151900;6.4
55;Minimaal één voertuig;Huishoudensgrootte: 2 personen;2011;2029600;83.9;156400;6.5
56;Minimaal één voertuig;Huishoudensgrootte: 2 personen;2012;2061300;83.9;160900;6.6
57;Minimaal één voertuig;Huishoudensgrootte: 2 personen;2013;2078100;84.0;163900;6.6
58;Minimaal één voertuig;Huishoudensgrootte: 2 personen;2014;2094000;83.8;167000;6.7
59;Minimaal één voertuig;Huishoudensgrootte: 2 personen;2015;2108000;83.9;168200;6.7
60;Minimaal één voertuig;Huishoudensgrootte: 3 personen;2010;790900;87.3;86800;9.6
61;Minimaal één voertuig;Huishoudensgrootte: 3 personen;2011;791000;87.6;87000;9.6
62;Minimaal één voertuig;Huishoudensgrootte: 3 personen;2012;797300;87.7;88300;9.7
63;Minimaal één voertuig;Huishoudensgrootte: 3 personen;2013;800500;87.5;88600;9.7
64;Minimaal één voertuig;Huishoudensgrootte: 3 personen;2014;802400;87.2;88700;9.6
65;Minimaal één voertuig;Huishoudensgrootte: 3 personen;2015;805300;87.2;88300;9.6
66;Minimaal één voertuig;Huishoudensgrootte: 4 personen;2010;906900;93.4;109800;11.3
67;Minimaal één voertuig;Huishoudensgrootte: 4 personen;2011;907500;93.5;109800;11.3
68;Minimaal één voertuig;Huishoudensgrootte: 4 personen;2012;909700;93.6;109200;11.2
69;Minimaal één voertuig;Huishoudensgrootte: 4 personen;2013;906300;93.6;107600;11.1
70;Minimaal één voertuig;Huishoudensgrootte: 4 personen;2014;900200;93.4;104400;10.8
71;Minimaal één voertuig;Huishoudensgrootte: 4 personen;2015;897000;93.3;101500;10.6
72;Minimaal één voertuig;Huishoudensgrootte: 5 of meer personen;2010;395200;91.5;41200;9.6
73;Minimaal één voertuig;Huishoudensgrootte: 5 of meer personen;2011;382900;91.7;39900;9.6
74;Minimaal één voertuig;Huishoudensgrootte: 5 of meer personen;2012;381500;91.9;39400;9.5
75;Minimaal één voertuig;Huishoudensgrootte: 5 of meer personen;2013;376800;91.9;38300;9.3
76;Minimaal één voertuig;Huishoudensgrootte: 5 of meer personen;2014;369000;91.5;36700;9.1
77;Minimaal één voertuig;Huishoudensgrootte: 5 of meer personen;2015;366600;91.4;35600;8.9
78;Minimaal één voertuig;Gestandaardiseerd inkomen: 1e 20%-groep;2010;525600;38.1;32200;2.3
79;Minimaal één voertuig;Gestandaardiseerd inkomen: 1e 20%-groep;2011;541100;38.9;34300;2.5
80;Minimaal één voertuig;Gestandaardiseerd inkomen: 1e 20%-groep;2012;534500;38.2;32800;2.3
81;Minimaal één voertuig;Gestandaardiseerd inkomen: 1e 20%-groep;2013;543100;38.3;35000;2.5
82;Minimaal één voertuig;Gestandaardiseerd inkomen: 1e 20%-groep;2014;537300;38.2;34700;2.5
83;Minimaal één voertuig;Gestandaardiseerd inkomen: 1e 20%-groep;2015;540900;38.0;34700;2.4
84;Minimaal één voertuig;Gestandaardiseerd inkomen: 2e 20%-groep;2010;893500;61.5;53300;3.7
85;Minimaal één voertuig;Gestandaardiseerd inkomen: 2e 20%-groep;2011;896500;61.0;51700;3.5
86;Minimaal één voertuig;Gestandaardiseerd inkomen: 2e 20%-groep;2012;906000;61.3;52100;3.5
87;Minimaal één voertuig;Gestandaardiseerd inkomen: 2e 20%-groep;2013;909000;61.2;52900;3.6
88;Minimaal één voertuig;Gestandaardiseerd inkomen: 2e 20%-groep;2014;907600;61.0;51000;3.4
89;Minimaal één voertuig;Gestandaardiseerd inkomen: 2e 20%-groep;2015;907600;60.5;49300;3.3
90;Minimaal één voertuig;Gestandaardiseerd inkomen: 3e 20%-groep;2010;1166000;79.0;97500;6.6
91;Minimaal één voertuig;Gestandaardiseerd inkomen: 3e 20%-groep;2011;1175800;78.7;97300;6.5
92;Minimaal één voertuig;Gestandaardiseerd inkomen: 3e 20%-groep;2012;1191900;79.3;98000;6.5
93;Minimaal één voertuig;Gestandaardiseerd inkomen: 3e 20%-groep;2013;1196600;79.2;97600;6.5
94;Minimaal één voertuig;Gestandaardiseerd inkomen: 3e 20%-groep;2014;1202800;79.2;96000;6.3
95;Minimaal één voertuig;Gestandaardiseerd inkomen: 3e 20%-groep;2015;1210600;79.0;94300;6.2
96;Minimaal één voertuig;Gestandaardiseerd inkomen: 4e 20%-groep;2010;1302000;87.8;134500;9.1
97;Minimaal één voertuig;Gestandaardiseerd inkomen: 4e 20%-groep;2011;1317700;87.7;135700;9.0
98;Minimaal één voertuig;Gestandaardiseerd inkomen: 4e 20%-groep;2012;1331600;88.1;138000;9.1
99;Minimaal één voertuig;Gestandaardiseerd inkomen: 4e 20%-groep;2013;1337800;88.0;137000;9.0
100;Minimaal één voertuig;Gestandaardiseerd inkomen: 4e 20%-groep;2014;1345400;88.0;137900;9.0
101;Minimaal één voertuig;Gestandaardiseerd inkomen: 4e 20%-groep;2015;1357400;88.0;138100;9.0
102;Minimaal één voertuig;Gestandaardiseerd inkomen: 5e 20%-groep;2010;1375100;92.5;152600;10.3
103;Minimaal één voertuig;Gestandaardiseerd inkomen: 5e 20%-groep;2011;1390700;92.3;157100;10.4
104;Minimaal één voertuig;Gestandaardiseerd inkomen: 5e 20%-groep;2012;1406000;92.8;160200;10.6
105;Minimaal één voertuig;Gestandaardiseerd inkomen: 5e 20%-groep;2013;1416000;92.8;160800;10.5
106;Minimaal één voertuig;Gestandaardiseerd inkomen: 5e 20%-groep;2014;1425400;92.8;163200;10.6
107;Minimaal één voertuig;Gestandaardiseerd inkomen: 5e 20%-groep;2015;1437100;92.8;163700;10.6
108;Minimaal één voertuig;Gestandaardiseerd inkomen: onbekend;2010;12200;13.6;1000;1.1
109;Minimaal één voertuig;Gestandaardiseerd inkomen: onbekend;2011;13100;11.6;1100;1.0
110;Minimaal één voertuig;Gestandaardiseerd inkomen: onbekend;2012;11400;9.7;900;0.8
111;Minimaal één voertuig;Gestandaardiseerd inkomen: onbekend;2013;12700;10.5;1000;0.8
112;Minimaal één voertuig;Gestandaardiseerd inkomen: onbekend;2014;14300;11.6;1200;1.0
113;Minimaal één voertuig;Gestandaardiseerd inkomen: onbekend;2015;17800;13.4;1700;1.3
114;Minimaal één voertuig;Bron: 1 Inkomen uit arbeid;2010;3170300;80.9;337800;8.6
115;Minimaal één voertuig;Bron: 1 Inkomen uit arbeid;2011;3148200;80.8;336700;8.6
116;Minimaal één voertuig;Bron: 1 Inkomen uit arbeid;2012;3148200;81.2;337100;8.7
117;Minimaal één voertuig;Bron: 1 Inkomen uit arbeid;2013;3122600;81.2;334500;8.7
118;Minimaal één voertuig;Bron: 1 Inkomen uit arbeid;2014;3069600;80.5;329000;8.6
119;Minimaal één voertuig;Bron: 1 Inkomen uit arbeid;2015;3070900;80.4;325700;8.5
120;Minimaal één voertuig;Bron: 2 Inkomen uit eigen onderneming;2010;700300;84.4;90700;10.9
121;Minimaal één voertuig;Bron: 2 Inkomen uit eigen onderneming;2011;715700;83.9;93000;10.9
122;Minimaal één voertuig;Bron: 2 Inkomen uit eigen onderneming;2012;729400;84.1;95100;11.0
123;Minimaal één voertuig;Bron: 2 Inkomen uit eigen onderneming;2013;754300;84.1;97200;10.8
124;Minimaal één voertuig;Bron: 2 Inkomen uit eigen onderneming;2014;775800;83.9;99100;10.7
125;Minimaal één voertuig;Bron: 2 Inkomen uit eigen onderneming;2015;767300;84.2;97300;10.7
126;Minimaal één voertuig;Bron: 3 Overdrachtsinkomen;2010;1391500;55.0;41700;1.6
127;Minimaal één voertuig;Bron: 3 Overdrachtsinkomen;2011;1458000;55.8;46500;1.8
128;Minimaal één voertuig;Bron: 3 Overdrachtsinkomen;2012;1492300;56.0;49000;1.8
129;Minimaal één voertuig;Bron: 3 Overdrachtsinkomen;2013;1525600;56.1;51700;1.9
130;Minimaal één voertuig;Bron: 3 Overdrachtsinkomen;2014;1573100;57.4;54700;2.0
131;Minimaal één voertuig;Bron: 3 Overdrachtsinkomen;2015;1615400;57.4;57200;2.0
132;Minimaal één voertuig;Bron: 31 Uitkering inkomensverzekering;2010;1302100;63.0;38300;1.9
133;Minimaal één voertuig;Bron: 31 Uitkering inkomensverzekering;2011;1359600;63.9;42700;2.0
134;Minimaal één voertuig;Bron: 31 Uitkering inkomensverzekering;2012;1391100;64.5;44900;2.1
135;Minimaal één voertuig;Bron: 31 Uitkering inkomensverzekering;2013;1424600;64.8;47400;2.2
136;Minimaal één voertuig;Bron: 31 Uitkering inkomensverzekering;2014;1467900;65.7;50600;2.3
137;Minimaal één voertuig;Bron: 31 Uitkering inkomensverzekering;2015;1501100;66.1;52700;2.3
138;Minimaal één voertuig;Bron: 32 Uitkering sociale voorziening;2010;81700;18.0;3200;0.7
139;Minimaal één voertuig;Bron: 32 Uitkering sociale voorziening;2011;90700;19.2;3600;0.8
140;Minimaal één voertuig;Bron: 32 Uitkering sociale voorziening;2012;93400;18.8;4000;0.8
141;Minimaal één voertuig;Bron: 32 Uitkering sociale voorziening;2013;93600;18.4;4100;0.8
142;Minimaal één voertuig;Bron: 32 Uitkering sociale voorziening;2014;97600;19.6;4000;0.8
143;Minimaal één voertuig;Bron: 32 Uitkering sociale voorziening;2015;107100;20.1;4400;0.8
144;Minimaal één voertuig;Bron: 33 Overig overdrachtsinkomen;2010;7700;71.4;100;1.0
145;Minimaal één voertuig;Bron: 33 Overig overdrachtsinkomen;2011;7800;71.4;100;1.1
146;Minimaal één voertuig;Bron: 33 Overig overdrachtsinkomen;2012;7900;72.5;200;1.4
147;Minimaal één voertuig;Bron: 33 Overig overdrachtsinkomen;2013;7400;70.9;100;1.4
148;Minimaal één voertuig;Bron: 33 Overig overdrachtsinkomen;2014;7500;68.4;100;1.3
149;Minimaal één voertuig;Bron: 33 Overig overdrachtsinkomen;2015;7100;69.8;100;1.3
150;Minimaal één voertuig;Bron: 4 Zonder bekend inkomen;2010;12200;13.6;1000;1.1
151;Minimaal één voertuig;Bron: 4 Zonder bekend inkomen;2011;13100;11.6;1100;1.0
152;Minimaal één voertuig;Bron: 4 Zonder bekend inkomen;2012;11400;9.7;900;0.8
153;Minimaal één voertuig;Bron: 4 Zonder bekend inkomen;2013;12700;10.5;1000;0.8
154;Minimaal één voertuig;Bron: 4 Zonder bekend inkomen;2014;14300;11.6;1200;1.0
155;Minimaal één voertuig;Bron: 4 Zonder bekend inkomen;2015;17800;13.4;1700;1.3
156;Minimaal één voertuig;Stedelijkheid: zeer sterk stedelijk;2010;860100;52.4;53700;3.3
157;Minimaal één voertuig;Stedelijkheid: zeer sterk stedelijk;2011;888700;52.2;56500;3.3
158;Minimaal één voertuig;Stedelijkheid: zeer sterk stedelijk;2012;897100;52.3;57600;3.4
159;Minimaal één voertuig;Stedelijkheid: zeer sterk stedelijk;2013;900200;52.0;58400;3.4
160;Minimaal één voertuig;Stedelijkheid: zeer sterk stedelijk;2014;941300;52.5;62100;3.5
161;Minimaal één voertuig;Stedelijkheid: zeer sterk stedelijk;2015;1000900;52.6;65900;3.5
162;Minimaal één voertuig;Stedelijkheid: sterk stedelijk;2010;1495800;70.4;121100;5.7
163;Minimaal één voertuig;Stedelijkheid: sterk stedelijk;2011;1485700;70.1;121100;5.7
164;Minimaal één voertuig;Stedelijkheid: sterk stedelijk;2012;1506900;70.3;122700;5.7
165;Minimaal één voertuig;Stedelijkheid: sterk stedelijk;2013;1515700;70.2;123400;5.7
166;Minimaal één voertuig;Stedelijkheid: sterk stedelijk;2014;1476900;70.1;120300;5.7
167;Minimaal één voertuig;Stedelijkheid: sterk stedelijk;2015;1711000;71.2;140700;5.9
168;Minimaal één voertuig;Stedelijkheid: matig stedelijk;2010;1038100;78.3;93100;7.0
169;Minimaal één voertuig;Stedelijkheid: matig stedelijk;2011;1063500;78.3;95100;7.0
170;Minimaal één voertuig;Stedelijkheid: matig stedelijk;2012;1136200;78.6;101700;7.0
171;Minimaal één voertuig;Stedelijkheid: matig stedelijk;2013;1125700;78.5;100800;7.0
172;Minimaal één voertuig;Stedelijkheid: matig stedelijk;2014;1165700;78.7;103500;7.0
173;Minimaal één voertuig;Stedelijkheid: matig stedelijk;2015;998600;79.6;88400;7.0
174;Minimaal één voertuig;Stedelijkheid: Weinig stedelijk;2010;1182300;82.7;122100;8.5
175;Minimaal één voertuig;Stedelijkheid: Weinig stedelijk;2011;1208300;82.5;125500;8.6
176;Minimaal één voertuig;Stedelijkheid: Weinig stedelijk;2012;1217800;82.6;127400;8.6
177;Minimaal één voertuig;Stedelijkheid: Weinig stedelijk;2013;1267700;82.6;131500;8.6
178;Minimaal één voertuig;Stedelijkheid: Weinig stedelijk;2014;1250700;82.9;128800;8.5
179;Minimaal één voertuig;Stedelijkheid: Weinig stedelijk;2015;1237900;82.7;126700;8.5
180;Minimaal één voertuig;Stedelijkheid: niet stedelijk;2010;653800;83.6;76500;9.8
181;Minimaal één voertuig;Stedelijkheid: niet stedelijk;2011;615600;83.6;72200;9.8
182;Minimaal één voertuig;Stedelijkheid: niet stedelijk;2012;622800;83.7;72700;9.8
183;Minimaal één voertuig;Stedelijkheid: niet stedelijk;2013;605400;83.8;70300;9.7
184;Minimaal één voertuig;Stedelijkheid: niet stedelijk;2014;597700;84.1;69100;9.7
185;Minimaal één voertuig;Stedelijkheid: niet stedelijk;2015;522700;84.4;60100;9.7
186;Minimaal één voertuig;Stedelijkheid: onbekend;2010;44300;69.1;4600;7.2
187;Minimaal één voertuig;Stedelijkheid: onbekend;2011;73300;79.0;6800;7.3
188;Minimaal één voertuig;Stedelijkheid: onbekend;2012;500;28.2;100;3.4
189;Minimaal één voertuig;Stedelijkheid: onbekend;2013;500;36.3;100;4.4
190;Minimaal één voertuig;Stedelijkheid: onbekend;2014;400;23.8;0;1.9
191;Minimaal één voertuig;Stedelijkheid: onbekend;2015;400;23.2;0;2.1
192;Eén voertuig;Particuliere huishoudens;2010;3618100;49.1;380500;5.2
193;Eén voertuig;Particuliere huishoudens;2011;3655100;48.9;383800;5.1
194;Eén voertuig;Particuliere huishoudens;2012;3654500;48.6;386000;5.1
195;Eén voertuig;Particuliere huishoudens;2013;3659800;48.3;386700;5.1
196;Eén voertuig;Particuliere huishoudens;2014;3679800;48.4;385800;5.1
197;Eén voertuig;Particuliere huishoudens;2015;3702100;48.2;384100;5.0
198;Eén voertuig;Type: Eenpersoonshuishouden;2010;1106500;41.3;69300;2.6
199;Eén voertuig;Type: Eenpersoonshuishouden;2011;1146400;41.5;71300;2.6
200;Eén voertuig;Type: Eenpersoonshuishouden;2012;1153100;41.8;71100;2.6
201;Eén voertuig;Type: Eenpersoonshuishouden;2013;1172700;41.8;72300;2.6
202;Eén voertuig;Type: Eenpersoonshuishouden;2014;1186000;42.3;73200;2.6
203;Eén voertuig;Type: Eenpersoonshuishouden;2015;1209700;42.2;74000;2.6
204;Eén voertuig;Type: Meerpersoonshuishouden;2010;2511600;53.5;311300;6.6
205;Eén voertuig;Type: Meerpersoonshuishouden;2011;2508700;53.2;312500;6.6
206;Eén voertuig;Type: Meerpersoonshuishouden;2012;2501300;52.6;315000;6.6
207;Eén voertuig;Type: Meerpersoonshuishouden;2013;2487000;52.2;314400;6.6
208;Eén voertuig;Type: Meerpersoonshuishouden;2014;2493600;52.1;312600;6.5
209;Eén voertuig;Type: Meerpersoonshuishouden;2015;2492300;52.0;310100;6.5
210;Eén voertuig;Type: Eenoudergezin;2010;232400;50.3;14400;3.1
211;Eén voertuig;Type: Eenoudergezin;2011;250000;50.5;16100;3.2
212;Eén voertuig;Type: Eenoudergezin;2012;257000;50.9;16700;3.3
213;Eén voertuig;Type: Eenoudergezin;2013;263800;51.1;17100;3.3
214;Eén voertuig;Type: Eenoudergezin;2014;271700;51.2;17600;3.3
215;Eén voertuig;Type: Eenoudergezin;2015;276600;51.3;17700;3.3
216;Eén voertuig;Type: Paar, totaal;2010;2248300;54.2;293400;7.1
217;Eén voertuig;Type: Paar, totaal;2011;2238700;53.8;294300;7.1
218;Eén voertuig;Type: Paar, totaal;2012;2224600;53.1;296100;7.1
219;Eén voertuig;Type: Paar, totaal;2013;2203900;52.5;295100;7.0
220;Eén voertuig;Type: Paar, totaal;2014;2203100;52.4;292700;7.0
221;Eén voertuig;Type: Paar, totaal;2015;2196700;52.3;289900;6.9
222;Eén voertuig;Type: Paar, met kind(eren);2010;934100;46.8;178500;8.9
223;Eén voertuig;Type: Paar, met kind(eren);2011;939800;46.0;182100;8.9
224;Eén voertuig;Type: Paar, met kind(eren);2012;923500;45.2;181100;8.9
225;Eén voertuig;Type: Paar, met kind(eren);2013;904500;44.4;178500;8.8
226;Eén voertuig;Type: Paar, met kind(eren);2014;898800;44.3;174200;8.6
227;Eén voertuig;Type: Paar, met kind(eren);2015;890300;44.0;170300;8.4
228;Eén voertuig;Type: Paar, zonder kind;2010;1314200;61.1;115000;5.3
229;Eén voertuig;Type: Paar, zonder kind;2011;1298900;61.3;112200;5.3
230;Eén voertuig;Type: Paar, zonder kind;2012;1301100;60.6;115000;5.4
231;Eén voertuig;Type: Paar, zonder kind;2013;1299300;60.2;116600;5.4
232;Eén voertuig;Type: Paar, zonder kind;2014;1304300;60.1;118500;5.5
233;Eén voertuig;Type: Paar, zonder kind;2015;1306400;59.9;119600;5.5
234;Eén voertuig;Type: Meerpersoonshuishouden, overig;2010;30900;38.2;3500;4.3
235;Eén voertuig;Type: Meerpersoonshuishouden, overig;2011;20000;36.0;2200;3.9
236;Eén voertuig;Type: Meerpersoonshuishouden, overig;2012;19700;35.5;2200;4.0
237;Eén voertuig;Type: Meerpersoonshuishouden, overig;2013;19400;35.5;2200;4.1
238;Eén voertuig;Type: Meerpersoonshuishouden, overig;2014;18800;35.0;2300;4.2
239;Eén voertuig;Type: Meerpersoonshuishouden, overig;2015;19000;34.7;2500;4.6
240;Eén voertuig;Huishoudensgrootte: 1 persoon;2010;1106500;41.3;69300;2.6
241;Eén voertuig;Huishoudensgrootte: 1 persoon;2011;1146400;41.5;71300;2.6
242;Eén voertuig;Huishoudensgrootte: 1 persoon;2012;1153200;41.6;71100;2.6
243;Eén voertuig;Huishoudensgrootte: 1 persoon;2013;1172800;41.7;72300;2.6
244;Eén voertuig;Huishoudensgrootte: 1 persoon;2014;1186200;42.1;73200;2.6
245;Eén voertuig;Huishoudensgrootte: 1 persoon;2015;1209900;42.0;74000;2.6
246;Eén voertuig;Huishoudensgrootte: 2 personen;2010;1436200;60.3;119200;5.0
247;Eén voertuig;Huishoudensgrootte: 2 personen;2011;1451000;59.9;122200;5.0
248;Eén voertuig;Huishoudensgrootte: 2 personen;2012;1458200;59.4;125400;5.1
249;Eén voertuig;Huishoudensgrootte: 2 personen;2013;1461600;59.1;127400;5.1
250;Eén voertuig;Huishoudensgrootte: 2 personen;2014;1472000;58.9;129800;5.2
251;Eén voertuig;Huishoudensgrootte: 2 personen;2015;1477400;58.8;130800;5.2
252;Eén voertuig;Huishoudensgrootte: 3 personen;2010;420400;46.4;68900;7.6
253;Eén voertuig;Huishoudensgrootte: 3 personen;2011;418700;46.4;68800;7.6
254;Eén voertuig;Huishoudensgrootte: 3 personen;2012;415500;45.7;69500;7.6
255;Eén voertuig;Huishoudensgrootte: 3 personen;2013;413100;45.2;69500;7.6
256;Eén voertuig;Huishoudensgrootte: 3 personen;2014;414900;45.1;69200;7.5
257;Eén voertuig;Huishoudensgrootte: 3 personen;2015;414500;44.9;68800;7.5
258;Eén voertuig;Huishoudensgrootte: 4 personen;2010;460500;47.4;89900;9.3
259;Eén voertuig;Huishoudensgrootte: 4 personen;2011;452000;46.6;89300;9.2
260;Eén voertuig;Huishoudensgrootte: 4 personen;2012;444600;45.8;88500;9.1
261;Eén voertuig;Huishoudensgrootte: 4 personen;2013;434100;44.8;86900;9.0
262;Eén voertuig;Huishoudensgrootte: 4 personen;2014;431200;44.7;84100;8.7
263;Eén voertuig;Huishoudensgrootte: 4 personen;2015;426300;44.4;82000;8.5
264;Eén voertuig;Huishoudensgrootte: 5 of meer personen;2010;194600;45.1;33400;7.7
265;Eén voertuig;Huishoudensgrootte: 5 of meer personen;2011;187000;44.8;32200;7.7
266;Eén voertuig;Huishoudensgrootte: 5 of meer personen;2012;183000;44.1;31700;7.6
267;Eén voertuig;Huishoudensgrootte: 5 of meer personen;2013;178200;43.5;30700;7.5
268;Eén voertuig;Huishoudensgrootte: 5 of meer personen;2014;175500;43.5;29500;7.3
269;Eén voertuig;Huishoudensgrootte: 5 of meer personen;2015;174100;43.4;28500;7.1
270;Eén voertuig;Gestandaardiseerd inkomen: 1e 20%-groep;2010;438000;31.7;26300;1.9
271;Eén voertuig;Gestandaardiseerd inkomen: 1e 20%-groep;2011;447800;32.2;27900;2.0
272;Eén voertuig;Gestandaardiseerd inkomen: 1e 20%-groep;2012;442100;31.6;26600;1.9
273;Eén voertuig;Gestandaardiseerd inkomen: 1e 20%-groep;2013;447700;31.6;28400;2.0
274;Eén voertuig;Gestandaardiseerd inkomen: 1e 20%-groep;2014;446600;31.7;28300;2.0
275;Eén voertuig;Gestandaardiseerd inkomen: 1e 20%-groep;2015;447900;31.5;28300;2.0
276;Eén voertuig;Gestandaardiseerd inkomen: 2e 20%-groep;2010;757900;52.2;44600;3.1
277;Eén voertuig;Gestandaardiseerd inkomen: 2e 20%-groep;2011;758200;51.6;43000;2.9
278;Eén voertuig;Gestandaardiseerd inkomen: 2e 20%-groep;2012;764100;51.7;43300;2.9
279;Eén voertuig;Gestandaardiseerd inkomen: 2e 20%-groep;2013;763500;51.4;43700;2.9
280;Eén voertuig;Gestandaardiseerd inkomen: 2e 20%-groep;2014;766600;51.5;42100;2.8
281;Eén voertuig;Gestandaardiseerd inkomen: 2e 20%-groep;2015;766600;51.1;40600;2.7
282;Eén voertuig;Gestandaardiseerd inkomen: 3e 20%-groep;2010;891100;60.4;81100;5.5
283;Eén voertuig;Gestandaardiseerd inkomen: 3e 20%-groep;2011;895800;60.0;80600;5.4
284;Eén voertuig;Gestandaardiseerd inkomen: 3e 20%-groep;2012;903100;60.1;80900;5.4
285;Eén voertuig;Gestandaardiseerd inkomen: 3e 20%-groep;2013;903300;59.8;80400;5.3
286;Eén voertuig;Gestandaardiseerd inkomen: 3e 20%-groep;2014;912800;60.1;78900;5.2
287;Eén voertuig;Gestandaardiseerd inkomen: 3e 20%-groep;2015;918600;59.9;77600;5.1
288;Eén voertuig;Gestandaardiseerd inkomen: 4e 20%-groep;2010;837000;56.4;109000;7.4
