ID;SoortBewoondeWoonruimten;RegioS;Perioden;BewoondeWoonruimte_1
233;Totaal;Oost-Groningen (CR);2024;62550.0
234;Totaal;Delfzijl en omgeving (CR);2012;21190.0
235;Totaal;Delfzijl en omgeving (CR);2013;21200.0
236;Totaal;Delfzijl en omgeving (CR);2014;21375.0
237;Totaal;Delfzijl en omgeving (CR);2015;21455.0
238;Totaal;Delfzijl en omgeving (CR);2016;21455.0
239;Totaal;Delfzijl en omgeving (CR);2017;21415.0
240;Totaal;Delfzijl en omgeving (CR);2018;21410.0
241;Totaal;Delfzijl en omgeving (CR);2019;21345.0
242;Totaal;Delfzijl en omgeving (CR);2020;21365.0
243;Totaal;Delfzijl en omgeving (CR);2021;21360.0
244;Totaal;Delfzijl en omgeving (CR);2022;21230.0
245;Totaal;Delfzijl en omgeving (CR);2023;21265.0
246;Totaal;Delfzijl en omgeving (CR);2024;21165.0
247;Totaal;Overig Groningen (CR);2012;170495.0
248;Totaal;Overig Groningen (CR);2013;172140.0
249;Totaal;Overig Groningen (CR);2014;174290.0
250;Totaal;Overig Groningen (CR);2015;176100.0
251;Totaal;Overig Groningen (CR);2016;177905.0
252;Totaal;Overig Groningen (CR);2017;179915.0
253;Totaal;Overig Groningen (CR);2018;185305.0
254;Totaal;Overig Groningen (CR);2019;186995.0
255;Totaal;Overig Groningen (CR);2020;189255.0
256;Totaal;Overig Groningen (CR);2021;191910.0
257;Totaal;Overig Groningen (CR);2022;194230.0
258;Totaal;Overig Groningen (CR);2023;195830.0
259;Totaal;Overig Groningen (CR);2024;197515.0
260;Totaal;Noord-Friesland (CR);2012;143360.0
261;Totaal;Noord-Friesland (CR);2013;144250.0
262;Totaal;Noord-Friesland (CR);2014;142125.0
263;Totaal;Noord-Friesland (CR);2015;142910.0
264;Totaal;Noord-Friesland (CR);2016;143675.0
265;Totaal;Noord-Friesland (CR);2017;144750.0
266;Totaal;Noord-Friesland (CR);2018;143545.0
267;Totaal;Noord-Friesland (CR);2019;144445.0
268;Totaal;Noord-Friesland (CR);2020;146055.0
269;Totaal;Noord-Friesland (CR);2021;147285.0
270;Totaal;Noord-Friesland (CR);2022;148665.0
271;Totaal;Noord-Friesland (CR);2023;149905.0
272;Totaal;Noord-Friesland (CR);2024;151360.0
273;Totaal;Zuidwest-Friesland (CR);2012;44885.0
274;Totaal;Zuidwest-Friesland (CR);2013;45240.0
275;Totaal;Zuidwest-Friesland (CR);2014;57610.0
276;Totaal;Zuidwest-Friesland (CR);2015;58320.0
277;Totaal;Zuidwest-Friesland (CR);2016;58590.0
278;Totaal;Zuidwest-Friesland (CR);2017;58890.0
279;Totaal;Zuidwest-Friesland (CR);2018;61480.0
280;Totaal;Zuidwest-Friesland (CR);2019;61940.0
281;Totaal;Zuidwest-Friesland (CR);2020;62250.0
282;Totaal;Zuidwest-Friesland (CR);2021;62675.0
283;Totaal;Zuidwest-Friesland (CR);2022;63120.0
284;Totaal;Zuidwest-Friesland (CR);2023;63295.0
285;Totaal;Zuidwest-Friesland (CR);2024;63520.0
286;Totaal;Zuidoost-Friesland (CR);2012;87540.0
287;Totaal;Zuidoost-Friesland (CR);2013;87730.0
288;Totaal;Zuidoost-Friesland (CR);2014;80510.0
289;Totaal;Zuidoost-Friesland (CR);2015;80925.0
290;Totaal;Zuidoost-Friesland (CR);2016;81325.0
291;Totaal;Zuidoost-Friesland (CR);2017;81815.0
292;Totaal;Zuidoost-Friesland (CR);2018;82280.0
293;Totaal;Zuidoost-Friesland (CR);2019;82640.0
294;Totaal;Zuidoost-Friesland (CR);2020;83240.0
295;Totaal;Zuidoost-Friesland (CR);2021;83650.0
296;Totaal;Zuidoost-Friesland (CR);2022;84435.0
297;Totaal;Zuidoost-Friesland (CR);2023;84825.0
298;Totaal;Zuidoost-Friesland (CR);2024;85510.0
