ID;BedrijfstakkenBranchesSBI2008;Perioden;BedrijfsbestelautoS_1
4194;43222 Verwarmingsinstallatiebedrijven;2011;12403.0
4195;43222 Verwarmingsinstallatiebedrijven;2012;12004.0
4196;43222 Verwarmingsinstallatiebedrijven;2013;11828.0
4197;43222 Verwarmingsinstallatiebedrijven;2014;11591.0
4198;43222 Verwarmingsinstallatiebedrijven;2015;11754.0
4199;43222 Verwarmingsinstallatiebedrijven;2016;12754.0
4200;4329 Overige bouwinstallatiebedrijven;2009;2930.0
4201;4329 Overige bouwinstallatiebedrijven;2010;2973.0
4202;4329 Overige bouwinstallatiebedrijven;2011;4978.0
4203;4329 Overige bouwinstallatiebedrijven;2012;5059.0
4204;4329 Overige bouwinstallatiebedrijven;2013;4964.0
4205;4329 Overige bouwinstallatiebedrijven;2014;4664.0
4206;4329 Overige bouwinstallatiebedrijven;2015;4683.0
4207;4329 Overige bouwinstallatiebedrijven;2016;5189.0
4208;433 Afwerkingsbedrijven (bouw);2009;58581.0
4209;433 Afwerkingsbedrijven (bouw);2010;58661.0
4210;433 Afwerkingsbedrijven (bouw);2011;58515.0
4211;433 Afwerkingsbedrijven (bouw);2012;57619.0
4212;433 Afwerkingsbedrijven (bouw);2013;54840.0
4213;433 Afwerkingsbedrijven (bouw);2014;53991.0
4214;433 Afwerkingsbedrijven (bouw);2015;54560.0
4215;433 Afwerkingsbedrijven (bouw);2016;56987.0
4216;4331 Stukadoorsbedrijven;2009;7663.0
4217;4331 Stukadoorsbedrijven;2010;7725.0
4218;4331 Stukadoorsbedrijven;2011;7586.0
4219;4331 Stukadoorsbedrijven;2012;7370.0
4220;4331 Stukadoorsbedrijven;2013;6859.0
4221;4331 Stukadoorsbedrijven;2014;6612.0
4222;4331 Stukadoorsbedrijven;2015;6640.0
4223;4331 Stukadoorsbedrijven;2016;7097.0
4224;4332 Timmerbedrijven (bouw);2009;17934.0
4225;4332 Timmerbedrijven (bouw);2010;17777.0
4226;4332 Timmerbedrijven (bouw);2011;17921.0
4227;4332 Timmerbedrijven (bouw);2012;17650.0
4228;4332 Timmerbedrijven (bouw);2013;17014.0
4229;4332 Timmerbedrijven (bouw);2014;17055.0
4230;4332 Timmerbedrijven (bouw);2015;17696.0
4231;4332 Timmerbedrijven (bouw);2016;18613.0
4232;4333 Vloer- en wandafwerkingsbedrijven;2009;9416.0
4233;4333 Vloer- en wandafwerkingsbedrijven;2010;9415.0
4234;4333 Vloer- en wandafwerkingsbedrijven;2011;9323.0
4235;4333 Vloer- en wandafwerkingsbedrijven;2012;9113.0
4236;4333 Vloer- en wandafwerkingsbedrijven;2013;8641.0
4237;4333 Vloer- en wandafwerkingsbedrijven;2014;8409.0
4238;4333 Vloer- en wandafwerkingsbedrijven;2015;8706.0
4239;4333 Vloer- en wandafwerkingsbedrijven;2016;9248.0
4240;4334 Schilders- en glaszetbedrijven;2009;21672.0
4241;4334 Schilders- en glaszetbedrijven;2010;21737.0
4242;4334 Schilders- en glaszetbedrijven;2011;21666.0
4243;4334 Schilders- en glaszetbedrijven;2012;21429.0
4244;4334 Schilders- en glaszetbedrijven;2013;20370.0
4245;4334 Schilders- en glaszetbedrijven;2014;19981.0
4246;4334 Schilders- en glaszetbedrijven;2015;19652.0
4247;4334 Schilders- en glaszetbedrijven;2016;20075.0
4248;4339 Overige afwerking van gebouwen;2009;1896.0
4249;4339 Overige afwerking van gebouwen;2010;2007.0
4250;4339 Overige afwerking van gebouwen;2011;2019.0
4251;4339 Overige afwerking van gebouwen;2012;2057.0
4252;4339 Overige afwerking van gebouwen;2013;1956.0
4253;4339 Overige afwerking van gebouwen;2014;1934.0
4254;4339 Overige afwerking van gebouwen;2015;1866.0
4255;4339 Overige afwerking van gebouwen;2016;1954.0
4256;439 Overige gespecialiseerde bouw;2009;22776.0
4257;439 Overige gespecialiseerde bouw;2010;22474.0
4258;439 Overige gespecialiseerde bouw;2011;22693.0
4259;439 Overige gespecialiseerde bouw;2012;21941.0
4260;439 Overige gespecialiseerde bouw;2013;21044.0
4261;439 Overige gespecialiseerde bouw;2014;20910.0
4262;439 Overige gespecialiseerde bouw;2015;21066.0
4263;439 Overige gespecialiseerde bouw;2016;21961.0
4264;4391 Dakbouwbedrijven;2009;5660.0
4265;4391 Dakbouwbedrijven;2010;5545.0
4266;4391 Dakbouwbedrijven;2011;5673.0
4267;4391 Dakbouwbedrijven;2012;5653.0
4268;4391 Dakbouwbedrijven;2013;5388.0
4269;4391 Dakbouwbedrijven;2014;5263.0
4270;4391 Dakbouwbedrijven;2015;5304.0
4271;4391 Dakbouwbedrijven;2016;5645.0
4272;4399 Overige gespecialiseerde bouw;2009;17116.0
4273;4399 Overige gespecialiseerde bouw;2010;16929.0
4274;4399 Overige gespecialiseerde bouw;2011;17020.0
4275;4399 Overige gespecialiseerde bouw;2012;16288.0
4276;4399 Overige gespecialiseerde bouw;2013;15656.0
4277;4399 Overige gespecialiseerde bouw;2014;15647.0
4278;4399 Overige gespecialiseerde bouw;2015;15762.0
4279;4399 Overige gespecialiseerde bouw;2016;16316.0
4280;43991 Hei- en funderingsbedrijven;2009;669.0
4281;43991 Hei- en funderingsbedrijven;2010;568.0
4282;43991 Hei- en funderingsbedrijven;2011;573.0
4283;43991 Hei- en funderingsbedrijven;2012;558.0
4284;43991 Hei- en funderingsbedrijven;2013;534.0
4285;43991 Hei- en funderingsbedrijven;2014;625.0
4286;43991 Hei- en funderingsbedrijven;2015;636.0
4287;43991 Hei- en funderingsbedrijven;2016;609.0
4288;43992 Betonvlechtersbedrijven;2009;657.0
4289;43992 Betonvlechtersbedrijven;2010;683.0
4290;43992 Betonvlechtersbedrijven;2011;657.0
4291;43992 Betonvlechtersbedrijven;2012;636.0
4292;43992 Betonvlechtersbedrijven;2013;581.0
4293;43992 Betonvlechtersbedrijven;2014;569.0
4294;43992 Betonvlechtersbedrijven;2015;552.0
4295;43992 Betonvlechtersbedrijven;2016;557.0
4296;43993 Metsel- en voegbedrijven;2009;6136.0
4297;43993 Metsel- en voegbedrijven;2010;5883.0
4298;43993 Metsel- en voegbedrijven;2011;5858.0
4299;43993 Metsel- en voegbedrijven;2012;5547.0
4300;43993 Metsel- en voegbedrijven;2013;5152.0
4301;43993 Metsel- en voegbedrijven;2014;4872.0
4302;43993 Metsel- en voegbedrijven;2015;5060.0
4303;43993 Metsel- en voegbedrijven;2016;5260.0
4304;43999 Overige gespecialiseerde bouw;2009;9654.0
4305;43999 Overige gespecialiseerde bouw;2010;9795.0
4306;43999 Overige gespecialiseerde bouw;2011;9932.0
4307;43999 Overige gespecialiseerde bouw;2012;9547.0
4308;43999 Overige gespecialiseerde bouw;2013;9389.0
4309;43999 Overige gespecialiseerde bouw;2014;9581.0
4310;43999 Overige gespecialiseerde bouw;2015;9514.0
4311;43999 Overige gespecialiseerde bouw;2016;9890.0
4312;G Handel;2009;207352.0
4313;G Handel;2010;205892.0
4314;G Handel;2011;203345.0
4315;G Handel;2012;205467.0
4316;G Handel;2013;199415.0
4317;G Handel;2014;198806.0
4318;G Handel;2015;200802.0
4319;G Handel;2016;211714.0
4320;45 Autohandel en -reparatie;2009;79853.0
4321;45 Autohandel en -reparatie;2010;77082.0
4322;45 Autohandel en -reparatie;2011;73615.0
4323;45 Autohandel en -reparatie;2012;78058.0
4324;45 Autohandel en -reparatie;2013;74348.0
4325;45 Autohandel en -reparatie;2014;75588.0
4326;45 Autohandel en -reparatie;2015;78238.0
4327;45 Autohandel en -reparatie;2016;84191.0
4328;451 Autohandel en -reparatie;2009;66261.0
4329;451 Autohandel en -reparatie;2010;62546.0
4330;451 Autohandel en -reparatie;2011;58773.0
4331;451 Autohandel en -reparatie;2012;62935.0
4332;451 Autohandel en -reparatie;2013;59618.0
4333;451 Autohandel en -reparatie;2014;60372.0
4334;451 Autohandel en -reparatie;2015;63555.0
4335;451 Autohandel en -reparatie;2016;69374.0
4336;4511 Handel en reparatie personenauto's;2009;57732.0
4337;4511 Handel en reparatie personenauto's;2010;55089.0
4338;4511 Handel en reparatie personenauto's;2011;51771.0
4339;4511 Handel en reparatie personenauto's;2012;55952.0
4340;4511 Handel en reparatie personenauto's;2013;52827.0
4341;4511 Handel en reparatie personenauto's;2014;54101.0
4342;4511 Handel en reparatie personenauto's;2015;57141.0
4343;4511 Handel en reparatie personenauto's;2016;62490.0
4344;45111 Import van nieuwe personenauto's;2009;431.0
4345;45111 Import van nieuwe personenauto's;2010;256.0
4346;45111 Import van nieuwe personenauto's;2011;316.0
4347;45111 Import van nieuwe personenauto's;2012;367.0
4348;45111 Import van nieuwe personenauto's;2013;435.0
4349;45111 Import van nieuwe personenauto's;2014;508.0
4350;45111 Import van nieuwe personenauto's;2015;470.0
4351;45111 Import van nieuwe personenauto's;2016;418.0
4352;45112 Handel en reparatie personenauto's;2009;57301.0
4353;45112 Handel en reparatie personenauto's;2010;54833.0
4354;45112 Handel en reparatie personenauto's;2011;51455.0
4355;45112 Handel en reparatie personenauto's;2012;55585.0
4356;45112 Handel en reparatie personenauto's;2013;52392.0
4357;45112 Handel en reparatie personenauto's;2014;53593.0
4358;45112 Handel en reparatie personenauto's;2015;56671.0
4359;45112 Handel en reparatie personenauto's;2016;62072.0
4360;4519 Handel in vrachtwagens, aanhangers;2009;8529.0
4361;4519 Handel in vrachtwagens, aanhangers;2010;7457.0
4362;4519 Handel in vrachtwagens, aanhangers;2011;7002.0
4363;4519 Handel in vrachtwagens, aanhangers;2012;6983.0
4364;4519 Handel in vrachtwagens, aanhangers;2013;6791.0
4365;4519 Handel in vrachtwagens, aanhangers;2014;6271.0
4366;4519 Handel in vrachtwagens, aanhangers;2015;6414.0
4367;4519 Handel in vrachtwagens, aanhangers;2016;6884.0
4368;45191 Import van nieuwe vrachtwagens;2009;405.0
