ID;Deelstroomgebieden;Taakvelden;Perioden;BrutoMilieukosten_1;OpbrengstenEnBesparingen_2;NettoMilieukosten_3;BetaaldeOverdrachten_4;OntvangenOverdrachten_5;NettoMilieulasten_6;TotaalInvesteringen_7;Nieuwbouw_8;UitbreidingAanpassingEnVervanging_9;ImmaterieleVasteActiva_10
74;Eems;Totaal;2003;28;2;26;0;38;-12;12.0;2.0;10.0;0.0
75;Eems;Totaal;2005;39;2;37;0;41;-4;31.0;1.0;30.0;0.0
76;Eems;Totaal;2007;37;0;37;4;42;-1;19.0;0.0;19.0;1.0
77;Eems;Apparaatskosten;1999;1;0;2;0;0;1;;;;
78;Eems;Apparaatskosten;2000;1;0;0;0;1;0;;;;
79;Eems;Apparaatskosten;2001;1;0;1;0;0;0;;;;
80;Eems;Apparaatskosten;2002;2;2;0;0;2;-1;;;;
81;Eems;Apparaatskosten;2003;1;0;0;0;1;0;;;;
82;Eems;Apparaatskosten;2005;2;0;2;0;0;2;;;;
83;Eems;Apparaatskosten;2007;2;0;2;0;0;2;;;;
84;Eems;Ontwikkelen van plannen;1999;0;0;0;0;0;0;;;;
85;Eems;Ontwikkelen van plannen;2000;0;0;0;0;0;0;;;;
86;Eems;Ontwikkelen van plannen;2001;1;0;1;0;0;1;;;;
87;Eems;Ontwikkelen van plannen;2002;1;0;1;0;0;1;;;;
88;Eems;Ontwikkelen van plannen;2003;1;0;1;0;0;1;;;;
89;Eems;Ontwikkelen van plannen;2005;3;0;3;0;0;3;;;;
90;Eems;Ontwikkelen van plannen;2007;1;0;1;1;0;1;;;;
91;Eems;Beheren van het oppervlakte water;1999;1;0;1;0;0;1;;;;
92;Eems;Beheren van het oppervlakte water;2000;1;0;1;0;0;1;;;;
93;Eems;Beheren van het oppervlakte water;2001;1;0;1;0;0;1;;;;
94;Eems;Beheren van het oppervlakte water;2002;2;0;2;0;0;2;;;;
95;Eems;Beheren van het oppervlakte water;2003;2;0;2;0;0;1;;;;
96;Eems;Beheren van het oppervlakte water;2005;0;0;0;0;0;0;;;;
97;Eems;Beheren van het oppervlakte water;2007;0;0;0;2;0;0;;;;
98;Eems;Beheren van lozingen;1999;0;0;0;0;0;0;;;;
99;Eems;Beheren van lozingen;2000;2;0;2;0;0;2;;;;
100;Eems;Beheren van lozingen;2001;2;0;2;0;0;2;;;;
101;Eems;Beheren van lozingen;2002;2;0;2;0;0;2;;;;
102;Eems;Beheren van lozingen;2003;2;0;2;0;0;2;;;;
103;Eems;Beheren van lozingen;2005;1;0;1;0;0;1;;;;
104;Eems;Beheren van lozingen;2007;2;0;2;0;0;2;;;;
105;Eems;Zuiveringsbeheer, totaal;1999;7;0;6;2;0;8;;;;
106;Eems;Zuiveringsbeheer, totaal;2000;19;1;17;0;1;17;;;;
107;Eems;Zuiveringsbeheer, totaal;2001;18;1;17;0;1;17;;;;
108;Eems;Zuiveringsbeheer, totaal;2002;22;3;19;0;2;18;;;;
109;Eems;Zuiveringsbeheer, totaal;2003;20;2;18;0;1;17;;;;
110;Eems;Zuiveringsbeheer, totaal;2005;30;2;28;0;1;27;;;;
111;Eems;Zuiveringsbeheer, totaal;2007;28;0;27;45;0;31;;;;
112;Eems;Zuiveringsbeheer, transport;1999;2;0;2;0;0;2;;;;
113;Eems;Zuiveringsbeheer, transport;2000;4;0;4;0;0;4;;;;
114;Eems;Zuiveringsbeheer, transport;2001;3;0;3;0;0;3;;;;
115;Eems;Zuiveringsbeheer, transport;2002;4;0;3;0;0;3;;;;
116;Eems;Zuiveringsbeheer, transport;2003;4;0;3;0;0;3;;;;
117;Eems;Zuiveringsbeheer, transport;2005;0;0;0;0;0;0;;;;
118;Eems;Zuiveringsbeheer, transport;2007;5;0;5;0;0;5;;;;
119;Eems;Zuiveringsbeheer, zuivering;1999;4;0;4;0;0;4;;;;
120;Eems;Zuiveringsbeheer, zuivering;2000;12;1;11;0;1;11;;;;
121;Eems;Zuiveringsbeheer, zuivering;2001;13;1;12;0;1;12;;;;
122;Eems;Zuiveringsbeheer, zuivering;2002;16;2;14;0;1;13;;;;
123;Eems;Zuiveringsbeheer, zuivering;2003;14;1;13;0;1;13;;;;
124;Eems;Zuiveringsbeheer, zuivering;2005;29;2;27;0;0;27;;;;
125;Eems;Zuiveringsbeheer, zuivering;2007;21;0;21;42;0;24;;;;
126;Eems;Zuiveringsbeheer, slibverwerking;1999;1;0;1;2;0;3;;;;
127;Eems;Zuiveringsbeheer, slibverwerking;2000;2;0;2;0;0;2;;;;
128;Eems;Zuiveringsbeheer, slibverwerking;2001;2;0;2;0;0;2;;;;
129;Eems;Zuiveringsbeheer, slibverwerking;2002;2;0;2;0;0;2;;;;
130;Eems;Zuiveringsbeheer, slibverwerking;2003;2;0;1;0;0;1;;;;
131;Eems;Zuiveringsbeheer, slibverwerking;2005;0;0;0;0;0;0;;;;
132;Eems;Zuiveringsbeheer, slibverwerking;2007;1;0;1;2;0;1;;;;
133;Eems;Heffen en  invorderen;1999;0;0;0;0;9;-9;;;;
134;Eems;Heffen en  invorderen;2000;2;0;2;0;27;-25;;;;
135;Eems;Heffen en  invorderen;2001;2;0;2;0;32;-30;;;;
136;Eems;Heffen en  invorderen;2002;3;0;3;0;34;-31;;;;
137;Eems;Heffen en  invorderen;2003;3;0;3;0;35;-33;;;;
138;Eems;Heffen en  invorderen;2005;4;4;4;4;4;4;;;;
139;Eems;Heffen en  invorderen;2007;4;0;4;0;42;-38;;;;
140;Rijn Noord;Totaal;1999;59;3;56;6;57;5;27.0;3.0;24.0;0.0
141;Rijn Noord;Totaal;2000;69;10;59;7;70;-4;22.0;7.0;15.0;0.0
142;Rijn Noord;Totaal;2001;73;11;62;10;77;-5;17.0;8.0;10.0;0.0
143;Rijn Noord;Totaal;2002;82;11;71;11;85;-4;14.0;0.0;13.0;0.0
144;Rijn Noord;Totaal;2003;83;13;70;10;88;-8;38.0;5.0;32.0;0.0
145;Rijn Noord;Totaal;2005;63;9;54;5;85;-26;29.0;20.0;5.0;4.0
146;Rijn Noord;Totaal;2007;90;4;86;1;88;-1;21.0;9.0;12.0;1.0
147;Rijn Noord;Apparaatskosten;1999;3;0;3;0;0;3;;;;
148;Rijn Noord;Apparaatskosten;2000;3;2;1;0;0;1;;;;
149;Rijn Noord;Apparaatskosten;2001;1;2;-2;0;0;-2;;;;
150;Rijn Noord;Apparaatskosten;2002;3;1;2;0;1;1;;;;
151;Rijn Noord;Apparaatskosten;2003;3;0;2;0;0;2;;;;
152;Rijn Noord;Apparaatskosten;2005;5;0;5;0;0;5;;;;
153;Rijn Noord;Apparaatskosten;2007;3;0;3;0;3;0;;;;
154;Rijn Noord;Ontwikkelen van plannen;1999;1;0;1;0;0;1;;;;
155;Rijn Noord;Ontwikkelen van plannen;2000;1;0;1;0;0;1;;;;
156;Rijn Noord;Ontwikkelen van plannen;2001;1;0;1;0;0;1;;;;
157;Rijn Noord;Ontwikkelen van plannen;2002;1;0;1;0;0;1;;;;
158;Rijn Noord;Ontwikkelen van plannen;2003;1;0;1;0;0;1;;;;
159;Rijn Noord;Ontwikkelen van plannen;2005;1;0;1;0;0;1;;;;
160;Rijn Noord;Ontwikkelen van plannen;2007;5;0;5;0;0;5;;;;
161;Rijn Noord;Beheren van het oppervlakte water;1999;7;0;7;0;3;4;;;;
162;Rijn Noord;Beheren van het oppervlakte water;2000;6;1;5;0;3;2;;;;
163;Rijn Noord;Beheren van het oppervlakte water;2001;4;0;4;0;0;3;;;;
164;Rijn Noord;Beheren van het oppervlakte water;2002;5;0;4;0;1;4;;;;
165;Rijn Noord;Beheren van het oppervlakte water;2003;8;3;5;0;4;1;;;;
166;Rijn Noord;Beheren van het oppervlakte water;2005;2;0;2;0;0;2;;;;
167;Rijn Noord;Beheren van het oppervlakte water;2007;3;0;3;1;8;-4;;;;
168;Rijn Noord;Beheren van lozingen;1999;3;0;3;0;0;3;;;;
169;Rijn Noord;Beheren van lozingen;2000;4;0;4;0;0;4;;;;
170;Rijn Noord;Beheren van lozingen;2001;5;0;5;0;0;5;;;;
171;Rijn Noord;Beheren van lozingen;2002;5;0;5;0;0;5;;;;
172;Rijn Noord;Beheren van lozingen;2003;6;0;6;0;0;6;;;;
173;Rijn Noord;Beheren van lozingen;2005;2;0;2;1;0;3;;;;
174;Rijn Noord;Beheren van lozingen;2007;8;0;8;0;0;8;;;;
175;Rijn Noord;Zuiveringsbeheer, totaal;1999;43;3;40;6;1;45;;;;
176;Rijn Noord;Zuiveringsbeheer, totaal;2000;51;6;45;7;7;45;;;;
177;Rijn Noord;Zuiveringsbeheer, totaal;2001;58;8;49;10;10;50;;;;
178;Rijn Noord;Zuiveringsbeheer, totaal;2002;62;9;53;11;10;54;;;;
179;Rijn Noord;Zuiveringsbeheer, totaal;2003;60;9;50;10;10;50;;;;
180;Rijn Noord;Zuiveringsbeheer, totaal;2005;50;9;41;4;11;35;;;;
181;Rijn Noord;Zuiveringsbeheer, totaal;2007;61;3;58;1;1;57;;;;
182;Rijn Noord;Zuiveringsbeheer, transport;1999;9;0;9;0;0;8;;;;
183;Rijn Noord;Zuiveringsbeheer, transport;2000;12;0;12;0;0;11;;;;
184;Rijn Noord;Zuiveringsbeheer, transport;2001;13;0;12;0;1;12;;;;
185;Rijn Noord;Zuiveringsbeheer, transport;2002;13;2;12;0;2;10;;;;
186;Rijn Noord;Zuiveringsbeheer, transport;2003;12;2;11;0;2;9;;;;
187;Rijn Noord;Zuiveringsbeheer, transport;2005;9;0;9;1;2;8;;;;
188;Rijn Noord;Zuiveringsbeheer, transport;2007;12;0;12;0;1;11;;;;
189;Rijn Noord;Zuiveringsbeheer, zuivering;1999;22;0;22;0;0;22;;;;
190;Rijn Noord;Zuiveringsbeheer, zuivering;2000;27;3;25;0;3;22;;;;
191;Rijn Noord;Zuiveringsbeheer, zuivering;2001;30;3;27;0;4;24;;;;
192;Rijn Noord;Zuiveringsbeheer, zuivering;2002;33;3;29;0;3;26;;;;
193;Rijn Noord;Zuiveringsbeheer, zuivering;2003;33;3;31;0;3;28;;;;
194;Rijn Noord;Zuiveringsbeheer, zuivering;2005;24;6;18;2;4;16;;;;
195;Rijn Noord;Zuiveringsbeheer, zuivering;2007;33;3;29;0;1;29;;;;
196;Rijn Noord;Zuiveringsbeheer, slibverwerking;1999;12;3;10;6;1;15;;;;
197;Rijn Noord;Zuiveringsbeheer, slibverwerking;2000;12;3;8;7;4;12;;;;
198;Rijn Noord;Zuiveringsbeheer, slibverwerking;2001;15;5;10;10;6;15;;;;
199;Rijn Noord;Zuiveringsbeheer, slibverwerking;2002;16;5;12;11;5;18;;;;
200;Rijn Noord;Zuiveringsbeheer, slibverwerking;2003;14;5;9;10;5;14;;;;
201;Rijn Noord;Zuiveringsbeheer, slibverwerking;2005;17;3;14;2;5;10;;;;
202;Rijn Noord;Zuiveringsbeheer, slibverwerking;2007;16;0;16;0;0;16;;;;
203;Rijn Noord;Heffen en  invorderen;1999;3;0;3;0;53;-50;;;;
204;Rijn Noord;Heffen en  invorderen;2000;5;0;5;0;60;-55;;;;
205;Rijn Noord;Heffen en  invorderen;2001;5;0;5;0;66;-62;;;;
206;Rijn Noord;Heffen en  invorderen;2002;6;0;5;0;74;-68;;;;
207;Rijn Noord;Heffen en  invorderen;2003;5;0;5;0;73;-67;;;;
208;Rijn Noord;Heffen en  invorderen;2005;3;0;3;0;73;-71;;;;
209;Rijn Noord;Heffen en  invorderen;2007;10;0;10;0;76;-66;;;;
210;Rijn Oost;Totaal;1999;92;4;88;13;100;1;40.0;22.0;17.0;0.0
211;Rijn Oost;Totaal;2000;120;5;115;12;115;13;89.0;35.0;54.0;0.0
212;Rijn Oost;Totaal;2001;108;7;102;12;124;-10;62.0;20.0;41.0;1.0
213;Rijn Oost;Totaal;2002;119;7;112;13;132;-6;29.0;2.0;26.0;1.0
214;Rijn Oost;Totaal;2003;130;6;124;14;137;1;46.0;0.0;45.0;1.0
215;Rijn Oost;Totaal;2005;131;2;129;13;147;-5;38.0;7.0;30.0;1.0
216;Rijn Oost;Totaal;2007;167;5;163;1;149;15;74.0;3.0;61.0;10.0
217;Rijn Oost;Apparaatskosten;1999;10;1;9;0;1;8;;;;
218;Rijn Oost;Apparaatskosten;2000;15;2;13;0;1;12;;;;
219;Rijn Oost;Apparaatskosten;2001;10;2;8;0;2;6;;;;
220;Rijn Oost;Apparaatskosten;2002;16;1;14;0;0;14;;;;
221;Rijn Oost;Apparaatskosten;2003;17;2;15;0;0;15;;;;
222;Rijn Oost;Apparaatskosten;2005;15;0;15;0;0;15;;;;
223;Rijn Oost;Apparaatskosten;2007;22;0;22;0;0;23;;;;
224;Rijn Oost;Ontwikkelen van plannen;1999;1;0;1;0;0;1;;;;
225;Rijn Oost;Ontwikkelen van plannen;2000;1;0;1;0;0;1;;;;
226;Rijn Oost;Ontwikkelen van plannen;2001;1;0;1;0;0;1;;;;
227;Rijn Oost;Ontwikkelen van plannen;2002;2;0;2;0;0;2;;;;
228;Rijn Oost;Ontwikkelen van plannen;2003;2;0;2;0;0;2;;;;
229;Rijn Oost;Ontwikkelen van plannen;2005;2;0;2;0;0;2;;;;
230;Rijn Oost;Ontwikkelen van plannen;2007;7;0;7;0;0;7;;;;
231;Rijn Oost;Beheren van het oppervlakte water;1999;6;1;5;0;1;5;;;;
232;Rijn Oost;Beheren van het oppervlakte water;2000;4;0;4;0;1;3;;;;
233;Rijn Oost;Beheren van het oppervlakte water;2001;5;1;4;0;1;3;;;;
234;Rijn Oost;Beheren van het oppervlakte water;2002;5;0;5;0;0;5;;;;
235;Rijn Oost;Beheren van het oppervlakte water;2003;5;0;5;0;0;5;;;;
236;Rijn Oost;Beheren van het oppervlakte water;2005;4;0;4;0;0;4;;;;
237;Rijn Oost;Beheren van het oppervlakte water;2007;7;0;7;0;0;7;;;;
238;Rijn Oost;Beheren van lozingen;1999;4;0;4;0;0;3;;;;
239;Rijn Oost;Beheren van lozingen;2000;7;0;7;0;0;7;;;;
240;Rijn Oost;Beheren van lozingen;2001;8;0;8;0;0;8;;;;
241;Rijn Oost;Beheren van lozingen;2002;9;0;9;0;0;9;;;;
242;Rijn Oost;Beheren van lozingen;2003;8;0;8;0;0;8;;;;
243;Rijn Oost;Beheren van lozingen;2005;9;0;9;0;0;9;;;;
244;Rijn Oost;Beheren van lozingen;2007;11;0;11;0;0;11;;;;
245;Rijn Oost;Zuiveringsbeheer, totaal;1999;64;2;62;8;2;68;;;;
246;Rijn Oost;Zuiveringsbeheer, totaal;2000;87;2;84;12;2;94;;;;
247;Rijn Oost;Zuiveringsbeheer, totaal;2001;80;3;77;12;3;86;;;;
248;Rijn Oost;Zuiveringsbeheer, totaal;2002;80;5;75;13;4;85;;;;
249;Rijn Oost;Zuiveringsbeheer, totaal;2003;91;4;87;14;5;96;;;;
250;Rijn Oost;Zuiveringsbeheer, totaal;2005;94;2;92;13;7;99;;;;
251;Rijn Oost;Zuiveringsbeheer, totaal;2007;112;3;109;0;3;106;;;;
252;Rijn Oost;Zuiveringsbeheer, transport;1999;7;1;6;0;1;5;;;;
253;Rijn Oost;Zuiveringsbeheer, transport;2000;12;1;11;0;1;10;;;;
254;Rijn Oost;Zuiveringsbeheer, transport;2001;12;1;11;0;1;9;;;;
255;Rijn Oost;Zuiveringsbeheer, transport;2002;12;1;11;0;0;10;;;;
256;Rijn Oost;Zuiveringsbeheer, transport;2003;13;1;12;0;1;11;;;;
257;Rijn Oost;Zuiveringsbeheer, transport;2005;11;0;11;0;1;11;;;;
258;Rijn Oost;Zuiveringsbeheer, transport;2007;16;2;14;0;0;14;;;;
259;Rijn Oost;Zuiveringsbeheer, zuivering;1999;38;1;37;0;1;36;;;;
260;Rijn Oost;Zuiveringsbeheer, zuivering;2000;51;1;51;0;1;50;;;;
261;Rijn Oost;Zuiveringsbeheer, zuivering;2001;56;1;55;0;1;54;;;;
262;Rijn Oost;Zuiveringsbeheer, zuivering;2002;55;3;52;0;3;50;;;;
263;Rijn Oost;Zuiveringsbeheer, zuivering;2003;65;2;62;0;4;59;;;;
264;Rijn Oost;Zuiveringsbeheer, zuivering;2005;61;2;59;1;5;54;;;;
265;Rijn Oost;Zuiveringsbeheer, zuivering;2007;71;1;70;0;3;66;;;;
266;Rijn Oost;Zuiveringsbeheer, slibverwerking;1999;20;1;19;8;0;26;;;;
267;Rijn Oost;Zuiveringsbeheer, slibverwerking;2000;24;1;23;12;1;34;;;;
268;Rijn Oost;Zuiveringsbeheer, slibverwerking;2001;13;1;11;12;1;23;;;;
269;Rijn Oost;Zuiveringsbeheer, slibverwerking;2002;14;2;12;13;1;25;;;;
270;Rijn Oost;Zuiveringsbeheer, slibverwerking;2003;14;1;12;14;0;26;;;;
271;Rijn Oost;Zuiveringsbeheer, slibverwerking;2005;22;0;22;12;1;33;;;;
272;Rijn Oost;Zuiveringsbeheer, slibverwerking;2007;25;0;25;0;0;25;;;;
273;Rijn Oost;Heffen en  invorderen;1999;7;0;7;5;96;-84;;;;
274;Rijn Oost;Heffen en  invorderen;2000;6;0;6;0;110;-104;;;;
275;Rijn Oost;Heffen en  invorderen;2001;5;0;4;0;118;-114;;;;
276;Rijn Oost;Heffen en  invorderen;2002;7;0;7;0;128;-120;;;;
277;Rijn Oost;Heffen en  invorderen;2003;7;0;7;0;132;-125;;;;
278;Rijn Oost;Heffen en  invorderen;2005;7;0;7;0;140;-133;;;;
279;Rijn Oost;Heffen en  invorderen;2007;8;0;8;0;145;-137;;;;
280;Rijn Midden;Totaal;1999;82;3;79;8;86;2;38.0;2.0;34.0;2.0
281;Rijn Midden;Totaal;2000;82;3;79;10;89;0;19.0;7.0;12.0;0.0
282;Rijn Midden;Totaal;2001;86;2;84;11;92;3;46.0;4.0;42.0;0.0
283;Rijn Midden;Totaal;2002;83;2;81;12;96;-3;29.0;1.0;29.0;0.0
284;Rijn Midden;Totaal;2003;95;3;92;13;106;-1;41.0;0.0;41.0;0.0
285;Rijn Midden;Totaal;2005;107;10;97;10;117;-10;24.0;0.0;24.0;0.0
286;Rijn Midden;Totaal;2007;120;0;120;1;114;7;23.0;0.0;22.0;0.0
287;Rijn Midden;Apparaatskosten;1999;5;1;4;0;1;3;;;;
288;Rijn Midden;Apparaatskosten;2000;3;0;3;0;0;2;;;;
289;Rijn Midden;Apparaatskosten;2001;3;0;3;0;0;3;;;;
290;Rijn Midden;Apparaatskosten;2002;2;0;2;0;0;2;;;;
291;Rijn Midden;Apparaatskosten;2003;4;1;3;0;1;3;;;;
292;Rijn Midden;Apparaatskosten;2005;3;0;3;0;0;3;;;;
293;Rijn Midden;Apparaatskosten;2007;3;0;3;1;1;3;;;;
294;Rijn Midden;Ontwikkelen van plannen;1999;1;0;1;0;0;1;;;;
295;Rijn Midden;Ontwikkelen van plannen;2000;1;0;1;0;0;1;;;;
296;Rijn Midden;Ontwikkelen van plannen;2001;2;0;2;0;0;2;;;;
297;Rijn Midden;Ontwikkelen van plannen;2002;3;0;3;0;0;3;;;;
298;Rijn Midden;Ontwikkelen van plannen;2003;3;0;3;0;0;3;;;;
299;Rijn Midden;Ontwikkelen van plannen;2005;4;0;4;0;0;4;;;;
300;Rijn Midden;Ontwikkelen van plannen;2007;5;0;5;0;0;5;;;;
301;Rijn Midden;Beheren van het oppervlakte water;1999;4;0;4;0;0;4;;;;
302;Rijn Midden;Beheren van het oppervlakte water;2000;5;0;5;0;0;5;;;;
303;Rijn Midden;Beheren van het oppervlakte water;2001;5;0;5;0;0;5;;;;
304;Rijn Midden;Beheren van het oppervlakte water;2002;5;0;5;0;0;5;;;;
305;Rijn Midden;Beheren van het oppervlakte water;2003;5;0;5;0;0;5;;;;
306;Rijn Midden;Beheren van het oppervlakte water;2005;7;0;7;0;0;7;;;;
307;Rijn Midden;Beheren van het oppervlakte water;2007;9;0;9;0;0;9;;;;
308;Rijn Midden;Beheren van lozingen;1999;3;0;3;0;0;3;;;;
309;Rijn Midden;Beheren van lozingen;2000;6;0;6;0;0;6;;;;
310;Rijn Midden;Beheren van lozingen;2001;6;0;6;0;0;6;;;;
311;Rijn Midden;Beheren van lozingen;2002;7;0;7;0;0;7;;;;
312;Rijn Midden;Beheren van lozingen;2003;8;0;8;0;0;8;;;;
313;Rijn Midden;Beheren van lozingen;2005;8;0;8;0;0;8;;;;
314;Rijn Midden;Beheren van lozingen;2007;6;0;6;0;0;6;;;;
315;Rijn Midden;Zuiveringsbeheer, totaal;1999;63;1;62;8;1;69;;;;
316;Rijn Midden;Zuiveringsbeheer, totaal;2000;62;3;59;10;3;66;;;;
317;Rijn Midden;Zuiveringsbeheer, totaal;2001;66;2;65;11;3;72;;;;
318;Rijn Midden;Zuiveringsbeheer, totaal;2002;61;2;60;12;0;72;;;;
319;Rijn Midden;Zuiveringsbeheer, totaal;2003;68;2;66;13;4;76;;;;
320;Rijn Midden;Zuiveringsbeheer, totaal;2005;78;10;68;10;7;72;;;;
321;Rijn Midden;Zuiveringsbeheer, totaal;2007;89;0;89;0;0;89;;;;
322;Rijn Midden;Zuiveringsbeheer, transport;1999;8;1;8;0;0;8;;;;
323;Rijn Midden;Zuiveringsbeheer, transport;2000;8;1;7;0;1;5;;;;
324;Rijn Midden;Zuiveringsbeheer, transport;2001;8;1;7;0;0;7;;;;
325;Rijn Midden;Zuiveringsbeheer, transport;2002;9;0;9;0;0;8;;;;
326;Rijn Midden;Zuiveringsbeheer, transport;2003;8;0;8;0;0;8;;;;
