ID;Categorieen;Perioden;AantalMusea_1;Tot2500Bezoeken_2;k_2500Tot10000Bezoeken_3;k_10000Tot25000Bezoeken_4;k_25000Tot50000Bezoeken_5;k_50000Tot100000Bezoeken_6;k_100000EnMeerBezoekers_7;TotaalBezoeken_8;BetaaldeBezoeken_9;MuseumkaartEnGratisBezoeken_10;GemiddeldAantalBezoekenPerMuseum_11;BuitenlandseBezoeken_12;TotaalWerkzamePersonen_13;InLoondienst_14;OverigBezoldigden_15;TotaalAantalMensjaren_16;InLoondienst_17;OverigBezoldigden_18;Personen_19;Mensjaren_20
19;2;2007;383;37;33;16;8;4;3;6609;4931;1678;17;1246.0;2388.0;1915.0;473.0;1583.0;1316.0;267.0;10063.0;1398.0
20;2;2009;388;36;34;18;7;4;3;7069;4656;2413;18;1042.0;2410.0;1891.0;519.0;1609.0;1365.0;245.0;11025.0;1486.0
21;3;1997;50;30;18;16;26;2;8;2099;1828;271;42;;399.0;286.0;113.0;286.0;200.0;86.0;;
22;3;1999;59;31;20;17;15;7;9;2435;1849;586;41;741.0;683.0;536.0;147.0;498.0;393.0;105.0;;
23;3;2001;49;27;22;22;12;8;8;2494;1671;823;51;519.0;603.0;490.0;113.0;403.0;339.0;64.0;;
24;3;2003;44;23;25;30;9;5;9;1847;1177;670;42;523.0;572.0;470.0;101.0;372.0;314.0;58.0;801.0;96.0
25;3;2005;51;22;28;28;14;0;10;1965;1383;582;39;441.0;626.0;539.0;87.0;440.0;394.0;46.0;1165.0;233.0
26;3;2007;54;24;32;17;19;2;7;1784;1342;442;33;457.0;661.0;554.0;107.0;488.0;413.0;75.0;1253.0;169.0
27;3;2009;55;26;29;16;15;7;7;1790;1302;488;33;65.0;695.0;549.0;146.0;495.0;414.0;81.0;1434.0;214.0
28;5;1997;260;39;28;19;6;4;3;3886;2730;1156;15;;1192.0;854.0;338.0;955.0;685.0;270.0;;
29;5;1999;255;33;33;20;5;6;3;4528;3154;1374;18;438.0;1336.0;998.0;338.0;843.0;703.0;140.0;;
30;5;2001;245;37;27;22;6;5;4;3995;2908;1086;16;540.0;1553.0;1016.0;537.0;971.0;688.0;283.0;;
31;5;2003;217;37;29;20;8;6;1;3070;2167;903;14;435.0;1228.0;873.0;355.0;888.0;643.0;245.0;5676.0;751.0
32;5;2005;196;31;32;21;10;4;2;3170;2137;1033;16;463.0;1131.0;844.0;286.0;824.0;646.0;177.0;5564.0;961.0
33;5;2007;190;32;30;21;11;5;3;3337;2285;1052;18;500.0;1191.0;839.0;352.0;802.0;600.0;202.0;6063.0;861.0
34;5;2009;195;31;34;18;9;4;4;3293;2085;1208;17;127.0;1169.0;868.0;301.0;748.0;610.0;138.0;6643.0;1041.0
35;4;1997;20;45;20;15;0;15;5;479;263;216;24;;277.0;237.0;40.0;238.0;200.0;38.0;;
36;4;1999;18;50;17;17;0;11;5;419;221;198;23;25.0;221.0;182.0;39.0;166.0;151.0;15.0;;
37;4;2001;17;41;23;12;0;18;6;388;297;92;23;43.0;319.0;291.0;28.0;251.0;233.0;18.0;;
38;4;2003;17;35;18;12;0;18;18;663;458;205;39;153.0;552.0;505.0;48.0;370.0;336.0;34.0;703.0;96.0
39;4;2005;18;33;17;11;6;17;17;939;658;281;52;217.0;618.0;573.0;45.0;414.0;387.0;27.0;668.0;82.0
40;4;2007;17;29;12;24;0;24;12;1079;710;368;63;348.0;563.0;516.0;47.0;398.0;366.0;32.0;681.0;99.0
41;4;2009;21;29;19;19;10;14;10;1051;635;416;50;36.0;713.0;560.0;153.0;481.0;391.0;90.0;840.0;136.0
42;6;1997;19;0;5;11;16;21;48;3613;2480;1133;190;;1440.0;1264.0;176.0;1107.0;969.0;138.0;;
43;6;1999;10;0;0;10;20;30;40;1338;789;549;134;252.0;625.0;515.0;111.0;419.0;380.0;39.0;;
44;6;2001;9;0;0;11;11;33;44;1047;730;317;116;143.0;683.0;531.0;152.0;483.0;402.0;81.0;;
45;6;2003;9;0;0;11;11;33;44;1155;779;376;128;183.0;744.0;533.0;211.0;538.0;408.0;130.0;453.0;36.0
46;6;2005;12;8;8;8;17;17;42;1195;762;432;100;279.0;699.0;637.0;62.0;521.0;490.0;31.0;545.0;49.0
47;6;2007;11;9;0;18;18;18;36;1220;763;457;111;304.0;794.0;636.0;158.0;591.0;508.0;83.0;349.0;46.0
48;6;2009;25;48;4;8;8;12;20;1376;757;618;55;99.0;809.0;669.0;140.0;624.0;551.0;72.0;722.0;263.0
49;7;1997;370;44;38;13;4;1;1;3042;2174;867;8;;75.0;;75.0;53.0;;53.0;;
50;7;1999;433;57;31;10;1;1;0;2042;1262;781;5;246.0;243.0;;243.0;123.0;;123.0;;
51;7;2001;309;52;32;13;2;0;0;1825;1063;762;6;188.0;266.0;;266.0;85.0;;85.0;;
52;7;2003;346;44;40;11;4;0;0;1893;1192;701;5;157.0;212.0;;212.0;157.0;;157.0;9271.0;1053.0
53;7;2005;323;51;37;10;3;1;0;1672;1015;657;5;169.0;198.0;;198.0;127.0;;127.0;8041.0;1186.0
54;7;2007;338;54;34;9;2;1;0;1808;1146;662;5;263.0;237.0;;237.0;143.0;;143.0;8419.0;1163.0
55;7;2009;385;54;35;8;1;1;1;2368;1173;1195;6;74.0;231.0;;231.0;73.0;;73.0;9930.0;1495.0
56;8;1997;328;48;35;12;4;2;1;2718;1963;755;8;;;;;;;;;
57;8;1999;305;56;33;9;1;1;0;1405;879;525;5;177.0;;;;;;;;
58;8;2001;226;56;31;12;1;0;0;1053;652;401;5;89.0;;;;;;;;
59;8;2003;235;52;37;8;3;0;0;1152;699;453;5;88.0;;;;;;;4007.0;519.0
60;8;2005;226;55;32;10;2;0;0;1164;677;487;5;123.0;;;;;;;6469.0;898.0
61;8;2007;242;55;34;9;2;0;0;1167;771;395;5;131.0;;;;;;;7035.0;956.0
62;8;2009;253;54;35;10;1;0;0;1605;688;917;6;27.0;;;;;;;7934.0;1235.0
63;9;1997;42;19;60;19;2;0;0;324;211;113;8;;75.0;;75.0;53.0;;53.0;;
64;9;1999;45;78;10;9;2;0;0;638;382;256;5;68.0;243.0;;243.0;123.0;;123.0;;
65;9;2001;30;63;27;7;4;0;0;772;411;361;9;99.0;176.0;;176.0;85.0;;85.0;;
66;9;2003;36;35;55;10;0;0;0;145;90;55;5;14.0;77.0;;77.0;29.0;;29.0;;
67;9;2005;34;65;21;15;0;0;0;133;75;58;4;13.0;53.0;;53.0;32.0;;32.0;;
68;9;2007;36;67;19;8;3;3;0;234;147;87;7;44.0;98.0;;98.0;62.0;;62.0;;
69;9;2009;41;51;32;7;5;2;2;395;253;142;10;28.0;84.0;;84.0;24.0;;24.0;;
70;Musea met 0 tot 5 mensjaren personeel;1997;780;47;32;14;5;1;0;6965;5085;1881;9;;1311.0;700.0;611.0;918.0;473.0;444.0;;
71;Musea met 0 tot 5 mensjaren personeel;1999;735;44;34;16;4;2;0;6315;4072;2243;9;872.0;1106.0;709.0;397.0;640.0;425.0;215.0;;
72;Musea met 0 tot 5 mensjaren personeel;2001;715;44;34;17;4;1;0;5699;3646;2053;8;683.0;1963.0;1023.0;940.0;937.0;556.0;381.0;;
73;Musea met 0 tot 5 mensjaren personeel;2003;665;40;40;16;4;1;0;5083;3396;1686;8;691.0;1336.0;762.0;574.0;801.0;500.0;302.0;14628.0;1698.0
74;Musea met 0 tot 5 mensjaren personeel;2005;624;39;39;17;4;1;0;5255;3500;1755;8;639.0;1345.0;813.0;532.0;783.0;530.0;252.0;14851.0;1999.0
75;Musea met 0 tot 5 mensjaren personeel;2007;606;40;38;15;5;1;0;4821;3435;1386;8;779.0;1140.0;697.0;443.0;646.0;431.0;216.0;15429.0;2131.0
76;Musea met 0 tot 5 mensjaren personeel;2009;637;39;39;17;4;1;0;5358;3104;2254;8;165.0;1109.0;716.0;393.0;553.0;416.0;137.0;17689.0;2537.0
77;Musea met 5 tot 10 mensjaren personeel;1997;64;3;13;51;14;16;3;1872;1307;565;29;;595.0;466.0;129.0;435.0;319.0;116.0;;
78;Musea met 5 tot 10 mensjaren personeel;1999;66;6;6;57;24;6;0;1430;930;500;22;140.0;759.0;560.0;199.0;468.0;353.0;115.0;;
79;Musea met 5 tot 10 mensjaren personeel;2001;61;2;7;46;33;10;3;1618;1054;564;27;167.0;768.0;586.0;182.0;436.0;335.0;101.0;;
80;Musea met 5 tot 10 mensjaren personeel;2003;55;6;2;51;35;6;2;1470;986;485;27;282.0;681.0;502.0;179.0;422.0;342.0;80.0;1691.0;126.0
81;Musea met 5 tot 10 mensjaren personeel;2005;40;3;5;53;25;8;8;1681;1362;319;42;376.0;474.0;393.0;81.0;292.0;244.0;48.0;1141.0;104.0
82;Musea met 5 tot 10 mensjaren personeel;2007;47;2;11;55;17;11;4;1894;1414;480;41;226.0;538.0;435.0;103.0;354.0;287.0;67.0;1460.0;196.0
83;Musea met 5 tot 10 mensjaren personeel;2009;57;2;14;40;33;7;4;1960;1418;542;34;46.0;719.0;515.0;204.0;405.0;335.0;71.0;1568.0;202.0
84;Musea met 10 tot 25 mensjaren personeel;1997;52;0;4;19;42;21;14;2711;1625;1089;52;;1092.0;839.0;253.0;798.0;577.0;221.0;;
85;Musea met 10 tot 25 mensjaren personeel;1999;49;0;5;17;34;32;12;2577;1639;938;53;500.0;1269.0;1034.0;235.0;801.0;688.0;114.0;;
86;Musea met 10 tot 25 mensjaren personeel;2001;49;0;2;16;29;39;14;4011;3039;973;77;875.0;1137.0;891.0;246.0;810.0;654.0;156.0;;
87;Musea met 10 tot 25 mensjaren personeel;2003;56;4;9;23;21;36;7;2646;1800;846;47;308.0;1506.0;1248.0;258.0;929.0;736.0;194.0;1522.0;248.0
88;Musea met 10 tot 25 mensjaren personeel;2005;54;0;2;32;44;15;7;2413;1402;1011;45;354.0;1237.0;976.0;261.0;880.0;741.0;139.0;1961.0;290.0
89;Musea met 10 tot 25 mensjaren personeel;2007;58;0;2;16;43;28;12;3193;2135;1058;55;662.0;1355.0;1064.0;291.0;971.0;778.0;192.0;2389.0;343.0
90;Musea met 10 tot 25 mensjaren personeel;2009;52;2;0;10;42;31;15;3117;1793;1325;60;169.0;1309.0;1051.0;258.0;887.0;753.0;133.0;2203.0;264.0
91;Musea met 25 of meer mensjaren personeel;1997;46;0;0;0;17;30;52;8687;6548;2139;193;;3676.0;3289.0;387.0;2896.0;2558.0;338.0;;
92;Musea met 25 of meer mensjaren personeel;1999;51;0;0;0;14;31;56;10357;7372;2986;203;2457.0;4558.0;3845.0;713.0;3289.0;2938.0;351.0;;
93;Musea met 25 of meer mensjaren personeel;2001;48;0;0;4;10;29;56;9160;6661;2499;193;2944.0;4417.0;3784.0;633.0;3295.0;2880.0;415.0;;
94;Musea met 25 of meer mensjaren personeel;2003;52;0;0;2;12;23;63;10358;7410;2948;199;2942.0;4972.0;4054.0;918.0;3684.0;3154.0;531.0;1852.0;285.0
95;Musea met 25 of meer mensjaren personeel;2005;57;0;0;0;12;33;55;10299;7264;3035;181;3342.0;5087.0;4381.0;706.0;3742.0;3344.0;397.0;1714.0;285.0
96;Musea met 25 of meer mensjaren personeel;2007;62;0;0;3;23;29;45;10631;7221;3410;169;3769.0;5565.0;4564.0;1001.0;4045.0;3517.0;528.0;2051.0;344.0
97;Musea met 25 of meer mensjaren personeel;2009;64;0;2;3;13;28;55;11603;7125;4478;181;2923.0;6009.0;4656.0;1353.0;4535.0;3780.0;755.0;2260.0;555.0
