ID;BedrijfstakkenBranchesSBI2008;Perioden;GeconsolideerdeProductie_1;BijdrageArbeid_2;BijdrageUren_3;BijdrageCompositieEffect_4;BijdrageKapitaal_5;BijdrageICTKapitaal_6;BijdrageNietICTKapitaal_7;BijdrageVerbruik_8;BijdrageEnergie_9;BijdrageMaterialen_10;BijdrageDiensten_11;BijdrageMultifactorproductiviteit_12;ToegevoegdeWaarde_13;BijdrageArbeid_14;BijdrageUren_15;BijdrageCompositieEffect_16;BijdrageKapitaal_17;BijdrageICTKapitaal_18;BijdrageNietICTKapitaal_19;BijdrageMultifactorproductiviteit_20;Arbeidsproductiviteitsontwikkeling_21;Arbeidsproductiviteit2021100_22;Arbeidsproductiviteitsontwikkeling_23;Arbeidsproductiviteit2021100_24;Kapitaalproductiviteitsontwikkeling_25;Kapitaalproductiviteit2021100_26;Kapitaalproductiviteitsontwikkeling_27;Kapitaalproductiviteit2021100_28;GeconsolideerdeProductieMlnEuro_29;GeconsolideerdeProductie2021100_30;Totaal_31;VerbruikEnergie_32;VerbruikMaterialen_33;VerbruikDiensten_34;Totaal_35;VerbruikEnergie_36;VerbruikMaterialen_37;VerbruikDiensten_38;ToegevoegdeWaardeMlnEuro_39;ToegevoegdeWaarde2021100_40;GewerkteUren_41;BeloningVanArbeidMlnEuro_42;BeloningVanArbeid2021100_43;KapitaaldienstenMlnEuro_44;KapitaaldienstenGewerktUurEuro_45;ICTKapitaaldienstenMlnEuro_46;NietICTKapitaaldienstenMlnEuro_47;KapitaaldienstenNeoklassiekMlnEuro_48;Kapitaaldiensten2021100_49;KapitaaldienstenGewerktUur2021100_50;ICTKapitaaldiensten2021100_51;NietICTKapitaaldiensten2021100_52;KapitaaldienstenNeoklassiek2021100_53;TotaleInputKLEMS_54;TotaleInputKapitaalEnArbeid_55;TotaleInputKLEMS_56;TotaleInputKapitaalEnArbeid_57
10;A-U Commerciële sector.(excl L,O,P,T);2005;;;;;;;;;;;;;2.4;0.5;-0.1;0.6;0.0;0.3;-0.3;2.0;;;2.6;88.7;;;2.5;88.6;;;;;;;;;;;394792.0;76.0;10341.0;255011.0;81.2;96009.0;9.3;13015.0;82994.0;;85.7;100.0;51.1;94.1;;;351020.0;;82.3
11;A-U Commerciële sector.(excl L,O,P,T);2006;;;;;;;;;;;;;4.1;2.3;1.7;0.6;0.2;0.3;-0.1;1.6;;;1.6;90.1;;;3.3;91.5;;;;;;;;;;;417488.0;79.0;10589.0;264804.0;83.8;105358.0;9.9;13600.0;91758.0;;86.4;98.5;55.0;93.9;;;370161.0;;84.4
12;A-U Commerciële sector.(excl L,O,P,T);2007;;;;;;;;;;;;;4.7;2.4;2.2;0.1;0.6;0.4;0.2;1.7;;;1.6;91.5;;;2.6;93.9;;;;;;;;;;;442308.0;82.8;10919.0;281130.0;86.6;104339.0;9.6;15088.0;89250.0;;88.2;97.5;60.3;94.8;;;385469.0;;86.9
13;A-U Commerciële sector.(excl L,O,P,T);2008;;;;;;;;;;;;;2.8;1.2;1.1;0.1;1.1;0.4;0.7;0.5;;;1.3;92.7;;;-1.2;92.8;;;;;;;;;;;462843.0;85.1;11078.0;296083.0;88.0;115690.0;10.4;16595.0;99095.0;;91.7;99.9;66.3;97.6;;;411773.0;;88.9
14;A-U Commerciële sector.(excl L,O,P,T);2009;;;;;;;;;;;;;-4.3;-0.8;-1.5;0.7;0.1;0.3;-0.2;-3.7;;;-2.4;90.5;;;-4.6;88.5;;;;;;;;;;;452804.0;81.4;10851.0;296187.0;87.1;116621.0;10.7;17011.0;99610.0;;92.0;102.3;71.0;96.8;;;412808.0;;88.3
15;A-U Commerciële sector.(excl L,O,P,T);2010;;;;;;;;;;;;;1.3;-0.1;-0.7;0.6;0.4;0.2;0.2;1.0;;;2.2;92.6;;;-0.1;88.4;;;;;;;;;;;463994.0;82.4;10752.0;296209.0;87.0;111583.0;10.4;17734.0;93848.0;;93.2;104.7;73.9;97.7;;;407791.0;;88.5
16;A-U Commerciële sector.(excl L,O,P,T);2011;;;;;;;;;;;;;2.6;1.1;0.9;0.2;-0.2;0.2;-0.3;1.6;;;1.3;93.7;;;3.1;91.2;;;;;;;;;;;476106.0;84.5;10889.0;306025.0;88.4;118972.0;10.9;18453.0;100518.0;;92.7;102.8;77.0;96.2;;;424997.0;;89.4
17;A-U Commerciële sector.(excl L,O,P,T);2012;;;;;;;;;;;;;-1.0;-0.1;-0.6;0.5;0.2;0.2;0.1;-1.1;;;-0.2;93.5;;;-1.8;89.6;;;;;;;;;;;483982.0;83.7;10803.0;311611.0;88.3;114322.0;10.6;17768.0;96555.0;;93.4;104.4;79.8;96.5;;;425933.0;;89.5
18;A-U Commerciële sector.(excl L,O,P,T);2013;;;;;;;;;;;;;0.2;-0.2;-0.7;0.5;0.5;0.2;0.4;-0.1;;;1.2;94.6;;;-1.8;88.0;;;;;;;;;;;486426.0;83.9;10706.0;313010.0;88.1;115117.0;10.8;18110.0;97007.0;;95.4;107.5;82.8;98.2;;;428127.0;;89.9
19;A-U Commerciële sector.(excl L,O,P,T);2014;;;;;;;;;;;;;1.9;0.7;0.6;0.2;-0.6;0.1;-0.8;1.8;;;1.1;95.7;;;4.4;91.8;;;;;;;;;;;494688.0;85.5;10788.0;319463.0;89.0;114754.0;10.6;18592.0;96162.0;;93.1;104.2;85.5;94.8;;;434217.0;;90.0
20;A-U Commerciële sector.(excl L,O,P,T);2015;;;;;;;;;;;;;2.3;0.6;0.8;-0.2;-0.3;0.1;-0.4;2.0;;;1.2;96.9;;;3.5;95.0;;;;;;;;;;;511712.0;87.5;10905.0;324217.0;89.7;108461.0;9.9;19230.0;89232.0;;92.1;101.9;87.8;93.1;;;432678.0;;90.3
21;A-U Commerciële sector.(excl L,O,P,T);2016;;;;;;;;;;;;;2.8;1.8;2.0;-0.2;0.9;0.3;0.6;0.1;;;0.1;96.9;;;-0.7;94.4;;;;;;;;;;;525385.0;89.9;11201.0;338637.0;91.9;105986.0;9.5;20348.0;85638.0;;95.2;102.7;92.8;95.8;;;444622.0;;92.7
22;A-U Commerciële sector.(excl L,O,P,T);2017;;;;;;;;;;;;;3.1;1.7;2.0;-0.3;0.1;0.1;0.0;1.4;;;0.5;97.5;;;2.7;97.0;;;;;;;;;;;546813.0;92.7;11489.0;351521.0;94.0;106374.0;9.3;20320.0;86054.0;;95.6;100.5;95.0;95.8;;;457896.0;;94.4
23;A-U Commerciële sector.(excl L,O,P,T);2018;;;;;;;;;;;;;2.5;2.1;2.2;-0.1;0.2;0.1;0.1;0.3;;;-0.3;97.2;;;1.6;98.5;;;;;;;;;;;571120.0;95.1;11816.0;373733.0;96.5;112646.0;9.5;20884.0;91762.0;;96.5;98.6;96.5;96.5;;;486379.0;;96.5
24;A-U Commerciële sector.(excl L,O,P,T);2019;;;;;;;;;;;;;2.7;2.1;2.1;0.0;0.2;0.0;0.2;0.3;;;0.0;97.1;;;1.6;100.1;;;;;;;;;;;602295.0;97.6;12134.0;394537.0;99.1;114752.0;9.5;21531.0;93221.0;;97.5;97.0;96.6;97.7;;;509289.0;;98.8
25;A-U Commerciële sector.(excl L,O,P,T);2020;;;;;;;;;;;;;-5.1;-2.8;-3.8;1.1;0.3;0.1;0.2;-2.7;;;-0.2;97.0;;;-6.4;93.7;;;;;;;;;;;584024.0;92.6;11533.0;398819.0;95.6;123826.0;10.7;23183.0;100643.0;;98.9;103.5;98.5;98.9;;;522645.0;;96.3
26;A-U Commerciële sector.(excl L,O,P,T);2021;;;;;;;;;;;;;8.0;3.5;3.6;-0.1;0.3;0.1;0.2;4.2;;100.0;3.1;100.0;;100.0;6.7;100.0;1101876.0;100.0;459477.0;;;;100.0;100.0;100.0;100.0;642399.0;100.0;12073.0;410707.0;100.0;117467.0;9.7;24881.0;92586.0;;100.0;100.0;100.0;100.0;;987651.0;528173.0;100.0;100.0
27;A-U Commerciële sector.(excl L,O,P,T);2022;4.6;1.7;1.9;-0.3;0.1;0.1;0.0;0.7;0.0;0.0;0.7;2.2;6.3;2.8;3.3;-0.5;0.1;0.1;0.0;3.4;0.4;100.4;2.0;102.0;4.2;104.2;5.8;105.8;1159076.0;104.6;439910.0;79686.0;182244.0;177980.0;101.7;99.4;99.9;104.1;719166.0;106.3;12582.0;449206.0;103.6;144026.0;11.4;26263.0;117763.0;;100.4;96.4;101.8;100.1;;1033141.0;593231.0;102.4;102.9
28;A-U Commerciële sector.(excl L,O,P,T);2023;-0.6;0.6;0.5;0.1;-0.3;0.1;-0.4;-0.6;0.1;-0.7;0.1;-0.4;-0.2;1.1;0.9;0.2;-0.5;0.1;-0.6;-0.8;-1.8;98.6;-1.4;100.6;1.5;105.7;1.9;107.8;1194042.0;104.0;424750.0;67020.0;171504.0;186226.0;100.4;100.3;96.0;104.4;769292.0;106.1;12730.0;484137.0;105.1;167150.0;13.1;27798.0;139352.0;;98.4;93.3;104.4;97.0;;1076037.0;651287.0;102.2;103.5
29;A Landbouw, bosbouw en visserij;1995;;;;;;;;;;;;;;;;;;;;;;;;62.3;;;;80.3;;;;;;;;;;;10260.0;68.3;436.0;4653.0;92.9;7967.0;18.3;42.0;7925.0;;85.0;77.5;16.5;86.3;;;12620.0;;87.8
30;A Landbouw, bosbouw en visserij;1996;;;;;;;;;;;;;-4.5;-0.8;0.9;-1.6;-0.8;0.1;-0.9;-3.0;;;-6.7;58.1;;;-3.3;77.7;;;;;;;;;;;9952.0;65.2;446.0;5041.0;91.0;6621.0;14.8;40.0;6581.0;;83.9;74.8;20.9;85.1;;;11662.0;;86.5
31;A Landbouw, bosbouw en visserij;1997;;;;;;;;;;;;;7.2;1.5;0.0;1.5;-0.2;0.1;-0.3;6.0;;;7.4;62.4;;;7.6;83.5;;;;;;;;;;;10995.0;69.9;446.0;5325.0;94.1;7169.0;16.1;49.0;7120.0;;83.7;74.7;25.5;84.7;;;12493.0;;87.6
32;A Landbouw, bosbouw en visserij;1998;;;;;;;;;;;;;-4.6;-1.8;-3.5;1.9;-0.6;0.1;-0.6;-2.3;;;3.9;64.8;;;-3.6;80.5;;;;;;;;;;;10130.0;66.7;409.0;4773.0;90.2;7157.0;17.5;56.0;7101.0;;82.8;80.5;30.3;83.8;;;11929.0;;85.5
33;A Landbouw, bosbouw en visserij;1999;;;;;;;;;;;;;6.8;2.0;3.0;-0.9;0.2;0.1;0.1;4.5;;;-0.7;64.4;;;6.3;85.6;;;;;;;;;;;9827.0;71.2;440.0;5078.0;94.8;6585.0;15.0;57.0;6528.0;;83.2;75.2;38.2;83.9;;;11663.0;;87.5
34;A Landbouw, bosbouw en visserij;2000;;;;;;;;;;;;;1.1;2.7;3.3;-0.6;0.5;0.1;0.3;-2.1;;;-6.1;60.5;;;0.2;85.8;;;;;;;;;;;10449.0;72.0;473.0;5727.0;100.6;6642.0;14.0;70.0;6572.0;;83.9;70.5;49.7;84.4;;;12369.0;;90.3
35;A Landbouw, bosbouw en visserij;2001;;;;;;;;;;;;;-5.0;-0.2;-1.7;1.6;0.3;0.1;0.2;-5.1;;;-1.2;59.7;;;-5.5;81.1;;;;;;;;;;;10796.0;68.4;455.0;5796.0;100.2;6917.0;15.2;82.0;6835.0;;84.4;73.7;60.1;84.7;;;12712.0;;90.4
36;A Landbouw, bosbouw en visserij;2002;;;;;;;;;;;;;0.9;0.0;-0.3;0.3;0.2;0.1;0.1;0.7;;;1.6;60.7;;;0.5;81.5;;;;;;;;;;;10498.0;69.0;452.0;5652.0;100.3;8037.0;17.8;86.0;7951.0;;84.7;74.4;68.1;84.9;;;13690.0;;90.6
37;A Landbouw, bosbouw en visserij;2003;;;;;;;;;;;;;2.6;-2.0;-2.4;0.4;-0.1;0.1;-0.1;4.7;;;8.9;66.1;;;2.8;83.7;;;;;;;;;;;10647.0;70.9;426.0;5577.0;95.4;8221.0;19.3;84.0;8137.0;;84.6;78.9;75.5;84.7;;;13798.0;;88.7
38;A Landbouw, bosbouw en visserij;2004;;;;;;;;;;;;;5.6;0.1;-0.2;0.4;0.5;0.0;0.4;4.9;;;6.1;70.1;;;4.7;87.7;;;;;;;;;;;9965.0;74.8;424.0;5244.0;95.7;8337.0;19.7;86.0;8251.0;;85.3;79.9;80.8;85.3;;;13581.0;;89.2
39;A Landbouw, bosbouw en visserij;2005;;;;;;;;;;;;;0.6;-1.1;-0.6;-0.6;-0.1;0.0;-0.1;1.8;;;2.1;71.5;;;0.7;88.3;;;;;;;;;;;10350.0;75.2;418.0;5566.0;92.9;7386.0;17.7;86.0;7300.0;;85.1;81.0;84.3;85.2;;;12952.0;;88.1
40;A Landbouw, bosbouw en visserij;2006;;;;;;;;;;;;;0.7;-0.4;-1.1;0.7;-0.2;0.0;-0.2;1.3;;;3.4;74.0;;;1.1;89.3;;;;;;;;;;;11513.0;75.7;407.0;5620.0;91.9;7884.0;19.4;83.0;7801.0;;84.8;82.8;87.0;84.8;;;13504.0;;87.5
41;A Landbouw, bosbouw en visserij;2007;;;;;;;;;;;;;2.7;-0.1;-0.6;0.4;0.3;0.0;0.2;2.6;;;4.1;77.0;;;2.2;91.3;;;;;;;;;;;11408.0;77.8;401.0;5607.0;91.6;7600.0;18.9;85.0;7515.0;;85.2;84.4;90.1;85.1;;;13207.0;;87.6
42;A Landbouw, bosbouw en visserij;2008;;;;;;;;;;;;;2.6;0.0;-0.2;0.2;0.7;0.0;0.6;1.9;;;3.0;79.4;;;1.4;92.6;;;;;;;;;;;10762.0;79.8;400.0;5176.0;91.6;9022.0;22.6;88.0;8934.0;;86.2;85.7;94.7;86.1;;;14199.0;;88.2
43;A Landbouw, bosbouw en visserij;2009;;;;;;;;;;;;;3.1;-0.2;-0.3;0.2;1.1;0.0;1.1;2.2;;;4.1;82.6;;;1.4;93.9;;;;;;;;;;;9868.0;82.3;396.0;4839.0;91.2;10335.0;26.1;84.0;10250.0;;87.6;88.0;97.8;87.6;;;15174.0;;89.1
44;A Landbouw, bosbouw en visserij;2010;;;;;;;;;;;;;-0.2;0.0;-0.5;0.5;-0.3;0.0;-0.3;0.1;;;1.4;83.8;;;0.3;94.1;;;;;;;;;;;11496.0;82.1;390.0;5914.0;91.3;7970.0;20.4;83.0;7886.0;;87.3;89.0;99.5;87.1;;;13883.0;;88.8
45;A Landbouw, bosbouw en visserij;2011;;;;;;;;;;;;;-0.2;-0.1;-0.4;0.3;1.0;0.0;1.0;-1.1;;;0.7;84.4;;;-1.9;92.3;;;;;;;;;;;10486.0;82.0;386.0;5531.0;91.1;8850.0;22.9;83.0;8767.0;;88.8;91.4;101.3;88.7;;;14381.0;;89.6
46;A Landbouw, bosbouw en visserij;2012;;;;;;;;;;;;;-0.1;-0.3;-0.6;0.3;1.1;0.0;1.1;-0.9;;;1.6;85.7;;;-1.9;90.6;;;;;;;;;;;11170.0;81.9;380.0;6165.0;90.3;8031.0;21.1;76.0;7955.0;;90.4;94.6;101.7;90.3;;;14196.0;;90.4
47;A Landbouw, bosbouw en visserij;2013;;;;;;;;;;;;;1.4;0.4;-0.1;0.5;1.1;0.0;1.1;0.0;;;1.8;87.2;;;-0.4;90.2;;;;;;;;;;;12278.0;83.1;379.0;6605.0;91.1;7695.0;20.3;72.0;7623.0;;92.1;96.7;99.2;92.1;;;14300.0;;91.7
48;A Landbouw, bosbouw en visserij;2014;;;;;;;;;;;;;5.1;0.8;0.5;0.3;0.6;0.0;0.6;3.7;;;4.0;90.7;;;4.0;93.8;;;;;;;;;;;12222.0;87.3;383.0;6316.0;92.7;8960.0;23.4;70.0;8890.0;;93.1;96.7;97.4;93.1;;;15275.0;;92.9
49;A Landbouw, bosbouw en visserij;2015;;;;;;;;;;;;;3.2;-0.4;-0.5;0.1;0.7;0.0;0.7;2.9;;;4.4;94.7;;;2.0;95.7;;;;;;;;;;;12627.0;90.1;379.0;6749.0;91.9;8826.0;23.3;71.0;8755.0;;94.2;98.9;98.1;94.2;;;15575.0;;93.2
50;A Landbouw, bosbouw en visserij;2016;;;;;;;;;;;;;3.0;1.5;1.3;0.2;0.4;0.0;0.4;1.0;;;0.0;94.7;;;2.3;97.8;;;;;;;;;;;13424.0;92.8;390.0;7487.0;95.2;7986.0;20.5;73.0;7913.0;;94.8;96.7;98.8;94.8;;;15473.0;;95.0
51;A Landbouw, bosbouw en visserij;2017;;;;;;;;;;;;;1.2;0.9;1.0;-0.1;0.2;0.0;0.2;0.1;;;-0.8;93.9;;;0.8;98.6;;;;;;;;;;;14776.0;93.9;398.0;7897.0;97.0;8175.0;20.5;73.0;8102.0;;95.3;95.2;98.2;95.3;;;16072.0;;96.2
52;A Landbouw, bosbouw en visserij;2018;;;;;;;;;;;;;-0.5;0.7;0.4;0.3;0.5;0.0;0.5;-1.7;;;-1.4;92.6;;;-1.5;97.2;;;;;;;;;;;13855.0;93.4;401.0;7937.0;98.4;8687.0;21.7;74.0;8613.0;;96.2;95.3;96.8;96.2;;;16624.0;;97.3
53;A Landbouw, bosbouw en visserij;2019;;;;;;;;;;;;;2.7;1.3;0.9;0.4;0.7;0.0;0.7;0.8;;;0.8;93.3;;;1.4;98.6;;;;;;;;;;;14594.0;96.0;409.0;8595.0;101.1;8632.0;21.1;75.0;8557.0;;97.4;94.7;95.4;97.4;;;17227.0;;99.2
54;A Landbouw, bosbouw en visserij;2020;;;;;;;;;;;;;1.7;-0.8;-1.1;0.2;0.9;0.0;0.9;1.6;;;3.9;96.9;;;-0.1;98.5;;;;;;;;;;;14185.0;97.6;400.0;8105.0;99.4;9764.0;24.4;80.0;9685.0;;99.1;98.4;99.0;99.1;;;17869.0;;99.2
55;A Landbouw, bosbouw en visserij;2021;;;;;;;;;;;;;2.5;0.3;-0.3;0.6;0.5;0.0;0.5;1.7;;100.0;3.2;100.0;;100.0;1.6;100.0;32760.0;100.0;18008.0;;;;100.0;100.0;100.0;100.0;14752.0;100.0;398.0;7595.0;100.0;9192.0;23.1;83.0;9109.0;;100.0;100.0;100.0;100.0;;34796.0;16787.0;100.0;100.0
56;A Landbouw, bosbouw en visserij;2022;-2.7;0.4;0.1;0.3;0.0;0.0;0.1;-2.2;-1.3;-0.7;-0.2;-0.9;-0.8;0.8;0.2;0.6;0.1;0.0;0.1;-1.7;-3.2;96.8;-1.3;98.7;-2.8;97.2;-0.9;99.1;38147.0;97.3;21829.0;4995.0;10564.0;6270.0;95.7;85.2;97.3;98.8;16318.0;99.2;400.0;7893.0;101.8;9856.0;24.7;82.0;9774.0;;100.2;99.6;94.8;100.2;;39578.0;17749.0;98.3;100.9
57;A Landbouw, bosbouw en visserij;2023;-1.9;-0.1;-0.2;0.1;0.0;0.0;0.0;-1.2;-0.3;-0.6;-0.3;-0.7;-1.7;-0.2;-0.4;0.2;0.1;0.0;0.1;-1.6;-1.1;95.7;-0.9;97.8;-2.1;95.2;-1.8;97.2;38525.0;95.4;20135.0;4282.0;9235.0;6618.0;93.7;83.5;95.0;97.0;18390.0;97.5;396.0;8518.0;101.2;11822.0;29.8;82.0;11740.0;;100.3;100.6;89.7;100.4;;40475.0;20339.0;97.0;100.7
58;B Delfstoffenwinning;1995;;;;;;;;;;;;;;;;;;;;;;;;346.2;;;;236.9;;;;;;;;;;;7206.0;509.2;20.0;764.0;120.6;5971.0;295.1;22.0;5949.0;;214.9;146.2;24.7;218.2;;;6735.0;;204.1
59;B Delfstoffenwinning;1996;;;;;;;;;;;;;13.7;1.1;0.5;0.6;7.9;0.1;7.8;4.7;;;9.4;378.6;;;4.4;247.3;;;;;;;;;;;8577.0;578.9;21.0;792.0;132.5;7385.0;351.1;22.0;7363.0;;234.1;153.1;29.8;237.6;;;8177.0;;222.5
60;B Delfstoffenwinning;1997;;;;;;;;;;;;;-10.5;-0.3;-0.4;0.1;-7.8;0.1;-7.9;-2.4;;;-7.1;351.7;;;-2.0;242.3;;;;;;;;;;;8287.0;518.1;20.0;777.0;128.3;6911.0;341.0;29.0;6882.0;;213.9;145.2;40.1;216.8;;;7689.0;;204.5
61;B Delfstoffenwinning;1998;;;;;;;;;;;;;-3.6;0.3;0.4;-0.1;-3.1;0.1;-3.3;-0.8;;;-7.5;325.3;;;-0.1;242.0;;;;;;;;;;;7537.0;499.5;21.0;794.0;132.2;6059.0;286.8;39.0;6020.0;;206.4;134.4;55.9;208.8;;;6853.0;;198.7
62;B Delfstoffenwinning;1999;;;;;;;;;;;;;-5.0;0.1;-0.5;0.7;-2.8;0.3;-3.1;-2.4;;;-0.8;322.8;;;-1.9;237.3;;;;;;;;;;;6529.0;474.3;20.0;758.0;133.8;4986.0;246.7;51.0;4934.0;;199.8;136.0;80.6;201.5;;;5743.0;;193.4
63;B Delfstoffenwinning;2000;;;;;;;;;;;;;-6.4;-0.3;-0.4;0.1;-2.1;0.3;-2.4;-4.1;;;-3.9;310.3;;;-4.2;227.5;;;;;;;;;;;9253.0;443.8;20.0;840.0;131.2;7447.0;378.5;67.0;7380.0;;195.1;136.4;106.3;196.0;;;8287.0;;188.9
64;B Delfstoffenwinning;2001;;;;;;;;;;;;;3.2;-0.5;-0.4;-0.1;5.4;0.1;5.3;-1.7;;;7.0;332.2;;;-2.7;221.4;;;;;;;;;;;11614.0;458.1;19.0;811.0;125.1;11105.0;585.4;80.0;11025.0;;206.9;150.0;125.7;207.6;;;11916.0;;198.3
65;B Delfstoffenwinning;2002;;;;;;;;;;;;;1.0;0.4;0.4;0.0;-1.4;0.1;-1.5;2.0;;;-4.8;316.4;;;2.6;227.2;;;;;;;;;;;10686.0;462.8;20.0;902.0;132.7;9903.0;492.1;95.0;9807.0;;203.7;139.3;150.1;204.2;;;10804.0;;196.3
66;B Delfstoffenwinning;2003;;;;;;;;;;;;;-1.2;-0.4;-0.5;0.1;-1.3;0.1;-1.4;0.5;;;5.1;332.6;;;0.2;227.7;;;;;;;;;;;11189.0;457.4;19.0;912.0;126.0;10701.0;565.5;103.0;10599.0;;200.9;146.1;172.4;201.0;;;11614.0;;193.0
67;B Delfstoffenwinning;2004;;;;;;;;;;;;;8.8;0.0;-0.1;0.1;10.1;0.1;10.0;-1.2;;;9.9;365.4;;;-1.9;223.4;;;;;;;;;;;11847.0;497.8;19.0;942.0;125.6;11485.0;612.9;112.0;11373.0;;222.8;163.6;189.6;223.0;;;12427.0;;212.3
68;B Delfstoffenwinning;2005;;;;;;;;;;;;;-16.8;-1.3;-1.4;0.1;-6.3;0.0;-6.3;-9.2;;;1.9;372.4;;;-10.7;199.5;;;;;;;;;;;12994.0;414.4;15.0;775.0;103.7;12619.0;824.4;113.0;12506.0;;207.7;186.6;197.2;207.6;;;13394.0;;196.2
