ID;Achtergrondkenmerken;Perioden;DelictenWaarbijOokIetsIsGestolen_1;DelictenWaarbijOokIetsIsVernield_2;DelictenMetFinancieleSchade_3;DelictenNaarGemiddeldSchadebedrag_4;DelictenNaarTotaleFinancieleSchade_5;DelictenGeheleGedeeltelijkeVergoeding_6;DelictenZonderVergoeding_7
51;Inbraak;2000;69.8;57.9;76.6;;;62.4;10.3
52;Inbraak;2001;76.8;59.1;72.0;;;61.5;11.4
53;Inbraak;2002;73.8;56.9;75.9;;;67.3;12.7
54;Inbraak;2003;74.1;67.4;78.3;;;70.1;12.8
55;Inbraak;2004;77.5;57.4;69.1;;;60.2;7.4
56;Fietsdiefstal;1997;;;81.2;163.0;98.0;10.0;
57;Fietsdiefstal;1998;;;79.0;164.0;102.0;15.3;5.7
58;Fietsdiefstal;1999;;;81.5;191.0;110.0;10.6;6.0
59;Fietsdiefstal;2000;;;80.8;;;12.6;6.6
60;Fietsdiefstal;2001;;;85.3;;;16.7;5.8
61;Fietsdiefstal;2002;;;80.7;;;13.9;8.8
62;Fietsdiefstal;2003;;;78.2;;;12.1;7.1
63;Fietsdiefstal;2004;;;77.9;;;11.9;7.0
64;Autodiefstal;1997;;;90.3;4274.0;;66.0;
65;Autodiefstal;1998;;;90.3;4274.0;;66.0;5.4
66;Autodiefstal;1999;;;90.3;4274.0;;66.0;5.4
67;Autodiefstal;2000;;;90.3;;;66.0;5.4
68;Autodiefstal;2001;;;90.3;;;66.0;5.4
69;Autodiefstal;2002;;;;;;;
70;Autodiefstal;2003;;;;;;;
71;Autodiefstal;2004;;;;;;;
72;Diefstal uit auto;1997;;;87.9;653.0;143.0;45.8;
73;Diefstal uit auto;1998;;;87.2;601.0;103.0;49.4;19.2
74;Diefstal uit auto;1999;;;82.1;645.0;128.0;51.9;14.2
75;Diefstal uit auto;2000;;;85.7;;;52.8;19.6
76;Diefstal uit auto;2001;;;86.1;;;54.0;18.0
77;Diefstal uit auto;2002;;;89.5;;;55.7;16.1
78;Diefstal uit auto;2003;;;91.6;;;50.2;19.4
79;Diefstal uit auto;2004;;;89.8;;;47.8;14.7
80;Zakkenrollerij;1997;;;93.4;182.0;35.0;12.0;
81;Zakkenrollerij;1998;;;86.4;152.0;30.0;10.6;15.3
82;Zakkenrollerij;1999;;;84.8;213.0;40.0;11.3;18.9
83;Zakkenrollerij;2000;;;87.1;;;14.5;12.4
84;Zakkenrollerij;2001;;;86.7;;;17.9;13.4
85;Zakkenrollerij;2002;;;87.0;;;13.1;15.4
86;Zakkenrollerij;2003;;;87.3;;;14.1;18.7
87;Zakkenrollerij;2004;;;87.5;;;13.5;19.5
88;Overige diefstal;1997;;14.7;75.9;274.0;96.0;16.7;
89;Overige diefstal;1998;;17.5;74.3;253.0;90.0;18.3;9.2
90;Overige diefstal;1999;;13.8;75.4;263.0;77.0;17.1;12.7
91;Overige diefstal;2000;;15.4;68.9;;;24.6;11.6
92;Overige diefstal;2001;;13.2;71.7;;;16.2;8.1
93;Overige diefstal;2002;;17.6;77.3;;;18.0;11.4
94;Overige diefstal;2003;;17.7;78.0;;;12.1;13.5
95;Overige diefstal;2004;;14.7;73.8;;;12.2;12.0
96;Vandalismedelicten totaal;1997;;;68.5;;437.0;22.9;
97;Vandalismedelicten totaal;1998;;;68.1;;360.0;20.6;11.9
98;Vandalismedelicten totaal;1999;;;67.1;;442.0;22.0;10.8
99;Vandalismedelicten totaal;2000;;;66.9;;;23.6;10.6
100;Vandalismedelicten totaal;2001;;;66.2;;;23.6;11.4
101;Vandalismedelicten totaal;2002;;;69.5;;;19.4;11.6
102;Vandalismedelicten totaal;2003;;;66.7;;;24.5;12.2
103;Vandalismedelicten totaal;2004;;;68.0;;;23.6;9.3
104;Beschadiging/diefstal vanaf auto;1997;;;73.6;421.0;273.0;25.5;
105;Beschadiging/diefstal vanaf auto;1998;;;74.1;339.0;237.0;23.9;13.7
106;Beschadiging/diefstal vanaf auto;1999;;;71.0;346.0;263.0;23.2;11.4
107;Beschadiging/diefstal vanaf auto;2000;;;70.5;;;28.6;12.5
108;Beschadiging/diefstal vanaf auto;2001;;;73.2;;;24.0;13.7
109;Beschadiging/diefstal vanaf auto;2002;;;73.1;;;22.4;11.0
110;Beschadiging/diefstal vanaf auto;2003;;;69.8;;;27.7;12.8
111;Beschadiging/diefstal vanaf auto;2004;;;72.5;;;24.5;10.6
112;Overige vernielingen;1997;;;62.9;338.0;164.0;19.6;
113;Overige vernielingen;1998;;;61.4;254.0;123.0;16.2;9.6
114;Overige vernielingen;1999;;;62.3;350.0;178.0;20.4;9.9
115;Overige vernielingen;2000;;;62.4;;;16.9;7.9
116;Overige vernielingen;2001;;;57.3;;;22.9;7.9
117;Overige vernielingen;2002;;;64.6;;;14.9;12.6
118;Overige vernielingen;2003;;;61.8;;;18.7;11.2
119;Overige vernielingen;2004;;;61.7;;;22.1;7.0
120;Doorrijden na aanrijding;1997;;;63.7;849.0;97.0;50.8;
121;Doorrijden na aanrijding;1998;;;52.5;787.0;73.0;44.1;14.2
122;Doorrijden na aanrijding;1999;;;58.5;887.0;101.0;49.8;10.5
123;Doorrijden na aanrijding;2000;;;60.2;;;42.1;20.4
124;Doorrijden na aanrijding;2001;;;57.7;;;46.2;18.7
125;Doorrijden na aanrijding;2002;;;60.3;;;42.7;11.9
126;Doorrijden na aanrijding;2003;;;54.9;;;39.7;12.7
127;Doorrijden na aanrijding;2004;;;52.9;;;45.2;18.1
128;Overige delicten;1997;;;51.9;;;41.3;
129;Overige delicten;1998;;;43.8;;;41.3;24.1
130;Overige delicten;1999;;;27.7;;;41.3;24.1
131;Overige delicten;2000;;;32.5;;;41.3;24.1
132;Overige delicten;2001;;;48.9;;;41.3;24.1
133;Overige delicten;2002;;;35.5;;;;
134;Overige delicten;2003;;;38.6;;;;
135;Overige delicten;2004;;;41.2;;;;
