ID;MethodenVanSlibontwatering;Perioden;VoorOntwatering_1;NaOntwatering_2;DrogeStofNaOntwatering_3;IngaandRekenkundig_4;UitgaandRekenkundig_5;IngaandLandelijk_6;UitgaandLandelijk_7
122;Vacuümfilter;2014;0.0;0.0;0.0;;;;
123;Vacuümfilter;2015;0.0;0.0;0.0;;;;
124;Vacuümfilter;2016;0.0;0.0;0.0;;;;
125;Vacuümfilter;2018;0.0;0.0;0.0;;;;
126;Vacuümfilter;2020;0.0;0.0;0.0;;;;
127;Vacuümfilter;2022;0.0;0.0;0.0;;;;
128;Zeefbandpers;1981;639.0;84.0;17.0;3.7;18.9;2.6;19.8
129;Zeefbandpers;1985;1416.0;198.0;38.0;3.5;19.5;2.7;19.8
130;Zeefbandpers;1990;3055.0;471.0;98.0;3.6;21.6;3.2;22.0
131;Zeefbandpers;1991;3515.0;553.0;113.0;3.5;21.3;3.2;21.8
132;Zeefbandpers;1992;3936.0;583.0;121.0;3.4;21.2;3.1;21.7
133;Zeefbandpers;1993;3924.0;626.0;129.0;3.3;21.0;3.3;21.3
134;Zeefbandpers;1994;3208.0;566.0;116.0;3.8;20.3;3.6;20.7
135;Zeefbandpers;1995;2951.0;528.0;110.0;3.8;20.3;3.7;20.7
136;Zeefbandpers;1996;3483.0;566.0;116.0;3.6;20.1;3.3;20.4
137;Zeefbandpers;1997;2876.0;490.0;102.0;3.7;20.3;3.5;20.8
138;Zeefbandpers;1998;2891.0;485.0;101.0;3.6;20.7;3.5;20.8
139;Zeefbandpers;1999;2645.0;426.0;86.0;3.4;20.4;3.2;20.1
140;Zeefbandpers;2000;3277.0;420.0;87.0;3.3;20.5;2.7;20.7
141;Zeefbandpers;2001;2225.0;379.0;78.0;3.7;20.5;3.5;20.5
142;Zeefbandpers;2002;2388.0;370.0;77.0;3.5;20.7;3.2;20.7
143;Zeefbandpers;2003;2272.0;347.0;70.0;3.4;20.3;3.1;20.3
144;Zeefbandpers;2004;2712.0;313.0;64.0;3.4;20.7;2.4;20.6
145;Zeefbandpers;2005;2946.0;338.0;69.0;3.4;20.4;2.4;20.5
146;Zeefbandpers;2006;2893.0;334.0;68.0;3.3;20.2;2.3;20.3
147;Zeefbandpers;2007;3223.0;303.0;64.0;3.3;20.5;2.0;21.0
148;Zeefbandpers;2008;3244.0;296.0;62.0;3.0;20.6;1.9;21.1
149;Zeefbandpers;2009;3451.0;307.0;66.0;3.0;20.7;1.9;21.4
150;Zeefbandpers;2010;3322.0;273.0;58.0;2.9;20.7;1.7;21.1
151;Zeefbandpers;2011;4194.0;395.0;88.0;2.9;21.1;2.1;21.7
152;Zeefbandpers;2012;4854.0;366.0;80.0;2.9;21.2;1.7;21.5
153;Zeefbandpers;2013;4293.0;350.0;77.0;2.9;20.7;1.8;21.5
154;Zeefbandpers;2014;4582.0;359.0;80.0;2.9;20.9;1.8;21.6
155;Zeefbandpers;2015;4444.0;361.0;78.0;3.1;20.9;1.7;21.8
156;Zeefbandpers;2016;4061.0;351.0;78.0;3.0;21.1;1.9;22.1
157;Zeefbandpers;2018;3633.0;323.0;69.0;2.8;21.1;1.9;21.5
158;Zeefbandpers;2020;2278.0;336.0;71.0;3.44;20.78;3.1;21.06
159;Zeefbandpers;2022;2201.0;246.0;52.0;3.23;21.0;2.37;21.21
160;Filterpers;1981;850.0;116.0;37.0;4.4;35.6;4.4;34.8
161;Filterpers;1985;1189.0;138.0;49.0;4.5;38.8;4.1;37.4
162;Filterpers;1990;1752.0;240.0;62.0;4.0;35.0;3.5;33.4
163;Filterpers;1991;1957.0;253.0;65.0;4.0;34.1;3.3;32.8
164;Filterpers;1992;2402.0;294.0;79.0;3.9;33.3;3.3;31.7
165;Filterpers;1993;2217.0;288.0;81.0;4.1;36.7;3.7;34.3
166;Filterpers;1994;2135.0;322.0;86.0;4.5;33.5;4.0;32.3
167;Filterpers;1995;2945.0;394.0;104.0;3.9;30.2;3.5;30.3
168;Filterpers;1996;2283.0;321.0;83.0;3.9;30.0;3.6;30.3
169;Filterpers;1997;2113.0;289.0;79.0;3.8;30.5;3.7;31.4
170;Filterpers;1998;1825.0;222.0;64.0;3.5;29.0;3.5;29.4
171;Filterpers;1999;1929.0;266.0;71.0;3.8;30.2;3.7;29.3
172;Filterpers;2000;1929.0;236.0;64.0;3.2;30.3;3.3;27.0
173;Filterpers;2001;1724.0;228.0;62.0;3.5;30.6;3.6;27.4
174;Filterpers;2002;1847.0;238.0;64.0;3.4;27.3;3.5;27.1
175;Filterpers;2003;1834.0;241.0;62.0;3.2;27.8;3.4;25.9
176;Filterpers;2004;1909.0;258.0;64.0;3.2;26.2;3.4;25.0
177;Filterpers;2005;1995.0;256.0;65.0;3.1;28.2;3.2;25.2
178;Filterpers;2006;2047.0;274.0;68.0;3.3;25.8;3.3;24.8
179;Filterpers;2007;1769.0;253.0;62.0;3.3;26.2;3.5;25.1
180;Filterpers;2008;2015.0;267.0;65.0;3.1;26.8;3.2;24.6
181;Filterpers;2009;1609.0;224.0;56.0;3.5;29.0;3.5;25.1
182;Filterpers;2010;1498.0;216.0;56.0;3.6;27.9;3.7;25.7
183;Filterpers;2011;1527.0;217.0;54.0;3.5;28.0;3.5;25.2
184;Filterpers;2012;1213.0;169.0;42.0;3.5;25.1;3.4;24.9
185;Filterpers;2013;1273.0;156.0;39.0;3.0;25.5;3.1;24.7
186;Filterpers;2014;1024.0;157.0;38.0;3.6;25.2;3.8;23.8
187;Filterpers;2015;1090.0;165.0;40.0;3.7;24.9;3.7;24.9
188;Filterpers;2016;1100.0;164.0;40.0;3.8;24.7;3.6;24.3
189;Filterpers;2018;969.0;152.0;36.0;3.7;23.9;3.7;23.4
190;Filterpers;2020;1143.0;147.0;36.0;3.18;24.69;3.11;23.02
191;Filterpers;2022;1062.0;147.0;36.0;3.63;25.38;3.41;23.91
192;Centrifuge;1981;138.0;27.0;5.0;3.9;19.9;3.8;19.7
193;Centrifuge;1985;80.0;18.0;3.0;3.8;15.6;3.5;15.4
194;Centrifuge;1990;567.0;114.0;18.0;4.1;21.3;3.2;16.0
195;Centrifuge;1991;544.0;104.0;18.0;3.5;21.1;3.3;17.8
196;Centrifuge;1992;646.0;125.0;21.0;3.7;23.2;3.3;18.0
197;Centrifuge;1993;1464.0;187.0;45.0;3.6;25.8;3.0;25.2
198;Centrifuge;1994;1787.0;268.0;62.0;3.8;23.4;3.5;23.3
199;Centrifuge;1995;2288.0;330.0;77.0;3.5;23.7;3.4;23.4
200;Centrifuge;1996;3628.0;491.0;115.0;3.4;23.1;3.2;23.7
201;Centrifuge;1997;4083.0;548.0;131.0;3.3;23.5;3.2;23.8
202;Centrifuge;1998;5216.0;683.0;168.0;3.4;23.9;3.2;24.5
203;Centrifuge;1999;5890.0;792.0;190.0;3.6;23.5;3.2;24.0
204;Centrifuge;2000;5610.0;735.0;178.0;3.4;23.5;3.2;23.9
205;Centrifuge;2001;5941.0;805.0;194.0;3.5;23.7;3.3;24.0
206;Centrifuge;2002;6426.0;814.0;194.0;3.3;23.5;3.0;23.7
207;Centrifuge;2003;6432.0;819.0;194.0;3.4;23.5;3.0;23.7
208;Centrifuge;2004;6651.0;825.0;195.0;3.3;23.5;2.9;23.7
209;Centrifuge;2005;8593.0;850.0;201.0;3.2;23.5;2.3;23.7
210;Centrifuge;2006;8185.0;894.0;208.0;3.3;23.2;2.5;23.3
211;Centrifuge;2007;7437.0;861.0;199.0;3.1;23.1;2.7;23.2
212;Centrifuge;2008;8040.0;917.0;216.0;3.0;23.0;2.7;22.7
213;Centrifuge;2009;8039.0;961.0;222.0;3.1;23.1;2.8;23.0
214;Centrifuge;2010;8297.0;963.0;222.0;3.2;23.0;2.7;23.1
215;Centrifuge;2011;7164.0;850.0;198.0;3.1;23.1;2.8;23.0
216;Centrifuge;2012;7165.0;881.0;211.0;3.3;23.3;2.9;23.3
217;Centrifuge;2013;8140.0;826.0;212.0;3.1;23.4;2.6;23.4
218;Centrifuge;2014;8408.0;886.0;218.0;3.1;23.2;2.6;23.3
219;Centrifuge;2015;7963.0;898.0;216.0;3.1;23.3;2.7;23.4
220;Centrifuge;2016;7855.0;893.0;218.0;3.3;23.5;2.8;23.9
221;Centrifuge;2018;7320.0;840.0;204.0;3.4;23.4;2.8;23.5
222;Centrifuge;2020;6908.0;963.0;231.0;3.62;23.39;3.35;23.63
223;Centrifuge;2022;7880.0;976.0;231.0;3.7;23.11;2.93;23.17
224;Schroefpers;1981;;;;;;;
225;Schroefpers;1985;;;;;;;
226;Schroefpers;1990;;;;;;;
227;Schroefpers;1991;;;;;;;
228;Schroefpers;1992;;;;;;;
229;Schroefpers;1993;;;;;;;
230;Schroefpers;1994;;;;;;;
231;Schroefpers;1995;;;;;;;
232;Schroefpers;1996;;;;;;;
233;Schroefpers;1997;;;;;;;
234;Schroefpers;1998;;;;;;;
235;Schroefpers;1999;;;;;;;
236;Schroefpers;2000;;;;;;;
237;Schroefpers;2001;;;;;;;
238;Schroefpers;2002;;;;;;;
239;Schroefpers;2003;;;;;;;
240;Schroefpers;2004;;;;;;;
241;Schroefpers;2005;;;;;;;
242;Schroefpers;2006;;;;;;;
243;Schroefpers;2007;;;;;;;
244;Schroefpers;2008;;;;;;;
245;Schroefpers;2009;;;;;;;
246;Schroefpers;2010;;;;;;;
247;Schroefpers;2011;;;;;;;
248;Schroefpers;2012;;;;;;;
249;Schroefpers;2013;;;;;;;
250;Schroefpers;2014;;;;;;;
251;Schroefpers;2015;;;;;;;
252;Schroefpers;2016;;;;;;;
253;Schroefpers;2018;140.0;18.0;4.0;5.8;20.9;2.8;21.1
254;Schroefpers;2020;94.0;18.0;4.0;4.38;22.52;4.4;23.53
255;Schroefpers;2022;133.0;19.0;4.0;3.86;22.3;3.32;23.16
256;Thermisch drogen;1981;113.0;5.0;5.0;5.6;95.3;4.3;96.2
257;Thermisch drogen;1985;0.0;0.0;0.0;2.7;96.5;2.7;96.1
258;Thermisch drogen;1990;33.0;14.0;7.0;21.8;59.4;21.8;51.0
259;Thermisch drogen;1991;18.0;8.0;4.0;20.1;44.7;20.1;44.7
260;Thermisch drogen;1992;28.0;12.0;5.0;17.0;32.7;16.7;31.2
261;Thermisch drogen;1993;8.0;5.0;2.0;20.5;32.4;20.5;32.4
262;Thermisch drogen;1994;25.0;5.0;2.0;12.6;30.4;6.3;30.4
263;Thermisch drogen;1995;96.0;26.0;22.0;23.2;70.5;23.3;84.9
264;Thermisch drogen;1996;352.0;43.0;40.0;18.1;92.3;11.2;91.4
265;Thermisch drogen;1997;256.0;64.0;59.0;26.8;91.8;23.0;92.1
266;Thermisch drogen;1998;679.0;81.0;74.0;23.7;91.3;10.9;91.9
267;Thermisch drogen;1999;1130.0;95.0;81.0;18.0;80.3;7.1;84.9
268;Thermisch drogen;2000;1094.0;76.0;70.0;19.0;93.2;6.4;91.9
269;Thermisch drogen;2001;922.0;67.0;63.0;19.5;94.3;6.8;93.6
270;Thermisch drogen;2002;326.0;79.0;74.0;22.4;93.6;22.6;92.6
271;Thermisch drogen;2003;320.0;74.0;69.0;21.6;93.6;21.6;93.3
272;Thermisch drogen;2004;304.0;71.0;66.0;21.8;93.2;21.8;93.0
273;Thermisch drogen;2005;342.0;81.0;76.0;21.7;93.9;22.2;93.5
274;Thermisch drogen;2006;247.0;54.0;50.0;20.9;92.7;20.2;92.5
275;Thermisch drogen;2007;231.0;55.0;50.0;22.7;93.3;21.9;92.5
276;Thermisch drogen;2008;208.0;51.0;47.0;23.5;93.3;22.4;92.4
277;Thermisch drogen;2009;189.0;45.0;42.0;23.0;92.4;22.0;92.0
278;Thermisch drogen;2010;172.0;42.0;39.0;23.6;92.2;22.4;92.2
279;Thermisch drogen;2011;184.0;46.0;42.0;23.6;92.1;22.7;92.2
280;Thermisch drogen;2012;157.0;38.0;35.0;23.7;93.3;22.5;93.2
281;Thermisch drogen;2013;152.0;34.0;33.0;22.8;92.5;22.0;92.4
282;Thermisch drogen;2014;155.0;37.0;34.0;23.3;92.2;22.2;92.1
283;Thermisch drogen;2015;123.0;31.0;28.0;23.8;91.9;22.9;91.9
284;Thermisch drogen;2016;134.0;34.0;31.0;23.9;92.0;23.4;92.0
285;Thermisch drogen;2018;120.0;27.0;25.0;17.3;91.9;21.1;92.0
286;Thermisch drogen;2020;153.0;39.0;36.0;23.66;91.87;23.49;91.63
287;Thermisch drogen;2022;298.0;38.0;34.0;14.51;91.72;11.44;91.69
288;Natte afvoer naar andere rwzi;1981;198.0;60.0;3.0;4.3;5.0;1.4;4.5
289;Natte afvoer naar andere rwzi;1985;752.0;735.0;12.0;3.8;4.7;1.6;1.6
290;Natte afvoer naar andere rwzi;1990;2259.0;2139.0;50.0;3.6;4.3;2.2;2.4
291;Natte afvoer naar andere rwzi;1991;2721.0;2585.0;57.0;3.5;4.2;2.1;2.2
292;Natte afvoer naar andere rwzi;1992;3168.0;3538.0;69.0;3.5;4.1;2.2;1.9
293;Natte afvoer naar andere rwzi;1993;6131.0;5969.0;96.0;3.7;4.1;1.6;1.6
294;Natte afvoer naar andere rwzi;1994;6854.0;6844.0;94.0;4.0;4.0;1.4;1.4
295;Natte afvoer naar andere rwzi;1995;3986.0;3981.0;95.0;4.0;4.0;2.4;2.4
296;Natte afvoer naar andere rwzi;1996;6306.0;6291.0;104.0;3.7;3.8;1.7;1.7
297;Natte afvoer naar andere rwzi;1997;5171.0;5120.0;109.0;3.7;3.8;2.1;2.1
298;Natte afvoer naar andere rwzi;1998;4794.0;4739.0;107.0;3.6;3.7;2.2;2.3
299;Natte afvoer naar andere rwzi;1999;4902.0;4647.0;102.0;2.9;4.0;2.1;2.2
300;Natte afvoer naar andere rwzi;2000;5253.0;5094.0;107.0;3.4;3.6;2.0;2.1
301;Natte afvoer naar andere rwzi;2001;6749.0;6698.0;117.0;3.6;3.7;1.7;1.8
302;Natte afvoer naar andere rwzi;2002;5585.0;5576.0;116.0;3.7;3.7;2.1;2.1
303;Natte afvoer naar andere rwzi;2003;5169.0;5143.0;111.0;3.4;3.5;2.1;2.2
304;Natte afvoer naar andere rwzi;2004;6633.0;6519.0;113.0;3.5;3.5;1.7;1.7
305;Natte afvoer naar andere rwzi;2005;6315.0;6200.0;106.0;3.4;3.4;1.7;1.7
306;Natte afvoer naar andere rwzi;2006;5201.0;5064.0;111.0;3.4;3.5;2.1;2.2
307;Natte afvoer naar andere rwzi;2007;6054.0;5945.0;130.0;3.6;3.7;2.1;2.2
308;Natte afvoer naar andere rwzi;2008;6157.0;6155.0;137.0;3.5;3.6;2.2;2.2
309;Natte afvoer naar andere rwzi;2009;6222.0;6209.0;134.0;3.5;3.5;2.2;2.2
310;Natte afvoer naar andere rwzi;2010;6360.0;6086.0;137.0;3.6;3.6;2.2;2.3
311;Natte afvoer naar andere rwzi;2011;5949.0;5671.0;140.0;3.5;3.5;2.3;2.5
312;Natte afvoer naar andere rwzi;2012;5859.0;5577.0;139.0;3.6;3.6;2.4;2.5
313;Natte afvoer naar andere rwzi;2013;5441.0;5392.0;146.0;3.5;3.5;2.7;2.7
314;Natte afvoer naar andere rwzi;2014;6230.0;5275.0;150.0;3.5;3.6;2.4;2.8
315;Natte afvoer naar andere rwzi;2015;5201.0;5201.0;148.0;3.6;3.6;2.8;2.8
316;Natte afvoer naar andere rwzi;2016;6027.0;6027.0;152.0;3.5;3.5;2.5;2.5
317;Natte afvoer naar andere rwzi;2018;6685.0;6540.0;167.0;3.7;3.8;2.5;2.5
318;Natte afvoer naar andere rwzi;2020;6032.0;6032.0;156.0;3.73;3.73;2.59;2.59
319;Natte afvoer naar andere rwzi;2022;7306.0;6759.0;185.0;4.1;4.2;2.53;2.74
320;Buffering;1981;0.0;0.0;0.0;;;;
321;Buffering;1985;0.0;0.0;0.0;;;;
322;Buffering;1990;168.0;88.0;7.0;4.4;13.1;4.2;13.6
323;Buffering;1991;126.0;81.0;5.0;4.2;10.1;4.0;22.3
324;Buffering;1992;196.0;60.0;7.0;4.0;11.7;3.6;15.2
325;Buffering;1993;274.0;83.0;11.0;4.9;7.9;4.1;27.2
326;Buffering;1994;272.0;75.0;10.0;4.3;10.1;3.6;13.4
327;Buffering;1995;104.0;46.0;4.0;4.1;9.4;3.7;17.0
328;Buffering;1996;178.0;49.0;8.0;4.4;7.4;4.5;16.4
329;Buffering;1997;50.0;13.0;2.0;3.8;9.5;3.5;6.8
330;Buffering;1998;11.0;14.0;0.0;3.6;4.3;3.4;3.7
331;Buffering;1999;215.0;24.0;6.0;3.3;15.8;2.7;24.8
332;Buffering;2000;15.0;5.0;2.0;4.2;3.7;12.1;3.6
333;Buffering;2001;110.0;23.0;5.0;3.5;4.8;4.1;4.2
334;Buffering;2002;82.0;9.0;3.0;4.6;5.1;3.5;5.6
335;Buffering;2003;61.0;7.0;2.0;3.6;3.3;3.1;3.3
336;Buffering;2004;60.0;6.0;2.0;3.5;3.3;3.6;3.4
337;Buffering;2005;67.0;10.0;2.0;3.4;4.1;3.7;4.2
338;Buffering;2006;101.0;14.0;4.0;3.2;2.5;3.8;11.2
339;Buffering;2007;36.0;34.0;1.0;2.8;4.1;2.7;3.0
340;Buffering;2008;82.0;45.0;5.0;8.2;11.2;6.6;11.9
341;Buffering;2009;5.0;13.0;0.0;3.3;3.6;4.3;4.7
342;Buffering;2010;16.0;25.0;0.0;3.4;5.4;3.1;5.9
343;Buffering;2011;30.0;9.0;1.0;3.3;19.6;3.0;8.7
344;Buffering;2012;34.0;11.0;1.0;3.0;14.9;2.6;8.0
345;Buffering;2013;1.0;1.0;0.0;3.8;4.9;2.7;4.3
346;Buffering;2014;0.0;9.0;0.0;3.4;7.9;4.0;3.6
347;Buffering;2015;14.0;12.0;0.0;2.9;3.0;2.5;3.0
348;Buffering;2016;13.0;2.0;0.0;3.2;26.8;3.2;26.8
349;Buffering;2018;0.0;0.0;0.0;;;;
350;Buffering;2020;0.0;0.0;0.0;;;;
351;Buffering;2022;0.0;0.0;0.0;;;;
