ID;Migratieachtergrond;Perioden;TotaalLevendGeborenKinderen_1;GemiddeldKindertalPerVrouw_2
167;Westerse migratieachtergrond;2034;20319;1.38
168;Westerse migratieachtergrond;2035;20527;1.38
169;Westerse migratieachtergrond;2036;20718;1.38
170;Westerse migratieachtergrond;2037;20898;1.38
171;Westerse migratieachtergrond;2038;21071;1.38
172;Westerse migratieachtergrond;2039;21238;1.39
173;Westerse migratieachtergrond;2040;21400;1.39
174;Westerse migratieachtergrond;2041;21556;1.39
175;Westerse migratieachtergrond;2042;21715;1.39
176;Westerse migratieachtergrond;2043;21875;1.39
177;Westerse migratieachtergrond;2044;22031;1.39
178;Westerse migratieachtergrond;2045;22192;1.39
179;Westerse migratieachtergrond;2046;22352;1.4
180;Westerse migratieachtergrond;2047;22509;1.4
181;Westerse migratieachtergrond;2048;22667;1.4
182;Westerse migratieachtergrond;2049;22827;1.4
183;Westerse migratieachtergrond;2050;22983;1.4
184;Westerse migratieachtergrond;2051;23143;1.4
185;Westerse migratieachtergrond;2052;23299;1.41
186;Westerse migratieachtergrond;2053;23451;1.41
187;Westerse migratieachtergrond;2054;23604;1.41
188;Westerse migratieachtergrond;2055;23754;1.41
189;Westerse migratieachtergrond;2056;23900;1.41
190;Westerse migratieachtergrond;2057;24046;1.41
191;Westerse migratieachtergrond;2058;24188;1.41
192;Westerse migratieachtergrond;2059;24327;1.41
193;Westerse migratieachtergrond;2060;24464;1.42
194;Westerse migratieachtergrond;2061;24595;1.42
195;Westerse migratieachtergrond;2062;24725;1.42
196;Westerse migratieachtergrond;2063;24847;1.42
197;Westerse migratieachtergrond;2064;24969;1.42
198;Westerse migratieachtergrond;2065;25088;1.42
199;Westerse migratieachtergrond;2066;25201;1.42
200;Westerse migratieachtergrond;2067;25310;1.42
201;Westerse migratieachtergrond;2068;25410;1.42
202;Westerse migratieachtergrond;2069;25512;1.42
203;Westerse migratieachtergrond;2070;25603;1.42
204;Niet-westerse migratieachtergrond;2020;21760;1.94
205;Niet-westerse migratieachtergrond;2021;20530;1.83
206;Niet-westerse migratieachtergrond;2022;21048;1.84
207;Niet-westerse migratieachtergrond;2023;21932;1.86
208;Niet-westerse migratieachtergrond;2024;22865;1.89
209;Niet-westerse migratieachtergrond;2025;23424;1.89
210;Niet-westerse migratieachtergrond;2026;23979;1.9
211;Niet-westerse migratieachtergrond;2027;24354;1.9
212;Niet-westerse migratieachtergrond;2028;24690;1.9
213;Niet-westerse migratieachtergrond;2029;24985;1.9
214;Niet-westerse migratieachtergrond;2030;25233;1.9
215;Niet-westerse migratieachtergrond;2031;25449;1.9
216;Niet-westerse migratieachtergrond;2032;25653;1.9
217;Niet-westerse migratieachtergrond;2033;25852;1.9
218;Niet-westerse migratieachtergrond;2034;26049;1.9
219;Niet-westerse migratieachtergrond;2035;26239;1.9
220;Niet-westerse migratieachtergrond;2036;26429;1.9
221;Niet-westerse migratieachtergrond;2037;26618;1.9
222;Niet-westerse migratieachtergrond;2038;26804;1.9
223;Niet-westerse migratieachtergrond;2039;26991;1.89
224;Niet-westerse migratieachtergrond;2040;27176;1.89
225;Niet-westerse migratieachtergrond;2041;27358;1.89
226;Niet-westerse migratieachtergrond;2042;27537;1.89
227;Niet-westerse migratieachtergrond;2043;27708;1.89
228;Niet-westerse migratieachtergrond;2044;27875;1.89
229;Niet-westerse migratieachtergrond;2045;28034;1.89
230;Niet-westerse migratieachtergrond;2046;28186;1.89
231;Niet-westerse migratieachtergrond;2047;28329;1.88
232;Niet-westerse migratieachtergrond;2048;28470;1.88
233;Niet-westerse migratieachtergrond;2049;28601;1.88
234;Niet-westerse migratieachtergrond;2050;28730;1.88
235;Niet-westerse migratieachtergrond;2051;28856;1.88
236;Niet-westerse migratieachtergrond;2052;28975;1.88
