ID;Componenten;Perioden;InputprijsindexBouwkosten_1;OntwikkelingTOVEenJaarEerder_2
67;Bouwkosten totaal;2023 maart;115.2;7.6
68;Bouwkosten totaal;2023 april;115.6;6.2
69;Bouwkosten totaal;2023 mei;115.7;5.7
70;Bouwkosten totaal;2023 juni;115.6;6.0
71;Bouwkosten totaal;2023 juli;115.9;5.2
72;Bouwkosten totaal;2023 augustus;115.6;4.9
73;Bouwkosten totaal;2023 september;115.6;4.1
74;Bouwkosten totaal;2023 oktober;115.6;3.6
75;Bouwkosten totaal;2023 november;115.4;3.6
76;Bouwkosten totaal;2023 december;115.5;3.9
77;Bouwkosten totaal;2023;115.4;5.6
78;Bouwkosten totaal;2024 januari;117.3;2.9
79;Bouwkosten totaal;2024 februari;117.3;2.5
80;Bouwkosten totaal;2024 maart;117.3;1.8
81;Bouwkosten totaal;2024 april;117.1;1.3
82;Bouwkosten totaal;2024 mei;116.9;1.0
83;Bouwkosten totaal;2024 juni;117.1;1.2
84;Bouwkosten totaal;2024 juli;120.3;3.8
85;Bouwkosten totaal;2024 augustus;120.3;4.1
86;Bouwkosten totaal;2024 september;120.2;4.0
87;Bouwkosten totaal;2024 oktober;120.0;3.8
88;Bouwkosten totaal;2024 november;120.1;4.1
89;Bouwkosten totaal;2024 december;120.2;4.0
90;Bouwkosten totaal;2024;118.7;2.9
91;Bouwkosten totaal;2025 januari;120.9;3.0
92;Bouwkosten totaal;2025 februari;121.1;3.3
93;Looncomponent;2018 januari;91.7;
94;Looncomponent;2018 februari;91.7;
95;Looncomponent;2018 maart;91.7;
96;Looncomponent;2018 april;91.7;
97;Looncomponent;2018 mei;91.7;
98;Looncomponent;2018 juni;91.7;
99;Looncomponent;2018 juli;92.6;
100;Looncomponent;2018 augustus;93.6;
101;Looncomponent;2018 september;93.6;
102;Looncomponent;2018 oktober;93.7;
103;Looncomponent;2018 november;93.7;
104;Looncomponent;2018 december;93.7;
105;Looncomponent;2018;92.6;
106;Looncomponent;2019  januari;93.8;2.4
107;Looncomponent;2019  februari;93.8;2.4
108;Looncomponent;2019  maart;93.8;2.4
109;Looncomponent;2019 april;93.9;2.4
110;Looncomponent;2019 mei;93.9;2.4
111;Looncomponent;2019  juni;94.1;2.7
112;Looncomponent;2019 juli;95.8;3.5
113;Looncomponent;2019 augustus;95.8;2.4
114;Looncomponent;2019  september;95.8;2.4
115;Looncomponent;2019 oktober;95.8;2.3
116;Looncomponent;2019 november;95.8;2.3
117;Looncomponent;2019 december;97.3;3.9
118;Looncomponent;2019;95.0;2.6
119;Looncomponent;2020 januari;97.8;4.2
120;Looncomponent;2020 februari;97.8;4.2
121;Looncomponent;2020 maart;97.8;4.2
122;Looncomponent;2020 april;97.8;4.1
123;Looncomponent;2020 mei;97.9;4.3
124;Looncomponent;2020 juni;98.0;4.1
125;Looncomponent;2020 juli;99.6;3.9
126;Looncomponent;2020 augustus;99.6;3.9
127;Looncomponent;2020 september;99.6;3.9
128;Looncomponent;2020 oktober;99.6;3.9
129;Looncomponent;2020 november;99.6;3.9
130;Looncomponent;2020 december;100.5;3.2
131;Looncomponent;2020;98.8;4.0
132;Looncomponent;2021 januari;100.0;2.2
133;Looncomponent;2021 februari;100.0;2.2
134;Looncomponent;2021 maart;100.4;2.6
135;Looncomponent;2021 april;100.5;2.7
136;Looncomponent;2021 mei;100.5;2.6
137;Looncomponent;2021 juni;100.5;2.5
138;Looncomponent;2021 juli;100.5;0.9
139;Looncomponent;2021 augustus;99.4;-0.2
140;Looncomponent;2021 september;99.4;-0.2
141;Looncomponent;2021 oktober;99.7;0.1
142;Looncomponent;2021 november;99.7;0.1
143;Looncomponent;2021 december;99.7;-0.8
144;Looncomponent;2021;100.0;1.2
145;Looncomponent;2022 januari;102.0;2.1
146;Looncomponent;2022 februari;102.0;2.1
147;Looncomponent;2022 maart;102.1;1.8
148;Looncomponent;2022 april;102.6;2.2
149;Looncomponent;2022 mei;102.6;2.2
150;Looncomponent;2022 juni;102.6;2.2
151;Looncomponent;2022 juli;102.6;2.2
152;Looncomponent;2022 augustus;102.6;3.3
153;Looncomponent;2022 september;103.9;4.6
154;Looncomponent;2022 oktober;103.9;4.3
155;Looncomponent;2022 november;103.9;4.3
156;Looncomponent;2022 december;103.9;4.3
157;Looncomponent;2022;102.9;2.9
158;Looncomponent;2023 januari;105.4;3.3
159;Looncomponent;2023 februari;105.4;3.3
160;Looncomponent;2023 maart;107.0;4.7
161;Looncomponent;2023 april;107.1;4.3
162;Looncomponent;2023 mei;107.1;4.3
163;Looncomponent;2023 juni;107.1;4.3
164;Looncomponent;2023 juli;108.4;5.6
165;Looncomponent;2023 augustus;108.4;5.6
166;Looncomponent;2023 september;108.4;4.3
167;Looncomponent;2023 oktober;108.4;4.3
168;Looncomponent;2023 november;108.4;4.3
169;Looncomponent;2023 december;108.4;4.3
170;Looncomponent;2023;107.5;4.4
171;Looncomponent;2024 januari;111.4;5.7
172;Looncomponent;2024 februari;111.4;5.7
173;Looncomponent;2024 maart;111.5;4.2
174;Looncomponent;2024 april;111.7;4.3
175;Looncomponent;2024 mei;111.7;4.3
176;Looncomponent;2024 juni;111.7;4.3
177;Looncomponent;2024 juli;117.8;8.7
178;Looncomponent;2024 augustus;117.8;8.7
179;Looncomponent;2024 september;118.0;8.8
180;Looncomponent;2024 oktober;117.9;8.8
181;Looncomponent;2024 november;117.9;8.8
182;Looncomponent;2024 december;117.9;8.8
183;Looncomponent;2024;114.7;6.8
184;Looncomponent;2025 januari;118.3;6.1
185;Looncomponent;2025 februari;118.4;6.2
186;Materiaalcomponent;2018 januari;89.6;
187;Materiaalcomponent;2018 februari;89.8;
188;Materiaalcomponent;2018 maart;89.3;
189;Materiaalcomponent;2018 april;89.8;
190;Materiaalcomponent;2018 mei;90.0;
191;Materiaalcomponent;2018 juni;90.4;
192;Materiaalcomponent;2018 juli;90.6;
193;Materiaalcomponent;2018 augustus;90.7;
194;Materiaalcomponent;2018 september;91.3;
195;Materiaalcomponent;2018 oktober;90.9;
196;Materiaalcomponent;2018 november;90.7;
197;Materiaalcomponent;2018 december;91.2;
198;Materiaalcomponent;2018;90.4;
199;Materiaalcomponent;2019  januari;92.6;3.3
200;Materiaalcomponent;2019  februari;92.6;3.1
201;Materiaalcomponent;2019  maart;92.8;3.9
202;Materiaalcomponent;2019 april;92.8;3.4
203;Materiaalcomponent;2019 mei;92.9;3.2
204;Materiaalcomponent;2019  juni;92.9;2.8
205;Materiaalcomponent;2019 juli;93.3;3.0
206;Materiaalcomponent;2019 augustus;92.9;2.4
207;Materiaalcomponent;2019  september;93.0;1.9
208;Materiaalcomponent;2019 oktober;92.9;2.2
209;Materiaalcomponent;2019 november;92.8;2.3
210;Materiaalcomponent;2019 december;92.8;1.8
211;Materiaalcomponent;2019;92.9;2.8
212;Materiaalcomponent;2020 januari;93.7;1.1
213;Materiaalcomponent;2020 februari;93.6;1.1
214;Materiaalcomponent;2020 maart;93.6;0.8
215;Materiaalcomponent;2020 april;92.9;0.1
216;Materiaalcomponent;2020 mei;92.5;-0.4
217;Materiaalcomponent;2020 juni;92.5;-0.4
218;Materiaalcomponent;2020 juli;92.7;-0.6
219;Materiaalcomponent;2020 augustus;93.1;0.3
220;Materiaalcomponent;2020 september;92.9;-0.2
221;Materiaalcomponent;2020 oktober;92.7;-0.2
222;Materiaalcomponent;2020 november;92.8;0.1
223;Materiaalcomponent;2020 december;93.5;0.8
224;Materiaalcomponent;2020;93.0;0.2
225;Materiaalcomponent;2021 januari;95.2;1.7
226;Materiaalcomponent;2021 februari;95.4;1.9
227;Materiaalcomponent;2021 maart;95.5;2.1
228;Materiaalcomponent;2021 april;96.9;4.4
229;Materiaalcomponent;2021 mei;98.1;6.0
230;Materiaalcomponent;2021 juni;99.5;7.6
231;Materiaalcomponent;2021 juli;101.8;9.8
232;Materiaalcomponent;2021 augustus;102.3;9.9
233;Materiaalcomponent;2021 september;102.7;10.5
234;Materiaalcomponent;2021 oktober;103.9;12.1
235;Materiaalcomponent;2021 november;104.2;12.2
236;Materiaalcomponent;2021 december;104.6;11.8
237;Materiaalcomponent;2021;100.0;7.5
238;Materiaalcomponent;2022 januari;107.4;12.8
239;Materiaalcomponent;2022 februari;108.4;13.6
240;Materiaalcomponent;2022 maart;111.5;16.8
241;Materiaalcomponent;2022 april;114.7;18.3
242;Materiaalcomponent;2022 mei;115.8;18.1
243;Materiaalcomponent;2022 juni;115.0;15.5
244;Materiaalcomponent;2022 juli;117.1;15.0
245;Materiaalcomponent;2022 augustus;117.3;14.6
246;Materiaalcomponent;2022 september;117.6;14.6
247;Materiaalcomponent;2022 oktober;118.6;14.2
248;Materiaalcomponent;2022 november;118.2;13.5
249;Materiaalcomponent;2022 december;117.8;12.7
250;Materiaalcomponent;2022;115.0;14.9
251;Materiaalcomponent;2023 januari;122.2;13.8
252;Materiaalcomponent;2023 februari;122.8;13.3
253;Materiaalcomponent;2023 maart;122.9;10.2
254;Materiaalcomponent;2023 april;123.7;7.8
255;Materiaalcomponent;2023 mei;123.8;6.9
256;Materiaalcomponent;2023 juni;123.7;7.6
257;Materiaalcomponent;2023 juli;122.9;4.9
258;Materiaalcomponent;2023 augustus;122.2;4.2
259;Materiaalcomponent;2023 september;122.3;4.0
260;Materiaalcomponent;2023 oktober;122.2;3.0
261;Materiaalcomponent;2023 november;121.8;3.1
262;Materiaalcomponent;2023 december;122.0;3.6
263;Materiaalcomponent;2023;122.7;6.7
264;Materiaalcomponent;2024 januari;122.6;0.3
265;Materiaalcomponent;2024 februari;122.4;-0.3
266;Materiaalcomponent;2024 maart;122.5;-0.4
267;Materiaalcomponent;2024 april;121.9;-1.4
268;Materiaalcomponent;2024 mei;121.3;-2.0
269;Materiaalcomponent;2024 juni;121.7;-1.6
270;Materiaalcomponent;2024 juli;122.1;-0.6
271;Materiaalcomponent;2024 augustus;122.1;-0.1
272;Materiaalcomponent;2024 september;121.7;-0.5
273;Materiaalcomponent;2024 oktober;121.4;-0.7
274;Materiaalcomponent;2024 november;121.6;-0.2
275;Materiaalcomponent;2024 december;121.7;-0.3
276;Materiaalcomponent;2024;121.9;-0.6
277;Materiaalcomponent;2025 januari;122.7;0.0
278;Materiaalcomponent;2025 februari;123.0;0.5
