ID;SBI93;Grootteklasse;Perioden;AantalOndernemingen_1;TotaalNettoOmzet_2;RechtskundigAdviesEnInformatie_3;ActiviteitenBetreffendeDeAdvocatuur_4;OpmakenVanNotarieleAkten_5;AmbtelijkeActiviteitenVanDeurwaarders_6;WerkBetrOctrooienMerkenEnModellen_7;OverigeRechtskundigeDiensten_8;Incassodiensten_9;OverigeNietRechtskundigeActiviteit_10;TotaalBedrijfskosten_11;Personeelskosten_12;Afschrijvingen_13;AlgemeneKosten_14;Bedrijfsresultaat_15;OverigeLasten_16;OverigeBaten_17;ResultaatVoorBelasting_18;TotaalWerkzamePersonen_19;WerknemersOpDeLoonlijst_20;EigenarenMaten_21;MeewerkendeGezinsleden_22;Freelancers_23;Uitzendkrachten_24;Vrijwilligers_25
31;7411.1 Advocatenkantoren;2 tot 10 werkzame personen;1998;1300.0;296.1;8.0;88.0;0.0;;;1.0;2.0;1.0;181.3;88.2;15.5;77.6;114.9;8.1;4.4;111.2;6266.0;3679.0;2226.0;199.0;64.0;98.0;0.0
32;7411.1 Advocatenkantoren;2 tot 10 werkzame personen;1999;1242.0;317.5;14.0;80.0;0.0;;;2.0;2.0;1.0;206.6;104.6;17.0;85.0;110.9;5.6;2.9;108.2;6371.0;4064.0;1996.0;126.0;42.0;143.0;0.0
33;7411.1 Advocatenkantoren;2 tot 10 werkzame personen;2000;1280.0;307.7;7.0;88.0;0.0;;;2.0;1.0;1.0;199.1;98.0;16.8;84.3;108.6;7.8;2.4;103.2;5723.0;3436.0;2044.0;137.0;26.0;80.0;0.0
34;7411.1 Advocatenkantoren;2 tot 10 werkzame personen;2001;1149.0;204.6;8.0;87.0;1.0;;;3.0;1.0;1.0;126.9;66.1;9.5;51.3;74.8;6.2;2.7;71.3;3462.0;2436.0;953.0;32.0;13.0;28.0;0.0
35;7411.1 Advocatenkantoren;10 en meer werkzame personen;1997;442.0;1056.4;2.0;85.0;9.0;;;2.0;1.0;1.0;630.3;368.7;42.9;218.6;426.2;30.4;15.7;411.5;14172.0;11147.0;2590.0;16.0;115.0;304.0;0.0
36;7411.1 Advocatenkantoren;10 en meer werkzame personen;1998;347.0;1055.6;4.0;81.0;9.0;;;4.0;1.0;1.0;659.7;390.3;42.8;226.6;396.0;27.8;12.6;380.8;13840.0;11111.0;2293.0;11.0;61.0;364.0;0.0
37;7411.1 Advocatenkantoren;10 en meer werkzame personen;1999;329.0;1206.2;4.0;81.0;10.0;;;3.0;1.0;1.0;756.1;449.4;49.0;257.7;450.1;34.6;16.8;432.3;14859.0;12091.0;2314.0;4.0;47.0;403.0;0.0
38;7411.1 Advocatenkantoren;10 en meer werkzame personen;2000;387.0;1337.1;4.0;81.0;9.0;;;4.0;1.0;1.0;863.2;538.2;47.0;277.9;474.0;45.7;23.6;452.0;16326.0;13229.0;1681.0;7.0;52.0;358.0;0.0
39;7411.1 Advocatenkantoren;10 en meer werkzame personen;2001;440.0;1483.2;6.0;82.0;7.0;;;2.0;1.0;1.0;949.1;563.4;58.3;327.4;535.8;39.7;18.2;514.3;17025.0;14053.0;2651.0;18.0;78.0;225.0;0.0
40;7411.1 Advocatenkantoren;10 tot 100 werkzame personen;1997;423.0;552.5;3.0;91.0;1.0;;;3.0;1.0;1.0;331.7;184.4;24.7;122.6;220.8;15.0;3.9;209.7;8519.0;6400.0;1852.0;16.0;107.0;144.0;0.0
41;7411.1 Advocatenkantoren;10 tot 100 werkzame personen;1998;325.0;470.4;7.0;84.0;1.0;;;4.0;2.0;1.0;292.4;165.6;19.8;107.0;178.0;9.9;4.3;172.4;7382.0;5680.0;1464.0;11.0;52.0;175.0;0.0
42;7411.1 Advocatenkantoren;10 tot 100 werkzame personen;1999;307.0;520.4;4.0;89.0;2.0;;;2.0;2.0;1.0;311.7;177.2;21.1;113.5;208.7;14.4;6.3;200.6;7450.0;5839.0;1422.0;4.0;41.0;144.0;0.0
43;7411.1 Advocatenkantoren;10 tot 100 werkzame personen;2000;359.0;516.7;5.0;88.0;2.0;;;3.0;1.0;1.0;329.1;192.5;18.4;118.2;187.6;9.0;2.7;181.3;7840.0;6002.0;1663.0;7.0;45.0;123.0;0.0
44;7411.1 Advocatenkantoren;10 tot 100 werkzame personen;2001;408.0;579.3;7.0;87.0;1.0;;;3.0;2.0;1.0;374.0;206.6;22.7;144.7;216.9;14.1;6.5;209.3;8224.0;6408.0;1690.0;18.0;23.0;85.0;0.0
45;7411.1 Advocatenkantoren;100 en meer werkzame personen;1997;19.0;503.9;2.0;79.0;18.0;;;1.0;0.0;0.0;298.6;184.3;18.2;96.0;205.4;15.4;11.8;201.8;5653.0;4747.0;738.0;0.0;8.0;160.0;0.0
46;7411.1 Advocatenkantoren;100 en meer werkzame personen;1998;22.0;585.2;2.0;78.0;15.0;;;3.0;0.0;1.0;367.3;224.7;23.0;119.6;218.0;17.9;8.3;208.4;6458.0;5431.0;829.0;0.0;9.0;189.0;0.0
47;7411.1 Advocatenkantoren;100 en meer werkzame personen;1999;22.0;685.8;5.0;74.0;16.0;;;4.0;0.0;1.0;444.4;272.2;27.9;144.2;241.4;20.2;10.5;231.7;7409.0;6252.0;892.0;0.0;6.0;259.0;0.0
48;7411.1 Advocatenkantoren;100 en meer werkzame personen;2000;28.0;820.4;4.0;77.0;14.0;;;4.0;0.0;1.0;534.1;345.7;28.6;159.7;286.4;36.7;20.9;270.7;8486.0;7227.0;1018.0;0.0;7.0;234.0;0.0
49;7411.1 Advocatenkantoren;100 en meer werkzame personen;2001;32.0;902.9;5.0;79.0;11.0;;;2.0;0.0;2.0;575.1;356.7;35.7;182.7;318.9;25.6;11.7;305.0;8800.0;7644.0;961.0;0.0;55.0;141.0;0.0
50;7411.2 Rechtskundig adviesbureaus;Alle ondernemingen;1997;69.0;16.0;83.0;;;;;5.0;3.0;8.0;11.8;7.6;0.8;3.4;4.2;0.5;0.3;4.0;320.0;160.0;101.0;9.0;34.0;16.0;0.0
51;7411.2 Rechtskundig adviesbureaus;Alle ondernemingen;1998;162.0;28.6;76.0;;;;;12.0;3.0;8.0;21.0;13.2;1.4;6.5;7.6;0.6;0.4;7.3;644.0;320.0;213.0;37.0;52.0;22.0;0.0
52;7411.2 Rechtskundig adviesbureaus;Alle ondernemingen;1999;133.0;32.1;78.0;;;;;9.0;5.0;8.0;24.6;15.8;1.5;7.3;7.5;0.6;0.6;7.5;587.0;364.0;173.0;21.0;29.0;0.0;0.0
53;7411.2 Rechtskundig adviesbureaus;Alle ondernemingen;2000;168.0;54.0;83.0;;;;;8.0;3.0;5.0;44.0;27.1;2.2;14.7;10.0;2.5;2.4;9.9;950.0;695.0;196.0;14.0;43.0;2.0;0.0
54;7411.2 Rechtskundig adviesbureaus;Alle ondernemingen;2001;210.0;119.2;65.0;;;;;23.0;1.0;12.0;109.3;71.0;3.0;35.4;10.0;2.3;2.4;10.1;1613.0;1360.0;135.0;3.0;85.0;30.0;0.0
55;7411.2 Rechtskundig adviesbureaus;2 tot 10 werkzame personen;1997;64.0;10.7;78.0;;;;;8.0;4.0;10.0;7.7;4.7;0.6;2.4;3.0;0.4;0.2;2.9;236.0;92.0;89.0;9.0;30.0;16.0;0.0
56;7411.2 Rechtskundig adviesbureaus;2 tot 10 werkzame personen;1998;155.0;21.5;70.0;;;;;15.0;4.0;10.0;15.4;9.2;1.1;5.1;6.0;0.5;0.4;5.9;524.0;214.0;202.0;37.0;49.0;22.0;0.0
57;7411.2 Rechtskundig adviesbureaus;2 tot 10 werkzame personen;1999;124.0;21.4;73.0;;;;;11.0;7.0;9.0;16.0;9.6;1.1;5.2;5.4;0.3;0.6;5.7;413.0;213.0;157.0;20.0;23.0;0.0;0.0
58;7411.2 Rechtskundig adviesbureaus;2 tot 10 werkzame personen;2000;155.0;34.5;77.0;;;;;11.0;5.0;6.0;28.4;16.6;1.7;10.1;6.2;1.7;2.2;6.7;660.0;439.0;178.0;14.0;29.0;0.0;0.0
59;7411.2 Rechtskundig adviesbureaus;2 tot 10 werkzame personen;2001;166.0;20.7;67.0;;;;;13.0;5.0;15.0;18.2;10.8;1.2;6.2;3.0;0.8;0.2;2.5;333.0;231.0;62.0;3.0;23.0;14.0;0.0
60;7411.2 Rechtskundig adviesbureaus;10 en meer werkzame personen;1997;5.0;5.4;93.0;;;;;1.0;2.0;5.0;4.1;2.9;0.2;1.0;1.2;0.1;0.0;1.1;84.0;68.0;12.0;0.0;4.0;0.0;0.0
61;7411.2 Rechtskundig adviesbureaus;10 en meer werkzame personen;1998;7.0;7.1;94.0;;;;;1.0;1.0;4.0;5.6;4.0;0.3;1.3;1.5;0.1;0.0;1.4;120.0;106.0;11.0;0.0;3.0;0.0;0.0
62;7411.2 Rechtskundig adviesbureaus;10 en meer werkzame personen;1999;9.0;10.7;88.0;;;;;5.0;1.0;5.0;8.7;6.2;0.4;2.1;2.1;0.3;0.0;1.8;174.0;151.0;16.0;1.0;6.0;0.0;0.0
63;7411.2 Rechtskundig adviesbureaus;10 en meer werkzame personen;2000;13.0;19.5;94.0;;;;;3.0;1.0;3.0;15.6;10.5;0.5;4.7;3.8;0.8;0.1;3.2;290.0;256.0;18.0;0.0;14.0;2.0;0.0
64;7411.2 Rechtskundig adviesbureaus;10 en meer werkzame personen;2001;44.0;98.5;64.0;;;;;25.0;0.0;11.0;91.1;60.2;1.8;29.2;6.9;1.5;2.2;7.6;1281.0;1129.0;73.0;0.0;62.0;16.0;0.0
65;7411.2 Rechtskundig adviesbureaus;10 tot 100 werkzame personen;1997;5.0;5.4;93.0;;;;;1.0;2.0;5.0;4.1;2.9;0.2;1.0;1.2;0.1;0.0;1.1;84.0;68.0;12.0;0.0;4.0;0.0;0.0
66;7411.2 Rechtskundig adviesbureaus;10 tot 100 werkzame personen;1998;7.0;7.1;94.0;;;;;1.0;1.0;4.0;5.6;4.0;0.3;1.3;1.5;0.1;0.0;1.4;120.0;106.0;11.0;0.0;3.0;0.0;0.0
67;7411.2 Rechtskundig adviesbureaus;10 tot 100 werkzame personen;1999;9.0;10.7;88.0;;;;;5.0;1.0;5.0;8.7;6.2;0.4;2.1;2.1;0.3;0.0;1.8;174.0;151.0;16.0;1.0;6.0;0.0;0.0
68;7411.2 Rechtskundig adviesbureaus;10 tot 100 werkzame personen;2000;13.0;19.5;94.0;;;;;3.0;1.0;3.0;15.6;10.5;0.5;4.7;3.8;0.8;0.1;3.2;290.0;256.0;18.0;0.0;14.0;2.0;0.0
69;7411.2 Rechtskundig adviesbureaus;10 tot 100 werkzame personen;2001;;;;;;;;;;;;;;;;;;;;;;;;;
70;7411.2 Rechtskundig adviesbureaus;100 en meer werkzame personen;1997;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
71;7411.2 Rechtskundig adviesbureaus;100 en meer werkzame personen;1998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
72;7411.2 Rechtskundig adviesbureaus;100 en meer werkzame personen;1999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
73;7411.2 Rechtskundig adviesbureaus;100 en meer werkzame personen;2000;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
74;7411.2 Rechtskundig adviesbureaus;100 en meer werkzame personen;2001;;;;;;;;;;;;;;;;;;;;;;;;;
75;7411.3 Notariskantoren;Alle ondernemingen;1997;719.0;700.8;2.0;;95.0;;;2.0;;1.0;434.1;282.9;26.8;124.4;266.7;12.4;18.0;272.3;9731.0;8209.0;1220.0;100.0;39.0;163.0;0.0
76;7411.3 Notariskantoren;Alle ondernemingen;1998;739.0;694.8;3.0;;94.0;;;2.0;;1.0;448.2;291.9;28.1;128.1;246.6;20.0;17.7;244.2;10108.0;8700.0;1219.0;66.0;21.0;102.0;0.0
77;7411.3 Notariskantoren;Alle ondernemingen;1999;726.0;738.5;3.0;;94.0;;;2.0;;1.0;469.4;304.9;29.6;134.8;269.1;17.2;19.9;271.8;10196.0;8804.0;1208.0;50.0;18.0;116.0;0.0
78;7411.3 Notariskantoren;Alle ondernemingen;2000;717.0;739.4;3.0;;94.0;;;2.0;;1.0;514.7;313.5;31.6;169.5;224.7;15.4;26.9;236.3;10583.0;9163.0;1243.0;57.0;35.0;85.0;0.0
79;7411.3 Notariskantoren;Alle ondernemingen;2001;707.0;715.7;3.0;;94.0;;;2.0;;1.0;516.9;324.3;31.9;161.3;202.8;18.3;33.0;217.5;10351.0;8969.0;1252.0;38.0;31.0;62.0;0.0
80;7411.3 Notariskantoren;2 tot 10 werkzame personen;1997;345.0;170.9;2.0;;93.0;;;3.0;;2.0;108.5;67.0;7.2;34.2;62.4;3.6;3.5;62.3;2457.0;1971.0;411.0;62.0;6.0;7.0;0.0
81;7411.3 Notariskantoren;2 tot 10 werkzame personen;1998;347.0;176.1;4.0;;93.0;;;2.0;;1.0;115.4;72.7;8.0;34.7;60.6;4.8;4.3;60.1;2522.0;2060.0;388.0;46.0;13.0;15.0;0.0
82;7411.3 Notariskantoren;2 tot 10 werkzame personen;1999;343.0;181.5;3.0;;93.0;;;3.0;;1.0;116.4;73.2;8.1;35.1;65.1;6.5;6.7;65.3;2442.0;2014.0;378.0;27.0;6.0;17.0;0.0
83;7411.3 Notariskantoren;2 tot 10 werkzame personen;2000;333.0;180.8;4.0;;91.0;;;4.0;;1.0;130.0;79.1;10.1;40.8;50.8;4.5;5.0;51.3;2395.0;1979.0;366.0;43.0;4.0;3.0;0.0
84;7411.3 Notariskantoren;2 tot 10 werkzame personen;2001;294.0;158.9;3.0;;94.0;;;2.0;;1.0;114.3;71.2;8.7;34.3;46.1;4.5;6.6;48.3;2120.0;1747.0;326.0;27.0;16.0;5.0;0.0
85;7411.3 Notariskantoren;10 en meer werkzame personen;1997;374.0;529.9;2.0;;95.0;;;2.0;;1.0;325.6;215.9;19.6;90.1;204.4;8.9;14.5;210.0;7274.0;6238.0;809.0;38.0;33.0;156.0;0.0
86;7411.3 Notariskantoren;10 en meer werkzame personen;1998;392.0;518.7;3.0;;95.0;;;2.0;;1.0;332.8;219.2;20.1;93.4;185.9;15.2;13.4;184.1;7586.0;6640.0;831.0;20.0;8.0;87.0;0.0
87;7411.3 Notariskantoren;10 en meer werkzame personen;1999;383.0;557.0;3.0;;95.0;;;2.0;;0.0;353.0;231.7;21.5;99.7;204.0;10.7;13.1;206.4;7754.0;6790.0;830.0;23.0;12.0;99.0;0.0
88;7411.3 Notariskantoren;10 en meer werkzame personen;2000;384.0;558.6;3.0;;95.0;;;1.0;;1.0;384.7;234.4;21.5;128.8;173.9;10.8;21.9;185.0;8188.0;7184.0;877.0;14.0;31.0;82.0;0.0
89;7411.3 Notariskantoren;10 en meer werkzame personen;2001;413.0;556.8;3.0;;95.0;;;2.0;;1.0;402.7;253.1;23.2;127.0;156.6;13.9;26.4;169.1;8231.0;7222.0;926.0;11.0;16.0;56.0;0.0
90;7411.3 Notariskantoren;10 tot 100 werkzame personen;1997;;;;;;;;;;;;;;;;;;;;;;;;;
91;7411.3 Notariskantoren;10 tot 100 werkzame personen;1998;;;;;;;;;;;;;;;;;;;;;;;;;
92;7411.3 Notariskantoren;10 tot 100 werkzame personen;1999;;;;;;;;;;;;;;;;;;;;;;;;;
93;7411.3 Notariskantoren;10 tot 100 werkzame personen;2000;;;;;;;;;;;;;;;;;;;;;;;;;
94;7411.3 Notariskantoren;10 tot 100 werkzame personen;2001;;;;;;;;;;;;;;;;;;;;;;;;;
95;7411.3 Notariskantoren;100 en meer werkzame personen;1997;;;;;;;;;;;;;;;;;;;;;;;;;
96;7411.3 Notariskantoren;100 en meer werkzame personen;1998;;;;;;;;;;;;;;;;;;;;;;;;;
97;7411.3 Notariskantoren;100 en meer werkzame personen;1999;;;;;;;;;;;;;;;;;;;;;;;;;
98;7411.3 Notariskantoren;100 en meer werkzame personen;2000;;;;;;;;;;;;;;;;;;;;;;;;;
99;7411.3 Notariskantoren;100 en meer werkzame personen;2001;;;;;;;;;;;;;;;;;;;;;;;;;
100;7411.4 Deurwaarderskantoren;Alle ondernemingen;1997;195.0;124.8;4.0;;;55.0;;3.0;34.0;3.0;96.7;59.3;8.5;28.9;28.1;1.4;7.5;34.2;2465.0;1976.0;333.0;44.0;25.0;87.0;0.0
101;7411.4 Deurwaarderskantoren;Alle ondernemingen;1998;197.0;133.7;3.0;;;52.0;;3.0;41.0;1.0;105.0;65.0;9.2;30.8;28.7;2.8;4.6;30.5;2717.0;2301.0;336.0;30.0;30.0;20.0;0.0
102;7411.4 Deurwaarderskantoren;Alle ondernemingen;1999;194.0;151.0;2.0;;;48.0;;3.0;46.0;1.0;113.1;70.0;10.0;33.1;37.9;3.9;4.9;38.9;2861.0;2407.0;325.0;25.0;16.0;88.0;0.0
103;7411.4 Deurwaarderskantoren;Alle ondernemingen;2000;188.0;151.1;1.0;;;54.0;;3.0;41.0;1.0;124.0;76.0;10.9;37.1;27.1;2.3;4.6;29.3;2947.0;2484.0;327.0;34.0;11.0;91.0;0.0
104;7411.4 Deurwaarderskantoren;Alle ondernemingen;2001;182.0;164.4;2.0;;;54.0;;5.0;38.0;1.0;132.4;80.8;11.1;40.6;35.6;3.6;5.0;37.0;3155.0;2783.0;331.0;8.0;12.0;21.0;0.0
105;7411.4 Deurwaarderskantoren;2 tot 10 werkzame personen;1997;102.0;32.4;2.0;;;64.0;;4.0;26.0;5.0;22.7;13.4;2.0;7.3;9.7;0.5;1.1;10.3;645.0;401.0;145.0;25.0;13.0;61.0;0.0
106;7411.4 Deurwaarderskantoren;2 tot 10 werkzame personen;1998;104.0;34.3;3.0;;;59.0;;4.0;33.0;1.0;24.8;14.5;2.2;8.2;9.4;1.1;0.8;9.1;676.0;500.0;136.0;16.0;22.0;2.0;0.0
107;7411.4 Deurwaarderskantoren;2 tot 10 werkzame personen;1999;92.0;28.9;3.0;;;61.0;;10.0;24.0;2.0;21.4;12.3;1.9;7.3;7.5;1.4;1.5;7.5;566.0;414.0;124.0;14.0;6.0;8.0;0.0
108;7411.4 Deurwaarderskantoren;2 tot 10 werkzame personen;2000;81.0;24.0;3.0;;;59.0;;8.0;28.0;2.0;18.7;10.9;1.6;6.1;5.3;0.5;0.2;5.0;447.0;319.0;110.0;18.0;0.0;0.0;0.0
109;7411.4 Deurwaarderskantoren;2 tot 10 werkzame personen;2001;70.0;24.1;0.0;;;57.0;;5.0;37.0;0.0;18.2;10.6;1.3;6.3;6.2;1.2;1.2;6.1;446.0;343.0;86.0;5.0;4.0;8.0;0.0
110;7411.4 Deurwaarderskantoren;10 en meer werkzame personen;1997;93.0;92.4;4.0;;;52.0;;3.0;38.0;2.0;73.9;45.9;6.5;21.5;18.4;0.9;6.4;24.0;1820.0;1575.0;188.0;19.0;12.0;26.0;0.0
111;7411.4 Deurwaarderskantoren;10 en meer werkzame personen;1998;93.0;99.4;3.0;;;50.0;;3.0;43.0;1.0;80.2;50.5;7.1;22.6;19.3;1.7;3.8;21.4;2041.0;1801.0;200.0;14.0;8.0;18.0;0.0
112;7411.4 Deurwaarderskantoren;10 en meer werkzame personen;1999;102.0;122.1;2.0;;;45.0;;2.0;51.0;0.0;91.6;57.7;8.1;25.8;30.4;2.5;3.4;31.3;2295.0;1993.0;201.0;11.0;10.0;80.0;0.0
113;7411.4 Deurwaarderskantoren;10 en meer werkzame personen;2000;107.0;127.1;1.0;;;53.0;;2.0;44.0;1.0;105.3;65.1;9.3;31.0;21.8;1.8;4.4;24.3;2500.0;2165.0;217.0;16.0;11.0;91.0;0.0
