ID;Opleidingsniveau;Marges;WijkenEnBuurten;RegiocodeGemeenteWijkBuurt_1;Bevolking15Tot75Jaar_2
140;Laag;Ondergrens 95%-interval;Verspreide huizen Stroobos;          ;10.0
141;Laag;Ondergrens 95%-interval;Verspreide huizen Drogeham;          ;20.0
142;Laag;Ondergrens 95%-interval;Verspreide huizen Augustinusga;          ;30.0
143;Laag;Ondergrens 95%-interval;Wijk 02 Zuid;          ;3240.0
144;Laag;Ondergrens 95%-interval;Surhuisterveen;          ;1280.0
145;Laag;Ondergrens 95%-interval;Harkema;          ;1110.0
146;Laag;Ondergrens 95%-interval;Surhuizum;          ;170.0
147;Laag;Ondergrens 95%-interval;Boelenslaan;          ;210.0
148;Laag;Ondergrens 95%-interval;Verspreide huizen Surhuisterveen;          ;50.0
149;Laag;Ondergrens 95%-interval;Verspreide huizen Harkema;          ;60.0
150;Laag;Ondergrens 95%-interval;Verspreide huizen Surhuizum;          ;60.0
151;Laag;Ondergrens 95%-interval;Verspreide huizen Boelenslaan;          ;70.0
152;Laag;Ondergrens 95%-interval;Alblasserdam;          ;4230.0
153;Laag;Ondergrens 95%-interval;Wijk 01 Centrum;          ;800.0
154;Laag;Ondergrens 95%-interval;Cortgene;          ;100.0
155;Laag;Ondergrens 95%-interval;Redersbuurt;          ;130.0
156;Laag;Ondergrens 95%-interval;kerkbuurt;          ;220.0
157;Laag;Ondergrens 95%-interval;Polderbuurt;          ;70.0
158;Laag;Ondergrens 95%-interval;De Werven;          ;130.0
159;Laag;Ondergrens 95%-interval;Wijk 02 Kinderdijk;          ;740.0
160;Laag;Ondergrens 95%-interval;Dijk;          ;90.0
161;Laag;Ondergrens 95%-interval;Vogelbuurt;          ;230.0
162;Laag;Ondergrens 95%-interval;Waterland;          ;
163;Laag;Ondergrens 95%-interval;Groene Long;          ;
164;Laag;Ondergrens 95%-interval;Rivierenbuurt;          ;140.0
165;Laag;Ondergrens 95%-interval;Nieuw Kinderdijk;          ;120.0
166;Laag;Ondergrens 95%-interval;Wijk 03 Blokweer;          ;1630.0
167;Laag;Ondergrens 95%-interval;Zeelt;          ;140.0
168;Laag;Ondergrens 95%-interval;Middelland;          ;60.0
169;Laag;Ondergrens 95%-interval;Blokweer Noord;          ;190.0
170;Laag;Ondergrens 95%-interval;Blokweer Zuid;          ;130.0
171;Laag;Ondergrens 95%-interval;Drentsebuurt;          ;190.0
172;Laag;Ondergrens 95%-interval;Florabuurt;          ;330.0
173;Laag;Ondergrens 95%-interval;Staatsliedenbuurt;          ;370.0
174;Laag;Ondergrens 95%-interval;Wijk 04 Souburgh;          ;730.0
175;Laag;Ondergrens 95%-interval;Schildersbuurt;          ;190.0
176;Laag;Ondergrens 95%-interval;Schrijversbuurt;          ;370.0
177;Laag;Ondergrens 95%-interval;Klein Alblas;          ;30.0
178;Laag;Ondergrens 95%-interval;Oranjebuurt;          ;80.0
179;Laag;Ondergrens 95%-interval;Wijk 05 Bedrijventerrein;          ;20.0
180;Laag;Ondergrens 95%-interval;Vinkenwaard;          ;
181;Laag;Ondergrens 95%-interval;Hoogendijk;          ;
182;Laag;Ondergrens 95%-interval;Nieuwland;          ;
183;Laag;Ondergrens 95%-interval;Wijk 06 Landelijk gebied;          ;50.0
184;Laag;Ondergrens 95%-interval;Polder Blokweer;          ;
185;Laag;Ondergrens 95%-interval;Polder Kortland;          ;
186;Laag;Ondergrens 95%-interval;Polder Souburgh;          ;
187;Laag;Ondergrens 95%-interval;Polder Vinkenwaard;          ;30.0
188;Laag;Ondergrens 95%-interval;Albrandswaard;          ;4420.0
189;Laag;Ondergrens 95%-interval;Wijk 01 Poortugaal-Noord;          ;380.0
190;Laag;Ondergrens 95%-interval;Valckesteyn;          ;340.0
191;Laag;Ondergrens 95%-interval;Zwaardijk-Kruisdijk;          ;10.0
192;Laag;Ondergrens 95%-interval;Poortugaal;          ;10.0
193;Laag;Ondergrens 95%-interval;Buitengebied Poortugaal;          ;10.0
194;Laag;Ondergrens 95%-interval;Wijk 02 Rhoon-Noord;          ;270.0
195;Laag;Ondergrens 95%-interval;Rhoon Noord;          ;270.0
