ID;TypeOfDelivery;Periods;TotalTransport_1;TotalRoadTransport_2;AutomotiveLPG_3;TotalMotorGasoline_4;Unleaded95_5;SuperUnleaded98_6;NormalLeaded_7;SuperLeaded_8;TotalTransportDiesel_9;LowSulphurDiesel_10;HighSulphurDiesel_11;NaturalGas_12;Electricity_13;TotalWaterTransport_14;TotalHeatingAndOtherGasoil_15;DeliveriesToInlandWaterTransport_16;DeliveriesToSeaTransport_17;DeliveriesToWaterTransportTraders_18;TotalFuelOil_19;LowSulphurFuelOil_20;HighSulphurFuelOil_21;TotalAirTransport_22;KeroseneTypeJetFuel_23;AviationGasoline_24;GasolineTypeJetFuel_25;TotalRailTransport_26;HeatingAndOtherGasoil_27;Electricity_28;AutomotiveLPG_29;TotalMotorGasoline_30;Unleaded95_31;SuperUnleaded98_32;NormalLeaded_33;SuperLeaded_34;TotalTransportDiesel_35;LowSulphurDiesel_36;HighSulphurDiesel_37;NaturalGas_38;Electricity_39;TotalHeatingAndOtherGasoil_40;DeliveriesToInlandWaterTransport_41;DeliveriesToSeaTransport_42;DeliveriesToWaterTransportTraders_43;TotalFuelOil_44;LowSulphurFuelOil_45;HighSulphurFuelOil_46;KeroseneTypeJetFuel_47;AviationGasoline_48;GasolineTypeJetFuel_49;HeatingOilAndOtherGasoil_50;Electricity_51;AutomotiveLPG_52;TotalMotorGasoline_53;Unleaded95_54;SuperUnleaded98_55;NormalLeaded_56;SuperLeaded_57;TotalTransportDiesel_58;LowSulphurDiesel_59;HighSulphurDiesel_60
34;Total deliveries;1980;756.0;291.6;31.5;169.6;;;30.0;139.6;90.5;;90.5;0.0;;420.1;96.4;19.4;46.2;30.8;323.7;;;40.7;37.4;0.3;3.1;3.5;;3.5;696.0;3854.0;;;682.0;3172.0;2120.0;;2120.0;0.0;;2258.0;454.0;1082.0;722.0;7896.0;;;860.0;6.0;71.0;;978.0;1266.0;5144.0;;;896.0;4248.0;2527.0;;2527.0
35;Total deliveries;1981;737.2;294.5;36.6;162.1;;;32.9;129.2;95.7;;95.7;0.0;;399.4;99.9;16.9;41.5;41.5;299.5;;;39.7;35.8;0.4;3.5;3.6;;3.6;810.0;3685.0;;;748.0;2937.0;2242.0;;2242.0;0.0;;2340.0;396.0;972.0;972.0;7305.0;;;824.0;9.0;80.0;;1013.0;1473.0;4890.0;;;960.0;3930.0;2663.0;;2663.0
36;Total deliveries;1982;715.0;290.9;41.1;159.9;;;35.0;124.9;89.9;;89.9;0.0;;376.5;92.1;23.3;42.2;26.6;284.4;;;43.8;40.1;0.2;3.5;3.8;;3.8;909.0;3633.0;;;795.0;2838.0;2106.0;;2106.0;0.0;;2157.0;546.0;988.0;623.0;6937.0;;;922.0;6.0;79.0;;1052.0;1652.0;4846.0;;;1057.0;3789.0;2505.0;;2505.0
37;Total deliveries;1983;698.3;298.1;40.4;158.0;;;35.6;122.4;99.7;;99.7;0.0;;351.0;91.6;20.1;35.9;35.6;259.4;;;45.4;43.0;0.2;2.2;3.8;;3.8;893.0;3592.0;;;809.0;2783.0;2334.0;;2334.0;0.0;;2146.0;471.0;842.0;833.0;6327.0;;;988.0;5.0;51.0;;1059.0;1624.0;4801.0;;;1076.0;3725.0;2798.0;;2798.0
38;Total deliveries;1984;680.9;303.2;39.4;159.0;;;35.5;123.5;104.7;;104.7;0.0;;326.0;93.3;24.9;46.7;21.7;232.7;;;47.8;45.0;0.2;2.6;3.9;;3.9;872.0;3614.0;;;807.0;2807.0;2453.0;;2453.0;0.0;;2185.0;582.0;1095.0;508.0;5676.0;;;1033.0;4.0;60.0;;1086.0;1586.0;4837.0;;;1077.0;3759.0;2913.0;;2913.0
39;Total deliveries;1985;732.3;300.7;37.7;149.4;;;32.3;117.1;113.6;;113.6;0.0;;375.2;99.0;27.0;53.5;18.5;276.3;;;52.4;47.4;0.2;4.8;4.0;;4.0;834.0;3396.0;;;734.0;2662.0;2660.0;;2660.0;0.0;;2318.0;632.0;1253.0;433.0;6738.0;;;1091.0;5.0;110.0;;1106.0;1516.0;4567.0;;;984.0;3583.0;3166.0;;3166.0
40;Total deliveries;1986;788.4;318.3;38.3;152.5;;;29.6;122.9;127.5;;127.5;0.0;;410.2;96.6;20.8;60.7;15.1;313.6;;;55.8;52.4;0.2;3.2;4.1;;4.1;847.0;3466.0;;;673.0;2793.0;2986.0;;2986.0;0.0;;2262.0;487.0;1421.0;354.0;7649.0;;;1204.0;5.0;74.0;;1142.0;1540.0;4664.0;;;914.0;3750.0;3554.0;;3554.0
41;Total deliveries;1987;784.1;318.4;37.0;149.8;31.0;;0.0;118.7;131.5;;131.5;0.0;;400.6;93.2;17.5;59.9;15.8;307.4;;;60.9;59.3;0.2;1.4;4.2;;4.2;819.0;3405.0;706.0;;1.0;2698.0;3081.0;;3081.0;0.0;;2183.0;409.0;1403.0;371.0;7497.0;;;1363.0;5.0;32.0;;1172.0;1490.0;4554.0;954.0;;1.0;3599.0;3674.0;;3674.0
42;Total deliveries;1988;853.5;331.2;38.4;147.5;38.8;;0.0;108.7;145.3;;145.3;0.0;;453.7;94.9;31.6;59.1;4.2;358.8;;;64.4;64.1;0.2;0.0;4.2;;4.2;850.0;3353.0;881.0;;0.0;2471.0;3403.0;;3403.0;0.0;;2224.0;741.0;1385.0;98.0;8752.0;;;1475.0;5.0;1.0;;1161.0;1545.0;4482.0;1183.0;;0.0;3299.0;4051.0;;4051.0
43;Total deliveries;1989;855.9;346.8;41.9;150.4;57.0;;;93.4;154.5;;154.5;0.0;;439.1;93.2;27.5;60.4;5.3;345.9;;;65.8;65.6;0.2;;4.3;;4.3;928.0;3418.0;1295.0;;;2123.0;3617.0;;3617.0;0.0;;2182.0;644.0;1414.0;124.0;8437.0;;;1507.0;5.0;;;1200.0;1686.0;4568.0;1733.0;;;2836.0;4302.0;;4302.0
44;Total deliveries;1990;888.7;351.7;41.1;151.6;59.3;15.1;;77.2;159.0;;159.0;0.0;0.0;463.0;93.3;25.7;61.7;5.9;369.8;;;68.1;67.9;0.2;;5.8;1.2;4.6;910.0;3445.0;1348.0;343.0;;1753.0;3725.0;;3725.0;0.0;5.0;2185.0;601.0;1445.0;139.0;9019.0;;;1562.0;5.0;;29.0;1273.0;1654.0;4613.0;1807.0;457.0;;2349.0;4435.0;;4435.0
45;Total deliveries;1991;905.2;355.3;39.8;152.1;68.7;22.3;;61.1;163.4;;163.4;0.0;0.0;471.3;92.0;24.4;63.6;4.0;379.3;;;72.5;72.3;0.2;;6.1;1.2;4.9;881.0;3457.0;1562.0;506.0;;1389.0;3826.0;;3826.0;0.0;5.0;2154.0;572.0;1489.0;93.0;9251.0;;;1662.0;5.0;;29.0;1355.0;1602.0;4632.0;2094.0;677.0;;1861.0;4550.0;;4550.0
46;Total deliveries;1992;945.2;372.4;39.0;158.1;88.1;23.7;;46.2;175.3;;175.3;0.0;0.0;482.8;99.3;28.2;65.3;5.8;383.4;;;83.8;83.6;0.2;;6.2;1.2;5.0;862.0;3592.0;2003.0;539.0;;1050.0;4105.0;;4105.0;0.0;5.0;2326.0;661.0;1529.0;136.0;9352.0;;;1922.0;5.0;;29.0;1385.0;1568.0;4810.0;2683.0;720.0;;1407.0;4877.0;;4877.0
47;Total deliveries;1993;979.4;380.6;37.2;166.7;99.1;26.8;;40.8;176.7;;176.7;0.0;0.0;501.0;89.6;24.9;63.3;1.4;411.5;;;91.3;91.1;0.2;;6.5;1.2;5.2;822.0;3788.0;2252.0;608.0;;928.0;4139.0;;4139.0;0.0;5.0;2098.0;583.0;1482.0;33.0;10035.0;;;2095.0;5.0;;29.0;1450.0;1495.0;5082.0;3022.0;816.0;;1244.0;4919.0;;4919.0
48;Total deliveries;1994;959.3;386.7;35.3;171.9;113.1;25.5;;33.3;179.5;8.9;170.6;0.0;0.0;470.8;85.1;33.9;50.7;0.5;385.7;2.3;383.5;95.4;95.1;0.2;;6.4;1.2;5.2;781.0;3907.0;2570.0;579.0;;757.0;4203.0;208.0;3995.0;0.0;5.0;1992.0;794.0;1187.0;11.0;9408.0;55.0;9353.0;2187.0;5.0;;29.0;1439.0;1473.0;5160.0;3390.0;765.0;;1004.0;5029.0;249.0;4780.0
49;Total deliveries;1995;991.0;394.0;34.1;177.0;122.0;26.4;;28.6;182.9;13.8;169.1;0.0;0.0;480.2;103.6;37.6;65.7;0.3;376.6;0.8;375.9;110.2;110.0;0.2;;6.6;1.3;5.3;755.0;4023.0;2772.0;601.0;;650.0;4283.0;324.0;3959.0;0.0;5.0;2425.0;881.0;1538.0;6.0;9186.0;18.0;9168.0;2528.0;5.0;;30.0;1473.0;1424.0;5310.0;3654.0;792.0;;863.0;5124.0;387.0;4737.0
50;Total deliveries;1996;1013.9;404.4;33.1;179.4;132.7;32.9;;13.8;191.8;74.2;117.6;0.0;0.0;485.0;92.0;30.1;60.9;1.0;393.0;1.4;391.5;117.6;117.4;0.2;;6.9;1.3;5.6;733.0;4078.0;3017.0;747.0;;314.0;4492.0;1738.0;2754.0;0.0;5.0;2156.0;706.0;1427.0;23.0;9585.0;35.0;9550.0;2699.0;5.0;;31.0;1560.0;1383.0;5382.0;3977.0;987.0;;417.0;5375.0;2080.0;3295.0
51;Total deliveries;1997;1058.7;409.2;34.0;177.8;139.8;38.0;;;197.3;197.3;0.0;0.0;0.0;516.1;87.4;30.9;55.1;1.4;428.7;2.3;426.4;126.4;126.2;0.2;;7.1;1.4;5.6;753.0;4041.0;3178.0;863.0;;;4620.0;4620.0;0.0;0.0;5.0;2047.0;724.0;1291.0;32.0;10455.0;55.0;10400.0;2901.0;5.0;;33.0;1566.0;1421.0;5355.0;4210.0;1145.0;;;5531.0;5531.0;0.0
52;Total deliveries;1998;1081.6;418.8;33.2;179.7;148.5;31.3;;;205.9;205.9;0.0;0.0;0.0;517.3;88.5;31.6;56.7;0.2;428.8;1.9;426.8;138.3;138.1;0.2;;7.2;1.4;5.8;733.0;4085.0;3375.0;710.0;;;4822.0;4822.0;0.0;0.0;5.0;2073.0;740.0;1328.0;5.0;10458.0;47.0;10411.0;3174.0;5.0;;32.0;1624.0;1384.0;5418.0;4475.0;943.0;;;5771.0;5771.0;0.0
53;Total deliveries;1999;1114.2;429.9;29.1;182.1;155.4;26.7;;;218.7;218.7;0.0;0.0;0.0;533.4;85.4;31.3;54.1;0.0;448.0;2.4;445.6;143.7;143.5;0.2;;7.1;1.3;5.9;643.0;4140.0;3532.0;607.0;;;5122.0;5122.0;0.0;0.0;5.0;2000.0;732.0;1268.0;0.0;10926.0;58.0;10868.0;3298.0;5.0;;30.0;1634.0;1214.0;5490.0;4685.0;805.0;;;6130.0;6130.0;0.0
54;Total deliveries;2000 January;87.9;34.1;2.2;14.4;12.5;1.9;;;17.5;17.5;0.0;;;43.1;7.0;3.2;3.7;0.1;36.1;0.0;36.1;10.1;10.1;0.0;;;;;48.0;327.0;284.0;42.0;;;410.0;410.0;0.0;;;164.0;74.0;87.0;3.0;880.0;0.0;880.0;232.0;0.0;;;;90.0;433.0;377.0;56.0;;;491.0;491.0;0.0
55;Total deliveries;2000 February;89.3;36.0;2.3;14.0;12.2;1.8;;;19.6;19.6;0.0;;;41.6;6.8;3.2;3.6;0.0;34.8;0.3;34.4;11.0;11.0;0.0;;;;;51.0;319.0;278.0;41.0;;;459.0;459.0;0.0;;;160.0;76.0;85.0;-1.0;848.0;8.0;839.0;253.0;0.0;;;;97.0;423.0;369.0;55.0;;;550.0;550.0;0.0
56;Total deliveries;2000 March;95.0;38.5;2.3;15.2;13.3;1.9;;;21.0;21.0;0.0;;;43.3;7.3;3.0;4.2;0.1;36.0;0.3;35.7;12.5;12.5;0.0;;;;;52.0;345.0;302.0;43.0;;;491.0;491.0;0.0;;;170.0;70.0;98.0;2.0;879.0;7.0;872.0;287.0;0.0;;;;98.0;457.0;400.0;57.0;;;588.0;588.0;0.0
57;Total deliveries;2000 1st quarter;272.1;108.5;6.8;43.6;38.0;5.6;;;58.1;58.1;0.0;0.0;0.0;128.0;21.1;9.4;11.5;0.2;106.9;0.6;106.2;33.6;33.6;0.0;;2.0;0.4;1.6;151.0;990.0;864.0;126.0;;;1361.0;1361.0;0.0;0.0;1.0;495.0;220.0;270.0;5.0;2607.0;16.0;2591.0;773.0;1.0;;9.0;447.0;284.0;1314.0;1146.0;168.0;;;1629.0;1629.0;0.0
58;Total deliveries;2000 April;98.1;37.3;2.0;15.4;13.5;1.9;;;19.9;19.9;0.0;;;48.7;7.4;3.1;4.2;0.1;41.4;0.1;41.3;11.4;11.4;0.0;;;;;45.0;351.0;307.0;44.0;;;465.0;465.0;0.0;;;172.0;72.0;98.0;2.0;1010.0;2.0;1008.0;262.0;0.0;;;;84.0;465.0;407.0;58.0;;;556.0;556.0;0.0
59;Total deliveries;2000 May;103.3;38.8;2.3;15.6;13.7;1.9;;;20.9;20.9;0.0;;;50.6;8.2;3.6;4.4;0.2;42.4;0.1;42.3;13.3;13.3;0.0;;;;;51.0;355.0;311.0;44.0;;;490.0;490.0;0.0;;;192.0;84.0;102.0;6.0;1034.0;3.0;1031.0;305.0;0.0;;;;97.0;471.0;412.0;59.0;;;586.0;586.0;0.0
60;Total deliveries;2000 June;95.1;34.9;2.1;14.8;13.0;1.8;;;17.9;17.9;0.0;;;46.9;7.9;3.6;3.9;0.4;39.0;0.1;38.9;12.8;12.7;0.0;;;;;47.0;336.0;296.0;40.0;;;420.0;420.0;0.0;;;186.0;84.0;92.0;10.0;951.0;2.0;949.0;293.0;0.0;;;;90.0;446.0;393.0;53.0;;;503.0;503.0;0.0
61;Total deliveries;2000 2nd quarter;296.5;111.0;6.5;45.8;40.2;5.6;;;58.7;58.7;0.0;0.0;0.0;146.2;23.4;10.2;12.5;0.7;122.8;0.3;122.5;37.5;37.4;0.1;;1.8;0.4;1.4;143.0;1042.0;914.0;128.0;;;1375.0;1375.0;0.0;0.0;1.0;549.0;240.0;292.0;17.0;2995.0;6.0;2989.0;860.0;1.0;;9.0;390.0;270.0;1382.0;1213.0;170.0;;;1646.0;1646.0;0.0
62;Total deliveries;2000 July;97.0;34.0;2.0;14.1;12.7;1.4;;;17.9;17.9;0.0;;;49.6;8.1;3.5;4.2;0.4;41.5;0.1;41.4;12.9;12.8;0.0;;;;;45.0;320.0;288.0;31.0;;;419.0;419.0;0.0;;;190.0;81.0;98.0;11.0;1012.0;3.0;1009.0;295.0;0.0;;;;84.0;424.0;382.0;42.0;;;501.0;501.0;0.0
63;Total deliveries;2000 August;98.2;34.3;2.1;14.6;13.1;1.5;;;17.6;17.6;0.0;;;50.7;7.3;3.6;3.5;0.2;43.3;0.1;43.2;12.6;12.6;0.0;;;;;45.0;333.0;298.0;35.0;;;412.0;412.0;0.0;;;173.0;84.0;83.0;6.0;1057.0;2.0;1055.0;290.0;0.0;;;;86.0;442.0;396.0;46.0;;;493.0;493.0;0.0
64;Total deliveries;2000 September;91.5;34.9;2.0;13.8;12.5;1.4;;;19.1;19.1;0.0;;;45.1;7.4;3.8;3.6;0.0;37.6;0.2;37.4;10.9;10.9;0.0;;;;;44.0;314.0;283.0;31.0;;;448.0;448.0;0.0;;;174.0;89.0;85.0;0.0;918.0;5.0;913.0;251.0;0.0;;;;82.0;416.0;375.0;41.0;;;536.0;536.0;0.0
