ID;BedrijfsactiviteitenSBI93;Perioden;OrdersZijnToegenomen_1;OrdersZijnGelijkGebleven_2;OrdersZijnAfgenomen_3;OrdersSaldo_4;VerwachteOrderontvangstToenemen_5;VerwachteOrderontvangstGelijkBlijven_6;VerwachteProductieAfnemen_7;VerwachteOrderontvangstSaldo_8;OordeelOrderontvangstIsGroot_9;OordeelOrderontvangstIsNormaal_10;OordeelOrderontvangstIsKlein_11;SaldoOordeelOrderontvangst_12;OmzetIsToegenomen_13;OmzetIsGelijkGebleven_14;OmzetIsAfgenomen_15;SaldoOmzetontwikkeling_16;OmzetZalToenemen_17;OmzetZalGelijkBlijven_18;OmzetZalAfnemen_19;SaldoVerwachteOmzet_20;PrijzenTarievenZijnGestegen_21;PrijzenTarievenZijnGelijkGebleven_22;PrijzenTarievenZijnGedaald_23;SaldoOntwikkelingPrijzenTarieven_24;PrijzenTarievenZullenStijgen_25;PrijzenTarievenZullenGelijkBlijven_26;PrijzenTarievenZullenDalen_27;SaldoVerwachteOntwikkelingPrijzen_28;PersoneelssterkteIsToegenomen_29;PersoneelssterkteIsGelijkBlijven_30;PersoneelssterkteIsAfgenomen_31;PersoneelssterkteSaldo_32;PersoneelssterkteZalToenemen_33;PersoneelssterkteZalGelijkBlijven_34;PersoneelssterkteZalAfnemen_35;VerwachtePersoneelssterkteSaldo_36;BeoordelingGoed_37;BeoordelingNormaalBevredigend_38;BeoordelingSlecht_39;SaldoBeoordelingGoedSlecht_40;GeenBelemmeringen_41;OnvoldoendeVraag_42;TekortAanArbeidskrachten_43;GebrekAanRuimteEnOfApparatuur_44;FinancieleBeperkingen_45;AndereOorzaken_46;OntvangstOpdrachtenOrders_47;OordeelOrderontvangst_48;VerwachtingOntvangstOrders_49;OntwikkelingOmzet_50;VerwachteOntwikkelingOmzet_51;OntwikkelingPrijzenTarieven_52;VerwachteOntwikkelingPrijzenTarieven_53;OntwikkelingPersoneelssterkte_54;VerwachteOntwikkelingPersoneelssterkte_55;OordeelEconomischKlimaat_56
62;5500;2007 maart;31.0;65.0;4.0;27.0;57.0;40.0;3.0;54.0;38.0;59.0;3.0;35.0;35.0;54.0;11.0;24.0;58.0;37.0;5.0;53.0;18.0;79.0;3.0;15.0;21.0;78.0;1.0;20.0;24.0;67.0;9.0;15.0;40.0;55.0;5.0;35.0;47.0;51.0;2.0;45.0;66.0;3.0;23.0;1.0;1.0;6.0;27.0;35.0;54.0;24.0;53.0;15.0;20.0;15.0;35.0;45.0
63;5500;2007 april;40.0;56.0;4.0;36.0;51.0;44.0;5.0;46.0;43.0;53.0;4.0;39.0;48.0;47.0;5.0;43.0;53.0;40.0;7.0;46.0;18.0;81.0;1.0;17.0;16.0;82.0;2.0;14.0;23.0;71.0;6.0;17.0;33.0;59.0;8.0;25.0;50.0;48.0;2.0;48.0;66.0;3.0;23.0;1.0;1.0;6.0;36.0;39.0;46.0;43.0;46.0;17.0;14.0;17.0;25.0;48.0
64;5500;2007 mei;34.0;60.0;6.0;28.0;45.0;48.0;7.0;38.0;40.0;56.0;4.0;36.0;41.0;51.0;8.0;33.0;49.0;43.0;8.0;41.0;15.0;83.0;2.0;13.0;14.0;85.0;1.0;13.0;28.0;63.0;9.0;19.0;35.0;59.0;6.0;29.0;51.0;47.0;2.0;49.0;62.0;4.0;25.0;1.0;1.0;7.0;28.0;36.0;38.0;33.0;41.0;13.0;13.0;19.0;29.0;49.0
65;5500;2007 juni;30.0;62.0;8.0;22.0;38.0;49.0;13.0;25.0;36.0;60.0;4.0;32.0;38.0;55.0;7.0;31.0;40.0;47.0;13.0;27.0;13.0;85.0;2.0;11.0;17.0;79.0;4.0;13.0;21.0;68.0;11.0;10.0;29.0;62.0;9.0;20.0;49.0;49.0;2.0;47.0;58.0;5.0;29.0;1.0;1.0;6.0;22.0;32.0;25.0;31.0;27.0;11.0;13.0;10.0;20.0;47.0
66;5500;2007 juli;29.0;64.0;7.0;22.0;36.0;50.0;14.0;22.0;34.0;62.0;4.0;30.0;40.0;54.0;6.0;34.0;39.0;46.0;15.0;24.0;11.0;87.0;2.0;9.0;19.0;78.0;3.0;16.0;26.0;66.0;8.0;18.0;34.0;56.0;10.0;24.0;45.0;53.0;2.0;43.0;60.0;3.0;29.0;1.0;1.0;6.0;22.0;30.0;22.0;34.0;24.0;9.0;16.0;18.0;24.0;43.0
67;5500;2007 augustus;30.0;54.0;16.0;14.0;45.0;50.0;5.0;40.0;31.0;64.0;5.0;26.0;36.0;48.0;16.0;20.0;47.0;47.0;6.0;41.0;15.0;80.0;5.0;10.0;17.0;81.0;2.0;15.0;22.0;71.0;7.0;15.0;32.0;62.0;6.0;26.0;41.0;57.0;2.0;39.0;57.0;2.0;33.0;1.0;0.0;7.0;14.0;26.0;40.0;20.0;41.0;10.0;15.0;15.0;26.0;39.0
68;5500;2007 september;20.0;67.0;13.0;7.0;40.0;51.0;9.0;31.0;31.0;64.0;5.0;26.0;25.0;61.0;14.0;11.0;46.0;44.0;10.0;36.0;9.0;88.0;3.0;6.0;12.0;87.0;1.0;11.0;25.0;64.0;11.0;14.0;31.0;61.0;8.0;23.0;39.0;59.0;2.0;37.0;55.0;2.0;34.0;1.0;1.0;7.0;7.0;26.0;31.0;11.0;36.0;6.0;11.0;14.0;23.0;37.0
69;5500;2007 oktober;31.0;60.0;9.0;22.0;33.0;56.0;11.0;22.0;31.0;64.0;5.0;26.0;39.0;54.0;7.0;32.0;40.0;49.0;11.0;29.0;11.0;87.0;2.0;9.0;14.0;84.0;2.0;12.0;23.0;69.0;8.0;15.0;23.0;71.0;6.0;17.0;36.0;61.0;3.0;33.0;55.0;2.0;34.0;1.0;1.0;7.0;22.0;26.0;22.0;32.0;29.0;9.0;12.0;15.0;17.0;33.0
70;5500;2007 november;27.0;65.0;8.0;19.0;32.0;54.0;14.0;18.0;30.0;65.0;5.0;25.0;41.0;52.0;7.0;34.0;39.0;47.0;14.0;25.0;10.0;87.0;3.0;7.0;17.0;81.0;2.0;15.0;24.0;67.0;9.0;15.0;25.0;68.0;7.0;18.0;36.0;61.0;3.0;33.0;57.0;2.0;33.0;1.0;1.0;6.0;19.0;25.0;18.0;34.0;25.0;7.0;15.0;15.0;18.0;33.0
71;5500;2007 december;26.0;64.0;10.0;16.0;31.0;57.0;12.0;19.0;31.0;63.0;6.0;25.0;36.0;55.0;9.0;27.0;40.0;46.0;14.0;26.0;10.0;87.0;3.0;7.0;35.0;63.0;2.0;33.0;22.0;68.0;10.0;12.0;30.0;64.0;6.0;24.0;38.0;59.0;3.0;35.0;57.0;2.0;32.0;1.0;1.0;7.0;16.0;25.0;19.0;27.0;26.0;7.0;33.0;12.0;24.0;35.0
