ID;Geslacht;Leeftijd;Studierichting;Opleidingsvorm;Perioden;Ingeschrevenen_1;TotaalEerstejaars_2;DiplomaVwo_3;DiplomaHboBachelor_4;PropedeuseHbo_5;OverigeOpleiding_6;DoctoraalOfMaster_7;Bachelor_8;Gepromoveerden_9
60;Totaal mannen en vrouwen;0;Theologie;Deeltijdonderwijs;2002/'03;433.0;;;;;;;;
61;Totaal mannen en vrouwen;0;Theologie;Deeltijdonderwijs;2003/'04;418.0;;;;;;;;
62;Totaal mannen en vrouwen;0;Theologie;Deeltijdonderwijs;2004/'05;431.0;;;;;;;;
63;Totaal mannen en vrouwen;0;Theologie;Deeltijdonderwijs;2005/'06;401.0;;;;;;;;
64;Totaal mannen en vrouwen;0;Theologie;Deeltijdonderwijs;2006/'07;75.0;;;;;;;;
65;Totaal mannen en vrouwen;0;Theologie;Deeltijdonderwijs;2007/'08;190.0;;;;;;;;
66;Totaal mannen en vrouwen;0;Theologie;Deeltijdonderwijs;2008/'09;172.0;;;;;;;;
67;Totaal mannen en vrouwen;0;Theologie;Deeltijdonderwijs;2009/'10;118.0;;;;;;;;
68;Totaal mannen en vrouwen;0;Theologie;Deeltijdonderwijs;2010/'11;105.0;;;;;;;;
69;Totaal mannen en vrouwen;0;Theologie;Deeltijdonderwijs;2011/'12;126.0;;;;;;;;
70;Totaal mannen en vrouwen;0;Theologie;Deeltijdonderwijs;2012/'13;97.0;;;;;;;;
71;Totaal mannen en vrouwen;0;Theologie;Deeltijdonderwijs;2013/'14;103.0;;;;;;;;
72;Totaal mannen en vrouwen;0;Humanistiek;Totaal opleidingsvorm;1990/'91;71.0;33.0;13.0;5.0;3.0;12.0;1.0;;
73;Totaal mannen en vrouwen;0;Humanistiek;Totaal opleidingsvorm;1991/'92;100.0;39.0;12.0;5.0;4.0;18.0;0.0;;
74;Totaal mannen en vrouwen;0;Humanistiek;Totaal opleidingsvorm;1992/'93;129.0;30.0;10.0;9.0;1.0;10.0;1.0;;
75;Totaal mannen en vrouwen;0;Humanistiek;Totaal opleidingsvorm;1993/'94;158.0;36.0;17.0;9.0;4.0;6.0;3.0;;
76;Totaal mannen en vrouwen;0;Humanistiek;Totaal opleidingsvorm;1994/'95;207.0;48.0;24.0;3.0;6.0;15.0;15.0;;
77;Totaal mannen en vrouwen;0;Humanistiek;Totaal opleidingsvorm;1995/'96;236.0;77.0;30.0;9.0;3.0;35.0;7.0;;
78;Totaal mannen en vrouwen;0;Humanistiek;Totaal opleidingsvorm;1996/'97;240.0;52.0;23.0;10.0;3.0;16.0;9.0;;
79;Totaal mannen en vrouwen;0;Humanistiek;Totaal opleidingsvorm;1997/'98;251.0;33.0;18.0;8.0;5.0;2.0;12.0;;
80;Totaal mannen en vrouwen;0;Humanistiek;Totaal opleidingsvorm;1998/'99;280.0;85.0;29.0;21.0;8.0;27.0;9.0;;
81;Totaal mannen en vrouwen;0;Humanistiek;Totaal opleidingsvorm;1999/'00;332.0;129.0;47.0;22.0;1.0;59.0;20.0;;
82;Totaal mannen en vrouwen;0;Humanistiek;Totaal opleidingsvorm;2000/'01;322.0;83.0;39.0;9.0;2.0;33.0;14.0;;
83;Totaal mannen en vrouwen;0;Humanistiek;Totaal opleidingsvorm;2001/'02;323.0;62.0;34.0;8.0;5.0;15.0;16.0;;
84;Totaal mannen en vrouwen;0;Humanistiek;Totaal opleidingsvorm;2002/'03;341.0;78.0;37.0;9.0;6.0;26.0;22.0;;
85;Totaal mannen en vrouwen;0;Humanistiek;Totaal opleidingsvorm;2003/'04;309.0;57.0;33.0;0.0;2.0;22.0;19.0;0.0;
86;Totaal mannen en vrouwen;0;Humanistiek;Totaal opleidingsvorm;2004/'05;306.0;46.0;28.0;0.0;12.0;6.0;34.0;22.0;0.0
87;Totaal mannen en vrouwen;0;Humanistiek;Totaal opleidingsvorm;2005/'06;328.0;66.0;38.0;7.0;11.0;10.0;27.0;20.0;5.0
88;Totaal mannen en vrouwen;0;Humanistiek;Totaal opleidingsvorm;2006/'07;353.0;57.0;42.0;3.0;6.0;6.0;34.0;29.0;7.0
89;Totaal mannen en vrouwen;0;Humanistiek;Totaal opleidingsvorm;2007/'08;333.0;55.0;39.0;2.0;8.0;6.0;28.0;28.0;6.0
90;Totaal mannen en vrouwen;0;Humanistiek;Totaal opleidingsvorm;2008/'09;332.0;53.0;43.0;3.0;3.0;4.0;16.0;45.0;7.0
91;Totaal mannen en vrouwen;0;Humanistiek;Totaal opleidingsvorm;2009/'10;348.0;55.0;22.0;9.0;13.0;11.0;26.0;39.0;5.0
92;Totaal mannen en vrouwen;0;Humanistiek;Totaal opleidingsvorm;2010/'11;345.0;55.0;33.0;7.0;5.0;10.0;36.0;56.0;6.0
93;Totaal mannen en vrouwen;0;Humanistiek;Totaal opleidingsvorm;2011/'12;373.0;70.0;46.0;9.0;11.0;4.0;39.0;48.0;7.0
94;Totaal mannen en vrouwen;0;Humanistiek;Totaal opleidingsvorm;2012/'13;370.0;67.0;50.0;6.0;8.0;3.0;24.0;35.0;7.0
95;Totaal mannen en vrouwen;0;Humanistiek;Totaal opleidingsvorm;2013/'14;448.0;84.0;47.0;14.0;18.0;5.0;;;
96;Totaal mannen en vrouwen;0;Humanistiek;Voltijdonderwijs;1990/'91;71.0;;;;;;;;
97;Totaal mannen en vrouwen;0;Humanistiek;Voltijdonderwijs;1991/'92;100.0;;;;;;;;
98;Totaal mannen en vrouwen;0;Humanistiek;Voltijdonderwijs;1992/'93;129.0;;;;;;;;
99;Totaal mannen en vrouwen;0;Humanistiek;Voltijdonderwijs;1993/'94;158.0;;;;;;;;
100;Totaal mannen en vrouwen;0;Humanistiek;Voltijdonderwijs;1994/'95;207.0;;;;;;;;
101;Totaal mannen en vrouwen;0;Humanistiek;Voltijdonderwijs;1995/'96;236.0;;;;;;;;
102;Totaal mannen en vrouwen;0;Humanistiek;Voltijdonderwijs;1996/'97;240.0;;;;;;;;
103;Totaal mannen en vrouwen;0;Humanistiek;Voltijdonderwijs;1997/'98;251.0;;;;;;;;
104;Totaal mannen en vrouwen;0;Humanistiek;Voltijdonderwijs;1998/'99;280.0;;;;;;;;
105;Totaal mannen en vrouwen;0;Humanistiek;Voltijdonderwijs;1999/'00;332.0;;;;;;;;
106;Totaal mannen en vrouwen;0;Humanistiek;Voltijdonderwijs;2000/'01;322.0;;;;;;;;
107;Totaal mannen en vrouwen;0;Humanistiek;Voltijdonderwijs;2001/'02;323.0;;;;;;;;
108;Totaal mannen en vrouwen;0;Humanistiek;Voltijdonderwijs;2002/'03;341.0;;;;;;;;
109;Totaal mannen en vrouwen;0;Humanistiek;Voltijdonderwijs;2003/'04;309.0;;;;;;;;
110;Totaal mannen en vrouwen;0;Humanistiek;Voltijdonderwijs;2004/'05;306.0;;;;;;;;
111;Totaal mannen en vrouwen;0;Humanistiek;Voltijdonderwijs;2005/'06;328.0;;;;;;;;
112;Totaal mannen en vrouwen;0;Humanistiek;Voltijdonderwijs;2006/'07;353.0;;;;;;;;
113;Totaal mannen en vrouwen;0;Humanistiek;Voltijdonderwijs;2007/'08;333.0;;;;;;;;
114;Totaal mannen en vrouwen;0;Humanistiek;Voltijdonderwijs;2008/'09;332.0;;;;;;;;
115;Totaal mannen en vrouwen;0;Humanistiek;Voltijdonderwijs;2009/'10;348.0;;;;;;;;
116;Totaal mannen en vrouwen;0;Humanistiek;Voltijdonderwijs;2010/'11;345.0;;;;;;;;
117;Totaal mannen en vrouwen;0;Humanistiek;Voltijdonderwijs;2011/'12;373.0;;;;;;;;
118;Totaal mannen en vrouwen;0;Humanistiek;Voltijdonderwijs;2012/'13;370.0;;;;;;;;
119;Totaal mannen en vrouwen;0;Humanistiek;Voltijdonderwijs;2013/'14;448.0;;;;;;;;
120;Totaal mannen en vrouwen;0;Humanistiek;Deeltijdonderwijs;1990/'91;;;;;;;;;
121;Totaal mannen en vrouwen;0;Humanistiek;Deeltijdonderwijs;1991/'92;;;;;;;;;
122;Totaal mannen en vrouwen;0;Humanistiek;Deeltijdonderwijs;1992/'93;;;;;;;;;
123;Totaal mannen en vrouwen;0;Humanistiek;Deeltijdonderwijs;1993/'94;;;;;;;;;
124;Totaal mannen en vrouwen;0;Humanistiek;Deeltijdonderwijs;1994/'95;;;;;;;;;
125;Totaal mannen en vrouwen;0;Humanistiek;Deeltijdonderwijs;1995/'96;;;;;;;;;
126;Totaal mannen en vrouwen;0;Humanistiek;Deeltijdonderwijs;1996/'97;;;;;;;;;
127;Totaal mannen en vrouwen;0;Humanistiek;Deeltijdonderwijs;1997/'98;;;;;;;;;
128;Totaal mannen en vrouwen;0;Humanistiek;Deeltijdonderwijs;1998/'99;;;;;;;;;
129;Totaal mannen en vrouwen;0;Humanistiek;Deeltijdonderwijs;1999/'00;;;;;;;;;
130;Totaal mannen en vrouwen;0;Humanistiek;Deeltijdonderwijs;2000/'01;;;;;;;;;
131;Totaal mannen en vrouwen;0;Humanistiek;Deeltijdonderwijs;2001/'02;;;;;;;;;
132;Totaal mannen en vrouwen;0;Humanistiek;Deeltijdonderwijs;2002/'03;;;;;;;;;
133;Totaal mannen en vrouwen;0;Humanistiek;Deeltijdonderwijs;2003/'04;;;;;;;;;
134;Totaal mannen en vrouwen;0;Humanistiek;Deeltijdonderwijs;2004/'05;;;;;;;;;
135;Totaal mannen en vrouwen;0;Humanistiek;Deeltijdonderwijs;2005/'06;;;;;;;;;
136;Totaal mannen en vrouwen;0;Humanistiek;Deeltijdonderwijs;2006/'07;;;;;;;;;
137;Totaal mannen en vrouwen;0;Humanistiek;Deeltijdonderwijs;2007/'08;;;;;;;;;
138;Totaal mannen en vrouwen;0;Humanistiek;Deeltijdonderwijs;2008/'09;;;;;;;;;
139;Totaal mannen en vrouwen;0;Humanistiek;Deeltijdonderwijs;2009/'10;;;;;;;;;
140;Totaal mannen en vrouwen;0;Humanistiek;Deeltijdonderwijs;2010/'11;;;;;;;;;
141;Totaal mannen en vrouwen;0;Humanistiek;Deeltijdonderwijs;2011/'12;;;;;;;;;
142;Totaal mannen en vrouwen;0;Humanistiek;Deeltijdonderwijs;2012/'13;;;;;;;;;
143;Totaal mannen en vrouwen;0;Humanistiek;Deeltijdonderwijs;2013/'14;;;;;;;;;
144;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Totaal opleidingsvorm;1990/'91;2.0;;;;;;;;
145;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Totaal opleidingsvorm;1991/'92;1.0;;;;;;;;
146;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Totaal opleidingsvorm;1992/'93;0.0;;;;;;;;
147;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Totaal opleidingsvorm;1993/'94;0.0;;;;;;;;
148;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Totaal opleidingsvorm;1994/'95;0.0;;;;;;;;
149;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Totaal opleidingsvorm;1995/'96;0.0;;;;;;;;
150;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Totaal opleidingsvorm;1996/'97;0.0;;;;;;;;
151;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Totaal opleidingsvorm;1997/'98;0.0;;;;;;;;
152;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Totaal opleidingsvorm;1998/'99;1.0;;;;;;;;
153;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Totaal opleidingsvorm;1999/'00;0.0;;;;;;;;
154;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Totaal opleidingsvorm;2000/'01;0.0;;;;;;;;
155;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Totaal opleidingsvorm;2001/'02;0.0;;;;;;;;
156;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Totaal opleidingsvorm;2002/'03;1.0;;;;;;;;
157;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Totaal opleidingsvorm;2003/'04;0.0;;;;;;;;
158;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Totaal opleidingsvorm;2004/'05;2.0;;;;;;;;
159;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Totaal opleidingsvorm;2005/'06;0.0;;;;;;;;
160;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Totaal opleidingsvorm;2006/'07;0.0;;;;;;;;
161;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Totaal opleidingsvorm;2007/'08;0.0;;;;;;;;
162;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Totaal opleidingsvorm;2008/'09;0.0;;;;;;;;
163;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Totaal opleidingsvorm;2009/'10;0.0;;;;;;;;
164;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Totaal opleidingsvorm;2010/'11;1.0;;;;;;;;
165;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Totaal opleidingsvorm;2011/'12;1.0;;;;;;;;
166;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Totaal opleidingsvorm;2012/'13;3.0;;;;;;;;
167;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Totaal opleidingsvorm;2013/'14;1.0;;;;;;;;
168;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Voltijdonderwijs;1990/'91;2.0;;;;;;;;
169;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Voltijdonderwijs;1991/'92;1.0;;;;;;;;
170;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Voltijdonderwijs;1992/'93;0.0;;;;;;;;
171;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Voltijdonderwijs;1993/'94;0.0;;;;;;;;
172;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Voltijdonderwijs;1994/'95;0.0;;;;;;;;
173;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Voltijdonderwijs;1995/'96;0.0;;;;;;;;
174;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Voltijdonderwijs;1996/'97;0.0;;;;;;;;
175;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Voltijdonderwijs;1997/'98;0.0;;;;;;;;
176;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Voltijdonderwijs;1998/'99;1.0;;;;;;;;
177;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Voltijdonderwijs;1999/'00;0.0;;;;;;;;
178;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Voltijdonderwijs;2000/'01;0.0;;;;;;;;
179;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Voltijdonderwijs;2001/'02;0.0;;;;;;;;
180;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Voltijdonderwijs;2002/'03;1.0;;;;;;;;
181;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Voltijdonderwijs;2003/'04;0.0;;;;;;;;
182;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Voltijdonderwijs;2004/'05;2.0;;;;;;;;
183;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Voltijdonderwijs;2005/'06;0.0;;;;;;;;
184;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Voltijdonderwijs;2006/'07;0.0;;;;;;;;
185;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Voltijdonderwijs;2007/'08;0.0;;;;;;;;
186;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Voltijdonderwijs;2008/'09;0.0;;;;;;;;
187;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Voltijdonderwijs;2009/'10;0.0;;;;;;;;
188;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Voltijdonderwijs;2010/'11;1.0;;;;;;;;
189;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Voltijdonderwijs;2011/'12;1.0;;;;;;;;
190;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Voltijdonderwijs;2012/'13;3.0;;;;;;;;
191;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Voltijdonderwijs;2013/'14;1.0;;;;;;;;
192;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Deeltijdonderwijs;1990/'91;0.0;;;;;;;;
193;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Deeltijdonderwijs;1991/'92;0.0;;;;;;;;
194;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Deeltijdonderwijs;1992/'93;0.0;;;;;;;;
195;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Deeltijdonderwijs;1993/'94;0.0;;;;;;;;
196;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Deeltijdonderwijs;1994/'95;0.0;;;;;;;;
197;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Deeltijdonderwijs;1995/'96;0.0;;;;;;;;
198;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Deeltijdonderwijs;1996/'97;0.0;;;;;;;;
199;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Deeltijdonderwijs;1997/'98;0.0;;;;;;;;
200;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Deeltijdonderwijs;1998/'99;0.0;;;;;;;;
201;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Deeltijdonderwijs;1999/'00;0.0;;;;;;;;
202;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Deeltijdonderwijs;2000/'01;0.0;;;;;;;;
203;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Deeltijdonderwijs;2001/'02;0.0;;;;;;;;
204;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Deeltijdonderwijs;2002/'03;0.0;;;;;;;;
205;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Deeltijdonderwijs;2003/'04;0.0;;;;;;;;
206;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Deeltijdonderwijs;2004/'05;0.0;;;;;;;;
207;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Deeltijdonderwijs;2005/'06;0.0;;;;;;;;
208;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Deeltijdonderwijs;2006/'07;0.0;;;;;;;;
209;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Deeltijdonderwijs;2007/'08;0.0;;;;;;;;
210;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Deeltijdonderwijs;2008/'09;0.0;;;;;;;;
211;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Deeltijdonderwijs;2009/'10;0.0;;;;;;;;
212;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Deeltijdonderwijs;2010/'11;0.0;;;;;;;;
213;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Deeltijdonderwijs;2011/'12;0.0;;;;;;;;
214;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Deeltijdonderwijs;2012/'13;0.0;;;;;;;;
215;Totaal mannen en vrouwen;17 jaar of jonger;Theologie;Deeltijdonderwijs;2013/'14;0.0;;;;;;;;
216;Totaal mannen en vrouwen;17 jaar of jonger;Humanistiek;Totaal opleidingsvorm;1990/'91;0.0;;;;;;;;
217;Totaal mannen en vrouwen;17 jaar of jonger;Humanistiek;Totaal opleidingsvorm;1991/'92;0.0;;;;;;;;
218;Totaal mannen en vrouwen;17 jaar of jonger;Humanistiek;Totaal opleidingsvorm;1992/'93;0.0;;;;;;;;
219;Totaal mannen en vrouwen;17 jaar of jonger;Humanistiek;Totaal opleidingsvorm;1993/'94;0.0;;;;;;;;
220;Totaal mannen en vrouwen;17 jaar of jonger;Humanistiek;Totaal opleidingsvorm;1994/'95;0.0;;;;;;;;
221;Totaal mannen en vrouwen;17 jaar of jonger;Humanistiek;Totaal opleidingsvorm;1995/'96;0.0;;;;;;;;
222;Totaal mannen en vrouwen;17 jaar of jonger;Humanistiek;Totaal opleidingsvorm;1996/'97;0.0;;;;;;;;
223;Totaal mannen en vrouwen;17 jaar of jonger;Humanistiek;Totaal opleidingsvorm;1997/'98;0.0;;;;;;;;
224;Totaal mannen en vrouwen;17 jaar of jonger;Humanistiek;Totaal opleidingsvorm;1998/'99;1.0;;;;;;;;
