ID;Perioden;HypothekenInMlnEuro_1;AantalHypotheken_2;HypothekenInMlnEuro_3;AantalHypotheken_4;HypothekenInMlnEuro_5;AantalHypotheken_6;HypothekenInMlnEuro_7;AantalHypotheken_8;HypothekenInMlnEuro_9;AantalHypotheken_10;Marktaandelen_11;HypothekenInMlnEuro_12;AantalHypotheken_13;Marktaandelen_14;HypothekenInMlnEuro_15;AantalHypotheken_16;Marktaandelen_17;HypothekenInMlnEuro_18;AantalHypotheken_19;Marktaandelen_20;HypothekenInMlnEuro_21;AantalHypotheken_22;Marktaandelen_23;HypothekenInMlnEuro_24;AantalHypotheken_25;Marktaandelen_26;HypothekenInMlnEuro_27;AantalHypotheken_28;Marktaandelen_29;HypothekenInMlnEuro_30;AantalHypotheken_31;HypothekenInMlnEuro_32;AantalHypotheken_33;HypothekenInMlnEuro_34;AantalHypotheken_35;HypothekenInMlnEuro_36;AantalHypotheken_37;HypothekenInMlnEuro_38;AantalHypotheken_39;HypothekenInMlnEuro_40;AantalHypotheken_41;HypothekenInMlnEuro_42;AantalHypotheken_43;HypothekenInMlnEuro_44;AantalHypotheken_45;HypothekenInMlnEuro_46;AantalHypotheken_47;HypothekenInMlnEuro_48;AantalHypotheken_49;HypothekenInMlnEuro_50;AantalHypotheken_51;HypothekenInMlnEuro_52;AantalHypotheken_53;HypothekenInMlnEuro_54;AantalHypotheken_55;HypothekenInMlnEuro_56;AantalHypotheken_57;HypothekenInMlnEuro_58;AantalHypotheken_59;HypothekenInMlnEuro_60;AantalHypotheken_61;HypothekenInMlnEuro_62;AantalHypotheken_63;HypothekenInMlnEuro_64;AantalHypotheken_65;HypothekenInMlnEuro_66;AantalHypotheken_67;HypothekenInMlnEuro_68;AantalHypotheken_69;HypothekenInMlnEuro_70;AantalHypotheken_71;HypothekenInMlnEuro_72;AantalHypotheken_73;HypothekenInMlnEuro_74;AantalHypotheken_75;HypothekenInMlnEuro_76;AantalHypotheken_77;HypothekenInMlnEuro_78;AantalHypotheken_79;HypothekenInMlnEuro_80;AantalHypotheken_81;HypothekenInMlnEuro_82;AantalHypotheken_83;HypothekenInMlnEuro_84;AantalHypotheken_85;HypothekenInMlnEuro_86;AantalHypotheken_87;HypothekenInMlnEuro_88;AantalHypotheken_89;HypothekenInMlnEuro_90;AantalHypotheken_91;HypothekenInMlnEuro_92;AantalHypotheken_93;HypothekenInMlnEuro_94;AantalHypotheken_95;HypothekenInMlnEuro_96;AantalHypotheken_97;HypothekenInMlnEuro_98;AantalHypotheken_99;HypothekenInMlnEuro_100;AantalHypotheken_101;HypothekenInMlnEuro_102;AantalHypotheken_103;HypothekenInMlnEuro_104;AantalHypotheken_105;HypothekenInMlnEuro_106;AantalHypotheken_107;HypothekenInMlnEuro_108;AantalHypotheken_109;HypothekenInMlnEuro_110;AantalHypotheken_111;HypothekenInMlnEuro_112;AantalHypotheken_113;HypothekenInMlnEuro_114;AantalHypotheken_115;HypothekenInMlnEuro_116;AantalHypotheken_117;HypothekenInMlnEuro_118;AantalHypotheken_119;HypothekenInMlnEuro_120;AantalHypotheken_121;HypothekenInMlnEuro_122;AantalHypotheken_123;HypothekenInMlnEuro_124;AantalHypotheken_125;HypothekenInMlnEuro_126;AantalHypotheken_127;HypothekenInMlnEuro_128;AantalHypotheken_129;HypothekenInMlnEuro_130;AantalHypotheken_131;HypothekenInMlnEuro_132;AantalHypotheken_133;HypothekenInMlnEuro_134;AantalHypotheken_135;HypothekenInMlnEuro_136;AantalHypotheken_137;HypothekenInMlnEuro_138;AantalHypotheken_139
10;1993 november;3838;35345;649;620;3182;34655;8.0;70;928;10154;24;445;5451;12;113;1655;3;1873;15672;49;368;1826;10;48;466;1;63;121;2;162;924;9;24;154;899;;1;49;253;8;86;4;42;73;436;24;65;4;40;;2;2247;30379;107;188;2135;30128;5.0;63;648;8786;360;4971;85;1449;934;13299;182;1451;29;328;9;95;240;1110;77;109;164;999;;2;69;307;16;69;9;44;104;531;35;109;6;45;2.0;5;727;822;396;261;328;557;3.0;4;98;193;32;47;6;18;438;412;107;109;4;31;43.0;12;461;2110;60;38;401;2072;3.0;0;65;615;30;278;9;102;323;994;21;92;5;22;9.0;7
11;1993 december;6081;51682;1816;1237;4244;50341;21.0;104;1421;14529;23;841;8530;14;140;2068;2;2708;23120;45;720;2481;12;109;796;2;142;158;2;339;1350;137;66;202;1283;;1;81;393;17;111;9;78;158;604;61;97;10;63;4.0;4;3578;44519;429;360;3138;44073;11.0;86;990;12627;591;7892;112;1843;1527;19555;271;1931;46;540;41;131;491;1813;4;212;254;1592;4.0;9;114;481;29;128;4;32;205;927;85;147;23;88;32.0;10;1308;1578;916;540;387;1032;6.0;6;159;332;158;85;5;24;641;860;254;193;26;74;66.0;10;364;2422;101;59;263;2361;6.0;2;78;696;46;314;10;91;176;1174;49;113;4;31;0.0;3
12;1994 januari;3139;24638;1167;701;1939;23874;33.0;63;971;6740;31;335;4031;11;115;1050;4;1121;11119;36;466;1268;15;37;321;1;93;109;3;121;600;25;30;97;569;;1;44;185;7;60;1;13;46;255;19;64;4;23;;0;1776;21125;330;235;1436;20838;10.0;52;415;5821;270;3654;102;934;753;9471;207;948;18;215;11;82;410;978;1;111;158;864;1.0;3;207;246;14;77;3;24;77;479;94;98;7;44;8.0;10;661;759;519;281;122;471;21.0;7;259;152;21;45;4;24;172;390;129;109;6;25;70.0;14;170;1176;44;44;126;1132;21.0;0;46;336;23;195;5;55;74;524;17;49;2;14;3.0;3
13;1994 februari;3462;31892;921;728;2534;31094;7.0;70;1065;8881;31;452;5304;13;92;1413;3;1372;14192;40;344;1568;10;58;442;2;80;92;2;156;668;38;37;118;629;;2;25;179;7;68;3;31;49;288;58;75;14;26;;1;2000;27368;85;225;1910;27081;4.0;62;561;7586;360;4817;71;1247;859;12105;115;1226;25;308;9;79;324;1138;1;114;158;1020;1.0;4;122;312;12;79;6;41;144;553;30;99;8;50;2.0;4;725;792;570;286;155;506;;0;288;184;40;44;4;16;207;398;108;109;10;34;69.0;7;257;1926;65;66;192;1858;;2;69;620;33;296;8;78;112;848;33;59;2;24;;1
14;1994 maart;4357;46193;904;913;3444;45189;8.0;91;1156;12894;27;612;7930;14;133;2050;3;1858;20169;43;500;2479;11;52;519;1;45;152;1;150;915;23;30;126;884;;1;57;287;7;67;3;34;64;422;15;73;4;30;;2;2881;40456;153;319;2722;40051;6.0;86;803;11242;536;7350;104;1873;1223;17497;172;2004;30;357;12;133;362;1604;1;158;223;1443;1.0;3;129;484;18;107;7;41;131;743;60;157;8;67;10.0;5;618;1000;471;348;147;651;;1;94;219;12;55;11;20;242;523;230;135;6;40;23.0;8;345;2218;120;58;226;2160;;0;73;662;39;351;9;82;198;984;23;110;3;25;1.0;4
15;1994 april;4257;41643;1180;1043;3072;40542;5.0;58;1125;11620;26;605;7314;14;124;1958;3;1821;18498;43;370;1610;9;59;496;1;155;147;4;190;953;51;44;139;909;;0;69;354;5;70;3;35;86;417;21;54;5;23;;0;2708;36346;284;356;2420;35936;5.0;54;757;10026;491;6771;100;1785;1130;16057;163;1224;39;358;27;125;406;1388;219;156;187;1231;;1;118;402;29;105;7;34;192;694;54;110;4;39;2.0;4;699;984;576;422;123;561;;1;120;287;47;56;6;27;288;437;112;124;6;41;121.0;12;254;1972;52;65;202;1905;;2;60;551;33;312;7;77;126;893;20;98;4;35;5.0;6
16;1994 mei;4313;45876;847;828;3460;44991;5.0;57;1065;11980;25;727;8812;17;136;2193;3;1837;20477;43;380;1721;9;80;526;2;89;167;2;172;859;14;24;158;835;;0;59;306;6;70;3;24;61;365;16;62;26;31;;1;2964;40406;183;347;2776;40004;5.0;55;757;10463;591;8195;120;2035;1301;17840;148;1330;34;391;13;152;366;1327;202;112;164;1215;;0;72;357;65;107;3;36;108;666;69;107;6;50;43.0;4;526;900;408;287;117;612;;1;93;220;26;45;2;17;233;467;131;118;12;27;29.0;6;285;2384;41;58;244;2325;;1;83;634;40;395;7;81;135;1139;15;104;5;27;1.0;4
17;1994 juni;4753;44124;1404;790;3341;43290;9.0;44;1183;12317;25;633;8177;13;136;2114;3;2310;19237;49;417;1782;9;44;360;1;30;137;1;193;978;47;44;147;934;;0;70;345;8;74;3;38;65;417;45;81;3;22;;1;2943;38242;305;217;2633;37987;4.0;38;776;10590;533;7446;105;1833;1344;16632;145;1359;27;266;12;116;401;1390;1;135;184;1252;1.0;3;140;389;22;121;9;58;123;669;95;110;5;37;7.0;6;497;921;388;338;106;582;;1;94;222;16;68;3;22;263;445;105;132;7;24;10.0;8;719;2593;448;56;271;2535;;2;103;771;56;468;15;163;516;1074;27;100;2;11;1.0;6
18;1994 juli;4363;41184;876;877;3279;40251;208.0;56;1152;11942;26;553;6360;13;161;2070;4;1802;18612;41;387;1646;9;57;409;1;251;145;6;247;1086;90;61;157;1025;;0;92;346;10;88;6;56;79;476;53;90;8;28;;2;2761;35779;147;241;2611;35490;3.0;48;816;10345;450;5858;121;1779;1206;16169;129;1221;27;294;11;113;450;1281;164;151;160;1123;164.0;7;80;379;16;88;5;35;123;614;48;112;6;43;171.0;10;617;972;442;389;135;582;;1;69;210;43;66;12;16;280;510;129;125;16;31;68.0;14;288;2066;72;35;216;2031;;0;96;662;33;260;16;184;114;843;28;98;1;13;0.0;6
19;1994 augustus;3924;33925;1165;688;2671;33202;89.0;35;1085;9609;28;439;4995;11;140;1987;4;1536;15332;39;455;1525;12;71;356;2;198;121;5;151;769;42;42;108;727;;0;61;278;8;65;2;32;49;300;23;71;8;22;;1;2369;29754;136;164;2173;29559;60.0;31;653;8398;351;4613;117;1750;1029;13498;121;1125;50;273;48;97;298;964;183;122;116;841;;1;67;293;22;61;3;34;88;426;89;114;4;27;26.0;9;871;766;745;321;99;442;28.0;3;251;177;35;44;4;17;274;360;206;132;5;24;97.0;12;235;1672;60;39;175;1633;28.0;0;53;463;24;212;14;154;96;748;16;83;32;10;;2
20;1994 september;4235;31817;1033;730;2537;31030;665.0;57;912;9494;22;386;4066;9;128;1822;3;1461;14657;35;575;1243;14;46;409;1;727;126;17;154;651;48;48;106;601;;2;55;246;3;29;2;28;53;286;33;44;8;17;;1;2117;27679;70;181;2043;27457;3.0;41;650;8220;287;3753;104;1582;949;12762;88;934;30;333;9;95;256;1028;1;128;126;897;1.0;3;53;311;48;62;5;33;113;489;26;96;9;33;2.0;4;1486;824;728;336;98;478;661.0;10;81;211;28;35;4;23;247;398;411;111;3;21;713.0;25;221;1635;57;37;164;1597;661.0;1;73;506;20;187;13;156;99;722;16;58;0;5;;1
21;1994 oktober;3242;30456;866;757;2369;29652;7.0;47;878;9090;27;291;3566;9;130;1860;4;1504;14040;46;261;1371;8;55;421;2;122;108;4;126;628;21;45;105;582;;1;49;233;3;29;5;29;47;261;11;50;11;24;;2;1957;26543;62;165;1892;26337;3.0;41;593;7915;249;3338;104;1619;892;12255;83;1014;28;317;8;85;222;1056;87;131;135;924;;1;62;312;8;48;6;50;86;488;53;117;4;36;3.0;5;749;865;648;370;97;491;4.0;4;121;195;17;32;3;19;393;439;98;128;11;39;105.0;13;189;1364;49;46;139;1318;4.0;0;53;435;14;119;13;143;86;597;16;62;1;5;7.0;3
22;1994 november;3220;31984;686;844;2498;31084;36.0;56;880;9657;27;296;3618;9;126;1855;4;1414;14641;44;372;1541;12;78;543;2;54;129;2;164;699;43;61;121;638;;0;55;269;4;25;3;25;50;282;21;50;30;48;;0;2096;27900;98;216;1993;27633;4.0;51;621;8485;248;3384;104;1670;952;12682;130;1182;32;387;10;110;285;1164;126;141;159;1022;;1;81;307;17;63;6;41;105;589;68;103;7;58;0.0;3;464;879;371;382;88;493;5.0;4;73;207;11;32;4;20;216;416;108;151;8;39;44.0;14;211;1342;76;44;136;1298;5.0;0;51;389;16;114;9;99;90;672;45;55;1;11;;2
23;1994 december;5638;41210;2320;1180;3260;39959;59.0;71;1367;12754;24;449;4465;8;188;2586;3;2012;18633;36;1041;1908;18;128;716;2;454;148;8;263;991;96;71;167;919;;1;85;444;3;32;5;22;75;379;46;48;49;65;;1;3297;36301;651;379;2641;35863;4.0;59;969;11272;322;4168;161;2417;1261;16385;528;1443;47;511;9;105;632;1503;21;172;201;1328;21.0;3;147;442;18;82;3;39;149;720;120;152;9;60;186.0;8;1223;1173;1066;503;123;663;33.0;7;117;257;90;50;10;31;404;560;326;192;17;54;258.0;29;223;1242;96;55;127;1186;33.0;1;49;339;16;133;8;77;122;589;22;73;6;26;0.0;5
24;1995 januari;3848;23748;1780;934;2062;22751;6.0;63;1423;7758;37;268;2671;7;101;1249;3;1246;10373;32;644;1252;17;59;383;2;107;62;3;190;557;77;61;113;496;;0;63;240;4;23;2;11;57;185;58;67;4;28;0.0;3;1722;20165;262;249;1456;19859;4.0;57;598;6610;179;2391;84;1127;659;8835;110;882;29;270;64;50;381;917;233;139;147;777;;1;124;324;7;55;7;33;130;386;73;87;4;28;37.0;4;1167;907;961;443;205;459;2.0;5;400;242;61;50;3;13;306;386;373;168;19;43;6.0;5;388;1202;247;42;141;1160;2.0;0;239;342;18;152;6;65;94;581;30;48;2;14;;0
25;1995 februari;2571;24518;670;730;1894;23725;7.0;63;821;8960;32;251;2762;10;88;1296;3;999;9793;39;335;1291;13;54;351;2;24;65;1;148;484;43;39;104;441;0.0;4;44;217;3;21;1;10;50;155;34;55;16;25;;1;1633;21482;129;213;1501;21216;4.0;53;574;7827;191;2544;77;1216;684;8620;78;986;24;246;5;43;184;822;79;102;105;719;;1;68;343;16;44;2;17;52;294;36;79;7;39;3.0;6;451;747;364;340;85;403;2.0;4;93;225;28;37;5;15;155;305;147;116;7;35;15.0;14;155;983;55;36;100;946;2.0;1;41;348;13;116;3;38;59;419;39;55;1;6;;1
26;1995 maart;3867;31478;1412;1003;2450;30448;5.0;27;1188;11745;31;450;3683;12;121;1609;3;1505;12132;39;485;1832;13;57;397;1;62;80;2;172;618;48;50;124;567;;1;52;311;13;37;3;10;42;181;58;52;3;27;;0;2133;27504;205;312;1927;27171;2.0;21;747;10193;255;3385;98;1477;831;10651;171;1458;23;276;9;64;304;1036;161;130;143;904;;2;103;420;15;66;7;36;94;359;52;102;10;48;23.0;5;971;978;857;444;112;531;3.0;3;212;330;97;50;8;29;458;385;166;137;10;38;21.0;9;286;1342;142;67;144;1275;3.0;0;75;491;70;145;5;57;78;556;38;83;19;8;;2
27;1995 april;2715;26581;637;640;2067;25919;11.0;22;907;10330;33;277;3530;10;100;1449;4;1058;9338;39;301;1541;11;39;309;1;32;84;1;193;590;72;33;122;557;;0;76;335;10;53;1;13;73;140;28;29;5;19;;1;1685;23412;73;161;1609;23234;3.0;17;596;8942;227;3249;82;1332;618;8313;136;1292;19;219;8;65;261;839;133;96;127;741;;2;82;382;8;58;3;20;119;270;39;68;6;35;3.0;6;413;726;305;316;102;407;6.0;3;101;255;20;47;5;20;187;269;73;98;8;25;20.0;12;163;1014;56;34;107;980;6.0;0;53;416;12;123;9;64;62;346;25;54;2;11;;0
28;1995 mei;3466;32685;880;741;2585;31928;1.0;16;1250;13136;36;354;3831;10;128;1852;4;1259;11624;36;369;1818;11;46;342;1;61;82;2;205;637;66;43;139;593;;1;95;388;1;14;2;13;54;147;45;54;8;20;;1;2137;28909;126;201;2010;28694;1.0;14;802;11372;256;3581;110;1709;772;10371;164;1553;23;259;10;64;295;926;100;101;195;825;;0;121;443;7;40;4;24;74;321;67;68;6;26;17.0;4;626;796;531;348;95;448;;0;149;306;74;35;4;19;279;325;81;71;6;28;34.0;12;203;1417;58;48;146;1368;;1;82;627;17;161;9;87;81;460;13;72;2;9;;1
29;1995 juni;3302;33431;668;779;2633;32635;1.0;17;1218;13254;37;316;3962;10;130;1754;4;1272;12211;39;263;1830;8;30;325;1;74;95;2;115;505;29;30;86;475;;0;52;296;2;14;1;9;37;134;14;26;9;25;;1;2295;30064;104;212;2191;29837;1.0;15;889;11686;275;3708;108;1643;861;11125;125;1572;17;248;20;82;203;883;72;107;132;776;;0;96;431;7;48;4;26;73;265;18;83;3;26;3.0;4;524;809;424;377;99;430;;2;112;343;16;39;4;17;252;300;89;86;4;18;47.0;6;165;1170;39;53;126;1117;;0;69;498;17;153;12;59;49;387;17;63;2;8;;2
30;1995 juli;3539;33348;765;719;2760;32608;14.0;21;1252;12948;35;360;4129;10;128;1701;4;1290;12383;36;395;1787;11;49;288;1;65;112;2;169;481;70;34;99;447;;0;61;286;6;25;1;11;39;108;60;34;2;16;;1;2356;30081;65;183;2290;29882;1.0;16;879;11540;299;3888;106;1577;923;11262;122;1510;17;215;10;89;207;862;72;91;135;771;;0;95;401;8;52;5;24;65;285;28;69;3;26;3.0;5;620;763;509;364;98;395;13.0;4;152;249;32;23;8;21;211;326;142;104;22;25;53.0;15;187;1161;49;47;138;1113;13.0;1;65;472;15;141;8;68;53;402;41;70;4;6;;2
31;1995 augustus;3236;31603;672;610;2561;30983;3.0;10;1152;12093;36;316;3954;10;156;1603;5;1201;11928;37;328;1578;10;35;311;1;48;136;1;109;456;32;36;77;420;;0;61;284;1;6;2;12;29;123;13;17;3;14;;0;2294;28709;108;146;2183;28554;3.0;9;848;10779;285;3734;137;1501;878;10938;117;1397;19;240;10;120;171;761;58;88;113;673;;0;78;352;6;47;4;23;64;264;13;49;7;24;;2;518;684;440;304;78;380;;0;110;239;10;30;7;16;183;287;168;75;6;26;35.0;11;144;993;33;36;111;956;;1;56;439;15;137;6;51;49;316;18;40;1;7;0.0;3
