ID;SITCEnergy;Countries;Periods;ImportValue_1;ExportValue_2
177;Total SITC;Europe (excluding the Netherlands);1993;74617.0;97688.0
178;Total SITC;Europe (excluding the Netherlands);1994;83071.0;110219.0
179;Total SITC;Europe (excluding the Netherlands);1995;93499.0;122752.0
180;Total SITC;Europe (excluding the Netherlands);1996;99252.0;131593.0
181;Total SITC;Europe (excluding the Netherlands);1997;108892.0;145458.0
182;Total SITC;Europe (excluding the Netherlands);1998;112668.0;154732.0
183;Total SITC;Europe (excluding the Netherlands);1999;117505.0;160926.0
184;Total SITC;Europe (excluding the Netherlands);2000;135570.0;195973.0
185;Total SITC;Europe (excluding the Netherlands);2001;136601.0;205072.0
186;Total SITC;Europe (excluding the Netherlands);2002;133772.0;195417.0
187;Total SITC;Europe (excluding the Netherlands);2003;135577.0;196874.0
188;Total SITC;Europe (excluding the Netherlands);2004;145882.0;214127.0
189;Total SITC;Europe (excluding the Netherlands);2005;156178.0;234274.0
190;Total SITC;Europe (excluding the Netherlands);2006;179226.0;263577.0
191;Total SITC;Europe (excluding the Netherlands);2007;194625.0;284511.0
192;Total SITC;Europe (excluding the Netherlands);2008;213402.0;305361.0
193;Total SITC;Europe (excluding the Netherlands);2009;172907.0;250890.0
194;Total SITC;Europe (excluding the Netherlands);2010;205241.0;298490.0
195;Total SITC;Europe (excluding the Netherlands);2011;228709.0;328329.0
196;Total SITC;Europe (excluding the Netherlands);2012;241943.0;338616.0
197;Total SITC;Europe (excluding the Netherlands);2013;244247.0;342811.0
198;Total SITC;Europe (excluding the Netherlands);2014;238602.0;341422.0
199;Total SITC;Europe (excluding the Netherlands);2015;233660.0;324754.0
200;Total SITC;Europe (excluding the Netherlands);2016;229916.0;328412.0
201;Total SITC;Europe (excluding the Netherlands);2017;258160.0;359424.0
202;Total SITC;Africa;1917;5.0;5.0
203;Total SITC;Africa;1918;1.0;3.0
204;Total SITC;Africa;1919;13.0;4.0
205;Total SITC;Africa;1920;40.0;25.0
206;Total SITC;Africa;1921;10.0;9.0
207;Total SITC;Africa;1922;11.0;10.0
208;Total SITC;Africa;1923;18.0;14.0
209;Total SITC;Africa;1924;22.0;18.0
210;Total SITC;Africa;1925;23.0;21.0
211;Total SITC;Africa;1926;25.0;21.0
212;Total SITC;Africa;1927;29.0;25.0
213;Total SITC;Africa;1928;34.0;29.0
214;Total SITC;Africa;1929;30.0;27.0
215;Total SITC;Africa;1930;28.0;22.0
216;Total SITC;Africa;1931;19.0;15.0
217;Total SITC;Africa;1932;11.0;12.0
218;Total SITC;Africa;1933;12.0;10.0
219;Total SITC;Africa;1934;10.0;10.0
220;Total SITC;Africa;1935;13.0;11.0
221;Total SITC;Africa;1936;16.0;13.0
222;Total SITC;Africa;1937;25.0;19.0
223;Total SITC;Africa;1938;21.0;19.0
224;Total SITC;Africa;1939;19.0;17.0
225;Total SITC;Africa;1940;8.0;5.0
226;Total SITC;Africa;1941;;
227;Total SITC;Africa;1942;;
228;Total SITC;Africa;1943;;
229;Total SITC;Africa;1944;;
230;Total SITC;Africa;1945;;
231;Total SITC;Africa;1946;25.0;15.0
232;Total SITC;Africa;1947;37.0;42.0
233;Total SITC;Africa;1948;62.0;60.0
234;Total SITC;Africa;1949;76.0;66.0
235;Total SITC;Africa;1950;162.0;102.0
236;Total SITC;Africa;1951;181.0;154.0
237;Total SITC;Africa;1952;141.0;213.0
238;Total SITC;Africa;1953;186.0;208.0
239;Total SITC;Africa;1954;239.0;242.0
240;Total SITC;Africa;1955;261.0;268.0
241;Total SITC;Africa;1956;265.0;291.0
242;Total SITC;Africa;1957;261.0;303.0
243;Total SITC;Africa;1958;307.0;324.0
244;Total SITC;Africa;1959;351.0;330.0
245;Total SITC;Africa;1960;341.0;367.0
246;Total SITC;Africa;1961;372.0;351.0
247;Total SITC;Africa;1962;403.0;365.0
248;Total SITC;Africa;1963;450.0;343.0
249;Total SITC;Africa;1964;532.0;378.0
250;Total SITC;Africa;1965;541.0;428.0
251;Total SITC;Africa;1966;561.0;466.0
252;Total SITC;Africa;1967;611.0;466.0
253;Total SITC;Africa;1968;744.0;482.0
254;Total SITC;Africa;1969;930.0;604.0
255;Total SITC;Africa;1970;1178.0;639.0
256;Total SITC;Africa;1971;1102.0;693.0
257;Total SITC;Africa;1972;1116.0;776.0
258;Total SITC;Africa;1973;1259.0;916.0
259;Total SITC;Africa;1974;2376.0;1406.0
260;Total SITC;Africa;1975;1746.0;1690.0
261;Total SITC;Africa;1976;2322.0;1811.0
262;Total SITC;Africa;1977;2780.0;1997.0
263;Total SITC;Africa;1978;2734.0;1874.0
264;Total SITC;Africa;1979;3548.0;2132.0
265;Total SITC;Africa;1980;4659.0;2714.0
266;Total SITC;Africa;1981;4044.0;3286.0
267;Total SITC;Africa;1982;4197.0;3202.0
268;Total SITC;Africa;1983;5019.0;3193.0
269;Total SITC;Africa;1984;5310.0;3089.0
270;Total SITC;Africa;1985;5256.0;3193.0
271;Total SITC;Africa;1986;2823.0;2711.0
272;Total SITC;Africa;1987;2687.0;2435.0
273;Total SITC;Africa;1988;2467.0;2578.0
274;Total SITC;Africa;1989;2641.0;2713.0
275;Total SITC;Africa;1990;2884.0;2503.0
276;Total SITC;Africa;1991;3032.0;2416.0
277;Total SITC;Africa;1992;2540.0;2195.0
278;Total SITC;Africa;1993;2317.0;2401.0
279;Total SITC;Africa;1994;2455.0;2163.0
280;Total SITC;Africa;1995;2545.0;2437.0
281;Total SITC;Africa;1996;2950.0;2590.0
282;Total SITC;Africa;1997;3042.0;2846.0
283;Total SITC;Africa;1998;3131.0;3282.0
284;Total SITC;Africa;1999;3434.0;3112.0
285;Total SITC;Africa;2000;4336.0;3605.0
286;Total SITC;Africa;2001;5530.0;3909.0
287;Total SITC;Africa;2002;4412.0;3995.0
288;Total SITC;Africa;2003;4477.0;4375.0
289;Total SITC;Africa;2004;4344.0;4646.0
290;Total SITC;Africa;2005;6514.0;5575.0
291;Total SITC;Africa;2006;7200.0;6550.0
292;Total SITC;Africa;2007;9087.0;8670.0
293;Total SITC;Africa;2008;10844.0;9654.0
294;Total SITC;Africa;2009;8386.0;9165.0
295;Total SITC;Africa;2010;11096.0;11338.0
296;Total SITC;Africa;2011;12619.0;12964.0
297;Total SITC;Africa;2012;16355.0;14656.0
298;Total SITC;Africa;2013;15332.0;14507.0
299;Total SITC;Africa;2014;14184.0;14249.0
300;Total SITC;Africa;2015;11611.0;14013.0
301;Total SITC;Africa;2016;8767.0;11821.0
302;Total SITC;Africa;2017;10029.0;12974.0
303;Total SITC;America;1917;123.0;22.0
304;Total SITC;America;1918;14.0;10.0
305;Total SITC;America;1919;381.0;33.0
306;Total SITC;America;1920;394.0;60.0
307;Total SITC;America;1921;275.0;34.0
308;Total SITC;America;1922;209.0;43.0
309;Total SITC;America;1923;216.0;52.0
310;Total SITC;America;1924;255.0;47.0
311;Total SITC;America;1925;244.0;60.0
312;Total SITC;America;1926;255.0;67.0
313;Total SITC;America;1927;299.0;64.0
314;Total SITC;America;1928;302.0;71.0
315;Total SITC;America;1929;275.0;81.0
316;Total SITC;America;1930;191.0;60.0
317;Total SITC;America;1931;156.0;37.0
318;Total SITC;America;1932;116.0;29.0
319;Total SITC;America;1933;93.0;33.0
320;Total SITC;America;1934;88.0;26.0
321;Total SITC;America;1935;88.0;34.0
322;Total SITC;America;1936;97.0;45.0
323;Total SITC;America;1937;151.0;63.0
324;Total SITC;America;1938;143.0;50.0
325;Total SITC;America;1939;142.0;52.0
326;Total SITC;America;1940;109.0;14.0
327;Total SITC;America;1941;2.0;
328;Total SITC;America;1942;;
329;Total SITC;America;1943;;
330;Total SITC;America;1944;;
331;Total SITC;America;1945;;
332;Total SITC;America;1946;406.0;46.0
333;Total SITC;America;1947;843.0;73.0
334;Total SITC;America;1948;724.0;101.0
335;Total SITC;America;1949;618.0;135.0
336;Total SITC;America;1950;675.0;260.0
337;Total SITC;America;1951;844.0;437.0
338;Total SITC;America;1952;805.0;487.0
339;Total SITC;America;1953;743.0;565.0
340;Total SITC;America;1954;1026.0;575.0
341;Total SITC;America;1955;1180.0;625.0
342;Total SITC;America;1956;1463.0;624.0
343;Total SITC;America;1957;1670.0;632.0
344;Total SITC;America;1958;1265.0;711.0
345;Total SITC;America;1959;1269.0;763.0
346;Total SITC;America;1960;1542.0;739.0
347;Total SITC;America;1961;1454.0;720.0
348;Total SITC;America;1962;1525.0;724.0
349;Total SITC;America;1963;1640.0;691.0
350;Total SITC;America;1964;1864.0;767.0
351;Total SITC;America;1965;1874.0;808.0
352;Total SITC;America;1966;2103.0;984.0
353;Total SITC;America;1967;2175.0;1036.0
354;Total SITC;America;1968;2352.0;1252.0
355;Total SITC;America;1969;2523.0;1332.0
356;Total SITC;America;1970;3205.0;1557.0
357;Total SITC;America;1971;3381.0;1625.0
358;Total SITC;America;1972;2996.0;1680.0
359;Total SITC;America;1973;3879.0;1971.0
360;Total SITC;America;1974;5001.0;2813.0
361;Total SITC;America;1975;5561.0;2227.0
362;Total SITC;America;1976;6081.0;2508.0
363;Total SITC;America;1977;6298.0;2832.0
364;Total SITC;America;1978;6324.0;2753.0
365;Total SITC;America;1979;7629.0;2899.0
366;Total SITC;America;1980;9045.0;3036.0
367;Total SITC;America;1981;10316.0;4112.0
368;Total SITC;America;1982;10258.0;4188.0
369;Total SITC;America;1983;10380.0;4936.0
370;Total SITC;America;1984;12531.0;6529.0
371;Total SITC;America;1985;12734.0;7190.0
372;Total SITC;America;1986;9338.0;5989.0
373;Total SITC;America;1987;8567.0;5361.0
374;Total SITC;America;1988;10032.0;5571.0
375;Total SITC;America;1989;12002.0;6616.0
376;Total SITC;America;1990;11718.0;5976.0
377;Total SITC;America;1991;12053.0;6131.0
378;Total SITC;America;1992;11307.0;6490.0
379;Total SITC;America;1993;11802.0;7211.0
380;Total SITC;America;1994;13363.0;7529.0
381;Total SITC;America;1995;14563.0;7270.0
382;Total SITC;America;1996;15660.0;7861.0
383;Total SITC;America;1997;19068.0;9606.0
384;Total SITC;America;1998;20881.0;10453.0
385;Total SITC;America;1999;22469.0;11245.0
386;Total SITC;America;2000;28641.0;14773.0
387;Total SITC;America;2001;28839.0;14683.0
388;Total SITC;America;2002;25468.0;15452.0
389;Total SITC;America;2003;23287.0;15276.0
390;Total SITC;America;2004;26442.0;16120.0
391;Total SITC;America;2005;29909.0;18539.0
392;Total SITC;America;2006;35051.0;22350.0
393;Total SITC;America;2007;37007.0;24513.0
394;Total SITC;America;2008;42974.0;24551.0
395;Total SITC;America;2009;35208.0;20585.0
396;Total SITC;America;2010;39843.0;25888.0
397;Total SITC;America;2011;41618.0;29930.0
398;Total SITC;America;2012;45409.0;32797.0
399;Total SITC;America;2013;44592.0;29218.0
400;Total SITC;America;2014;43364.0;31404.0
401;Total SITC;America;2015;43505.0;30796.0
402;Total SITC;America;2016;44326.0;31337.0
403;Total SITC;America;2017;44974.0;33885.0
404;Total SITC;Asia;1917;;
405;Total SITC;Asia;1918;;
406;Total SITC;Asia;1919;;
407;Total SITC;Asia;1920;150.0;134.0
408;Total SITC;Asia;1921;96.0;103.0
409;Total SITC;Asia;1922;77.0;74.0
410;Total SITC;Asia;1923;92.0;66.0
411;Total SITC;Asia;1924;105.0;67.0
412;Total SITC;Asia;1925;100.0;84.0
413;Total SITC;Asia;1926;118.0;93.0
414;Total SITC;Asia;1927;106.0;98.0
415;Total SITC;Asia;1928;113.0;118.0
416;Total SITC;Asia;1929;123.0;133.0
417;Total SITC;Asia;1930;97.0;105.0
418;Total SITC;Asia;1931;72.0;72.0
419;Total SITC;Asia;1932;54.0;35.0
420;Total SITC;Asia;1933;50.0;27.0
421;Total SITC;Asia;1934;52.0;25.0
422;Total SITC;Asia;1935;49.0;26.0
423;Total SITC;Asia;1936;63.0;32.0
424;Total SITC;Asia;1937;99.0;66.0
425;Total SITC;Asia;1938;82.0;67.0
426;Total SITC;Asia;1939;74.0;66.0
427;Total SITC;Asia;1940;33.0;24.0
428;Total SITC;Asia;1941;3.0;1.0
429;Total SITC;Asia;1942;;
430;Total SITC;Asia;1943;;
431;Total SITC;Asia;1944;;
432;Total SITC;Asia;1945;;
433;Total SITC;Asia;1946;25.0;29.0
434;Total SITC;Asia;1947;140.0;117.0
435;Total SITC;Asia;1948;229.0;160.0
436;Total SITC;Asia;1949;295.0;275.0
437;Total SITC;Asia;1950;538.0;258.0
438;Total SITC;Asia;1951;783.0;379.0
439;Total SITC;Asia;1952;630.0;443.0
440;Total SITC;Asia;1953;646.0;415.0
441;Total SITC;Asia;1954;728.0;399.0
442;Total SITC;Asia;1955;677.0;423.0
443;Total SITC;Asia;1956;721.0;478.0
444;Total SITC;Asia;1957;849.0;474.0
445;Total SITC;Asia;1958;882.0;410.0
446;Total SITC;Asia;1959;796.0;474.0
447;Total SITC;Asia;1960;872.0;520.0
448;Total SITC;Asia;1961;846.0;513.0
449;Total SITC;Asia;1962;794.0;464.0
450;Total SITC;Asia;1963;846.0;489.0
451;Total SITC;Asia;1964;1055.0;569.0
452;Total SITC;Asia;1965;1092.0;610.0
453;Total SITC;Asia;1966;1144.0;648.0
454;Total SITC;Asia;1967;1239.0;707.0
455;Total SITC;Asia;1968;1333.0;720.0
456;Total SITC;Asia;1969;1496.0;765.0
457;Total SITC;Asia;1970;1966.0;861.0
458;Total SITC;Asia;1971;2854.0;952.0
459;Total SITC;Asia;1972;3235.0;882.0
460;Total SITC;Asia;1973;4030.0;1264.0
461;Total SITC;Asia;1974;6139.0;1754.0
462;Total SITC;Asia;1975;6385.0;2214.0
463;Total SITC;Asia;1976;8578.0;2569.0
464;Total SITC;Asia;1977;8973.0;2783.0
465;Total SITC;Asia;1978;7893.0;3320.0
466;Total SITC;Asia;1979;9052.0;3400.0
467;Total SITC;Asia;1980;10797.0;4204.0
468;Total SITC;Asia;1981;12397.0;5179.0
469;Total SITC;Asia;1982;10114.0;5126.0
470;Total SITC;Asia;1983;9447.0;5544.0
471;Total SITC;Asia;1984;11526.0;6539.0
472;Total SITC;Asia;1985;11175.0;6102.0
473;Total SITC;Asia;1986;9537.0;5126.0
474;Total SITC;Asia;1987;10141.0;4986.0
475;Total SITC;Asia;1988;10620.0;5778.0
476;Total SITC;Asia;1989;12425.0;5801.0
477;Total SITC;Asia;1990;12775.0;5973.0
478;Total SITC;Asia;1991;13991.0;6464.0
479;Total SITC;Asia;1992;14123.0;6939.0
480;Total SITC;Asia;1993;16003.0;8439.0
481;Total SITC;Asia;1994;17050.0;8949.0
482;Total SITC;Asia;1995;18439.0;9577.0
483;Total SITC;Asia;1996;21711.0;10176.0
484;Total SITC;Asia;1997;26052.0;11773.0
485;Total SITC;Asia;1998;31226.0;10595.0
486;Total SITC;Asia;1999;34711.0;11882.0
487;Total SITC;Asia;2000;46549.0;15596.0
488;Total SITC;Asia;2001;46257.0;15528.0
489;Total SITC;Asia;2002;41104.0;15726.0
490;Total SITC;Asia;2003;42749.0;15291.0
491;Total SITC;Asia;2004;50818.0;18211.0
492;Total SITC;Asia;2005;56417.0;19933.0
493;Total SITC;Asia;2006;62951.0;22966.0
494;Total SITC;Asia;2007;65512.0;25850.0
495;Total SITC;Asia;2008;67493.0;25853.0
496;Total SITC;Asia;2009;56402.0;25056.0
497;Total SITC;Asia;2010;74531.0;31287.0
498;Total SITC;Asia;2011;80301.0;33844.0
499;Total SITC;Asia;2012;83874.0;38396.0
500;Total SITC;Asia;2013;80334.0;38118.0
501;Total SITC;Asia;2014;83835.0;38970.0
502;Total SITC;Asia;2015;80291.0;41969.0
503;Total SITC;Asia;2016;82313.0;44877.0
504;Total SITC;Asia;2017;93733.0;52707.0
505;Total SITC;Oceania;1917;;
506;Total SITC;Oceania;1918;;
507;Total SITC;Oceania;1919;;
508;Total SITC;Oceania;1920;2.0;3.0
509;Total SITC;Oceania;1921;1.0;2.0
510;Total SITC;Oceania;1922;3.0;3.0
511;Total SITC;Oceania;1923;3.0;3.0
512;Total SITC;Oceania;1924;5.0;3.0
513;Total SITC;Oceania;1925;4.0;4.0
514;Total SITC;Oceania;1926;4.0;5.0
515;Total SITC;Oceania;1927;6.0;5.0
516;Total SITC;Oceania;1928;5.0;5.0
517;Total SITC;Oceania;1929;3.0;6.0
518;Total SITC;Oceania;1930;4.0;5.0
519;Total SITC;Oceania;1931;3.0;2.0
520;Total SITC;Oceania;1932;2.0;2.0
521;Total SITC;Oceania;1933;1.0;1.0
522;Total SITC;Oceania;1934;1.0;1.0
523;Total SITC;Oceania;1935;1.0;2.0
524;Total SITC;Oceania;1936;1.0;2.0
525;Total SITC;Oceania;1937;2.0;3.0
526;Total SITC;Oceania;1938;2.0;3.0
527;Total SITC;Oceania;1939;2.0;3.0
528;Total SITC;Oceania;1940;;
529;Total SITC;Oceania;1941;;
530;Total SITC;Oceania;1942;;
531;Total SITC;Oceania;1943;;
532;Total SITC;Oceania;1944;;
533;Total SITC;Oceania;1945;;
534;Total SITC;Oceania;1946;7.0;1.0
535;Total SITC;Oceania;1947;13.0;8.0
536;Total SITC;Oceania;1948;20.0;15.0
537;Total SITC;Oceania;1949;18.0;12.0
538;Total SITC;Oceania;1950;54.0;39.0
539;Total SITC;Oceania;1951;48.0;87.0
540;Total SITC;Oceania;1952;54.0;78.0
541;Total SITC;Oceania;1953;41.0;76.0
542;Total SITC;Oceania;1954;42.0;105.0
543;Total SITC;Oceania;1955;38.0;124.0
544;Total SITC;Oceania;1956;42.0;124.0
545;Total SITC;Oceania;1957;42.0;134.0
