ID;Geslacht;Leeftijd;Persoonskenmerken;Perioden;TotaalBevolking15Tot65Jaar_1;TotaalWerkzamePersonen_2;WerkzamePersonen12UurPerWeek_3;WerkzamePersonen12uurPerWeek_4;Beroepsbevolking_5;WerkzameBeroepsbevolking_6;WerklozeBeroepsbevolking_7;NietBeroepsbevolking_8;BrutoArbeidsparticipatie_9;NettoArbeidsparticipatie_10;Werkloosheidspercentage_11;TotaalWerknemers_12;WerknemersVasteArbeidsrelatie_13;WerknemersFlexibeleArbeidsrelatie_14;Zelfstandigen_15;Parttime_16;Fulltime_17;TotaalGeregistreerdeWerklozen_18;KorterDanEenJaarIngeschreven_19;LangerDanEenJaarIngeschreven_20;GeregistreerdWerkloosheidspercentage_21;ElementaireBeroepen_22;LagereBeroepen_23;MiddelbareBeroepen_24;HogereBeroepen_25;WetenschappelijkeBeroepen_26;BeroepsniveauOnbekend_27
30;Mannen en vrouwen;Totaal leeftijd;3;2004;4366.0;3302.0;342.0;2960.0;3156.0;2960.0;196.0;1210.0;72.3;67.8;6.2;2615.0;2406.0;210.0;345.0;1089.0;1871.0;123.0;82.0;42.0;3.9;163.0;635.0;1785.0;336.0;33.0;8.0
31;Mannen en vrouwen;Totaal leeftijd;3;2005;4490.0;3411.0;353.0;3057.0;3264.0;3057.0;206.0;1227.0;72.7;68.1;6.3;2700.0;2470.0;229.0;358.0;1158.0;1900.0;124.0;77.0;46.0;3.8;190.0;644.0;1865.0;290.0;45.0;23.0
32;Mannen en vrouwen;Totaal leeftijd;3;2006;4515.0;3478.0;341.0;3137.0;3314.0;3137.0;177.0;1201.0;73.4;69.5;5.3;2748.0;2492.0;256.0;389.0;1200.0;1937.0;107.0;63.0;44.0;3.2;178.0;685.0;1904.0;298.0;44.0;28.0
33;Mannen en vrouwen;Totaal leeftijd;4;1996;2061.0;1671.0;103.0;1568.0;1660.0;1568.0;92.0;401.0;80.6;76.1;5.6;1389.0;1275.0;114.0;179.0;434.0;1135.0;72.0;38.0;33.0;4.3;17.0;59.0;242.0;815.0;421.0;14.0
34;Mannen en vrouwen;Totaal leeftijd;4;1997;2115.0;1743.0;103.0;1640.0;1720.0;1640.0;80.0;395.0;81.3;77.5;4.7;1451.0;1338.0;113.0;189.0;455.0;1185.0;61.0;31.0;29.0;3.5;17.0;62.0;266.0;826.0;448.0;21.0
35;Mannen en vrouwen;Totaal leeftijd;4;1998;2264.0;1901.0;106.0;1795.0;1856.0;1795.0;61.0;409.0;81.9;79.3;3.3;1590.0;1474.0;115.0;205.0;507.0;1288.0;45.0;21.0;24.0;2.4;14.0;65.0;283.0;924.0;484.0;24.0
36;Mannen en vrouwen;Totaal leeftijd;4;1999;2322.0;1960.0;104.0;1856.0;1912.0;1856.0;56.0;409.0;82.4;80.0;2.9;1654.0;1537.0;117.0;202.0;540.0;1316.0;37.0;20.0;17.0;1.9;15.0;77.0;298.0;945.0;491.0;31.0
37;Mannen en vrouwen;Totaal leeftijd;4;2000;2276.0;1957.0;67.0;1890.0;1944.0;1890.0;53.0;333.0;85.4;83.0;2.7;1652.0;1550.0;101.0;238.0;585.0;1306.0;31.0;17.0;13.0;1.6;12.0;63.0;319.0;961.0;506.0;29.0
38;Mannen en vrouwen;Totaal leeftijd;4;2001;2262.0;1938.0;64.0;1874.0;1920.0;1874.0;46.0;343.0;84.8;82.8;2.4;1646.0;1562.0;85.0;227.0;564.0;1310.0;16.0;10.0;6.0;0.8;12.0;61.0;298.0;963.0;510.0;29.0
39;Mannen en vrouwen;Totaal leeftijd;4;2002;2386.0;2058.0;72.0;1985.0;2048.0;1985.0;62.0;338.0;85.8;83.2;3.0;1757.0;1671.0;85.0;229.0;650.0;1335.0;22.0;16.0;6.0;1.1;20.0;57.0;313.0;1047.0;523.0;25.0
40;Mannen en vrouwen;Totaal leeftijd;4;2003;2536.0;2163.0;90.0;2073.0;2156.0;2073.0;83.0;380.0;85.0;81.8;3.8;1824.0;1734.0;90.0;249.0;701.0;1372.0;50.0;38.0;13.0;2.3;18.0;64.0;325.0;1096.0;532.0;39.0
41;Mannen en vrouwen;Totaal leeftijd;4;2004;2771.0;2323.0;104.0;2219.0;2323.0;2219.0;104.0;448.0;83.8;80.1;4.5;1937.0;1841.0;96.0;282.0;763.0;1456.0;58.0;38.0;20.0;2.5;23.0;96.0;389.0;1212.0;496.0;2.0
42;Mannen en vrouwen;Totaal leeftijd;4;2005;2741.0;2313.0;104.0;2209.0;2306.0;2209.0;97.0;435.0;84.1;80.6;4.2;1934.0;1826.0;108.0;275.0;780.0;1429.0;57.0;36.0;21.0;2.5;17.0;89.0;387.0;1119.0;570.0;25.0
43;Mannen en vrouwen;Totaal leeftijd;4;2006;2758.0;2347.0;95.0;2252.0;2331.0;2252.0;79.0;426.0;84.5;81.7;3.4;1952.0;1843.0;109.0;300.0;800.0;1452.0;50.0;31.0;18.0;2.1;22.0;83.0;394.0;1159.0;559.0;35.0
44;Mannen en vrouwen;Totaal leeftijd;5;1996;30.0;21.0;;20.0;22.0;20.0;2.0;8.0;72.6;66.7;8.1;18.0;16.0;2.0;2.0;4.0;16.0;2.0;;;9.2;3.0;8.0;6.0;2.0;;
45;Mannen en vrouwen;Totaal leeftijd;5;1997;35.0;24.0;;23.0;24.0;23.0;2.0;10.0;70.2;65.5;6.7;20.0;18.0;2.0;3.0;5.0;18.0;;;;;3.0;11.0;6.0;;;2.0
46;Mannen en vrouwen;Totaal leeftijd;5;1998;38.0;25.0;2.0;24.0;25.0;24.0;;13.0;65.7;62.6;;20.0;18.0;2.0;3.0;5.0;19.0;;;;;4.0;8.0;8.0;2.0;;2.0
47;Mannen en vrouwen;Totaal leeftijd;5;1999;38.0;28.0;;27.0;28.0;27.0;;10.0;74.1;71.1;;25.0;22.0;3.0;2.0;7.0;21.0;;;;;5.0;11.0;8.0;2.0;;
