ID;Kenmerken;Perioden;TotaalBevolking15Tot65Jaar_1;WerkzameBeroepsbevolking_2;WilWerkVan12UurOfMeerPerWeek_3;KanOpKorteTermijnBeginnen_4;Afgelopen4WekenGezocht_5;Afgelopen4WekenNietGezocht_6;WelAfgelopen6MaandenGezocht_7;NietAfgelopen6MaandenGezocht_8;VanwegeWeinigResultaat_9;OverigeRedenen_10;KanNietOpKorteTermijnBeginnen_11;WilGeenWerkVan12UurOfMeer_12;ZorgVoorGezinOfHuishouden_13;OpleidingStudie_14;Vut_15;ZiekteArbeidsongeschiktheid_16;AndereRedenen_17
12;Mannen;2005;5519;3981;457;372;238;134;43;91;35;56;85;1081;9;476.0;220.0;279;97
13;Mannen;2006;5524;4040;414;334;191;143;47;96;35;61;80;1070;9;478.0;217.0;270;96
14;Vrouwen;2000;5295;2755;439;310;157;153;37;116;37;79;129;2100;863;452.0;74.0;329;382
15;Vrouwen;2001;5332;2836;413;283;143;139;37;102;33;70;130;2082;879;438.0;88.0;356;322
16;Vrouwen;2002;5366;2878;413;281;155;126;32;94;28;66;132;2076;777;457.0;160.0;376;305
17;Vrouwen;2003;5391;2905;483;354;194;160;44;116;37;79;128;2004;686;461.0;176.0;379;301
18;Vrouwen;2004;5409;2899;555;427;233;194;55;139;51;88;128;1955;635;478.0;185.0;372;285
19;Vrouwen;2005;5424;2937;590;442;245;198;64;133;50;84;148;1897;577;479.0;173.0;381;288
20;Vrouwen;2006;5441;3034;556;419;222;198;58;140;48;91;137;1850;481;492.0;167.0;382;328
21;15 tot 25 jarigen;2000;1873;825;136;104;59;44;11;33;5;28;32;913;25;837.0;;14;37
22;15 tot 25 jarigen;2001;1888;852;143;108;68;40;13;26;3;23;35;893;30;812.0;;14;37
23;15 tot 25 jarigen;2002;1907;836;155;121;79;42;14;29;5;24;34;916;20;841.0;;16;38
24;15 tot 25 jarigen;2003;1921;805;190;155;96;60;20;40;8;32;35;925;18;849.0;;15;43
25;15 tot 25 jarigen;2004;1929;759;229;189;119;70;26;44;9;35;40;942;15;869.0;;15;42
26;15 tot 25 jarigen;2005;1938;742;229;188;112;76;27;49;10;39;41;966;12;888.0;;17;49
27;15 tot 25 jarigen;2006;1950;758;202;164;91;73;26;47;7;40;39;989;11;908.0;;20;50
28;25 tot 35 jarigen;2000;2449;2000;160;108;69;39;13;26;5;21;52;290;187;40.0;;37;25
29;25 tot 35 jarigen;2001;2398;1946;144;91;57;35;10;25;6;18;53;308;187;49.0;;46;26
30;25 tot 35 jarigen;2002;2342;1880;166;115;74;40;12;29;4;25;51;296;176;45.0;;55;21
31;25 tot 35 jarigen;2003;2281;1830;191;144;102;42;12;30;7;23;47;260;143;45.0;;47;24
32;25 tot 35 jarigen;2004;2210;1761;211;161;112;49;16;34;12;22;50;239;125;50.0;;40;23
33;25 tot 35 jarigen;2005;2138;1713;205;148;106;42;17;25;9;16;57;220;104;49.0;;47;20
34;25 tot 35 jarigen;2006;2078;1695;179;131;83;49;16;32;9;23;47;204;94;45.0;;45;21
35;35 tot 45 jarigen;2000;2530;1952;187;134;70;64;21;43;13;30;53;390;253;13.0;;85;39
36;35 tot 45 jarigen;2001;2559;2001;179;123;65;58;15;43;12;32;56;379;245;12.0;;86;37
37;35 tot 45 jarigen;2002;2577;2007;183;124;74;49;15;35;11;23;59;387;233;14.0;;97;42
38;35 tot 45 jarigen;2003;2589;1999;227;168;104;64;20;44;15;29;59;363;213;14.0;;96;40
39;35 tot 45 jarigen;2004;2599;1990;264;201;123;78;26;52;17;36;63;345;196;11.0;;104;34
40;35 tot 45 jarigen;2005;2606;2000;277;205;126;79;30;49;17;32;72;329;186;11.0;;103;29
41;35 tot 45 jarigen;2006;2601;2039;253;187;105;82;27;56;18;37;66;309;160;10.0;;103;36
42;45 tot 55 jarigen;2000;2287;1605;161;115;55;60;12;48;22;26;46;520;196;5.0;;181;138
43;45 tot 55 jarigen;2001;2298;1647;143;103;49;54;14;39;17;22;40;509;198;6.0;;193;111
44;45 tot 55 jarigen;2002;2282;1655;140;101;56;45;12;33;13;19;39;487;172;3.0;;195;117
45;45 tot 55 jarigen;2003;2279;1670;168;127;71;56;13;44;19;24;41;441;148;5.0;5.0;184;100
46;45 tot 55 jarigen;2004;2290;1665;194;155;88;67;19;48;22;26;39;431;137;5.0;9.0;194;87
47;45 tot 55 jarigen;2005;2311;1689;207;167;91;77;22;55;24;31;40;414;127;6.0;6.0;187;90
48;45 tot 55 jarigen;2006;2339;1749;198;158;86;72;22;50;24;26;41;392;107;5.0;5.0;181;94
49;55 tot 65 jarigen;2000;1590;534;74;61;16;45;6;38;21;17;13;981;214;3.0;272.0;253;239
50;55 tot 65 jarigen;2001;1658;575;67;51;13;37;6;32;17;15;17;1016;234;;299.0;273;209
51;55 tot 65 jarigen;2002;1754;657;69;55;19;36;6;30;17;13;14;1029;189;;366.0;284;189
52;55 tot 65 jarigen;2003;1834;698;88;71;27;44;8;36;21;15;17;1048;176;2.0;383.0;304;184
53;55 tot 65 jarigen;2004;1897;744;106;89;38;51;9;42;24;17;17;1047;174;;391.0;290;190
54;55 tot 65 jarigen;2005;1949;773;128;105;48;58;11;46;26;21;22;1048;157;;387.0;306;197
55;55 tot 65 jarigen;2006;1997;834;138;114;49;65;14;51;24;27;25;1025;119;;379.0;304;223
56;Onderwijsniveau: laag;2000;4073;1921;338;248;115;132;34;99;41;57;90;1815;527;554.0;105.0;366;263
57;Onderwijsniveau: laag;2001;4082;1970;322;225;114;111;29;81;32;50;97;1791;518;538.0;119.0;388;228
58;Onderwijsniveau: laag;2002;4018;1892;325;230;126;104;31;73;28;45;95;1800;444;567.0;164.0;406;219
59;Onderwijsniveau: laag;2003;3891;1802;381;294;161;133;37;96;37;59;86;1709;381;572.0;166.0;390;200
60;Onderwijsniveau: laag;2004;3706;1697;397;314;173;141;44;97;41;56;83;1612;340;570.0;171.0;347;183
61;Onderwijsniveau: laag;2005;3647;1618;414;326;176;149;45;104;44;60;88;1616;297;591.0;159.0;376;194
62;Onderwijsniveau: laag;2006;3619;1646;385;296;151;145;46;99;38;61;88;1589;245;602.0;158.0;366;218
63;Onderwijsniveau: middelbaar;2000;4334;3074;262;188;100;87;22;66;19;47;74;998;277;310.0;110.0;150;151
64;Onderwijsniveau: middelbaar;2001;4408;3141;245;173;91;82;22;60;16;44;72;1022;302;311.0;114.0;164;132
65;Onderwijsniveau: middelbaar;2002;4424;3132;266;193;113;80;21;59;15;44;72;1026;278;301.0;136.0;179;131
66;Onderwijsniveau: middelbaar;2003;4438;3100;324;248;154;95;25;70;23;47;76;1014;250;300.0;142.0;188;134
67;Onderwijsniveau: middelbaar;2004;4366;2960;400;314;196;119;36;82;26;57;86;1006;233;305.0;139.0;202;126
68;Onderwijsniveau: middelbaar;2005;4490;3057;439;340;206;134;45;89;32;57;99;993;222;298.0;144.0;202;127
69;Onderwijsniveau: middelbaar;2006;4515;3137;403;314;177;137;42;96;29;67;89;974;187;310.0;135.0;204;138
70;Onderwijsniveau: hoog;2000;2276;1890;115;85;53;31;8;23;6;18;31;271;69;33.0;56.0;52;60
71;Onderwijsniveau: hoog;2001;2262;1874;105;76;46;30;7;23;8;16;30;283;72;30.0;65.0;58;58
72;Onderwijsniveau: hoog;2002;2386;1985;120;91;62;29;6;23;8;15;29;281;65;37.0;66.0;60;53
73;Onderwijsniveau: hoog;2003;2536;2073;155;121;83;38;11;27;11;16;34;307;64;43.0;79.0;66;56
74;Onderwijsniveau: hoog;2004;2771;2219;194;156;104;51;14;37;15;23;39;358;67;62.0;87.0;80;62
75;Onderwijsniveau: hoog;2005;2741;2209;184;143;97;46;16;30;8;22;41;348;61;66.0;88.0;74;60
76;Onderwijsniveau: hoog;2006;2758;2252;171;133;79;54;16;38;15;23;38;334;54;58.0;89.0;71;62
