ID;Vakantiekenmerken;Perioden;TotaalAantalKorteVakantiesNederland_1;GemiddeldeVakantieduurNederland_2;TotaalUitgavenVakantiesNederland_3;GemUitgavenPerVakantieganger_4;GemUitgavenMetEigenVervoer_5;GemUitgavenMetOverigVervoer_6
35;Noordzeebadplaatsen (TR);2007;1039.0;3.2;110.0;106.0;;
36;Noordzeebadplaatsen (TR);2008;977.0;3.2;115.0;118.0;;
37;Noordzeebadplaatsen (TR);2009;1098.0;3.1;111.0;101.0;;
38;Noordzeebadplaatsen (TR);2010;1026.0;3.2;116.0;113.0;;
39;Noordzeebadplaatsen (TR);2011;1067.0;3.2;114.0;107.0;;
40;Noordzeebadplaatsen (TR);2012;1243.0;3.1;137.0;110.0;;
41;Noordzeebadplaatsen (TR);2013;1159.0;3.1;134.0;115.0;;
42;Noordzeebadplaatsen (TR);2014;1220.0;3.0;124.0;102.0;;
43;Noordzeebadplaatsen (TR);2015;1105.0;3.1;134.0;122.0;;
44;Noordzeebadplaatsen (TR);2016;1056.0;3.1;127.0;120.0;;
45;IJsselmeerkust (TR);2002;395.0;3.0;;;;
46;IJsselmeerkust (TR);2003;452.0;3.2;42.0;93.0;;
47;IJsselmeerkust (TR);2004;481.0;3.1;31.0;65.0;;
48;IJsselmeerkust (TR);2005;402.0;3.2;39.0;98.0;;
49;IJsselmeerkust (TR);2006;367.0;3.2;31.0;84.0;;
50;IJsselmeerkust (TR);2007;373.0;3.2;34.0;90.0;;
51;IJsselmeerkust (TR);2008;540.0;3.2;46.0;86.0;;
52;IJsselmeerkust (TR);2009;471.0;3.3;43.0;91.0;;
53;IJsselmeerkust (TR);2010;505.0;3.2;52.0;104.0;;
54;IJsselmeerkust (TR);2011;596.0;3.2;58.0;97.0;;
55;IJsselmeerkust (TR);2012;564.0;3.0;51.0;91.0;;
56;IJsselmeerkust (TR);2013;718.0;3.2;62.0;87.0;;
57;IJsselmeerkust (TR);2014;762.0;3.2;75.0;99.0;;
58;IJsselmeerkust (TR);2015;484.0;3.1;55.0;114.0;;
59;IJsselmeerkust (TR);2016;561.0;3.1;59.0;106.0;;
60;Deltagebied (TR);2002;540.0;3.1;;;;
61;Deltagebied (TR);2003;471.0;3.1;27.0;58.0;;
62;Deltagebied (TR);2004;458.0;3.2;34.0;75.0;;
63;Deltagebied (TR);2005;405.0;3.1;30.0;74.0;;
64;Deltagebied (TR);2006;406.0;3.1;29.0;71.0;;
65;Deltagebied (TR);2007;399.0;3.2;36.0;89.0;;
66;Deltagebied (TR);2008;457.0;3.2;29.0;64.0;;
67;Deltagebied (TR);2009;313.0;3.2;24.0;77.0;;
68;Deltagebied (TR);2010;384.0;3.1;27.0;70.0;;
69;Deltagebied (TR);2011;308.0;;;;;
70;Deltagebied (TR);2012;406.0;3.1;37.0;90.0;;
71;Deltagebied (TR);2013;372.0;3.0;34.0;91.0;;
72;Deltagebied (TR);2014;;;;;;
73;Deltagebied (TR);2015;;;;;;
74;Deltagebied (TR);2016;418.0;2.9;34.0;81.0;;
75;Meren in Gron., Friesl., N.W.-Overijssel;2002;295.0;3.0;;;;
76;Meren in Gron., Friesl., N.W.-Overijssel;2003;227.0;3.1;16.0;73.0;;
77;Meren in Gron., Friesl., N.W.-Overijssel;2004;308.0;;;;;
78;Meren in Gron., Friesl., N.W.-Overijssel;2005;279.0;;;;;
79;Meren in Gron., Friesl., N.W.-Overijssel;2006;222.0;;;;;
80;Meren in Gron., Friesl., N.W.-Overijssel;2007;300.0;;;;;
81;Meren in Gron., Friesl., N.W.-Overijssel;2008;235.0;;;;;
82;Meren in Gron., Friesl., N.W.-Overijssel;2009;190.0;;;;;
83;Meren in Gron., Friesl., N.W.-Overijssel;2010;254.0;;;;;
84;Meren in Gron., Friesl., N.W.-Overijssel;2011;293.0;;;;;
85;Meren in Gron., Friesl., N.W.-Overijssel;2012;273.0;;;;;
86;Meren in Gron., Friesl., N.W.-Overijssel;2013;206.0;;;;;
87;Meren in Gron., Friesl., N.W.-Overijssel;2014;;;;;;
88;Meren in Gron., Friesl., N.W.-Overijssel;2015;;;;;;
89;Meren in Gron., Friesl., N.W.-Overijssel;2016;;;;;;
90;Hollands-Utrechtse meren (TR);2002;175.0;;;;;
91;Hollands-Utrechtse meren (TR);2003;156.0;;;;;
92;Hollands-Utrechtse meren (TR);2004;145.0;;;;;
93;Hollands-Utrechtse meren (TR);2005;52.0;;;;;
94;Hollands-Utrechtse meren (TR);2006;98.0;;;;;
95;Hollands-Utrechtse meren (TR);2007;49.0;;;;;
96;Hollands-Utrechtse meren (TR);2008;38.0;;;;;
97;Hollands-Utrechtse meren (TR);2009;73.0;;;;;
98;Hollands-Utrechtse meren (TR);2010;77.0;;;;;
99;Hollands-Utrechtse meren (TR);2011;71.0;;;;;
100;Hollands-Utrechtse meren (TR);2012;53.0;;;;;
101;Hollands-Utrechtse meren (TR);2013;58.0;;;;;
102;Hollands-Utrechtse meren (TR);2014;;;;;;
103;Hollands-Utrechtse meren (TR);2015;;;;;;
104;Hollands-Utrechtse meren (TR);2016;;;;;;
105;Utrechtse Heuvelrug en 't Gooi (TR);2002;284.0;3.0;;;;
106;Utrechtse Heuvelrug en 't Gooi (TR);2003;231.0;;;;;
107;Utrechtse Heuvelrug en 't Gooi (TR);2004;185.0;;;;;
108;Utrechtse Heuvelrug en 't Gooi (TR);2005;285.0;2.9;24.0;83.0;;
109;Utrechtse Heuvelrug en 't Gooi (TR);2006;266.0;3.1;23.0;85.0;;
110;Utrechtse Heuvelrug en 't Gooi (TR);2007;220.0;;;;;
111;Utrechtse Heuvelrug en 't Gooi (TR);2008;197.0;;;;;
112;Utrechtse Heuvelrug en 't Gooi (TR);2009;208.0;;;;;
113;Utrechtse Heuvelrug en 't Gooi (TR);2010;236.0;;;;;
114;Utrechtse Heuvelrug en 't Gooi (TR);2011;211.0;;;;;
115;Utrechtse Heuvelrug en 't Gooi (TR);2012;221.0;;;;;
116;Utrechtse Heuvelrug en 't Gooi (TR);2013;271.0;;;;;
117;Utrechtse Heuvelrug en 't Gooi (TR);2014;;;;;;
118;Utrechtse Heuvelrug en 't Gooi (TR);2015;;;;;;
119;Utrechtse Heuvelrug en 't Gooi (TR);2016;;;;;;
120;Veluwe en Veluwerand (TR);2002;1016.0;3.2;;;;
121;Veluwe en Veluwerand (TR);2003;1002.0;3.3;81.0;81.0;;
122;Veluwe en Veluwerand (TR);2004;1062.0;3.2;80.0;75.0;;
123;Veluwe en Veluwerand (TR);2005;1055.0;3.2;82.0;77.0;;
124;Veluwe en Veluwerand (TR);2006;1175.0;3.2;94.0;80.0;;
125;Veluwe en Veluwerand (TR);2007;1154.0;3.2;118.0;102.0;;
126;Veluwe en Veluwerand (TR);2008;930.0;3.2;84.0;90.0;;
127;Veluwe en Veluwerand (TR);2009;1002.0;3.2;99.0;99.0;;
128;Veluwe en Veluwerand (TR);2010;1029.0;3.1;94.0;91.0;;
129;Veluwe en Veluwerand (TR);2011;1090.0;3.3;85.0;78.0;;
130;Veluwe en Veluwerand (TR);2012;1210.0;3.1;110.0;91.0;;
131;Veluwe en Veluwerand (TR);2013;989.0;3.1;96.0;98.0;;
132;Veluwe en Veluwerand (TR);2014;1055.0;3.1;104.0;98.0;;
133;Veluwe en Veluwerand (TR);2015;949.0;3.1;98.0;103.0;;
134;Veluwe en Veluwerand (TR);2016;929.0;3.1;100.0;108.0;;
135;Gelders Rivierengebied (TR);2002;64.0;;;;;
136;Gelders Rivierengebied (TR);2003;79.0;;;;;
137;Gelders Rivierengebied (TR);2004;40.0;;;;;
138;Gelders Rivierengebied (TR);2005;59.0;;;;;
139;Gelders Rivierengebied (TR);2006;139.0;;;;;
140;Gelders Rivierengebied (TR);2007;119.0;;;;;
141;Gelders Rivierengebied (TR);2008;59.0;;;;;
142;Gelders Rivierengebied (TR);2009;74.0;;;;;
143;Gelders Rivierengebied (TR);2010;104.0;;;;;
144;Gelders Rivierengebied (TR);2011;70.0;;;;;
145;Gelders Rivierengebied (TR);2012;100.0;;;;;
146;Gelders Rivierengebied (TR);2013;114.0;;;;;
147;Gelders Rivierengebied (TR);2014;;;;;;
148;Gelders Rivierengebied (TR);2015;;;;;;
149;Gelders Rivierengebied (TR);2016;;;;;;
150;Achterhoek (TR);2002;252.0;;;;;
151;Achterhoek (TR);2003;263.0;3.3;26.0;100.0;;
152;Achterhoek (TR);2004;300.0;;;;;
153;Achterhoek (TR);2005;287.0;;;;;
154;Achterhoek (TR);2006;344.0;3.2;32.0;93.0;;
155;Achterhoek (TR);2007;364.0;3.3;37.0;102.0;;
156;Achterhoek (TR);2008;332.0;;;;;
157;Achterhoek (TR);2009;314.0;;;;;
158;Achterhoek (TR);2010;296.0;;;;;
159;Achterhoek (TR);2011;277.0;;;;;
160;Achterhoek (TR);2012;357.0;;;;;
161;Achterhoek (TR);2013;301.0;;;;;
162;Achterhoek (TR);2014;;;;;;
163;Achterhoek (TR);2015;;;;;;
164;Achterhoek (TR);2016;;;;;;
165;Twente, Salland en Vechtstreek (TR);2002;674.0;3.3;;;;
166;Twente, Salland en Vechtstreek (TR);2003;731.0;3.2;67.0;91.0;;
167;Twente, Salland en Vechtstreek (TR);2004;699.0;3.2;66.0;95.0;;
168;Twente, Salland en Vechtstreek (TR);2005;672.0;3.2;58.0;86.0;;
169;Twente, Salland en Vechtstreek (TR);2006;682.0;3.1;66.0;97.0;;
170;Twente, Salland en Vechtstreek (TR);2007;656.0;3.2;64.0;98.0;;
171;Twente, Salland en Vechtstreek (TR);2008;605.0;3.2;72.0;119.0;;
172;Twente, Salland en Vechtstreek (TR);2009;704.0;3.2;63.0;90.0;;
173;Twente, Salland en Vechtstreek (TR);2010;583.0;3.1;68.0;116.0;;
174;Twente, Salland en Vechtstreek (TR);2011;594.0;3.2;70.0;118.0;;
175;Twente, Salland en Vechtstreek (TR);2012;707.0;3.1;75.0;106.0;;
176;Twente, Salland en Vechtstreek (TR);2013;560.0;3.1;57.0;102.0;;
177;Twente, Salland en Vechtstreek (TR);2014;610.0;3.2;73.0;120.0;;
178;Twente, Salland en Vechtstreek (TR);2015;753.0;3.1;74.0;99.0;;
179;Twente, Salland en Vechtstreek (TR);2016;697.0;3.1;90.0;129.0;;
180;Groningse, Friese en Drentse Zandgronden;2002;801.0;3.3;;;;
181;Groningse, Friese en Drentse Zandgronden;2003;803.0;3.3;75.0;94.0;;
182;Groningse, Friese en Drentse Zandgronden;2004;714.0;3.3;63.0;89.0;;
183;Groningse, Friese en Drentse Zandgronden;2005;862.0;3.3;71.0;82.0;;
184;Groningse, Friese en Drentse Zandgronden;2006;808.0;3.3;64.0;79.0;;
185;Groningse, Friese en Drentse Zandgronden;2007;809.0;3.4;82.0;101.0;;
186;Groningse, Friese en Drentse Zandgronden;2008;897.0;3.3;85.0;95.0;;
187;Groningse, Friese en Drentse Zandgronden;2009;851.0;3.3;94.0;111.0;;
188;Groningse, Friese en Drentse Zandgronden;2010;863.0;3.4;83.0;96.0;;
189;Groningse, Friese en Drentse Zandgronden;2011;1037.0;3.4;99.0;95.0;;
190;Groningse, Friese en Drentse Zandgronden;2012;955.0;3.3;103.0;108.0;;
191;Groningse, Friese en Drentse Zandgronden;2013;745.0;3.4;85.0;114.0;;
192;Groningse, Friese en Drentse Zandgronden;2014;813.0;3.3;91.0;112.0;;
193;Groningse, Friese en Drentse Zandgronden;2015;843.0;3.2;101.0;119.0;;
194;Groningse, Friese en Drentse Zandgronden;2016;950.0;3.3;105.0;111.0;;
195;West- en Midden-Brabant (TR);2002;1023.0;3.1;;;;
196;West- en Midden-Brabant (TR);2003;924.0;3.1;75.0;82.0;;
197;West- en Midden-Brabant (TR);2004;995.0;3.1;85.0;85.0;;
198;West- en Midden-Brabant (TR);2005;900.0;3.2;65.0;72.0;;
199;West- en Midden-Brabant (TR);2006;867.0;3.1;79.0;91.0;;
200;West- en Midden-Brabant (TR);2007;930.0;3.1;78.0;83.0;;
201;West- en Midden-Brabant (TR);2008;879.0;3.1;76.0;87.0;;
202;West- en Midden-Brabant (TR);2009;988.0;3.1;78.0;79.0;;
203;West- en Midden-Brabant (TR);2010;1005.0;3.3;88.0;87.0;;
204;West- en Midden-Brabant (TR);2011;1054.0;3.2;102.0;97.0;;
205;West- en Midden-Brabant (TR);2012;1018.0;3.2;94.0;92.0;;
206;West- en Midden-Brabant (TR);2013;930.0;3.1;92.0;99.0;;
207;West- en Midden-Brabant (TR);2014;918.0;3.2;90.0;98.0;;
208;West- en Midden-Brabant (TR);2015;856.0;2.9;83.0;97.0;;
209;West- en Midden-Brabant (TR);2016;1000.0;3.0;97.0;96.0;;
210;O.-Brabant, N.-M.-Limburg, Nijmegen (TR);2002;823.0;3.3;;;;
211;O.-Brabant, N.-M.-Limburg, Nijmegen (TR);2003;701.0;3.3;66.0;94.0;;
212;O.-Brabant, N.-M.-Limburg, Nijmegen (TR);2004;718.0;3.2;70.0;98.0;;
213;O.-Brabant, N.-M.-Limburg, Nijmegen (TR);2005;731.0;3.4;76.0;105.0;;
214;O.-Brabant, N.-M.-Limburg, Nijmegen (TR);2006;773.0;3.4;80.0;104.0;;
215;O.-Brabant, N.-M.-Limburg, Nijmegen (TR);2007;880.0;3.3;88.0;100.0;;
216;O.-Brabant, N.-M.-Limburg, Nijmegen (TR);2008;829.0;3.3;96.0;115.0;;
217;O.-Brabant, N.-M.-Limburg, Nijmegen (TR);2009;992.0;3.3;99.0;100.0;;
218;O.-Brabant, N.-M.-Limburg, Nijmegen (TR);2010;883.0;3.3;92.0;104.0;;
219;O.-Brabant, N.-M.-Limburg, Nijmegen (TR);2011;861.0;3.4;82.0;96.0;;
220;O.-Brabant, N.-M.-Limburg, Nijmegen (TR);2012;860.0;3.2;90.0;104.0;;
221;O.-Brabant, N.-M.-Limburg, Nijmegen (TR);2013;723.0;3.3;78.0;108.0;;
222;O.-Brabant, N.-M.-Limburg, Nijmegen (TR);2014;758.0;3.3;82.0;108.0;;
223;O.-Brabant, N.-M.-Limburg, Nijmegen (TR);2015;793.0;3.3;93.0;118.0;;
224;O.-Brabant, N.-M.-Limburg, Nijmegen (TR);2016;838.0;3.2;92.0;110.0;;
225;Zuid-Limburg (TR);2002;570.0;3.2;;;;
226;Zuid-Limburg (TR);2003;499.0;3.1;78.0;156.0;;
227;Zuid-Limburg (TR);2004;548.0;3.2;87.0;158.0;;
228;Zuid-Limburg (TR);2005;472.0;3.1;73.0;154.0;;
229;Zuid-Limburg (TR);2006;574.0;3.1;96.0;167.0;;
230;Zuid-Limburg (TR);2007;532.0;3.1;87.0;164.0;;
231;Zuid-Limburg (TR);2008;545.0;3.2;92.0;169.0;;
232;Zuid-Limburg (TR);2009;522.0;3.2;92.0;177.0;;
233;Zuid-Limburg (TR);2010;578.0;3.1;99.0;172.0;;
234;Zuid-Limburg (TR);2011;657.0;3.2;111.0;168.0;;
235;Zuid-Limburg (TR);2012;662.0;3.1;118.0;179.0;;
236;Zuid-Limburg (TR);2013;568.0;3.1;97.0;170.0;;
237;Zuid-Limburg (TR);2014;506.0;3.2;91.0;179.0;;
238;Zuid-Limburg (TR);2015;484.0;3.1;82.0;169.0;;
239;Zuid-Limburg (TR);2016;592.0;3.0;107.0;181.0;;
240;4 grote steden excl. Noordzeebadplaatsen;2002;217.0;;;;;
241;4 grote steden excl. Noordzeebadplaatsen;2003;248.0;;;;;
242;4 grote steden excl. Noordzeebadplaatsen;2004;214.0;;;;;
243;4 grote steden excl. Noordzeebadplaatsen;2005;299.0;;;;;
244;4 grote steden excl. Noordzeebadplaatsen;2006;212.0;;;;;
245;4 grote steden excl. Noordzeebadplaatsen;2007;281.0;;;;;
246;4 grote steden excl. Noordzeebadplaatsen;2008;266.0;;;;;
247;4 grote steden excl. Noordzeebadplaatsen;2009;216.0;;;;;
248;4 grote steden excl. Noordzeebadplaatsen;2010;337.0;;;;;
249;4 grote steden excl. Noordzeebadplaatsen;2011;275.0;;;;;
250;4 grote steden excl. Noordzeebadplaatsen;2012;337.0;2.5;47.0;138.0;;
251;4 grote steden excl. Noordzeebadplaatsen;2013;416.0;2.7;56.0;134.0;;
252;4 grote steden excl. Noordzeebadplaatsen;2014;462.0;2.7;70.0;151.0;;
253;4 grote steden excl. Noordzeebadplaatsen;2015;422.0;2.6;57.0;136.0;;
254;4 grote steden excl. Noordzeebadplaatsen;2016;450.0;2.5;68.0;151.0;;
255;Overig Nederland;2002;805.0;2.9;;;;
256;Overig Nederland;2003;657.0;3.1;52.0;79.0;;
257;Overig Nederland;2004;618.0;3.0;45.0;73.0;;
258;Overig Nederland;2005;705.0;3.0;61.0;86.0;;
259;Overig Nederland;2006;671.0;3.0;55.0;82.0;;
260;Overig Nederland;2007;588.0;2.9;64.0;109.0;;
261;Overig Nederland;2008;629.0;3.0;69.0;110.0;;
262;Overig Nederland;2009;746.0;3.0;73.0;98.0;;
263;Overig Nederland;2010;688.0;3.0;80.0;116.0;;
264;Overig Nederland;2011;655.0;2.9;79.0;120.0;;
265;Overig Nederland;2012;705.0;2.9;76.0;107.0;;
266;Overig Nederland;2013;674.0;2.9;82.0;122.0;;
267;Overig Nederland;2014;714.0;2.9;90.0;126.0;;
268;Overig Nederland;2015;748.0;2.9;92.0;122.0;;
269;Overig Nederland;2016;750.0;2.9;96.0;129.0;;
270;Groningen (PV);2002;227.0;;;;;
271;Groningen (PV);2003;193.0;;;;;
272;Groningen (PV);2004;204.0;;;;;
273;Groningen (PV);2005;185.0;;;;;
274;Groningen (PV);2006;185.0;;;;;
275;Groningen (PV);2007;195.0;;;;;
276;Groningen (PV);2008;219.0;;;;;
277;Groningen (PV);2009;236.0;;;;;
278;Groningen (PV);2010;200.0;;;;;
279;Groningen (PV);2011;213.0;;;;;
280;Groningen (PV);2012;199.0;;;;;
281;Groningen (PV);2013;207.0;;;;;
282;Groningen (PV);2014;;;;;;
283;Groningen (PV);2015;;;;;;
284;Groningen (PV);2016;;;;;;
285;Friesland (PV);2002;648.0;3.2;;;;
286;Friesland (PV);2003;673.0;3.3;70.0;104.0;;
287;Friesland (PV);2004;635.0;3.2;56.0;89.0;;
288;Friesland (PV);2005;630.0;3.1;64.0;102.0;;
289;Friesland (PV);2006;596.0;3.3;62.0;104.0;;
290;Friesland (PV);2007;579.0;3.3;70.0;121.0;;
291;Friesland (PV);2008;511.0;3.2;65.0;128.0;;
292;Friesland (PV);2009;608.0;3.2;75.0;124.0;;
293;Friesland (PV);2010;582.0;3.2;69.0;119.0;;
294;Friesland (PV);2011;611.0;3.2;81.0;133.0;;
295;Friesland (PV);2012;566.0;3.2;73.0;130.0;;
296;Friesland (PV);2013;547.0;3.2;71.0;130.0;;
297;Friesland (PV);2014;593.0;3.2;86.0;144.0;;
298;Friesland (PV);2015;619.0;3.1;82.0;133.0;;
299;Friesland (PV);2016;638.0;3.2;85.0;133.0;;
300;Drenthe (PV);2002;709.0;3.3;;;;
301;Drenthe (PV);2003;726.0;3.3;69.0;95.0;;
302;Drenthe (PV);2004;622.0;3.3;58.0;93.0;;
303;Drenthe (PV);2005;759.0;3.3;63.0;83.0;;
304;Drenthe (PV);2006;690.0;3.3;56.0;81.0;;
305;Drenthe (PV);2007;739.0;3.4;73.0;99.0;;
306;Drenthe (PV);2008;820.0;3.3;77.0;94.0;;
307;Drenthe (PV);2009;733.0;3.4;82.0;112.0;;
308;Drenthe (PV);2010;766.0;3.4;75.0;97.0;;
309;Drenthe (PV);2011;959.0;3.4;90.0;93.0;;
310;Drenthe (PV);2012;867.0;3.3;95.0;109.0;;
311;Drenthe (PV);2013;676.0;3.4;78.0;116.0;;
312;Drenthe (PV);2014;675.0;3.3;77.0;113.0;;
313;Drenthe (PV);2015;734.0;3.3;90.0;123.0;;
314;Drenthe (PV);2016;854.0;3.3;98.0;114.0;;
315;Overijssel (PV);2002;761.0;3.2;;;;
316;Overijssel (PV);2003;793.0;3.2;73.0;92.0;;
317;Overijssel (PV);2004;850.0;3.2;74.0;87.0;;
318;Overijssel (PV);2005;761.0;3.2;65.0;85.0;;
319;Overijssel (PV);2006;758.0;3.1;74.0;98.0;;
320;Overijssel (PV);2007;729.0;3.2;69.0;95.0;;
321;Overijssel (PV);2008;693.0;3.2;80.0;116.0;;
322;Overijssel (PV);2009;756.0;3.2;72.0;96.0;;
323;Overijssel (PV);2010;647.0;3.2;74.0;115.0;;
324;Overijssel (PV);2011;659.0;3.2;78.0;119.0;;
325;Overijssel (PV);2012;833.0;3.1;84.0;100.0;;
326;Overijssel (PV);2013;652.0;3.1;70.0;107.0;;
327;Overijssel (PV);2014;686.0;3.2;83.0;121.0;;
328;Overijssel (PV);2015;814.0;3.1;82.0;101.0;;
329;Overijssel (PV);2016;775.0;3.1;99.0;128.0;;
330;Flevoland (PV);2002;132.0;;;;;
331;Flevoland (PV);2003;220.0;;;;;
332;Flevoland (PV);2004;217.0;;;;;
333;Flevoland (PV);2005;233.0;;;;;
334;Flevoland (PV);2006;186.0;;;;;
335;Flevoland (PV);2007;226.0;;;;;
336;Flevoland (PV);2008;317.0;;;;;
337;Flevoland (PV);2009;273.0;;;;;
338;Flevoland (PV);2010;288.0;;;;;
339;Flevoland (PV);2011;368.0;;;;;
340;Flevoland (PV);2012;294.0;;;;;
341;Flevoland (PV);2013;331.0;;;;;
342;Flevoland (PV);2014;;;;;;
343;Flevoland (PV);2015;;;;;;
344;Flevoland (PV);2016;;;;;;
345;Gelderland (PV);2002;1448.0;3.2;;;;
346;Gelderland (PV);2003;1479.0;3.2;128.0;86.0;;
347;Gelderland (PV);2004;1542.0;3.2;121.0;79.0;;
348;Gelderland (PV);2005;1520.0;3.2;122.0;80.0;;
349;Gelderland (PV);2006;1824.0;3.2;151.0;83.0;;
350;Gelderland (PV);2007;1742.0;3.2;176.0;101.0;;
351;Gelderland (PV);2008;1455.0;3.2;129.0;89.0;;
352;Gelderland (PV);2009;1545.0;3.2;158.0;102.0;;
353;Gelderland (PV);2010;1548.0;3.1;155.0;100.0;;
354;Gelderland (PV);2011;1546.0;3.2;131.0;85.0;;
355;Gelderland (PV);2012;1882.0;3.1;174.0;92.0;;
356;Gelderland (PV);2013;1557.0;3.0;157.0;101.0;;
357;Gelderland (PV);2014;1617.0;3.1;164.0;101.0;;
358;Gelderland (PV);2015;1488.0;3.0;160.0;108.0;;
359;Gelderland (PV);2016;1460.0;3.0;162.0;111.0;;
360;Utrecht (PV);2002;418.0;2.9;;;;
361;Utrecht (PV);2003;448.0;2.9;35.0;78.0;;
362;Utrecht (PV);2004;300.0;2.9;24.0;80.0;;
363;Utrecht (PV);2005;346.0;3.0;28.0;82.0;;
364;Utrecht (PV);2006;315.0;3.1;28.0;88.0;;
365;Utrecht (PV);2007;290.0;3.0;24.0;83.0;;
366;Utrecht (PV);2008;256.0;;;;;
367;Utrecht (PV);2009;263.0;;;;;
368;Utrecht (PV);2010;335.0;;;;;
369;Utrecht (PV);2011;276.0;;;;;
370;Utrecht (PV);2012;297.0;;;;;
371;Utrecht (PV);2013;377.0;2.9;35.0;93.0;;
372;Utrecht (PV);2014;;;;;;
373;Utrecht (PV);2015;362.0;2.8;39.0;108.0;;
374;Utrecht (PV);2016;347.0;2.9;41.0;118.0;;
375;Noord-Holland (PV);2002;1077.0;3.0;;;;
376;Noord-Holland (PV);2003;896.0;3.2;90.0;100.0;;
377;Noord-Holland (PV);2004;942.0;3.1;80.0;85.0;;
378;Noord-Holland (PV);2005;999.0;3.1;95.0;96.0;;
379;Noord-Holland (PV);2006;956.0;3.1;83.0;87.0;;
380;Noord-Holland (PV);2007;988.0;3.0;108.0;109.0;;
381;Noord-Holland (PV);2008;1071.0;3.1;132.0;124.0;;
382;Noord-Holland (PV);2009;1098.0;3.1;117.0;106.0;;
383;Noord-Holland (PV);2010;1025.0;3.1;123.0;120.0;;
384;Noord-Holland (PV);2011;995.0;3.1;103.0;104.0;;
385;Noord-Holland (PV);2012;1130.0;3.0;135.0;119.0;;
386;Noord-Holland (PV);2013;1075.0;3.0;127.0;118.0;;
387;Noord-Holland (PV);2014;1138.0;3.0;145.0;127.0;;
388;Noord-Holland (PV);2015;1057.0;3.0;144.0;136.0;;
389;Noord-Holland (PV);2016;940.0;2.9;133.0;141.0;;
390;Zuid-Holland (PV);2002;998.0;3.0;;;;
391;Zuid-Holland (PV);2003;891.0;3.0;74.0;83.0;;
392;Zuid-Holland (PV);2004;753.0;3.0;73.0;97.0;;
393;Zuid-Holland (PV);2005;779.0;3.0;74.0;95.0;;
394;Zuid-Holland (PV);2006;776.0;2.9;70.0;91.0;;
395;Zuid-Holland (PV);2007;744.0;2.9;81.0;108.0;;
396;Zuid-Holland (PV);2008;754.0;2.9;75.0;99.0;;
397;Zuid-Holland (PV);2009;806.0;3.0;77.0;96.0;;
398;Zuid-Holland (PV);2010;754.0;2.9;84.0;111.0;;
399;Zuid-Holland (PV);2011;761.0;3.0;88.0;115.0;;
400;Zuid-Holland (PV);2012;865.0;2.9;95.0;109.0;;
401;Zuid-Holland (PV);2013;909.0;2.8;114.0;125.0;;
