ID;InstitutioneleBeleggers;Perioden;TotaalActiva_1;TotaalChartaalEnGiraalGeld_2;InNationaleValuta_3;InBuitenlandseValuta_4;TotaalDepositoS_5;TotaalInNationaleValuta_6;GeldscheppendeFinancieleInstellingen_7;Buitenland_8;TotaalInBuitenlandseValuta_9;GeldscheppendeFinancieleInstellingen_10;Buitenland_11;TotaalObligaties_12;TotaalOverheid_13;CentraleOverheid_14;LagereOverheid_15;TotaalFinancieleInstellingen_16;GeldscheppendeFinancieleInstellingen_17;Verzekeringsinstellingen_18;Beleggingsinstellingen_19;OverigeNietGeldscheppendeFinInst_20;TotaalOverigBinnenland_21;ParticuliereBedrijven_22;InstellingenOpGezondheidsgebied_23;Overheidsbedrijven_24;ObligatiesBuitenland_25;FinancieleDerivaten_26;TotaalAandelen_27;TotaalFinancieleInstellingen_28;Verzekeringsinstellingen_29;Beleggingsinstellingen_30;OverigeNietGeldscheppendeFinInst_31;TotaalOverigBinnenland_32;ParticuliereBedrijven_33;Overheidsbedrijven_34;AandelenBuitenland_35;TotaalWaardepapierenKorteTermijn_36;TotaalOverheid_37;CentraleOverheid_38;LagereOverheid_39;TotaalFinancieleInstellingen_40;GeldscheppendeFinancieleInstellingen_41;OverigeNietGeldscheppendeFinInst_42;TotaalOverigBinnenland_43;ParticuliereBedrijven_44;Overheidsbedrijven_45;WaardepapierenBuitenland_46;TotaalDeelnemingen_47;TotaalFinancieleInstellingen_48;Verzekeringsinstellingen_49;Beleggingsinstellingen_50;OverigeNietGeldscheppendeFinInst_51;TotaalOverigBinnenland_52;ParticuliereBedrijven_53;DeelnemingenBuitenland_54;TotaalLeningenKorteTermijn_55;TotaalOverheid_56;CentraleOverheid_57;LagereOverheid_58;WettelijkeSocialeVerzekeringsinst_59;TotaalFinancieleInstellingen_60;Verzekeringsinstellingen_61;Beleggingsinstellingen_62;OverigeNietGeldscheppendeFinInst_63;FinancieleHulpbedrijven_64;TotaalOverigBinnenland_65;ParticuliereBedrijven_66;Overheidsbedrijven_67;InstellingenZonderZakelijkDoel_68;Gezinnen_69;LeningenOpKorteTermijnBuitenland_70;TotaalLeningenOpLangeTermijn_71;TotaalOverheid_72;CentraleOverheid_73;LagereOverheid_74;WettelijkeSocialeVerzekeringsinst_75;TotaalFinancieleInstellingen_76;GeldscheppendeFinancieleInstellingen_77;Verzekeringsinstellingen_78;Beleggingsinstellingen_79;OverigeNietGeldscheppendeFinInst_80;TotaalOverigBinnenland_81;ParticuliereBedrijven_82;InstellingenOpGezondheidsgebied_83;Overheidsbedrijven_84;Woningbouwverenigingen_85;InstellingenZonderZakelijkDoel_86;Gezinnen_87;LeningenOpLangeTermijnBuitenland_88;TotaalHypotheken_89;WoningenWinkelEnKantoorgebouwen_90;LandelijkeEigendommen_91;AndereEigendommen_92;Buitenland_93;TotaalDirectVastgoed_94;Woningen_95;KantorenEnWinkelgebouwen_96;LandelijkeEigendommen_97;Overig_98;Buitenland_99;TechnischeVerzekeringsverplichtingen_100;PremieEnUitkeringsreserve_101;Transitoria_102;OverigeActiva_103;TotaalPassiva_104;Obligaties_105;AandelenEnDeelnemingen_106;WaardepapierenOpKorteTermijn_107;LeningenOpKorteTermijn_108;LeningenOpLangeTermijn_109;TechnischeVerzekeringsverplichtingen_110;PremieEnUitkeringsreserve_111;Transitoria_112;OverigePassiva_113
10;Totaal institutionele beleggers;2008;1111638;20247;16721;3526;36924;33378;25555;7823;3546;3050;496;414500;24574;24574;0;40978;7769;203;0;33006;4772;4771;0;1;344176;45520;323465;33458;0;25452;8006;20918;20918;0;269089;7220;836;836;0;1091;497;594;32;32;0;5261;37782;13923;2627;7564;3732;3774;3774;20085;36182;493;493;0;0;17147;5848;0;11299;0;350;213;0;0;137;18192;38792;2177;1392;785;0;26480;14562;6018;0;5900;6023;2619;675;475;1700;0;554;4112;34832;33976;96;680;80;48484;15445;16900;1529;637;13973;15594.0;7687.0;40666;3743;1111638;782;96464;0;62332;17352;855687.0;35740.0;42512;769.0
11;Totaal institutionele beleggers;2009;1457601;23673;15453;8220;36113;31978;26187;5791;4135;2062;2073;455166;32504;32504;0;48348;10450;192;0;37706;6753;6753;0;0;367561;11327;636516;249450;0;240734;8716;24232;24232;0;362834;7849;605;605;0;1504;937;567;45;45;0;5695;47405;22724;3225;15625;3874;4716;4716;19965;47360;12;12;0;0;35996;24873;820;10303;0;443;266;0;0;177;10909;37206;2187;1405;782;0;24939;13981;5912;0;5046;5995;2597;690;500;1735;0;473;4085;36750;35900;96;710;44;45855;13928;16148;1510;635;13634;14335.0;7375.0;46944;3727;1457601;1299;332519;0;81448;15110;964090.0;35988.0;46436;-19289.0
12;Totaal institutionele beleggers;2010;1580974;19013;13117;5896;33808;29896;23557;6339;3912;2025;1887;465035;50116;50116;0;47097;13189;192;0;33716;6570;6570;0;0;361252;16430;735519;286731;0;277169;9562;25657;25657;0;423131;7935;740;740;0;1315;744;571;29;29;0;5851;56550;31958;5823;21908;4227;6458;6458;18134;51296;7;7;0;0;44945;5591;8;39346;0;139;139;0;0;0;6205;41330;2052;1270;782;0;27283;16020;6269;19;4975;5811;2607;660;475;1675;0;394;6184;41252;40445;93;670;44;46323;12701;15344;1510;619;16149;15716.0;7999.0;39865;2903;1580974;2479;385635;0;54295;18197;1071755.0;37506.0;63700;-52593.0
13;Totaal institutionele beleggers;2011;1676384;18194;13871;4323;33294;30280;26477;3803;3014;2087;927;508338;79588;79588;0;48481;13771;193;1;34516;6479;6479;0;0;373790;57881;737453;297689;0;289147;8542;23279;23279;0;416485;8781;1376;1376;0;1409;871;538;29;29;0;5967;63877;43109;5719;34704;2686;5384;5384;15384;57445;7;7;0;0;49741;5888;91;43762;0;252;252;0;0;0;7445;34296;2096;1202;894;0;19372;9541;4559;292;4980;7526;4044;625;450;1650;0;757;5302;45700;45113;93;450;44;45823;11867;15977;1525;584;15870;20466.0;8216.0;34329;2291;1676384;2559;406749;0;55674;18833;1133742.0;39628.0;80163;-60964.0
14;Totaal institutionele beleggers;2012;1884616;19403;16114;3289;34734;30469;26172;4297;4265;2062;2203;583220;84971;84971;0;48675;12676;193;78;35728;7254;7254;0;0;442320;69068;844538;355706;0;346622;9084;23775;23775;0;465057;13745;2413;2413;0;1270;763;507;35;35;0;10027;67826;44381;6268;36053;2060;5591;5591;17854;59459;5;5;0;0;51823;2184;91;49548;0;235;235;0;0;0;7396;38345;1807;887;920;0;21901;11119;5569;252;4961;7925;3915;625;425;1625;0;1335;6712;46444;45857;93;450;44;44738;12208;15263;1525;584;15158;20064.0;8340.0;33203;1489;1884616;2823;467686;0;48563;21121;1260150.0;43250.0;124296;-83273.0
15;Pensioenfondsen;1998;408566;1615;1291;324;4493;4307;4307;0;186;93;93;128584;50549;50122;427;14537;12962;0;11;1564;3176;1744;2;1431;60321;646;150400;26973;0;8873;18100;33907;33436;471;89520;156;45;45;0;110;110;0;0;0;0;0;2580;1394;0;1388;7;181;181;1005;1009;55;0;15;40;454;375;0;50;29;115;60;55;0;0;385;59176;17075;8646;8412;17;19152;10684;5493;4;2971;20683;1256;3748;2516;13110;40;13;2266;13026;12528;1;493;4;22071;10184;7829;18;1030;3012;14315.0;;10377;120;408566;0;12;0;3542;1590;400536.0;0.0;2886;
16;Pensioenfondsen;1999;476115;1121;1021;100;4628;4389;4382;8;239;8;231;136339;37573;37221;353;12792;10494;0;20;2279;2418;958;0;1459;83557;912;216825;26250;0;8987;17263;27764;27352;412;162811;55;22;22;0;15;15;0;13;13;0;5;6650;5335;0;1919;3416;131;131;1184;810;54;0;30;24;191;180;0;0;11;87;76;11;0;0;479;46319;11343;4243;7100;0;16171;8327;4811;0;3034;16743;1098;3050;1957;10610;22;6;2062;13211;12717;1;490;3;23470;11791;8070;122;435;3052;15535.0;;10099;140;476115;0;10;0;5763;1986;463747.0;0.0;4609;
17;Pensioenfondsen;2000;488971;1692;1604;88;5500;5403;5403;0;97;67;30;157791;35803;35728;74;12537;9793;0;25;2720;2697;2345;0;352;106754;1287;214811;27126;0;13996;13129;25175;24948;227;162511;77;27;27;0;48;48;0;0;0;0;2;7702;6101;0;2061;4040;102;102;1499;1056;130;2;0;128;341;320;0;5;16;28;0;28;0;0;557;34494;7720;1340;6380;0;12233;7500;4187;0;546;12969;610;2747;1511;8076;20;5;1572;14013;13475;0;535;3;23330;12340;7245;187;506;3052;15788.0;;11286;146;488971;0;10;0;2955;1878;481925.0;0.0;2203;
18;Pensioenfondsen;2001;477966;2086;1974;112;3688;3415;3411;4;273;71;202;159017;26933;26863;70;10111;7421;0;20;2670;3265;3172;0;93;118708;1816;212436;26389;16;12331;14042;16400;16400;0;169647;40;0;0;0;11;11;0;0;0;0;29;8755;6098;0;2193;3905;177;177;2480;1432;61;6;48;7;328;321;0;0;7;384;189;194;1;0;659;28029;5436;955;4481;0;11877;5930;5521;0;426;8888;496;1933;697;5739;16;7;1828;14898;14763;0;121;14;25977;13936;8469;226;636;2710;13035.0;;6596;161;477966;0;0;0;2602;1976;465596.0;0.0;7792;
19;Pensioenfondsen;2002;452447;1973;1870;103;9943;7615;7615;0;2328;1875;453;178244;26545;26473;72;11825;7570;0;18;4237;3549;3443;0;106;136325;4254;169288;23363;24;11003;12336;13377;13377;0;132548;3;0;0;0;0;0;0;0;0;0;3;9917;6554;0;2519;4035;193;193;3170;1870;157;1;156;0;156;146;0;0;10;167;167;0;0;0;1390;21679;4232;835;3397;0;11369;6390;4435;0;544;4867;477;1206;387;2281;516;0;1211;15971;15825;0;131;15;23414;14115;6881;213;629;1576;6727.0;;8995;169;452447;0;0;0;3634;2652;438514.0;0.0;7647;
20;Pensioenfondsen;2003;504171;2672;2368;304;8665;7311;6539;772;1354;903;451;189993;23745;23685;60;13480;6673;0;50;6757;3399;3292;0;107;149369;8461;208106;25663;37;12585;13041;15891;15891;0;166552;208;0;0;0;208;208;0;0;0;0;0;13554;7474;0;3296;4178;292;292;5788;995;8;0;8;0;243;220;0;8;15;200;200;0;0;0;544;17663;2290;790;1500;0;11343;4494;6233;0;616;3039;730;665;196;1278;170;0;991;15049;14902;0;131;16;22933;13772;7522;147;819;673;6860.0;;8868;144;504171;0;0;0;4289;2946;489664.0;0.0;7272;
21;Pensioenfondsen;2004;558255;3603;3072;531;8238;5745;4470;1275;2493;0;2493;219116;21419;21386;33;13528;6642;0;77;6809;3088;2969;0;119;181081;10536;239268;27282;43;13908;13331;17541;17541;0;194445;250;0;0;0;250;250;0;0;0;0;0;15354;8855;0;4210;4645;297;297;6202;1671;19;1;18;0;107;101;0;0;6;74;74;0;0;0;1471;11494;1668;728;940;0;7026;3292;3095;0;639;1913;383;500;149;825;56;0;887;14489;14347;0;127;15;23107;13848;7595;233;520;911;3415.0;;7548;166;558255;0;0;0;4804;2668;543988.0;0.0;6795;
22;Pensioenfondsen;2005;646919;4148;3325;823;11344;8824;5302;3522;2520;958;1562;252636;19943;19937;6;13578;6076;0;79;7423;2672;2536;0;136;216443;2352;298308;28273;0;14135;14138;8788;8788;0;261247;4;0;0;0;0;0;0;0;0;0;4;19594;8053;0;5859;2194;408;408;11133;1711;59;0;59;0;65;61;0;0;4;76;76;0;0;0;1511;10267;1329;679;650;0;6741;2813;3304;0;624;1519;377;383;112;592;55;0;678;12593;12073;3;495;22;22948;13607;7541;422;534;844;3713.0;;7118;183;646919;0;0;0;6323;2546;628329.0;0.0;9721;
23;Pensioenfondsen;2006;721023;5089;4564;525;23769;20719;5463;15256;3050;1000;2050;275559;17665;17665;0;12822;5407;0;85;7330;2922;2769;0;153;242150;6135;320946;29204;0;15262;13942;10079;10079;0;281663;1922;127;127;0;217;14;203;0;0;0;1578;27203;11684;0;7346;4338;425;425;15094;8313;8;8;0;0;222;177;0;36;9;7;7;0;0;0;8076;8728;1199;600;599;0;5391;1991;2795;0;605;1343;396;277;84;346;40;200;795;12503;12035;3;450;15;19795;9863;8058;313;652;909;2995.0;;7884;182;721023;0;0;0;30510;1154;678601.0;0.0;10758;
24;Pensioenfondsen;2007;743370;5941;4302;1639;26830;25099;12099;13000;1731;1500;231;277610;16672;16672;0;13657;5105;0;0;8552;2082;2081;0;1;245199;-24;326526;20169;0;9932;10237;8385;8385;0;297972;2741;29;29;0;113;19;94;13;13;0;2586;32685;12514;11;8652;3851;615;615;19556;5050;8;8;0;0;2248;1253;0;993;2;25;25;0;0;0;2769;8851;963;564;399;0;4541;611;3329;0;601;686;68;54;34;64;0;466;2661;14659;14113;3;504;39;19150;10878;6796;874;228;374;11237.0;;11480;634;743370;0;0;0;11649;1529;718741.0;0.0;11451;
25;Pensioenfondsen;2008;644833;9091;6808;2283;21464;18622;11058;7564;2842;2700;142;252327;9133;9133;0;14671;3853;0;0;10818;2313;2312;0;1;226210;35747;208744;10181;0;7770;2411;4731;4731;0;193832;5319;0;0;0;195;104;91;5;5;0;5119;30807;10193;10;7564;2619;2962;2962;17652;21279;8;8;0;0;3583;1643;0;1940;0;19;19;0;0;0;17669;7830;1098;824;274;0;2283;220;1462;0;601;608;59;75;25;100;0;349;3841;13187;12634;3;470;80;16973;9741;5951;869;190;222;12644.0;;9413;8;644833;0;0;0;40215;1408;595519.0;0.0;7691;
26;Pensioenfondsen;2009;716453;5615;3978;1637;19642;17254;11543;5711;2388;1725;663;189016;9022;9022;0;15303;3629;0;0;11674;2324;2324;0;0;162367;8063;381510;218836;0;216789;2047;2504;2504;0;160170;5722;0;0;0;661;634;27;27;27;0;5034;40127;18970;3;15625;3342;3590;3590;17567;13528;3;3;0;0;3580;814;820;1946;0;56;56;0;0;0;9889;6949;973;699;274;0;1999;123;1401;0;475;543;56;65;25;85;0;312;3434;12044;11497;3;500;44;15209;8242;5750;860;180;177;12806.0;;6162;60;716453;0;0;0;34840;818;676371.0;0.0;4424;
27;Pensioenfondsen;2010;783967;4978;4612;366;16760;13266;8094;5172;3494;1725;1769;191370;16573;16573;0;14934;4258;0;0;10676;2394;2394;0;0;157469;11082;431150;250719;0;248541;2178;2833;2833;0;177598;5699;0;0;0;640;628;12;16;16;0;5043;46208;25428;3;21908;3517;3427;3427;17353;26832;2;2;0;0;22439;756;8;21675;0;2;2;0;0;0;4389;6332;838;564;274;0;2153;40;1350;19;744;511;51;60;25;75;0;300;2830;11925;11421;0;460;44;9871;4405;4215;860;180;211;13695.0;;8006;59;783967;0;0;0;17546;748;761949.0;;3724;
28;Pensioenfondsen;2011;837395;4481;3869;612;13778;11342;7750;3592;2436;1725;711;213475;32815;32815;0;14768;4027;0;1;10740;2482;2482;0;0;163410;44355;429591;261651;0;259564;2087;2606;2606;0;165334;6405;618;618;0;727;714;13;16;16;0;5044;54028;36591;47;34704;1840;2710;2710;14727;25591;2;2;0;0;21098;756;91;20251;0;24;24;0;0;0;4467;4774;855;469;386;0;1385;22;393;292;678;299;11;0;0;0;0;288;2235;11177;10893;0;240;44;9681;4245;4115;875;225;221;14965.0;;5040;54;837395;0;0;0;19819;1148;807201.0;;9227;
29;Pensioenfondsen;2012;965451;5243;4403;840;16723;13181;9233;3948;3542;1725;1817;248119;37942;37942;0;14826;4022;0;78;10726;2767;2767;0;0;192584;53086;508498;316813;0;314683;2130;2792;2792;0;188893;7885;2154;2154;0;658;638;20;22;22;0;5051;57286;37416;47;36053;1316;2683;2683;17187;26947;1;1;0;0;22543;768;91;21684;0;30;30;0;0;0;4373;4897;881;469;412;0;1448;31;541;252;624;305;19;0;0;0;0;286;2263;10911;10627;0;240;44;9060;4348;3435;875;225;177;14970.0;;1772;54;965451;0;0;0;16235;1346;911439.0;;36431;
30;Verzekeraars;1998;255278;1922;1893;30;8392;8112;8112;0;280;190;90;75004;39749;39584;165;11734;9113;0;41;2581;3125;2790;1;333;20395;59;60419;26590;0;8064;18525;17303;16986;316;16527;145;38;38;0;33;20;14;39;0;39;35;3494;3120;2542;37;542;260;260;114;2476;94;73;5;16;2004;670;0;1271;64;336;220;45;0;70;42;49365;6655;4697;1957;0;23429;15452;3974;284;3718;16963;5281;1307;2166;7892;21;295;2319;25132;24556;118;458;0;10411;3597;6191;265;110;248;3431.0;3303.0;11514;210;255278;0;37050;0;4606;9503;160092.0;20368.0;7414;16244.0
31;Verzekeraars;1999;277949;2354;2283;71;9519;9101;9101;0;417;249;168;75610;35989;35855;135;9817;7657;454;0;1706;2900;2635;5;259;26904;72;76053;31187;0;9367;21820;19865;19782;83;25000;166;18;18;0;72;69;3;24;24;0;52;4650;4395;3818;28;549;183;183;72;3077;195;67;0;128;2604;585;0;1934;85;239;169;11;0;59;39;47950;4696;2899;1795;0;23226;14293;4298;290;4345;16676;5492;1267;2091;7582;21;223;3352;27847;27446;103;298;0;11283;3854;6852;300;72;205;3862.0;3579.0;11701;228;277949;758;37579;0;5254;9068;174686.0;22647.0;10059;17899.0
32;Verzekeraars;2000;288310;3505;3326;179;10710;10340;10340;0;370;231;140;77962;30939;30844;95;12403;8595;447;2;3359;2373;2133;1;239;32247;87;74781;29320;15;9704;19601;17846;17832;15;27615;141;23;23;0;74;73;1;9;9;0;35;5685;5379;4867;17;494;203;203;103;5405;95;-1;0;96;5076;280;0;4712;84;223;152;35;0;37;11;43535;3657;2149;1507;0;21541;13072;4095;300;4074;15179;4424;1344;1577;7539;30;265;3158;30905;30460;111;334;0;13553;5084;7561;410;171;327;3884.0;4053.0;13840;264;288310;767;36831;0;6749;9905;184818.0;24733.0;10402;14106.0
33;Verzekeraars;2001;297283;3699;3625;74;11343;10978;10978;0;365;183;182;87850;26183;26090;93;10827;5976;390;5;4456;2841;2673;2;166;47999;104;72300;28463;14;10226;18223;19675;19674;1;24162;289;0;0;0;214;209;5;0;0;0;75;5582;5309;4847;14;448;218;218;55;4923;134;31;0;103;4530;577;0;3731;222;247;155;86;0;6;12;40805;2722;1288;1434;0;21428;12099;5265;279;3785;13588;3343;1169;1481;7304;13;278;3067;32042;31191;46;805;0;14895;5506;8288;509;240;351;5517.0;4244.0;13434;255;297283;672;33481;0;5895;12129;197170.0;26332.0;11425;10179.0
