ID;BedrijfstakkenBranchesSBI2008;Perioden;InvesteringenVerwachtingen_1;InvesteringenRealisaties_2
170;14 Kledingindustrie;2015;-58.0;-40.0
171;14 Kledingindustrie;2016;;
172;14 Kledingindustrie;2017;;
173;14 Kledingindustrie;2018;-50.0;-5.0
174;14 Kledingindustrie;2019;-33.0;-20.0
175;14 Kledingindustrie;2020;-39.0;
176;14 Kledingindustrie;2021;;
177;14 Kledingindustrie;2022;149.0;342.0
178;14 Kledingindustrie;2023;-56.0;-51.0
179;14 Kledingindustrie;2024;-9.0;
180;15 Leer- en schoenenindustrie;2013;16.0;162.0
181;15 Leer- en schoenenindustrie;2014;-28.0;-38.0
182;15 Leer- en schoenenindustrie;2015;20.0;-7.0
183;15 Leer- en schoenenindustrie;2016;;
184;15 Leer- en schoenenindustrie;2017;;
185;15 Leer- en schoenenindustrie;2018;212.0;178.0
186;15 Leer- en schoenenindustrie;2019;-26.0;-20.0
187;15 Leer- en schoenenindustrie;2020;18.0;
188;15 Leer- en schoenenindustrie;2021;;
189;15 Leer- en schoenenindustrie;2022;76.0;56.0
190;15 Leer- en schoenenindustrie;2023;-32.0;34.0
191;15 Leer- en schoenenindustrie;2024;-40.0;
192;16 Houtindustrie;2013;-20.0;2.0
193;16 Houtindustrie;2014;-23.0;-8.0
194;16 Houtindustrie;2015;-30.0;32.0
195;16 Houtindustrie;2016;-9.0;31.0
196;16 Houtindustrie;2017;-28.0;97.0
197;16 Houtindustrie;2018;-25.0;-19.0
198;16 Houtindustrie;2019;20.0;16.0
199;16 Houtindustrie;2020;-29.0;-16.0
200;16 Houtindustrie;2021;24.0;37.0
201;16 Houtindustrie;2022;-26.0;21.0
202;16 Houtindustrie;2023;-42.0;-20.0
203;16 Houtindustrie;2024;-24.0;
204;16-18 Hout-, papier-, grafische industr.;2013;;
205;16-18 Hout-, papier-, grafische industr.;2014;;
206;16-18 Hout-, papier-, grafische industr.;2015;;
207;16-18 Hout-, papier-, grafische industr.;2016;;
208;16-18 Hout-, papier-, grafische industr.;2017;;
209;16-18 Hout-, papier-, grafische industr.;2018;;
210;16-18 Hout-, papier-, grafische industr.;2019;;
211;16-18 Hout-, papier-, grafische industr.;2020;;
212;16-18 Hout-, papier-, grafische industr.;2021;;
213;16-18 Hout-, papier-, grafische industr.;2022;;
214;16-18 Hout-, papier-, grafische industr.;2023;;
215;16-18 Hout-, papier-, grafische industr.;2024;;
216;16+23 Hout- en bouwmaterialenindustrie;2013;5.0;15.0
217;16+23 Hout- en bouwmaterialenindustrie;2014;-7.0;-1.0
218;16+23 Hout- en bouwmaterialenindustrie;2015;-10.0;9.0
219;16+23 Hout- en bouwmaterialenindustrie;2016;-7.0;-1.0
220;16+23 Hout- en bouwmaterialenindustrie;2017;24.0;58.0
221;16+23 Hout- en bouwmaterialenindustrie;2018;-14.0;-6.0
222;16+23 Hout- en bouwmaterialenindustrie;2019;36.0;30.0
223;16+23 Hout- en bouwmaterialenindustrie;2020;-6.0;-6.0
224;16+23 Hout- en bouwmaterialenindustrie;2021;-5.0;3.0
225;16+23 Hout- en bouwmaterialenindustrie;2022;1.0;5.0
226;16+23 Hout- en bouwmaterialenindustrie;2023;0.0;4.0
227;16+23 Hout- en bouwmaterialenindustrie;2024;-23.0;
228;17 Papierindustrie;2013;9.0;-1.0
229;17 Papierindustrie;2014;-15.0;-16.0
230;17 Papierindustrie;2015;68.0;18.0
231;17 Papierindustrie;2016;97.0;79.0
232;17 Papierindustrie;2017;-28.0;-16.0
233;17 Papierindustrie;2018;-11.0;-21.0
234;17 Papierindustrie;2019;8.0;21.0
235;17 Papierindustrie;2020;-15.0;1.0
236;17 Papierindustrie;2021;38.0;0.0
237;17 Papierindustrie;2022;13.0;6.0
238;17 Papierindustrie;2023;-6.0;29.0
239;17 Papierindustrie;2024;-26.0;
240;17-18 Papier- en grafische industrie;2013;14.0;6.0
