ID;CaribischNederland;Perioden;InkomendToerismePerVliegtuig_1
63;Bonaire;2016 december;12.0
64;Bonaire;2016;135.8
65;Bonaire;2017 januari;12.4
66;Bonaire;2017 februari;11.1
67;Bonaire;2017 maart;11.4
68;Bonaire;2017 april;11.7
69;Bonaire;2017 mei;9.6
70;Bonaire;2017 juni;8.7
71;Bonaire;2017 juli;10.7
72;Bonaire;2017 augustus;8.3
73;Bonaire;2017 september;8.8
74;Bonaire;2017 oktober;11.0
75;Bonaire;2017 november;11.2
76;Bonaire;2017 december;13.5
77;Bonaire;2017;128.5
78;Bonaire;2018 januari;13.2
79;Bonaire;2018 februari;12.1
80;Bonaire;2018 maart;13.8
81;Bonaire;2018 april;13.9
82;Bonaire;2018 mei;11.2
83;Bonaire;2018 juni;11.3
84;Bonaire;2018 juli;12.1
85;Bonaire;2018 augustus;10.9
86;Bonaire;2018 september;10.2
87;Bonaire;2018 oktober;11.9
88;Bonaire;2018 november;12.1
89;Bonaire;2018 december;15.1
90;Bonaire;2018;147.8
91;Bonaire;2019 januari;14.8
92;Bonaire;2019 februari;13.7
93;Bonaire;2019 maart;16.0
94;Bonaire;2019 april;14.1
95;Bonaire;2019 mei;12.1
96;Bonaire;2019 juni;12.5
97;Bonaire;2019 juli;13.1
98;Bonaire;2019 augustus;11.9
99;Bonaire;2019 september;10.0
100;Bonaire;2019 oktober;12.2
101;Bonaire;2019 november;13.4
102;Bonaire;2019 december;14.0
103;Bonaire;2019;157.8
104;Bonaire;2020 januari;15.0
105;Bonaire;2020 februari;15.5
106;Bonaire;2020 maart;7.3
107;Bonaire;2020 april;0.0
108;Bonaire;2020 mei;0.1
109;Bonaire;2020 juni;1.1
110;Bonaire;2020 juli;5.8
111;Bonaire;2020 augustus;5.6
112;Bonaire;2020 september;2.8
113;Bonaire;2020 oktober;1.7
114;Bonaire;2020 november;4.0
115;Bonaire;2020 december;7.0
116;Bonaire;2020;66.0
117;Bonaire;2021 januari;3.9
118;Bonaire;2021 februari;4.5
119;Bonaire;2021 maart;3.3
120;Bonaire;2021 april;3.3
121;Bonaire;2021mei;5.2
122;Bonaire;2021 juni;9.2
123;Bonaire;2021 juli;14.0
124;Bonaire;2021 augustus;13.3
125;Bonaire;2021 september;10.9
126;Bonaire;2021 oktober;14.9
127;Bonaire;2021 november;14.2
128;Bonaire;2021 december;14.7
129;Bonaire;2021;111.3
130;Bonaire;2022 januari;12.8
131;Bonaire;2022 februari;13.7
132;Bonaire;2022 maart;16.0
133;Bonaire;2022 april;16.6
134;Bonaire;2022 mei;14.0
135;Bonaire;2022 juni;12.7
136;Bonaire;2022 juli;16.4
137;Bonaire;2022 augustus;12.1
138;Bonaire;2022 september;12.1
139;Bonaire;2022 oktober;14.8
140;Bonaire;2022 november;15.0
141;Bonaire;2022 december;17.0
142;Bonaire;2022;173.2
143;Bonaire;2023 januari;16.3
144;Bonaire;2023 februari;16.2
145;Bonaire;2023 maart;16.4
146;Bonaire;2023 april;15.8
147;Bonaire;2023 mei;12.5
148;Bonaire;2023 juni;12.1
149;Bonaire;2023 juli;14.4
150;Bonaire;2023 augustus;11.1
151;Bonaire;2023 september;12.3
152;Bonaire;2023 oktober;13.6
153;Bonaire;2023 november;14.0
154;Bonaire;2023 december;16.4
155;Bonaire;2023 ;171.0
156;Sint-Eustatius;2012 januari;1.2
157;Sint-Eustatius;2012 februari;1.0
158;Sint-Eustatius;2012 maart;1.2
159;Sint-Eustatius;2012 april;1.0
160;Sint-Eustatius;2012 mei;1.2
161;Sint-Eustatius;2012 juni;1.1
162;Sint-Eustatius;2012 juli;1.3
163;Sint-Eustatius;2012 augustus;1.1
164;Sint-Eustatius;2012 september;0.7
165;Sint-Eustatius;2012 oktober;1.1
166;Sint-Eustatius;2012 november;1.1
167;Sint-Eustatius;2012 december;1.0
168;Sint-Eustatius;2012;13.0
169;Sint-Eustatius;2013 januari;1.1
170;Sint-Eustatius;2013 februari;0.8
171;Sint-Eustatius;2013 maart;0.9
172;Sint-Eustatius;2013 april;0.9
173;Sint-Eustatius;2013 mei;1.0
174;Sint-Eustatius;2013 juni;1.0
175;Sint-Eustatius;2013 juli;1.1
176;Sint-Eustatius;2013 augustus;1.0
177;Sint-Eustatius;2013 september;0.8
178;Sint-Eustatius;2013 oktober;0.9
179;Sint-Eustatius;2013 november;1.0
180;Sint-Eustatius;2013 december;0.9
181;Sint-Eustatius;2013;11.2
182;Sint-Eustatius;2014 januari;0.9
183;Sint-Eustatius;2014 februari;0.8
184;Sint-Eustatius;2014 maart;1.0
185;Sint-Eustatius;2014 april;0.9
186;Sint-Eustatius;2014 mei;1.0
187;Sint-Eustatius;2014 juni;1.0
188;Sint-Eustatius;2014 juli;1.1
189;Sint-Eustatius;2014 augustus;1.0
190;Sint-Eustatius;2014 september;0.8
191;Sint-Eustatius;2014 oktober;1.0
192;Sint-Eustatius;2014 november;0.9
193;Sint-Eustatius;2014 december;0.9
194;Sint-Eustatius;2014;11.3
195;Sint-Eustatius;2015 januari;1.0
196;Sint-Eustatius;2015 februari;0.8
197;Sint-Eustatius;2015 maart;1.0
198;Sint-Eustatius;2015 april;0.9
199;Sint-Eustatius;2015 mei;0.9
200;Sint-Eustatius;2015 juni;0.9
201;Sint-Eustatius;2015 juli;1.0
202;Sint-Eustatius;2015 augustus;0.8
203;Sint-Eustatius;2015 september;0.8
204;Sint-Eustatius;2015 oktober;0.9
205;Sint-Eustatius;2015 november;0.9
206;Sint-Eustatius;2015 december;0.8
207;Sint-Eustatius;2015;10.7
208;Sint-Eustatius;2016 januari;0.9
209;Sint-Eustatius;2016 februari;0.9
210;Sint-Eustatius;2016 maart;0.9
211;Sint-Eustatius;2016 april;0.8
212;Sint-Eustatius;2016 mei;0.9
213;Sint-Eustatius;2016 juni;0.9
214;Sint-Eustatius;2016 juli;1.0
215;Sint-Eustatius;2016 augustus;1.0
216;Sint-Eustatius;2016 september;0.8
217;Sint-Eustatius;2016 oktober;1.0
218;Sint-Eustatius;2016 november;1.0
219;Sint-Eustatius;2016 december;0.9
220;Sint-Eustatius;2016;11.0
221;Sint-Eustatius;2017 januari;1.0
222;Sint-Eustatius;2017 februari;0.9
223;Sint-Eustatius;2017 maart;1.0
224;Sint-Eustatius;2017 april;0.9
225;Sint-Eustatius;2017 mei;0.9
226;Sint-Eustatius;2017 juni;0.9
227;Sint-Eustatius;2017 juli;1.1
228;Sint-Eustatius;2017 augustus;1.0
229;Sint-Eustatius;2017 september;0.3
230;Sint-Eustatius;2017 oktober;0.5
231;Sint-Eustatius;2017 november;0.8
232;Sint-Eustatius;2017 december;0.8
233;Sint-Eustatius;2017;10.3
234;Sint-Eustatius;2018 januari;0.9
235;Sint-Eustatius;2018 februari;0.8
236;Sint-Eustatius;2018 maart;1.0
237;Sint-Eustatius;2018 april;0.9
238;Sint-Eustatius;2018 mei;0.9
239;Sint-Eustatius;2018 juni;0.9
240;Sint-Eustatius;2018 juli;1.0
241;Sint-Eustatius;2018 augustus;0.9
242;Sint-Eustatius;2018 september;0.7
243;Sint-Eustatius;2018 oktober;0.8
244;Sint-Eustatius;2018 november;0.9
245;Sint-Eustatius;2018 december;0.8
246;Sint-Eustatius;2018;10.5
247;Sint-Eustatius;2019 januari;0.9
248;Sint-Eustatius;2019 februari;0.8
249;Sint-Eustatius;2019 maart;0.9
250;Sint-Eustatius;2019 april;0.9
251;Sint-Eustatius;2019 mei;0.9
252;Sint-Eustatius;2019 juni;0.9
253;Sint-Eustatius;2019 juli;1.0
254;Sint-Eustatius;2019 augustus;0.9
255;Sint-Eustatius;2019 september;0.7
256;Sint-Eustatius;2019 oktober;0.9
257;Sint-Eustatius;2019 november;0.9
258;Sint-Eustatius;2019 december;0.8
259;Sint-Eustatius;2019;10.5
260;Sint-Eustatius;2020 januari;1.0
261;Sint-Eustatius;2020 februari;0.8
262;Sint-Eustatius;2020 maart;0.5
263;Sint-Eustatius;2020 april;0.0
264;Sint-Eustatius;2020 mei;0.0
265;Sint-Eustatius;2020 juni;0.1
266;Sint-Eustatius;2020 juli;0.2
267;Sint-Eustatius;2020 augustus;0.2
268;Sint-Eustatius;2020 september;0.1
269;Sint-Eustatius;2020 oktober;0.1
270;Sint-Eustatius;2020 november;0.2
271;Sint-Eustatius;2020 december;0.2
272;Sint-Eustatius;2020;3.4
273;Sint-Eustatius;2021 januari;0.2
274;Sint-Eustatius;2021 februari;0.2
275;Sint-Eustatius;2021 maart;0.2
276;Sint-Eustatius;2021 april;0.2
277;Sint-Eustatius;2021mei;0.3
278;Sint-Eustatius;2021 juni;0.4
279;Sint-Eustatius;2021 juli;0.4
280;Sint-Eustatius;2021 augustus;0.4
281;Sint-Eustatius;2021 september;0.2
282;Sint-Eustatius;2021 oktober;0.3
283;Sint-Eustatius;2021 november;0.4
284;Sint-Eustatius;2021 december;0.4
285;Sint-Eustatius;2021;3.6
286;Sint-Eustatius;2022 januari;0.3
287;Sint-Eustatius;2022 februari;0.3
288;Sint-Eustatius;2022 maart;0.4
289;Sint-Eustatius;2022 april;0.4
290;Sint-Eustatius;2022 mei;0.4
291;Sint-Eustatius;2022 juni;0.5
292;Sint-Eustatius;2022 juli;0.5
293;Sint-Eustatius;2022 augustus;0.6
294;Sint-Eustatius;2022 september;0.5
295;Sint-Eustatius;2022 oktober;0.5
296;Sint-Eustatius;2022 november;0.7
297;Sint-Eustatius;2022 december;0.5
298;Sint-Eustatius;2022;5.6
299;Sint-Eustatius;2023 januari;0.5
300;Sint-Eustatius;2023 februari;0.5
301;Sint-Eustatius;2023 maart;0.6
302;Sint-Eustatius;2023 april;0.5
303;Sint-Eustatius;2023 mei;0.5
304;Sint-Eustatius;2023 juni;0.5
305;Sint-Eustatius;2023 juli;0.4
306;Sint-Eustatius;2023 augustus;0.3
307;Sint-Eustatius;2023 september;0.3
308;Sint-Eustatius;2023 oktober;0.5
309;Sint-Eustatius;2023 november;0.7
310;Sint-Eustatius;2023 december;0.6
311;Sint-Eustatius;2023 ;5.8
312;Saba;2012 januari;0.9
313;Saba;2012 februari;0.8
314;Saba;2012 maart;0.9
315;Saba;2012 april;0.7
316;Saba;2012 mei;0.9
317;Saba;2012 juni;0.7
318;Saba;2012 juli;0.8
319;Saba;2012 augustus;0.7
320;Saba;2012 september;0.7
321;Saba;2012 oktober;0.6
322;Saba;2012 november;0.7
323;Saba;2012 december;0.8
324;Saba;2012;9.2
325;Saba;2013 januari;1.1
326;Saba;2013 februari;0.8
327;Saba;2013 maart;0.9
328;Saba;2013 april;0.8
329;Saba;2013 mei;0.9
330;Saba;2013 juni;0.8
331;Saba;2013 juli;0.8
332;Saba;2013 augustus;0.8
333;Saba;2013 september;0.6
334;Saba;2013 oktober;0.7
335;Saba;2013 november;0.6
336;Saba;2013 december;0.8
337;Saba;2013;9.7
338;Saba;2014 januari;1.0
339;Saba;2014 februari;0.8
340;Saba;2014 maart;0.9
341;Saba;2014 april;0.8
342;Saba;2014 mei;0.9
343;Saba;2014 juni;0.8
344;Saba;2014 juli;0.8
345;Saba;2014 augustus;0.8
346;Saba;2014 september;0.7
347;Saba;2014 oktober;0.8
348;Saba;2014 november;0.8
349;Saba;2014 december;1.0
350;Saba;2014;10.2
351;Saba;2015 januari;1.1
352;Saba;2015 februari;0.8
353;Saba;2015 maart;1.0
354;Saba;2015 april;0.8
355;Saba;2015 mei;1.0
356;Saba;2015 juni;0.7
357;Saba;2015 juli;0.8
358;Saba;2015 augustus;0.7
359;Saba;2015 september;0.6
360;Saba;2015 oktober;0.6
361;Saba;2015 november;0.7
362;Saba;2015 december;0.8
363;Saba;2015;9.7
364;Saba;2016 januari;0.9
365;Saba;2016 februari;0.8
366;Saba;2016 maart;0.7
367;Saba;2016 april;0.8
368;Saba;2016 mei;0.8
369;Saba;2016 juni;0.7
370;Saba;2016 juli;0.8
371;Saba;2016 augustus;0.8
372;Saba;2016 september;0.5
373;Saba;2016 oktober;0.7
374;Saba;2016 november;0.8
375;Saba;2016 december;0.9
376;Saba;2016;9.2
377;Saba;2017 januari;0.9
378;Saba;2017 februari;0.8
379;Saba;2017 maart;0.9
380;Saba;2017 april;0.8
381;Saba;2017 mei;0.8
382;Saba;2017 juni;0.8
383;Saba;2017 juli;0.8
384;Saba;2017 augustus;0.8
385;Saba;2017 september;0.2
386;Saba;2017 oktober;0.3
387;Saba;2017 november;0.6
388;Saba;2017 december;0.7
389;Saba;2017;8.2
390;Saba;2018 januari;0.7
391;Saba;2018 februari;0.6
392;Saba;2018 maart;0.7
393;Saba;2018 april;0.7
394;Saba;2018 mei;0.8
395;Saba;2018 juni;0.7
396;Saba;2018 juli;0.7
397;Saba;2018 augustus;0.8
398;Saba;2018 september;0.3
399;Saba;2018 oktober;0.5
400;Saba;2018 november;0.8
401;Saba;2018 december;0.7
402;Saba;2018;8.1
403;Saba;2019 januari;0.9
404;Saba;2019 februari;0.7
405;Saba;2019 maart;0.8
406;Saba;2019 april;0.7
407;Saba;2019 mei;0.6
408;Saba;2019 juni;0.7
409;Saba;2019 juli;0.7
410;Saba;2019 augustus;0.8
411;Saba;2019 september;0.6
412;Saba;2019 oktober;0.7
413;Saba;2019 november;0.8
414;Saba;2019 december;0.8
415;Saba;2019;8.8
416;Saba;2020 januari;0.8
417;Saba;2020 februari;0.7
418;Saba;2020 maart;0.4
419;Saba;2020 april;0.0
420;Saba;2020 mei;0.0
421;Saba;2020 juni;0.1
422;Saba;2020 juli;0.1
423;Saba;2020 augustus;0.1
424;Saba;2020 september;0.1
425;Saba;2020 oktober;0.1
426;Saba;2020 november;0.1
427;Saba;2020 december;0.2
428;Saba;2020;2.7
429;Saba;2021 januari;0.2
430;Saba;2021 februari;0.1
431;Saba;2021 maart;0.2
432;Saba;2021 april;0.2
433;Saba;2021mei;0.3
434;Saba;2021 juni;0.4
435;Saba;2021 juli;0.5
436;Saba;2021 augustus;0.4
437;Saba;2021 september;0.3
438;Saba;2021 oktober;0.4
439;Saba;2021 november;0.5
440;Saba;2021 december;0.5
441;Saba;2021;4.0
442;Saba;2022 januari;0.4
443;Saba;2022 februari;0.3
444;Saba;2022 maart;0.4
445;Saba;2022 april;0.4
446;Saba;2022 mei;0.4
447;Saba;2022 juni;0.4
448;Saba;2022 juli;0.4
449;Saba;2022 augustus;0.5
450;Saba;2022 september;0.3
451;Saba;2022 oktober;0.5
452;Saba;2022 november;0.5
453;Saba;2022 december;0.4
454;Saba;2022;4.9
455;Saba;2023 januari;0.5
456;Saba;2023 februari;0.5
457;Saba;2023 maart;0.5
458;Saba;2023 april;0.5
459;Saba;2023 mei;0.5
460;Saba;2023 juni;0.5
461;Saba;2023 juli;0.5
462;Saba;2023 augustus;0.5
463;Saba;2023 september;0.4
464;Saba;2023 oktober;0.4
465;Saba;2023 november;0.5
466;Saba;2023 december;0.5
467;Saba;2023 ;5.7
