ID;RegioS;Perioden;TotaleInvesteringenNaarTypeActiva_1;Woningen_2;Bedrijfsgebouwen_3;GWWWerken_4;Vervoermiddelen_5;MachinesEnInstallaties_6;OverigeInvesteringenInVasteActiva_7;InCultuurGebrachteActiva_8;OverdrachtskostenOpGrond_9
68;Limburg (PV);2008;7227;2389;1118;646;381;1334;1261;25;72
69;Limburg (PV);2009;5877;1870;897;599;382;976;1044;29;81
70;Limburg (PV);2010;5167;1468;979;495;227;876;980;41;100
71;Limburg (PV);2011;5458;1438;953;371;310;1221;1060;38;67
72;Oost-Groningen (CR);2008;1001;248;78;418;43;97;107;2;9
73;Oost-Groningen (CR);2009;596;192;107;68;30;107;82;2;8
74;Oost-Groningen (CR);2010;502;137;86;75;26;86;80;2;10
75;Oost-Groningen (CR);2011;516;134;104;71;29;83;88;2;6
76;Delfzijl en omgeving (CR);2008;349;38;56;13;42;156;40;2;2
77;Delfzijl en omgeving (CR);2009;480;48;48;33;104;203;39;1;2
78;Delfzijl en omgeving (CR);2010;482;48;41;41;56;243;50;1;2
79;Delfzijl en omgeving (CR);2011;271;44;31;48;22;81;43;1;2
80;Overig Groningen (CR);2008;2669;871;499;225;228;344;470;6;25
81;Overig Groningen (CR);2009;2571;635;451;250;152;609;439;5;29
82;Overig Groningen (CR);2010;2111;486;342;268;108;408;456;6;38
83;Overig Groningen (CR);2011;1857;566;276;131;89;319;446;5;25
84;Noord-Friesland (CR);2008;1979;709;399;127;109;236;360;13;25
85;Noord-Friesland (CR);2009;1702;546;386;128;89;201;313;12;27
86;Noord-Friesland (CR);2010;1618;373;347;292;67;202;295;10;31
87;Noord-Friesland (CR);2011;1794;437;270;367;81;270;336;9;24
88;Zuidwest-Friesland (CR);2008;622;243;107;49;38;85;88;4;7
89;Zuidwest-Friesland (CR);2009;580;188;105;116;35;54;73;4;5
90;Zuidwest-Friesland (CR);2010;471;167;74;45;35;63;77;4;7
91;Zuidwest-Friesland (CR);2011;404;119;44;31;37;86;78;4;5
92;Zuidoost-Friesland (CR);2008;1374;412;431;103;83;143;180;10;13
93;Zuidoost-Friesland (CR);2009;1375;358;476;115;78;174;149;9;14
94;Zuidoost-Friesland (CR);2010;1017;276;207;103;114;115;169;6;25
95;Zuidoost-Friesland (CR);2011;1045;297;171;91;97;198;173;6;13
96;Noord-Drenthe (CR);2008;1259;447;208;133;139;150;166;4;14
97;Noord-Drenthe (CR);2009;967;358;122;95;68;94;211;4;15
98;Noord-Drenthe (CR);2010;844;206;116;71;99;100;232;3;17
99;Noord-Drenthe (CR);2011;888;256;113;72;76;139;219;3;12
100;Zuidoost-Drenthe (CR);2008;890;241;158;61;59;230;128;3;9
101;Zuidoost-Drenthe (CR);2009;741;192;131;99;38;133;134;3;12
102;Zuidoost-Drenthe (CR);2010;674;187;123;56;34;115;141;3;16
103;Zuidoost-Drenthe (CR);2011;636;161;80;64;52;128;139;3;9
104;Zuidwest-Drenthe (CR);2008;792;237;166;91;43;109;135;2;8
105;Zuidwest-Drenthe (CR);2009;750;213;130;146;43;86;122;2;8
106;Zuidwest-Drenthe (CR);2010;655;200;64;158;39;71;108;3;11
107;Zuidwest-Drenthe (CR);2011;508;132;64;67;38;82;115;3;7
108;Noord-Overijssel (CR);2008;2744;878;542;394;139;325;427;13;26
109;Noord-Overijssel (CR);2009;2094;660;436;254;107;218;379;14;27
110;Noord-Overijssel (CR);2010;2217;575;525;385;95;232;368;9;28
111;Noord-Overijssel (CR);2011;2382;738;569;340;135;211;360;8;21
112;Zuidwest-Overijssel (CR);2008;876;208;100;78;212;111;151;6;10
113;Zuidwest-Overijssel (CR);2009;602;190;86;31;47;109;122;6;11
114;Zuidwest-Overijssel (CR);2010;568;143;91;40;73;79;124;4;14
115;Zuidwest-Overijssel (CR);2011;692;197;126;68;83;84;122;3;9
116;Twente (CR);2008;3724;1333;493;330;219;624;660;11;53
117;Twente (CR);2009;3456;1042;455;415;213;675;604;13;39
118;Twente (CR);2010;2892;891;356;394;179;416;592;9;55
119;Twente (CR);2011;3583;994;440;427;298;727;653;8;36
120;Veluwe (CR);2008;4573;1773;674;464;266;514;814;8;60
121;Veluwe (CR);2009;4768;1450;1338;520;205;435;746;9;65
122;Veluwe (CR);2010;4097;1251;892;616;211;378;671;7;71
123;Veluwe (CR);2011;4673;1347;1148;718;253;426;729;6;47
124;Achterhoek (CR);2008;2439;811;592;160;149;331;358;16;22
125;Achterhoek (CR);2009;2458;821;629;309;101;241;315;19;22
126;Achterhoek (CR);2010;2140;743;455;273;84;221;322;11;30
127;Achterhoek (CR);2011;2212;681;575;238;123;237;330;10;20
128;Arnhem/Nijmegen (CR);2008;4549;1740;795;365;221;509;853;13;52
129;Arnhem/Nijmegen (CR);2009;4111;1691;712;307;185;410;738;13;55
130;Arnhem/Nijmegen (CR);2010;3456;1253;610;279;162;333;729;17;74
131;Arnhem/Nijmegen (CR);2011;4254;1341;890;639;189;336;797;15;48
132;Zuidwest-Gelderland (CR);2008;1863;481;257;274;328;219;245;48;13
133;Zuidwest-Gelderland (CR);2009;1641;455;262;258;158;219;229;43;17
134;Zuidwest-Gelderland (CR);2010;1536;427;182;369;102;194;190;50;21
135;Zuidwest-Gelderland (CR);2011;1592;508;194;294;121;194;220;46;14
136;Utrecht (CR);2008;10817;2620;1560;1528;1979;881;2117;27;107
137;Utrecht (CR);2009;9559;2494;1756;1483;1263;711;1709;26;117
138;Utrecht (CR);2010;9965;2223;1434;2220;1453;749;1690;29;167
139;Utrecht (CR);2011;10494;2574;1872;1736;1263;1019;1889;26;115
140;Kop van Noord-Holland (CR);2008;2361;752;479;321;151;273;344;13;29
141;Kop van Noord-Holland (CR);2009;2067;636;396;326;118;195;352;11;33
142;Kop van Noord-Holland (CR);2010;1827;504;315;292;99;216;347;13;39
143;Kop van Noord-Holland (CR);2011;1904;508;319;308;125;269;337;12;26
144;Alkmaar en omgeving (CR);2008;1334;471;209;89;142;154;253;1;16
145;Alkmaar en omgeving (CR);2009;1157;378;226;98;75;114;244;1;20
146;Alkmaar en omgeving (CR);2010;1353;386;383;92;70;161;233;1;26
147;Alkmaar en omgeving (CR);2011;1804;350;707;68;90;309;263;1;17
148;IJmond (CR);2008;1121;321;188;96;65;222;220;0;9
149;IJmond (CR);2009;1348;296;160;115;67;494;208;0;9
150;IJmond (CR);2010;854;207;154;79;64;146;188;1;15
151;IJmond (CR);2011;757;193;125;50;59;123;198;0;9
152;Agglomeratie Haarlem (CR);2008;913;261;145;95;53;126;217;0;16
153;Agglomeratie Haarlem (CR);2009;981;364;157;92;49;97;206;0;17
154;Agglomeratie Haarlem (CR);2010;1149;536;141;128;45;74;205;0;20
155;Agglomeratie Haarlem (CR);2011;1201;473;151;91;168;97;208;0;14
156;Zaanstreek (CR);2008;1138;455;238;181;37;89;128;0;9
157;Zaanstreek (CR);2009;1078;388;200;217;70;98;94;0;11
158;Zaanstreek (CR);2010;862;305;135;130;27;129;120;0;15
159;Zaanstreek (CR);2011;728;255;74;135;34;105;117;0;8
160;Groot-Amsterdam (CR);2008;12862;3249;1546;843;2190;1456;3441;3;135
161;Groot-Amsterdam (CR);2009;11860;2590;1711;1278;1705;1813;2604;2;158
162;Groot-Amsterdam (CR);2010;10370;2279;1321;876;1363;1504;2808;3;217
163;Groot-Amsterdam (CR);2011;9728;2265;997;885;1562;988;2859;3;168
164;Het Gooi en Vechtstreek (CR);2008;1188;426;155;42;94;140;313;0;17
165;Het Gooi en Vechtstreek (CR);2009;1113;385;185;48;51;125;302;0;18
166;Het Gooi en Vechtstreek (CR);2010;1106;450;159;60;37;98;270;0;31
167;Het Gooi en Vechtstreek (CR);2011;1193;414;136;147;97;106;273;0;18
168;Agglomeratie Leiden en Bollenstreek (CR);2008;2507;1034;362;125;296;223;442;1;24
169;Agglomeratie Leiden en Bollenstreek (CR);2009;2084;793;318;136;164;221;421;1;29
170;Agglomeratie Leiden en Bollenstreek (CR);2010;2156;836;390;106;163;177;445;1;37
171;Agglomeratie Leiden en Bollenstreek (CR);2011;2520;961;529;119;143;270;474;1;24
172;Agglomeratie 's-Gravenhage (CR);2008;6800;2495;1628;210;516;491;1366;0;95
173;Agglomeratie 's-Gravenhage (CR);2009;5982;1839;1257;374;366;774;1259;0;113
174;Agglomeratie 's-Gravenhage (CR);2010;5022;1350;987;326;428;571;1233;0;127
175;Agglomeratie 's-Gravenhage (CR);2011;4387;1087;717;417;372;509;1202;0;84
176;Delft en Westland (CR);2008;1545;353;360;54;134;299;328;1;16
177;Delft en Westland (CR);2009;1396;377;285;86;102;259;264;1;23
178;Delft en Westland (CR);2010;1363;467;217;84;79;220;266;1;29
179;Delft en Westland (CR);2011;1295;330;173;84;110;297;281;1;19
180;Oost-Zuid-Holland (CR);2008;2266;668;319;236;459;243;317;5;18
181;Oost-Zuid-Holland (CR);2009;1964;703;278;304;176;196;283;3;21
182;Oost-Zuid-Holland (CR);2010;1636;611;148;269;179;150;251;3;25
183;Oost-Zuid-Holland (CR);2011;1854;653;251;246;237;173;276;3;15
184;Groot-Rijnmond (CR);2008;11651;2888;1550;1804;1413;2010;1877;8;102
185;Groot-Rijnmond (CR);2009;9888;2729;1503;1394;1054;1437;1649;7;116
186;Groot-Rijnmond (CR);2010;10590;2425;1382;1265;1272;2299;1770;9;167
187;Groot-Rijnmond (CR);2011;10761;2247;1327;1937;1148;2243;1745;8;107
188;Zuidoost-Zuid-Holland (CR);2008;2986;647;347;827;240;481;408;8;28
189;Zuidoost-Zuid-Holland (CR);2009;3090;782;290;985;229;411;357;8;27
190;Zuidoost-Zuid-Holland (CR);2010;2795;694;244;962;177;298;373;7;40
191;Zuidoost-Zuid-Holland (CR);2011;2638;530;387;788;177;340;381;7;29
192;Zeeuwsch-Vlaanderen (CR);2008;811;205;100;47;98;244;103;7;5
193;Zeeuwsch-Vlaanderen (CR);2009;864;152;96;46;216;261;80;7;6
194;Zeeuwsch-Vlaanderen (CR);2010;829;162;109;49;247;167;80;8;8
195;Zeeuwsch-Vlaanderen (CR);2011;1466;232;91;100;442;481;107;8;5
196;Overig Zeeland (CR);2008;2063;720;267;95;125;529;269;38;20
197;Overig Zeeland (CR);2009;1789;641;225;168;99;361;238;36;20
198;Overig Zeeland (CR);2010;1697;568;205;304;52;266;232;44;25
199;Overig Zeeland (CR);2011;1542;557;227;175;71;209;245;41;17
200;West-Noord-Brabant (CR);2008;4545;1264;649;533;324;985;736;11;44
201;West-Noord-Brabant (CR);2009;4208;1262;603;648;218;761;654;12;49
202;West-Noord-Brabant (CR);2010;3830;1050;494;683;184;717;625;15;63
203;West-Noord-Brabant (CR);2011;4694;1130;605;651;943;617;691;13;43
204;Midden-Noord-Brabant (CR);2008;3167;997;644;208;430;352;495;9;33
205;Midden-Noord-Brabant (CR);2009;2726;875;532;205;276;352;439;10;37
206;Midden-Noord-Brabant (CR);2010;2519;819;482;206;249;268;445;8;42
207;Midden-Noord-Brabant (CR);2011;2506;786;379;191;249;409;457;7;29
208;Noordoost-Noord-Brabant (CR);2008;4834;1699;864;413;422;584;792;15;44
209;Noordoost-Noord-Brabant (CR);2009;4413;1405;917;581;277;504;660;21;47
210;Noordoost-Noord-Brabant (CR);2010;4188;1292;841;625;199;475;677;17;62
211;Noordoost-Noord-Brabant (CR);2011;4743;1261;824;836;253;775;735;15;44
212;Zuidoost-Noord-Brabant (CR);2008;5651;2088;756;464;384;846;1048;12;52
213;Zuidoost-Noord-Brabant (CR);2009;4978;1962;678;364;264;712;925;20;53
214;Zuidoost-Noord-Brabant (CR);2010;4671;1623;705;324;181;756;1000;13;69
215;Zuidoost-Noord-Brabant (CR);2011;4265;1424;766;247;233;662;869;12;52
216;Noord-Limburg (CR);2008;1785;598;344;68;107;345;300;7;18
217;Noord-Limburg (CR);2009;1596;489;304;60;192;263;258;9;20
218;Noord-Limburg (CR);2010;1454;457;320;71;74;227;267;16;24
219;Noord-Limburg (CR);2011;1668;465;336;89;104;358;287;15;15
220;Midden-Limburg (CR);2008;1697;514;279;316;93;249;228;6;14
221;Midden-Limburg (CR);2009;1345;440;184;283;60;158;198;7;15
222;Midden-Limburg (CR);2010;1404;389;329;227;47;194;191;9;17
223;Midden-Limburg (CR);2011;1634;457;414;135;61;337;208;9;12
224;Zuid-Limburg (CR);2008;3744;1277;496;262;182;740;733;13;41
225;Zuid-Limburg (CR);2009;2936;941;409;256;130;554;588;12;46
226;Zuid-Limburg (CR);2010;2309;623;330;197;106;455;523;16;60
227;Zuid-Limburg (CR);2011;2156;516;203;147;145;526;565;14;40
228;Flevoland (CR);2008;2747;868;566;133;417;372;351;18;21
229;Flevoland (CR);2009;3003;891;460;185;842;253;332;17;22
230;Flevoland (CR);2010;4404;888;480;197;1669;764;359;18;28
231;Flevoland (CR);2011;3686;751;341;154;1737;296;371;16;19
232;Utrecht-West (CP);2008;914;311;116;109;102;97;162;8;9
233;Utrecht-West (CP);2009;781;250;92;147;49;93;133;7;9
234;Utrecht-West (CP);2010;782;276;101;146;41;64;133;8;15
235;Utrecht-West (CP);2011;719;254;77;88;49;98;140;6;8
236;Stadsgewest Amersfoort (CP);2008;2180;796;430;178;201;158;393;2;22
237;Stadsgewest Amersfoort (CP);2009;1692;466;422;174;119;121;363;2;25
238;Stadsgewest Amersfoort (CP);2010;1484;417;225;172;197;102;336;1;33
239;Stadsgewest Amersfoort (CP);2011;1539;430;234;130;209;135;378;1;22
240;Stadsgewest Utrecht (CP);2008;6901;1149;900;1214;1628;544;1394;12;59
241;Stadsgewest Utrecht (CP);2009;6413;1513;1135;1128;1055;438;1066;12;67
242;Stadsgewest Utrecht (CP);2010;7082;1353;971;1858;1179;525;1088;14;93
243;Stadsgewest Utrecht (CP);2011;7466;1627;1392;1469;961;712;1220;14;71
244;Zuidoost-Utrecht (CP);2008;822;364;114;27;47;81;167;4;18
245;Zuidoost-Utrecht (CP);2009;673;264;108;34;39;59;147;5;17
246;Zuidoost-Utrecht (CP);2010;617;176;137;44;36;59;134;5;26
247;Zuidoost-Utrecht (CP);2011;770;264;169;48;44;75;151;5;14
248;Amsterdam (CP);2008;6786;2071;861;511;451;701;2085;0;106
249;Amsterdam (CP);2009;5907;1720;903;512;350;670;1632;0;120
250;Amsterdam (CP);2010;5719;1509;727;434;313;687;1878;0;171
251;Amsterdam (CP);2011;5724;1546;641;423;512;465;1997;0;140
252;Overig Agglomeratie Amsterdam (CP);2008;1093;352;125;63;33;132;377;1;10
253;Overig Agglomeratie Amsterdam (CP);2009;1402;342;276;57;45;420;248;0;15
254;Overig Agglomeratie Amsterdam (CP);2010;1416;357;116;56;347;286;234;0;19
255;Overig Agglomeratie Amsterdam (CP);2011;803;351;102;22;46;42;229;0;11
256;Edam-Volendam en omgeving (CP);2008;575;234;51;87;35;69;92;2;5
257;Edam-Volendam en omgeving (CP);2009;545;195;65;117;37;47;77;1;6
258;Edam-Volendam en omgeving (CP);2010;631;225;51;102;104;61;78;2;7
259;Edam-Volendam en omgeving (CP);2011;560;249;48;85;33;48;91;2;5
260;Haarlemmermeer en omgeving (CP);2008;4409;591;510;182;1671;553;886;1;14
261;Haarlemmermeer en omgeving (CP);2009;4005;333;467;592;1272;677;646;0;18
262;Haarlemmermeer en omgeving (CP);2010;2604;188;426;283;600;470;617;0;20
263;Haarlemmermeer en omgeving (CP);2011;2641;119;206;356;971;434;542;0;12
264;Aggl.'s-Gravenhage excl. Zoetermeer (CP);2008;6165;2213;1510;188;494;436;1237;0;87
265;Aggl.'s-Gravenhage excl. Zoetermeer (CP);2009;5453;1637;1186;326;339;726;1135;0;105
266;Aggl.'s-Gravenhage excl. Zoetermeer (CP);2010;4370;1126;917;231;404;473;1105;0;115
267;Aggl.'s-Gravenhage excl. Zoetermeer (CP);2011;3709;871;649;271;351;419;1072;0;77
268;Zoetermeer (CP);2008;635;282;117;22;22;55;129;0;8
269;Zoetermeer (CP);2009;529;202;72;49;27;48;124;0;9
270;Zoetermeer (CP);2010;652;224;71;95;23;99;128;0;12
271;Zoetermeer (CP);2011;678;216;68;146;21;90;129;0;7
272;Rijnmond (CP);2008;10861;2608;1427;1735;1343;1905;1750;2;92
273;Rijnmond (CP);2009;9090;2471;1331;1320;993;1351;1516;1;107
274;Rijnmond (CP);2010;9788;2184;1259;1141;1213;2200;1640;2;150
275;Rijnmond (CP);2011;9889;1943;1219;1808;1077;2132;1610;2;98
276;Overig Groot-Rijnmond (CP);2008;791;280;123;69;71;105;127;6;10
277;Overig Groot-Rijnmond (CP);2009;798;257;172;74;61;86;133;6;9
278;Overig Groot-Rijnmond (CP);2010;802;241;123;124;59;100;131;7;17
279;Overig Groot-Rijnmond (CP);2011;873;303;108;129;71;111;135;6;10
280;Drechtsteden (CP);2008;1890;303;201;620;137;347;263;0;18
281;Drechtsteden (CP);2009;1912;288;119;797;153;305;230;0;18
282;Drechtsteden (CP);2010;1805;289;97;827;115;196;253;0;27
283;Drechtsteden (CP);2011;1707;261;160;677;119;214;256;0;20
284;Overig Zuidoost-Zuid-Holland (CP);2008;1095;343;145;207;102;134;145;8;10
285;Overig Zuidoost-Zuid-Holland (CP);2009;1178;494;171;188;76;106;127;8;9
286;Overig Zuidoost-Zuid-Holland (CP);2010;990;405;147;135;62;102;119;7;13
287;Overig Zuidoost-Zuid-Holland (CP);2011;931;270;227;110;57;126;125;6;9
288;Stadsgewest 's-Hertogenbosch (CP);2008;2540;902;391;258;289;222;448;4;25
289;Stadsgewest 's-Hertogenbosch (CP);2009;2234;672;398;407;166;185;373;5;28
290;Stadsgewest 's-Hertogenbosch (CP);2010;2152;588;340;522;108;174;382;3;34
291;Stadsgewest 's-Hertogenbosch (CP);2011;2637;567;341;702;131;454;411;3;27
292;Overig Noordoost-Noord-Brabant (CP);2008;2294;797;473;155;133;362;344;11;19
293;Overig Noordoost-Noord-Brabant (CP);2009;2178;733;519;174;111;319;287;16;19
294;Overig Noordoost-Noord-Brabant (CP);2010;2035;703;501;103;91;301;295;14;28
295;Overig Noordoost-Noord-Brabant (CP);2011;2106;693;483;135;122;321;324;12;17
296;Almere (CP);2008;1237;268;201;63;352;178;169;0;6
297;Almere (CP);2009;1689;401;189;90;769;82;152;0;7
298;Almere (CP);2010;2585;507;158;105;1609;55;140;0;11
299;Almere (CP);2011;2522;436;96;74;1671;92;146;0;7
300;Flevoland-Midden (CP);2008;988;427;213;62;38;102;124;10;12
301;Flevoland-Midden (CP);2009;881;362;135;85;30;117;130;9;12
302;Flevoland-Midden (CP);2010;1499;290;238;84;46;658;160;10;13
303;Flevoland-Midden (CP);2011;795;208;142;74;47;132;174;9;8
304;Noordoostpolder en Urk (CP);2008;523;173;152;8;27;92;59;8;4
305;Noordoostpolder en Urk (CP);2009;433;128;136;11;42;54;49;7;4
306;Noordoostpolder en Urk (CP);2010;320;91;84;8;14;50;59;8;5
307;Noordoostpolder en Urk (CP);2011;369;107;104;6;19;71;52;7;3
