ID;Producten;Perioden;TotaalBinnenlandseAfleveringen_1;Raffinaderijen_2;PetrochemischeIndustrie_3;InzetVoorBlending_4;Mineraal_5;Synthetisch_6
32;Basisoliën;2000 4e kwartaal;80770;0;0;77523;3247;0
33;Basisoliën;2000 2e halfjaar;162276;0;0;150438;11838;0
34;Basisoliën;2000;328532;0;0;308479;20063;-10
35;Basisoliën;2001 1e kwartaal;87311;0;0;80748;6563;0
36;Basisoliën;2001 2e kwartaal;71673;0;0;68383;3290;0
37;Basisoliën;2001 1e halfjaar;158984;0;0;149131;9853;0
38;Basisoliën;2001 3e kwartaal;69017;0;0;64413;4604;0
39;Basisoliën;2001 4e kwartaal;60040;0;0;57818;2222;0
40;Basisoliën;2001 2e halfjaar;129057;0;0;122231;6826;0
41;Basisoliën;2001;288041;0;0;271362;16679;0
42;Basisoliën;2002 1e kwartaal;70062;117;0;61266;8679;0
43;Basisoliën;2002 2e kwartaal;70081;0;0;62549;7530;2
44;Basisoliën;2002 1e halfjaar;140143;117;0;123815;16209;2
45;Basisoliën;2002 3e kwartaal;67050;0;0;63261;3789;0
46;Basisoliën;2002 4e kwartaal;67309;0;0;59148;8161;0
47;Basisoliën;2002 2e halfjaar;134359;0;0;122409;11950;0
48;Basisoliën;2002;274502;117;0;246224;28159;2
49;Basisoliën;2003 1e kwartaal;66217;0;0;60967;5250;0
50;Basisoliën;2003 2e kwartaal;62987;0;0;56020;6967;0
51;Basisoliën;2003 1e halfjaar;129204;0;0;116987;12217;0
52;Basisoliën;2003 3e kwartaal;63336;0;0;59462;3874;0
53;Basisoliën;2003 4e kwartaal;64870;0;0;57222;7648;0
54;Basisoliën;2003 2e halfjaar;128206;0;0;116684;11522;0
55;Basisoliën;2003;257410;0;0;233671;23739;0
56;Additieven;2000 1e kwartaal;9815;765;6;12132;0;-3088
57;Additieven;2000 2e kwartaal;8660;530;2;10017;0;-1889
58;Additieven;2000 1e halfjaar;18475;1295;8;22149;0;-4977
59;Additieven;2000 3e kwartaal;13864;357;8;12048;0;1451
60;Additieven;2000 4e kwartaal;12628;569;-5;9783;0;2281
61;Additieven;2000 2e halfjaar;26492;926;3;21831;0;3732
62;Additieven;2000;44967;2221;11;43980;0;-1245
63;Additieven;2001 1e kwartaal;13611;610;7;9550;0;3444
64;Additieven;2001 2e kwartaal;5315;342;12;8627;0;-3666
65;Additieven;2001 1e halfjaar;18926;952;19;18177;0;-222
66;Additieven;2001 3e kwartaal;8078;508;6;9024;0;-1460
67;Additieven;2001 4e kwartaal;13210;712;14;8543;0;3941
68;Additieven;2001 2e halfjaar;21288;1220;20;17567;0;2481
69;Additieven;2001;40214;2172;39;35744;0;2259
70;Additieven;2002 1e kwartaal;17371;756;24;8491;0;8100
71;Additieven;2002 2e kwartaal;14287;494;6;7629;0;6158
72;Additieven;2002 1e halfjaar;31658;1250;30;16120;0;14258
73;Additieven;2002 3e kwartaal;16690;612;11;8982;0;7085
74;Additieven;2002 4e kwartaal;15189;784;7;11789;0;2609
75;Additieven;2002 2e halfjaar;31879;1396;18;20771;0;9694
76;Additieven;2002;63537;2646;48;36891;0;23952
77;Additieven;2003 1e kwartaal;27066;836;0;11500;0;14730
78;Additieven;2003 2e kwartaal;5198;480;13;10608;0;-5903
79;Additieven;2003 1e halfjaar;32264;1316;13;22108;0;8827
80;Additieven;2003 3e kwartaal;8555;764;20;14267;0;-6496
81;Additieven;2003 4e kwartaal;14049;915;5;12781;0;348
82;Additieven;2003 2e halfjaar;22604;1679;25;27048;0;-6148
83;Additieven;2003;54868;2995;38;49156;0;2679
84;Smeeroliën(eindproducten);2000 1e kwartaal;-39493;0;2687;-81601;35266;4155
85;Smeeroliën(eindproducten);2000 2e kwartaal;-44265;0;2265;-81587;32276;2781
86;Smeeroliën(eindproducten);2000 1e halfjaar;-83758;0;4952;-163188;67542;6936
87;Smeeroliën(eindproducten);2000 3e kwartaal;-39415;0;2038;-74988;30292;3243
88;Smeeroliën(eindproducten);2000 4e kwartaal;-33673;0;1723;-77001;38672;2933
89;Smeeroliën(eindproducten);2000 2e halfjaar;-73088;0;3761;-151989;68964;6176
90;Smeeroliën(eindproducten);2000;-156846;0;8713;-315177;136506;13112
91;Smeeroliën(eindproducten);2001 1e kwartaal;-37358;0;1011;-75727;34343;3015
92;Smeeroliën(eindproducten);2001 2e kwartaal;-23654;0;918;-61485;33948;2965
93;Smeeroliën(eindproducten);2001 1e halfjaar;-61012;0;1929;-137212;68291;5980
94;Smeeroliën(eindproducten);2001 3e kwartaal;-26554;0;882;-62980;32616;2928
95;Smeeroliën(eindproducten);2001 4e kwartaal;-14847;0;826;-56245;37056;3516
96;Smeeroliën(eindproducten);2001 2e halfjaar;-41401;0;1708;-119225;69672;6444
97;Smeeroliën(eindproducten);2001;-102413;0;3637;-256437;137963;12424
98;Smeeroliën(eindproducten);2002 1e kwartaal;-23722;0;626;-63005;35845;2812
99;Smeeroliën(eindproducten);2002 2e kwartaal;-18545;1658;904;-61928;37366;3455
100;Smeeroliën(eindproducten);2002 1e halfjaar;-42267;1658;1530;-124933;73211;6267
101;Smeeroliën(eindproducten);2002 3e kwartaal;-24908;0;505;-62602;34186;3003
102;Smeeroliën(eindproducten);2002 4e kwartaal;-29272;0;658;-61387;28795;2662
103;Smeeroliën(eindproducten);2002 2e halfjaar;-54180;0;1163;-123989;62981;5665
104;Smeeroliën(eindproducten);2002;-96447;1658;2693;-248922;136192;11932
105;Smeeroliën(eindproducten);2003 1e kwartaal;-37729;0;0;-68547;28150;2668
106;Smeeroliën(eindproducten);2003 2e kwartaal;-19721;0;764;-58951;34823;3643
107;Smeeroliën(eindproducten);2003 1e halfjaar;-57450;0;764;-127498;62973;6311
108;Smeeroliën(eindproducten);2003 3e kwartaal;-39597;0;609;-69004;25789;3009
109;Smeeroliën(eindproducten);2003 4e kwartaal;-24097;0;1812;-65070;35048;4113
110;Smeeroliën(eindproducten);2003 2e halfjaar;-63694;0;2421;-134074;60837;7122
111;Smeeroliën(eindproducten);2003;-121144;0;3185;-261572;123810;13433
112;Smeervetten;2000 1e kwartaal;2987;0;0;1782;1194;11
113;Smeervetten;2000 2e kwartaal;2169;0;0;766;1383;20
114;Smeervetten;2000 1e halfjaar;5156;0;0;2548;2577;31
115;Smeervetten;2000 3e kwartaal;-2772;0;0;-3908;1127;9
116;Smeervetten;2000 4e kwartaal;10813;15291;0;-5801;1313;10
117;Smeervetten;2000 2e halfjaar;8041;15291;0;-9709;2440;19
118;Smeervetten;2000;13197;15291;0;-7161;5017;50
119;Smeervetten;2001 1e kwartaal;-7301;0;0;-8482;1169;12
120;Smeervetten;2001 2e kwartaal;-7449;0;0;-8612;1159;4
121;Smeervetten;2001 1e halfjaar;-14750;0;0;-17094;2328;16
122;Smeervetten;2001 3e kwartaal;11717;18347;0;-7826;1179;17
123;Smeervetten;2001 4e kwartaal;-213;2717;0;-4168;1219;19
124;Smeervetten;2001 2e halfjaar;11504;21064;0;-11994;2398;36
125;Smeervetten;2001;-3246;21064;0;-29088;4726;52
126;Smeervetten;2002 1e kwartaal;1008;0;0;-234;1213;29
127;Smeervetten;2002 2e kwartaal;-371;1861;0;-3512;1247;33
128;Smeervetten;2002 1e halfjaar;637;1861;0;-3746;2460;62
129;Smeervetten;2002 3e kwartaal;-1975;0;0;-3120;1118;27
130;Smeervetten;2002 4e kwartaal;-2807;0;0;-3710;885;18
131;Smeervetten;2002 2e halfjaar;-4782;0;0;-6830;2003;45
132;Smeervetten;2002;-4145;1861;0;-10576;4463;107
133;Smeervetten;2003 1e kwartaal;1491;0;0;583;878;30
134;Smeervetten;2003 2e kwartaal;-1562;0;0;-2798;1207;29
135;Smeervetten;2003 1e halfjaar;-71;0;0;-2215;2085;59
136;Smeervetten;2003 3e kwartaal;-2486;0;0;-3520;1012;22
137;Smeervetten;2003 4e kwartaal;-2226;0;0;-3496;1248;22
138;Smeervetten;2003 2e halfjaar;-4712;0;0;-7016;2260;44
139;Smeervetten;2003;-4783;0;0;-9231;4345;103
140;Minerale wassen;2000 1e kwartaal;21551;0;2;11;21538;0
141;Minerale wassen;2000 2e kwartaal;14249;0;2;15;14232;0
142;Minerale wassen;2000 1e halfjaar;35800;0;4;26;35770;0
143;Minerale wassen;2000 3e kwartaal;23512;0;0;8;23504;0
144;Minerale wassen;2000 4e kwartaal;40274;0;0;2073;38201;0
145;Minerale wassen;2000 2e halfjaar;63786;0;0;2081;61705;0
146;Minerale wassen;2000;99586;0;4;2107;97475;0
147;Minerale wassen;2001 1e kwartaal;5554;0;0;12;5542;0
148;Minerale wassen;2001 2e kwartaal;23378;4166;0;722;18490;0
149;Minerale wassen;2001 1e halfjaar;28932;4166;0;734;24032;0
150;Minerale wassen;2001 3e kwartaal;14296;0;0;12;14284;0
151;Minerale wassen;2001 4e kwartaal;8764;0;0;13;8751;0
152;Minerale wassen;2001 2e halfjaar;23060;0;0;25;23035;0
153;Minerale wassen;2001;51992;4166;0;759;47067;0
154;Minerale wassen;2002 1e kwartaal;2342;0;0;454;1888;0
155;Minerale wassen;2002 2e kwartaal;10533;0;0;7;10526;0
156;Minerale wassen;2002 1e halfjaar;12875;0;0;461;12414;0
157;Minerale wassen;2002 3e kwartaal;5304;0;0;16;5288;0
158;Minerale wassen;2002 4e kwartaal;23893;0;0;265;23628;0
159;Minerale wassen;2002 2e halfjaar;29197;0;0;281;28916;0
160;Minerale wassen;2002;42072;0;0;742;41330;0
161;Minerale wassen;2003 1e kwartaal;21265;0;0;438;20827;0
162;Minerale wassen;2003 2e kwartaal;7222;0;0;10;7212;0
163;Minerale wassen;2003 1e halfjaar;28487;0;0;448;28039;0
164;Minerale wassen;2003 3e kwartaal;9215;0;0;12;9203;0
165;Minerale wassen;2003 4e kwartaal;5350;0;2;1;5347;0
166;Minerale wassen;2003 2e halfjaar;14565;0;2;13;14550;0
167;Minerale wassen;2003;43052;0;2;461;42589;0
168;Bitumen;2000 1e kwartaal;93519;26161;0;26272;41086;0
169;Bitumen;2000 2e kwartaal;161056;48732;0;217;112107;0
170;Bitumen;2000 1e halfjaar;254575;74893;0;26489;153193;0
171;Bitumen;2000 3e kwartaal;110342;48607;0;333;61402;0
172;Bitumen;2000 4e kwartaal;100500;27405;0;201;72894;0
173;Bitumen;2000 2e halfjaar;210842;76012;0;534;134296;0
174;Bitumen;2000;465417;150905;0;27023;287489;0
175;Bitumen;2001 1e kwartaal;85521;29889;0;343;55289;0
176;Bitumen;2001 2e kwartaal;152106;39736;0;936;111434;0
177;Bitumen;2001 1e halfjaar;237627;69625;0;1279;166723;0
178;Bitumen;2001 3e kwartaal;160752;39299;0;1227;120226;0
179;Bitumen;2001 4e kwartaal;113339;19251;0;263;93825;0
180;Bitumen;2001 2e halfjaar;274091;58550;0;1490;214051;0
181;Bitumen;2001;511718;128175;0;2769;380774;0
182;Bitumen;2002 1e kwartaal;77066;25923;0;466;50677;0
183;Bitumen;2002 2e kwartaal;170227;51386;0;723;118118;0
184;Bitumen;2002 1e halfjaar;247293;77309;0;1189;168795;0
185;Bitumen;2002 3e kwartaal;133375;24498;0;817;108060;0
186;Bitumen;2002 4e kwartaal;84431;7999;0;1028;75404;0
187;Bitumen;2002 2e halfjaar;217806;32497;0;1845;183464;0
188;Bitumen;2002;465099;109806;0;3034;352259;0
189;Bitumen;2003 1e kwartaal;25608;0;0;1112;24496;0
190;Bitumen;2003 2e kwartaal;110266;0;0;8294;101972;0
191;Bitumen;2003 1e halfjaar;135874;0;0;9406;126468;0
192;Bitumen;2003 3e kwartaal;98449;0;0;1416;97033;0
193;Bitumen;2003 4e kwartaal;71040;0;0;0;71040;0
194;Bitumen;2003 2e halfjaar;169489;0;0;1416;168073;0
195;Bitumen;2003;305363;0;0;10822;294541;0
