ID;Airports;Periods;CrossCountryFlights_1;LocalFlights_2;TotalFlights_3;Scheduled_4;NonScheduled_5;TotalArrivalsFlights_6;Scheduled_7;NonScheduled_8;TotalDeparturesFlights_9;Scheduled_10;NonScheduled_11;TotalPassengers_12;Scheduled_13;NonScheduled_14;TotalArrivalsPassengers_15;Scheduled_16;NonScheduled_17;TotalDeparturesPassengers_18;Scheduled_19;NonScheduled_20;TotalCountryOfOriginDestination_21;EuropeTotal_22;EUCountries_23;OtherEurope_24;TotalIntercontinentalPassengers_25;Africa_26;NorthAfrica_27;WestAfrica_28;CentralAfrica_29;EastAfrica_30;SouthAfrica_31;America_32;NorthAmerica_33;CentralAmerica_34;SouthAmerica_35;Asia_36;WestAsia_37;SouthEastAsia_38;NorthEastAsia_39;Oceania_40;OtherUnknown_41;Unknown_42;TotalCargo_43;ScheduledCargo_44;NonScheduledCargo_45;TotalUnloadedCargo_46;ScheduledCargo_47;NonScheduledCargo_48;TotalLoadedCargo_49;ScheduledCargo_50;NonScheduledCargo_51;TotalCountryOfOriginDestination_52;EuropeTotalCargo_53;EUCountries_54;OtherEurope_55;TotalIntercontinentalCargo_56;Africa_57;NorthAfrica_58;WestAfrica_59;CentralAfrica_60;EastAfrica_61;SouthAfrica_62;America_63;NorthAmerica_64;CentralAmerica_65;SouthAmerica_66;Asia_67;WestAsia_68;SouthEastAsia_69;NorthEastAsia_70;Oceania_71;OtherUnknown_72;Unknown_73;TotalMail_74;ScheduledMail_75;NonScheduledCargoMail_76;TotalUnloadedMail_77;ScheduledMail_78;NonScheduledMail_79;TotalLoadedMail_80;ScheduledMail_81;NonScheduledMail_82;TotalCountryOfOriginDestination_83;EuropeTotalMail_84;EUCountries_85;OtherEurope_86;TotalIntercontinentalMail_87;Africa_88;NorthAfrica_89;WestAfrica_90;CentralAfrica_91;EastAfrica_92;SouthAfrica_93;America_94;NorthAmerica_95;CentralAmerica_96;SouthAmerica_97;Asia_98;WestAsia_99;SouthEastAsia_100;NorthEastAsia_101;Oceania_102
10;Total Dutch airports;1999 July;46107;18988;39824;34940.0;4884;19904;17459.0;2445;19920;17481.0;2439;3753435;3048731.0;704704;1756699;1461010.0;295689;1996736;1587721.0;409015;3753435;2548119;2084124;463995;1194156;145286;68439;27096;0;29206;20545;670512;538704;63558;68250;365967;128138;116167;121662;8599;3792;11160;98533;83072;15461;45984;38802;7182;52549;44270;8279;98533;13131;10493;1926;85402;6634;580;595;0;2558;2901;33913;24762;3645;5506;42478;12363;12041;18074;691;1686;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;Total Dutch airports;1999 August;45084;18732;39908;34910.0;4998;19961;17466.0;2495;19947;17444.0;2503;3850371;3089184.0;761187;2014765;1592906.0;421859;1835606;1496278.0;339328;3850371;2584440;2106132;478308;1253165;150400;71232;28745;0;29125;21298;692770;554157;66641;71972;395456;150219;123020;122217;9011;5528;12766;92694;77639;15055;43796;36751;7045;48898;40888;8010;92695;12927;10332;1784;79768;6539;470;659;0;2847;2563;32220;23913;3245;5062;38873;12277;10984;15612;792;1344;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;Total Dutch airports;1999 September;44734;18298;38969;34641.0;4328;19478;17319.0;2159;19491;17322.0;2169;3610066;3045916.0;564150;1812291;1517400.0;294891;1797775;1528516.0;269259;3610066;2468932;2081781;387151;1127952;134339;60075;25833;0;26909;21522;634140;512282;56997;64861;350160;121234;111050;117876;8218;1095;13182;97920;80976;16944;47204;38317;8887;50716;42659;8057;97917;14047;11247;1773;83870;8204;543;591;0;4372;2698;32752;23382;3165;6205;40808;12692;12065;16051;618;1488;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;Total Dutch airports;1999 3rd quarter;135925;56018;118701;104491.0;14210;59343;52244.0;7099;59358;52247.0;7111;11213872;9183831.0;2030041;5583755;4571316.0;1012439;5630117;4612515.0;1017602;11213872;7601491;6272037;1329454;3575273;430025;199746;81674;0;85240;63365;1997422;1605143;187196;205083;1111583;399591;350237;361755;25828;10415;37108;289147;241687;47460;136984;113870;23114;152163;127817;24346;289145;40105;32072;5483;249040;21377;1593;1845;0;9777;8162;98885;72057;10055;16773;122159;37332;35090;49737;2101;4518;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;Total Dutch airports;1999 October;44734;15909;39553;35589.0;3964;19779;17789.0;1990;19774;17800.0;1974;3577374;3089281.0;488093;1806100;1539880.0;266220;1771274;1549401.0;221873;3577374;2417121;2026668;390453;1150268;137098;64478;22941;0;27628;22051;628633;501679;62796;64158;374954;134680;122041;118233;8393;1190;9985;110933;91193;19740;54340;43835;10505;56593;47358;9235;110934;14702;11502;1928;96232;9730;790;594;170;4770;3406;37226;26023;3558;7645;46322;14146;12489;19687;801;2153;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;Total Dutch airports;1999 November;41721;15551;37387;35175.0;2212;18704;17581.0;1123;18683;17594.0;1089;2889913;2698304.0;191609;1459437;1357615.0;101822;1430476;1340689.0;89787;2889913;1902396;1614143;288253;984978;123495;54467;23361;0;23166;22501;515870;394949;65438;55483;335969;105347;132419;98203;7669;1975;2539;110855;87847;23008;55106;42321;12785;55749;45526;10223;110852;12190;9317;1655;98662;10475;1012;759;74;5544;3086;35210;24390;3477;7343;49108;15915;11116;22077;1031;2838;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;Total Dutch airports;1999 December;38258;10401;35119;33105.0;2014;17592;16584.0;1008;17527;16521.0;1006;2531172;2392945.0;138227;1264854;1195387.0;69467;1266318;1197558.0;68760;2531172;1649564;1386383;263181;879668;111273;40756;25924;113;24003;20477;464360;351598;63871;48891;295176;92084;119712;83380;7553;1306;1940;111716;87828;23888;58117;44390;13727;53599;43438;10161;111719;12639;9401;1712;99080;10072;905;513;154;5617;2883;34436;23806;3629;7001;48753;16569;10996;21188;975;4844;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;Total Dutch airports;1999 4th quarter;124713;41861;112059;103869.0;8190;56075;51954.0;4121;55984;51915.0;4069;8998459;8180530.0;817929;4530391;4092882.0;437509;4468068;4087648.0;380420;8998459;5969081;5027194;941887;3014914;371866;159701;72226;113;74797;65029;1608863;1248226;192105;168532;1006099;332111;374172;299816;23615;4471;14464;333504;266868;66636;167563;130546;37017;165941;136322;29619;333505;39531;30220;5295;293974;30277;2707;1866;398;15931;9375;106872;74219;10664;21989;144183;46630;34601;62952;2807;9835;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;Total Dutch airports;1999;503775;198664;442587;403093.0;39494;221330;201572.0;19758;221257;201521.0;19736;37704030;33011657.0;4692373;18818866;16494107.0;2324759;18885164;16517550.0;2367614;37704030;25301879;21244897;4056982;12311983;1472105;646928;288309;184;286425;250259;6730288;5335910;712023;682355;3992786;1342156;1401413;1249217;95568;21236;90168;1218568;988389;230178;608008;482036;125972;610560;506353;104206;1218573;154254;121348;21910;1064317;101211;7716;8469;398;49537;35091;402575;283952;44865;73758;525545;184672;129977;210896;9266;25720;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;Total Dutch airports;2000 January;40054;11453;36446;34406.0;2040;18182;17148.0;1034;18264;17258.0;1006;2563382;2397391.0;165991;1278929;1197573.0;81356;1284453;1199818.0;84635;2563382;1653050;1385710;267340;910332;119185;45744;25839;0;25967;21635;468432;349329;66030;53073;314652;91217;135072;88363;8063;0;0;96348;76463;19885;49971;37996;11974;46377;38466;7911;96348;10732;8816;1915;85616;10437;849;601;73;5320;3595;31148;21663;3588;5898;43336;14648;11956;16732;695;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;Total Dutch airports;2000 February;40602;13621;36041;33968.0;2073;18024;16982.0;1042;18017;16986.0;1031;2641094;2464127.0;176967;1289485;1208234.0;81251;1351609;1255893.0;95716;2641094;1753422;1487079;266343;887672;120893;51152;20957;0;28116;20668;444379;328231;64948;51200;314562;91972;130297;92293;7838;0;0;105425;83185;22239;54508;41406;13102;50917;41780;9137;105425;12006;9761;2246;93419;11734;697;715;77;5832;4413;33502;23839;3391;6272;47351;17251;12742;17357;832;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;Total Dutch airports;2000 March;43728;16187;38790;36251.0;2539;19396;18121.0;1275;19394;18130.0;1264;3162563;2917721.0;244842;1603733;1481100.0;122633;1558830;1436621.0;122209;3162563;2110583;1777349;333234;1051978;133910;65545;22197;0;24842;21326;555392;432298;65897;57197;354650;114210;132135;108305;8026;0;2;114874;90134;24739;58182;44363;13819;56691;45771;10920;114874;12848;10564;2284;102025;11618;466;738;108;6356;3951;35628;25940;3735;5953;53883;20172;12958;20753;896;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;Total Dutch airports;2000 1st quarter;124384;41261;111277;104625.0;6652;55602;52251.0;3351;55675;52374.0;3301;8367039;7779239.0;587800;4172147;3886907.0;285240;4194892;3892332.0;302560;8367039;5517055;4650138;866917;2849982;373988;162441;68993;0;78925;63629;1468203;1109858;196875;161470;983864;297399;397504;288961;23927;0;2;316646;249782;66864;162661;123765;38896;153985;126017;27968;316647;35586;29141;6445;281060;33789;2012;2054;258;17508;11959;100278;71442;10714;18123;144570;52071;37656;54842;2423;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;Total Dutch airports;2000 April;43812;17560;38281;34964.0;3317;19143;17471.0;1672;19138;17493.0;1645;3326762;2985185.0;341577;1628248;1484452.0;143796;1698514;1500733.0;197781;3326762;2241068;1870313;370755;1085690;130660;63210;23761;0;23023;20666;575714;462896;58643;54175;371650;129864;124354;117432;7666;0;4;104199;82779;21420;51998;40452;11546;52201;42327;9874;104199;12129;9958;2171;92068;11216;1272;726;130;4992;4097;31891;23183;2933;5776;48002;16701;10850;20451;959;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;Total Dutch airports;2000 May;47975;17011;41972;37136.0;4836;20995;18569.0;2426;20977;18567.0;2410;3706883;3132773.0;574110;1845433;1569075.0;276358;1861450;1563698.0;297752;3706883;2602356;2154141;448215;1104523;117623;53218;23104;0;21799;19502;623217;516326;56380;50511;355707;122601;113051;120055;7976;0;4;101166;78379;22787;49186;37005;12181;51980;41373;10607;101166;11493;9366;2127;89673;11370;1427;961;156;5420;3406;31907;23223;3171;5513;45556;13420;11906;20230;840;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;Total Dutch airports;2000 June;46890;15620;40483;35712.0;4771;20248;17855.0;2393;20235;17857.0;2378;3661177;3071306.0;589871;1829019;1543713.0;285306;1832158;1527593.0;304565;3661177;2540998;2065738;475260;1120179;118850;48088;24193;0;27833;18736;655471;545320;57187;52964;339040;110585;110128;118327;6818;0;0;99010;79442;19568;47908;37947;9961;51102;41495;9607;99010;11014;9009;2005;87996;8967;1539;526;76;2691;4135;32308;23924;3325;5060;45690;12926;12299;20465;1031;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;Total Dutch airports;2000 2nd quarter;138677;50191;120736;107812.0;12924;60386;53895.0;6491;60350;53917.0;6433;10694822;9189264.0;1505558;5302700;4597240.0;705460;5392122;4592024.0;800098;10694822;7384422;6090192;1294230;3310392;367133;164516;71058;0;72655;58904;1854402;1524542;172210;157650;1066397;363050;347533;355814;22460;0;8;304375;240599;63775;149092;115404;33688;155283;125195;30088;304375;34636;28333;6303;269737;31553;4238;2213;362;13103;11638;96106;70330;9429;16349;139248;43047;35055;61146;2830;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Total Dutch airports;2000 July;47051;14172;42092;36620.0;5472;21045;18307.0;2738;21047;18313.0;2734;4121196;3302371.0;818825;1929467;1579632.0;349835;2191729;1722739.0;468990;4121196;2837159;2269163;567996;1284037;159020;72318;30733;0;34798;21171;714381;575286;67789;71306;403142;141439;125555;136148;7494;0;0;101607;84177;17431;45985;37638;8347;55623;46539;9084;101607;12037;9475;2562;89571;7831;981;550;68;2565;3668;32930;24276;3123;5530;47806;14729;12417;20660;1004;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;Total Dutch airports;2000 August;47748;18232;42255;36766.0;5489;21124;18383.0;2741;21131;18383.0;2748;4096727;3269160.0;827567;2150204;1692607.0;457597;1946523;1576553.0;369970;4096727;2807034;2240136;566898;1289693;169166;80133;30681;0;37520;20832;702802;562749;66755;73298;409908;150100;127893;131915;7817;0;0;97492;80452;17040;45074;36738;8336;52418;43714;8704;97492;11036;8855;2181;86455;8105;652;641;105;2884;3823;32061;23229;2977;5855;45196;12121;11854;21221;1093;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;Total Dutch airports;2000 September;45797;15208;40476;35647.0;4829;20245;17818.0;2427;20231;17829.0;2402;3897872;3232882.0;664990;1943139;1611100.0;332039;1954733;1621782.0;332951;3897872;2709597;2218964;490633;1188275;149495;65984;28002;0;35140;20369;651033;527210;59118;64705;380468;126223;121304;132941;7279;0;0;106088;85326;20762;50605;39666;10940;55483;45660;9823;106088;11944;9216;2728;94143;10035;648;551;112;4423;4301;33288;24464;3274;5549;49717;14075;13067;22575;1103;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;Total Dutch airports;2000 3rd quarter;140596;47612;124823;109033.0;15790;62414;54508.0;7906;62409;54525.0;7884;12115795;9804413.0;2311382;6022810;4883339.0;1139471;6092985;4921074.0;1171911;12115795;8353790;6728263;1625527;3762005;477681;218435;89416;0;107458;62372;2068216;1665245;193662;209309;1193518;417762;374752;401004;22590;0;0;305187;249955;55233;141664;114042;27622;163524;135913;27611;305187;35017;27546;7471;270169;25971;2281;1742;285;9872;11792;98279;71969;9374;16934;142719;40925;37338;64456;3200;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;Total Dutch airports;2000 October;45629;13120;41254;36673.0;4581;20624;18342.0;2282;20630;18331.0;2299;3803796;3238725.0;565071;1938661;1626111.0;312550;1865135;1612614.0;252521;3803796;2627702;2150564;477138;1176094;152229;68710;26308;0;36218;20993;620993;495824;60822;64347;394934;129359;132597;132978;7938;0;0;113536;88928;24608;53843;40626;13216;59693;48302;11391;113536;12632;9574;3058;100904;12838;1032;609;161;5624;5412;34716;24709;3307;6701;52074;15163;13087;23824;1276;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Total Dutch airports;2000 November;41583;16242;37280;34848.0;2432;18640;17417.0;1223;18640;17431.0;1209;3004146;2802403.0;201743;1511732;1406413.0;105319;1492414;1395990.0;96424;3004146;1990482;1668669;321813;1013657;135438;56348;25355;0;32104;21631;521696;398413;64304;58979;348726;96316;142380;110030;7797;0;7;112475;86597;25878;53461;39281;14180;59013;47316;11698;112475;12259;9158;3102;100215;13153;1672;572;186;5362;5360;32233;22112;3605;6516;53971;16524;12171;25276;858;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;Total Dutch airports;2000 December;38626;11226;35192;32999.0;2193;17601;16499.0;1102;17591;16500.0;1091;2783392;2602254.0;181138;1360805;1275978.0;84827;1422587;1326276.0;96311;2783392;1801015;1499677;301338;982377;130309;46088;27859;0;35461;20901;505127;373751;67570;63806;338342;92897;140959;104486;8599;0;0;115491;88672;26819;57407;41926;15481;58084;46746;11337;115491;10670;7217;3454;104820;14066;1705;595;112;7147;4506;33164;22062;3734;7368;56742;18212;13241;25289;848;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;Total Dutch airports;2000 4th quarter;125838;40588;113726;104520.0;9206;56865;52258.0;4607;56861;52262.0;4599;9591334;8643382.0;947952;4811198;4308502.0;502696;4780136;4334880.0;445256;9591334;6419199;5318910;1100289;3172128;417976;171146;79522;0;103783;63525;1647816;1267988;192696;187132;1082002;318572;415936;347494;24334;0;7;341501;264197;77304;164710;121833;42878;176791;142364;34427;341502;35561;25949;9614;305939;40057;4409;1776;459;18133;15278;100113;68883;10646;20585;162787;49899;38499;74389;2982;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;Total Dutch airports;2000;529495;179652;470562;425990.0;44572;235267;212912.0;22355;235295;213078.0;22217;40768990;35416298.0;5352692;20308855;17675988.0;2632867;20460135;17740310.0;2719825;40768990;27674466;22787503;4886963;13094507;1636778;716538;308989;0;362821;248430;7038637;5567633;755443;715561;4325781;1396783;1535725;1393273;93311;0;17;1267709;1004533;263176;618126;475043;143083;649583;529490;120093;1267709;140800;110969;29831;1126908;131373;12940;7786;1364;58616;50667;394776;282624;40161;71990;589324;185942;148549;254833;11435;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;Total Dutch airports;2001 January;40679;10214;37077;34845.0;2232;18535;17420.0;1115;18542;17425.0;1117;2780249;2607337.0;172912;1410283;1321832.0;88451;1369966;1285505.0;84461;2780249;1782728;1493138;289590;997521;139257;52839;27249;0;37573;21596;495888;360595;71633;63660;353274;93247;156379;103648;9102;0;0;97733;77109;20623;50142;37490;12652;47591;39619;7971;97733;8126;5904;2222;89607;13217;1301;695;33;6450;4739;29541;20324;3426;5790;46236;15820;10651;19766;613;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;Total Dutch airports;2001 February;38034;10797;34265;32071.0;2194;17132;16028.0;1104;17133;16043.0;1090;2667331;2483083.0;184248;1304053;1219282.0;84771;1363278;1263801.0;99477;2667331;1774056;1491643;282413;893273;128837;52226;22648;338;35237;18388;432925;315078;64921;52926;324347;88845;139103;96399;7164;0;2;102591;80441;22150;50634;38139;12495;51957;42302;9655;102591;8515;6218;2299;94075;12741;1086;514;31;6196;4913;31297;20643;3824;6830;49261;16198;11368;21694;777;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;Total Dutch airports;2001 March;43282;13544;38876;36110.0;2766;19427;18056.0;1371;19449;18054.0;1395;3255834;2995739.0;260095;1651160;1519697.0;131463;1604674;1476042.0;128632;3255834;2170145;1798844;371301;1085687;145196;68309;25782;0;30774;20331;554418;424649;72997;56772;380875;118069;144062;118744;5198;0;2;114783;90600;24183;55968;42789;13179;58815;47811;11004;114783;9274;6977;2297;105509;13295;1184;701;100;6420;4890;33798;23217;4162;6418;57396;17921;13518;25957;1020;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;Total Dutch airports;2001 1st quarter;121995;34555;110218;103026.0;7192;55094;51504.0;3590;55124;51522.0;3602;8703414;8086159.0;617255;4365496;4060811.0;304685;4337918;4025348.0;312570;8703414;5726929;4783625;943304;2976481;413290;173374;75679;338;103584;60315;1483231;1100322;209551;173358;1058496;300161;439544;318791;21464;0;4;315106;248150;66956;156744;118418;38327;158362;129733;28630;315106;25915;19098;6817;289191;39253;3572;1909;164;19066;14542;94636;64185;11413;19038;152893;49939;35538;67417;2409;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;Total Dutch airports;2001 April;42412;15688;37447;34255.0;3192;18730;17122.0;1608;18717;17133.0;1584;3457934;3130100.0;327834;1698837;1559294.0;139543;1759097;1570806.0;188291;3457934;2346581;1942338;404243;1111353;136443;59473;27434;0;27429;22107;598527;472190;65935;60402;376383;126168;135299;114916;0;0;0;100397;79307;21090;48364;36427;11937;52033;42880;9153;100397;8811;6386;2425;91586;12666;1678;778;87;5787;4336;29815;19858;3595;6361;48452;13911;13888;20653;653;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;Total Dutch airports;2001 May;47094;15095;41159;36385.0;4774;20572;18188.0;2384;20587;18197.0;2390;3782078;3170367.0;611711;1880738;1592508.0;288230;1901340;1577859.0;323481;3782078;2684492;2164005;520487;1097560;123465;53362;24597;0;25390;20116;618800;498546;63237;57017;355295;118287;122319;114689;0;0;26;97772;78458;19315;46306;35716;10590;51466;42742;8725;97772;8718;6696;2022;89054;12008;1624;663;93;5102;4526;30216;20119;3834;6263;46179;13728;13853;18597;652;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
