ID;EmploymentType;SectorBranchesSIC2008;Periods;EmployedPersons_1;EmployedPersonsSeasonalAdjusted_2;Jobs_3;JobsSeasonalAdjusted_4;HoursWorked_5;HoursWorkedSeasonalAdjusted_6;EmployedPersons_7;Jobs_8;EmployedPersonsSeasonalAdjusted_9;JobsSeasonalAdjusted_10
18;Total;A-U All economic activities;1998 4th quarter;7877.0;7899.0;8699.0;8727.0;3103.0;2911.0;160.0;204.0;44.0;54.0
19;Total;A-U All economic activities;1998;7830.0;;8645.0;;11578.0;;181.0;224.0;;
20;Total;A-U All economic activities;1999 1st quarter;7900.0;7987.0;8718.0;8809.0;2991.0;2952.0;232.0;252.0;88.0;82.0
21;Total;A-U All economic activities;1999 2nd quarter;8069.0;8034.0;8904.0;8867.0;2890.0;2974.0;226.0;245.0;47.0;59.0
22;Total;A-U All economic activities;1999 3rd quarter;8145.0;8072.0;8988.0;8906.0;2767.0;2988.0;218.0;235.0;38.0;39.0
23;Total;A-U All economic activities;1999 4th quarter;8102.0;8110.0;8938.0;8945.0;3250.0;3019.0;224.0;240.0;38.0;38.0
24;Total;A-U All economic activities;1999;8055.0;;8888.0;;11899.0;;225.0;243.0;;
25;Total;A-U All economic activities;2000 1st quarter;8033.0;8129.0;8846.0;8955.0;3128.0;3015.0;133.0;128.0;19.0;11.0
26;Total;A-U All economic activities;2000 2nd quarter;8218.0;8181.0;9046.0;9007.0;2972.0;3061.0;149.0;142.0;53.0;52.0
27;Total;A-U All economic activities;2000 3rd quarter;8302.0;8230.0;9135.0;9053.0;2753.0;3007.0;157.0;147.0;49.0;46.0
28;Total;A-U All economic activities;2000 4th quarter;8257.0;8272.0;9078.0;9090.0;3157.0;3026.0;155.0;140.0;42.0;36.0
29;Total;A-U All economic activities;2000;8203.0;;9027.0;;12010.0;;148.0;139.0;;
30;Total;A-U All economic activities;2001 1st quarter;8228.0;8319.0;9007.0;9115.0;3136.0;3052.0;195.0;161.0;47.0;25.0
31;Total;A-U All economic activities;2001 2nd quarter;8390.0;8355.0;9178.0;9140.0;2972.0;3067.0;173.0;132.0;35.0;25.0
32;Total;A-U All economic activities;2001 3rd quarter;8460.0;8389.0;9250.0;9170.0;2812.0;3072.0;157.0;115.0;34.0;30.0
33;Total;A-U All economic activities;2001 4th quarter;8387.0;8408.0;9169.0;9188.0;3246.0;3076.0;131.0;91.0;19.0;18.0
34;Total;A-U All economic activities;2001;8367.0;;9152.0;;12166.0;;164.0;125.0;;
35;Total;A-U All economic activities;2002 1st quarter;8335.0;8419.0;9103.0;9202.0;3108.0;3054.0;107.0;96.0;12.0;14.0
36;Total;A-U All economic activities;2002 2nd quarter;8469.0;8430.0;9252.0;9208.0;2952.0;3056.0;79.0;74.0;11.0;6.0
37;Total;A-U All economic activities;2002 3rd quarter;8495.0;8435.0;9279.0;9211.0;2834.0;3056.0;36.0;29.0;5.0;3.0
38;Total;A-U All economic activities;2002 4th quarter;8407.0;8437.0;9182.0;9211.0;3211.0;3043.0;20.0;13.0;1.0;-1.0
39;Total;A-U All economic activities;2002;8427.0;;9204.0;;12104.0;;60.0;53.0;;
40;Total;A-U All economic activities;2003 1st quarter;8351.0;8411.0;9103.0;9176.0;3097.0;3040.0;16.0;0.0;-26.0;-35.0
41;Total;A-U All economic activities;2003 2nd quarter;8419.0;8389.0;9181.0;9147.0;2910.0;3024.0;-50.0;-71.0;-22.0;-29.0
42;Total;A-U All economic activities;2003 3rd quarter;8420.0;8363.0;9188.0;9122.0;2800.0;3012.0;-75.0;-91.0;-26.0;-24.0
43;Total;A-U All economic activities;2003 4th quarter;8331.0;8353.0;9090.0;9120.0;3158.0;2995.0;-76.0;-91.0;-10.0;-2.0
44;Total;A-U All economic activities;2003;8380.0;;9141.0;;11965.0;;-47.0;-64.0;;
45;Total;A-U All economic activities;2004 1st quarter;8212.0;8279.0;9006.0;9082.0;3099.0;3004.0;-139.0;-97.0;-74.0;-38.0
46;Total;A-U All economic activities;2004 2nd quarter;8322.0;8289.0;9127.0;9090.0;2881.0;3003.0;-97.0;-54.0;10.0;9.0
47;Total;A-U All economic activities;2004 3rd quarter;8351.0;8298.0;9163.0;9103.0;2798.0;3002.0;-69.0;-25.0;8.0;13.0
48;Total;A-U All economic activities;2004 4th quarter;8254.0;8283.0;9061.0;9098.0;3218.0;2988.0;-77.0;-29.0;-14.0;-5.0
49;Total;A-U All economic activities;2004;8285.0;;9089.0;;11996.0;;-95.0;-52.0;;
50;Total;A-U All economic activities;2005 1st quarter;8256.0;8311.0;9084.0;9139.0;3050.0;2984.0;44.0;78.0;27.0;42.0
51;Total;A-U All economic activities;2005 2nd quarter;8370.0;8337.0;9208.0;9168.0;2923.0;2991.0;49.0;81.0;26.0;29.0
52;Total;A-U All economic activities;2005 3rd quarter;8402.0;8356.0;9244.0;9193.0;2808.0;3006.0;51.0;80.0;19.0;25.0
53;Total;A-U All economic activities;2005 4th quarter;8330.0;8365.0;9164.0;9210.0;3175.0;3017.0;76.0;103.0;9.0;17.0
54;Total;A-U All economic activities;2005;8340.0;;9175.0;;11956.0;;55.0;86.0;;
55;Total;A-U All economic activities;2006 1st quarter;8397.0;8441.0;9248.0;9298.0;3186.0;3046.0;141.0;164.0;76.0;88.0
56;Total;A-U All economic activities;2006 2nd quarter;8509.0;8474.0;9379.0;9339.0;2929.0;3036.0;138.0;171.0;33.0;41.0
57;Total;A-U All economic activities;2006 3rd quarter;8572.0;8530.0;9457.0;9410.0;2844.0;3070.0;170.0;213.0;57.0;72.0
58;Total;A-U All economic activities;2006 4th quarter;8605.0;8635.0;9493.0;9531.0;3230.0;3105.0;275.0;330.0;105.0;121.0
59;Total;A-U All economic activities;2006;8521.0;;9395.0;;12189.0;;181.0;220.0;;
60;Total;A-U All economic activities;2007 1st quarter;8629.0;8673.0;9536.0;9581.0;3250.0;3139.0;232.0;287.0;38.0;50.0
61;Total;A-U All economic activities;2007 2nd quarter;8783.0;8753.0;9705.0;9672.0;3017.0;3164.0;274.0;326.0;80.0;91.0
62;Total;A-U All economic activities;2007 3rd quarter;8850.0;8807.0;9785.0;9737.0;2937.0;3165.0;279.0;328.0;54.0;65.0
63;Total;A-U All economic activities;2007 4th quarter;8822.0;8844.0;9755.0;9783.0;3332.0;3171.0;217.0;261.0;37.0;45.0
64;Total;A-U All economic activities;2007;8772.0;;9696.0;;12537.0;;251.0;301.0;;
65;Total;A-U All economic activities;2008 1st quarter;8843.0;8889.0;9792.0;9840.0;3282.0;3203.0;214.0;256.0;45.0;58.0
66;Total;A-U All economic activities;2008 2nd quarter;8936.0;8914.0;9901.0;9869.0;3082.0;3206.0;153.0;196.0;25.0;28.0
67;Total;A-U All economic activities;2008 3rd quarter;8965.0;8923.0;9933.0;9892.0;3008.0;3196.0;115.0;148.0;9.0;23.0
68;Total;A-U All economic activities;2008 4th quarter;8914.0;8918.0;9877.0;9890.0;3363.0;3201.0;92.0;123.0;-5.0;-1.0
69;Total;A-U All economic activities;2008;8915.0;;9876.0;;12736.0;;143.0;180.0;;
70;Total;A-U All economic activities;2009 1st quarter;8846.0;8897.0;9823.0;9874.0;3262.0;3190.0;3.0;31.0;-21.0;-16.0
71;Total;A-U All economic activities;2009 2nd quarter;8866.0;8843.0;9843.0;9807.0;2999.0;3159.0;-71.0;-58.0;-54.0;-67.0
72;Total;A-U All economic activities;2009 3rd quarter;8844.0;8806.0;9815.0;9783.0;2961.0;3128.0;-122.0;-119.0;-37.0;-24.0
73;Total;A-U All economic activities;2009 4th quarter;8803.0;8802.0;9777.0;9786.0;3329.0;3137.0;-111.0;-101.0;-4.0;3.0
74;Total;A-U All economic activities;2009;8839.0;;9814.0;;12552.0;;-75.0;-62.0;;
75;Total;A-U All economic activities;2010 1st quarter;8687.0;8743.0;9672.0;9727.0;3156.0;3101.0;-159.0;-151.0;-59.0;-60.0
76;Total;A-U All economic activities;2010 2nd quarter;8799.0;8777.0;9824.0;9785.0;2929.0;3120.0;-66.0;-20.0;34.0;58.0
77;Total;A-U All economic activities;2010 3rd quarter;8821.0;8790.0;9827.0;9797.0;3006.0;3155.0;-22.0;12.0;13.0;13.0
78;Total;A-U All economic activities;2010 4th quarter;8806.0;8805.0;9804.0;9816.0;3372.0;3154.0;3.0;27.0;15.0;19.0
79;Total;A-U All economic activities;2010;8779.0;;9782.0;;12463.0;;-61.0;-32.0;;
80;Total;A-U All economic activities;2011 1st quarter;8783.0;8823.0;9834.0;9872.0;3226.0;3149.0;96.0;162.0;18.0;56.0
81;Total;A-U All economic activities;2011 2nd quarter;8863.0;8854.0;9947.0;9917.0;2996.0;3120.0;64.0;124.0;31.0;45.0
82;Total;A-U All economic activities;2011 3rd quarter;8902.0;8864.0;9959.0;9928.0;3031.0;3170.0;81.0;132.0;10.0;11.0
83;Total;A-U All economic activities;2011 4th quarter;8868.0;8861.0;9929.0;9924.0;3323.0;3181.0;63.0;125.0;-3.0;-4.0
84;Total;A-U All economic activities;2011;8855.0;;9918.0;;12576.0;;76.0;136.0;;
85;Total;A-U All economic activities;2012 1st quarter;8799.0;8863.0;9844.0;9922.0;3260.0;3156.0;16.0;10.0;2.0;-3.0
86;Total;A-U All economic activities;2012 2nd quarter;8871.0;8852.0;9955.0;9905.0;3008.0;3152.0;8.0;7.0;-11.0;-17.0
87;Total;A-U All economic activities;2012 3rd quarter;8852.0;8825.0;9894.0;9874.0;2959.0;3125.0;-50.0;-64.0;-27.0;-31.0
88;Total;A-U All economic activities;2012 4th quarter;8824.0;8795.0;9865.0;9836.0;3238.0;3109.0;-45.0;-64.0;-30.0;-38.0
89;Total;A-U All economic activities;2012;8837.0;;9889.0;;12465.0;;-18.0;-28.0;;
90;Total;A-U All economic activities;2013 1st quarter;8682.0;8756.0;9697.0;9784.0;3137.0;3101.0;-117.0;-147.0;-39.0;-52.0
91;Total;A-U All economic activities;2013 2nd quarter;8753.0;8737.0;9799.0;9761.0;2994.0;3125.0;-118.0;-155.0;-19.0;-23.0
92;Total;A-U All economic activities;2013 3rd quarter;8770.0;8728.0;9789.0;9750.0;2976.0;3116.0;-83.0;-105.0;-9.0;-11.0
93;Total;A-U All economic activities;2013 4th quarter;8725.0;8722.0;9737.0;9739.0;3248.0;3121.0;-99.0;-127.0;-7.0;-11.0
94;Total;A-U All economic activities;2013;8733.0;;9756.0;;12355.0;;-104.0;-134.0;;
95;Total;A-U All economic activities;2014 1st quarter;8628.0;8707.0;9639.0;9726.0;3162.0;3129.0;-54.0;-58.0;-14.0;-12.0
96;Total;A-U All economic activities;2014 2nd quarter;8745.0;8720.0;9799.0;9744.0;3002.0;3091.0;-8.0;-1.0;12.0;18.0
97;Total;A-U All economic activities;2014 3rd quarter;8750.0;8730.0;9769.0;9767.0;3001.0;3146.0;-20.0;-20.0;10.0;23.0
98;Total;A-U All economic activities;2014 4th quarter;8776.0;8744.0;9819.0;9796.0;3273.0;3145.0;51.0;81.0;14.0;30.0
99;Total;A-U All economic activities;2014;8725.0;;9757.0;;12438.0;;-8.0;1.0;;
100;Total;A-U All economic activities;2015 1st quarter;8684.0;8768.0;9736.0;9832.0;3165.0;3139.0;55.0;97.0;24.0;36.0
101;Total;A-U All economic activities;2015 2nd quarter;8816.0;8793.0;9912.0;9865.0;3004.0;3147.0;71.0;113.0;25.0;33.0
102;Total;A-U All economic activities;2015 3rd quarter;8864.0;8825.0;9934.0;9901.0;3025.0;3175.0;114.0;164.0;33.0;37.0
103;Total;A-U All economic activities;2015 4th quarter;8865.0;8858.0;9938.0;9944.0;3365.0;3199.0;89.0;120.0;33.0;42.0
104;Total;A-U All economic activities;2015;8808.0;;9881.0;;12559.0;;83.0;124.0;;
105;Total;A-U All economic activities;2016 1st quarter;8807.0;8871.0;9893.0;9956.0;3226.0;3207.0;124.0;157.0;13.0;13.0
106;Total;A-U All economic activities;2016 2nd quarter;8940.0;8919.0;10054.0;10010.0;3162.0;3238.0;125.0;143.0;47.0;54.0
107;Total;A-U All economic activities;2016 3rd quarter;8988.0;8964.0;10070.0;10054.0;3066.0;3221.0;124.0;136.0;45.0;45.0
108;Total;A-U All economic activities;2016 4th quarter;9036.0;9015.0;10125.0;10110.0;3400.0;3268.0;171.0;187.0;51.0;56.0
109;Total;A-U All economic activities;2016;8943.0;;10036.0;;12854.0;;136.0;155.0;;
110;Total;A-U All economic activities;2017 1st quarter;8997.0;9069.0;10097.0;10173.0;3359.0;3274.0;189.0;204.0;54.0;63.0
111;Total;A-U All economic activities;2017 2nd quarter;9153.0;9123.0;10295.0;10240.0;3220.0;3324.0;213.0;241.0;55.0;67.0
112;Total;A-U All economic activities;2017 3rd quarter;9214.0;9187.0;10328.0;10318.0;3146.0;3337.0;226.0;259.0;63.0;77.0
113;Total;A-U All economic activities;2017 4th quarter;9260.0;9251.0;10403.0;10394.0;3432.0;3338.0;224.0;278.0;64.0;76.0
114;Total;A-U All economic activities;2017;9157.0;;10282.0;;13156.0;;214.0;246.0;;
115;Total;A-U All economic activities;2018 1st quarter;9259.0;9324.0;10400.0;10470.0;3422.0;3367.0;263.0;303.0;73.0;77.0
116;Total;A-U All economic activities;2018 2nd quarter;9395.0;9379.0;10565.0;10535.0;3280.0;3384.0;242.0;269.0;55.0;64.0
117;Total;A-U All economic activities;2018 3rd quarter;9478.0;9441.0;10630.0;10602.0;3238.0;3434.0;264.0;301.0;63.0;67.0
118;Total;A-U All economic activities;2018 4th quarter;9495.0;9502.0;10651.0;10659.0;3570.0;3448.0;235.0;248.0;61.0;57.0
119;Total;A-U All economic activities;2018;9408.0;;10562.0;;13510.0;;251.0;280.0;;
120;Total;A-U All economic activities;2019 1st quarter;9515.0;9569.0;10662.0;10722.0;3503.0;3473.0;256.0;262.0;67.0;63.0
121;Total;A-U All economic activities;2019 2nd quarter;9632.0;9596.0;10807.0;10759.0;3409.0;3478.0;237.0;242.0;27.0;37.0
122;Total;A-U All economic activities;2019 3rd quarter;9637.0;9631.0;10793.0;10795.0;3326.0;3494.0;159.0;163.0;35.0;36.0
123;Total;A-U All economic activities;2019 4th quarter;9707.0;9669.0;10888.0;10846.0;3629.0;3516.0;212.0;237.0;38.0;51.0
124;Total;A-U All economic activities;2019;9623.0;;10788.0;;13867.0;;215.0;226.0;;
125;Total;A-U All economic activities;2020 1st quarter;9617.0;9694.0;10776.0;10852.0;3399.0;3329.0;102.0;114.0;25.0;6.0
126;Total;A-U All economic activities;2020 2nd quarter;9495.0;9459.0;10601.0;10549.0;3225.0;3356.0;-137.0;-206.0;-235.0;-303.0
127;Total;A-U All economic activities;2020 3rd quarter;9608.0;9598.0;10720.0;10723.0;3119.0;3383.0;-30.0;-72.0;139.0;174.0
128;Total;A-U All economic activities;2020 4th quarter;9616.0;9598.0;10741.0;10725.0;3566.0;3391.0;-91.0;-147.0;0.0;2.0
129;Total;A-U All economic activities;2020;9584.0;;10710.0;;13309.0;;-40.0;-79.0;;
130;Total;A-U All economic activities;2021 1st quarter;9502.0;9581.0;10663.0;10731.0;3482.0;3395.0;-115.0;-113.0;-17.0;6.0
131;Total;A-U All economic activities;2021 2nd quarter;9775.0;9720.0;10924.0;10873.0;3413.0;3479.0;280.0;323.0;139.0;142.0
132;Total;A-U All economic activities;2021 3rd quarter;9862.0;9864.0;11033.0;11043.0;3173.0;3451.0;254.0;313.0;145.0;169.0
133;Total;A-U All economic activities;2021 4th quarter;9946.0;9924.0;11136.0;11111.0;3684.0;3474.0;331.0;395.0;60.0;69.0
134;Total;A-U All economic activities;2021;9773.0;;10941.0;;13751.0;;189.0;231.0;;
135;Total;A-U All economic activities;2022 1st quarter;9954.0;10030.0;11179.0;11236.0;3708.0;3567.0;452.0;516.0;106.0;125.0
136;Total;A-U All economic activities;2022 2nd quarter;10188.0;10135.0;11388.0;11345.0;3503.0;3573.0;413.0;464.0;105.0;109.0
137;Total;A-U All economic activities;2022 3rd quarter;10194.0;10193.0;11413.0;11415.0;3317.0;3610.0;332.0;380.0;58.0;71.0
138;Total;A-U All economic activities;2022 4th quarter;10288.0;10252.0;11524.0;11483.0;3764.0;3627.0;342.0;388.0;59.0;68.0
139;Total;A-U All economic activities;2022;10157.0;;11377.0;;14292.0;;384.0;437.0;;
140;Total;A-U All economic activities;2023 1st quarter;10196.0;10280.0;11455.0;11520.0;3834.0;3642.0;242.0;275.0;28.0;38.0
141;Total;A-U All economic activities;2023 2nd quarter;10354.0;10293.0;11573.0;11528.0;3562.0;3637.0;166.0;185.0;14.0;8.0
142;Total;A-U All economic activities;2023 3rd quarter;10315.0;10318.0;11558.0;11558.0;3315.0;3645.0;121.0;145.0;25.0;30.0
143;Total;A-U All economic activities;2023 4th quarter;10386.0;10361.0;11638.0;11603.0;3746.0;3648.0;98.0;114.0;43.0;46.0
144;Total;A-U All economic activities;2023;10313.0;;11557.0;;14457.0;;156.0;179.0;;
145;Total;A-U All economic activities;2024 1st quarter;10316.0;10399.0;11572.0;11646.0;3822.0;3664.0;120.0;117.0;39.0;42.0
146;Total;A Agriculture, forestry and fishing;1995 1st quarter;223.0;235.0;279.0;292.0;101.0;106.0;;;;
147;Total;A Agriculture, forestry and fishing;1995 2nd quarter;238.0;234.0;297.0;292.0;107.0;107.0;;;-1.0;0.0
148;Total;A Agriculture, forestry and fishing;1995 3rd quarter;247.0;234.0;307.0;293.0;114.0;108.0;;;0.0;0.0
149;Total;A Agriculture, forestry and fishing;1995 4th quarter;229.0;235.0;288.0;294.0;106.0;110.0;;;1.0;1.0
150;Total;A Agriculture, forestry and fishing;1995;235.0;;293.0;;429.0;;;;;
151;Total;A Agriculture, forestry and fishing;1996 1st quarter;224.0;235.0;281.0;295.0;103.0;108.0;0.0;2.0;1.0;1.0
152;Total;A Agriculture, forestry and fishing;1996 2nd quarter;241.0;237.0;302.0;297.0;110.0;109.0;3.0;5.0;2.0;2.0
153;Total;A Agriculture, forestry and fishing;1996 3rd quarter;251.0;238.0;312.0;297.0;117.0;110.0;4.0;5.0;0.0;0.0
154;Total;A Agriculture, forestry and fishing;1996 4th quarter;233.0;238.0;291.0;297.0;108.0;111.0;3.0;3.0;0.0;-1.0
155;Total;A Agriculture, forestry and fishing;1996;237.0;;297.0;;437.0;;3.0;4.0;;
156;Total;A Agriculture, forestry and fishing;1997 1st quarter;229.0;241.0;285.0;299.0;104.0;109.0;5.0;4.0;3.0;2.0
157;Total;A Agriculture, forestry and fishing;1997 2nd quarter;245.0;242.0;303.0;299.0;111.0;110.0;4.0;2.0;1.0;0.0
158;Total;A Agriculture, forestry and fishing;1997 3rd quarter;255.0;241.0;314.0;299.0;116.0;110.0;4.0;2.0;0.0;-1.0
159;Total;A Agriculture, forestry and fishing;1997 4th quarter;235.0;239.0;292.0;297.0;106.0;110.0;3.0;1.0;-2.0;-1.0
160;Total;A Agriculture, forestry and fishing;1997;241.0;;299.0;;437.0;;4.0;2.0;;
161;Total;A Agriculture, forestry and fishing;1998 1st quarter;220.0;233.0;277.0;291.0;96.0;101.0;-8.0;-8.0;-6.0;-6.0
162;Total;A Agriculture, forestry and fishing;1998 2nd quarter;235.0;232.0;294.0;291.0;101.0;101.0;-10.0;-9.0;-1.0;-1.0
163;Total;A Agriculture, forestry and fishing;1998 3rd quarter;245.0;232.0;306.0;291.0;107.0;101.0;-10.0;-8.0;0.0;0.0
164;Total;A Agriculture, forestry and fishing;1998 4th quarter;228.0;232.0;287.0;292.0;98.0;101.0;-7.0;-6.0;1.0;1.0
165;Total;A Agriculture, forestry and fishing;1998;232.0;;291.0;;402.0;;-9.0;-8.0;;
166;Total;A Agriculture, forestry and fishing;1999 1st quarter;221.0;233.0;279.0;293.0;102.0;106.0;1.0;2.0;1.0;2.0
167;Total;A Agriculture, forestry and fishing;1999 2nd quarter;236.0;233.0;297.0;293.0;108.0;107.0;1.0;2.0;0.0;0.0
168;Total;A Agriculture, forestry and fishing;1999 3rd quarter;247.0;234.0;310.0;294.0;115.0;108.0;2.0;4.0;1.0;0.0
169;Total;A Agriculture, forestry and fishing;1999 4th quarter;231.0;235.0;290.0;295.0;107.0;109.0;3.0;4.0;1.0;2.0
170;Total;A Agriculture, forestry and fishing;1999;234.0;;294.0;;431.0;;2.0;3.0;;
171;Total;A Agriculture, forestry and fishing;2000 1st quarter;221.0;233.0;278.0;292.0;112.0;117.0;0.0;-1.0;-2.0;-3.0
172;Total;A Agriculture, forestry and fishing;2000 2nd quarter;236.0;233.0;295.0;292.0;118.0;117.0;-1.0;-2.0;0.0;0.0
173;Total;A Agriculture, forestry and fishing;2000 3rd quarter;246.0;233.0;307.0;292.0;123.0;117.0;-1.0;-2.0;0.0;0.0
174;Total;A Agriculture, forestry and fishing;2000 4th quarter;229.0;232.0;286.0;291.0;112.0;116.0;-2.0;-4.0;-1.0;0.0
175;Total;A Agriculture, forestry and fishing;2000;233.0;;292.0;;465.0;;-1.0;-2.0;;
176;Total;A Agriculture, forestry and fishing;2001 1st quarter;226.0;240.0;278.0;293.0;108.0;113.0;5.0;-1.0;7.0;1.0
177;Total;A Agriculture, forestry and fishing;2001 2nd quarter;239.0;236.0;291.0;288.0;112.0;112.0;3.0;-4.0;-3.0;-4.0
178;Total;A Agriculture, forestry and fishing;2001 3rd quarter;250.0;236.0;304.0;287.0;119.0;113.0;4.0;-4.0;0.0;-1.0
179;Total;A Agriculture, forestry and fishing;2001 4th quarter;230.0;235.0;281.0;286.0;109.0;112.0;2.0;-5.0;-1.0;-1.0
180;Total;A Agriculture, forestry and fishing;2001;237.0;;289.0;;448.0;;4.0;-3.0;;
181;Total;A Agriculture, forestry and fishing;2002 1st quarter;223.0;235.0;273.0;286.0;106.0;112.0;-3.0;-5.0;0.0;0.0
182;Total;A Agriculture, forestry and fishing;2002 2nd quarter;234.0;235.0;285.0;287.0;109.0;108.0;-5.0;-6.0;0.0;0.0
183;Total;A Agriculture, forestry and fishing;2002 3rd quarter;255.0;235.0;308.0;286.0;121.0;115.0;4.0;5.0;0.0;0.0
184;Total;A Agriculture, forestry and fishing;2002 4th quarter;230.0;236.0;281.0;287.0;109.0;110.0;0.0;0.0;1.0;0.0
185;Total;A Agriculture, forestry and fishing;2002;235.0;;287.0;;444.0;;-1.0;-2.0;;
186;Total;A Agriculture, forestry and fishing;2003 1st quarter;224.0;235.0;272.0;285.0;103.0;109.0;1.0;-1.0;0.0;-2.0
187;Total;A Agriculture, forestry and fishing;2003 2nd quarter;235.0;233.0;285.0;283.0;107.0;107.0;2.0;0.0;-2.0;-2.0
188;Total;A Agriculture, forestry and fishing;2003 3rd quarter;242.0;228.0;293.0;277.0;109.0;104.0;-13.0;-15.0;-5.0;-5.0
189;Total;A Agriculture, forestry and fishing;2003 4th quarter;219.0;223.0;269.0;272.0;101.0;102.0;-11.0;-13.0;-5.0;-6.0
190;Total;A Agriculture, forestry and fishing;2003;230.0;;280.0;;420.0;;-5.0;-7.0;;
191;Total;A Agriculture, forestry and fishing;2004 1st quarter;207.0;224.0;255.0;274.0;96.0;101.0;-18.0;-17.0;1.0;2.0
192;Total;A Agriculture, forestry and fishing;2004 2nd quarter;230.0;224.0;280.0;274.0;106.0;105.0;-6.0;-6.0;0.0;0.0
193;Total;A Agriculture, forestry and fishing;2004 3rd quarter;238.0;226.0;290.0;275.0;109.0;105.0;-3.0;-4.0;1.0;2.0
194;Total;A Agriculture, forestry and fishing;2004 4th quarter;220.0;223.0;271.0;274.0;105.0;105.0;1.0;3.0;-2.0;-2.0
195;Total;A Agriculture, forestry and fishing;2004;224.0;;274.0;;417.0;;-6.0;-6.0;;
196;Total;A Agriculture, forestry and fishing;2005 1st quarter;207.0;221.0;254.0;270.0;97.0;103.0;0.0;-1.0;-3.0;-3.0
197;Total;A Agriculture, forestry and fishing;2005 2nd quarter;224.0;219.0;272.0;268.0;106.0;104.0;-6.0;-7.0;-1.0;-2.0
198;Total;A Agriculture, forestry and fishing;2005 3rd quarter;229.0;217.0;279.0;265.0;105.0;101.0;-10.0;-11.0;-2.0;-3.0
199;Total;A Agriculture, forestry and fishing;2005 4th quarter;214.0;216.0;263.0;265.0;103.0;103.0;-6.0;-8.0;-1.0;-1.0
200;Total;A Agriculture, forestry and fishing;2005;219.0;;267.0;;411.0;;-5.0;-7.0;;
201;Total;A Agriculture, forestry and fishing;2006 1st quarter;202.0;214.0;247.0;261.0;96.0;100.0;-5.0;-7.0;-2.0;-3.0
202;Total;A Agriculture, forestry and fishing;2006 2nd quarter;213.0;212.0;260.0;259.0;99.0;98.0;-11.0;-13.0;-2.0;-3.0
203;Total;A Agriculture, forestry and fishing;2006 3rd quarter;230.0;216.0;278.0;263.0;104.0;102.0;2.0;0.0;4.0;4.0
204;Total;A Agriculture, forestry and fishing;2006 4th quarter;214.0;217.0;260.0;264.0;101.0;101.0;0.0;-3.0;1.0;1.0
205;Total;A Agriculture, forestry and fishing;2006;215.0;;261.0;;400.0;;-4.0;-6.0;;
206;Total;A Agriculture, forestry and fishing;2007 1st quarter;201.0;213.0;247.0;260.0;94.0;98.0;-1.0;0.0;-4.0;-4.0
207;Total;A Agriculture, forestry and fishing;2007 2nd quarter;215.0;214.0;261.0;260.0;99.0;99.0;2.0;1.0;1.0;1.0
