ID;EuropeanAirportsNearCities;Periods;AviationNetworkConnectivity_1
132;Paris - Charles de Gaulle;1997;191.0
133;Paris - Charles de Gaulle;1998;199.0
134;Paris - Charles de Gaulle;1999;207.0
135;Paris - Charles de Gaulle;2000;210.0
136;Paris - Charles de Gaulle;2001;218.0
137;Paris - Charles de Gaulle;2002;194.0
138;Paris - Charles de Gaulle;2003;200.0
139;Paris - Charles de Gaulle;2004;207.0
140;Paris - Charles de Gaulle;2005;207.0
141;Paris - Charles de Gaulle;2006;234.0
142;Paris - Charles de Gaulle;2007;227.0
143;Paris - Orly;1995;
144;Paris - Orly;1996;
145;Paris - Orly;1997;
146;Paris - Orly;1998;
147;Paris - Orly;1999;
148;Paris - Orly;2000;
149;Paris - Orly;2001;
150;Paris - Orly;2002;
151;Paris - Orly;2003;
152;Paris - Orly;2004;106.0
153;Paris - Orly;2005;108.0
154;Paris - Orly;2006;114.0
155;Paris - Orly;2007;125.0
156;Rome - Fiumicino;1995;
157;Rome - Fiumicino;1996;
158;Rome - Fiumicino;1997;
159;Rome - Fiumicino;1998;
160;Rome - Fiumicino;1999;
161;Rome - Fiumicino;2000;
162;Rome - Fiumicino;2001;
163;Rome - Fiumicino;2002;
164;Rome - Fiumicino;2003;
165;Rome - Fiumicino;2004;149.0
166;Rome - Fiumicino;2005;149.0
167;Rome - Fiumicino;2006;161.0
168;Rome - Fiumicino;2007;163.0
