ID;BranchesSIC2008;Periods;TurnoverIndices_1;TurnoverChange_2
65;49 Land transport ;2010 1st quarter;105.2;-2.3
66;49 Land transport ;2010 2nd quarter;117.1;1.4
67;49 Land transport ;2010 3rd quarter;114.7;3.8
68;49 Land transport ;2010 4th quarter;123.9;5.9
69;49 Land transport ;2010;115.2;2.3
70;49 Land transport ;2011 1st quarter;114.4;8.8
71;49 Land transport ;2011 2nd quarter;123.6;5.6
72;49 Land transport ;2011 3rd quarter;118.4;3.3
73;49 Land transport ;2011 4th quarter;123.0;-0.7
74;49 Land transport ;2011;119.9;4.1
75;49 Land transport ;2012 1st quarter;116.4;1.7
76;49 Land transport ;2012 2nd quarter;126.9;2.7
77;49 Land transport ;2012 3rd quarter;120.9;2.1
78;49 Land transport ;2012 4th quarter;124.6;1.2
79;49 Land transport ;2012;122.2;1.9
80;493 Passenger transport by road;2005 1st quarter;94.2;
81;493 Passenger transport by road;2005 2nd quarter;105.8;
82;493 Passenger transport by road;2005 3rd quarter;97.0;
83;493 Passenger transport by road;2005 4th quarter;103.0;
84;493 Passenger transport by road;2005;100.0;
85;493 Passenger transport by road;2006 1st quarter;94.1;-0.2
86;493 Passenger transport by road;2006 2nd quarter;106.6;0.8
87;493 Passenger transport by road;2006 3rd quarter;100.1;3.1
88;493 Passenger transport by road;2006 4th quarter;101.7;-1.2
89;493 Passenger transport by road;2006;100.6;0.6
90;493 Passenger transport by road;2007 1st quarter;101.1;7.5
91;493 Passenger transport by road;2007 2nd quarter;113.4;6.4
92;493 Passenger transport by road;2007 3rd quarter;107.8;7.7
93;493 Passenger transport by road;2007 4th quarter;116.4;14.4
94;493 Passenger transport by road;2007;109.7;9.0
95;493 Passenger transport by road;2008 1st quarter;110.2;9.0
96;493 Passenger transport by road;2008 2nd quarter;120.3;6.0
97;493 Passenger transport by road;2008 3rd quarter;115.5;7.2
98;493 Passenger transport by road;2008 4th quarter;122.0;4.8
99;493 Passenger transport by road;2008;117.0;6.7
100;493 Passenger transport by road;2009 1st quarter;118.1;7.1
101;493 Passenger transport by road;2009 2nd quarter;129.6;7.8
102;493 Passenger transport by road;2009 3rd quarter;120.4;4.2
103;493 Passenger transport by road;2009 4th quarter;128.8;5.6
104;493 Passenger transport by road;2009;124.2;6.2
105;493 Passenger transport by road;2010 1st quarter;122.1;3.4
106;493 Passenger transport by road;2010 2nd quarter;129.1;-0.4
107;493 Passenger transport by road;2010 3rd quarter;122.8;2.0
108;493 Passenger transport by road;2010 4th quarter;130.4;1.2
109;493 Passenger transport by road;2010;126.1;1.5
110;493 Passenger transport by road;2011 1st quarter;123.5;1.1
111;493 Passenger transport by road;2011 2nd quarter;133.4;3.3
112;493 Passenger transport by road;2011 3rd quarter;126.6;3.2
113;493 Passenger transport by road;2011 4th quarter;130.1;-0.2
114;493 Passenger transport by road;2011;128.4;1.8
115;493 Passenger transport by road;2012 1st quarter;126.2;2.2
116;493 Passenger transport by road;2012 2nd quarter;136.6;2.4
117;493 Passenger transport by road;2012 3rd quarter;123.2;-2.7
118;493 Passenger transport by road;2012 4th quarter;133.7;2.8
119;493 Passenger transport by road;2012;129.9;1.2
120;4932 Taxi operation;2005 1st quarter;94.7;
121;4932 Taxi operation;2005 2nd quarter;104.6;
122;4932 Taxi operation;2005 3rd quarter;94.4;
123;4932 Taxi operation;2005 4th quarter;106.3;
124;4932 Taxi operation;2005;100.0;
125;4932 Taxi operation;2006 1st quarter;100.7;6.4
126;4932 Taxi operation;2006 2nd quarter;110.3;5.4
127;4932 Taxi operation;2006 3rd quarter;102.7;8.9
128;4932 Taxi operation;2006 4th quarter;118.5;11.4
129;4932 Taxi operation;2006;108.1;8.1
130;4932 Taxi operation;2007 1st quarter;109.8;9.0
131;4932 Taxi operation;2007 2nd quarter;117.5;6.6
132;4932 Taxi operation;2007 3rd quarter;110.4;7.5
133;4932 Taxi operation;2007 4th quarter;126.4;6.7
134;4932 Taxi operation;2007;116.0;7.4
135;4932 Taxi operation;2008 1st quarter;116.6;6.2
136;4932 Taxi operation;2008 2nd quarter;128.3;9.2
137;4932 Taxi operation;2008 3rd quarter;118.5;7.3
138;4932 Taxi operation;2008 4th quarter;130.5;3.2
139;4932 Taxi operation;2008;123.5;6.4
140;4932 Taxi operation;2009 1st quarter;122.6;5.1
141;4932 Taxi operation;2009 2nd quarter;132.2;3.0
142;4932 Taxi operation;2009 3rd quarter;120.6;1.8
143;4932 Taxi operation;2009 4th quarter;136.5;4.7
144;4932 Taxi operation;2009;128.0;3.7
145;4932 Taxi operation;2010 1st quarter;122.8;0.2
146;4932 Taxi operation;2010 2nd quarter;131.5;-0.5
147;4932 Taxi operation;2010 3rd quarter;125.4;4.0
148;4932 Taxi operation;2010 4th quarter;138.6;1.5
149;4932 Taxi operation;2010;129.6;1.3
150;4932 Taxi operation;2011 1st quarter;124.5;1.4
151;4932 Taxi operation;2011 2nd quarter;135.4;3.0
152;4932 Taxi operation;2011 3rd quarter;124.4;-0.9
153;4932 Taxi operation;2011 4th quarter;138.8;0.1
154;4932 Taxi operation;2011;130.8;0.9
155;4932 Taxi operation;2012 1st quarter;130.6;4.9
156;4932 Taxi operation;2012 2nd quarter;142.0;4.9
157;4932 Taxi operation;2012 3rd quarter;122.1;-1.8
158;4932 Taxi operation;2012 4th quarter;137.9;-0.6
159;4932 Taxi operation;2012;133.1;1.8
160;4939 Other passenger transport by road;2005 1st quarter;93.2;
161;4939 Other passenger transport by road;2005 2nd quarter;107.5;
162;4939 Other passenger transport by road;2005 3rd quarter;99.9;
163;4939 Other passenger transport by road;2005 4th quarter;99.3;
164;4939 Other passenger transport by road;2005;100.0;
165;4939 Other passenger transport by road;2006 1st quarter;87.0;-6.7
166;4939 Other passenger transport by road;2006 2nd quarter;103.5;-3.7
167;4939 Other passenger transport by road;2006 3rd quarter;97.7;-2.2
168;4939 Other passenger transport by road;2006 4th quarter;85.3;-14.1
169;4939 Other passenger transport by road;2006;93.4;-6.6
170;4939 Other passenger transport by road;2007 1st quarter;92.1;5.9
171;4939 Other passenger transport by road;2007 2nd quarter;110.4;6.6
172;4939 Other passenger transport by road;2007 3rd quarter;105.9;8.4
173;4939 Other passenger transport by road;2007 4th quarter;106.5;24.9
174;4939 Other passenger transport by road;2007;103.7;11.1
175;4939 Other passenger transport by road;2008 1st quarter;103.3;12.1
176;4939 Other passenger transport by road;2008 2nd quarter;113.5;2.8
177;4939 Other passenger transport by road;2008 3rd quarter;113.0;6.7
178;4939 Other passenger transport by road;2008 4th quarter;113.5;6.5
179;4939 Other passenger transport by road;2008;110.8;6.8
180;4939 Other passenger transport by road;2009 1st quarter;113.4;9.8
181;4939 Other passenger transport by road;2009 2nd quarter;127.9;12.7
182;4939 Other passenger transport by road;2009 3rd quarter;120.5;6.7
183;4939 Other passenger transport by road;2009 4th quarter;120.0;5.8
184;4939 Other passenger transport by road;2009;120.5;8.7
185;4939 Other passenger transport by road;2010 1st quarter;121.2;6.8
186;4939 Other passenger transport by road;2010 2nd quarter;127.3;-0.4
187;4939 Other passenger transport by road;2010 3rd quarter;119.2;-1.1
188;4939 Other passenger transport by road;2010 4th quarter;120.7;0.6
189;4939 Other passenger transport by road;2010;122.1;1.4
190;4939 Other passenger transport by road;2011 1st quarter;121.4;0.2
191;4939 Other passenger transport by road;2011 2nd quarter;130.8;2.7
192;4939 Other passenger transport by road;2011 3rd quarter;127.7;7.1
193;4939 Other passenger transport by road;2011 4th quarter;120.4;-0.2
194;4939 Other passenger transport by road;2011;125.1;2.5
195;4939 Other passenger transport by road;2012 1st quarter;120.5;-0.8
196;4939 Other passenger transport by road;2012 2nd quarter;130.8;0.0
197;4939 Other passenger transport by road;2012 3rd quarter;123.1;-3.6
198;4939 Other passenger transport by road;2012 4th quarter;129.7;7.7
199;4939 Other passenger transport by road;2012;126.0;0.8
200;494 Freight transport by road;2005 1st quarter;90.2;
201;494 Freight transport by road;2005 2nd quarter;100.9;
202;494 Freight transport by road;2005 3rd quarter;99.3;
203;494 Freight transport by road;2005 4th quarter;109.6;
204;494 Freight transport by road;2005;100.0;
205;494 Freight transport by road;2006 1st quarter;101.1;12.1
206;494 Freight transport by road;2006 2nd quarter;113.3;12.2
207;494 Freight transport by road;2006 3rd quarter;110.0;10.8
208;494 Freight transport by road;2006 4th quarter;119.9;9.4
209;494 Freight transport by road;2006;111.0;11.0
210;494 Freight transport by road;2007 1st quarter;111.5;10.4
211;494 Freight transport by road;2007 2nd quarter;123.0;8.5
212;494 Freight transport by road;2007 3rd quarter;119.1;8.3
213;494 Freight transport by road;2007 4th quarter;124.9;4.2
214;494 Freight transport by road;2007;119.6;7.7
215;494 Freight transport by road;2008 1st quarter;118.0;5.8
216;494 Freight transport by road;2008 2nd quarter;129.2;5.1
217;494 Freight transport by road;2008 3rd quarter;125.7;5.5
218;494 Freight transport by road;2008 4th quarter;125.4;0.4
219;494 Freight transport by road;2008;124.6;4.1
220;494 Freight transport by road;2009 1st quarter;104.5;-11.4
221;494 Freight transport by road;2009 2nd quarter;112.0;-13.3
222;494 Freight transport by road;2009 3rd quarter;108.5;-13.7
223;494 Freight transport by road;2009 4th quarter;113.7;-9.3
224;494 Freight transport by road;2009;109.7;-12.0
225;494 Freight transport by road;2010 1st quarter;100.4;-3.9
226;494 Freight transport by road;2010 2nd quarter;114.3;2.1
227;494 Freight transport by road;2010 3rd quarter;113.2;4.3
228;494 Freight transport by road;2010 4th quarter;122.7;7.9
229;494 Freight transport by road;2010;112.6;2.7
230;494 Freight transport by road;2011 1st quarter;111.7;11.3
231;494 Freight transport by road;2011 2nd quarter;121.8;6.5
232;494 Freight transport by road;2011 3rd quarter;117.7;4.0
233;494 Freight transport by road;2011 4th quarter;121.2;-1.2
234;494 Freight transport by road;2011;118.1;4.9
235;494 Freight transport by road;2012 1st quarter;113.5;1.5
236;494 Freight transport by road;2012 2nd quarter;125.2;2.7
237;494 Freight transport by road;2012 3rd quarter;120.9;2.7
238;494 Freight transport by road;2012 4th quarter;122.2;0.8
239;494 Freight transport by road;2012;120.4;1.9
240;4941 Freight road transport, no removals;2005 1st quarter;90.2;
241;4941 Freight road transport, no removals;2005 2nd quarter;100.9;
242;4941 Freight road transport, no removals;2005 3rd quarter;99.3;
243;4941 Freight road transport, no removals;2005 4th quarter;109.6;
244;4941 Freight road transport, no removals;2005;100.0;
245;4941 Freight road transport, no removals;2006 1st quarter;101.1;12.1
246;4941 Freight road transport, no removals;2006 2nd quarter;113.3;12.2
247;4941 Freight road transport, no removals;2006 3rd quarter;110.0;10.8
248;4941 Freight road transport, no removals;2006 4th quarter;119.9;9.4
249;4941 Freight road transport, no removals;2006;111.0;11.0
250;4941 Freight road transport, no removals;2007 1st quarter;111.5;10.4
251;4941 Freight road transport, no removals;2007 2nd quarter;123.0;8.5
252;4941 Freight road transport, no removals;2007 3rd quarter;119.1;8.3
253;4941 Freight road transport, no removals;2007 4th quarter;124.9;4.2
254;4941 Freight road transport, no removals;2007;119.6;7.7
255;4941 Freight road transport, no removals;2008 1st quarter;118.0;5.8
256;4941 Freight road transport, no removals;2008 2nd quarter;129.2;5.1
257;4941 Freight road transport, no removals;2008 3rd quarter;125.7;5.5
258;4941 Freight road transport, no removals;2008 4th quarter;125.4;0.4
259;4941 Freight road transport, no removals;2008;124.6;4.1
260;4941 Freight road transport, no removals;2009 1st quarter;104.7;-11.3
261;4941 Freight road transport, no removals;2009 2nd quarter;112.4;-13.0
262;4941 Freight road transport, no removals;2009 3rd quarter;108.6;-13.6
263;4941 Freight road transport, no removals;2009 4th quarter;114.2;-8.9
264;4941 Freight road transport, no removals;2009;110.0;-11.7
265;4941 Freight road transport, no removals;2010 1st quarter;101.0;-3.5
266;4941 Freight road transport, no removals;2010 2nd quarter;115.2;2.4
267;4941 Freight road transport, no removals;2010 3rd quarter;113.6;4.6
268;4941 Freight road transport, no removals;2010 4th quarter;123.4;8.0
269;4941 Freight road transport, no removals;2010;113.3;3.0
270;4941 Freight road transport, no removals;2011 1st quarter;112.7;11.5
271;4941 Freight road transport, no removals;2011 2nd quarter;122.9;6.7
272;4941 Freight road transport, no removals;2011 3rd quarter;118.3;4.1
273;4941 Freight road transport, no removals;2011 4th quarter;121.9;-1.2
274;4941 Freight road transport, no removals;2011;118.9;5.0
275;4941 Freight road transport, no removals;2012 1st quarter;114.4;1.5
276;4941 Freight road transport, no removals;2012 2nd quarter;126.4;2.8
277;4941 Freight road transport, no removals;2012 3rd quarter;121.7;2.9
278;4941 Freight road transport, no removals;2012 4th quarter;123.1;1.0
279;4941 Freight road transport, no removals;2012;121.4;2.1
280;4942 Removal services;2005 1st quarter;;
281;4942 Removal services;2005 2nd quarter;;
282;4942 Removal services;2005 3rd quarter;;
283;4942 Removal services;2005 4th quarter;;
284;4942 Removal services;2005;;
285;4942 Removal services;2006 1st quarter;;
286;4942 Removal services;2006 2nd quarter;;
287;4942 Removal services;2006 3rd quarter;;
288;4942 Removal services;2006 4th quarter;;
289;4942 Removal services;2006;;
290;4942 Removal services;2007 1st quarter;;
291;4942 Removal services;2007 2nd quarter;;
292;4942 Removal services;2007 3rd quarter;;
293;4942 Removal services;2007 4th quarter;;
294;4942 Removal services;2007;;
295;4942 Removal services;2008 1st quarter;118.0;
296;4942 Removal services;2008 2nd quarter;129.2;
297;4942 Removal services;2008 3rd quarter;125.7;
298;4942 Removal services;2008 4th quarter;125.4;
299;4942 Removal services;2008;124.6;
300;4942 Removal services;2009 1st quarter;98.2;-16.8
301;4942 Removal services;2009 2nd quarter;99.0;-23.4
302;4942 Removal services;2009 3rd quarter;104.9;-16.5
303;4942 Removal services;2009 4th quarter;100.2;-20.1
304;4942 Removal services;2009;100.6;-19.3
305;4942 Removal services;2010 1st quarter;83.1;-15.4
306;4942 Removal services;2010 2nd quarter;91.7;-7.4
307;4942 Removal services;2010 3rd quarter;101.1;-3.7
308;4942 Removal services;2010 4th quarter;102.9;2.6
309;4942 Removal services;2010;94.7;-5.9
310;4942 Removal services;2011 1st quarter;87.0;4.7
311;4942 Removal services;2011 2nd quarter;91.2;-0.5
312;4942 Removal services;2011 3rd quarter;101.6;0.5
313;4942 Removal services;2011 4th quarter;101.8;-1.1
314;4942 Removal services;2011;95.4;0.7
315;4942 Removal services;2012 1st quarter;88.5;1.7
316;4942 Removal services;2012 2nd quarter;90.3;-1.0
317;4942 Removal services;2012 3rd quarter;98.7;-2.9
318;4942 Removal services;2012 4th quarter;96.0;-5.7
319;4942 Removal services;2012;93.4;-2.1
320;50 Water transport ;2005 1st quarter;92.6;
321;50 Water transport ;2005 2nd quarter;101.8;
322;50 Water transport ;2005 3rd quarter;104.2;
323;50 Water transport ;2005 4th quarter;101.4;
324;50 Water transport ;2005;100.0;
325;50 Water transport ;2006 1st quarter;87.4;-5.6
326;50 Water transport ;2006 2nd quarter;81.5;-19.9
327;50 Water transport ;2006 3rd quarter;83.8;-19.5
328;50 Water transport ;2006 4th quarter;79.7;-21.5
329;50 Water transport ;2006;83.1;-16.9
330;50 Water transport ;2007 1st quarter;82.6;-5.5
331;50 Water transport ;2007 2nd quarter;90.1;10.6
332;50 Water transport ;2007 3rd quarter;95.3;13.7
333;50 Water transport ;2007 4th quarter;93.3;17.0
334;50 Water transport ;2007;90.3;8.7
335;50 Water transport ;2008 1st quarter;89.7;8.6
336;50 Water transport ;2008 2nd quarter;94.1;4.4
337;50 Water transport ;2008 3rd quarter;96.1;0.9
338;50 Water transport ;2008 4th quarter;97.8;4.8
339;50 Water transport ;2008;94.4;4.5
340;50 Water transport ;2009 1st quarter;77.7;-13.4
341;50 Water transport ;2009 2nd quarter;75.8;-19.5
342;50 Water transport ;2009 3rd quarter;75.8;-21.2
343;50 Water transport ;2009 4th quarter;73.1;-25.2
344;50 Water transport ;2009;75.6;-19.9
345;50 Water transport ;2010 1st quarter;68.0;-12.4
346;50 Water transport ;2010 2nd quarter;72.7;-4.0
347;50 Water transport ;2010 3rd quarter;74.2;-2.1
348;50 Water transport ;2010 4th quarter;72.2;-1.3
349;50 Water transport ;2010;71.8;-5.0
350;50 Water transport ;2011 1st quarter;66.5;-2.3
351;50 Water transport ;2011 2nd quarter;75.3;3.6
352;50 Water transport ;2011 3rd quarter;77.7;4.7
353;50 Water transport ;2011 4th quarter;77.6;7.5
354;50 Water transport ;2011;74.3;3.5
355;50 Water transport ;2012 1st quarter;74.0;11.4
356;50 Water transport ;2012 2nd quarter;77.3;2.6
357;50 Water transport ;2012 3rd quarter;78.6;1.2
358;50 Water transport ;2012 4th quarter;80.7;4.1
359;50 Water transport ;2012;77.7;4.6
360;501-502 Sea water transport;2005 1st quarter;94.5;
361;501-502 Sea water transport;2005 2nd quarter;102.2;
362;501-502 Sea water transport;2005 3rd quarter;103.7;
363;501-502 Sea water transport;2005 4th quarter;99.7;
364;501-502 Sea water transport;2005;100.0;
365;501-502 Sea water transport;2006 1st quarter;83.6;-11.5
366;501-502 Sea water transport;2006 2nd quarter;73.9;-27.7
367;501-502 Sea water transport;2006 3rd quarter;75.0;-27.7
368;501-502 Sea water transport;2006 4th quarter;71.2;-28.6
369;501-502 Sea water transport;2006;75.9;-24.1
370;501-502 Sea water transport;2007 1st quarter;77.1;-7.8
371;501-502 Sea water transport;2007 2nd quarter;82.1;11.1
372;501-502 Sea water transport;2007 3rd quarter;87.2;16.2
373;501-502 Sea water transport;2007 4th quarter;84.5;18.8
374;501-502 Sea water transport;2007;82.7;9.0
375;501-502 Sea water transport;2008 1st quarter;81.7;5.9
376;501-502 Sea water transport;2008 2nd quarter;85.3;3.9
377;501-502 Sea water transport;2008 3rd quarter;86.8;-0.4
378;501-502 Sea water transport;2008 4th quarter;89.4;5.8
379;501-502 Sea water transport;2008;85.8;3.7
380;501-502 Sea water transport;2009 1st quarter;72.7;-11.0
381;501-502 Sea water transport;2009 2nd quarter;68.7;-19.4
382;501-502 Sea water transport;2009 3rd quarter;67.1;-22.7
383;501-502 Sea water transport;2009 4th quarter;63.3;-29.2
384;501-502 Sea water transport;2009;67.9;-20.8
385;501-502 Sea water transport;2010 1st quarter;61.4;-15.5
386;501-502 Sea water transport;2010 2nd quarter;64.1;-6.7
387;501-502 Sea water transport;2010 3rd quarter;63.5;-5.4
388;501-502 Sea water transport;2010 4th quarter;61.4;-3.0
389;501-502 Sea water transport;2010;62.6;-7.9
390;501-502 Sea water transport;2011 1st quarter;56.5;-8.0
391;501-502 Sea water transport;2011 2nd quarter;61.7;-3.7
392;501-502 Sea water transport;2011 3rd quarter;66.4;4.6
393;501-502 Sea water transport;2011 4th quarter;65.5;6.7
394;501-502 Sea water transport;2011;62.5;-0.1
395;501-502 Sea water transport;2012 1st quarter;66.2;17.1
396;501-502 Sea water transport;2012 2nd quarter;67.5;9.3
397;501-502 Sea water transport;2012 3rd quarter;69.2;4.1
398;501-502 Sea water transport;2012 4th quarter;72.4;10.5
399;501-502 Sea water transport;2012;68.8;10.0
400;503-504 Inland water transport;2005 1st quarter;85.1;
401;503-504 Inland water transport;2005 2nd quarter;100.2;
402;503-504 Inland water transport;2005 3rd quarter;106.1;
403;503-504 Inland water transport;2005 4th quarter;108.6;
404;503-504 Inland water transport;2005;100.0;
405;503-504 Inland water transport;2006 1st quarter;102.4;20.4
406;503-504 Inland water transport;2006 2nd quarter;111.8;11.6
407;503-504 Inland water transport;2006 3rd quarter;119.2;12.4
408;503-504 Inland water transport;2006 4th quarter;113.8;4.8
409;503-504 Inland water transport;2006;111.8;11.8
410;503-504 Inland water transport;2007 1st quarter;104.5;2.0
411;503-504 Inland water transport;2007 2nd quarter;122.2;9.3
412;503-504 Inland water transport;2007 3rd quarter;128.0;7.3
413;503-504 Inland water transport;2007 4th quarter;128.3;12.7
414;503-504 Inland water transport;2007;120.7;8.0
415;503-504 Inland water transport;2008 1st quarter;121.9;16.6
416;503-504 Inland water transport;2008 2nd quarter;129.4;5.9
417;503-504 Inland water transport;2008 3rd quarter;133.5;4.3
418;503-504 Inland water transport;2008 4th quarter;131.3;2.3
419;503-504 Inland water transport;2008;129.0;6.8
420;503-504 Inland water transport;2009 1st quarter;97.7;-19.9
421;503-504 Inland water transport;2009 2nd quarter;104.1;-19.5
422;503-504 Inland water transport;2009 3rd quarter;110.6;-17.1
423;503-504 Inland water transport;2009 4th quarter;112.7;-14.1
424;503-504 Inland water transport;2009;106.3;-17.6
425;503-504 Inland water transport;2010 1st quarter;94.4;-3.3
426;503-504 Inland water transport;2010 2nd quarter;107.3;3.1
427;503-504 Inland water transport;2010 3rd quarter;117.2;6.0
428;503-504 Inland water transport;2010 4th quarter;115.6;2.5
429;503-504 Inland water transport;2010;108.6;2.2
430;503-504 Inland water transport;2011 1st quarter;106.4;12.7
431;503-504 Inland water transport;2011 2nd quarter;129.9;21.0
432;503-504 Inland water transport;2011 3rd quarter;122.9;4.9
433;503-504 Inland water transport;2011 4th quarter;126.2;9.2
434;503-504 Inland water transport;2011;121.4;11.7
435;503-504 Inland water transport;2012 1st quarter;105.6;-0.7
436;503-504 Inland water transport;2012 2nd quarter;116.6;-10.2
437;503-504 Inland water transport;2012 3rd quarter;116.6;-5.2
438;503-504 Inland water transport;2012 4th quarter;114.3;-9.4
439;503-504 Inland water transport;2012;113.3;-6.6
440;51 Air transport ;2005 1st quarter;84.3;
441;51 Air transport ;2005 2nd quarter;99.5;
442;51 Air transport ;2005 3rd quarter;113.4;
443;51 Air transport ;2005 4th quarter;102.8;
444;51 Air transport ;2005;100.0;
445;51 Air transport ;2006 1st quarter;96.6;14.5
446;51 Air transport ;2006 2nd quarter;111.6;12.1
447;51 Air transport ;2006 3rd quarter;124.1;9.4
448;51 Air transport ;2006 4th quarter;110.1;7.2
449;51 Air transport ;2006;110.6;10.6
450;51 Air transport ;2007 1st quarter;104.4;8.1
451;51 Air transport ;2007 2nd quarter;121.3;8.7
452;51 Air transport ;2007 3rd quarter;131.6;6.1
453;51 Air transport ;2007 4th quarter;115.0;4.4
454;51 Air transport ;2007;118.1;6.8
455;51 Air transport ;2008 1st quarter;106.9;2.3
456;51 Air transport ;2008 2nd quarter;129.7;6.9
457;51 Air transport ;2008 3rd quarter;134.0;1.8
458;51 Air transport ;2008 4th quarter;115.5;0.5
459;51 Air transport ;2008;121.5;2.9
460;51 Air transport ;2009 1st quarter;83.6;-21.8
461;51 Air transport ;2009 2nd quarter;96.1;-25.9
462;51 Air transport ;2009 3rd quarter;112.2;-16.3
463;51 Air transport ;2009 4th quarter;99.5;-13.9
464;51 Air transport ;2009;97.8;-19.5
465;51 Air transport ;2010 1st quarter;87.3;4.4
466;51 Air transport ;2010 2nd quarter;101.9;6.0
467;51 Air transport ;2010 3rd quarter;123.5;10.1
468;51 Air transport ;2010 4th quarter;105.2;5.8
469;51 Air transport ;2010;104.5;6.8
470;51 Air transport ;2011 1st quarter;95.1;9.0
471;51 Air transport ;2011 2nd quarter;112.3;10.2
472;51 Air transport ;2011 3rd quarter;127.5;3.2
473;51 Air transport ;2011 4th quarter;108.2;2.8
474;51 Air transport ;2011;110.8;6.0
475;51 Air transport ;2012 1st quarter;101.8;7.0
476;51 Air transport ;2012 2nd quarter;120.7;7.5
477;51 Air transport ;2012 3rd quarter;138.3;8.4
478;51 Air transport ;2012 4th quarter;116.7;7.9
479;51 Air transport ;2012;119.4;7.8
480;52 Warehousing, services for transport;2005 1st quarter;92.7;
481;52 Warehousing, services for transport;2005 2nd quarter;100.4;
482;52 Warehousing, services for transport;2005 3rd quarter;100.7;
483;52 Warehousing, services for transport;2005 4th quarter;106.3;
484;52 Warehousing, services for transport;2005;100.0;
485;52 Warehousing, services for transport;2006 1st quarter;102.3;10.4
486;52 Warehousing, services for transport;2006 2nd quarter;109.9;9.4
487;52 Warehousing, services for transport;2006 3rd quarter;104.9;4.2
488;52 Warehousing, services for transport;2006 4th quarter;114.5;7.7
489;52 Warehousing, services for transport;2006;107.9;7.9
490;52 Warehousing, services for transport;2007 1st quarter;111.4;8.9
491;52 Warehousing, services for transport;2007 2nd quarter;118.3;7.7
492;52 Warehousing, services for transport;2007 3rd quarter;121.0;15.3
493;52 Warehousing, services for transport;2007 4th quarter;129.7;13.2
494;52 Warehousing, services for transport;2007;120.1;11.3
495;52 Warehousing, services for transport;2008 1st quarter;117.7;5.7
