ID;TypeOfClubSchoolAcademy;Periods;SailingAndSurfingSchools_1;SportsClubs_2;SportsSchoolsAndRidingAcademies_3;ClubsSchoolsAndRidingAcademies_4;Members_5;PeopleReceivingInstruction_6;MembersPeopleReceivingInstruction_7;TotalRevenues_8;TotalCosts_9
56;5;1988;;;;;;;;;
57;5;1990;;1710.0;;;693.0;;;84.0;80.0
58;5;1991;;;;;;;;;
59;5;1993;;1810.0;;;816.0;;;111.0;103.0
60;5;1994;;;;;;;;;
61;5;1996;;1780.0;;;737.0;;;111.0;107.0
62;5;1997;;;;;;;;;
63;5;2000;;1800.0;;;728.0;;;123.0;117.0
64;5;2003;;1810.0;;;767.0;;;148.0;142.0
65;5;2006;;1840.0;;;742.0;;;156.0;148.0
66;6;1987;;1960.0;;;133.0;;;35.0;34.0
67;6;1988;;;;;;;;;
68;6;1990;;2100.0;;;189.0;;;69.0;56.0
69;6;1991;;;;;;;;;
70;6;1993;;2270.0;;;187.0;;;67.0;62.0
71;6;1994;;;;;;;;;
72;6;1996;;1510.0;;;106.0;;;18.0;18.0
73;6;1997;;;;;;;;;
74;6;2000;;1620.0;;;114.0;;;22.0;21.0
75;6;2003;;1610.0;;;118.0;;;28.0;27.0
76;6;2006;;1710.0;;;126.0;;;38.0;35.0
77;7;1987;;;;;;;;;
78;7;1988;;;;;;;;;
79;7;1990;;;;;;;;;
80;7;1991;;;;;;;;;
81;7;1993;;;;;;;;;
82;7;1994;;;;;;;;;
83;7;1996;;;900.0;;;192.0;;77.0;71.0
84;7;1997;;;;;;;;;
85;7;2000;;;1160.0;;;205.0;;118.0;101.0
86;7;2003;;;1190.0;;;210.0;;121.0;106.0
87;7;2006;;;1460.0;;;234.0;;165.0;139.0
88;8;1987;;950.0;;;208.0;;;20.0;19.0
89;8;1988;;;;;;;;;
90;8;1990;;1000.0;;;218.0;;;23.0;23.0
91;8;1991;;;;;;;;;
92;8;1993;;1090.0;;;247.0;;;28.0;27.0
93;8;1994;;;;;;;;;
94;8;1996;;1010.0;;;178.0;;;24.0;23.0
95;8;1997;;;;;;;;;
96;8;2000;;1140.0;;;215.0;;;32.0;32.0
97;8;2003;;1150.0;;;206.0;;;33.0;32.0
98;8;2006;;1170.0;;;206.0;;;37.0;36.0
99;9;1987;;3680.0;;;336.0;;;33.0;33.0
100;9;1988;;;;;;;;;
101;9;1990;;3960.0;;;394.0;;;43.0;42.0
102;9;1991;;;;;;;;;
103;9;1993;;3880.0;;;435.0;;;51.0;50.0
104;9;1994;;;;;;;;;
105;9;1996;;3460.0;;;338.0;;;41.0;40.0
106;9;1997;;;;;;;;;
107;9;2000;;3370.0;;;334.0;;;51.0;50.0
108;9;2003;;3020.0;;;313.0;;;51.0;50.0
109;9;2006;;2880.0;;;309.0;;;57.0;56.0
110;Clubs for individual indoor sports;1987;;3290.0;;;584.0;;;42.0;41.0
111;Clubs for individual indoor sports;1988;;;;;;;;;
112;Clubs for individual indoor sports;1990;;3590.0;;;684.0;;;58.0;56.0
113;Clubs for individual indoor sports;1991;;;;;;;;;
114;Clubs for individual indoor sports;1993;;3630.0;;;632.0;;;61.0;58.0
115;Clubs for individual indoor sports;1994;;;;;;;;;
116;Clubs for individual indoor sports;1996;;3280.0;;;576.0;;;58.0;57.0
117;Clubs for individual indoor sports;1997;;;;;;;;;
118;Clubs for individual indoor sports;2000;;3170.0;;;496.0;;;57.0;56.0
119;Clubs for individual indoor sports;2003;;3120.0;;;473.0;;;61.0;60.0
120;Clubs for individual indoor sports;2006;;2940.0;;;407.0;;;60.0;59.0
121;Strength, martial arts, fitness;1987;;1630.0;;;349.0;;;53.0;42.0
122;Strength, martial arts, fitness;1988;;;;;;;;;
123;Strength, martial arts, fitness;1990;;1910.0;;;544.0;;;83.0;64.0
124;Strength, martial arts, fitness;1991;;;;;;;;;
125;Strength, martial arts, fitness;1993;;2370.0;;;622.0;;;119.0;100.0
126;Strength, martial arts, fitness;1994;;;;;;;;;
127;Strength, martial arts, fitness;1996;;1010.0;;;84.0;;;11.0;10.0
128;Strength, martial arts, fitness;1997;;;;;;;;;
129;Strength, martial arts, fitness;2000;;1090.0;;;101.0;;;17.0;16.0
130;Strength, martial arts, fitness;2003;;1150.0;;;105.0;;;18.0;17.0
131;Strength, martial arts, fitness;2006;;1190.0;;;109.0;;;19.0;18.0
132;Sports schools and instructors;1987;;;;;;;;;
133;Sports schools and instructors;1988;;;;;;;;;
134;Sports schools and instructors;1990;;;;;;;;;
135;Sports schools and instructors;1991;;;;;;;;;
136;Sports schools and instructors;1993;;;;;;;;;
137;Sports schools and instructors;1994;;;;;;;;;
138;Sports schools and instructors;1996;;;1350.0;;;485.0;;85.0;71.0
139;Sports schools and instructors;1997;;;;;;;;;
140;Sports schools and instructors;2000;;;1980.0;;;689.0;;143.0;112.0
141;Sports schools and instructors;2003;;;1970.0;;;666.0;;175.0;127.0
142;Sports schools and instructors;2006;;;3660.0;;;883.0;;230.0;166.0
143;Clubs for angling;1987;;960.0;;;371.0;;;5.0;4.0
144;Clubs for angling;1988;;;;;;;;;
145;Clubs for angling;1990;;980.0;;;444.0;;;7.0;7.0
146;Clubs for angling;1991;;;;;;;;;
147;Clubs for angling;1993;;1050.0;;;497.0;;;8.0;7.0
148;Clubs for angling;1994;;;;;;;;;
149;Clubs for angling;1996;;970.0;;;368.0;;;7.0;7.0
150;Clubs for angling;1997;;;;;;;;;
151;Clubs for angling;2000;;1050.0;;;466.0;;;9.0;8.0
152;Clubs for angling;2003;;1070.0;;;463.0;;;10.0;9.0
153;Clubs for angling;2006;;1080.0;;;424.0;;;10.0;9.0
154;Other sports clubs;1987;;5080.0;;;639.0;;;38.0;36.0
155;Other sports clubs;1988;;;;;;;;;
156;Other sports clubs;1990;;5320.0;;;486.0;;;47.0;44.0
157;Other sports clubs;1991;;;;;;;;;
158;Other sports clubs;1993;;7000.0;;;787.0;;;62.0;56.0
159;Other sports clubs;1994;;;;;;;;;
160;Other sports clubs;1996;;5640.0;;;809.0;;;52.0;48.0
161;Other sports clubs;1997;;;;;;;;;
162;Other sports clubs;2000;;8440.0;;;1017.0;;;78.0;74.0
163;Other sports clubs;2003;;9080.0;;;1082.0;;;101.0;94.0
164;Other sports clubs;2006;;9980.0;;;1232.0;;;146.0;138.0
