ID;Productgroepen;Perioden;Verkoopwaarde_1;Hoeveelheid_2;AanvullendeHoeveelheid_3
213;13.10.10.50 [kg] Ijzererts en..;2000 2e kwartaal;0.0;;
214;13.10.10.50 [kg] Ijzererts en..;2000 3e kwartaal;0.0;;
215;13.10.10.50 [kg] Ijzererts en..;2000 4e kwartaal;0.0;;
216;13.10.10.50 [kg] Ijzererts en..;2000 totaal;0.0;0.0;
217;13.10.10.50 [kg] Ijzererts en..;2001 1e kwartaal;0.0;;
218;13.10.10.50 [kg] Ijzererts en..;2001 2e kwartaal;0.0;;
219;13.10.10.50 [kg] Ijzererts en..;2001 3e kwartaal;0.0;;
220;13.10.10.50 [kg] Ijzererts en..;2001 4e kwartaal;0.0;;
221;13.10.10.50 [kg] Ijzererts en..;2001 totaal;0.0;0.0;
222;13.10.10.50 [kg] Ijzererts en..;2002 1e kwartaal;0.0;;
223;13.10.10.50 [kg] Ijzererts en..;2002 2e kwartaal;0.0;;
224;13.10.10.50 [kg] Ijzererts en..;2002 3e kwartaal;0.0;;
225;13.10.10.50 [kg] Ijzererts en..;2002 4e kwartaal;0.0;;
226;13.10.10.50 [kg] Ijzererts en..;2002 totaal;0.0;0.0;
227;13.10.10.50 [kg] Ijzererts en..;2003 1e kwartaal;;;
228;13.10.10.50 [kg] Ijzererts en..;2003 2e kwartaal;;;
229;13.10.10.50 [kg] Ijzererts en..;2003 3e kwartaal;;;
230;13.10.10.50 [kg] Ijzererts en..;2003 4e kwartaal;;;
231;13.10.10.50 [kg] Ijzererts en..;2003 totaal;0.0;0.0;
232;13.10.10.50 [kg] Ijzererts en..;2004 totaal;0.0;0.0;
233;13.10.10.50 [kg] Ijzererts en..;2005 totaal;0.0;0.0;
234;13.10.10.50 [kg] Ijzererts en..;2006 totaal;0.0;0.0;
235;13.10.10.50 [kg] Ijzererts en..;2007 totaal;0.0;0.0;
236;13.2 Non-ferrometaalertsen, exclusief..;1993 1e kwartaal;;;
237;13.2 Non-ferrometaalertsen, exclusief..;1993 2e kwartaal;;;
238;13.2 Non-ferrometaalertsen, exclusief..;1993 3e kwartaal;;;
239;13.2 Non-ferrometaalertsen, exclusief..;1993 4e kwartaal;;;
240;13.2 Non-ferrometaalertsen, exclusief..;1993 totaal;;;
241;13.2 Non-ferrometaalertsen, exclusief..;1994 1e kwartaal;;;
242;13.2 Non-ferrometaalertsen, exclusief..;1994 2e kwartaal;;;
243;13.2 Non-ferrometaalertsen, exclusief..;1994 3e kwartaal;;;
244;13.2 Non-ferrometaalertsen, exclusief..;1994 4e kwartaal;;;
245;13.2 Non-ferrometaalertsen, exclusief..;1994 totaal;;;
246;13.2 Non-ferrometaalertsen, exclusief..;1995 1e kwartaal;;;
247;13.2 Non-ferrometaalertsen, exclusief..;1995 2e kwartaal;;;
248;13.2 Non-ferrometaalertsen, exclusief..;1995 3e kwartaal;;;
249;13.2 Non-ferrometaalertsen, exclusief..;1995 4e kwartaal;;;
250;13.2 Non-ferrometaalertsen, exclusief..;1995 totaal;0.0;;
251;13.2 Non-ferrometaalertsen, exclusief..;1996 1e kwartaal;0.0;;
252;13.2 Non-ferrometaalertsen, exclusief..;1996 2e kwartaal;0.0;;
253;13.2 Non-ferrometaalertsen, exclusief..;1996 3e kwartaal;0.0;;
254;13.2 Non-ferrometaalertsen, exclusief..;1996 4e kwartaal;0.0;;
255;13.2 Non-ferrometaalertsen, exclusief..;1996 totaal;0.0;;
256;13.2 Non-ferrometaalertsen, exclusief..;1997 1e kwartaal;0.0;;
257;13.2 Non-ferrometaalertsen, exclusief..;1997 2e kwartaal;0.0;;
258;13.2 Non-ferrometaalertsen, exclusief..;1997 3e kwartaal;0.0;;
259;13.2 Non-ferrometaalertsen, exclusief..;1997 4e kwartaal;0.0;;
260;13.2 Non-ferrometaalertsen, exclusief..;1997 totaal;0.0;;
261;13.2 Non-ferrometaalertsen, exclusief..;1998 1e kwartaal;0.0;;
262;13.2 Non-ferrometaalertsen, exclusief..;1998 2e kwartaal;0.0;;
263;13.2 Non-ferrometaalertsen, exclusief..;1998 3e kwartaal;0.0;;
264;13.2 Non-ferrometaalertsen, exclusief..;1998 4e kwartaal;0.0;;
265;13.2 Non-ferrometaalertsen, exclusief..;1998 totaal;0.0;;
266;13.2 Non-ferrometaalertsen, exclusief..;1999 1e kwartaal;0.0;;
267;13.2 Non-ferrometaalertsen, exclusief..;1999 2e kwartaal;0.0;;
268;13.2 Non-ferrometaalertsen, exclusief..;1999 3e kwartaal;0.0;;
269;13.2 Non-ferrometaalertsen, exclusief..;1999 4e kwartaal;0.0;;
270;13.2 Non-ferrometaalertsen, exclusief..;1999 totaal;0.0;;
271;13.2 Non-ferrometaalertsen, exclusief..;2000 1e kwartaal;;;
272;13.2 Non-ferrometaalertsen, exclusief..;2000 2e kwartaal;;;
273;13.2 Non-ferrometaalertsen, exclusief..;2000 3e kwartaal;;;
274;13.2 Non-ferrometaalertsen, exclusief..;2000 4e kwartaal;;;
275;13.2 Non-ferrometaalertsen, exclusief..;2000 totaal;;;
276;13.2 Non-ferrometaalertsen, exclusief..;2001 1e kwartaal;;;
277;13.2 Non-ferrometaalertsen, exclusief..;2001 2e kwartaal;;;
278;13.2 Non-ferrometaalertsen, exclusief..;2001 3e kwartaal;;;
279;13.2 Non-ferrometaalertsen, exclusief..;2001 4e kwartaal;;;
280;13.2 Non-ferrometaalertsen, exclusief..;2001 totaal;;;
281;13.2 Non-ferrometaalertsen, exclusief..;2002 1e kwartaal;;;
282;13.2 Non-ferrometaalertsen, exclusief..;2002 2e kwartaal;;;
283;13.2 Non-ferrometaalertsen, exclusief..;2002 3e kwartaal;;;
284;13.2 Non-ferrometaalertsen, exclusief..;2002 4e kwartaal;;;
285;13.2 Non-ferrometaalertsen, exclusief..;2002 totaal;;;
286;13.2 Non-ferrometaalertsen, exclusief..;2003 1e kwartaal;;;
287;13.2 Non-ferrometaalertsen, exclusief..;2003 2e kwartaal;;;
288;13.2 Non-ferrometaalertsen, exclusief..;2003 3e kwartaal;;;
289;13.2 Non-ferrometaalertsen, exclusief..;2003 4e kwartaal;;;
290;13.2 Non-ferrometaalertsen, exclusief..;2003 totaal;;;
291;13.2 Non-ferrometaalertsen, exclusief..;2004 totaal;;;
292;13.2 Non-ferrometaalertsen, exclusief..;2005 totaal;;;
293;13.2 Non-ferrometaalertsen, exclusief..;2006 totaal;;;
294;13.2 Non-ferrometaalertsen, exclusief..;2007 totaal;;;
295;13.20.11.00 [kg] Kopererts en..;1993 1e kwartaal;0.0;;
296;13.20.11.00 [kg] Kopererts en..;1993 2e kwartaal;0.0;;
297;13.20.11.00 [kg] Kopererts en..;1993 3e kwartaal;0.0;;
298;13.20.11.00 [kg] Kopererts en..;1993 4e kwartaal;0.0;;
299;13.20.11.00 [kg] Kopererts en..;1993 totaal;0.0;0.0;
300;13.20.11.00 [kg] Kopererts en..;1994 1e kwartaal;0.0;;
301;13.20.11.00 [kg] Kopererts en..;1994 2e kwartaal;0.0;;
302;13.20.11.00 [kg] Kopererts en..;1994 3e kwartaal;0.0;;
303;13.20.11.00 [kg] Kopererts en..;1994 4e kwartaal;0.0;;
304;13.20.11.00 [kg] Kopererts en..;1994 totaal;0.0;0.0;
305;13.20.11.00 [kg] Kopererts en..;1995 1e kwartaal;0.0;;
306;13.20.11.00 [kg] Kopererts en..;1995 2e kwartaal;0.0;;
307;13.20.11.00 [kg] Kopererts en..;1995 3e kwartaal;0.0;;
308;13.20.11.00 [kg] Kopererts en..;1995 4e kwartaal;0.0;;
309;13.20.11.00 [kg] Kopererts en..;1995 totaal;0.0;0.0;
310;13.20.11.00 [kg] Kopererts en..;1996 1e kwartaal;0.0;;
311;13.20.11.00 [kg] Kopererts en..;1996 2e kwartaal;0.0;;
312;13.20.11.00 [kg] Kopererts en..;1996 3e kwartaal;0.0;;
313;13.20.11.00 [kg] Kopererts en..;1996 4e kwartaal;0.0;;
314;13.20.11.00 [kg] Kopererts en..;1996 totaal;0.0;0.0;
315;13.20.11.00 [kg] Kopererts en..;1997 1e kwartaal;0.0;;
316;13.20.11.00 [kg] Kopererts en..;1997 2e kwartaal;0.0;;
317;13.20.11.00 [kg] Kopererts en..;1997 3e kwartaal;0.0;;
318;13.20.11.00 [kg] Kopererts en..;1997 4e kwartaal;0.0;;
319;13.20.11.00 [kg] Kopererts en..;1997 totaal;0.0;0.0;
320;13.20.11.00 [kg] Kopererts en..;1998 1e kwartaal;0.0;;
321;13.20.11.00 [kg] Kopererts en..;1998 2e kwartaal;0.0;;
322;13.20.11.00 [kg] Kopererts en..;1998 3e kwartaal;0.0;;
323;13.20.11.00 [kg] Kopererts en..;1998 4e kwartaal;0.0;;
324;13.20.11.00 [kg] Kopererts en..;1998 totaal;0.0;0.0;
325;13.20.11.00 [kg] Kopererts en..;1999 1e kwartaal;0.0;;
326;13.20.11.00 [kg] Kopererts en..;1999 2e kwartaal;0.0;;
327;13.20.11.00 [kg] Kopererts en..;1999 3e kwartaal;0.0;;
328;13.20.11.00 [kg] Kopererts en..;1999 4e kwartaal;0.0;;
329;13.20.11.00 [kg] Kopererts en..;1999 totaal;0.0;0.0;
330;13.20.11.00 [kg] Kopererts en..;2000 1e kwartaal;0.0;;
331;13.20.11.00 [kg] Kopererts en..;2000 2e kwartaal;0.0;;
332;13.20.11.00 [kg] Kopererts en..;2000 3e kwartaal;0.0;;
333;13.20.11.00 [kg] Kopererts en..;2000 4e kwartaal;0.0;;
334;13.20.11.00 [kg] Kopererts en..;2000 totaal;0.0;0.0;
335;13.20.11.00 [kg] Kopererts en..;2001 1e kwartaal;0.0;;
336;13.20.11.00 [kg] Kopererts en..;2001 2e kwartaal;0.0;;
337;13.20.11.00 [kg] Kopererts en..;2001 3e kwartaal;0.0;;
338;13.20.11.00 [kg] Kopererts en..;2001 4e kwartaal;0.0;;
339;13.20.11.00 [kg] Kopererts en..;2001 totaal;0.0;0.0;
340;13.20.11.00 [kg] Kopererts en..;2002 1e kwartaal;0.0;;
341;13.20.11.00 [kg] Kopererts en..;2002 2e kwartaal;0.0;;
342;13.20.11.00 [kg] Kopererts en..;2002 3e kwartaal;0.0;;
343;13.20.11.00 [kg] Kopererts en..;2002 4e kwartaal;0.0;;
344;13.20.11.00 [kg] Kopererts en..;2002 totaal;0.0;0.0;
345;13.20.11.00 [kg] Kopererts en..;2003 1e kwartaal;;;
346;13.20.11.00 [kg] Kopererts en..;2003 2e kwartaal;;;
347;13.20.11.00 [kg] Kopererts en..;2003 3e kwartaal;;;
348;13.20.11.00 [kg] Kopererts en..;2003 4e kwartaal;;;
349;13.20.11.00 [kg] Kopererts en..;2003 totaal;0.0;0.0;
350;13.20.11.00 [kg] Kopererts en..;2004 totaal;0.0;0.0;
351;13.20.11.00 [kg] Kopererts en..;2005 totaal;0.0;0.0;
352;13.20.11.00 [kg] Kopererts en..;2006 totaal;0.0;0.0;
353;13.20.11.00 [kg] Kopererts en..;2007 totaal;0.0;0.0;
354;13.20.12.00 [kg] Nikkelerts en..;1993 1e kwartaal;0.0;;
355;13.20.12.00 [kg] Nikkelerts en..;1993 2e kwartaal;0.0;;
356;13.20.12.00 [kg] Nikkelerts en..;1993 3e kwartaal;0.0;;
357;13.20.12.00 [kg] Nikkelerts en..;1993 4e kwartaal;0.0;;
358;13.20.12.00 [kg] Nikkelerts en..;1993 totaal;0.0;0.0;
359;13.20.12.00 [kg] Nikkelerts en..;1994 1e kwartaal;0.0;;
360;13.20.12.00 [kg] Nikkelerts en..;1994 2e kwartaal;0.0;;
361;13.20.12.00 [kg] Nikkelerts en..;1994 3e kwartaal;0.0;;
362;13.20.12.00 [kg] Nikkelerts en..;1994 4e kwartaal;0.0;;
363;13.20.12.00 [kg] Nikkelerts en..;1994 totaal;0.0;0.0;
364;13.20.12.00 [kg] Nikkelerts en..;1995 1e kwartaal;0.0;;
365;13.20.12.00 [kg] Nikkelerts en..;1995 2e kwartaal;0.0;;
366;13.20.12.00 [kg] Nikkelerts en..;1995 3e kwartaal;0.0;;
367;13.20.12.00 [kg] Nikkelerts en..;1995 4e kwartaal;0.0;;
368;13.20.12.00 [kg] Nikkelerts en..;1995 totaal;0.0;0.0;
369;13.20.12.00 [kg] Nikkelerts en..;1996 1e kwartaal;0.0;;
370;13.20.12.00 [kg] Nikkelerts en..;1996 2e kwartaal;0.0;;
371;13.20.12.00 [kg] Nikkelerts en..;1996 3e kwartaal;0.0;;
372;13.20.12.00 [kg] Nikkelerts en..;1996 4e kwartaal;0.0;;
373;13.20.12.00 [kg] Nikkelerts en..;1996 totaal;0.0;0.0;
374;13.20.12.00 [kg] Nikkelerts en..;1997 1e kwartaal;0.0;;
375;13.20.12.00 [kg] Nikkelerts en..;1997 2e kwartaal;0.0;;
376;13.20.12.00 [kg] Nikkelerts en..;1997 3e kwartaal;0.0;;
377;13.20.12.00 [kg] Nikkelerts en..;1997 4e kwartaal;0.0;;
378;13.20.12.00 [kg] Nikkelerts en..;1997 totaal;0.0;0.0;
379;13.20.12.00 [kg] Nikkelerts en..;1998 1e kwartaal;0.0;;
380;13.20.12.00 [kg] Nikkelerts en..;1998 2e kwartaal;0.0;;
381;13.20.12.00 [kg] Nikkelerts en..;1998 3e kwartaal;0.0;;
382;13.20.12.00 [kg] Nikkelerts en..;1998 4e kwartaal;0.0;;
383;13.20.12.00 [kg] Nikkelerts en..;1998 totaal;0.0;0.0;
384;13.20.12.00 [kg] Nikkelerts en..;1999 1e kwartaal;0.0;;
385;13.20.12.00 [kg] Nikkelerts en..;1999 2e kwartaal;0.0;;
386;13.20.12.00 [kg] Nikkelerts en..;1999 3e kwartaal;0.0;;
387;13.20.12.00 [kg] Nikkelerts en..;1999 4e kwartaal;0.0;;
388;13.20.12.00 [kg] Nikkelerts en..;1999 totaal;0.0;0.0;
389;13.20.12.00 [kg] Nikkelerts en..;2000 1e kwartaal;0.0;;
390;13.20.12.00 [kg] Nikkelerts en..;2000 2e kwartaal;0.0;;
391;13.20.12.00 [kg] Nikkelerts en..;2000 3e kwartaal;0.0;;
392;13.20.12.00 [kg] Nikkelerts en..;2000 4e kwartaal;0.0;;
393;13.20.12.00 [kg] Nikkelerts en..;2000 totaal;0.0;0.0;
