ID;BedrijfstakkenBranchesSBI2008;Perioden;TotaleOrderontvangst_1;OrderontvangstBinnenland_2;OrderontvangstBuitenland_3;TotaleOrderontvangst_4;OrderontvangstBinnenland_5;OrderontvangstBuitenland_6
228;13 Textielindustrie;2009 2e kwartaal;91.9;102.3;87.3;-18.9;-16.4;-20.0
229;13 Textielindustrie;2009 juli;84.5;97.8;78.7;-14.5;-9.1;-17.1
230;13 Textielindustrie;2009 augustus;76.8;79.4;75.7;-16.6;-13.3;-18.0
231;13 Textielindustrie;2009 september;96.0;98.7;94.9;-13.5;-14.2;-13.1
232;13 Textielindustrie;2009 3e kwartaal;85.8;92.0;83.1;-14.8;-12.2;-15.9
233;13 Textielindustrie;2009 oktober;96.9;109.1;91.4;-8.7;-8.1;-9.1
234;13 Textielindustrie;2009 november;95.4;106.1;90.7;-2.2;-6.3;0.3
235;13 Textielindustrie;2009 december;81.2;85.2;79.3;-8.6;-16.1;-4.8
236;13 Textielindustrie;2009 4e kwartaal;91.2;100.1;87.1;-6.5;-9.9;-4.7
237;13 Textielindustrie;2009;89.9;100.1;85.4;-15.3;-13.0;-16.4
238;13 Textielindustrie;2010 januari;80.8;86.0;78.5;-4.7;-10.7;-1.5
239;13 Textielindustrie;2010 februari;89.2;91.3;88.3;-3.8;-16.1;3.2
240;13 Textielindustrie;2010 maart;111.5;114.8;110.1;17.6;1.3;27.4
241;13 Textielindustrie;2010 1e kwartaal;93.8;97.4;92.3;3.4;-8.3;10.0
242;13 Textielindustrie;2010 april;101.8;103.5;101.0;11.1;-2.7;18.7
243;13 Textielindustrie;2010 mei;95.4;99.6;93.4;7.8;0.2;11.6
244;13 Textielindustrie;2010 juni;113.6;118.6;111.4;19.0;17.4;19.8
245;13 Textielindustrie;2010 2e kwartaal;103.6;107.2;101.9;12.8;4.9;16.8
246;13 Textielindustrie;2010 juli;94.2;100.2;91.5;11.5;2.5;16.3
247;13 Textielindustrie;2010 augustus;86.6;83.5;88.0;12.8;5.2;16.2
248;13 Textielindustrie;2010 september;108.6;104.3;110.5;13.1;5.7;16.4
249;13 Textielindustrie;2010 3e kwartaal;96.5;96.0;96.7;12.5;4.4;16.3
250;13 Textielindustrie;2010 oktober;105.3;99.9;107.7;8.7;-8.4;17.8
251;13 Textielindustrie;2010 november;111.3;104.7;114.3;16.7;-1.3;26.0
252;13 Textielindustrie;2010 december;101.7;93.4;105.3;25.2;9.6;32.8
253;13 Textielindustrie;2010 4e kwartaal;106.1;99.3;109.1;16.4;-0.8;25.2
254;13 Textielindustrie;2010;100.0;100.0;100.0;11.2;-0.1;17.2
255;13 Textielindustrie;2011 januari;108.0;98.5;112.2;33.7;14.5;42.9
256;13 Textielindustrie;2011 februari;104.7;99.5;107.1;17.4;9.0;21.3
257;13 Textielindustrie;2011 maart;133.1;117.5;140.1;19.4;2.4;27.2
258;13 Textielindustrie;2011 1e kwartaal;115.3;105.2;119.8;22.8;8.0;29.8
259;13 Textielindustrie;2011 april;112.0;99.3;117.6;10.0;-4.1;16.4
260;13 Textielindustrie;2011 mei;116.0;99.2;123.6;21.6;-0.4;32.3
261;13 Textielindustrie;2011 juni;122.4;114.6;125.8;7.7;-3.4;12.9
262;13 Textielindustrie;2011 2e kwartaal;116.8;104.4;122.3;12.7;-2.7;20.0
263;13 Textielindustrie;2011 juli;107.6;108.1;107.4;14.2;7.9;17.4
264;13 Textielindustrie;2011 augustus;86.9;90.3;85.5;0.3;8.1;-2.8
265;13 Textielindustrie;2011 september;130.0;121.1;133.9;19.7;16.1;21.2
266;13 Textielindustrie;2011 3e kwartaal;108.2;106.5;108.9;12.1;10.9;12.7
267;13 Textielindustrie;2011 oktober;118.9;117.0;119.7;12.9;17.1;11.1
268;13 Textielindustrie;2011 november;120.6;114.1;123.6;8.4;9.0;8.1
269;13 Textielindustrie;2011 december;103.7;96.3;106.8;2.0;3.1;1.4
270;13 Textielindustrie;2011 4e kwartaal;114.4;109.1;116.7;7.8;9.9;7.0
271;13 Textielindustrie;2011;113.7;106.3;116.9;13.7;6.3;16.9
272;13 Textielindustrie;2012 januari;101.6;103.0;101.0;-5.9;4.6;-10.0
273;13 Textielindustrie;2012 februari;111.9;93.7;120.0;6.9;-5.8;12.0
274;13 Textielindustrie;2012 maart;127.2;102.8;138.0;-4.4;-12.5;-1.5
275;13 Textielindustrie;2012 1e kwartaal;113.6;99.8;119.7;-1.5;-5.1;-0.1
276;13 Textielindustrie;2012 april;108.0;90.5;115.8;-3.6;-8.9;-1.5
277;13 Textielindustrie;2012 mei;113.6;100.9;119.3;-2.1;1.7;-3.5
278;13 Textielindustrie;2012 juni;125.0;100.7;135.9;2.1;-12.1;8.0
279;13 Textielindustrie;2012 2e kwartaal;115.5;97.4;123.7;-1.1;-6.7;1.1
280;13 Textielindustrie;2012 juli;105.2;91.2;110.8;-2.2;-15.6;3.2
281;13 Textielindustrie;2012 augustus;97.0;78.4;105.1;11.6;-13.2;22.9
282;13 Textielindustrie;2012 september;116.7;88.6;129.2;-10.2;-26.8;-3.5
283;13 Textielindustrie;2012 3e kwartaal;106.3;86.1;115.0;-1.7;-19.2;5.6
284;13 Textielindustrie;2012 oktober;115.7;101.6;121.9;-2.7;-13.2;1.8
285;13 Textielindustrie;2012 november;120.8;98.1;130.9;0.2;-14.0;5.9
286;13 Textielindustrie;2012 december;96.0;69.9;107.5;-7.4;-27.4;0.7
287;13 Textielindustrie;2012 4e kwartaal;110.8;89.9;120.1;-3.1;-17.7;2.9
288;13 Textielindustrie;2012;111.6;93.3;119.6;-1.8;-12.2;2.3
289;13 Textielindustrie;2013 januari;112.9;90.7;122.4;11.1;-11.9;21.2
290;13 Textielindustrie;2013 februari;112.8;97.6;119.5;0.8;4.2;-0.4
291;13 Textielindustrie;2013 maart;109.2;107.3;109.9;-14.2;4.4;-20.4
292;13 Textielindustrie;2013 1e kwartaal;111.6;98.5;117.3;-1.7;-1.3;-2.0
293;13 Textielindustrie;2013 april;107.5;98.2;111.6;-0.5;8.5;-3.6
294;13 Textielindustrie;2013 mei;119.8;99.5;128.8;5.5;-1.4;8.0
295;13 Textielindustrie;2013 juni;121.6;97.7;132.1;-2.7;-3.0;-2.8
296;13 Textielindustrie;2013 2e kwartaal;116.3;98.5;124.2;0.7;1.1;0.4
297;13 Textielindustrie;2013 juli;112.3;96.1;119.1;6.7;5.4;7.5
298;13 Textielindustrie;2013 augustus;107.0;82.3;117.7;10.3;5.0;12.0
299;13 Textielindustrie;2013 september;122.4;97.4;133.1;4.9;9.9;3.0
300;13 Textielindustrie;2013 3e kwartaal;113.9;91.9;123.3;7.1;6.8;7.2
301;13 Textielindustrie;2013 oktober;134.3;108.3;145.5;16.1;6.6;19.4
302;13 Textielindustrie;2013 november;128.8;106.8;138.1;6.6;8.9;5.5
303;13 Textielindustrie;2013 december;108.5;76.3;122.6;13.0;9.2;14.0
304;13 Textielindustrie;2013 4e kwartaal;123.9;97.1;135.4;11.8;8.1;12.7
305;13 Textielindustrie;2013;116.4;96.5;125.0;4.4;3.5;4.5
306;14 Kledingindustrie;2005 januari;163.8;148.9;198.4;;;
307;14 Kledingindustrie;2005 februari;149.3;144.0;161.4;;;
308;14 Kledingindustrie;2005 maart;168.7;163.5;180.6;;;
309;14 Kledingindustrie;2005 1e kwartaal;160.6;152.1;180.1;;;
310;14 Kledingindustrie;2005 april;134.5;136.8;129.2;;;
311;14 Kledingindustrie;2005 mei;136.4;135.7;138.1;;;
312;14 Kledingindustrie;2005 juni;144.4;144.3;144.5;;;
313;14 Kledingindustrie;2005 2e kwartaal;138.4;138.9;137.3;;;
314;14 Kledingindustrie;2005 juli;149.5;143.0;164.6;;;
315;14 Kledingindustrie;2005 augustus;174.9;149.0;235.0;;;
316;14 Kledingindustrie;2005 september;173.1;162.8;196.8;;;
317;14 Kledingindustrie;2005 3e kwartaal;165.8;151.6;198.8;;;
318;14 Kledingindustrie;2005 oktober;151.2;149.9;154.0;;;
319;14 Kledingindustrie;2005 november;168.3;171.1;161.9;;;
320;14 Kledingindustrie;2005 december;172.1;164.6;189.1;;;
321;14 Kledingindustrie;2005 4e kwartaal;163.9;161.9;168.3;;;
322;14 Kledingindustrie;2005;157.2;151.1;171.1;;;
323;14 Kledingindustrie;2006 januari;185.5;166.4;229.3;13.2;11.8;15.6
324;14 Kledingindustrie;2006 februari;173.1;166.4;188.3;15.9;15.6;16.7
325;14 Kledingindustrie;2006 maart;178.2;176.8;181.2;5.6;8.1;0.3
326;14 Kledingindustrie;2006 1e kwartaal;178.9;169.9;199.6;11.4;11.7;10.8
327;14 Kledingindustrie;2006 april;158.9;176.1;119.1;18.1;28.7;-7.8
328;14 Kledingindustrie;2006 mei;156.6;167.2;132.3;14.8;23.2;-4.2
329;14 Kledingindustrie;2006 juni;165.7;164.9;167.6;14.8;14.3;16.0
330;14 Kledingindustrie;2006 2e kwartaal;160.4;169.4;139.7;15.9;21.9;1.7
331;14 Kledingindustrie;2006 juli;148.9;138.7;172.0;-0.4;-3.0;4.5
332;14 Kledingindustrie;2006 augustus;168.5;145.9;221.3;-3.7;-2.1;-5.8
333;14 Kledingindustrie;2006 september;163.0;154.5;182.4;-5.8;-5.1;-7.3
334;14 Kledingindustrie;2006 3e kwartaal;160.1;146.4;191.9;-3.4;-3.5;-3.5
335;14 Kledingindustrie;2006 oktober;155.3;153.1;160.0;2.7;2.1;3.9
336;14 Kledingindustrie;2006 november;143.2;146.3;135.7;-14.9;-14.5;-16.2
