ID;Perioden;TotaalBaten_1;TotaalBatenLopendeRekening_2;Heffingen_3;OverigeBaten_4;BatenKapitaalrekening_5;TotaalLasten_6;LastenLopendeRekening_7;LastenKapitaalrekening_8;SaldoVanBatenEnLasten_9;TotaalSchuldPer31December_10;VasteSchuld_11;VlottendeSchuld_12
51;1987;1066.0;763.0;683.0;80.0;303.0;1130.0;744.0;386.0;-64.0;1803.0;1456;347.0
52;1988;1119.0;801.0;722.0;79.0;318.0;1181.0;797.0;384.0;-62.0;1836.0;1526;310.0
53;1989;1123.0;831.0;751.0;80.0;292.0;1174.0;798.0;376.0;-51.0;1866.0;1590;276.0
54;1990;1162.0;876.0;786.0;90.0;286.0;1216.0;854.0;362.0;-54.0;1888.0;1578;310.0
55;1991;1208.0;920.0;829.0;91.0;288.0;1278.0;913.0;365.0;-70.0;1953.0;1639;314.0
56;1992;1295.0;991.0;895.0;96.0;304.0;1376.0;990.0;386.0;-81.0;2040.0;1744;296.0
57;1993;1424.0;1095.0;982.0;113.0;329.0;1630.0;1097.0;533.0;-206.0;2282.0;1968;314.0
58;1994;1437.0;1144.0;1041.0;103.0;293.0;1609.0;1120.0;489.0;-172.0;2327.0;1933;394.0
59;1995;1696.0;1248.0;1133.0;115.0;448.0;1909.0;1246.0;663.0;-213.0;2550.0;2112;438.0
60;1996;1843.0;1283.0;1168.0;115.0;560.0;1958.0;1283.0;675.0;-115.0;2934.0;2451;483.0
61;1997;1900.0;1475.0;1331.0;144.0;425.0;2289.0;1360.0;929.0;-389.0;3929.0;3370;559.0
62;1998;1972.0;1523.0;1332.0;191.0;449.0;2279.0;1611.0;668.0;-307.0;3817.0;3218;599.0
63;1999;2165.0;1647.0;1411.0;236.0;518.0;2373.0;1633.0;740.0;-208.0;3966.0;3206;760.0
64;2000;2260.0;1770.0;1520.0;250.0;490.0;2390.0;1700.0;690.0;-130.0;4275.0;3560;715.0
65;2001;2469.0;1901.0;1610.0;291.0;568.0;2525.0;1792.0;733.0;-56.0;4310.0;3672;638.0
66;2002;2500.0;1919.0;1681.0;238.0;581.0;2653.0;1870.0;783.0;-153.0;4474.0;3814;660.0
67;2003;2544.0;2026.0;1786.0;240.0;518.0;2794.0;2075.0;719.0;-250.0;4715.0;3987;728.0
68;2004;2700.0;2167.0;1870.0;297.0;533.0;2925.0;2146.0;779.0;-225.0;4924.0;4181;743.0
69;2005;2666.0;2130.0;1915.0;215.0;536.0;3169.0;2093.0;1076.0;-503.0;5232.0;4493;739.0
70;2006;2751.0;2189.0;1962.0;227.0;562.0;2994.0;2219.0;775.0;-243.0;5422.0;4699;723.0
71;2007;3024.0;2454.0;1991.0;463.0;570.0;3137.0;2326.0;811.0;-113.0;5589.0;4888;701.0
72;2008;2901.0;2296.0;2042.0;254.0;605.0;3358.0;2447.0;911.0;-457.0;5965.0;5202;763.0
73;2009;3227.0;2441.0;2142.0;299.0;786.0;3651.0;2584.0;1067.0;-424.0;6279.0;5361;918.0
74;2010;3237.0;2487.0;2229.0;258.0;750.0;3955.0;2598.0;1357.0;-718.0;6768.0;5739;1029.0
75;2011;3260.0;2506.0;2285.0;221.0;754.0;3563.0;2657.0;906.0;-303.0;7064.0;5945;1119.0
76;2012;3327.0;2547.0;2331.0;216.0;780.0;3649.0;2760.0;889.0;-322.0;7283.0;6132;1151.0
77;2013;3505.0;2673.0;2416.0;257.0;832.0;3603.0;2717.0;886.0;-98.0;7562.0;6271;1291.0
78;2014;3787.0;2682.0;2474.0;208.0;1105.0;3905.0;2735.0;1170.0;-119.0;7682.0;6453;1229.0
79;2015;3851.0;2755.0;2542.0;213.0;1096.0;3993.0;2771.0;1222.0;-142.0;7920.0;6675;1245.0
80;2016;3842.0;2818.0;2609.0;209.0;1024.0;4041.0;2903.0;1137.0;-199.0;7987.0;6898;1090.0
81;2017;3945.0;2900.0;2666.0;234.0;1045.0;3997.0;2870.0;1128.0;-52.0;8104.0;7074;1030.0
82;2018;4001.0;2945.0;2756.0;189.0;1056.0;4059.0;2855.0;1204.0;-58.0;8311.0;7192;1119.0
83;2019;4107.0;3109.0;2854.0;255.0;998.0;4218.0;3004.0;1214.0;-111.0;8355.0;7284;1072.0
84;2020;4275.0;3231.0;2955.0;276.0;1044.0;4394.0;3111.0;1284.0;-120.0;9107.0;7994;1113.0
85;2021;4498.0;3344.0;3064.0;280.0;1154.0;4592.0;3277.0;1314.0;-94.0;10012.0;8815;1197.0
86;2022;4709.0;3505.0;3180.0;325.0;1204.0;4915.0;3452.0;1463.0;-206.0;10322.0;8953;1369.0
87;2023;5196.0;3799.0;3450.0;349.0;1398.0;5643.0;3854.0;1789.0;-447.0;10805.0;9322;1482.0
