ID;Geslacht;Leeftijd;Vervoerwijzen;Reismotieven;Marges;Perioden;RittenPerPersoonPerDagGemiddeld_1;AfgelegdeAfstandPerRitGemiddeld_2;ReisduurPerRit_3
49;Totaal mannen en vrouwen;10000;Totaal;Totaal;Ondergrens 95%-interval;2023;2.91;10.44;24.38
50;Totaal mannen en vrouwen;10000;Totaal;Totaal;Bovengrens 95%-interval;1999;3.52;11.45;24.59
51;Totaal mannen en vrouwen;10000;Totaal;Totaal;Bovengrens 95%-interval;2000;3.46;11.47;24.56
52;Totaal mannen en vrouwen;10000;Totaal;Totaal;Bovengrens 95%-interval;2001;3.41;11.46;24.55
53;Totaal mannen en vrouwen;10000;Totaal;Totaal;Bovengrens 95%-interval;2002;3.41;11.49;24.36
54;Totaal mannen en vrouwen;10000;Totaal;Totaal;Bovengrens 95%-interval;2003;3.41;11.49;24.44
55;Totaal mannen en vrouwen;10000;Totaal;Totaal;Bovengrens 95%-interval;2004;3.39;11.48;24.28
56;Totaal mannen en vrouwen;10000;Totaal;Totaal;Bovengrens 95%-interval;2005;3.33;11.49;24.4
57;Totaal mannen en vrouwen;10000;Totaal;Totaal;Bovengrens 95%-interval;2006;3.34;11.46;24.36
58;Totaal mannen en vrouwen;10000;Totaal;Totaal;Bovengrens 95%-interval;2007;3.3;11.49;24.56
59;Totaal mannen en vrouwen;10000;Totaal;Totaal;Bovengrens 95%-interval;2008;3.26;11.23;24.07
60;Totaal mannen en vrouwen;10000;Totaal;Totaal;Bovengrens 95%-interval;2009;3.29;11.31;24.25
61;Totaal mannen en vrouwen;10000;Totaal;Totaal;Bovengrens 95%-interval;2010;3.28;11.27;23.97
62;Totaal mannen en vrouwen;10000;Totaal;Totaal;Bovengrens 95%-interval;2011;3.16;11.55;24.25
63;Totaal mannen en vrouwen;10000;Totaal;Totaal;Bovengrens 95%-interval;2012;3.18;11.44;24.3
64;Totaal mannen en vrouwen;10000;Totaal;Totaal;Bovengrens 95%-interval;2013;3.19;11.5;24.09
65;Totaal mannen en vrouwen;10000;Totaal;Totaal;Bovengrens 95%-interval;2014;3.19;11.54;24.53
66;Totaal mannen en vrouwen;10000;Totaal;Totaal;Bovengrens 95%-interval;2015;3.1;11.65;24.59
67;Totaal mannen en vrouwen;10000;Totaal;Totaal;Bovengrens 95%-interval;2016;3.05;11.61;24.53
68;Totaal mannen en vrouwen;10000;Totaal;Totaal;Bovengrens 95%-interval;2017;3.02;11.76;24.52
69;Totaal mannen en vrouwen;10000;Totaal;Totaal;Bovengrens 95%-interval;2018;3.06;11.72;24.39
70;Totaal mannen en vrouwen;10000;Totaal;Totaal;Bovengrens 95%-interval;2019;2.99;11.82;24.43
71;Totaal mannen en vrouwen;10000;Totaal;Totaal;Bovengrens 95%-interval;2020;2.5;9.84;24.75
72;Totaal mannen en vrouwen;10000;Totaal;Totaal;Bovengrens 95%-interval;2021;2.64;10.17;26.32
73;Totaal mannen en vrouwen;10000;Totaal;Totaal;Bovengrens 95%-interval;2022;2.88;10.36;25.11
74;Totaal mannen en vrouwen;10000;Totaal;Totaal;Bovengrens 95%-interval;2023;2.95;10.75;24.89
75;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Waarde;1999;0.59;14.78;24.83
76;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Waarde;2000;0.59;14.85;24.77
77;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Waarde;2001;0.58;14.87;24.82
78;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Waarde;2002;0.59;14.83;24.63
79;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Waarde;2003;0.58;14.93;24.72
80;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Waarde;2004;0.61;14.76;24.56
81;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Waarde;2005;0.6;15.18;24.9
82;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Waarde;2006;0.61;15.28;24.95
83;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Waarde;2007;0.61;15.49;25.15
84;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Waarde;2008;0.62;14.99;24.52
85;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Waarde;2009;0.61;15.16;24.68
86;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Waarde;2010;0.63;15.26;24.72
87;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Waarde;2011;0.62;15.53;24.82
88;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Waarde;2012;0.61;15.54;24.78
89;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Waarde;2013;0.61;15.64;24.62
90;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Waarde;2014;0.62;15.81;24.87
91;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Waarde;2015;0.61;15.97;24.78
92;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Waarde;2016;0.61;15.93;24.89
93;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Waarde;2017;0.62;16.11;25.1
94;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Waarde;2018;0.64;16.12;24.84
95;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Waarde;2019;0.61;16.13;24.83
96;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Waarde;2020;0.41;14.64;23.17
97;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Waarde;2021;0.41;15.18;23.86
98;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Waarde;2022;0.48;15.59;24.55
99;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Waarde;2023;0.51;15.74;25.03
100;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Ondergrens 95%-interval;1999;0.56;13.71;23.41
101;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Ondergrens 95%-interval;2000;0.56;13.83;23.46
102;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Ondergrens 95%-interval;2001;0.55;13.87;23.44
103;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Ondergrens 95%-interval;2002;0.55;13.74;23.27
104;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Ondergrens 95%-interval;2003;0.55;13.88;23.45
105;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Ondergrens 95%-interval;2004;0.57;13.81;23.4
106;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Ondergrens 95%-interval;2005;0.57;14.18;23.82
107;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Ondergrens 95%-interval;2006;0.58;14.3;23.84
108;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Ondergrens 95%-interval;2007;0.58;14.57;24.07
109;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Ondergrens 95%-interval;2008;0.59;14.09;23.43
110;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Ondergrens 95%-interval;2009;0.58;14.25;23.7
111;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Ondergrens 95%-interval;2010;0.61;14.47;23.86
112;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Ondergrens 95%-interval;2011;0.59;14.77;23.95
113;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Ondergrens 95%-interval;2012;0.59;14.83;23.95
114;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Ondergrens 95%-interval;2013;0.59;14.96;23.8
115;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Ondergrens 95%-interval;2014;0.59;15.11;24.13
116;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Ondergrens 95%-interval;2015;0.58;15.26;24.04
117;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Ondergrens 95%-interval;2016;0.58;15.3;24.17
118;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Ondergrens 95%-interval;2017;0.6;15.45;24.42
119;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Ondergrens 95%-interval;2018;0.63;15.7;24.36
120;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Ondergrens 95%-interval;2019;0.6;15.71;24.34
121;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Ondergrens 95%-interval;2020;0.41;14.12;22.5
122;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Ondergrens 95%-interval;2021;0.4;14.68;23.24
123;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Ondergrens 95%-interval;2022;0.47;15.18;24.14
124;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Ondergrens 95%-interval;2023;0.5;15.25;24.47
125;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Bovengrens 95%-interval;1999;0.63;15.85;26.23
126;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Bovengrens 95%-interval;2000;0.63;15.94;26.25
127;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Bovengrens 95%-interval;2001;0.62;15.95;26.2
128;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Bovengrens 95%-interval;2002;0.62;15.82;25.94
129;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Bovengrens 95%-interval;2003;0.62;15.97;26.03
130;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Bovengrens 95%-interval;2004;0.64;15.78;25.73
131;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Bovengrens 95%-interval;2005;0.64;16.19;26.07
132;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Bovengrens 95%-interval;2006;0.65;16.28;26.09
133;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Bovengrens 95%-interval;2007;0.65;16.51;26.23
134;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Bovengrens 95%-interval;2008;0.66;15.99;25.51
135;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Bovengrens 95%-interval;2009;0.65;16.08;25.68
136;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Bovengrens 95%-interval;2010;0.66;16.04;25.63
137;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Bovengrens 95%-interval;2011;0.64;16.29;25.67
138;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Bovengrens 95%-interval;2012;0.64;16.33;25.67
139;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Bovengrens 95%-interval;2013;0.64;16.41;25.45
140;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Bovengrens 95%-interval;2014;0.64;16.54;25.67
141;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Bovengrens 95%-interval;2015;0.63;16.68;25.53
142;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Bovengrens 95%-interval;2016;0.63;16.65;25.61
143;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Bovengrens 95%-interval;2017;0.64;16.78;25.8
144;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Bovengrens 95%-interval;2018;0.65;16.54;25.3
145;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Bovengrens 95%-interval;2019;0.62;16.58;25.3
146;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Bovengrens 95%-interval;2020;0.42;15.17;23.74
147;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Bovengrens 95%-interval;2021;0.41;15.68;24.46
148;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Bovengrens 95%-interval;2022;0.48;16.03;25.03
149;Totaal mannen en vrouwen;10000;Totaal;Van en naar het werk;Bovengrens 95%-interval;2023;0.52;16.19;25.59
150;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Waarde;1999;0.73;4.96;14.97
151;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Waarde;2000;0.71;5.02;14.92
152;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Waarde;2001;0.71;5.0;14.71
153;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Waarde;2002;0.71;5.02;14.66
154;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Waarde;2003;0.7;5.1;14.71
155;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Waarde;2004;0.7;5.07;14.7
156;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Waarde;2005;0.68;5.06;14.69
157;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Waarde;2006;0.67;5.03;14.54
158;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Waarde;2007;0.65;5.18;14.6
159;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Waarde;2008;0.64;4.89;14.37
160;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Waarde;2009;0.64;5.0;14.46
161;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Waarde;2010;0.65;5.09;14.52
162;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Waarde;2011;0.61;5.17;14.45
163;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Waarde;2012;0.62;5.05;14.34
164;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Waarde;2013;0.62;5.07;14.31
165;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Waarde;2014;0.63;5.1;14.36
166;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Waarde;2015;0.61;5.14;14.48
167;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Waarde;2016;0.6;5.06;14.2
168;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Waarde;2017;0.59;5.22;14.34
169;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Waarde;2018;0.59;5.21;14.3
170;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Waarde;2019;0.57;5.36;14.35
171;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Waarde;2020;0.57;4.33;12.66
172;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Waarde;2021;0.57;4.43;13.27
173;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Waarde;2022;0.6;4.7;13.61
174;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Waarde;2023;0.6;5.01;14.1
175;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Ondergrens 95%-interval;1999;0.68;4.63;14.21
176;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Ondergrens 95%-interval;2000;0.66;4.68;14.17
177;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Ondergrens 95%-interval;2001;0.66;4.66;13.93
178;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Ondergrens 95%-interval;2002;0.66;4.68;13.9
179;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Ondergrens 95%-interval;2003;0.65;4.77;13.97
180;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Ondergrens 95%-interval;2004;0.66;4.77;14.04
181;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Ondergrens 95%-interval;2005;0.63;4.74;14.07
182;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Ondergrens 95%-interval;2006;0.63;4.73;13.9
183;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Ondergrens 95%-interval;2007;0.61;4.87;14.0
184;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Ondergrens 95%-interval;2008;0.6;4.59;13.77
185;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Ondergrens 95%-interval;2009;0.6;4.69;13.88
186;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Ondergrens 95%-interval;2010;0.62;4.84;14.09
187;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Ondergrens 95%-interval;2011;0.58;4.92;14.02
188;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Ondergrens 95%-interval;2012;0.59;4.81;13.9
189;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Ondergrens 95%-interval;2013;0.59;4.84;13.87
190;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Ondergrens 95%-interval;2014;0.6;4.87;13.96
191;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Ondergrens 95%-interval;2015;0.58;4.9;14.07
192;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Ondergrens 95%-interval;2016;0.57;4.82;13.8
193;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Ondergrens 95%-interval;2017;0.57;5.01;13.93
194;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Ondergrens 95%-interval;2018;0.58;5.07;14.04
195;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Ondergrens 95%-interval;2019;0.56;5.2;14.09
196;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Ondergrens 95%-interval;2020;0.56;4.19;12.4
197;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Ondergrens 95%-interval;2021;0.57;4.29;12.98
198;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Ondergrens 95%-interval;2022;0.59;4.57;13.39
199;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Ondergrens 95%-interval;2023;0.59;4.87;13.86
200;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Bovengrens 95%-interval;1999;0.78;5.32;15.79
201;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Bovengrens 95%-interval;2000;0.77;5.37;15.71
202;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Bovengrens 95%-interval;2001;0.76;5.34;15.48
203;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Bovengrens 95%-interval;2002;0.76;5.35;15.41
204;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Bovengrens 95%-interval;2003;0.75;5.44;15.44
205;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Bovengrens 95%-interval;2004;0.74;5.4;15.32
206;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Bovengrens 95%-interval;2005;0.72;5.37;15.31
207;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Bovengrens 95%-interval;2006;0.71;5.34;15.15
208;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Bovengrens 95%-interval;2007;0.69;5.5;15.21
209;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Bovengrens 95%-interval;2008;0.68;5.21;14.97
210;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Bovengrens 95%-interval;2009;0.68;5.29;15.04
211;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Bovengrens 95%-interval;2010;0.68;5.34;14.99
212;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Bovengrens 95%-interval;2011;0.64;5.42;14.9
213;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Bovengrens 95%-interval;2012;0.65;5.29;14.75
214;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Bovengrens 95%-interval;2013;0.65;5.32;14.72
215;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Bovengrens 95%-interval;2014;0.65;5.33;14.77
216;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Bovengrens 95%-interval;2015;0.64;5.37;14.88
217;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Bovengrens 95%-interval;2016;0.62;5.28;14.6
218;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Bovengrens 95%-interval;2017;0.62;5.45;14.74
219;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Bovengrens 95%-interval;2018;0.6;5.36;14.56
220;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Bovengrens 95%-interval;2019;0.58;5.53;14.6
221;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Bovengrens 95%-interval;2020;0.58;4.47;12.95
222;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Bovengrens 95%-interval;2021;0.58;4.56;13.54
223;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Bovengrens 95%-interval;2022;0.61;4.82;13.83
224;Totaal mannen en vrouwen;10000;Totaal;Winkelen, boodschappen doen;Bovengrens 95%-interval;2023;0.61;5.16;14.39
225;Totaal mannen en vrouwen;10000;Totaal;Onderwijs volgen, cursus, kinderopvang;Waarde;1999;0.3;6.85;17.64
226;Totaal mannen en vrouwen;10000;Totaal;Onderwijs volgen, cursus, kinderopvang;Waarde;2000;0.3;7.0;17.85
227;Totaal mannen en vrouwen;10000;Totaal;Onderwijs volgen, cursus, kinderopvang;Waarde;2001;0.29;6.95;17.72
228;Totaal mannen en vrouwen;10000;Totaal;Onderwijs volgen, cursus, kinderopvang;Waarde;2002;0.29;6.97;17.71
229;Totaal mannen en vrouwen;10000;Totaal;Onderwijs volgen, cursus, kinderopvang;Waarde;2003;0.29;7.01;17.86
230;Totaal mannen en vrouwen;10000;Totaal;Onderwijs volgen, cursus, kinderopvang;Waarde;2004;0.3;6.88;17.64
231;Totaal mannen en vrouwen;10000;Totaal;Onderwijs volgen, cursus, kinderopvang;Waarde;2005;0.29;6.94;17.87
232;Totaal mannen en vrouwen;10000;Totaal;Onderwijs volgen, cursus, kinderopvang;Waarde;2006;0.3;6.88;17.84
233;Totaal mannen en vrouwen;10000;Totaal;Onderwijs volgen, cursus, kinderopvang;Waarde;2007;0.3;6.91;17.91
