ID;ConsumerPriceIndex;Periods;PriceIndex_1;MonthOnMonthChange_2;YearOnYearChange_3
72;Total all purchases;2011 August before recalculation;109.38;0.1;2.6
73;Total all purchases;2011 September before recalculation;110.17;0.7;2.7
74;Total all purchases;2011 October before recalculation;110.15;0.0;2.6
75;Total all purchases;2011 November before recalculation;110.01;-0.1;2.6
76;Total all purchases;2011 December before recalculation;109.54;-0.4;2.4
77;Total all purchases;2011 January after recalculation;106.87;;
78;Total all purchases;2011 February after recalculation;107.68;;
79;Total all purchases;2011 March after recalculation;108.9;;
80;Total all purchases;2011 April after recalculation;109.48;;
81;Total all purchases;2011 May after recalculation;109.57;;
82;Total all purchases;2011 June after recalculation;109.03;;
83;Total all purchases;2011 July after recalculation;109.58;;
84;Total all purchases;2011 August after recalculation;109.76;;
85;Total all purchases;2011 September after recalculation;110.15;;
86;Total all purchases;2011 October after recalculation;110.2;;
87;Total all purchases;2011 November after recalculation;109.86;;
88;Total all purchases;2011 December after recalculation;109.58;;
89;Total all purchases;2011;109.22;;2.3
90;Total all purchases;2012 January;109.52;-0.1;2.5
91;Total all purchases;2012 February;110.35;0.8;2.5
92;Total all purchases;2012 March;111.61;1.1;2.5
93;Total all purchases;2012 April;112.06;0.4;2.4
94;Total all purchases;2012 May;111.9;-0.1;2.1
95;Total all purchases;2012 June;111.36;-0.5;2.1
96;Total all purchases;2012 July;112.09;0.7;2.3
97;Total all purchases;2012 August;112.24;0.1;2.3
98;Total all purchases;2012 September;112.7;0.4;2.3
99;Total all purchases;2012 October;113.36;0.6;2.9
100;Total all purchases;2012 November;112.9;-0.4;2.8
101;Total all purchases;2012 December;112.74;-0.1;2.9
102;Total all purchases;2012;111.9;;2.5
103;Total all purchases;2013 January;112.77;0.0;3.0
104;Total all purchases;2013 February;113.66;0.8;3.0
105;Total all purchases;2013 March;114.87;1.1;2.9
106;Total all purchases;2013 April;114.97;0.1;2.6
107;Total all purchases;2013 May;115.0;0.0;2.8
108;Total all purchases;2013 June;114.57;-0.4;2.9
109;Total all purchases;2013 July;115.54;0.8;3.1
110;Total all purchases;2013 August;115.39;-0.1;2.8
111;Total all purchases;2013 September;115.46;0.1;2.4
112;Total all purchases;2013 October;115.13;-0.3;1.6
113;Total all purchases;2013 November;114.56;-0.5;1.5
114;Total all purchases;2013 December;114.62;0.1;1.7
115;Total all purchases;2013;114.71;;2.5
116;Total all purchases;2014 January;114.37;-0.2;1.4
117;Total all purchases;2014 February;114.86;0.4;1.1
118;Total all purchases;2014 March;115.82;0.8;0.8
119;Total all purchases;2014 April;116.35;0.5;1.2
120;Total all purchases;2014 May;115.95;-0.3;0.8
121;Total all purchases;2014 June;115.64;-0.3;0.9
122;Total all purchases;2014 July;116.58;0.8;0.9
123;Total all purchases;2014 August;116.5;-0.1;1.0
124;Total all purchases;2014 September;116.48;0.0;0.9
125;Total all purchases;2014 October;116.34;-0.1;1.1
126;Total all purchases;2014 November;115.65;-0.6;1.0
127;Total all purchases;2014 December;115.42;-0.2;0.7
128;Total all purchases;2014;115.83;;1.0
129;Total all purchases;2015 January;114.42;-0.9;0.0
130;Total all purchases;2015 February;115.04;0.5;0.2
131;Total all purchases;2015 March;116.26;1.1;0.4
132;Total all purchases;2015 April;117.01;0.6;0.6
133;Total all purchases;2015 May;117.26;0.2;1.1
134;Total all purchases;2015 June;116.81;-0.4;1.0
135;Total all purchases;2015 July;117.77;0.8;1.0
136;Total all purchases;2015 August;117.4;-0.3;0.8
137;Total all purchases;2015 September;117.18;-0.2;0.6
138;Total all purchases;2015 October;117.07;-0.1;0.6
139;Total all purchases;2015 November;116.42;-0.6;0.7
140;Total all purchases;2015 December;116.28;-0.1;0.7
141;Total all purchases;2015;116.58;;0.6
142;Frequent purchases;2006 January;99.19;;
143;Frequent purchases;2006 February;99.12;-0.1;
144;Frequent purchases;2006 March;99.53;0.4;
145;Frequent purchases;2006 April;100.4;0.9;
146;Frequent purchases;2006 May;100.4;0.0;
147;Frequent purchases;2006 June;100.72;0.3;
148;Frequent purchases;2006 July;100.81;0.1;
149;Frequent purchases;2006 August;100.77;0.0;
150;Frequent purchases;2006 September;100.01;-0.8;
151;Frequent purchases;2006 October;99.58;-0.4;
152;Frequent purchases;2006 November;99.66;0.1;
153;Frequent purchases;2006 December;99.82;0.2;
154;Frequent purchases;2006;100.0;;
155;Frequent purchases;2007 January;100.38;0.6;1.2
156;Frequent purchases;2007 February;100.77;0.4;1.7
157;Frequent purchases;2007 March;101.2;0.4;1.7
158;Frequent purchases;2007 April;101.83;0.6;1.4
159;Frequent purchases;2007 May;102.0;0.2;1.6
160;Frequent purchases;2007 June;102.15;0.1;1.4
161;Frequent purchases;2007 July;102.11;0.0;1.3
162;Frequent purchases;2007 August;101.84;-0.3;1.1
163;Frequent purchases;2007 September;102.21;0.4;2.2
164;Frequent purchases;2007 October;102.6;0.4;3.0
165;Frequent purchases;2007 November;103.58;1.0;3.9
166;Frequent purchases;2007 December;103.5;-0.1;3.7
167;Frequent purchases;2007;102.01;;2.0
168;Frequent purchases;2008 January;104.17;0.6;3.8
169;Frequent purchases;2008 February;104.81;0.6;4.0
170;Frequent purchases;2008 March;105.56;0.7;4.3
171;Frequent purchases;2008 April;106.11;0.5;4.2
172;Frequent purchases;2008 May;107.0;0.8;4.9
173;Frequent purchases;2008 June;107.69;0.6;5.4
174;Frequent purchases;2008 July;107.77;0.1;5.5
175;Frequent purchases;2008 August;107.08;-0.6;5.1
176;Frequent purchases;2008 September;107.2;0.1;4.9
177;Frequent purchases;2008 October;106.44;-0.7;3.7
178;Frequent purchases;2008 November;106.07;-0.3;2.4
179;Frequent purchases;2008 December;105.42;-0.6;1.9
180;Frequent purchases;2008;106.28;;4.2
181;Frequent purchases;2009 January;106.33;0.9;2.1
182;Frequent purchases;2009 February;107.02;0.6;2.1
183;Frequent purchases;2009 March;107.28;0.2;1.6
184;Frequent purchases;2009 April;107.74;0.4;1.5
185;Frequent purchases;2009 May;107.93;0.2;0.9
186;Frequent purchases;2009 June;108.31;0.4;0.6
187;Frequent purchases;2009 July;107.72;-0.5;0.0
188;Frequent purchases;2009 August;107.87;0.1;0.7
189;Frequent purchases;2009 September;107.58;-0.3;0.4
190;Frequent purchases;2009 October;107.89;0.3;1.4
191;Frequent purchases;2009 November;108.27;0.4;2.1
192;Frequent purchases;2009 December;108.44;0.2;2.9
193;Frequent purchases;2009;107.7;;1.3
194;Frequent purchases;2010 January;108.86;0.4;2.4
195;Frequent purchases;2010 February;109.41;0.5;2.2
196;Frequent purchases;2010 March;110.13;0.7;2.7
197;Frequent purchases;2010 April;110.61;0.4;2.7
198;Frequent purchases;2010 May;110.48;-0.1;2.4
199;Frequent purchases;2010 June;110.6;0.1;2.1
200;Frequent purchases;2010 July;110.47;-0.1;2.6
201;Frequent purchases;2010 August;110.23;-0.2;2.2
202;Frequent purchases;2010 September;110.22;0.0;2.5
203;Frequent purchases;2010 October;110.46;0.2;2.4
204;Frequent purchases;2010 November;110.58;0.1;2.1
205;Frequent purchases;2010 December;111.29;0.6;2.6
206;Frequent purchases;2010;110.28;;2.4
207;Frequent purchases;2011 January before recalculation;111.54;0.2;2.5
208;Frequent purchases;2011 February before recalculation;112.33;0.7;2.7
209;Frequent purchases;2011 March before recalculation;113.1;0.7;2.7
210;Frequent purchases;2011 April before recalculation;114.07;0.9;3.1
211;Frequent purchases;2011 May before recalculation;114.26;0.2;3.4
212;Frequent purchases;2011 June before recalculation;114.07;-0.2;3.1
213;Frequent purchases;2011 July before recalculation;114.18;0.1;3.4
214;Frequent purchases;2011 August before recalculation;113.93;-0.2;3.4
215;Frequent purchases;2011 September before recalculation;114.3;0.3;3.7
216;Frequent purchases;2011 October before recalculation;114.39;0.1;3.6
217;Frequent purchases;2011 November before recalculation;114.46;0.1;3.5
218;Frequent purchases;2011 December before recalculation;114.67;0.2;3.0
219;Frequent purchases;2011 January after recalculation;111.54;;
220;Frequent purchases;2011 February after recalculation;112.33;;
221;Frequent purchases;2011 March after recalculation;113.1;;
222;Frequent purchases;2011 April after recalculation;114.07;;
223;Frequent purchases;2011 May after recalculation;114.26;;
224;Frequent purchases;2011 June after recalculation;114.07;;
225;Frequent purchases;2011 July after recalculation;114.18;;
226;Frequent purchases;2011 August after recalculation;113.93;;
227;Frequent purchases;2011 September after recalculation;114.3;;
228;Frequent purchases;2011 October after recalculation;114.39;;
229;Frequent purchases;2011 November after recalculation;114.46;;
230;Frequent purchases;2011 December after recalculation;114.67;;
231;Frequent purchases;2011;113.77;;3.2
232;Frequent purchases;2012 January;115.33;0.6;3.4
233;Frequent purchases;2012 February;116.44;1.0;3.7
234;Frequent purchases;2012 March;117.03;0.5;3.5
235;Frequent purchases;2012 April;117.48;0.4;3.0
236;Frequent purchases;2012 May;116.96;-0.4;2.4
237;Frequent purchases;2012 June;116.95;0.0;2.5
238;Frequent purchases;2012 July;117.14;0.2;2.6
239;Frequent purchases;2012 August;117.29;0.1;2.9
240;Frequent purchases;2012 September;117.69;0.3;3.0
241;Frequent purchases;2012 October;118.71;0.9;3.8
242;Frequent purchases;2012 November;118.58;-0.1;3.6
243;Frequent purchases;2012 December;118.9;0.3;3.7
244;Frequent purchases;2012;117.37;;3.2
245;Frequent purchases;2013 January;119.07;0.1;3.2
246;Frequent purchases;2013 February;120.33;1.1;3.3
247;Frequent purchases;2013 March;120.76;0.4;3.2
248;Frequent purchases;2013 April;120.6;-0.1;2.7
249;Frequent purchases;2013 May;120.62;0.0;3.1
250;Frequent purchases;2013 June;120.74;0.1;3.2
251;Frequent purchases;2013 July;120.93;0.2;3.2
252;Frequent purchases;2013 August;120.76;-0.1;3.0
253;Frequent purchases;2013 September;120.54;-0.2;2.4
254;Frequent purchases;2013 October;120.01;-0.4;1.1
255;Frequent purchases;2013 November;119.82;-0.2;1.0
256;Frequent purchases;2013 December;120.49;0.6;1.3
257;Frequent purchases;2013;120.39;;2.6
258;Frequent purchases;2014 January;120.76;0.2;1.4
259;Frequent purchases;2014 February;121.16;0.3;0.7
260;Frequent purchases;2014 March;121.18;0.0;0.4
261;Frequent purchases;2014 April;121.59;0.3;0.8
262;Frequent purchases;2014 May;121.35;-0.2;0.6
263;Frequent purchases;2014 June;121.38;0.0;0.5
264;Frequent purchases;2014 July;121.62;0.2;0.6
265;Frequent purchases;2014 August;121.18;-0.4;0.4
266;Frequent purchases;2014 September;121.13;0.0;0.5
267;Frequent purchases;2014 October;120.79;-0.3;0.6
268;Frequent purchases;2014 November;120.5;-0.2;0.6
269;Frequent purchases;2014 December;119.92;-0.5;-0.5
270;Frequent purchases;2014;121.05;;0.6
271;Frequent purchases;2015 January;119.28;-0.5;-1.2
272;Frequent purchases;2015 February;120.21;0.8;-0.8
273;Frequent purchases;2015 March;120.77;0.5;-0.3
274;Frequent purchases;2015 April;121.22;0.4;-0.3
275;Frequent purchases;2015 May;121.35;0.1;0.0
276;Frequent purchases;2015 June;121.4;0.0;0.0
277;Frequent purchases;2015 July;121.83;0.4;0.2
278;Frequent purchases;2015 August;121.29;-0.4;0.1
279;Frequent purchases;2015 September;120.66;-0.5;-0.4
280;Frequent purchases;2015 October;120.49;-0.1;-0.3
281;Frequent purchases;2015 November;120.82;0.3;0.3
282;Frequent purchases;2015 December;120.55;-0.2;0.5
283;Frequent purchases;2015;120.82;;-0.2
284;Less frequent purchases;2006 January;98.43;;
285;Less frequent purchases;2006 February;99.03;0.6;
286;Less frequent purchases;2006 March;99.99;1.0;
287;Less frequent purchases;2006 April;100.25;0.3;
288;Less frequent purchases;2006 May;100.37;0.1;
289;Less frequent purchases;2006 June;99.69;-0.7;
290;Less frequent purchases;2006 July;99.36;-0.3;
291;Less frequent purchases;2006 August;100.17;0.8;
292;Less frequent purchases;2006 September;101.1;0.9;
293;Less frequent purchases;2006 October;100.93;-0.2;
294;Less frequent purchases;2006 November;100.65;-0.3;
295;Less frequent purchases;2006 December;100.03;-0.6;
296;Less frequent purchases;2006;100.0;;
297;Less frequent purchases;2007 January;99.93;-0.1;1.5
298;Less frequent purchases;2007 February;100.43;0.5;1.4
299;Less frequent purchases;2007 March;101.83;1.4;1.8
300;Less frequent purchases;2007 April;102.26;0.4;2.0
301;Less frequent purchases;2007 May;102.29;0.0;1.9
302;Less frequent purchases;2007 June;101.59;-0.7;1.9
303;Less frequent purchases;2007 July;100.9;-0.7;1.5
304;Less frequent purchases;2007 August;101.3;0.4;1.1
305;Less frequent purchases;2007 September;102.0;0.7;0.9
306;Less frequent purchases;2007 October;101.87;-0.1;0.9
307;Less frequent purchases;2007 November;101.63;-0.2;1.0
308;Less frequent purchases;2007 December;101.02;-0.6;1.0
309;Less frequent purchases;2007;101.42;;1.4
310;Less frequent purchases;2008 January;101.11;0.1;1.2
311;Less frequent purchases;2008 February;101.84;0.7;1.4
312;Less frequent purchases;2008 March;102.98;1.1;1.1
313;Less frequent purchases;2008 April;103.27;0.3;1.0
314;Less frequent purchases;2008 May;103.39;0.1;1.1
315;Less frequent purchases;2008 June;102.79;-0.6;1.2
316;Less frequent purchases;2008 July;102.98;0.2;2.1
317;Less frequent purchases;2008 August;103.62;0.6;2.3
318;Less frequent purchases;2008 September;104.22;0.6;2.2
319;Less frequent purchases;2008 October;104.24;0.0;2.3
320;Less frequent purchases;2008 November;103.85;-0.4;2.2
321;Less frequent purchases;2008 December;103.04;-0.8;2.0
322;Less frequent purchases;2008;103.11;;1.7
323;Less frequent purchases;2009 January;102.99;0.0;1.9
324;Less frequent purchases;2009 February;103.75;0.7;1.9
325;Less frequent purchases;2009 March;105.17;1.4;2.1
326;Less frequent purchases;2009 April;105.3;0.1;2.0
327;Less frequent purchases;2009 May;105.43;0.1;2.0
328;Less frequent purchases;2009 June;104.7;-0.7;1.9
329;Less frequent purchases;2009 July;103.31;-1.3;0.3
330;Less frequent purchases;2009 August;103.67;0.3;0.0
331;Less frequent purchases;2009 September;104.64;0.9;0.4
332;Less frequent purchases;2009 October;104.64;0.0;0.4
333;Less frequent purchases;2009 November;104.29;-0.3;0.4
334;Less frequent purchases;2009 December;103.3;-0.9;0.3
335;Less frequent purchases;2009;104.27;;1.1
336;Less frequent purchases;2010 January;103.05;-0.2;0.1
337;Less frequent purchases;2010 February;103.88;0.8;0.1
338;Less frequent purchases;2010 March;105.4;1.5;0.2
339;Less frequent purchases;2010 April;105.71;0.3;0.4
340;Less frequent purchases;2010 May;105.71;0.0;0.3
341;Less frequent purchases;2010 June;104.88;-0.8;0.2
342;Less frequent purchases;2010 July;104.5;-0.4;1.2
343;Less frequent purchases;2010 August;104.86;0.3;1.1
344;Less frequent purchases;2010 September;105.85;0.9;1.2
345;Less frequent purchases;2010 October;105.87;0.0;1.2
346;Less frequent purchases;2010 November;105.62;-0.2;1.3
347;Less frequent purchases;2010 December;104.93;-0.7;1.6
348;Less frequent purchases;2010;105.02;;0.7
349;Less frequent purchases;2011 January before recalculation;104.82;-0.1;1.7
350;Less frequent purchases;2011 February before recalculation;105.53;0.7;1.6
351;Less frequent purchases;2011 March before recalculation;107.06;1.4;1.6
352;Less frequent purchases;2011 April before recalculation;107.37;0.3;1.6
353;Less frequent purchases;2011 May before recalculation;107.52;0.1;1.7
354;Less frequent purchases;2011 June before recalculation;106.83;-0.6;1.9
355;Less frequent purchases;2011 July before recalculation;106.84;0.0;2.2
356;Less frequent purchases;2011 August before recalculation;107.19;0.3;2.2
357;Less frequent purchases;2011 September before recalculation;108.18;0.9;2.2
358;Less frequent purchases;2011 October before recalculation;108.11;-0.1;2.1
359;Less frequent purchases;2011 November before recalculation;107.87;-0.2;2.1
360;Less frequent purchases;2011 December before recalculation;107.08;-0.7;2.0
361;Less frequent purchases;2011 January after recalculation;104.63;;
362;Less frequent purchases;2011 February after recalculation;105.45;;
363;Less frequent purchases;2011 March after recalculation;106.89;;
364;Less frequent purchases;2011 April after recalculation;107.28;;
365;Less frequent purchases;2011 May after recalculation;107.31;;
366;Less frequent purchases;2011 June after recalculation;106.61;;
367;Less frequent purchases;2011 July after recalculation;107.36;;
368;Less frequent purchases;2011 August after recalculation;107.76;;
369;Less frequent purchases;2011 September after recalculation;108.16;;
370;Less frequent purchases;2011 October after recalculation;108.19;;
371;Less frequent purchases;2011 November after recalculation;107.65;;
372;Less frequent purchases;2011 December after recalculation;107.13;;
373;Less frequent purchases;2011;107.03;;1.9
374;Less frequent purchases;2012 January;106.73;-0.4;2.0
375;Less frequent purchases;2012 February;107.42;0.6;1.9
376;Less frequent purchases;2012 March;109.0;1.5;2.0
377;Less frequent purchases;2012 April;109.46;0.4;2.0
378;Less frequent purchases;2012 May;109.46;0.0;2.0
379;Less frequent purchases;2012 June;108.67;-0.7;1.9
380;Less frequent purchases;2012 July;109.67;0.9;2.2
381;Less frequent purchases;2012 August;109.8;0.1;1.9
382;Less frequent purchases;2012 September;110.29;0.4;2.0
383;Less frequent purchases;2012 October;110.79;0.5;2.4
384;Less frequent purchases;2012 November;110.16;-0.6;2.3
385;Less frequent purchases;2012 December;109.79;-0.3;2.5
386;Less frequent purchases;2012;109.27;;2.1
387;Less frequent purchases;2013 January;109.75;0.0;2.8
388;Less frequent purchases;2013 February;110.45;0.6;2.8
389;Less frequent purchases;2013 March;112.04;1.4;2.8
390;Less frequent purchases;2013 April;112.26;0.2;2.6
391;Less frequent purchases;2013 May;112.29;0.0;2.6
392;Less frequent purchases;2013 June;111.6;-0.6;2.7
393;Less frequent purchases;2013 July;112.94;1.2;3.0
394;Less frequent purchases;2013 August;112.81;-0.1;2.7
395;Less frequent purchases;2013 September;113.0;0.2;2.5
396;Less frequent purchases;2013 October;112.77;-0.2;1.8
397;Less frequent purchases;2013 November;112.02;-0.7;1.7
398;Less frequent purchases;2013 December;111.79;-0.2;1.8
399;Less frequent purchases;2013;111.98;;2.5
400;Less frequent purchases;2014 January;111.3;-0.4;1.4
401;Less frequent purchases;2014 February;111.83;0.5;1.3
402;Less frequent purchases;2014 March;113.23;1.3;1.1
403;Less frequent purchases;2014 April;113.82;0.5;1.4
404;Less frequent purchases;2014 May;113.35;-0.4;0.9
405;Less frequent purchases;2014 June;112.88;-0.4;1.2
406;Less frequent purchases;2014 July;114.15;1.1;1.1
407;Less frequent purchases;2014 August;114.24;0.1;1.3
408;Less frequent purchases;2014 September;114.23;0.0;1.1
409;Less frequent purchases;2014 October;114.19;0.0;1.3
410;Less frequent purchases;2014 November;113.32;-0.8;1.2
411;Less frequent purchases;2014 December;113.24;-0.1;1.3
412;Less frequent purchases;2014;113.31;;1.2
413;Less frequent purchases;2015 January;112.05;-1.1;0.7
414;Less frequent purchases;2015 February;112.53;0.4;0.6
415;Less frequent purchases;2015 March;114.09;1.4;0.8
416;Less frequent purchases;2015 April;114.98;0.8;1.0
417;Less frequent purchases;2015 May;115.3;0.3;1.7
418;Less frequent purchases;2015 June;114.59;-0.6;1.5
419;Less frequent purchases;2015 July;115.81;1.1;1.5
420;Less frequent purchases;2015 August;115.53;-0.2;1.1
421;Less frequent purchases;2015 September;115.53;0.0;1.1
422;Less frequent purchases;2015 October;115.45;-0.1;1.1
423;Less frequent purchases;2015 November;114.3;-1.0;0.9
424;Less frequent purchases;2015 December;114.22;-0.1;0.9
425;Less frequent purchases;2015;114.53;;1.1
