ID;Geslacht;Startjaar;Vooropleiding;Peilmoment;StudierichtingDiploma;OnderwijspositiePeilmoment;TotaalStudentenStartjaar_1;TotaalGediplomeerden_2;AssociateDegree_3;Bachelor_4;TotaalGediplomeerden_5;AssociateDegree_6;Bachelor_7;NietGediplomeerden_8;NietGediplomeerdenRelatief_9
23;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0114 Lerarenopleiding algemene en ber...;Totaal studenten uit hbo op peilmoment ;;53;0;53;0;0;0;;
24;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;02 Vormgeving, kunst, talen en gesch...;Totaal onderwijspositie;;29;0;29;0;0;0;;
25;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;02 Vormgeving, kunst, talen en gesch...;Totaal studenten in hbo op peilmoment ;;6;0;6;0;0;0;;
26;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;02 Vormgeving, kunst, talen en gesch...;Totaal studenten uit hbo op peilmoment ;;23;0;23;0;0;0;;
27;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;020 Vormgeving, kunst, talen… z.n.d.;Totaal onderwijspositie;;0;0;0;0;0;0;;
28;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;020 Vormgeving, kunst, talen… z.n.d.;Totaal studenten in hbo op peilmoment ;;0;0;0;0;0;0;;
29;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;020 Vormgeving, kunst, talen… z.n.d.;Totaal studenten uit hbo op peilmoment ;;0;0;0;0;0;0;;
30;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0200 Vormgeving, kunst, talen… z.n.d.;Totaal onderwijspositie;;0;0;0;0;0;0;;
31;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0200 Vormgeving, kunst, talen… z.n.d.;Totaal studenten in hbo op peilmoment ;;0;0;0;0;0;0;;
32;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0200 Vormgeving, kunst, talen… z.n.d.;Totaal studenten uit hbo op peilmoment ;;0;0;0;0;0;0;;
33;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;021 Kunst;Totaal onderwijspositie;;26;0;26;0;0;0;;
34;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;021 Kunst;Totaal studenten in hbo op peilmoment ;;6;0;6;0;0;0;;
35;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;021 Kunst;Totaal studenten uit hbo op peilmoment ;;20;0;20;0;0;0;;
36;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0210 Kunst z.n.d.;Totaal onderwijspositie;;0;0;0;0;0;0;;
37;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0210 Kunst z.n.d.;Totaal studenten in hbo op peilmoment ;;0;0;0;0;0;0;;
38;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0210 Kunst z.n.d.;Totaal studenten uit hbo op peilmoment ;;0;0;0;0;0;0;;
39;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0211 Audiovisuele techniek en mediapr...;Totaal onderwijspositie;;2;0;2;0;0;0;;
40;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0211 Audiovisuele techniek en mediapr...;Totaal studenten in hbo op peilmoment ;;0;0;0;0;0;0;;
41;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0211 Audiovisuele techniek en mediapr...;Totaal studenten uit hbo op peilmoment ;;2;0;2;0;0;0;;
42;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0212 Mode-, interieur- en industriële...;Totaal onderwijspositie;;0;0;0;0;0;0;;
43;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0212 Mode-, interieur- en industriële...;Totaal studenten in hbo op peilmoment ;;0;0;0;0;0;0;;
44;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0212 Mode-, interieur- en industriële...;Totaal studenten uit hbo op peilmoment ;;0;0;0;0;0;0;;
45;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0213 Beeldende kunst, kunstgeschiedenis;Totaal onderwijspositie;;6;0;6;0;0;0;;
46;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0213 Beeldende kunst, kunstgeschiedenis;Totaal studenten in hbo op peilmoment ;;0;0;0;0;0;0;;
47;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0213 Beeldende kunst, kunstgeschiedenis;Totaal studenten uit hbo op peilmoment ;;6;0;6;0;0;0;;
48;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0214 Kunstnijverheid;Totaal onderwijspositie;;0;0;0;0;0;0;;
49;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0214 Kunstnijverheid;Totaal studenten in hbo op peilmoment ;;0;0;0;0;0;0;;
50;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0214 Kunstnijverheid;Totaal studenten uit hbo op peilmoment ;;0;0;0;0;0;0;;
51;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0215 Muziek en theater;Totaal onderwijspositie;;18;0;18;0;0;0;;
52;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0215 Muziek en theater;Totaal studenten in hbo op peilmoment ;;6;0;6;0;0;0;;
53;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0215 Muziek en theater;Totaal studenten uit hbo op peilmoment ;;12;0;12;0;0;0;;
54;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;022 Geesteswetenschappen;Totaal onderwijspositie;;3;0;3;0;0;0;;
55;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;022 Geesteswetenschappen;Totaal studenten in hbo op peilmoment ;;0;0;0;0;0;0;;
56;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;022 Geesteswetenschappen;Totaal studenten uit hbo op peilmoment ;;3;0;3;0;0;0;;
57;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0220 Geesteswetenschappen z.n.d.;Totaal onderwijspositie;;0;0;0;0;0;0;;
58;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0220 Geesteswetenschappen z.n.d.;Totaal studenten in hbo op peilmoment ;;0;0;0;0;0;0;;
59;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0220 Geesteswetenschappen z.n.d.;Totaal studenten uit hbo op peilmoment ;;0;0;0;0;0;0;;
60;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0221 Theologie, levensbeschouwing;Totaal onderwijspositie;;3;0;3;0;0;0;;
61;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0221 Theologie, levensbeschouwing;Totaal studenten in hbo op peilmoment ;;0;0;0;0;0;0;;
62;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0221 Theologie, levensbeschouwing;Totaal studenten uit hbo op peilmoment ;;3;0;3;0;0;0;;
63;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0222 Geschiedenis, archeologie;Totaal onderwijspositie;;0;0;0;0;0;0;;
64;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0222 Geschiedenis, archeologie;Totaal studenten in hbo op peilmoment ;;0;0;0;0;0;0;;
65;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0222 Geschiedenis, archeologie;Totaal studenten uit hbo op peilmoment ;;0;0;0;0;0;0;;
66;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0223 Filosofie en ethiek;Totaal onderwijspositie;;0;0;0;0;0;0;;
67;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0223 Filosofie en ethiek;Totaal studenten in hbo op peilmoment ;;0;0;0;0;0;0;;
68;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0223 Filosofie en ethiek;Totaal studenten uit hbo op peilmoment ;;0;0;0;0;0;0;;
69;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;023 Talen;Totaal onderwijspositie;;0;0;0;0;0;0;;
70;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;023 Talen;Totaal studenten in hbo op peilmoment ;;0;0;0;0;0;0;;
71;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;023 Talen;Totaal studenten uit hbo op peilmoment ;;0;0;0;0;0;0;;
72;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0230 Talen z.n.d.;Totaal onderwijspositie;;0;0;0;0;0;0;;
73;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0230 Talen z.n.d.;Totaal studenten in hbo op peilmoment ;;0;0;0;0;0;0;;
74;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0230 Talen z.n.d.;Totaal studenten uit hbo op peilmoment ;;0;0;0;0;0;0;;
75;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0231 Vreemde talen;Totaal onderwijspositie;;0;0;0;0;0;0;;
76;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0231 Vreemde talen;Totaal studenten in hbo op peilmoment ;;0;0;0;0;0;0;;
77;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0231 Vreemde talen;Totaal studenten uit hbo op peilmoment ;;0;0;0;0;0;0;;
78;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0232 Moedertaal, literatuur-, taalwe...;Totaal onderwijspositie;;0;0;0;0;0;0;;
79;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0232 Moedertaal, literatuur-, taalwe...;Totaal studenten in hbo op peilmoment ;;0;0;0;0;0;0;;
80;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0232 Moedertaal, literatuur-, taalwe...;Totaal studenten uit hbo op peilmoment ;;0;0;0;0;0;0;;
81;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;03 Journalistiek, gedrag en maatschappij;Totaal onderwijspositie;;25;0;25;0;0;0;;
82;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;03 Journalistiek, gedrag en maatschappij;Totaal studenten in hbo op peilmoment ;;0;0;0;0;0;0;;
83;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;03 Journalistiek, gedrag en maatschappij;Totaal studenten uit hbo op peilmoment ;;25;0;25;0;0;0;;
84;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;030 Journalistiek, gedrag en… z.n.d.;Totaal onderwijspositie;;0;0;0;0;0;0;;
85;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;030 Journalistiek, gedrag en… z.n.d.;Totaal studenten in hbo op peilmoment ;;0;0;0;0;0;0;;
86;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;030 Journalistiek, gedrag en… z.n.d.;Totaal studenten uit hbo op peilmoment ;;0;0;0;0;0;0;;
87;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0300 Journalistiek, gedrag en… z.n.d.;Totaal onderwijspositie;;0;0;0;0;0;0;;
88;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0300 Journalistiek, gedrag en… z.n.d.;Totaal studenten in hbo op peilmoment ;;0;0;0;0;0;0;;
89;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0300 Journalistiek, gedrag en… z.n.d.;Totaal studenten uit hbo op peilmoment ;;0;0;0;0;0;0;;
90;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;031 Gedrag en maatschappij;Totaal onderwijspositie;;23;0;23;0;0;0;;
91;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;031 Gedrag en maatschappij;Totaal studenten in hbo op peilmoment ;;0;0;0;0;0;0;;
92;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;031 Gedrag en maatschappij;Totaal studenten uit hbo op peilmoment ;;23;0;23;0;0;0;;
93;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0310 Gedrag en maatschappij z.n.d.;Totaal onderwijspositie;;0;0;0;0;0;0;;
94;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0310 Gedrag en maatschappij z.n.d.;Totaal studenten in hbo op peilmoment ;;0;0;0;0;0;0;;
95;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0310 Gedrag en maatschappij z.n.d.;Totaal studenten uit hbo op peilmoment ;;0;0;0;0;0;0;;
96;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0311 Economie en econometrie;Totaal onderwijspositie;;21;0;21;0;0;0;;
97;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0311 Economie en econometrie;Totaal studenten in hbo op peilmoment ;;0;0;0;0;0;0;;
98;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0311 Economie en econometrie;Totaal studenten uit hbo op peilmoment ;;21;0;21;0;0;0;;
99;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0312 Politicologie, maatschappijweten...;Totaal onderwijspositie;;0;0;0;0;0;0;;
100;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0312 Politicologie, maatschappijweten...;Totaal studenten in hbo op peilmoment ;;0;0;0;0;0;0;;
101;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0312 Politicologie, maatschappijweten...;Totaal studenten uit hbo op peilmoment ;;0;0;0;0;0;0;;
102;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0313 Psychologie;Totaal onderwijspositie;;0;0;0;0;0;0;;
103;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0313 Psychologie;Totaal studenten in hbo op peilmoment ;;0;0;0;0;0;0;;
104;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0313 Psychologie;Totaal studenten uit hbo op peilmoment ;;0;0;0;0;0;0;;
105;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0314 Sociologie en culturele wetensch...;Totaal onderwijspositie;;2;0;2;0;0;0;;
106;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0314 Sociologie en culturele wetensch...;Totaal studenten in hbo op peilmoment ;;0;0;0;0;0;0;;
107;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0314 Sociologie en culturele wetensch...;Totaal studenten uit hbo op peilmoment ;;2;0;2;0;0;0;;
108;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;032 Journalistiek, informatievoorziening;Totaal onderwijspositie;;2;0;2;0;0;0;;
109;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;032 Journalistiek, informatievoorziening;Totaal studenten in hbo op peilmoment ;;0;0;0;0;0;0;;
110;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;032 Journalistiek, informatievoorziening;Totaal studenten uit hbo op peilmoment ;;2;0;2;0;0;0;;
111;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0320 Journalistiek, informatie… z.n.d.;Totaal onderwijspositie;;0;0;0;0;0;0;;
112;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0320 Journalistiek, informatie… z.n.d.;Totaal studenten in hbo op peilmoment ;;0;0;0;0;0;0;;
113;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0320 Journalistiek, informatie… z.n.d.;Totaal studenten uit hbo op peilmoment ;;0;0;0;0;0;0;;
114;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0321 Journalistiek;Totaal onderwijspositie;;0;0;0;0;0;0;;
115;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0321 Journalistiek;Totaal studenten in hbo op peilmoment ;;0;0;0;0;0;0;;
116;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0321 Journalistiek;Totaal studenten uit hbo op peilmoment ;;0;0;0;0;0;0;;
117;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0322 Bibliotheek, documentaire inform...;Totaal onderwijspositie;;2;0;2;0;0;0;;
118;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0322 Bibliotheek, documentaire inform...;Totaal studenten in hbo op peilmoment ;;0;0;0;0;0;0;;
119;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0322 Bibliotheek, documentaire inform...;Totaal studenten uit hbo op peilmoment ;;2;0;2;0;0;0;;
120;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;04 Recht, administratie, handel en za…;Totaal onderwijspositie;;366;194;172;0;0;0;;
121;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;04 Recht, administratie, handel en za…;Totaal studenten in hbo op peilmoment ;;62;62;0;0;0;0;;
122;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;04 Recht, administratie, handel en za…;Totaal studenten uit hbo op peilmoment ;;304;132;172;2;1;1;;
123;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;040 Recht, administratie, handel z.n.d.;Totaal onderwijspositie;;0;0;0;0;0;0;;
124;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;040 Recht, administratie, handel z.n.d.;Totaal studenten in hbo op peilmoment ;;0;0;0;0;0;0;;
125;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;040 Recht, administratie, handel z.n.d.;Totaal studenten uit hbo op peilmoment ;;0;0;0;0;0;0;;
126;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0400 Recht, administratie, handel z.n.d.;Totaal onderwijspositie;;0;0;0;0;0;0;;
127;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0400 Recht, administratie, handel z.n.d.;Totaal studenten in hbo op peilmoment ;;0;0;0;0;0;0;;
128;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0400 Recht, administratie, handel z.n.d.;Totaal studenten uit hbo op peilmoment ;;0;0;0;0;0;0;;
129;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;041 Bedrijfskunde en administratie;Totaal onderwijspositie;;366;194;172;0;0;0;;
130;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;041 Bedrijfskunde en administratie;Totaal studenten in hbo op peilmoment ;;62;62;0;0;0;0;;
131;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;041 Bedrijfskunde en administratie;Totaal studenten uit hbo op peilmoment ;;304;132;172;2;1;1;;
132;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0410 Bedrijfskunde, administratie z.n.d.;Totaal onderwijspositie;;0;0;0;0;0;0;;
133;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0410 Bedrijfskunde, administratie z.n.d.;Totaal studenten in hbo op peilmoment ;;0;0;0;0;0;0;;
134;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0410 Bedrijfskunde, administratie z.n.d.;Totaal studenten uit hbo op peilmoment ;;0;0;0;0;0;0;;
135;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0411 Financieel management en fiscaal...;Totaal onderwijspositie;;115;103;12;0;0;0;;
136;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0411 Financieel management en fiscaal...;Totaal studenten in hbo op peilmoment ;;17;17;0;0;0;0;;
137;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0411 Financieel management en fiscaal...;Totaal studenten uit hbo op peilmoment ;;98;86;12;1;1;0;;
138;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0412 Financiële dienstverlening;Totaal onderwijspositie;;0;0;0;0;0;0;;
139;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0412 Financiële dienstverlening;Totaal studenten in hbo op peilmoment ;;0;0;0;0;0;0;;
140;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0412 Financiële dienstverlening;Totaal studenten uit hbo op peilmoment ;;0;0;0;0;0;0;;
141;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0413 Management bedrijfs- en personee…;Totaal onderwijspositie;;233;89;144;0;0;0;;
142;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0413 Management bedrijfs- en personee…;Totaal studenten in hbo op peilmoment ;;45;45;0;0;0;0;;
143;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0413 Management bedrijfs- en personee…;Totaal studenten uit hbo op peilmoment ;;188;44;144;1;0;1;;
144;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0414 Marketing en public relations;Totaal onderwijspositie;;15;0;15;0;0;0;;
145;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0414 Marketing en public relations;Totaal studenten in hbo op peilmoment ;;0;0;0;0;0;0;;
146;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0414 Marketing en public relations;Totaal studenten uit hbo op peilmoment ;;15;0;15;0;0;0;;
147;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0415 Secretariële en administratieve...;Totaal onderwijspositie;;0;0;0;0;0;0;;
148;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0415 Secretariële en administratieve...;Totaal studenten in hbo op peilmoment ;;0;0;0;0;0;0;;
149;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0415 Secretariële en administratieve...;Totaal studenten uit hbo op peilmoment ;;0;0;0;0;0;0;;
150;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0416 Groothandel en detailhandel;Totaal onderwijspositie;;3;2;1;0;0;0;;
151;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0416 Groothandel en detailhandel;Totaal studenten in hbo op peilmoment ;;0;0;0;0;0;0;;
152;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0416 Groothandel en detailhandel;Totaal studenten uit hbo op peilmoment ;;3;2;1;0;0;0;;
153;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0417 Werkgerelateerde en bedrijfsger ...;Totaal onderwijspositie;;0;0;0;0;0;0;;
154;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0417 Werkgerelateerde en bedrijfsger ...;Totaal studenten in hbo op peilmoment ;;0;0;0;0;0;0;;
155;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0417 Werkgerelateerde en bedrijfsger ...;Totaal studenten uit hbo op peilmoment ;;0;0;0;0;0;0;;
156;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;042 Recht;Totaal onderwijspositie;;0;0;0;0;0;0;;
157;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;042 Recht;Totaal studenten in hbo op peilmoment ;;0;0;0;0;0;0;;
158;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;042 Recht;Totaal studenten uit hbo op peilmoment ;;0;0;0;0;0;0;;
159;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0421 Recht;Totaal onderwijspositie;;0;0;0;0;0;0;;
160;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0421 Recht;Totaal studenten in hbo op peilmoment ;;0;0;0;0;0;0;;
