ID;Regions;Periods;AllCountries_1;Netherlands_2;TotalForeignCountries_3;EuropeExcludingTheNetherlands_4;Germany_5;Belgium_6;UnitedKingdom_7;France_8;Switzerland_9;Italy_10;Spain_11;Denmark_12;Sweden_13;OtherCountriesEuroZone_14;OtherEuropeanCountries_15;America_16;Asia_17;AustraliaAndOceania_18;Africa_19;AllCountries_20;Netherlands_21;TotalForeignCountries_22;EuropeExcludingTheNetherlands_23;Germany_24;Belgium_25;UnitedKingdom_26;France_27;Switzerland_28;Italy_29;Spain_30;Denmark_31;Sweden_32;OtherCountriesEuroZone_33;OtherEuropeanCountries_34;America_35;Asia_36;AustraliaAndOceania_37;Africa_38
0;Nederland;1998 January;1127.4;682.8;444.7;343.5;99.5;31.2;86.7;24.4;5.9;20.1;8.5;5.1;;;62.2;60.4;30.5;6.1;4.1;2619.3;1647.3;972.0;635.3;277.6;70.1;160.5;45.1;11.2;42.4;18.6;9.8;;;129.8;123.7;60.7;12.2;10.3
1;Nederland;1998 February;1228.5;750.2;478.3;382.7;105.9;37.2;104.9;26.5;5.6;14.4;9.4;5.0;;;73.9;56.4;30.5;4.3;4.4;2943.0;1928.3;1014.7;671.7;263.2;82.4;210.3;49.2;10.1;27.6;19.7;9.2;;;146.4;114.3;62.7;8.1;11.5
2;Nederland;1998 March;1432.9;819.4;613.4;473.4;130.8;38.0;130.8;31.4;9.0;20.2;11.6;8.4;;;93.2;79.1;48.3;7.5;5.2;3275.0;1977.3;1297.7;842.4;357.9;81.9;253.0;54.5;16.1;39.5;22.7;16.8;;;182.7;154.5;92.9;14.3;11.0
3;Nederland;1998 1st Quarter;3788.8;2252.4;1536.4;1199.6;336.2;106.4;322.4;82.2;20.4;54.7;29.4;18.5;;;229.3;195.9;109.3;17.8;13.7;8837.3;5552.9;3284.4;2149.4;898.7;234.4;623.8;148.8;37.4;109.5;61.0;35.8;;;458.9;392.5;216.4;34.5;32.7
4;Nederland;1998 April;2037.5;1064.6;972.9;688.4;329.4;65.5;156.2;51.8;16.5;26.4;18.4;13.8;;;10.2;5.9;123.6;93.7;61.3;5635.1;2991.9;2643.3;2056.3;1269.4;183.8;339.1;104.2;34.7;53.3;37.9;33.9;;;253.1;187.6;110.7;22.1;13.4
5;Nederland;1998 May;2645.7;1657.1;988.6;670.3;299.3;57.0;157.4;56.3;16.5;31.5;25.4;13.6;;;13.3;6.4;125.6;122.8;63.4;7456.3;5131.1;2325.3;1687.8;970.5;131.6;316.8;99.5;34.1;58.8;48.9;27.6;;;244.9;237.1;112.1;27.9;15.4
6;Nederland;1998 June;2440.2;1538.2;902.0;584.0;299.3;42.5;131.1;35.2;13.4;22.3;17.5;9.2;;;13.5;7.0;117.1;135.7;58.3;8015.1;5449.1;2566.0;1904.2;1331.7;119.9;261.3;64.3;25.7;45.3;35.2;20.7;;;238.5;258.9;115.3;29.2;19.9
7;Nederland;1998 2nd Quarter;7123.4;4259.9;2863.5;2272.0;928.0;165.0;444.7;143.3;46.5;80.1;61.3;36.7;;;366.3;352.2;183.0;37.0;19.3;21106.5;13572.0;7534.5;5648.3;3571.6;435.2;917.2;268.1;94.5;157.4;122.0;82.2;;;736.5;683.6;338.1;79.3;48.7
8;Nederland;1998 July;2580.9;1554.8;1026.1;816.7;339.4;72.6;142.7;46.1;18.6;31.9;25.9;17.8;;;121.8;127.6;55.1;15.7;11.0;11750.4;8185.4;3565.1;2883.7;2018.6;248.0;306.8;95.8;47.4;65.1;53.6;48.6;;;265.1;247.2;111.5;31.5;26.1
9;Nederland;1998 August;3138.0;1992.3;1145.7;941.6;379.8;76.7;156.0;53.5;14.5;91.2;40.7;9.0;;;120.2;117.6;64.6;14.1;7.9;15723.0;11879.5;3843.5;3136.4;2007.8;266.4;394.3;115.8;36.8;204.3;89.2;21.6;;;273.6;250.8;135.1;28.2;19.5
