ID;LandVanLading;LandVanLossing;Perioden;LadingtonkilometersTotaal_1;LadingtonkilometersInNederland_2;LadingtonkilometersInBuitenland_3;TotaalVervoerdGewicht_4;LandbouwproductenDieren_5;VoedingsproductenVeevoeder_6;VasteBrandstoffen_7;AardolienAardolieproducten_8;ErtsenEnMetaalresiduen_9;MetalenMetalenHalffabricaten_10;RuweMineralenEnBouwmaterialen_11;Meststoffen_12;ChemischeProducten_13;OverigeGoederenEnFabricaten_14;Containervervoer_15
96;Totaal geladen;Frankrijk;2007;4866.0;1137.0;3729.0;6861.0;65.0;256.0;2475.0;493.0;1014.0;596.0;469.0;551.0;608.0;335.0;29.0
97;Totaal geladen;Frankrijk;2008;4847.0;1137.0;3710.0;6783.0;58.0;278.0;2545.0;536.0;1040.0;489.0;412.0;505.0;607.0;315.0;26.0
98;Totaal geladen;Frankrijk;2009;4050.0;979.0;3071.0;5690.0;65.0;257.0;2070.0;823.0;485.0;337.0;527.0;354.0;536.0;234.0;21.0
99;Totaal geladen;Frankrijk;2010;;;;8324.0;;;;;;;;;;;
100;Totaal geladen;Frankrijk;2011;;;;7801.0;;;;;;;;;;;
101;Totaal geladen;Frankrijk;2012;;;;7866.0;;;;;;;;;;;
102;Totaal geladen;Overige landen (m.n. binnen Europa);1996;7003.0;1182.0;5821.0;7439.0;344.0;534.0;329.0;2075.0;866.0;1170.0;403.0;208.0;179.0;1330.0;16.0
103;Totaal geladen;Overige landen (m.n. binnen Europa);1997;8196.0;1312.0;6884.0;8135.0;287.0;501.0;183.0;3217.0;520.0;910.0;603.0;241.0;466.0;1207.0;65.0
104;Totaal geladen;Overige landen (m.n. binnen Europa);1998;8414.0;1396.0;7018.0;8504.0;293.0;730.0;164.0;3374.0;519.0;1331.0;361.0;217.0;441.0;1069.0;70.0
105;Totaal geladen;Overige landen (m.n. binnen Europa);1999;7640.0;1265.0;6375.0;7612.0;254.0;688.0;154.0;2568.0;594.0;1059.0;319.0;259.0;556.0;1157.0;96.0
106;Totaal geladen;Overige landen (m.n. binnen Europa);2000;8283.0;1381.0;6902.0;8358.0;243.0;745.0;320.0;2857.0;539.0;1161.0;321.0;273.0;528.0;1370.0;121.0
107;Totaal geladen;Overige landen (m.n. binnen Europa);2001;12221.0;1825.0;10396.0;12085.0;228.0;1456.0;331.0;5052.0;785.0;1468.0;340.0;301.0;623.0;1500.0;132.0
108;Totaal geladen;Overige landen (m.n. binnen Europa);2002;9380.0;1501.0;7879.0;9175.0;202.0;1046.0;217.0;3635.0;666.0;1128.0;320.0;350.0;641.0;967.0;114.0
109;Totaal geladen;Overige landen (m.n. binnen Europa);2003;7461.0;1139.0;6322.0;7005.0;233.0;863.0;118.0;2943.0;582.0;473.0;294.0;254.0;609.0;630.0;67.0
110;Totaal geladen;Overige landen (m.n. binnen Europa);2004;7284.0;1115.0;6169.0;6789.0;194.0;686.0;202.0;2526.0;675.0;653.0;342.0;275.0;614.0;619.0;79.0
111;Totaal geladen;Overige landen (m.n. binnen Europa);2005;6916.0;1050.0;5866.0;6473.0;105.0;715.0;196.0;2572.0;603.0;579.0;276.0;279.0;676.0;471.0;69.0
112;Totaal geladen;Overige landen (m.n. binnen Europa);2006;6631.0;1042.0;5589.0;6222.0;186.0;584.0;222.0;2300.0;586.0;675.0;223.0;244.0;655.0;545.0;72.0
