ID;Periods;TheValueOfSharesOnTheTotalMarket_1;TheValueOfSharesOnTheOffMarket_2;TotalCompaniesExchangeValue_3;Internationals_4;TotalLocalInstitutions_5;FinancialInstitutions_6;NonFinancialInstitutions_7;Mining_8;ManufacturingOfConsumerGoods_9;ManufacturingOfCapitalGoods_10;ManufacturingOfBasicGoods_11;ConstructionAndInstallation_12;TransportStorageAndCommunication_13;NonFinancialServices_14;Trade_15;BankingFinancialActivities_16;Insurance_17;ExchangeValueOfMutualFunds_18;TheShareMarketValueOfPropertyFunds_19;TheShareMarketOfOtherFunds_20;TheShareMarketValueOnTheNewMarket_21
38;1987 February;;;69624;;;;;;;;;;;;;;;;;;
39;1987 March;;;74756;;;;;;;;;;;;;;;;;;
40;1987 April;;;74868;;;;;;;;;;;;;;;;;;
41;1987 May;;;77131;;;;;;;;;;;;;;;;;;
42;1987 June;;;82663;;;;;;;;;;;;;;;;;;
43;1987 July;;;86882;;;;;;;;;;;;;;;;;;
44;1987 August;;;84828;;;;;;;;;;;;;;;;;;
45;1987 September;;;83070;;;;;;;;;;;;;;;;;;
46;1987 October;;;63740;;;;;;;;;;;;;;;;;;
47;1987 November;;;55452;;;;;;;;;;;;;;;;;;
48;1987 December;73907.0;73907.0;57553;36532.0;21020.0;9255.0;11765.0;24256.0;10892.0;3804.0;3263.0;286.0;1213.0;2530.0;2054.0;4384.0;4871.0;10779.0;3398.0;2177.0;
49;1988 January;76266.0;76266.0;59499;38162.0;21337.0;8950.0;12386.0;25849.0;11203.0;3684.0;3333.0;303.0;1291.0;2656.0;2230.0;4188.0;4762.0;11079.0;3449.0;2239.0;
50;1988 February;80498.0;80498.0;63017;39591.0;23426.0;10122.0;13304.0;26044.0;12334.0;3817.0;3707.0;353.0;1451.0;2832.0;2357.0;4603.0;5519.0;11638.0;3546.0;2296.0;
51;1988 March;82576.0;82576.0;64957;40209.0;24748.0;10481.0;14267.0;26835.0;12163.0;4159.0;3883.0;420.0;1533.0;3008.0;2475.0;4766.0;5715.0;11913.0;3625.0;2082.0;
52;1988 April;85127.0;85127.0;66836;41657.0;25179.0;10582.0;14598.0;28051.0;12282.0;4178.0;4071.0;418.0;1646.0;3110.0;2497.0;4706.0;5876.0;12038.0;3799.0;2453.0;
53;1988 May;83635.0;83635.0;65414;39882.0;25531.0;10832.0;14700.0;26737.0;11735.0;4211.0;4102.0;402.0;1593.0;3306.0;2495.0;4815.0;6016.0;11946.0;3901.0;2374.0;
54;1988 June;89749.0;89749.0;70746;42053.0;28693.0;11716.0;16977.0;27540.0;12558.0;4899.0;4749.0;442.0;1775.0;4392.0;2674.0;5204.0;6513.0;12494.0;3963.0;2546.0;
55;1988 July;93956.0;93956.0;74428;44447.0;29981.0;12496.0;17485.0;29218.0;13183.0;4818.0;5283.0;459.0;1782.0;4455.0;2733.0;5868.0;6627.0;12722.0;4160.0;2647.0;
56;1988 August;91039.0;91039.0;71584;42491.0;29093.0;12027.0;17066.0;27721.0;12568.0;4936.0;5180.0;455.0;1653.0;4302.0;2742.0;5606.0;6421.0;12609.0;4305.0;2541.0;
57;1988 September;93087.0;93087.0;73313;42840.0;30473.0;12626.0;17847.0;27429.0;13080.0;4997.0;5586.0;559.0;1770.0;4536.0;2732.0;5689.0;6936.0;12853.0;4344.0;2577.0;
58;1998 October;94613.0;94613.0;74668;43215.0;31453.0;12865.0;18588.0;27295.0;13435.0;5282.0;5870.0;574.0;1881.0;4828.0;2614.0;5912.0;6977.0;13023.0;4353.0;2568.0;
59;1988 November;93363.0;93363.0;72852;42149.0;30703.0;12194.0;18509.0;27124.0;13009.0;5012.0;5599.0;598.0;1907.0;4576.0;2834.0;5622.0;6572.0;13225.0;4755.0;2532.0;
60;1988 December;98082.0;98082.0;76770;43898.0;32872.0;13117.0;19755.0;27852.0;13447.0;5602.0;6063.0;622.0;2137.0;4934.0;2996.0;5940.0;7177.0;13544.0;5145.0;2623.0;
61;1989 January;106470.0;106470.0;81629;47595.0;34034.0;13158.0;20876.0;30422.0;14484.0;6046.0;6198.0;701.0;2192.0;5198.0;3230.0;6033.0;7125.0;14913.0;5399.0;4529.0;
62;1989 February;106028.0;106028.0;81514;46058.0;35456.0;12729.0;22727.0;29229.0;14058.0;6055.0;8155.0;720.0;2222.0;5103.0;3243.0;5996.0;6733.0;14766.0;5397.0;4351.0;
63;1989 March;113117.0;113117.0;87439;49968.0;37471.0;13408.0;24064.0;32393.0;14517.0;6626.0;8589.0;764.0;2409.0;5089.0;3642.0;6202.0;7206.0;15328.0;5757.0;4593.0;
64;1989 April;117413.0;117413.0;91092;51610.0;39482.0;13654.0;25828.0;33292.0;14929.0;6737.0;9328.0;882.0;2731.0;5605.0;3934.0;6326.0;7328.0;15861.0;5778.0;4681.0;
65;1989 May;118226.0;118226.0;91360;52212.0;39148.0;13454.0;25694.0;33777.0;14996.0;6797.0;9383.0;865.0;2742.0;5422.0;3924.0;6070.0;7385.0;16234.0;5893.0;4739.0;
66;1989 June;121424.0;121424.0;94090;52281.0;41808.0;14146.0;27663.0;33446.0;15535.0;7675.0;9743.0;918.0;2824.0;5732.0;4071.0;6451.0;7695.0;16296.0;6274.0;4764.0;
67;1989 July;127272.0;127272.0;97687;54481.0;43206.0;15154.0;28052.0;34569.0;16506.0;8258.0;9555.0;900.0;2891.0;5698.0;4157.0;7013.0;8141.0;17196.0;6327.0;6061.0;
68;1989 August;130721.0;130721.0;100410;56622.0;43788.0;15381.0;28407.0;35809.0;17236.0;8548.0;9436.0;947.0;2966.0;5834.0;4254.0;6921.0;8460.0;17663.0;6509.0;6140.0;
69;1989 September;130200.0;130200.0;99886;55669.0;44217.0;15403.0;28814.0;35031.0;16848.0;9237.0;9305.0;928.0;2940.0;5762.0;4433.0;6799.0;8604.0;17638.0;6501.0;6176.0;
70;1989 October;124892.0;124892.0;94760;53397.0;41362.0;14600.0;26762.0;33303.0;16093.0;8883.0;8604.0;924.0;2787.0;5483.0;4082.0;6338.0;8262.0;17517.0;6889.0;5726.0;
71;1989 November;127206.0;127206.0;96874;54580.0;42294.0;15293.0;27001.0;34033.0;16444.0;9058.0;8649.0;946.0;2767.0;5512.0;4172.0;6449.0;8844.0;17604.0;6961.0;5767.0;
72;1989 December;134264.0;134264.0;103677;56738.0;46938.0;16929.0;30009.0;35640.0;16937.0;8866.0;8941.0;960.0;2919.0;8346.0;4139.0;7807.0;9122.0;17873.0;6926.0;5789.0;
73;1990 January;129196.0;129196.0;99368;54459.0;44910.0;16219.0;28690.0;34961.0;15790.0;8362.0;8093.0;924.0;2773.0;8198.0;3649.0;7957.0;8662.0;17320.0;7048.0;5459.0;
74;1990 February;125702.0;125702.0;96342;53353.0;42989.0;15588.0;27400.0;35083.0;14875.0;7971.0;7610.0;850.0;2604.0;8008.0;3753.0;7222.0;8367.0;16943.0;7129.0;5289.0;
75;1990 March;130303.0;130303.0;101762;54928.0;46834.0;16849.0;29985.0;35325.0;15959.0;8485.0;8558.0;947.0;2849.0;8545.0;4245.0;7711.0;9138.0;17050.0;7035.0;4456.0;
76;1990 April;127074.0;127074.0;98987;51887.0;47099.0;16449.0;30651.0;33599.0;15487.0;8309.0;8358.0;1007.0;2795.0;8543.0;4440.0;7469.0;8979.0;16722.0;7028.0;4337.0;
77;1990 May;132885.0;132885.0;103473;54416.0;49057.0;16939.0;32118.0;35576.0;16900.0;7860.0;8682.0;1037.0;2767.0;8877.0;4836.0;7426.0;9513.0;17834.0;7109.0;4469.0;
78;1990 June;132877.0;132877.0;103479;53505.0;49974.0;16982.0;32992.0;34332.0;17457.0;7729.0;8799.0;1003.0;2834.0;9418.0;4924.0;7425.0;9557.0;17795.0;7155.0;4447.0;
79;1990 July;132764.0;132764.0;103514;54148.0;49366.0;16776.0;32590.0;36109.0;17277.0;6997.0;8397.0;986.0;2693.0;9623.0;4655.0;7381.0;9395.0;17834.0;6984.0;4432.0;
80;1990 August;121573.0;121573.0;93921;50097.0;43823.0;15197.0;28626.0;34309.0;15342.0;6029.0;7149.0;966.0;2213.0;8623.0;4093.0;7105.0;8092.0;16750.0;6870.0;4032.0;
81;1990 September;113072.0;113072.0;87676;47860.0;39815.0;13539.0;26276.0;33041.0;14710.0;5299.0;6249.0;889.0;2026.0;8032.0;3890.0;6172.0;7367.0;15776.0;5768.0;3852.0;
82;1990 October;114969.0;114969.0;89414;47705.0;41710.0;13899.0;27811.0;32436.0;16086.0;5107.0;6130.0;896.0;1948.0;8731.0;4180.0;6263.0;7636.0;16397.0;5192.0;3966.0;
83;1990 November;113445.0;113445.0;88064;48126.0;39938.0;13573.0;26365.0;32847.0;15903.0;5244.0;5764.0;865.0;1902.0;7855.0;4110.0;6273.0;7300.0;16408.0;4958.0;4016.0;
84;1990 December;113923.0;113923.0;87829;47748.0;40081.0;13489.0;26592.0;32017.0;16595.0;5002.0;5957.0;875.0;1916.0;7846.0;4132.0;6308.0;7181.0;16663.0;5368.0;4063.0;
85;1991 January;113637.0;113637.0;87429;46170.0;41259.0;14781.0;26478.0;30451.0;16061.0;5456.0;6347.0;866.0;1807.0;7677.0;3983.0;6891.0;7891.0;16894.0;5423.0;3891.0;
86;1991 February;123454.0;123454.0;95469;50842.0;44627.0;15646.0;28981.0;34002.0;16810.0;6269.0;7126.0;997.0;2112.0;8065.0;4441.0;7434.0;8212.0;18217.0;5454.0;4314.0;
87;1991 March;130396.0;130396.0;101293;54851.0;46442.0;15351.0;31091.0;36528.0;18086.0;6586.0;7974.0;969.0;2263.0;8819.0;4718.0;5377.0;9975.0;19110.0;5448.0;4544.0;
88;1991 April;133969.0;133969.0;104146;57366.0;46781.0;15514.0;31267.0;39079.0;18061.0;6517.0;8125.0;1006.0;2191.0;8930.0;4723.0;5368.0;10146.0;19549.0;5594.0;4679.0;
89;1991 May;134878.0;134878.0;105022;58071.0;46951.0;15612.0;31339.0;38907.0;18523.0;7082.0;8045.0;1000.0;2265.0;8908.0;4680.0;5505.0;10107.0;19555.0;5538.0;4763.0;
90;1991 June;132828.0;132828.0;102867;57495.0;45372.0;14908.0;30463.0;38615.0;18112.0;6864.0;7990.0;985.0;2335.0;8445.0;4613.0;5384.0;9524.0;19525.0;5752.0;4684.0;
91;1991 July;134863.0;134863.0;104676;58600.0;46076.0;15261.0;30815.0;39389.0;18194.0;7160.0;7995.0;1029.0;2325.0;8582.0;4741.0;5546.0;9715.0;19933.0;5533.0;4721.0;
92;1991 August;135154.0;135154.0;104181;58256.0;45925.0;15051.0;30874.0;38711.0;17988.0;7585.0;7837.0;1037.0;2303.0;8954.0;4715.0;5719.0;9332.0;19940.0;5554.0;5479.0;
93;1991 September;132487.0;132487.0;101634;55965.0;45669.0;14884.0;30785.0;36858.0;18027.0;7135.0;7577.0;986.0;2272.0;9174.0;4721.0;5634.0;9250.0;19965.0;5541.0;5347.0;
94;1991 October;134306.0;134306.0;102527;56753.0;45774.0;15159.0;30615.0;37220.0;18375.0;7058.0;7415.0;942.0;2452.0;9224.0;4682.0;5768.0;9391.0;20562.0;5861.0;5356.0;
95;1991 November;132005.0;132005.0;100881;54648.0;46233.0;15723.0;30509.0;34882.0;18522.0;7130.0;7441.0;909.0;2393.0;9281.0;4600.0;6098.0;9625.0;20045.0;5887.0;5191.0;
96;1991 December;131412.0;131412.0;100759;54548.0;46211.0;15603.0;30608.0;34566.0;19160.0;6687.0;7475.0;918.0;2447.0;9451.0;4453.0;6033.0;9570.0;20003.0;5731.0;4919.0;
97;1992 January;138502.0;138502.0;106502;56667.0;49836.0;17171.0;32664.0;35418.0;20381.0;7172.0;7961.0;960.0;2589.0;10161.0;4689.0;6619.0;10552.0;22023.0;5626.0;4350.0;
98;1992 February;140974.0;140974.0;108748;57135.0;51613.0;17519.0;34094.0;34833.0;20549.0;7995.0;8423.0;1000.0;2613.0;10862.0;4955.0;6743.0;10776.0;22354.0;5501.0;4370.0;
99;1992 March;139831.0;139831.0;107751;56291.0;51460.0;17265.0;34195.0;34370.0;20514.0;7964.0;8353.0;1025.0;2519.0;10909.0;4831.0;6455.0;10811.0;22267.0;5311.0;4502.0;
100;1992 April;144943.0;144943.0;112397;60122.0;52275.0;17078.0;35197.0;37215.0;21268.0;8253.0;8845.0;1017.0;2530.0;11375.0;4817.0;6593.0;10485.0;22606.0;5152.0;4788.0;
101;1992 May;148090.0;148090.0;114597;61144.0;53453.0;17017.0;36436.0;38361.0;21313.0;8418.0;9087.0;1009.0;2616.0;11827.0;4949.0;6426.0;10591.0;23482.0;5060.0;4951.0;
102;1992 June;142709.0;142709.0;109738;58166.0;51572.0;16675.0;34897.0;36854.0;21259.0;7102.0;8520.0;992.0;2391.0;11181.0;4766.0;6255.0;10420.0;23075.0;5109.0;4787.0;
103;1992 July;138466.0;138466.0;106068;55857.0;50212.0;16744.0;33468.0;35830.0;20805.0;6015.0;8004.0;961.0;2178.0;10985.0;4546.0;6526.0;10217.0;22913.0;4799.0;4686.0;
104;1992 August;135010.0;135010.0;103081;54775.0;48305.0;16187.0;32119.0;35148.0;20617.0;5738.0;7543.0;941.0;1788.0;10824.0;4296.0;6276.0;9911.0;22660.0;4619.0;4650.0;
105;1992 September;137661.0;137661.0;105491;55346.0;50145.0;17833.0;32312.0;35415.0;21004.0;5428.0;7444.0;944.0;1829.0;11410.0;4182.0;6982.0;10851.0;23049.0;4582.0;4539.0;
106;1992 October;135613.0;135613.0;102831;54096.0;48735.0;18746.0;29989.0;34950.0;20983.0;4528.0;6150.0;902.0;1702.0;10955.0;3917.0;7175.0;11571.0;23846.0;4573.0;4364.0;
107;1992 November;138422.0;138422.0;104287;55188.0;49099.0;18782.0;30317.0;36017.0;20880.0;4635.0;6327.0;871.0;1713.0;10992.0;4069.0;7134.0;11647.0;24827.0;4866.0;4442.0;
108;1992 December;140983.0;140983.0;106385;55693.0;50692.0;19594.0;31098.0;35973.0;21281.0;4629.0;6532.0;867.0;1717.0;11502.0;4290.0;7403.0;12190.0;25248.0;4937.0;4413.0;
109;1993 January;143781.0;143781.0;108237;56346.0;51891.0;20443.0;31447.0;36016.0;21202.0;5149.0;6555.0;876.0;1709.0;11788.0;4500.0;7497.0;12946.0;26025.0;4940.0;4578.0;
110;1993 February;150866.0;150866.0;113593;59035.0;54557.0;22278.0;32278.0;37525.0;23149.0;4776.0;6560.0;889.0;1668.0;12098.0;4649.0;8025.0;14253.0;27227.0;5206.0;4840.0;
111;1993 March;157421.0;157421.0;118627;61772.0;56855.0;22463.0;34392.0;39373.0;23831.0;5415.0;7141.0;977.0;1848.0;12813.0;4767.0;7978.0;14485.0;28057.0;5611.0;5126.0;
112;1993 April;155303.0;155303.0;116046;59707.0;56340.0;21729.0;34611.0;38205.0;22822.0;5432.0;7243.0;1027.0;1836.0;12783.0;4970.0;7713.0;14016.0;28420.0;5864.0;4973.0;
113;1993 May;159152.0;159152.0;117963;61959.0;56004.0;22128.0;33876.0;40735.0;22068.0;5806.0;6921.0;1077.0;1712.0;12571.0;4945.0;7833.0;14295.0;30308.0;5789.0;5092.0;
114;1993 June;166835.0;166835.0;124035;65592.0;58444.0;22396.0;36048.0;43045.0;22926.0;6324.0;7441.0;1344.0;1795.0;13632.0;5132.0;8326.0;14070.0;31396.0;6113.0;5290.0;
115;1993 July;172984.0;172984.0;128860;67420.0;61440.0;23918.0;37522.0;45088.0;21930.0;6737.0;8214.0;1385.0;2206.0;14248.0;5134.0;9025.0;14894.0;32434.0;6272.0;5418.0;
116;1993 August;183078.0;183078.0;137214;70338.0;66876.0;25568.0;41308.0;45987.0;23440.0;7876.0;8674.0;1450.0;2331.0;15617.0;5538.0;10268.0;16031.0;33626.0;6549.0;5690.0;
117;1993 September;178736.0;178736.0;134060;69049.0;65011.0;26696.0;38315.0;45329.0;22623.0;7759.0;8310.0;1448.0;2145.0;15427.0;5323.0;9725.0;15971.0;32915.0;6268.0;5493.0;
118;1993 October;192721.0;192721.0;145878;74117.0;71761.0;28549.0;43212.0;48540.0;24632.0;8358.0;9165.0;1536.0;2440.0;16949.0;5665.0;10908.0;17686.0;34415.0;6485.0;5944.0;
119;1993 November;192204.0;192204.0;144871;72601.0;72270.0;28856.0;43415.0;47372.0;24459.0;8123.0;9075.0;1566.0;2573.0;17119.0;5682.0;10685.0;18217.0;34920.0;6571.0;5842.0;
120;1993 December;203939.0;203939.0;153991;76520.0;77471.0;30445.0;47026.0;49663.0;25900.0;8686.0;10164.0;1618.0;2707.0;18924.0;5885.0;10983.0;19462.0;36730.0;7024.0;6194.0;
121;1994 January;215069.0;215069.0;161843;81140.0;80703.0;30329.0;50375.0;51905.0;26805.0;10237.0;11062.0;1814.0;3040.0;20087.0;6564.0;11136.0;19193.0;39195.0;7423.0;6608.0;
122;1994 February;207823.0;207823.0;158221;80263.0;77958.0;28791.0;49167.0;49820.0;25676.0;10021.0;13366.0;1825.0;3082.0;19134.0;6506.0;10727.0;18064.0;38993.0;7154.0;3455.0;
123;1994 March;204719.0;204719.0;153761;75922.0;77839.0;27262.0;50577.0;46191.0;26121.0;10483.0;13606.0;1858.0;3347.0;18504.0;6389.0;10200.0;17062.0;38078.0;7044.0;5836.0;
124;1994 April;209665.0;209665.0;157691;81059.0;76632.0;26571.0;50061.0;49717.0;24769.0;11084.0;14454.0;1840.0;4124.0;18685.0;6447.0;9897.0;16674.0;38751.0;6811.0;6413.0;
125;1994 May;204893.0;204893.0;152095;76799.0;75295.0;25793.0;49502.0;47409.0;23568.0;10644.0;13716.0;1810.0;3958.0;18880.0;6316.0;8955.0;16839.0;39240.0;7113.0;6445.0;
126;1994 June;209124.0;209124.0;157202;73674.0;83529.0;26233.0;57296.0;45631.0;22364.0;10440.0;12832.0;1704.0;14145.0;17657.0;6197.0;9594.0;16638.0;38724.0;6994.0;6204.0;
127;1994 July;219050.0;219050.0;166196;78497.0;87700.0;27354.0;60346.0;48528.0;23391.0;11107.0;14301.0;1735.0;14571.0;18767.0;6443.0;9722.0;17632.0;39286.0;6989.0;6578.0;
128;1994 August;224289.0;224289.0;170882;80319.0;90563.0;28110.0;62453.0;48673.0;24508.0;11636.0;14687.0;1784.0;15180.0;19771.0;6535.0;9939.0;18171.0;39949.0;6819.0;6639.0;
129;1994 September;216572.0;216572.0;163948;75621.0;88327.0;26715.0;61612.0;45558.0;23938.0;10863.0;14264.0;1672.0;14564.0;19550.0;6824.0;9603.0;17113.0;39607.0;6542.0;6475.0;
130;1994 October;221114.0;221114.0;168469;78681.0;89788.0;27708.0;62080.0;47747.0;24398.0;11308.0;14443.0;1703.0;14756.0;19596.0;6811.0;9889.0;17819.0;39638.0;6374.0;6633.0;
131;1994 November;219523.0;219523.0;166914;76161.0;90753.0;28668.0;62085.0;46412.0;24291.0;10997.0;13457.0;1641.0;14821.0;19725.0;6901.0;10029.0;18639.0;39720.0;6294.0;6595.0;
132;1994 December;222624.0;222624.0;169275;76210.0;93065.0;28579.0;64486.0;45997.0;24790.0;10824.0;13928.0;1649.0;15615.0;20756.0;7136.0;9981.0;18599.0;40010.0;6226.0;7112.0;
133;1995 January;220536.0;220536.0;167826;76420.0;91406.0;27825.0;63581.0;46289.0;24476.0;11242.0;13788.0;1612.0;15201.0;20254.0;7140.0;9691.0;18135.0;39293.0;6325.0;7091.0;
134;1995 February;219411.0;219411.0;167037;74957.0;92079.0;28256.0;63824.0;44877.0;24437.0;11364.0;13667.0;1621.0;15600.0;19992.0;7224.0;9849.0;18406.0;39274.0;6095.0;7005.0;
135;1995 March;215321.0;215321.0;162817;73970.0;88847.0;27235.0;61612.0;44973.0;24411.0;10864.0;12049.0;1438.0;14670.0;20034.0;7143.0;9442.0;17794.0;39541.0;5951.0;7012.0;
136;1995 April;224119.0;224119.0;170652;77450.0;93202.0;29344.0;63858.0;46602.0;25411.0;12003.0;12738.0;1482.0;14788.0;20972.0;7311.0;10009.0;19335.0;40122.0;6068.0;7278.0;
137;1995 May;233579.0;233579.0;178389;79418.0;98971.0;31144.0;67828.0;48136.0;24866.0;13513.0;13485.0;1540.0;15947.0;22191.0;7567.0;10310.0;20834.0;41200.0;6425.0;7566.0;
138;1995 June;233314.0;233314.0;178100;77644.0;100456.0;31440.0;69017.0;46044.0;25403.0;14043.0;12789.0;1599.0;15632.0;22399.0;8751.0;10320.0;21120.0;41130.0;6455.0;7629.0;
139;1995 July;243009.0;243009.0;186774;81897.0;104877.0;32545.0;72333.0;47723.0;25859.0;16282.0;14080.0;1696.0;16604.0;23600.0;8386.0;10381.0;22164.0;41893.0;6387.0;7955.0;
140;1995 August;244522.0;244522.0;186912;80864.0;106047.0;33395.0;72652.0;47552.0;25962.0;15663.0;13591.0;1699.0;16143.0;24221.0;8686.0;10836.0;22559.0;43303.0;6199.0;8108.0;
141;1995 September;247306.0;247306.0;190185;82064.0;108120.0;34523.0;73597.0;47844.0;26504.0;16328.0;13135.0;1619.0;16330.0;24920.0;8982.0;11253.0;23270.0;42797.0;6154.0;8170.0;
142;1995 October;243777.0;243777.0;186495;78646.0;107849.0;35169.0;72680.0;47674.0;26849.0;13699.0;12373.0;1567.0;15696.0;24552.0;8917.0;11262.0;23907.0;42802.0;6131.0;8349.0;
143;1995 November;253786.0;253786.0;195092;82739.0;112353.0;38684.0;73669.0;50691.0;27551.0;14129.0;12365.0;1577.0;16246.0;24845.0;9004.0;12070.0;26614.0;43876.0;6227.0;8591.0;
144;1995 December;258949.0;258949.0;199269;86621.0;112648.0;39405.0;73243.0;54558.0;28691.0;13090.0;12382.0;1616.0;16208.0;24152.0;9168.0;12271.0;27133.0;44587.0;6210.0;8884.0;
145;1996 January;271444.0;271444.0;210200;90413.0;119787.0;39441.0;80346.0;56169.0;30551.0;14893.0;12439.0;1722.0;17088.0;28056.0;9840.0;12394.0;27047.0;45569.0;6614.0;9062.0;
146;1996 February;274118.0;274118.0;212755;88986.0;123770.0;39709.0;84060.0;55415.0;29927.0;15462.0;13304.0;1740.0;17821.0;29346.0;10032.0;12324.0;27385.0;45399.0;6610.0;9353.0;
147;1996 March;284839.0;284839.0;220258;89354.0;130904.0;43139.0;87765.0;56923.0;31200.0;14347.0;12739.0;1832.0;17531.0;31515.0;11033.0;13171.0;29968.0;46070.0;6625.0;11886.0;
148;1996 April;296584.0;296584.0;230110;93041.0;137069.0;46411.0;90658.0;59378.0;32197.0;14840.0;13509.0;1923.0;17520.0;32575.0;11757.0;14166.0;32245.0;47402.0;6729.0;12343.0;
149;1996 May;309849.0;309849.0;241041;96851.0;144190.0;49714.0;94477.0;63029.0;32623.0;15193.0;14475.0;2171.0;17538.0;33756.0;12544.0;15327.0;34387.0;48328.0;6822.0;13657.0;
150;1996 June;310324.0;310324.0;241026;98132.0;142893.0;46864.0;96030.0;64123.0;33559.0;14486.0;14240.0;2209.0;17958.0;33444.0;14143.0;15004.0;31859.0;48668.0;6988.0;13641.0;
151;1996 July;298487.0;298487.0;231434;92804.0;138630.0;46306.0;92324.0;60474.0;32269.0;14227.0;12994.0;2094.0;16148.0;32103.0;14818.0;14578.0;31728.0;47367.0;6988.0;12698.0;
152;1996 August;302814.0;302814.0;237726;93377.0;144349.0;48354.0;95996.0;60328.0;32929.0;14637.0;13432.0;2218.0;16050.0;34061.0;15718.0;15369.0;32985.0;48578.0;7176.0;9333.0;
153;1996 September;322615.0;322615.0;251203;101794.0;149408.0;50434.0;98975.0;65072.0;34218.0;16008.0;14331.0;2307.0;16490.0;35562.0;16780.0;16063.0;34370.0;50232.0;7254.0;13926.0;
154;1996 October;324647.0;324647.0;253006;103891.0;149115.0;50533.0;98582.0;68161.0;33652.0;15638.0;14376.0;2359.0;16896.0;34378.0;17011.0;16144.0;34389.0;50619.0;7409.0;13614.0;
155;1996 November;347144.0;347144.0;273171;111504.0;161667.0;57879.0;103788.0;70740.0;36801.0;17636.0;15141.0;2410.0;17617.0;36741.0;18206.0;18627.0;39252.0;52253.0;7502.0;14218.0;
156;1996 December;357685.0;357685.0;281868;115568.0;166299.0;60385.0;105914.0;73683.0;37303.0;18160.0;15435.0;2478.0;18161.0;37851.0;18412.0;18768.0;41617.0;52946.0;7958.0;14914.0;
157;1997 January;378161.0;378161.0;298876;121560.0;177316.0;66056.0;111260.0;78330.0;37251.0;20653.0;16593.0;2814.0;18786.0;38792.0;19603.0;20884.0;45171.0;54823.0;8733.0;15729.0;
