ID;Periode;Totaal_1;Vetgehalte_2;Eiwitgehalte_3;Room_4;Totaal_5;Vol_6;Halfvol_7;MagerInclKarnemelk_8;Boter_9;Totaal_10;Volvet_11;k_303540_12;k_20EnMinder_13;Kwark_14;Totaal_15;NietMager_16;Mager_17;Totaal_18;MetSuiker_19;ZonderSuiker_20;Koffiemelk_21;Totaal_22;SuikerarmEnOfOntzout_23;NietVerderVerwerkt_24
20;1996 Augustus;905373;4.19;3.4;2193;135829;40076;56839;38914;9435;57846;44332;13324;191;1059;11664;9496;2168;25526;4956;14792;5779;26011;14030;11981
21;1996 September;843312;4.3;3.5;2668;134687;40935;57531;36221;6149;58447;45139;13103;205;1013;9272;8416;856;26421;4842;15657;5921;25189;14464;10725
22;1996 Oktober;864811;4.42;3.59;2564;139827;43140;60159;36528;7655;61807;48313;13294;200;1030;10254;8983;1271;27251;6654;14209;6388;26791;14405;12386
23;1996 November;813902;4.55;3.57;2380;134859;41581;58901;34377;7850;57558;45276;12061;221;1028;9234;8490;744;26589;6763;12918;6907;24664;13476;11188
24;1996 December;870457;4.63;3.55;3187;129951;40801;58001;31149;10959;56489;44228;12039;222;934;14111;11368;2743;28094;6910;14838;6346;22960;12499;10461
25;1996;10535200;4.44;3.48;27700;1607200;484700;688700;433800;127500;688100;534400;151200;2400;12200;152400;123500;28900;327100;76800;176800;73600;307100;161800;145300
26;1997 Januari;890999;4.65;3.54;1715;138915;43677;61418;33820;12666;58913;46139;12579;195;935;12933;10619;2314;28684;5667;16714;6303;23237;11417;11820
27;1997 Februari;815189;4.54;3.47;1825;126472;38813;55123;32536;10525;53519;41661;11639;219;908;10137;8637;1500;28076;7521;14482;6073;20499;10145;10354
28;1997 Maart;897491;4.46;3.41;2561;139442;42712;60766;35964;10860;59663;45537;13833;293;1142;11848;10040;1808;25988;8255;11769;5965;24604;12186;12418
29;1997 April;912574;4.47;3.41;1949;131060;39363;56871;34826;12063;58710;44945;13478;287;1050;13651;11019;2631;26362;8997;11482;5883;23794;12076;11718
30;1997 Mei;952356;4.38;3.43;2236;135430;39796;58867;36767;12522;60040;46957;12813;270;1195;17197;12638;4559;29576;8852;15134;5590;24029;11718;12311
31;1997 Juni;910927;4.22;3.4;1978;134912;38375;57470;39067;11339;54801;42781;11822;198;1078;15759;10023;5736;28335;8629;14015;5690;20652;10323;10329
32;1997 Juli;899791;4.17;3.4;1752;126661;36529;53133;36999;11742;55988;43236;12562;190;1032;15216;8794;6422;27211;8138;13618;5455;21990;11513;10477
33;1997 Augustus;852513;4.14;3.36;1763;142518;39089;58134;45295;9998;57102;44169;12715;218;975;10298;7212;3087;24406;6510;12829;5066;23669;11299;12370
34;1997 September;824014;4.24;3.44;1898;137069;39670;58660;38739;7925;58018;44774;13006;238;892;8871;6614;2257;26607;8047;12621;5939;21530;10111;11419
35;1997 Oktober;849899;4.43;3.56;1991;139030;41427;59974;37629;8724;62188;47673;14237;278;953;10198;8096;2101;26471;8662;11803;6007;23639;11596;12043
36;1997 November;824822;4.6;3.61;1994;134229;40467;58892;34870;9676;57996;44966;12702;328;1008;10521;8199;2322;27297;7181;13136;6980;21650;10633;11017
37;1997 December;898655;4.62;3.56;2902;125059;37592;56198;31269;12312;56159;44326;11629;204;875;15105;10198;4907;26609;6664;13548;6398;21029;10745;10284
38;1997;10530800;4.41;3.46;24500;1612800;477700;695500;439600;134000;693100;537200;153000;2900;12000;152000;112400;39600;325700;93200;161200;71300;270400;133800;136600
