ID;Sex;Age;LevelOfEducation;CaribbeanNetherlands;Periods;LabourForceAndNotInTheLabourForce_1;LabourForce_2;EmployedLabourForce_3;Employee_4;PermanentEmployee_5;TemporaryEmployee_6;SelfEmployedPerson_7;SelfEmployedWithoutEmployees_8;SelfEmployedWithEmployees_9;ContributingFamilyWorker_10;PartTime_11;LessThan20WorkingHoursAWeek_12;LessThan12WorkingHoursAWeek_13;k_12To19WorkingHoursAWeek_14;k_20To34WorkingHoursAWeek_15;k_20To27WorkingHoursAWeek_16;k_28To34WorkingHoursAWeek_17;FullTime_18;UnemployedLabourForce_19;UnemploymentRate_20;NotInTheLabourForce_21;GrossLabourParticipationRate_22;NetLabourParticipationRate_23
74;Total male and female;15 to 74 years;3 Higher education;Caribbean Netherlands;2016;3530;2950;2910;2490;2030;460;420;230;140;50;430;80;80;10;350;140;200;2480;50;1.6;570;83.8;82.4
75;Total male and female;15 to 74 years;3 Higher education;Caribbean Netherlands;2018;3410;2550;2470;1960;1520;440;520;210;280;30;430;110;60;50;330;180;150;2040;80;3.0;860;74.7;72.5
76;Total male and female;15 to 74 years;3 Higher education;Caribbean Netherlands;2020;3450;2730;2680;1990;1620;370;690;440;250;0;590;170;70;110;420;160;260;2090;50;1.9;720;79.2;77.7
77;Total male and female;15 to 74 years;3 Higher education;Caribbean Netherlands;2022;4160;3350;3310;2550;2100;450;760;450;260;50;530;110;60;50;420;180;240;2780;40;1.2;810;80.5;79.5
78;Total male and female;15 to 74 years;3 Higher education;Bonaire;2012;2040;1740;1690;1390;1170;220;300;190;100;10;260;90;40;50;170;100;70;1440;50;2.6;310;85.1;82.9
79;Total male and female;15 to 74 years;3 Higher education;Bonaire;2014;2370;1970;1880;1580;1270;310;290;180;90;20;310;30;30;0;280;140;130;1570;90;4.8;400;83.2;79.2
80;Total male and female;15 to 74 years;3 Higher education;Bonaire;2016;2490;2310;2270;1920;1600;320;340;190;110;50;310;50;50;0;260;100;160;1960;40;1.7;180;92.6;91.0
81;Total male and female;15 to 74 years;3 Higher education;Bonaire;2018;2400;1900;1840;1420;1090;330;420;160;240;30;330;70;30;50;260;140;120;1520;60;3.1;500;79.3;76.8
82;Total male and female;15 to 74 years;3 Higher education;Bonaire;2020;2700;2140;2090;1520;1260;250;570;360;210;0;460;130;50;90;330;110;220;1630;50;2.5;560;79.3;77.4
83;Total male and female;15 to 74 years;3 Higher education;Bonaire;2022;3310;2740;2720;2030;1640;390;700;410;240;50;450;100;60;40;350;160;190;2270;20;0.8;570;82.9;82.2
84;Total male and female;15 to 74 years;3 Higher education;St. Eustatius;2012;480;360;360;300;200;100;60;50;0;10;80;0;0;0;80;20;50;280;10;2.2;120;75.5;73.9
85;Total male and female;15 to 74 years;3 Higher education;St. Eustatius;2014;460;380;380;330;260;70;50;30;20;0;20;0;0;0;20;10;10;370;0;0.0;80;82.7;82.7
86;Total male and female;15 to 74 years;3 Higher education;St. Eustatius;2016;460;350;350;310;260;40;50;20;20;10;70;20;20;0;50;30;30;280;0;0.0;110;76.9;76.9
87;Total male and female;15 to 74 years;3 Higher education;St. Eustatius;2018;370;320;310;270;230;40;40;20;20;0;50;20;20;0;30;20;10;270;10;2.2;50;87.7;85.8
88;Total male and female;15 to 74 years;3 Higher education;St. Eustatius;2020;290;260;260;210;190;20;50;30;20;0;40;0;0;0;40;20;20;220;0;0.0;30;89.8;89.8
89;Total male and female;15 to 74 years;3 Higher education;St. Eustatius;2022;360;320;310;280;260;20;30;20;10;0;40;0;0;0;40;10;30;270;10;4.0;40;89.4;85.8
90;Total male and female;15 to 74 years;3 Higher education;Saba;2012;570;290;280;230;180;50;50;20;30;0;40;0;0;0;40;20;20;240;10;3.8;280;50.3;48.4
91;Total male and female;15 to 74 years;3 Higher education;Saba;2014;610;240;230;190;160;40;40;20;30;0;30;0;0;0;30;30;10;200;0;0.9;380;38.3;37.9
92;Total male and female;15 to 74 years;3 Higher education;Saba;2016;580;300;290;260;170;90;30;20;10;10;50;10;10;10;40;20;20;240;10;2.7;280;51.2;49.8
93;Total male and female;15 to 74 years;3 Higher education;Saba;2018;650;330;320;270;200;70;50;30;10;10;60;20;10;0;50;30;20;260;10;3.1;320;50.5;49.0
94;Total male and female;15 to 74 years;3 Higher education;Saba;2020;470;340;340;260;170;100;70;50;20;0;90;40;20;20;50;30;20;250;0;0.0;130;72.0;72.0
95;Total male and female;15 to 74 years;3 Higher education;Saba;2022;490;280;280;240;200;40;40;20;20;0;30;10;10;0;30;10;20;240;10;2.1;210;57.3;56.3
96;Total male and female;15 to 74 years;Unknown;Caribbean Netherlands;2012;30;10;10;10;10;0;0;0;0;0;0;0;0;0;0;0;0;10;0;;20;;
97;Total male and female;15 to 74 years;Unknown;Caribbean Netherlands;2014;530;290;270;230;180;50;50;0;40;0;20;0;0;0;20;20;10;250;10;;240;54.7;52.2
98;Total male and female;15 to 74 years;Unknown;Caribbean Netherlands;2016;530;440;410;360;290;60;50;10;40;0;50;0;0;0;50;30;30;360;30;;90;82.6;76.4
99;Total male and female;15 to 74 years;Unknown;Caribbean Netherlands;2018;200;120;120;100;80;20;20;10;10;0;20;0;0;0;20;10;10;100;0;;80;;
100;Total male and female;15 to 74 years;Unknown;Caribbean Netherlands;2020;420;370;320;250;180;70;70;60;0;10;50;20;20;0;30;10;20;270;50;;40;;
101;Total male and female;15 to 74 years;Unknown;Caribbean Netherlands;2022;320;240;230;200;110;100;30;0;10;20;120;30;30;0;90;60;30;120;10;;80;74.8;72.7
102;Total male and female;15 to 74 years;Unknown;Bonaire;2012;20;10;10;10;10;0;0;0;0;0;0;0;0;0;0;0;0;10;0;;10;;
103;Total male and female;15 to 74 years;Unknown;Bonaire;2014;480;260;250;210;160;50;40;0;40;0;10;0;0;0;10;10;0;240;10;;210;;
104;Total male and female;15 to 74 years;Unknown;Bonaire;2016;510;420;390;330;270;60;50;10;40;0;50;0;0;0;50;30;20;340;30;;90;;
105;Total male and female;15 to 74 years;Unknown;Bonaire;2018;150;70;70;70;70;0;0;0;0;0;0;0;0;0;0;0;0;70;0;;80;;
106;Total male and female;15 to 74 years;Unknown;Bonaire;2020;360;320;280;210;150;60;70;60;0;10;40;20;20;0;30;10;10;230;50;;40;;
107;Total male and female;15 to 74 years;Unknown;Bonaire;2022;200;140;140;130;50;80;20;0;0;20;90;20;20;0;70;50;20;60;0;;60;;
108;Total male and female;15 to 74 years;Unknown;St. Eustatius;2012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;
109;Total male and female;15 to 74 years;Unknown;St. Eustatius;2014;30;10;10;10;10;0;0;0;0;0;10;0;0;0;10;10;0;0;0;;20;;
110;Total male and female;15 to 74 years;Unknown;St. Eustatius;2016;10;10;10;10;10;0;0;0;0;0;10;0;0;0;10;0;10;10;0;;0;;
111;Total male and female;15 to 74 years;Unknown;St. Eustatius;2018;20;10;10;10;0;10;10;10;0;0;0;0;0;0;0;0;0;10;0;;0;;
112;Total male and female;15 to 74 years;Unknown;St. Eustatius;2020;20;10;10;10;10;0;0;0;0;0;0;0;0;0;0;0;0;10;0;;10;;
113;Total male and female;15 to 74 years;Unknown;St. Eustatius;2022;50;40;40;30;20;10;10;0;10;0;10;10;10;0;10;0;10;20;0;;10;;
114;Total male and female;15 to 74 years;Unknown;Saba;2012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;
115;Total male and female;15 to 74 years;Unknown;Saba;2014;20;20;20;10;10;0;10;0;0;0;10;0;0;0;10;0;10;10;0;;10;;
116;Total male and female;15 to 74 years;Unknown;Saba;2016;10;10;10;10;10;0;0;0;0;0;0;0;0;0;0;0;0;10;0;;10;;
117;Total male and female;15 to 74 years;Unknown;Saba;2018;30;30;30;20;10;10;10;0;10;0;10;0;0;0;10;10;10;20;0;;0;;
118;Total male and female;15 to 74 years;Unknown;Saba;2020;40;40;30;30;20;10;0;0;0;0;10;0;0;0;10;0;10;30;0;;0;;
119;Total male and female;15 to 74 years;Unknown;Saba;2022;70;60;50;50;30;10;10;0;10;0;20;0;0;0;20;10;10;40;0;;10;;
120;Total male and female;15 to 24 years;Total;Caribbean Netherlands;2012;2680;1240;1100;1090;640;450;10;10;0;10;300;80;40;40;230;150;80;800;140;11.0;1450;46.1;41.0
121;Total male and female;15 to 24 years;Total;Caribbean Netherlands;2014;2820;1200;980;890;520;380;90;50;0;30;300;120;60;60;190;150;30;680;220;18.1;1620;42.4;34.8
122;Total male and female;15 to 24 years;Total;Caribbean Netherlands;2016;2690;1220;950;900;520;380;60;0;50;0;230;100;90;10;130;60;60;720;270;21.9;1470;45.3;35.4
123;Total male and female;15 to 24 years;Total;Caribbean Netherlands;2018;2760;1330;1230;1120;540;590;110;90;20;10;420;110;80;30;310;180;140;810;100;7.6;1430;48.2;44.5
124;Total male and female;15 to 24 years;Total;Caribbean Netherlands;2020;2550;1190;1060;1010;470;540;50;30;0;20;300;50;10;40;240;120;120;760;140;11.4;1360;46.7;41.3
125;Total male and female;15 to 24 years;Total;Caribbean Netherlands;2022;2680;1350;1210;1150;710;450;50;40;10;0;310;120;40;80;190;160;30;900;150;10.7;1320;50.5;45.1
126;Total male and female;15 to 24 years;Total;Bonaire;2012;1940;1010;880;880;520;360;0;0;0;0;220;40;10;30;180;110;70;670;120;12.0;940;51.7;45.5
127;Total male and female;15 to 24 years;Total;Bonaire;2014;2100;950;770;700;400;310;70;30;0;30;220;110;50;50;120;100;10;550;170;18.3;1160;45.0;36.7
128;Total male and female;15 to 24 years;Total;Bonaire;2016;2110;1030;830;770;460;320;50;0;50;0;170;90;80;10;90;40;50;650;210;20.2;1070;49.1;39.2
129;Total male and female;15 to 24 years;Total;Bonaire;2018;2130;1060;980;890;440;460;90;80;10;0;350;100;70;30;250;140;120;630;80;7.5;1070;49.7;46.0
130;Total male and female;15 to 24 years;Total;Bonaire;2020;2050;980;870;830;360;470;50;30;0;10;260;50;10;40;210;100;110;610;100;10.4;1070;47.7;42.7
131;Total male and female;15 to 24 years;Total;Bonaire;2022;2170;1200;1080;1030;620;410;40;30;10;0;310;120;40;80;190;150;30;770;130;10.6;970;55.4;49.5
132;Total male and female;15 to 24 years;Total;St. Eustatius;2012;380;90;90;80;40;40;10;10;0;10;40;20;20;10;20;10;10;50;0;;290;24.2;22.9
133;Total male and female;15 to 24 years;Total;St. Eustatius;2014;390;140;110;90;60;40;10;10;0;0;50;0;0;0;50;40;10;60;40;;250;36.3;26.9
134;Total male and female;15 to 24 years;Total;St. Eustatius;2016;300;90;50;50;30;20;0;0;0;0;20;10;10;0;10;0;10;30;50;;210;31.1;15.4
135;Total male and female;15 to 24 years;Total;St. Eustatius;2018;340;140;120;110;40;70;10;0;10;0;30;0;0;0;30;20;10;90;20;;200;40.9;35.4
136;Total male and female;15 to 24 years;Total;St. Eustatius;2020;310;130;100;100;60;30;0;0;0;0;20;0;0;0;20;20;0;80;30;;190;39.9;31.9
137;Total male and female;15 to 24 years;Total;St. Eustatius;2022;340;120;100;90;70;20;10;10;0;0;10;0;0;0;0;0;0;90;20;;220;35.4;30.4
138;Total male and female;15 to 24 years;Total;Saba;2012;350;140;130;130;80;40;0;0;0;0;40;20;10;10;30;20;10;80;10;;220;38.8;35.7
139;Total male and female;15 to 24 years;Total;Saba;2014;320;110;100;100;60;40;10;10;0;0;30;10;10;0;20;20;10;70;10;;220;33.0;31.5
140;Total male and female;15 to 24 years;Total;Saba;2016;280;90;80;80;30;50;0;0;0;0;40;10;10;0;30;30;0;40;10;;190;32.3;28.4
141;Total male and female;15 to 24 years;Total;Saba;2018;280;130;130;120;60;60;10;0;0;10;40;10;10;0;30;20;10;90;0;;150;45.6;44.5
142;Total male and female;15 to 24 years;Total;Saba;2020;190;90;80;80;40;40;0;0;0;0;10;0;0;0;10;0;10;70;10;;100;46.4;41.7
143;Total male and female;15 to 24 years;Total;Saba;2022;170;30;30;30;20;20;0;0;0;0;0;0;0;0;0;0;0;30;0;;140;18.3;18.3
144;Total male and female;15 to 24 years;1 Lower education;Caribbean Netherlands;2012;1720;800;710;710;380;330;10;10;0;0;160;60;40;20;100;70;30;550;80;10.6;920;46.2;41.4
145;Total male and female;15 to 24 years;1 Lower education;Caribbean Netherlands;2014;1390;590;480;440;260;180;40;40;0;0;100;20;0;20;80;60;30;380;110;19.4;800;42.4;34.2
146;Total male and female;15 to 24 years;1 Lower education;Caribbean Netherlands;2016;1320;510;340;300;160;140;40;0;40;0;100;30;30;0;70;30;40;250;170;33.1;810;38.7;25.9
147;Total male and female;15 to 24 years;1 Lower education;Caribbean Netherlands;2018;1280;530;460;400;210;190;70;60;10;10;140;20;20;0;120;40;80;330;70;13.7;740;41.8;36.1
148;Total male and female;15 to 24 years;1 Lower education;Caribbean Netherlands;2020;1370;490;430;410;180;230;20;20;0;0;140;50;10;40;90;30;60;290;60;12.7;880;35.7;31.2
149;Total male and female;15 to 24 years;1 Lower education;Caribbean Netherlands;2022;1390;660;590;580;300;280;10;10;0;0;120;40;10;30;80;50;30;470;70;11.1;730;47.5;42.2
150;Total male and female;15 to 24 years;1 Lower education;Bonaire;2012;1260;640;560;560;300;260;0;0;0;0;90;30;10;20;60;30;30;470;70;11.5;620;50.5;44.6
151;Total male and female;15 to 24 years;1 Lower education;Bonaire;2014;1030;470;380;360;200;160;20;20;0;0;50;20;0;20;30;20;10;330;90;;560;45.2;36.8
152;Total male and female;15 to 24 years;1 Lower education;Bonaire;2016;1030;420;290;260;140;120;40;0;40;0;70;10;10;0;50;20;30;230;130;;610;40.5;28.4
153;Total male and female;15 to 24 years;1 Lower education;Bonaire;2018;980;410;350;290;160;130;60;60;10;0;110;10;10;0;90;20;70;250;50;;570;41.7;36.2
