ID;RegioS;Perioden;GeenKerkelijkeGezindte_1;TotaalKerkelijkeGezindte_2;RoomsKatholiek_3;ProtestantseKerkInNederland_4;NederlandsHervormd_5;Gereformeerd_6;Islam_7;OverigeGezindte_8;EenKeerPerWeekOfVaker_9;TweeTotDrieKeerPerMaand_10;EenKeerPerMaand_11;MinderDanEenKeerPerMaand_12;ZeldenOfNooit_13
54;Flevoland (PV);2010;53;47;12;9;5;6;5;10;15;3;3;4;75
55;Flevoland (PV);2011;56;44;12;7;4;8;4;8;14;4;3;4;75
56;Flevoland (PV);2012;58;42;12;6;6;4;5;8;13;3;3;4;78
57;Flevoland (PV);2013;55;45;14;6;5;6;6;8;14;2;3;4;77
58;Flevoland (PV);2014;54;46;13;6;4;6;6;10;16;3;2;5;74
59;Flevoland (PV);2015;55;45;12;6;3;7;7;10;14;4;3;4;76
60;Gelderland (PV);2010;42;59;24;8;14;4;3;5;12;5;4;8;72
61;Gelderland (PV);2011;44;56;24;7;12;5;3;5;12;4;4;8;73
62;Gelderland (PV);2012;44;56;23;7;13;4;4;5;13;4;3;6;74
63;Gelderland (PV);2013;44;56;23;8;13;4;3;5;12;4;3;7;74
64;Gelderland (PV);2014;47;53;21;7;12;4;4;5;12;4;3;6;75
65;Gelderland (PV);2015;47;53;21;7;12;4;4;5;13;4;3;6;74
66;Utrecht (PV);2010;48;52;17;8;9;5;6;6;12;4;3;7;74
67;Utrecht (PV);2011;53;47;18;7;8;5;6;5;11;4;3;6;76
68;Utrecht (PV);2012;52;48;17;7;8;4;6;6;12;4;3;6;76
69;Utrecht (PV);2013;52;48;17;7;9;4;5;8;11;5;3;6;76
70;Utrecht (PV);2014;53;47;16;7;7;5;6;6;12;4;3;7;75
71;Utrecht (PV);2015;55;45;13;8;8;5;6;7;13;4;3;5;76
72;Noord-Holland (PV);2010;61;39;19;4;3;2;5;6;6;3;3;5;83
73;Noord-Holland (PV);2011;62;39;17;4;4;2;6;6;7;3;2;5;82
74;Noord-Holland (PV);2012;61;39;19;4;3;2;7;5;7;2;3;5;83
75;Noord-Holland (PV);2013;60;40;18;3;4;2;7;7;7;3;3;5;83
76;Noord-Holland (PV);2014;62;38;17;3;4;1;6;7;6;2;2;6;83
77;Noord-Holland (PV);2015;63;37;16;4;3;2;7;6;6;3;3;5;84
78;Zuid-Holland (PV);2010;49;51;16;7;9;4;8;7;13;4;4;6;74
79;Zuid-Holland (PV);2011;50;50;15;7;9;4;8;7;13;3;3;6;75
80;Zuid-Holland (PV);2012;51;49;15;7;9;4;8;8;12;4;3;5;76
81;Zuid-Holland (PV);2013;50;50;16;6;9;3;8;8;13;4;3;6;76
82;Zuid-Holland (PV);2014;52;49;15;7;8;3;8;8;13;4;3;6;75
83;Zuid-Holland (PV);2015;52;48;14;7;8;4;8;8;12;4;3;6;76
84;Zeeland (PV);2010;44;56;18;11;12;8;2;5;16;5;3;7;69
85;Zeeland (PV);2011;46;54;18;12;9;9;2;5;18;4;2;5;70
86;Zeeland (PV);2012;48;52;17;11;11;8;1;4;15;3;2;4;75
87;Zeeland (PV);2013;43;57;18;8;13;8;2;8;20;3;3;5;70
88;Zeeland (PV);2014;47;53;16;12;9;8;3;6;21;4;2;5;68
89;Zeeland (PV);2015;47;53;16;7;14;8;2;8;21;2;3;4;70
90;Noord-Brabant (PV);2010;32;69;55;3;2;1;4;3;6;3;4;13;73
91;Noord-Brabant (PV);2011;32;68;55;3;3;1;4;3;7;4;4;12;74
92;Noord-Brabant (PV);2012;35;65;53;2;2;1;4;3;5;3;4;10;78
93;Noord-Brabant (PV);2013;34;66;53;2;3;1;5;3;6;3;4;10;78
94;Noord-Brabant (PV);2014;38;62;49;2;2;1;4;3;5;3;3;10;79
95;Noord-Brabant (PV);2015;39;61;48;3;2;1;5;3;6;3;4;10;79
96;Limburg (PV);2010;21;79;72;1;1;1;3;2;7;4;7;17;65
97;Limburg (PV);2011;23;77;69;1;1;0;3;2;6;3;5;15;71
98;Limburg (PV);2012;24;76;68;1;1;0;4;2;6;4;5;14;72
99;Limburg (PV);2013;23;77;67;1;1;0;5;3;7;3;5;14;72
100;Limburg (PV);2014;25;75;66;1;1;0;4;2;6;4;5;13;73
101;Limburg (PV);2015;28;72;64;1;1;0;4;2;5;3;5;13;74
