ID;Geslacht;Leeftijd;DiagnoseIndelingVTV;Perioden;TotaalOverledenen_1;OverledenenPer10000Inwoners_2;VerpleegdagenVanKlinischeOpnamen_3;VerpleegdagenPer10000Inwoners_4;GemiddeldeVerpleegduurOverledenen_5
96;Totaal mannen en vrouwen;Totaal alle leeftijden;4;1981;13.0;0.0;277.0;0.2;21.3
97;Totaal mannen en vrouwen;Totaal alle leeftijden;4;1982;7.0;0.0;78.0;0.1;11.1
98;Totaal mannen en vrouwen;Totaal alle leeftijden;4;1983;9.0;0.0;167.0;0.1;18.6
99;Totaal mannen en vrouwen;Totaal alle leeftijden;4;1984;6.0;0.0;63.0;0.0;10.5
100;Totaal mannen en vrouwen;Totaal alle leeftijden;4;1985;6.0;0.0;110.0;0.1;18.3
101;Totaal mannen en vrouwen;Totaal alle leeftijden;4;1986;5.0;0.0;126.0;0.1;25.2
102;Totaal mannen en vrouwen;Totaal alle leeftijden;4;1987;;;;;
103;Totaal mannen en vrouwen;Totaal alle leeftijden;4;1988;;;;;
104;Totaal mannen en vrouwen;Totaal alle leeftijden;4;1989;;;;;
105;Totaal mannen en vrouwen;Totaal alle leeftijden;4;1990;;;;;
106;Totaal mannen en vrouwen;Totaal alle leeftijden;4;1991;;;;;
107;Totaal mannen en vrouwen;Totaal alle leeftijden;4;1992;;;;;
108;Totaal mannen en vrouwen;Totaal alle leeftijden;4;1993;;;;;
109;Totaal mannen en vrouwen;Totaal alle leeftijden;4;1994;;;;;
110;Totaal mannen en vrouwen;Totaal alle leeftijden;4;1995;;;;;
111;Totaal mannen en vrouwen;Totaal alle leeftijden;4;1996;;;;;
112;Totaal mannen en vrouwen;Totaal alle leeftijden;4;1997;;;;;
113;Totaal mannen en vrouwen;Totaal alle leeftijden;4;1998;;;;;
114;Totaal mannen en vrouwen;Totaal alle leeftijden;4;1999;;;;;
115;Totaal mannen en vrouwen;Totaal alle leeftijden;4;2000;;;;;
116;Totaal mannen en vrouwen;Totaal alle leeftijden;4;2001;;;;;
117;Totaal mannen en vrouwen;Totaal alle leeftijden;4;2002;;;;;
118;Totaal mannen en vrouwen;Totaal alle leeftijden;4;2003;;;;;
119;Totaal mannen en vrouwen;Totaal alle leeftijden;4;2004;;;;;
120;Totaal mannen en vrouwen;Totaal alle leeftijden;4;2005;;;;;
121;Totaal mannen en vrouwen;Totaal alle leeftijden;4;2006;;;;;
122;Totaal mannen en vrouwen;Totaal alle leeftijden;4;2007;;;;;
123;Totaal mannen en vrouwen;Totaal alle leeftijden;4;2008;;;;;
124;Totaal mannen en vrouwen;Totaal alle leeftijden;4;2009;;;;;
125;Totaal mannen en vrouwen;Totaal alle leeftijden;4;2010;;;;;
126;Totaal mannen en vrouwen;Totaal alle leeftijden;4;2011;;;;;
127;Totaal mannen en vrouwen;Totaal alle leeftijden;4;2012;;;;;
128;Totaal mannen en vrouwen;Totaal alle leeftijden;5;1981;38.0;0.0;787.0;0.6;20.7
129;Totaal mannen en vrouwen;Totaal alle leeftijden;5;1982;27.0;0.0;369.0;0.3;13.6
130;Totaal mannen en vrouwen;Totaal alle leeftijden;5;1983;20.0;0.0;401.0;0.3;20.0
131;Totaal mannen en vrouwen;Totaal alle leeftijden;5;1984;26.0;0.0;415.0;0.3;16.0
132;Totaal mannen en vrouwen;Totaal alle leeftijden;5;1985;31.0;0.0;575.0;0.4;18.6
133;Totaal mannen en vrouwen;Totaal alle leeftijden;5;1986;25.0;0.0;367.0;0.3;14.7
134;Totaal mannen en vrouwen;Totaal alle leeftijden;5;1987;16.0;0.0;514.0;0.4;32.1
135;Totaal mannen en vrouwen;Totaal alle leeftijden;5;1988;22.0;0.0;345.0;0.2;15.7
136;Totaal mannen en vrouwen;Totaal alle leeftijden;5;1989;21.0;0.0;774.0;0.5;36.9
137;Totaal mannen en vrouwen;Totaal alle leeftijden;5;1990;25.0;0.0;320.0;0.2;12.8
138;Totaal mannen en vrouwen;Totaal alle leeftijden;5;1991;21.0;0.0;327.0;0.2;15.6
139;Totaal mannen en vrouwen;Totaal alle leeftijden;5;1992;13.0;0.0;148.0;0.1;11.4
140;Totaal mannen en vrouwen;Totaal alle leeftijden;5;1993;22.0;0.0;400.0;0.3;18.2
141;Totaal mannen en vrouwen;Totaal alle leeftijden;5;1994;31.0;0.0;454.0;0.3;14.6
142;Totaal mannen en vrouwen;Totaal alle leeftijden;5;1995;20.0;0.0;241.0;0.2;12.0
143;Totaal mannen en vrouwen;Totaal alle leeftijden;5;1996;18.0;0.0;302.0;0.2;16.8
144;Totaal mannen en vrouwen;Totaal alle leeftijden;5;1997;26.0;0.0;588.0;0.4;22.6
145;Totaal mannen en vrouwen;Totaal alle leeftijden;5;1998;11.0;0.0;94.0;0.1;8.5
146;Totaal mannen en vrouwen;Totaal alle leeftijden;5;1999;21.0;0.0;417.0;0.3;19.9
147;Totaal mannen en vrouwen;Totaal alle leeftijden;5;2000;25.0;0.0;484.0;0.3;19.4
148;Totaal mannen en vrouwen;Totaal alle leeftijden;5;2001;21.0;0.0;291.0;0.2;13.9
149;Totaal mannen en vrouwen;Totaal alle leeftijden;5;2002;19.0;0.0;406.0;0.3;21.4
150;Totaal mannen en vrouwen;Totaal alle leeftijden;5;2003;26.0;0.0;330.0;0.2;12.7
151;Totaal mannen en vrouwen;Totaal alle leeftijden;5;2004;39.0;0.0;632.0;0.4;16.2
152;Totaal mannen en vrouwen;Totaal alle leeftijden;5;2005;36.0;0.0;494.0;0.3;13.7
153;Totaal mannen en vrouwen;Totaal alle leeftijden;5;2006;44.0;0.0;692.0;0.4;15.7
154;Totaal mannen en vrouwen;Totaal alle leeftijden;5;2007;38.0;0.0;800.0;0.5;21.1
155;Totaal mannen en vrouwen;Totaal alle leeftijden;5;2008;57.0;0.0;935.0;0.6;16.4
156;Totaal mannen en vrouwen;Totaal alle leeftijden;5;2009;50.0;0.0;746.0;0.5;14.9
157;Totaal mannen en vrouwen;Totaal alle leeftijden;5;2010;61.0;0.0;1007.0;0.6;16.5
158;Totaal mannen en vrouwen;Totaal alle leeftijden;5;2011;55.0;0.0;612.0;0.4;11.1
159;Totaal mannen en vrouwen;Totaal alle leeftijden;5;2012;81.0;0.0;1026.0;0.6;12.7
160;Totaal mannen en vrouwen;Totaal alle leeftijden;6;1981;43.0;0.0;1115.0;0.8;25.8
161;Totaal mannen en vrouwen;Totaal alle leeftijden;6;1982;53.0;0.0;1472.0;1.0;27.7
162;Totaal mannen en vrouwen;Totaal alle leeftijden;6;1983;44.0;0.0;1312.0;0.9;29.8
163;Totaal mannen en vrouwen;Totaal alle leeftijden;6;1984;49.0;0.0;1917.0;1.3;39.1
164;Totaal mannen en vrouwen;Totaal alle leeftijden;6;1985;40.0;0.0;1010.0;0.7;25.2
165;Totaal mannen en vrouwen;Totaal alle leeftijden;6;1986;40.0;0.0;1001.0;0.7;25.0
166;Totaal mannen en vrouwen;Totaal alle leeftijden;6;1987;39.0;0.0;1289.0;0.9;33.1
167;Totaal mannen en vrouwen;Totaal alle leeftijden;6;1988;42.0;0.0;1080.0;0.7;25.7
168;Totaal mannen en vrouwen;Totaal alle leeftijden;6;1989;48.0;0.0;1218.0;0.8;25.4
169;Totaal mannen en vrouwen;Totaal alle leeftijden;6;1990;35.0;0.0;624.0;0.4;17.8
170;Totaal mannen en vrouwen;Totaal alle leeftijden;6;1991;29.0;0.0;925.0;0.6;31.9
171;Totaal mannen en vrouwen;Totaal alle leeftijden;6;1992;29.0;0.0;826.0;0.5;28.5
172;Totaal mannen en vrouwen;Totaal alle leeftijden;6;1993;44.0;0.0;1116.0;0.7;25.4
173;Totaal mannen en vrouwen;Totaal alle leeftijden;6;1994;47.0;0.0;1342.0;0.9;28.6
174;Totaal mannen en vrouwen;Totaal alle leeftijden;6;1995;37.0;0.0;953.0;0.6;25.8
175;Totaal mannen en vrouwen;Totaal alle leeftijden;6;1996;37.0;0.0;1112.0;0.7;30.1
176;Totaal mannen en vrouwen;Totaal alle leeftijden;6;1997;43.0;0.0;1389.0;0.9;32.3
177;Totaal mannen en vrouwen;Totaal alle leeftijden;6;1998;32.0;0.0;910.0;0.6;28.4
178;Totaal mannen en vrouwen;Totaal alle leeftijden;6;1999;43.0;0.0;1441.0;0.9;33.5
179;Totaal mannen en vrouwen;Totaal alle leeftijden;6;2000;32.0;0.0;674.0;0.4;21.1
180;Totaal mannen en vrouwen;Totaal alle leeftijden;6;2001;22.0;0.0;562.0;0.4;25.5
181;Totaal mannen en vrouwen;Totaal alle leeftijden;6;2002;24.0;0.0;687.0;0.4;28.6
182;Totaal mannen en vrouwen;Totaal alle leeftijden;6;2003;28.0;0.0;491.0;0.3;17.5
183;Totaal mannen en vrouwen;Totaal alle leeftijden;6;2004;28.0;0.0;629.0;0.4;22.5
184;Totaal mannen en vrouwen;Totaal alle leeftijden;6;2005;14.0;0.0;259.0;0.2;18.5
185;Totaal mannen en vrouwen;Totaal alle leeftijden;6;2006;27.0;0.0;477.0;0.3;17.7
186;Totaal mannen en vrouwen;Totaal alle leeftijden;6;2007;18.0;0.0;336.0;0.2;18.7
187;Totaal mannen en vrouwen;Totaal alle leeftijden;6;2008;11.0;0.0;219.0;0.1;19.9
188;Totaal mannen en vrouwen;Totaal alle leeftijden;6;2009;11.0;0.0;416.0;0.3;37.8
189;Totaal mannen en vrouwen;Totaal alle leeftijden;6;2010;23.0;0.0;531.0;0.3;23.1
190;Totaal mannen en vrouwen;Totaal alle leeftijden;6;2011;11.0;0.0;260.0;0.2;23.6
191;Totaal mannen en vrouwen;Totaal alle leeftijden;6;2012;7.0;0.0;203.0;0.1;29.0
192;Totaal mannen en vrouwen;Totaal alle leeftijden;7;1981;;;;;
193;Totaal mannen en vrouwen;Totaal alle leeftijden;7;1982;;;;;
194;Totaal mannen en vrouwen;Totaal alle leeftijden;7;1983;;;;;
195;Totaal mannen en vrouwen;Totaal alle leeftijden;7;1984;;;;;
196;Totaal mannen en vrouwen;Totaal alle leeftijden;7;1985;;;;;
197;Totaal mannen en vrouwen;Totaal alle leeftijden;7;1986;;;;;
198;Totaal mannen en vrouwen;Totaal alle leeftijden;7;1987;;;;;
199;Totaal mannen en vrouwen;Totaal alle leeftijden;7;1988;;;;;
200;Totaal mannen en vrouwen;Totaal alle leeftijden;7;1989;;;;;
201;Totaal mannen en vrouwen;Totaal alle leeftijden;7;1990;5.0;0.0;38.0;0.0;7.6
202;Totaal mannen en vrouwen;Totaal alle leeftijden;7;1991;6.0;0.0;188.0;0.1;31.3
203;Totaal mannen en vrouwen;Totaal alle leeftijden;7;1992;;;;;
204;Totaal mannen en vrouwen;Totaal alle leeftijden;7;1993;;;;;
205;Totaal mannen en vrouwen;Totaal alle leeftijden;7;1994;5.0;0.0;38.0;0.0;7.6
206;Totaal mannen en vrouwen;Totaal alle leeftijden;7;1995;6.0;0.0;21.0;0.0;3.5
207;Totaal mannen en vrouwen;Totaal alle leeftijden;7;1996;;;;;
208;Totaal mannen en vrouwen;Totaal alle leeftijden;7;1997;;;;;
209;Totaal mannen en vrouwen;Totaal alle leeftijden;7;1998;;;;;
210;Totaal mannen en vrouwen;Totaal alle leeftijden;7;1999;;;;;
211;Totaal mannen en vrouwen;Totaal alle leeftijden;7;2000;;;;;
212;Totaal mannen en vrouwen;Totaal alle leeftijden;7;2001;5.0;0.0;68.0;0.0;13.6
213;Totaal mannen en vrouwen;Totaal alle leeftijden;7;2002;;;;;
214;Totaal mannen en vrouwen;Totaal alle leeftijden;7;2003;;;;;
215;Totaal mannen en vrouwen;Totaal alle leeftijden;7;2004;;;;;
216;Totaal mannen en vrouwen;Totaal alle leeftijden;7;2005;;;;;
217;Totaal mannen en vrouwen;Totaal alle leeftijden;7;2006;;;;;
218;Totaal mannen en vrouwen;Totaal alle leeftijden;7;2007;;;;;
219;Totaal mannen en vrouwen;Totaal alle leeftijden;7;2008;6.0;0.0;52.0;0.0;8.7
220;Totaal mannen en vrouwen;Totaal alle leeftijden;7;2009;;;;;
221;Totaal mannen en vrouwen;Totaal alle leeftijden;7;2010;;;;;
222;Totaal mannen en vrouwen;Totaal alle leeftijden;7;2011;;;;;
223;Totaal mannen en vrouwen;Totaal alle leeftijden;7;2012;;;;;
224;Totaal mannen en vrouwen;Totaal alle leeftijden;8;1981;7.0;0.0;608.0;0.4;86.6
225;Totaal mannen en vrouwen;Totaal alle leeftijden;8;1982;;;;;
226;Totaal mannen en vrouwen;Totaal alle leeftijden;8;1983;6.0;0.0;115.0;0.1;19.2
227;Totaal mannen en vrouwen;Totaal alle leeftijden;8;1984;5.0;0.0;416.0;0.3;83.2
228;Totaal mannen en vrouwen;Totaal alle leeftijden;8;1985;;;;;
229;Totaal mannen en vrouwen;Totaal alle leeftijden;8;1986;;;;;
230;Totaal mannen en vrouwen;Totaal alle leeftijden;8;1987;;;;;
231;Totaal mannen en vrouwen;Totaal alle leeftijden;8;1988;;;;;
232;Totaal mannen en vrouwen;Totaal alle leeftijden;8;1989;;;;;
233;Totaal mannen en vrouwen;Totaal alle leeftijden;8;1990;;;;;
234;Totaal mannen en vrouwen;Totaal alle leeftijden;8;1991;5.0;0.0;93.0;0.1;18.6
235;Totaal mannen en vrouwen;Totaal alle leeftijden;8;1992;;;;;
