ID;Periods;PriceIndexSellingPrices_1;ChangesComparedToThePreviousPeriod_2;ChangesComparedToThePreviousYear_3;SoldHomes_4;ChangesComparedToThePreviousPeriod_5;ChangesComparedToThePreviousYear_6;AveragePurchasePrice_7;TotalValuePurchasePrices_8
47;1997 November;37.8;0.7;11.0;14415;-13.4;-1.9;115768;1669
48;1997 December;37.9;0.2;10.8;22037;52.9;9.0;117870;2598
49;1997 4th quarter;37.7;2.3;11.1;53092;7.0;6.8;116960;6210
50;1997;36.3;11.5;11.5;185634;5.6;5.6;113163;21007
51;1998 January;38.1;0.6;10.6;10084;-54.2;-5.4;118196;1192
52;1998 February;38.5;1.1;10.3;12637;25.3;6.8;118483;1497
53;1998 March ;38.7;0.5;9.9;15407;21.9;16.1;119635;1843
54;1998 1st quarter;38.5;1.9;10.3;38128;-28.2;6.6;118873;4532
55;1998 April;39.1;1.0;10.0;15145;-1.7;-1.2;120019;1818
56;1998 May;39.4;0.7;9.8;16299;7.6;3.9;122503;1997
57;1998 June;39.9;1.2;10.3;15966;-2.0;-1.1;121460;1939
58;1998 2nd quarter;39.5;2.6;10.0;47410;24.3;0.5;121358;5754
59;1998 July;40.2;1.0;10.1;19679;23.3;6.5;126636;2492
60;1998 August;40.8;1.4;10.2;16435;-16.5;6.0;127865;2101
61;1998 September;41.3;1.2;11.5;15039;-8.5;-3.8;127758;1921
62;1998 3rd quarter;40.8;3.3;10.6;51153;7.9;3.1;127361;6515
63;1998 October;41.6;0.7;10.7;16428;9.2;-1.3;128238;2107
64;1998 November;42.0;1.0;11.0;16189;-1.5;12.3;127574;2065
65;1998 December;42.1;0.2;11.1;23314;44.0;5.8;129378;3016
66;1998 4th quarter;41.9;2.6;11.0;55931;9.3;5.3;128521;7188
67;1998;40.1;10.5;10.5;192622;3.8;3.8;124540;23989
68;1999 January;42.9;2.1;12.7;10756;-53.9;6.7;130266;1401
69;1999 February;43.3;0.8;12.4;13909;29.3;10.1;130784;1819
70;1999 March ;43.9;1.4;13.4;17558;26.2;14.0;133544;2345
71;1999 1st quarter;43.4;3.6;12.8;42223;-24.5;10.7;131800;5565
72;1999 April;44.6;1.5;13.9;17210;-2.0;13.6;138285;2380
73;1999 May;45.3;1.6;15.0;15879;-7.7;-2.6;138572;2200
74;1999 June;46.0;1.6;15.4;17122;7.8;7.2;141717;2426
75;1999 2nd quarter;45.3;4.4;14.8;50211;18.9;5.9;139546;7007
76;1999 July;46.8;1.8;16.3;20455;19.5;3.9;146087;2988
77;1999 August;47.7;2.0;17.0;18760;-8.3;14.1;148966;2795
78;1999 September;48.3;1.1;16.9;16360;-12.8;8.8;151863;2484
79;1999 3rd quarter;47.6;5.1;16.7;55575;10.7;8.6;148759;8267
80;1999 October;49.1;1.8;18.3;16691;2.0;1.6;154989;2587
81;1999 November;49.8;1.4;18.8;17482;4.7;8.0;155171;2713
82;1999 December;50.2;0.6;19.2;22356;27.9;-4.1;155389;3474
83;1999 4th quarter;49.7;4.4;18.8;56529;1.7;1.1;155204;8774
84;1999;46.5;15.8;15.8;204538;6.2;6.2;144778;29613
85;2000 January;51.2;2.0;19.1;10794;-51.7;0.4;157270;1698
86;2000 February;51.9;1.4;19.8;13563;25.7;-2.5;158416;2149
87;2000 March;52.5;1.2;19.6;15286;12.7;-12.9;161686;2472
88;2000 1st quarter;51.8;4.3;19.5;39643;-29.9;-6.1;159365;6318
89;2000 April;53.1;1.1;19.1;13875;-9.2;-19.4;164483;2282
90;2000 May;53.8;1.4;18.9;18593;34.0;17.1;168035;3124
91;2000 June;54.6;1.4;18.6;14630;-21.3;-14.6;169998;2487
92;2000 2nd quarter;53.8;3.8;18.9;47098;18.8;-6.2;167599;7894
93;2000 July;55.4;1.5;18.3;17197;17.5;-15.9;174945;3009
94;2000 August;56.0;1.1;17.3;16264;-5.4;-13.3;177859;2893
95;2000 September;56.7;1.2;17.5;15333;-5.7;-6.3;179940;2759
96;2000 3rd quarter;56.0;4.1;17.7;48794;3.6;-12.2;177486;8660
97;2000 October;57.1;0.6;16.1;15792;3.0;-5.4;180317;2848
98;2000 November;57.4;0.6;15.2;15121;-4.2;-13.5;176972;2676
99;2000 December;57.6;0.3;14.8;22910;51.5;2.5;182625;4184
100;2000 4th quarter;57.3;2.3;15.4;53823;10.3;-4.8;180360;9707
101;2000;54.8;17.8;17.8;189358;-7.4;-7.4;172050;32579
102;2001 January;58.2;1.1;13.8;10341;-54.9;-4.2;177558;1836
103;2001 February;59.2;1.6;14.1;12427;20.2;-8.4;182471;2268
104;2001 March;59.4;0.4;13.1;14961;20.4;-2.1;180494;2700
105;2001 1st quarter;58.9;2.8;13.7;37729;-29.9;-4.8;180341;6804
106;2001 April;60.1;1.1;13.1;14634;-2.2;5.5;185999;2722
107;2001 May;60.4;0.6;12.2;17049;16.5;-8.3;186441;3179
108;2001 June;60.7;0.5;11.2;16508;-3.2;12.8;187336;3093
109;2001 2nd quarter;60.4;2.5;12.2;48191;27.7;2.3;186614;8993
110;2001 July;61.4;1.1;10.8;18997;15.1;10.5;190801;3625
111;2001 August;61.8;0.7;10.3;18158;-4.4;11.6;192139;3489
112;2001 September;62.3;0.9;9.9;15343;-15.5;0.1;191693;2941
113;2001 3rd quarter;61.8;2.4;10.3;52498;8.9;7.6;191524;10055
114;2001 October;62.1;-0.3;8.9;17835;16.2;12.9;191792;3421
115;2001 November;62.6;0.8;9.1;17309;-2.9;14.5;193508;3349
116;2001 December;62.4;-0.4;8.4;22175;28.1;-3.2;191854;4254
117;2001 4th quarter;62.4;0.9;8.8;57319;9.2;6.5;192334;11024
118;2001;60.9;11.2;11.2;195737;3.4;3.4;188397;36876
119;2002 January;63.0;1.0;8.2;11891;-46.4;15.0;193092;2296
120;2002 February;63.3;0.5;7.0;14165;19.1;14.0;193162;2736
121;2002 March;63.8;0.7;7.4;18321;29.3;22.5;197257;3614
122;2002 1st quarter;63.4;1.6;7.5;44377;-22.6;17.6;194834;8646
123;2002 April;64.0;0.3;6.5;14544;-20.6;-0.6;197440;2872
124;2002 May;64.6;0.9;6.9;17569;20.8;3.1;199157;3499
125;2002 June;64.7;0.2;6.5;15968;-9.1;-3.3;199384;3184
126;2002 2nd quarter;64.4;1.6;6.7;48081;8.3;-0.2;198713;9554
127;2002 July;65.2;0.8;6.2;19813;24.1;4.3;201666;3996
128;2002 August;65.6;0.7;6.3;17150;-13.4;-5.6;204573;3508
129;2002 September;65.7;0.1;5.4;15634;-8.8;1.9;204417;3196
130;2002 3rd quarter;65.5;1.7;5.9;52597;9.4;0.2;203432;10700
131;2002 October;65.5;-0.2;5.5;16200;3.6;-9.2;201799;3269
132;2002 November;65.5;0.0;4.6;15815;-2.4;-8.6;200491;3171
133;2002 December;65.1;-0.6;4.4;21316;34.8;-3.9;201155;4288
134;2002 4th quarter;65.4;-0.2;4.8;53331;1.4;-7.0;201154;10728
135;2002;64.7;6.2;6.2;198386;1.4;1.4;199752;39628
136;2003 January;65.9;1.2;4.6;11832;-44.5;-0.5;201802;2388
137;2003 February;66.2;0.3;4.5;13396;13.2;-5.4;200118;2681
138;2003 March;66.3;0.3;4.0;14359;7.2;-21.6;199880;2870
139;2003 1st quarter;66.1;1.1;4.4;39587;-25.8;-10.8;200535;7939
140;2003 April;66.5;0.3;4.0;15163;5.6;4.3;202536;3071
141;2003 May;66.8;0.4;3.5;16675;10.0;-5.1;202497;3377
142;2003 June;67.0;0.3;3.6;14440;-13.4;-9.6;204760;2957
143;2003 2nd quarter;66.8;0.9;3.7;46278;16.9;-3.8;203216;9404
144;2003 July;67.2;0.3;3.1;17510;21.3;-11.6;204826;3587
145;2003 August;67.4;0.3;2.7;16045;-8.4;-6.4;204982;3289
146;2003 September;67.5;0.1;2.7;16810;4.8;7.5;205430;3453
147;2003 3rd quarter;67.4;0.9;2.9;50365;8.8;-4.2;205078;10329
148;2003 October;67.8;0.5;3.5;17357;3.3;7.1;208042;3611
149;2003 November;68.0;0.3;3.8;15168;-12.6;-4.1;205756;3121
150;2003 December;68.3;0.5;4.9;24651;62.5;15.6;211410;5211
151;2003 4th quarter;68.0;1.0;4.1;57176;13.5;7.2;208888;11943
152;2003;67.1;3.7;3.7;193406;-2.5;-2.5;204829;39615
153;2004 January;68.7;0.5;4.2;10329;-58.1;-12.7;204756;2115
154;2004 February;69.0;0.5;4.3;13298;28.7;-0.7;209830;2790
155;2004 March;68.8;-0.2;3.8;15624;17.5;8.8;210156;3283
156;2004 1st quarter;68.8;1.2;4.1;39251;-31.4;-0.8;208625;8189
157;2004 April;69.4;0.8;4.3;16496;5.6;8.8;212873;3512
158;2004 May;69.6;0.3;4.2;14507;-12.1;-13.0;212210;3079
159;2004 June;69.7;0.2;4.1;16943;16.8;17.3;211950;3591
160;2004 2nd quarter;69.6;1.0;4.2;47946;22.2;3.6;212346;10181
161;2004 July;70.3;0.8;4.6;18386;8.5;5.0;215940;3970
162;2004 August;70.6;0.5;4.8;16909;-8.0;5.4;217834;3683
163;2004 September;70.7;0.0;4.7;15132;-10.5;-10.0;218350;3304
164;2004 3rd quarter;70.5;1.4;4.7;50427;5.2;0.1;217298;10958
165;2004 October;70.8;0.3;4.4;15450;2.1;-11.0;214677;3317
166;2004 November;70.7;-0.2;4.0;16519;6.9;8.9;211246;3490
167;2004 December;70.7;-0.1;3.4;22348;35.3;-9.3;210150;4696
168;2004 4th quarter;70.7;0.3;4.0;54317;7.7;-5.0;211771;11503
169;2004;69.9;4.2;4.2;191941;-0.8;-0.8;212723;40830
170;2005 January;71.1;0.5;3.5;11495;-48.6;11.3;214758;2469
171;2005 February;71.5;0.6;3.7;13964;21.5;5.0;214870;3000
172;2005 March;71.7;0.2;4.1;15751;12.8;0.8;217110;3420
173;2005 1st quarter;71.4;1.0;3.8;41210;-24.1;5.0;215695;8889
174;2005 April;72.0;0.4;3.8;16662;5.8;1.0;219695;3661
175;2005 May;72.5;0.7;4.2;16913;1.5;16.6;219176;3707
176;2005 June;72.5;-0.1;3.9;17017;0.6;0.4;221788;3774
177;2005 2nd quarter;72.3;1.2;4.0;50592;22.8;5.5;220225;11142
178;2005 July;73.0;0.7;3.8;18704;9.9;1.7;225528;4218
179;2005 August;73.3;0.4;3.7;18901;1.1;11.8;225914;4270
180;2005 September;73.3;0.1;3.8;18123;-4.1;19.8;229361;4157
181;2005 3rd quarter;73.2;1.2;3.8;55728;10.2;10.5;226905;12645
182;2005 October;73.5;0.2;3.7;17789;-1.8;15.1;225765;4016
183;2005 November;73.5;0.1;4.0;17268;-2.9;4.5;224855;3883
184;2005 December;73.8;0.4;4.4;24042;39.2;7.6;226399;5443
185;2005 4th quarter;73.6;0.6;4.0;59099;6.0;8.8;225757;13342
186;2005;72.6;3.9;3.9;206629;7.7;7.7;222706;46017
187;2006 January;74.3;0.6;4.5;13671;-43.1;18.9;228008;3117
188;2006 February;74.7;0.6;4.5;15698;14.8;12.4;229291;3599
189;2006 March;75.0;0.4;4.6;18150;15.6;15.2;231013;4193
190;2006 1st quarter;74.7;1.4;4.5;47519;-19.6;15.3;229580;10909
191;2006 April;75.3;0.4;4.6;16245;-10.5;-2.5;232932;3784
192;2006 May;75.5;0.3;4.2;18479;13.8;9.3;232135;4290
193;2006 June;75.9;0.4;4.7;18479;0.0;8.6;237713;4393
194;2006 2nd quarter;75.6;1.2;4.5;53203;12.0;5.2;234316;12466
195;2006 July;76.3;0.6;4.6;18819;1.8;0.6;240270;4522
196;2006 August;76.6;0.4;4.6;18059;-4.0;-4.5;241279;4357
197;2006 September;76.7;0.1;4.6;17004;-5.8;-6.2;241654;4109
198;2006 3rd quarter;76.5;1.3;4.6;53882;1.3;-3.3;241045;12988
199;2006 October;76.7;0.1;4.4;16981;-0.1;-4.5;239211;4062
200;2006 November;77.0;0.3;4.7;16578;-2.4;-4.0;235660;3907
201;2006 December;77.0;0.0;4.3;21604;30.3;-10.1;237903;5140
202;2006 4th quarter;76.9;0.5;4.5;55163;2.4;-6.7;237631;13108
203;2006;75.9;4.5;4.5;209767;1.5;1.5;235843;49472
204;2007 January;77.6;0.8;4.5;13419;-37.9;-1.8;243160;3263
205;2007 February;77.7;0.1;3.9;14487;8.0;-7.7;240094;3478
206;2007 March;78.1;0.6;4.1;17349;19.8;-4.4;244056;4234
207;2007 1st quarter;77.8;1.1;4.2;45255;-18.0;-4.8;242522;10975
208;2007 April;78.3;0.3;4.0;15646;-9.8;-3.7;244148;3820
209;2007 May;78.6;0.4;4.1;17419;11.3;-5.7;246215;4289
210;2007 June;79.2;0.7;4.4;17358;-0.4;-6.1;247323;4293
211;2007 2nd quarter;78.7;1.2;4.2;50423;11.4;-5.2;245955;12402
212;2007 July;79.5;0.4;4.2;18221;5.0;-3.2;249941;4554
213;2007 August;80.4;1.1;4.9;19554;7.3;8.3;257921;5043
214;2007 September;80.1;-0.4;4.4;14386;-26.4;-15.4;252650;3635
215;2007 3rd quarter;80.0;1.6;4.5;52161;3.4;-3.2;253679;13232
216;2007 October;80.3;0.3;4.6;16833;17.0;-0.9;251238;4229
217;2007 November;80.4;0.1;4.4;18067;7.3;9.0;252031;4553
218;2007 December;80.1;-0.3;4.1;19662;8.8;-9.0;247650;4869
219;2007 4th quarter;80.2;0.3;4.3;54562;4.6;-1.1;250208;13652
220;2007;79.2;4.3;4.3;202401;-3.5;-3.5;248325;50261
221;2008 January;81.0;1.1;4.4;12192;-38.0;-9.1;252858;3083
222;2008 February;81.3;0.4;4.7;15081;23.7;4.1;256717;3872
223;2008 March;81.4;0.1;4.2;13698;-9.2;-21.0;250160;3427
224;2008 1st quarter;81.2;1.2;4.4;40971;-24.9;-9.5;253376;10381
225;2008 April;81.5;0.1;4.0;18474;34.9;18.1;255294;4716
226;2008 May;81.3;-0.2;3.4;13871;-24.9;-20.4;252098;3497
227;2008 June;81.6;0.3;3.0;15669;13.0;-9.7;252710;3960
228;2008 2nd quarter;81.4;0.3;3.5;48014;17.2;-4.8;253527;12173
229;2008 July;82.2;0.8;3.4;17597;12.3;-3.4;258178;4543
230;2008 August;82.6;0.5;2.8;15469;-12.1;-20.9;261948;4052
231;2008 September;82.3;-0.5;2.8;15374;-0.6;6.9;258314;3971
232;2008 3rd quarter;82.4;1.1;3.0;48440;0.9;-7.1;259425;12567
233;2008 October;82.1;-0.2;2.3;16568;7.8;-1.6;259137;4293
234;2008 November;81.5;-0.7;1.4;11619;-29.9;-35.7;245292;2850
235;2008 December;81.6;0.1;1.9;16780;44.4;-14.7;252145;4231
236;2008 4th quarter;81.7;-0.8;1.9;44967;-7.2;-17.6;252950;11374
237;2008;81.7;3.2;3.2;182392;-9.9;-9.9;254918;46495
238;2009 January;81.8;0.3;1.0;8700;-48.2;-28.6;255906;2226
239;2009 February;81.1;-0.9;-0.2;8906;2.4;-40.9;247830;2207
240;2009 March;80.3;-1.0;-1.3;9612;7.9;-29.8;240130;2308
241;2009 1st quarter;81.1;-0.8;-0.2;27218;-39.5;-33.6;247692;6742
242;2009 April;79.7;-0.8;-2.1;10073;4.8;-45.5;238277;2400
243;2009 May;79.2;-0.6;-2.6;10275;2.0;-25.9;236447;2429
244;2009 June;78.6;-0.8;-3.7;9921;-3.4;-36.7;231684;2299
245;2009 2nd quarter;79.2;-2.4;-2.8;30269;11.2;-37.0;235495;7128
246;2009 July;78.7;0.1;-4.3;13237;33.4;-24.8;235361;3115
247;2009 August;78.1;-0.7;-5.5;9572;-27.7;-38.1;231295;2214
248;2009 September;77.9;-0.3;-5.3;10425;8.9;-32.2;233504;2434
249;2009 3rd quarter;78.2;-1.2;-5.0;33234;9.8;-31.4;233608;7764
250;2009 October;78.0;0.1;-5.0;11385;9.2;-31.3;238827;2719
251;2009 November;77.7;-0.4;-4.7;9970;-12.4;-14.2;233663;2330
252;2009 December;77.4;-0.4;-5.2;15456;55.0;-7.9;239605;3703
253;2009 4th quarter;77.7;-0.7;-4.9;36811;10.8;-18.1;237755;8752
254;2009;79.1;-3.2;-3.2;127532;-30.1;-30.1;238259;30386
255;2010 January;77.5;0.1;-5.3;7708;-50.1;-11.4;240650;1855
256;2010 February;77.7;0.2;-4.3;8892;15.4;-0.2;233902;2080
257;2010 March;77.4;-0.3;-3.6;11145;25.3;15.9;236230;2633
258;2010 1st quarter;77.5;-0.2;-4.4;27745;-24.6;1.9;236712;6568
259;2010 April;78.0;0.8;-2.2;11069;-0.7;9.9;241859;2677
260;2010 May;77.5;-0.6;-2.1;9893;-10.6;-3.7;236799;2343
261;2010 June;77.6;0.1;-1.3;10929;10.5;10.2;241017;2634
262;2010 2nd quarter;77.7;0.2;-1.9;31891;14.9;5.4;240001;7654
263;2010 July;78.0;0.5;-0.9;12240;12.0;-7.5;245245;3002
264;2010 August;77.8;-0.2;-0.4;10411;-14.9;8.8;242259;2522
265;2010 September;77.5;-0.4;-0.5;9747;-6.4;-6.5;245706;2395
266;2010 3rd quarter;77.8;0.1;-0.6;32398;1.6;-2.5;244424;7919
267;2010 October;77.2;-0.5;-1.1;9950;2.1;-12.6;241580;2404
268;2010 November;76.9;-0.3;-1.0;10079;1.3;1.1;234732;2366
269;2010 December;76.8;-0.2;-0.8;14064;39.5;-9.0;234739;3301
270;2010 4th quarter;76.9;-1.1;-1.0;34093;5.2;-7.4;236733;8071
271;2010;77.5;-2.0;-2.0;126127;-1.1;-1.1;239530;30211
272;2011 January;76.7;-0.1;-1.1;8368;-40.5;8.6;240983;2017
273;2011 February;76.5;-0.3;-1.5;9558;14.2;7.5;234444;2241
274;2011 March;76.6;0.2;-1.0;10432;9.1;-6.4;244661;2552
275;2011 1st quarter;76.6;-0.5;-1.2;28358;-16.8;2.2;240132;6810
276;2011 April;76.4;-0.3;-2.1;10068;-3.5;-9.0;243245;2449
277;2011 May;76.2;-0.2;-1.7;9915;-1.5;0.2;240276;2382
278;2011 June;76.1;-0.2;-1.9;9549;-3.7;-12.6;241662;2308
279;2011 2nd quarter;76.2;-0.5;-1.9;29532;4.1;-7.4;241736;7139
280;2011 July;76.2;0.1;-2.3;10433;9.3;-14.8;248424;2592
281;2011 August;75.7;-0.6;-2.7;10009;-4.1;-3.9;241390;2416
282;2011 September;75.2;-0.7;-3.0;10327;3.2;6.0;246538;2546
283;2011 3rd quarter;75.7;-0.7;-2.7;30769;4.2;-5.0;245503;7554
284;2011 October;75.0;-0.3;-2.8;9453;-8.5;-5.0;237499;2245
285;2011 November;74.4;-0.7;-3.3;9494;0.4;-5.8;232640;2209
286;2011 December;73.7;-1.0;-4.0;13133;38.3;-6.6;230582;3028
287;2011 4th quarter;74.4;-1.8;-3.4;32080;4.3;-5.9;233229;7482
288;2011;75.7;-2.3;-2.3;120739;-4.3;-4.3;240059;28984
289;2012 January;73.9;0.3;-3.6;7082;-46.1;-15.4;241473;1710
290;2012 February;73.6;-0.4;-3.7;7805;10.2;-18.3;237464;1853
291;2012 March;72.8;-1.2;-5.0;9064;16.1;-13.1;230341;2088
292;2012 1st quarter;73.4;-1.2;-4.1;23951;-25.3;-15.5;235954;5651
293;2012 April;72.1;-0.9;-5.6;8236;-9.1;-18.2;231130;1904
294;2012 May;71.8;-0.5;-5.8;10182;23.6;2.7;228010;2322
295;2012 June;72.5;1.0;-4.7;16210;59.2;69.8;240443;3898
296;2012 2nd quarter;72.1;-1.8;-5.4;34628;44.6;17.3;234572;8123
297;2012 July;69.9;-3.5;-8.2;7451;-54.0;-28.6;216721;1615
298;2012 August;69.4;-0.7;-8.3;8384;12.5;-16.2;214075;1795
299;2012 September;69.0;-0.5;-8.2;7143;-14.8;-30.8;216849;1549
300;2012 3rd quarter;69.5;-3.7;-8.3;22978;-33.6;-25.3;215795;4959
301;2012 October;68.9;-0.2;-8.1;8507;19.1;-10.0;214546;1825
302;2012 November;69.1;0.3;-7.2;9833;15.6;3.6;220465;2168
303;2012 December;68.8;-0.4;-6.7;17364;76.6;32.2;221887;3853
304;2012 4th quarter;68.9;-0.8;-7.3;35704;55.4;11.3;219746;7846
305;2012;71.0;-6.3;-6.3;117261;-2.9;-2.9;226661;26578
306;2013 January;66.8;-2.8;-9.6;6260;-63.9;-11.6;206583;1293
307;2013 February;67.6;1.2;-8.2;7897;26.2;1.2;210384;1661
308;2013 March;67.6;0.1;-7.1;8933;13.1;-1.4;220430;1969
309;2013 1st quarter;67.4;-2.3;-8.3;23090;-35.3;-3.6;213240;4924
310;2013 April;66.8;-1.2;-7.3;6554;-26.6;-20.4;214969;1409
311;2013 May;66.0;-1.2;-8.0;8333;27.1;-18.2;211869;1766
312;2013 June;65.6;-0.7;-9.5;7224;-13.3;-55.4;206114;1489
313;2013 2nd quarter;66.1;-1.8;-8.3;22111;-4.2;-36.1;210908;4663
314;2013 July;66.3;1.2;-5.1;9659;33.7;29.6;213967;2067
315;2013 August;66.4;0.1;-4.3;9977;3.3;19.0;215092;2146
316;2013 September;66.3;-0.1;-3.9;9289;-6.9;30.0;215283;2000
317;2013 3rd quarter;66.3;0.3;-4.5;28925;30.8;25.9;214778;6212
318;2013 October;66.2;-0.2;-3.9;9929;6.9;16.7;213050;2115
319;2013 November;66.0;-0.4;-4.5;10576;6.5;7.6;212126;2243
320;2013 December;66.3;0.6;-3.5;15463;46.2;-10.9;215388;3331
321;2013 4th quarter;66.2;-0.3;-4.0;35968;24.3;0.7;213784;7689
322;2013;66.5;-6.3;-6.3;110094;-6.1;-6.1;213353;23489
323;2014 January;66.6;0.4;-0.3;8905;-42.4;42.3;219530;1955
324;2014 February;66.6;0.0;-1.4;10030;12.6;27.0;213822;2145
325;2014 March;66.5;-0.3;-1.8;10028;0.0;12.3;214147;2147
326;2014 1st quarter;66.6;0.6;-1.2;28963;-19.5;25.4;215689;6247
327;2014 April;66.9;0.7;0.1;10780;7.5;64.5;220136;2373
328;2014 May;66.9;0.0;1.4;11966;11.0;43.6;219607;2628
329;2014 June;67.2;0.4;2.5;11328;-5.3;56.8;222301;2518
330;2014 2nd quarter;67.0;0.7;1.3;34074;17.6;54.1;220670;7519
331;2014 July;67.7;0.8;2.1;13883;22.6;43.7;226750;3148
332;2014 August;67.8;0.1;2.1;12328;-11.2;23.6;225149;2776
333;2014 September;67.7;-0.2;2.1;12949;5.0;39.4;223567;2895
334;2014 3rd quarter;67.7;1.1;2.1;39160;14.9;35.4;225194;8819
335;2014 October;67.9;0.3;2.5;14353;10.8;44.6;224795;3226
336;2014 November;67.8;-0.2;2.7;11696;-18.5;10.6;220204;2576
337;2014 December;68.1;0.4;2.6;25265;116.0;63.4;226646;5726
338;2014 4th quarter;67.9;0.2;2.6;51314;31.0;42.7;224660;11528
339;2014;67.3;1.2;1.2;153511;39.4;39.4;222218;34113
340;2015 January;68.3;0.3;2.5;9437;-62.6;6.0;222800;2103
341;2015 February;68.5;0.3;2.8;11697;23.9;16.6;216678;2534
342;2015 March;68.6;0.1;3.2;13393;14.5;33.6;225024;3014
343;2015 1st quarter;68.4;0.8;2.8;34527;-32.7;19.2;221589;7651
344;2015 April;68.8;0.3;2.7;12748;-4.8;18.3;224376;2860
345;2015 May;68.9;0.3;3.0;12827;0.6;7.2;228032;2925
346;2015 June;69.3;0.5;3.1;15147;18.1;33.7;229381;3474
347;2015 2nd quarter;69.0;0.8;2.9;40722;17.9;19.5;227389;9260
348;2015 July;69.9;0.9;3.3;18422;21.6;32.7;232562;4284
349;2015 August;69.9;0.0;3.1;15863;-13.9;28.7;233485;3704
350;2015 September;70.4;0.7;4.0;16324;2.9;26.1;233956;3819
351;2015 3rd quarter;70.1;1.6;3.5;50609;24.3;29.2;233301;11807
352;2015 October;70.6;0.3;3.9;16324;0.0;13.7;237796;3882
353;2015 November;70.7;0.1;4.3;14545;-10.9;24.4;234610;3412
354;2015 December;70.5;-0.3;3.6;21566;48.3;-14.6;233242;5030
355;2015 4th quarter;70.6;0.7;3.9;52435;3.6;2.2;235039;12324
356;2015;69.5;3.3;3.3;178293;16.1;16.1;230194;41042
357;2016 January;71.2;1.1;4.4;11907;-44.8;26.2;238934;2845
358;2016 February;71.3;0.1;4.2;14866;24.9;27.1;234830;3491
359;2016 March;71.8;0.6;4.7;16124;8.5;20.4;235799;3802
360;2016 1st quarter;71.5;1.3;4.4;42897;-18.2;24.2;236333;10138
361;2016 April;72.0;0.3;4.7;16387;1.6;28.5;239522;3925
