ID;BedrijfskenmerkenSBI1993;Perioden;Ziekteverzuimpercentage_1
95;C t/m F Nijverheid en energievoorziening;2007;4.8
96;C t/m F Nijverheid en energievoorziening;2008 1e kwartaal;5.1
97;C t/m F Nijverheid en energievoorziening;2008 2e kwartaal;4.5
98;C t/m F Nijverheid en energievoorziening;2008 3e kwartaal;4.1
99;C t/m F Nijverheid en energievoorziening;2008 4e kwartaal;4.8
100;C t/m F Nijverheid en energievoorziening;2008;4.6
101;C t/m F Nijverheid en energievoorziening;2009 1e kwartaal;5.0
102;C t/m F Nijverheid en energievoorziening;2009 2e kwartaal;4.5
103;C t/m F Nijverheid en energievoorziening;2009 3e kwartaal;4.5
104;C t/m F Nijverheid en energievoorziening;2009 4e kwartaal;5.1
105;C t/m F Nijverheid en energievoorziening;2009;4.8
106;C t/m F Nijverheid en energievoorziening;2010 1e kwartaal;5.0
107;C t/m F Nijverheid en energievoorziening;2010 2e kwartaal;4.6
108;C t/m F Nijverheid en energievoorziening;2010 3e kwartaal;4.4
109;C t/m F Nijverheid en energievoorziening;2010 4e kwartaal;4.9
110;C t/m F Nijverheid en energievoorziening;2010;4.7
111;C t/m F Nijverheid en energievoorziening;2011 1e kwartaal;5.2
112;C t/m F Nijverheid en energievoorziening;2011 2e kwartaal;4.8
113;C t/m F Nijverheid en energievoorziening;2011 3e kwartaal;4.5
114;C Delfstoffenwinning;2004 1e kwartaal;
115;C Delfstoffenwinning;2004 2e kwartaal;
116;C Delfstoffenwinning;2004 3e kwartaal;
117;C Delfstoffenwinning;2004 4e kwartaal;
118;C Delfstoffenwinning;2004;3.2
119;C Delfstoffenwinning;2005 1e kwartaal;
120;C Delfstoffenwinning;2005 2e kwartaal;
121;C Delfstoffenwinning;2005 3e kwartaal;
122;C Delfstoffenwinning;2005 4e kwartaal;
123;C Delfstoffenwinning;2005;3.4
124;C Delfstoffenwinning;2006 1e kwartaal;
125;C Delfstoffenwinning;2006 2e kwartaal;
126;C Delfstoffenwinning;2006 3e kwartaal;
127;C Delfstoffenwinning;2006 4e kwartaal;
128;C Delfstoffenwinning;2006;3.0
129;C Delfstoffenwinning;2007 1e kwartaal;
130;C Delfstoffenwinning;2007 2e kwartaal;
131;C Delfstoffenwinning;2007 3e kwartaal;
132;C Delfstoffenwinning;2007 4e kwartaal;
133;C Delfstoffenwinning;2007;2.9
134;C Delfstoffenwinning;2008 1e kwartaal;3.3
135;C Delfstoffenwinning;2008 2e kwartaal;3.2
136;C Delfstoffenwinning;2008 3e kwartaal;2.6
137;C Delfstoffenwinning;2008 4e kwartaal;3.0
138;C Delfstoffenwinning;2008;3.0
139;C Delfstoffenwinning;2009 1e kwartaal;3.3
140;C Delfstoffenwinning;2009 2e kwartaal;2.8
141;C Delfstoffenwinning;2009 3e kwartaal;2.6
142;C Delfstoffenwinning;2009 4e kwartaal;3.7
143;C Delfstoffenwinning;2009;3.1
144;C Delfstoffenwinning;2010 1e kwartaal;3.1
145;C Delfstoffenwinning;2010 2e kwartaal;3.3
146;C Delfstoffenwinning;2010 3e kwartaal;3.1
147;C Delfstoffenwinning;2010 4e kwartaal;3.0
148;C Delfstoffenwinning;2010;3.1
149;C Delfstoffenwinning;2011 1e kwartaal;4.2
150;C Delfstoffenwinning;2011 2e kwartaal;3.8
151;C Delfstoffenwinning;2011 3e kwartaal;3.4
152;D Industrie;2004 1e kwartaal;
153;D Industrie;2004 2e kwartaal;
154;D Industrie;2004 3e kwartaal;
155;D Industrie;2004 4e kwartaal;
156;D Industrie;2004;5.3
157;D Industrie;2005 1e kwartaal;
158;D Industrie;2005 2e kwartaal;
159;D Industrie;2005 3e kwartaal;
160;D Industrie;2005 4e kwartaal;
161;D Industrie;2005;5.4
162;D Industrie;2006 1e kwartaal;
163;D Industrie;2006 2e kwartaal;
164;D Industrie;2006 3e kwartaal;
165;D Industrie;2006 4e kwartaal;
166;D Industrie;2006;5.7
167;D Industrie;2007 1e kwartaal;
168;D Industrie;2007 2e kwartaal;
169;D Industrie;2007 3e kwartaal;
170;D Industrie;2007 4e kwartaal;
171;D Industrie;2007;5.0
172;D Industrie;2008 1e kwartaal;5.4
173;D Industrie;2008 2e kwartaal;4.7
174;D Industrie;2008 3e kwartaal;4.4
175;D Industrie;2008 4e kwartaal;5.1
176;D Industrie;2008;4.9
177;D Industrie;2009 1e kwartaal;5.4
178;D Industrie;2009 2e kwartaal;4.8
179;D Industrie;2009 3e kwartaal;4.8
