ID;PriceComponents;VATAndTax;Periods;LessThan569M3_1;k_569Until5687M3_2;k_5687M3AndHigher_3;LessThan28433M3_4;k_28433Until284333M3_5;k_284333Until2843332M3_6;k_2843332Until28433324M3_7;k_28433324M3AndHigher_8;LessThan1MWh_9;k_1Until25MWh_10;k_25Until5MWh_11;k_5Until15MWh_12;k_15MWhAndHigher_13;LessThan20MWh_14;k_20Unitl500MWh_15;k_500Until2000MWh_16;k_2000Until20000MWh_17;k_20000Until70000MWh_18;k_70000Until150000MWh_19;k_150000MWhAndHigher_20
10;Total price;Including VAT and tax;2012 2nd semester;1.235;0.825;0.723;0.744;0.621;0.411;0.357;0.321;-0.131;0.134;0.187;0.201;0.209;0.193;0.131;0.115;0.104;0.086;0.084;0.076
11;Total price;Including VAT and tax;2012;1.095;0.763;0.689;0.708;0.612;0.426;0.351;0.316;-0.123;0.134;0.186;0.201;0.232;0.194;0.151;0.115;0.102;0.087;0.084;0.073
12;Total price;Including VAT and tax;2013 1st semester;1.034;0.772;0.747;0.74;0.665;0.492;0.385;0.341;-0.11;0.14;0.19;0.204;0.262;0.192;0.177;0.115;0.107;0.094;0.09;0.088
13;Total price;Including VAT and tax;2013 2nd semester;1.34;0.843;0.757;0.758;0.687;0.411;0.37;0.337;-0.119;0.139;0.191;0.204;0.213;0.203;0.135;0.115;0.105;0.093;0.094;0.09
14;Total price;Including VAT and tax;2013;1.14;0.797;0.75;0.748;0.676;0.46;0.38;0.34;-0.114;0.139;0.19;0.204;0.239;0.198;0.155;0.115;0.106;0.093;0.092;0.089
15;Total price;Including VAT and tax;2014 1st semester;1.111;0.771;0.707;0.739;0.682;0.484;0.363;0.321;-0.161;0.125;0.184;0.201;0.268;0.216;0.175;0.113;0.102;0.089;0.089;0.079
16;Total price;Including VAT and tax;2014 2nd semester;1.248;0.801;0.715;0.745;0.686;0.397;0.321;0.278;-0.169;0.12;0.18;0.199;0.206;0.201;0.132;0.107;0.099;0.082;0.086;0.08
17;Total price;Including VAT and tax;2014;1.17;0.784;0.71;0.741;0.684;0.446;0.342;0.3;-0.165;0.122;0.182;0.201;0.237;0.208;0.153;0.11;0.101;0.086;0.087;0.079
18;Total price;Including VAT and tax;2015 1st semester;1.037;0.739;0.68;0.715;0.648;0.46;0.36;0.298;-0.025;0.156;0.199;0.209;0.263;0.22;0.173;0.11;0.099;0.086;0.086;0.081
19;Total price;Including VAT and tax;2015 2nd semester;1.312;0.784;0.678;0.719;0.67;0.379;0.312;0.265;-0.096;0.135;0.184;0.199;0.198;0.214;0.128;0.103;0.097;0.077;0.081;0.078
20;Total price;Including VAT and tax;2015;1.139;0.755;0.673;0.717;0.657;0.43;0.339;0.283;-0.06;0.146;0.192;0.204;0.218;0.217;0.151;0.106;0.098;0.081;0.084;0.079
21;Total price;Including VAT and tax;2016 1st semester;1.063;0.762;0.698;0.75;0.684;0.453;0.303;0.214;-0.11;0.114;0.162;0.175;0.243;0.189;0.168;0.105;0.093;0.079;0.074;0.07
22;Total price;Including VAT and tax;2016 2nd semester;1.277;0.79;0.696;0.751;0.667;0.34;0.286;0.22;-0.106;0.112;0.159;0.173;0.202;0.179;0.123;0.097;0.093;0.071;0.071;0.071
23;Total price;Including VAT and tax;2016;1.142;0.771;0.696;0.749;0.676;0.407;0.295;0.217;-0.108;0.113;0.16;0.174;0.222;0.184;0.145;0.102;0.093;0.075;0.072;0.07
24;Total price;Including VAT and tax;2017 1st semester;1.112;0.746;0.659;0.738;0.655;0.432;0.3;0.247;-0.117;0.106;0.156;0.173;0.225;0.196;0.165;0.1;0.094;0.074;0.067;0.066
25;Total price;Including VAT and tax;2017 2nd semester;1.328;0.795;0.68;0.743;0.645;0.318;0.271;0.238;-0.118;0.105;0.156;0.173;0.188;0.199;0.113;0.092;0.092;0.063;0.062;0.065
26;Total price;Including VAT and tax;2017;1.2;0.766;0.668;0.739;0.651;0.381;0.286;0.242;-0.118;0.106;0.156;0.172;0.207;0.197;0.14;0.095;0.093;0.069;0.064;0.065
27;Total price;Including VAT and tax;2018 1st semester;1.155;0.796;0.711;0.741;0.675;0.454;0.31;0.273;-0.026;0.126;0.171;0.185;0.24;0.166;0.173;0.105;0.094;0.077;0.068;0.065
28;Total price;Including VAT and tax;2018 2nd semester;1.336;0.826;0.705;0.777;0.664;0.351;0.296;0.307;-0.097;0.108;0.162;0.184;0.203;0.196;0.127;0.098;0.096;0.069;0.071;0.069
29;Total price;Including VAT and tax;2018;1.227;0.808;0.709;0.755;0.67;0.408;0.303;0.297;-0.062;0.117;0.167;0.184;0.222;0.171;0.15;0.101;0.095;0.073;0.07;0.067
30;Total price;Including VAT and tax;2019 1st semester;1.272;0.902;0.821;0.842;0.754;0.457;0.308;0.264;0.078;0.181;0.205;0.211;0.267;0.222;0.165;0.114;0.105;0.085;0.076;0.073
31;Total price;Including VAT and tax;2019 2nd semester;1.484;0.943;0.811;0.86;0.695;0.336;0.248;0.192;0.095;0.182;0.205;0.21;0.235;0.192;0.129;0.109;0.104;0.072;0.068;0.071
32;Total price;Including VAT and tax;2019;1.376;0.922;0.818;0.845;0.725;0.407;0.28;0.234;0.086;0.182;0.205;0.211;0.251;0.207;0.147;0.111;0.104;0.078;0.072;0.072
33;Total price;Including VAT and tax;2020 1st semester;1.392;0.979;0.881;0.933;0.803;0.461;0.284;0.223;-0.222;0.066;0.147;0.187;0.262;0.236;0.178;0.129;0.118;0.09;0.078;0.082
34;Total price;Including VAT and tax;2020 2nd semester;1.57;0.987;0.849;0.913;0.806;0.327;0.256;0.221;-0.274;0.049;0.136;0.179;0.233;0.233;0.139;0.125;0.119;0.076;0.076;0.07
35;Total price;Including VAT and tax;2020;1.463;0.982;0.868;0.919;0.805;0.386;0.271;0.222;-0.247;0.058;0.142;0.183;0.248;0.235;0.154;0.126;0.119;0.084;0.078;0.072
36;Total price;Including VAT and tax;2021 1st semester;1.319;0.939;0.84;0.912;0.818;0.483;0.33;0.301;-0.282;0.038;0.128;0.174;0.264;0.243;0.184;0.136;0.128;0.099;0.082;0.082
37;Total price;Including VAT and tax;2021 2nd semester;1.664;1.071;0.929;0.976;0.883;0.522;0.504;0.614;-0.272;0.055;0.145;0.19;0.257;0.258;0.161;0.15;0.154;0.105;0.094;0.127
38;Total price;Including VAT and tax;2021;1.451;0.99;0.875;0.938;0.848;0.502;0.406;0.437;-0.277;0.046;0.136;0.182;0.261;0.251;0.172;0.143;0.141;0.102;0.088;0.105
39;Total price;Including VAT and tax;2022 1st semester;1.665;1.265;1.173;1.261;1.072;0.901;0.758;0.966;-0.652;-0.104;0.059;0.149;0.262;0.225;0.239;0.208;0.21;0.187;0.172;0.185
40;Total price;Including VAT and tax;2022 2nd semester;2.204;1.938;1.701;1.746;1.105;0.72;0.802;1.203;-0.519;-0.007;0.156;0.25;0.366;0.323;0.232;0.197;0.228;0.178;0.169;0.193
41;Total price;Including VAT and tax;2022;1.9;1.519;1.353;1.414;1.084;0.828;0.775;1.063;-0.585;-0.058;0.105;0.197;0.311;0.278;0.235;0.201;0.219;0.183;0.171;0.189
42;Total price;Including VAT and tax;2023 1st semester;2.012;1.913;2.123;1.975;1.614;1.024;0.963;0.841;-0.05;0.235;0.371;0.471;0.61;0.526;0.353;0.29;0.304;0.266;0.289;0.268
43;Total price;Including VAT and tax;2023 2nd semester;2.112;1.54;1.362;1.59;1.475;0.754;0.714;0.576;-0.045;0.179;0.266;0.303;0.361;0.379;0.287;0.251;0.278;0.217;0.291;0.237
44;Total price;Including VAT and tax;2023;2.043;1.764;1.802;1.801;1.558;0.915;0.845;0.706;-0.047;0.206;0.317;0.384;0.485;0.453;0.321;0.269;0.291;0.239;0.29;0.25
45;Total price;Including VAT and tax;2024 1st semester;1.924;1.588;1.417;1.586;1.406;0.88;0.735;0.567;-0.041;0.193;0.269;0.293;0.38;0.371;0.307;0.238;0.235;0.2;0.235;0.155
46;Total price;Including VAT and tax;2024 2nd semester;2.161;1.632;1.396;1.654;1.431;0.74;0.656;0.461;-0.196;0.123;0.215;0.241;0.326;0.334;0.28;0.24;0.236;0.176;0.211;0.154
47;Total price;Including VAT and tax;2024;2.021;1.604;1.41;1.615;1.417;0.815;0.701;0.519;-0.123;0.158;0.243;0.269;0.357;0.354;0.294;0.239;0.236;0.189;0.222;0.152
48;Total price;Excluding VAT and including tax;2009 1st semester;0.889;0.665;0.606;0.631;0.556;0.385;0.315;0.231;-0.087;0.122;0.167;0.181;0.217;0.179;0.157;0.111;0.099;0.091;0.087;0.068
49;Total price;Excluding VAT and including tax;2009 2nd semester;0.866;0.553;0.48;0.522;0.515;0.342;0.277;0.202;-0.099;0.115;0.16;0.176;0.172;0.177;0.124;0.106;0.097;0.083;0.079;0.06
50;Total price;Excluding VAT and including tax;2009;0.879;0.617;0.551;0.593;0.541;0.366;0.295;0.215;-0.093;0.118;0.163;0.179;0.195;0.178;0.14;0.108;0.098;0.087;0.083;0.064
51;Total price;Excluding VAT and including tax;2010 1st semester;0.792;0.559;0.499;0.522;0.459;0.327;0.25;0.191;-0.12;0.101;0.148;0.165;0.199;0.177;0.147;0.102;0.089;0.075;0.073;0.063
52;Total price;Excluding VAT and including tax;2010 2nd semester;0.891;0.591;0.511;0.522;0.497;0.303;0.253;0.215;-0.11;0.106;0.15;0.166;0.159;0.166;0.112;0.097;0.089;0.072;0.073;0.064
53;Total price;Excluding VAT and including tax;2010;0.835;0.572;0.504;0.524;0.474;0.316;0.251;0.202;-0.116;0.103;0.149;0.165;0.182;0.172;0.129;0.099;0.089;0.074;0.073;0.064
54;Total price;Excluding VAT and including tax;2011 1st semester;0.803;0.566;0.528;0.515;0.479;0.35;0.271;0.241;-0.104;0.108;0.151;0.164;0.205;0.153;0.14;0.099;0.086;0.074;0.072;0.064
55;Total price;Excluding VAT and including tax;2011 2nd semester;0.983;0.645;0.577;0.576;0.513;0.317;0.266;0.25;-0.107;0.107;0.152;0.165;0.164;0.154;0.108;0.095;0.087;0.071;0.075;0.065
56;Total price;Excluding VAT and including tax;2011;0.878;0.599;0.548;0.541;0.495;0.335;0.268;0.246;-0.105;0.107;0.151;0.165;0.184;0.153;0.124;0.097;0.087;0.072;0.073;0.064
57;Total price;Excluding VAT and including tax;2012 1st semester;0.841;0.608;0.56;0.579;0.509;0.37;0.291;0.261;-0.097;0.113;0.155;0.168;0.214;0.163;0.145;0.097;0.085;0.073;0.071;0.06
58;Total price;Excluding VAT and including tax;2012 2nd semester;1.026;0.684;0.6;0.618;0.516;0.341;0.297;0.268;-0.109;0.111;0.155;0.168;0.173;0.161;0.109;0.096;0.087;0.071;0.07;0.064
59;Total price;Excluding VAT and including tax;2012;0.915;0.638;0.576;0.593;0.512;0.356;0.293;0.265;-0.103;0.112;0.155;0.168;0.194;0.162;0.127;0.097;0.086;0.072;0.07;0.062
60;Total price;Excluding VAT and including tax;2013 1st semester;0.854;0.638;0.618;0.611;0.55;0.407;0.318;0.282;-0.091;0.115;0.157;0.168;0.216;0.158;0.146;0.094;0.088;0.078;0.074;0.073
61;Total price;Excluding VAT and including tax;2013 2nd semester;1.107;0.697;0.625;0.627;0.568;0.34;0.305;0.279;-0.099;0.115;0.157;0.169;0.175;0.167;0.111;0.095;0.086;0.077;0.078;0.075
62;Total price;Excluding VAT and including tax;2013;0.943;0.659;0.62;0.618;0.558;0.38;0.314;0.282;-0.095;0.115;0.157;0.169;0.197;0.163;0.128;0.094;0.087;0.077;0.076;0.073
63;Total price;Excluding VAT and including tax;2014 1st semester;0.918;0.637;0.584;0.61;0.564;0.4;0.3;0.265;-0.132;0.103;0.152;0.167;0.221;0.178;0.145;0.094;0.084;0.074;0.074;0.065
64;Total price;Excluding VAT and including tax;2014 2nd semester;1.031;0.662;0.591;0.615;0.567;0.329;0.265;0.231;-0.14;0.099;0.149;0.164;0.17;0.166;0.11;0.089;0.082;0.067;0.071;0.066
65;Total price;Excluding VAT and including tax;2014;0.968;0.647;0.588;0.612;0.565;0.369;0.283;0.248;-0.136;0.101;0.151;0.166;0.197;0.172;0.127;0.091;0.084;0.071;0.073;0.065
66;Total price;Excluding VAT and including tax;2015 1st semester;0.857;0.611;0.562;0.591;0.535;0.38;0.297;0.247;-0.02;0.129;0.164;0.172;0.217;0.182;0.143;0.09;0.081;0.07;0.071;0.066
67;Total price;Excluding VAT and including tax;2015 2nd semester;1.084;0.648;0.561;0.595;0.554;0.314;0.258;0.219;-0.079;0.112;0.153;0.165;0.163;0.177;0.105;0.084;0.08;0.064;0.067;0.064
68;Total price;Excluding VAT and including tax;2015;0.941;0.624;0.557;0.592;0.543;0.356;0.28;0.233;-0.049;0.12;0.159;0.169;0.18;0.179;0.125;0.087;0.081;0.067;0.068;0.065
69;Total price;Excluding VAT and including tax;2016 1st semester;0.878;0.63;0.577;0.619;0.565;0.373;0.25;0.177;-0.092;0.095;0.134;0.145;0.201;0.157;0.138;0.087;0.077;0.065;0.061;0.058
70;Total price;Excluding VAT and including tax;2016 2nd semester;1.055;0.652;0.575;0.621;0.551;0.282;0.237;0.182;-0.088;0.092;0.131;0.143;0.167;0.148;0.102;0.081;0.076;0.059;0.059;0.059
71;Total price;Excluding VAT and including tax;2016;0.944;0.637;0.575;0.619;0.559;0.337;0.244;0.18;-0.089;0.093;0.133;0.144;0.184;0.152;0.121;0.084;0.077;0.062;0.06;0.058
72;Total price;Excluding VAT and including tax;2017 1st semester;0.919;0.617;0.545;0.609;0.541;0.357;0.247;0.204;-0.097;0.087;0.129;0.143;0.186;0.161;0.137;0.083;0.078;0.062;0.055;0.055
73;Total price;Excluding VAT and including tax;2017 2nd semester;1.097;0.657;0.562;0.614;0.533;0.263;0.224;0.196;-0.098;0.087;0.129;0.142;0.155;0.165;0.093;0.076;0.076;0.052;0.051;0.054
74;Total price;Excluding VAT and including tax;2017;0.991;0.633;0.552;0.611;0.538;0.315;0.236;0.2;-0.097;0.087;0.128;0.143;0.171;0.162;0.116;0.08;0.077;0.057;0.052;0.054
75;Total price;Excluding VAT and including tax;2018 1st semester;0.954;0.658;0.588;0.612;0.558;0.374;0.257;0.226;-0.021;0.104;0.141;0.152;0.198;0.138;0.143;0.087;0.078;0.063;0.056;0.054
76;Total price;Excluding VAT and including tax;2018 2nd semester;1.103;0.682;0.583;0.642;0.548;0.29;0.244;0.255;-0.08;0.089;0.134;0.151;0.169;0.162;0.105;0.081;0.08;0.057;0.058;0.058
77;Total price;Excluding VAT and including tax;2018;1.013;0.668;0.586;0.624;0.554;0.337;0.251;0.246;-0.051;0.096;0.138;0.152;0.184;0.142;0.124;0.083;0.079;0.06;0.057;0.056
78;Total price;Excluding VAT and including tax;2019 1st semester;1.051;0.745;0.678;0.696;0.623;0.378;0.255;0.218;0.071;0.152;0.171;0.175;0.221;0.184;0.137;0.094;0.086;0.071;0.063;0.06
79;Total price;Excluding VAT and including tax;2019 2nd semester;1.227;0.779;0.67;0.711;0.574;0.278;0.205;0.159;0.081;0.152;0.17;0.174;0.194;0.159;0.107;0.09;0.086;0.06;0.056;0.058
80;Total price;Excluding VAT and including tax;2019;1.138;0.762;0.675;0.699;0.599;0.336;0.232;0.194;0.076;0.152;0.171;0.175;0.207;0.171;0.122;0.092;0.086;0.065;0.06;0.059
81;Total price;Excluding VAT and including tax;2020 1st semester;1.15;0.809;0.728;0.771;0.664;0.381;0.235;0.185;-0.184;0.055;0.121;0.154;0.217;0.195;0.147;0.106;0.098;0.074;0.065;0.068
82;Total price;Excluding VAT and including tax;2020 2nd semester;1.298;0.816;0.702;0.755;0.666;0.27;0.211;0.182;-0.226;0.041;0.113;0.148;0.192;0.193;0.115;0.103;0.098;0.063;0.063;0.058
83;Total price;Excluding VAT and including tax;2020;1.209;0.812;0.717;0.76;0.665;0.319;0.224;0.183;-0.204;0.048;0.117;0.151;0.205;0.194;0.127;0.104;0.098;0.069;0.064;0.06
84;Total price;Excluding VAT and including tax;2021 1st semester;1.09;0.776;0.694;0.753;0.676;0.399;0.272;0.249;-0.233;0.031;0.106;0.144;0.218;0.201;0.152;0.113;0.106;0.082;0.068;0.068
85;Total price;Excluding VAT and including tax;2021 2nd semester;1.376;0.885;0.768;0.807;0.73;0.432;0.417;0.507;-0.224;0.045;0.12;0.157;0.213;0.213;0.133;0.124;0.127;0.087;0.078;0.105
86;Total price;Excluding VAT and including tax;2021;1.199;0.818;0.723;0.776;0.701;0.415;0.336;0.362;-0.229;0.038;0.113;0.151;0.215;0.207;0.142;0.118;0.117;0.084;0.073;0.087
87;Total price;Excluding VAT and including tax;2022 1st semester;1.376;1.045;0.969;1.042;0.886;0.744;0.627;0.799;-0.539;-0.086;0.049;0.124;0.217;0.186;0.197;0.172;0.174;0.155;0.142;0.153
88;Total price;Excluding VAT and including tax;2022 2nd semester;2.022;1.778;1.561;1.602;1.014;0.66;0.736;1.104;-0.476;-0.006;0.144;0.23;0.336;0.296;0.213;0.18;0.21;0.163;0.155;0.177
89;Total price;Excluding VAT and including tax;2022;1.657;1.323;1.171;1.22;0.933;0.71;0.67;0.923;-0.508;-0.047;0.094;0.174;0.274;0.246;0.206;0.177;0.192;0.159;0.149;0.165
90;Total price;Excluding VAT and including tax;2023 1st semester;1.663;1.582;1.755;1.632;1.334;0.846;0.796;0.695;-0.042;0.195;0.306;0.389;0.505;0.435;0.292;0.24;0.251;0.22;0.238;0.221
91;Total price;Excluding VAT and including tax;2023 2nd semester;1.746;1.273;1.125;1.314;1.219;0.623;0.59;0.476;-0.037;0.148;0.22;0.25;0.298;0.313;0.237;0.207;0.23;0.179;0.241;0.196
92;Total price;Excluding VAT and including tax;2023;1.688;1.458;1.489;1.489;1.288;0.756;0.698;0.584;-0.039;0.17;0.263;0.318;0.401;0.374;0.265;0.222;0.24;0.198;0.24;0.207
93;Total price;Excluding VAT and including tax;2024 1st semester;1.59;1.312;1.171;1.311;1.162;0.728;0.607;0.468;-0.034;0.159;0.223;0.242;0.314;0.306;0.254;0.197;0.194;0.165;0.195;0.128
94;Total price;Excluding VAT and including tax;2024 2nd semester;1.786;1.349;1.154;1.367;1.183;0.611;0.542;0.381;-0.162;0.102;0.178;0.199;0.269;0.276;0.231;0.198;0.195;0.145;0.174;0.128
95;Total price;Excluding VAT and including tax;2024;1.67;1.326;1.165;1.334;1.171;0.673;0.58;0.429;-0.102;0.131;0.201;0.222;0.295;0.292;0.243;0.198;0.195;0.156;0.184;0.126
96;Total price;Excluding VAT and tax;2009 1st semester;0.731;0.507;0.456;0.474;0.415;0.309;0.285;0.222;0.347;0.191;0.148;0.117;0.147;0.123;0.11;0.096;0.088;0.084;0.084;0.067
97;Total price;Excluding VAT and tax;2009 2nd semester;0.708;0.395;0.342;0.376;0.384;0.304;0.265;0.194;0.346;0.187;0.142;0.113;0.142;0.117;0.109;0.096;0.087;0.083;0.078;0.06
98;Total price;Excluding VAT and tax;2009;0.721;0.459;0.406;0.44;0.404;0.307;0.274;0.207;0.346;0.189;0.145;0.115;0.144;0.12;0.109;0.096;0.087;0.084;0.081;0.063
99;Total price;Excluding VAT and tax;2010 1st semester;0.629;0.396;0.345;0.36;0.315;0.248;0.223;0.181;0.32;0.17;0.128;0.099;0.127;0.112;0.1;0.087;0.078;0.069;0.07;0.061
100;Total price;Excluding VAT and tax;2010 2nd semester;0.728;0.428;0.37;0.378;0.359;0.266;0.241;0.207;0.326;0.172;0.128;0.099;0.127;0.115;0.098;0.087;0.078;0.071;0.072;0.064
101;Total price;Excluding VAT and tax;2010;0.672;0.409;0.355;0.368;0.333;0.256;0.232;0.193;0.322;0.171;0.128;0.098;0.128;0.114;0.099;0.087;0.078;0.071;0.071;0.063
102;Total price;Excluding VAT and tax;2011 1st semester;0.639;0.402;0.366;0.352;0.334;0.264;0.244;0.232;0.339;0.176;0.13;0.098;0.131;0.106;0.096;0.084;0.075;0.068;0.069;0.062
103;Total price;Excluding VAT and tax;2011 2nd semester;0.819;0.481;0.434;0.422;0.371;0.281;0.254;0.242;0.338;0.176;0.131;0.099;0.132;0.113;0.098;0.084;0.077;0.07;0.074;0.064
104;Total price;Excluding VAT and tax;2011;0.715;0.435;0.394;0.381;0.351;0.271;0.248;0.237;0.339;0.176;0.13;0.098;0.131;0.109;0.098;0.084;0.076;0.069;0.071;0.063
105;Total price;Excluding VAT and tax;2012 1st semester;0.674;0.441;0.398;0.413;0.363;0.282;0.262;0.252;0.358;0.182;0.134;0.1;0.138;0.116;0.098;0.082;0.073;0.067;0.068;0.058
106;Total price;Excluding VAT and tax;2012 2nd semester;0.859;0.517;0.455;0.456;0.372;0.303;0.285;0.26;0.375;0.189;0.138;0.102;0.142;0.117;0.098;0.085;0.076;0.071;0.07;0.064
107;Total price;Excluding VAT and tax;2012;0.749;0.471;0.421;0.428;0.366;0.291;0.272;0.256;0.366;0.186;0.136;0.101;0.14;0.116;0.098;0.084;0.074;0.069;0.069;0.061
108;Total price;Excluding VAT and tax;2013 1st semester;0.666;0.449;0.429;0.423;0.362;0.295;0.287;0.27;0.373;0.186;0.134;0.098;0.136;0.111;0.093;0.079;0.076;0.071;0.071;0.071
109;Total price;Excluding VAT and tax;2013 2nd semester;0.919;0.508;0.437;0.439;0.379;0.297;0.289;0.267;0.388;0.193;0.138;0.101;0.142;0.115;0.094;0.083;0.075;0.074;0.077;0.074
110;Total price;Excluding VAT and tax;2013;0.754;0.47;0.432;0.429;0.37;0.295;0.288;0.269;0.381;0.189;0.136;0.099;0.139;0.113;0.094;0.081;0.076;0.073;0.074;0.072
111;Total price;Excluding VAT and tax;2014 1st semester;0.724;0.443;0.39;0.416;0.37;0.285;0.266;0.251;0.373;0.185;0.132;0.097;0.134;0.124;0.093;0.077;0.071;0.067;0.071;0.064
112;Total price;Excluding VAT and tax;2014 2nd semester;0.837;0.468;0.397;0.421;0.373;0.284;0.248;0.218;0.378;0.186;0.133;0.096;0.135;0.117;0.094;0.077;0.072;0.067;0.07;0.066
113;Total price;Excluding VAT and tax;2014;0.774;0.453;0.394;0.418;0.371;0.285;0.258;0.235;0.375;0.185;0.133;0.096;0.135;0.12;0.094;0.077;0.072;0.067;0.071;0.064
114;Total price;Excluding VAT and tax;2015 1st semester;0.659;0.412;0.364;0.393;0.337;0.267;0.253;0.231;0.361;0.179;0.128;0.094;0.131;0.133;0.09;0.072;0.067;0.063;0.068;0.065
115;Total price;Excluding VAT and tax;2015 2nd semester;0.885;0.449;0.362;0.396;0.355;0.248;0.233;0.207;0.361;0.175;0.124;0.089;0.122;0.128;0.087;0.071;0.066;0.063;0.066;0.064
116;Total price;Excluding VAT and tax;2015;0.743;0.426;0.358;0.393;0.344;0.26;0.244;0.219;0.36;0.177;0.126;0.092;0.125;0.13;0.089;0.071;0.066;0.063;0.066;0.064
117;Total price;Excluding VAT and tax;2016 1st semester;0.615;0.367;0.314;0.356;0.302;0.222;0.201;0.159;0.357;0.172;0.121;0.085;0.122;0.121;0.081;0.066;0.061;0.057;0.058;0.057
118;Total price;Excluding VAT and tax;2016 2nd semester;0.792;0.389;0.312;0.358;0.291;0.222;0.21;0.169;0.354;0.17;0.118;0.084;0.12;0.118;0.08;0.066;0.061;0.058;0.058;0.058
119;Total price;Excluding VAT and tax;2016;0.681;0.374;0.312;0.356;0.297;0.222;0.205;0.165;0.356;0.171;0.12;0.085;0.121;0.119;0.081;0.066;0.061;0.058;0.058;0.057
120;Total price;Excluding VAT and tax;2017 1st semester;0.651;0.348;0.277;0.341;0.273;0.207;0.197;0.187;0.348;0.164;0.115;0.081;0.103;0.125;0.074;0.061;0.06;0.052;0.05;0.053
121;Total price;Excluding VAT and tax;2017 2nd semester;0.829;0.389;0.293;0.346;0.269;0.208;0.199;0.183;0.352;0.166;0.115;0.081;0.104;0.127;0.072;0.06;0.06;0.051;0.05;0.053
122;Total price;Excluding VAT and tax;2017;0.723;0.365;0.283;0.342;0.271;0.207;0.198;0.185;0.35;0.165;0.115;0.081;0.104;0.125;0.074;0.061;0.06;0.052;0.05;0.053
123;Total price;Excluding VAT and tax;2018 1st semester;0.666;0.37;0.299;0.328;0.27;0.213;0.201;0.205;0.397;0.171;0.118;0.083;0.106;0.112;0.074;0.062;0.058;0.053;0.052;0.053
124;Total price;Excluding VAT and tax;2018 2nd semester;0.815;0.394;0.295;0.354;0.265;0.229;0.217;0.252;0.369;0.162;0.113;0.082;0.108;0.128;0.072;0.062;0.061;0.056;0.058;0.057
125;Total price;Excluding VAT and tax;2018;0.725;0.38;0.297;0.338;0.268;0.22;0.208;0.237;0.383;0.167;0.116;0.083;0.107;0.115;0.073;0.062;0.06;0.054;0.055;0.055
126;Total price;Excluding VAT and tax;2019 1st semester;0.705;0.4;0.333;0.35;0.277;0.218;0.202;0.196;0.393;0.189;0.136;0.096;0.123;0.121;0.079;0.068;0.064;0.06;0.058;0.058
127;Total price;Excluding VAT and tax;2019 2nd semester;0.882;0.434;0.324;0.366;0.234;0.208;0.176;0.143;0.394;0.19;0.136;0.096;0.12;0.111;0.08;0.069;0.064;0.059;0.055;0.057
128;Total price;Excluding VAT and tax;2019;0.792;0.417;0.33;0.353;0.256;0.214;0.19;0.175;0.393;0.19;0.136;0.096;0.121;0.116;0.079;0.069;0.064;0.059;0.057;0.057
