ID;Perioden;TotaalInstitutioneleBeleggers_1;Pensioenfondsen_2;Verzekeringsinstellingen_3;BeleggingsfondsenMUVGeldmarktfondsen_4;TotaalInstitutioneleBeleggers_5;Pensioenfondsen_6;Verzekeringsinstellingen_7;BeleggingsfondsenMUVGeldmarktfondsen_8;BeleggingenExclAandelenInFondsen_9
28;2012 2e kwartaal;1862.8;917.0;398.5;547.3;488.0;415.6;46.1;26.2;1374.8
29;2012 3e kwartaal;1931.4;954.3;405.2;571.9;511.0;436.2;47.0;27.8;1420.4
30;2012 4e kwartaal;1979.1;984.5;410.8;583.7;523.4;447.0;48.4;28.0;1455.7
31;2012;1979.1;984.5;410.8;583.7;523.4;447.0;48.4;28.0;1455.7
32;2013 1e kwartaal;2025.3;1007.4;409.9;608.0;549.3;473.7;48.9;26.7;1475.9
33;2013 2e kwartaal;1973.8;976.4;401.9;595.5;538.6;465.8;47.7;25.1;1435.2
34;2013 3e kwartaal;2004.3;985.6;398.2;620.5;560.1;474.9;59.6;25.7;1444.2
35;2013 4e kwartaal;2028.1;1000.6;395.0;632.5;578.3;486.2;65.0;27.1;1449.8
36;2013;2028.1;1000.6;395.0;632.5;578.3;486.2;65.0;27.1;1449.8
37;2014 1e kwartaal;2116.4;1057.7;402.4;656.3;596.7;508.4;63.7;24.5;1519.7
38;2014 2e kwartaal;2222.5;1121.1;411.4;690.0;625.6;539.9;61.6;24.2;1596.9
39;2014 3e kwartaal;2325.8;1165.4;429.4;730.9;658.6;564.7;66.7;27.2;1667.2
40;2014 4e kwartaal;2408.3;1221.4;446.3;740.6;668.8;562.1;79.0;27.7;1739.5
41;2014;2408.3;1221.4;446.3;740.6;668.8;562.1;79.0;27.7;1739.5
42;2015 1e kwartaal;2638.0;1351.0;488.0;798.9;727.6;618.4;82.8;26.4;1910.4
43;2015 2e kwartaal;2451.8;1248.2;438.8;764.7;696.1;594.1;76.4;25.5;1755.7
44;2015 3e kwartaal;2390.0;1222.2;435.0;732.8;668.4;571.6;71.5;25.3;1721.7
45;2015 4e kwartaal;2426.1;1239.5;431.8;754.9;686.8;588.5;72.1;26.2;1739.4
46;2015;2426.1;1239.5;431.8;754.9;686.8;588.5;72.1;26.2;1739.4
47;2016 1e kwartaal;2516.7;1309.4;451.6;755.8;691.9;596.8;68.9;26.1;1824.9
48;2016 2e kwartaal;2607.9;1352.2;465.0;790.7;721.5;624.4;70.4;26.6;1886.4
49;2016 3e kwartaal;2671.6;1391.7;468.0;811.9;743.7;645.2;71.3;27.1;1928.0
50;2016 4e kwartaal;2619.6;1356.4;446.0;817.1;755.0;660.5;67.1;27.4;1864.6
51;2016;2619.6;1356.4;446.0;817.1;755.0;660.5;67.1;27.4;1864.6
52;2017 1e kwartaal;2639.9;1376.0;435.2;828.7;761.6;671.7;63.1;26.8;1878.3
53;2017 2e kwartaal;2644.6;1375.8;431.7;837.2;766.9;667.8;63.7;35.5;1877.8
54;2017 3e kwartaal;2673.5;1383.1;430.2;860.3;786.8;683.7;65.2;38.0;1886.7
55;2017 4e kwartaal;2735.5;1442.8;430.8;861.9;788.0;683.7;66.7;37.6;1947.4
56;2017;2735.5;1442.8;430.8;861.9;788.0;683.7;66.7;37.6;1947.4
